
5 Mot inconnu : Odoo => ====== Odoo (anciennement OpenERP) ====== | odoo
25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Gestion de production (GPAO) |      => suggestions : ['']
25 Mot inconnu : GPAO =>     * Gestion de production (GPAO) | gpao

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Gestion Maintenance Péventive (GMAO) |      => suggestions : ['']
26 Mot inconnu : Péventive =>     * Gestion Maintenance Péventive (GMAO) | péventive
26 Mot inconnu : GMAO =>     * Gestion Maintenance Péventive (GMAO) | gmao

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Gestion de projets et des activités de service |      => suggestions : ['']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Norme qualité : ISO 9001 version 2000 |      => suggestions : ['']
28 Accord de nombre erroné avec « 9001 » : « version » devrait être au pluriel. =>     * Norme qualité : ISO 9001 version 2000 | version => suggestions : ['versions']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Gestion des ventes |      => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Gestion des achats |      => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Marketing |      => suggestions : ['']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Logistique |      => suggestions : ['']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Ressources Humaines |      => suggestions : ['']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Network : Gestion d'un parc informatique |      => suggestions : ['']
36 Mot inconnu : Network =>     * Network : Gestion d'un parc informatique | network

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Auction : Spécificités pour salles de ventes publiques |      => suggestions : ['']
37 Mot inconnu : Auction =>     * Auction : Spécificités pour salles de ventes publiques | auction

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Serveur/client, serveur distribué ; |      => suggestions : ['']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Workflows éditables ; |      => suggestions : ['']
41 Mot inconnu : Workflows =>     * Workflows éditables ; | workflows

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Une base de données orientée objet ; |      => suggestions : ['']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Une interface éditable ; |      => suggestions : ['']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Rapports personnalisables ; |      => suggestions : ['']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Interface XML-RPC. |      => suggestions : ['']
45 Mot inconnu : XML-RPC =>     * Interface XML-RPC. | xml-rpc

50 Mot inconnu : Odoo => Pour installer Odoo il est possible de suivre le tutoriel proposé par Odoo disponible ici : [[https://www.odoo.com/documentation/master/setup/install.html]]. Trois installations seront proposées : par paquet, via les sources, en utilisant docker. | odoo
50 Mot inconnu : Odoo => Pour installer Odoo il est possible de suivre le tutoriel proposé par Odoo disponible ici : [[https://www.odoo.com/documentation/master/setup/install.html]]. Trois installations seront proposées : par paquet, via les sources, en utilisant docker. | odoo

52 Mot inconnu : OpenERP => OpenERP est divisé en trois partie : un serveur, un client lourd (GTK) et un serveur Web permettant d'accéder à OpenERP à partir d'un navigateur Web. | openerp
52 Accord de nombre erroné avec « trois » : « partie » devrait être au pluriel. => OpenERP est divisé en trois partie : un serveur, un client lourd (GTK) et un serveur Web permettant d'accéder à OpenERP à partir d'un navigateur Web. | partie => suggestions : ['parties']
52 Mot inconnu : OpenERP => OpenERP est divisé en trois partie : un serveur, un client lourd (GTK) et un serveur Web permettant d'accéder à OpenERP à partir d'un navigateur Web. | openerp

54 Mot inconnu : OpenERP => L'installation d'OpenERP peut être effectuée de deux manières différentes : | openerp

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Par le paquet **.deb** pour la version 8 via un dépôt dédié et  pour la version 9 en téléchargement sur le site Odoo; |    => suggestions : ['']
56 Mot inconnu : deb =>   * Par le paquet **.deb** pour la version 8 via un dépôt dédié et  pour la version 9 en téléchargement sur le site Odoo; | deb
56 Espace(s) surnuméraire(s) à supprimer. =>   * Par le paquet **.deb** pour la version 8 via un dépôt dédié et  pour la version 9 en téléchargement sur le site Odoo; |    => suggestions : [' ']
56 Mot inconnu : Odoo =>   * Par le paquet **.deb** pour la version 8 via un dépôt dédié et  pour la version 9 en téléchargement sur le site Odoo; | odoo

63 Mot inconnu : V8 => À partir de la V8 OpenErp devient Odoo et va au-delà de l'ERP avec 100% des besoins de l'entreprise ( site web ecommerce etc..)  | v8
63 Mot inconnu : OpenErp => À partir de la V8 OpenErp devient Odoo et va au-delà de l'ERP avec 100% des besoins de l'entreprise ( site web ecommerce etc..)  | openerp
63 Mot inconnu : Odoo => À partir de la V8 OpenErp devient Odoo et va au-delà de l'ERP avec 100% des besoins de l'entreprise ( site web ecommerce etc..)  | odoo
63 Pas d’espace après ce signe. => À partir de la V8 OpenErp devient Odoo et va au-delà de l'ERP avec 100% des besoins de l'entreprise ( site web ecommerce etc..)  | (  => suggestions : ['(']
63 Mot inconnu : ecommerce => À partir de la V8 OpenErp devient Odoo et va au-delà de l'ERP avec 100% des besoins de l'entreprise ( site web ecommerce etc..)  | ecommerce
63 Avant « etc. », il faut mettre une virgule. => À partir de la V8 OpenErp devient Odoo et va au-delà de l'ERP avec 100% des besoins de l'entreprise ( site web ecommerce etc..)  |  etc. => suggestions : [', etc.']
63 Typographie : un ou trois points ? => À partir de la V8 OpenErp devient Odoo et va au-delà de l'ERP avec 100% des besoins de l'entreprise ( site web ecommerce etc..)  | .. => suggestions : ['…', '.']
63 Espace(s) en fin de ligne à supprimer. => À partir de la V8 OpenErp devient Odoo et va au-delà de l'ERP avec 100% des besoins de l'entreprise ( site web ecommerce etc..)  |   => suggestions : ['']

68 Mot inconnu : apt-get => apt-get update && apt-get install odoo</code> | apt-get
68 Mot inconnu : update => apt-get update && apt-get install odoo</code> | update
68 Mot inconnu : apt-get => apt-get update && apt-get install odoo</code> | apt-get
68 Mot inconnu : install => apt-get update && apt-get install odoo</code> | install
68 Mot inconnu : odoo => apt-get update && apt-get install odoo</code> | odoo

70 Mot inconnu : Odoo => Si vous souhaitez utiliser la dernière version d'Odoo: | odoo

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Téléchargez enfin la dernière version stable à cette [[http://nightly.odoo.com/9.0/nightly/deb/odoo_9.0c.latest_all.deb|adresse]], |    => suggestions : ['']

78 Mot inconnu : openerp => Si vous avez installé les paquets des dépôts officiels, openerp: | openerp

80 Mot inconnu : Odoo => Si vous avez installé Odoo à partir des paquets du site : | odoo

84 Guillemets typographiques ouvrants. => Arrivé à l'écran de connexion il faut créer une base de donnée, pour cela cliquez sur "Manage database" (ou entrez directement le nom de votre base de donnée sous Odoo). Entrez un nom pour votre base, choisissez au passage la langue, entrez votre mot de passe admin (que vous créez pour l'occasion). | " => suggestions : ['«\xa0', '“']
84 Mot inconnu : database => Arrivé à l'écran de connexion il faut créer une base de donnée, pour cela cliquez sur "Manage database" (ou entrez directement le nom de votre base de donnée sous Odoo). Entrez un nom pour votre base, choisissez au passage la langue, entrez votre mot de passe admin (que vous créez pour l'occasion). | database
84 Guillemets typographiques fermants. => Arrivé à l'écran de connexion il faut créer une base de donnée, pour cela cliquez sur "Manage database" (ou entrez directement le nom de votre base de donnée sous Odoo). Entrez un nom pour votre base, choisissez au passage la langue, entrez votre mot de passe admin (que vous créez pour l'occasion). | " => suggestions : ['\xa0»', '”']
84 Mot inconnu : Odoo => Arrivé à l'écran de connexion il faut créer une base de donnée, pour cela cliquez sur "Manage database" (ou entrez directement le nom de votre base de donnée sous Odoo). Entrez un nom pour votre base, choisissez au passage la langue, entrez votre mot de passe admin (que vous créez pour l'occasion). | odoo

85 Mot inconnu : email => Patientez. **Votre identifiant (login) (ou adresse email sous Odoo)  sera //admin//**. | email
85 Mot inconnu : Odoo => Patientez. **Votre identifiant (login) (ou adresse email sous Odoo)  sera //admin//**. | odoo

86 Mot inconnu : Install => Après cela vous pouvez installer les modules de votre choix, en cliquant sur //Install//. Deux modules indispensables : CRM et einvoicing & Payments. | install
86 Mot inconnu : CRM => Après cela vous pouvez installer les modules de votre choix, en cliquant sur //Install//. Deux modules indispensables : CRM et einvoicing & Payments. | crm
86 Mot inconnu : einvoicing => Après cela vous pouvez installer les modules de votre choix, en cliquant sur //Install//. Deux modules indispensables : CRM et einvoicing & Payments. | einvoicing
86 Mot inconnu : Payments => Après cela vous pouvez installer les modules de votre choix, en cliquant sur //Install//. Deux modules indispensables : CRM et einvoicing & Payments. | payments

91 Mot inconnu : OpenERP => Par défaut, OpenERP contient tous les modules requis pour une gestion d'entreprise standard. | openerp

97 Mot inconnu : Odoo => Dans un environnement de production, on aimerait qu'Odoo/OpenERP se lance automatiquement au démarrage de la machine. | odoo
97 Mot inconnu : OpenERP => Dans un environnement de production, on aimerait qu'Odoo/OpenERP se lance automatiquement au démarrage de la machine. | openerp

101 Mot inconnu : OpenERP => Pour commencer, si ce n'est pas déjà fait, nous allons déplacer les sources des différents serveurs (OpenERP et Web) dans le /home/openerp | openerp

110 Mot inconnu : OpenERP => Nous allons ensuite créer un dossier qui contiendra les logs du serveur OpenERP : | openerp

115 Espace(s) en fin de ligne à supprimer. => Vous trouverez [[http://forum.ubuntu-fr.org/viewtopic.php?pid=3936858#p3936858|ici]] les différents fichiers à mettre en place.  |   => suggestions : ['']

124 Mot inconnu : Odoo => ===== Essayer Odoo ===== | odoo

126 Conjugaison erronée. Accord avec “Il”. Le verbe devrait être à la 3ᵉ personne du singulier. => Il es possible d'essayer les versions d'Odoo maintenue depuis le site : [[https://runbot.odoo.com/runbot]] | es => suggestions : ['est']
126 Mot inconnu : Odoo => Il es possible d'essayer les versions d'Odoo maintenue depuis le site : [[https://runbot.odoo.com/runbot]] | odoo

140 Mot inconnu : resultat => En fonction du resultat, par exemple: | resultat

144 Mot inconnu : Internal => ====Internal Server Error==== | internal
144 Mot inconnu : Server => ====Internal Server Error==== | server
144 Mot inconnu : Error => ====Internal Server Error==== | error

150 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  exit</code> |   => suggestions : ['']

154 Mot inconnu : alexis => Document [[https://people.via.ecp.fr/~alexis/openerp/|Expérience de déploiements OpenERP dans des entreprises françaises]] écrite par Alexis de Lattre | alexis
154 Mot inconnu : openerp => Document [[https://people.via.ecp.fr/~alexis/openerp/|Expérience de déploiements OpenERP dans des entreprises françaises]] écrite par Alexis de Lattre | openerp
154 Mot inconnu : OpenERP => Document [[https://people.via.ecp.fr/~alexis/openerp/|Expérience de déploiements OpenERP dans des entreprises françaises]] écrite par Alexis de Lattre | openerp
154 Mot inconnu : Lattre => Document [[https://people.via.ecp.fr/~alexis/openerp/|Expérience de déploiements OpenERP dans des entreprises françaises]] écrite par Alexis de Lattre | lattre

156 Mot inconnu : OpenERP => Voir la discussion "[[https://forum.ubuntu-fr.org/viewtopic.php?id=334021|OpenERP -  Vos réactions / expériences]] " sur le forum ubuntu-fr. | openerp
156 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Voir la discussion "[[https://forum.ubuntu-fr.org/viewtopic.php?id=334021|OpenERP -  Vos réactions / expériences]] " sur le forum ubuntu-fr. |  -  => suggestions : [' – ', ' — ', ' − ']
156 Guillemets isolés. => Voir la discussion "[[https://forum.ubuntu-fr.org/viewtopic.php?id=334021|OpenERP -  Vos réactions / expériences]] " sur le forum ubuntu-fr. |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
156 Mot inconnu : ubuntu-fr => Voir la discussion "[[https://forum.ubuntu-fr.org/viewtopic.php?id=334021|OpenERP -  Vos réactions / expériences]] " sur le forum ubuntu-fr. | ubuntu-fr

160 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://odoo.com|Le site international en anglais - consultez l' onglet Community]] |    => suggestions : ['']
160 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * [[http://odoo.com|Le site international en anglais - consultez l' onglet Community]] |  -  => suggestions : [' – ', ' — ', ' − ']
160 Apostrophe incorrecte. =>   * [[http://odoo.com|Le site international en anglais - consultez l' onglet Community]] | l'  => suggestions : ['l’']
160 Guillemets typographiques fermants. =>   * [[http://odoo.com|Le site international en anglais - consultez l' onglet Community]] | ' => suggestions : ['”', '’', '›']
160 Mot inconnu : Community =>   * [[http://odoo.com|Le site international en anglais - consultez l' onglet Community]] | community

161 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.swiss-openerp.ch|Le site Suisse de la STERPA : la solution locale pour les structures suisses]] |    => suggestions : ['']
161 S’il s’agit d’un adjectif, ne mettez pas de majuscule. =>   * [[http://www.swiss-openerp.ch|Le site Suisse de la STERPA : la solution locale pour les structures suisses]] | suisse => suggestions : ['suisse']
161 Mot inconnu : STERPA =>   * [[http://www.swiss-openerp.ch|Le site Suisse de la STERPA : la solution locale pour les structures suisses]] | sterpa

163 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://youtu.be/sVf8oXwqnaE|Une petite vidéo en Français pour montrer comment fonctionne OpenERP 6.1 de 2012]] |    => suggestions : ['']
163 Si vous parlez de la langue, pas de majuscule. =>   * [[http://youtu.be/sVf8oXwqnaE|Une petite vidéo en Français pour montrer comment fonctionne OpenERP 6.1 de 2012]] | français => suggestions : ['français']
163 Mot inconnu : OpenERP =>   * [[http://youtu.be/sVf8oXwqnaE|Une petite vidéo en Français pour montrer comment fonctionne OpenERP 6.1 de 2012]] | openerp

164 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.sikablog.net/module-dans-openerp|Un article qui montre comment réaliser un module dans OpenERP]] |    => suggestions : ['']
164 Mot inconnu : OpenERP =>   * [[http://www.sikablog.net/module-dans-openerp|Un article qui montre comment réaliser un module dans OpenERP]] | openerp
