
5 Mot inconnu : Nautilus => ====== Nautilus — sa mission : explorer Ubuntu ====== | nautilus
69 Mot inconnu : Budgie =>   * avec GNOME Shell ou Budgie, utiliser le menu-sandwich (à droite) pour ajouter un signet à l'emplacement actuellement ouvert ; | budgie

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * avec Unity, les configurer dans le menu **Signets** ; |    => suggestions : ['']
70 Mot inconnu : Unity =>   * avec Unity, les configurer dans le menu **Signets** ; | unity

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * faire Ctrl+D pour ajouter un signet  à l'emplacement actuellement ouvert. |    => suggestions : ['']
71 Espace(s) surnuméraire(s) à supprimer. =>   * faire Ctrl+D pour ajouter un signet  à l'emplacement actuellement ouvert. |    => suggestions : [' ']
76 Accord de nombre erroné avec « votre dossier » : « Modèles » devrait être au singulier. => <note tip>**Ubuntu Bionic** \\ Pour pouvoir créer un nouveau document, il doit y avoir des fichiers dans votre dossier Modèles, sinon vous ne pourrez créer que des dossiers avec le clic droit !</note> | modèles => suggestions : ['Modèle']

87 Mot inconnu : Nautilus => Il suffit de cliquer sur la petite loupe pour lancer une recherche de fichiers dans un emplacement. À partir de Nautilus 3.26, il devient possible de rechercher non seulement parmi les titres des fichiers, mais aussi parmi leurs contenus. | nautilus

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Redémarrez Nautilus. |    => suggestions : ['']
95 Mot inconnu : Nautilus =>   * Redémarrez Nautilus. | nautilus

96 Mot inconnu : Nautilus => ==== Différents modes d'affichage dans Nautilus ==== | nautilus

100 Mot inconnu : Nautilus => Nautilus propose deux types de vues, accessibles directement depuis deux boutons de la fenêtre principale : | nautilus

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vue en icônes (raccourci clavier : **Ctrl+1** , ne fonctionne pas avec le pavé numérique) |    => suggestions : ['']
104 Pas d’espace avant une virgule. =>   * Vue en icônes (raccourci clavier : **Ctrl+1** , ne fonctionne pas avec le pavé numérique) |  , => suggestions : [',']

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vue en liste      (**Ctrl+2**) |    => suggestions : ['']
105 Espace(s) surnuméraire(s) à supprimer. =>   * Vue en liste      (**Ctrl+2**) |        => suggestions : [' ']
107 Mot inconnu : FIXME => <note help>À noter : la vue en icône ne supporte pas le glisser-déposer. Si vous souhaitez pouvoir utiliser cette fonction, il faut se placer en mode liste. FIXME Si une combinaison de touche existe pour le glisser-déposer en mode icône, merci de le préciser</note> | fixme
115 Espace(s) en fin de ligne à supprimer. => Il permet d'avoir accès à de nombreuses fonctions et son contenu varie suivant le contexte dans lequel il a été activé  : sur des images, un fichier PDF, un dossier, une zone vide en affichage par icônes.  |   => suggestions : ['']

119 Espace(s) en fin de ligne à supprimer. => \\  |   => suggestions : ['']

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ouvrir un nouvel onglet : **Ctrl+T** |    => suggestions : ['']

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Passer d'un onglet à l'autre : **Ctrl+PageHaut/PageBas** |    => suggestions : ['']
125 Mot inconnu : PageHaut =>   * Passer d'un onglet à l'autre : **Ctrl+PageHaut/PageBas** | pagehaut
125 Mot inconnu : PageBas =>   * Passer d'un onglet à l'autre : **Ctrl+PageHaut/PageBas** | pagebas

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Modifier l'ordre des onglets : **Ctrl+Shift+PageHaut/PageBas** |    => suggestions : ['']
126 Mot inconnu : Shift =>   * Modifier l'ordre des onglets : **Ctrl+Shift+PageHaut/PageBas** | shift
126 Mot inconnu : PageHaut =>   * Modifier l'ordre des onglets : **Ctrl+Shift+PageHaut/PageBas** | pagehaut
126 Mot inconnu : PageBas =>   * Modifier l'ordre des onglets : **Ctrl+Shift+PageHaut/PageBas** | pagebas

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Diviser l'écran en deux parties : Appuyez sur le bouton du milieu de la souris, sur le dossier à ouvrir dans un nouvel onglet, ou avec la touche F3, mais alors il faut installer un patch que vous trouverez [[http://www.webupd8.org/2013/04/get-nautilus-34-features-back-in-ubuntu.html|ici]]. |    => suggestions : ['']
127 Mot inconnu : F3 =>   * Diviser l'écran en deux parties : Appuyez sur le bouton du milieu de la souris, sur le dossier à ouvrir dans un nouvel onglet, ou avec la touche F3, mais alors il faut installer un patch que vous trouverez [[http://www.webupd8.org/2013/04/get-nautilus-34-features-back-in-ubuntu.html|ici]]. | f3

128 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Passer en mode adresse (barre d'adresse en place des boutons emplacement) : **Ctrl+L** (Echap/Esc pour revenir en mode normal) / menu **Lancer → Saisir l'emplacement...** |    => suggestions : ['']
128 Mot inconnu : Echap =>   * Passer en mode adresse (barre d'adresse en place des boutons emplacement) : **Ctrl+L** (Echap/Esc pour revenir en mode normal) / menu **Lancer → Saisir l'emplacement...** | echap
128 Mot inconnu : Esc =>   * Passer en mode adresse (barre d'adresse en place des boutons emplacement) : **Ctrl+L** (Echap/Esc pour revenir en mode normal) / menu **Lancer → Saisir l'emplacement...** | esc
128 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Passer en mode adresse (barre d'adresse en place des boutons emplacement) : **Ctrl+L** (Echap/Esc pour revenir en mode normal) / menu **Lancer → Saisir l'emplacement...** | ... => suggestions : ['…']

129 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Démasquer les fichiers cachés : **Ctrl+H** / menu **Affichage → Afficher les fichiers cachés** |    => suggestions : ['']

137 Mot inconnu : SSH => === Accès SSH et SFTP === | ssh
137 Mot inconnu : SFTP => === Accès SSH et SFTP === | sftp

141 Mot inconnu : SMB => === Accès Samba / SMB / CIFS (partages de fichiers Windows et Linux) === | smb
141 Mot inconnu : CIFS => === Accès Samba / SMB / CIFS (partages de fichiers Windows et Linux) === | cifs

143 Mot inconnu : SMB => Pour accéder à un partage SMB dans Nautilus, allez à la page [[Samba#acceder_a_un_dossier_partage|Samba]] | smb
143 Mot inconnu : Nautilus => Pour accéder à un partage SMB dans Nautilus, allez à la page [[Samba#acceder_a_un_dossier_partage|Samba]] | nautilus

145 Mot inconnu : Nautilus => En utilisation basique, sur le volet de gauche de Nautilus : | nautilus

146 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * à partir d'**Ubuntu 16.10**, cliquez sur //+Autres Emplacements//,  |    => suggestions : ['']
146 Espace(s) en fin de ligne à supprimer. =>   * à partir d'**Ubuntu 16.10**, cliquez sur //+Autres Emplacements//,  |   => suggestions : ['']

147 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * avec **Ubuntu 16.04**, cliquez sur //Connecter à un serveur//,  |    => suggestions : ['']
147 Espace(s) en fin de ligne à supprimer. =>   * avec **Ubuntu 16.04**, cliquez sur //Connecter à un serveur//,  |   => suggestions : ['']

148 Espace(s) surnuméraire(s) à supprimer. => puis en bas s'ajoute une ligne  **//connexion à un serveur//** : tapez l'adresse IP de la machine qui effectue le partage de fichier selon l'exemple suivant : **//%%smb://192.168.0.26%%//** où //192.168.0.26// est l'adresse IP de votre serveur de fichier.\\ |    => suggestions : [' ']
148 Il manque un espace. => puis en bas s'ajoute une ligne  **//connexion à un serveur//** : tapez l'adresse IP de la machine qui effectue le partage de fichier selon l'exemple suivant : **//%%smb://192.168.0.26%%//** où //192.168.0.26// est l'adresse IP de votre serveur de fichier.\\ | smb => suggestions : [' smb']
148 Mot inconnu : smb => puis en bas s'ajoute une ligne  **//connexion à un serveur//** : tapez l'adresse IP de la machine qui effectue le partage de fichier selon l'exemple suivant : **//%%smb://192.168.0.26%%//** où //192.168.0.26// est l'adresse IP de votre serveur de fichier.\\ | smb

151 Mot inconnu : Nautilus => ===== Nautilus, utilisation avancée ===== | nautilus

155 Mot inconnu : Nautilus => Ajout de scripts à Nautilus : [[nautilus_scripts|page Nautilus scripts]] | nautilus
155 Mot inconnu : nautilus_scripts => Ajout de scripts à Nautilus : [[nautilus_scripts|page Nautilus scripts]] | nautilus_scripts
155 Mot inconnu : Nautilus => Ajout de scripts à Nautilus : [[nautilus_scripts|page Nautilus scripts]] | nautilus

161 Mot inconnu : Nautilus => Si certains aperçus sous Nautilus ne s'affichent pas (installation récente de codecs, etc.), il suffit souvent d'ouvrir le fichier avec son programme associé pour forcer la création de sa vignette par Nautilus. | nautilus
161 Mot inconnu : Nautilus => Si certains aperçus sous Nautilus ne s'affichent pas (installation récente de codecs, etc.), il suffit souvent d'ouvrir le fichier avec son programme associé pour forcer la création de sa vignette par Nautilus. | nautilus
165 Il manque un espace à côté du tiret. => <code bash>sudo apt-get install -fy tumbler tumbler-common tumbler-plugins-extra libtumbler-1-0</code> |  - => suggestions : [' – ', ' — ']

167 Mot inconnu : Dolphin => <note>cette astuce permet d'afficher les miniatures des fichiers PDF dans tous les gestionnaires de fichiers excepté Dolphin 4.xx. \\ | dolphin
167 Mot inconnu : xx => <note>cette astuce permet d'afficher les miniatures des fichiers PDF dans tous les gestionnaires de fichiers excepté Dolphin 4.xx. \\ | xx

169 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * l'explorateur de fichiers de Gnome, dans  |    => suggestions : ['']
169 Espace(s) en fin de ligne à supprimer. =>   * l'explorateur de fichiers de Gnome, dans  |   => suggestions : ['']

170 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * l'interface de recherche de fichiers Gnome, et dans  |    => suggestions : ['']
170 Espace(s) en fin de ligne à supprimer. =>   * l'interface de recherche de fichiers Gnome, et dans  |   => suggestions : ['']

171 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * l'en-tête des onglets de votre navigateur,  |    => suggestions : ['']
171 Espace(s) en fin de ligne à supprimer. =>   * l'en-tête des onglets de votre navigateur,  |   => suggestions : ['']

172 Mot inconnu : DBus => grâce au service DBus, pour peu que vous visualisiez vos fichiers dans votre explorateur afin de permettre la génération des vignettes.  | dbus
172 Espace(s) en fin de ligne à supprimer. => grâce au service DBus, pour peu que vous visualisiez vos fichiers dans votre explorateur afin de permettre la génération des vignettes.  |   => suggestions : ['']
174 Mot inconnu : FIXME => **ATTENTION** : FIXME : votre aide est la bienvenue ! \\ Lors de l’enregistrement de nouveaux fichiers images, la génération des vignettes ne s'effectue pas toujours automatiquement. \\ Il vous faudra les afficher dans votre explorateur à chaque mise à jour du contenu pour les vignettes qui n'existent pas encore. | fixme

176 Mot inconnu : NB => **NB** : Cette particularité de recherche avec affichage des vignettes dans le sélecteur de fichiers sous Gnome ne semble pas toujours fonctionner sous KDE.</note> | nb
176 Mot inconnu : KDE => **NB** : Cette particularité de recherche avec affichage des vignettes dans le sélecteur de fichiers sous Gnome ne semble pas toujours fonctionner sous KDE.</note> | kde

177 Mot inconnu : MSOffice => Pour activer les vignettes LibreOffice et MSOffice, consultez la page [[libreoffice|LibreOffice]]. | msoffice
177 Mot inconnu : libreoffice => Pour activer les vignettes LibreOffice et MSOffice, consultez la page [[libreoffice|LibreOffice]]. | libreoffice

179 Il manque un espace. => Avant cela, [[tutoriel:comment_supprimer_un_fichier|supprimer]] entièrement le contenu du dossier caché **$HOME/.cache/thumbnails** : toutes les vignettes seront recalculées la prochaine fois que vous explorerez vos dossiers. \\ Cela marche aussi si une miniature de photo est mal orientée.(([[https://forum.ubuntu-fr.org/viewtopic.php?id=272997|« Unity : des photos en miniature c'est bien, dans le bon sens c'est mieux »]], dans ce cas souvent lors du transfert d'un certain nombre d'images directement de la carte mémoire sur le disque dur)) | comment_supprimer_un_fichier => suggestions : [' comment_supprimer_un_fichier']
179 Mot inconnu : comment_supprimer_un_fichier => Avant cela, [[tutoriel:comment_supprimer_un_fichier|supprimer]] entièrement le contenu du dossier caché **$HOME/.cache/thumbnails** : toutes les vignettes seront recalculées la prochaine fois que vous explorerez vos dossiers. \\ Cela marche aussi si une miniature de photo est mal orientée.(([[https://forum.ubuntu-fr.org/viewtopic.php?id=272997|« Unity : des photos en miniature c'est bien, dans le bon sens c'est mieux »]], dans ce cas souvent lors du transfert d'un certain nombre d'images directement de la carte mémoire sur le disque dur)) | comment_supprimer_un_fichier
179 Mot inconnu : thumbnails => Avant cela, [[tutoriel:comment_supprimer_un_fichier|supprimer]] entièrement le contenu du dossier caché **$HOME/.cache/thumbnails** : toutes les vignettes seront recalculées la prochaine fois que vous explorerez vos dossiers. \\ Cela marche aussi si une miniature de photo est mal orientée.(([[https://forum.ubuntu-fr.org/viewtopic.php?id=272997|« Unity : des photos en miniature c'est bien, dans le bon sens c'est mieux »]], dans ce cas souvent lors du transfert d'un certain nombre d'images directement de la carte mémoire sur le disque dur)) | thumbnails
179 Mot inconnu : Unity => Avant cela, [[tutoriel:comment_supprimer_un_fichier|supprimer]] entièrement le contenu du dossier caché **$HOME/.cache/thumbnails** : toutes les vignettes seront recalculées la prochaine fois que vous explorerez vos dossiers. \\ Cela marche aussi si une miniature de photo est mal orientée.(([[https://forum.ubuntu-fr.org/viewtopic.php?id=272997|« Unity : des photos en miniature c'est bien, dans le bon sens c'est mieux »]], dans ce cas souvent lors du transfert d'un certain nombre d'images directement de la carte mémoire sur le disque dur)) | unity

180 Mot inconnu : thumbnails => Ou directement le répertoire **$HOME/.cache/thumbnails/fail** pour les vignettes qui ont échoué. | thumbnails
180 Mot inconnu : fail => Ou directement le répertoire **$HOME/.cache/thumbnails/fail** pour les vignettes qui ont échoué. | fail

183 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Les //Raccourcis// de dossiers (Dossier Personnel, Bureau, Documents, Musique, Images, Vidéos,...) ne mène pas à Nautilus mais tentent de s'ouvrir avec une autre application |    => suggestions : ['']
183 Erreur de numérisation ? Virgules au lieu de points ? =>   * Les //Raccourcis// de dossiers (Dossier Personnel, Bureau, Documents, Musique, Images, Vidéos,...) ne mène pas à Nautilus mais tentent de s'ouvrir avec une autre application | ,... => suggestions : ['….']
183 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Les //Raccourcis// de dossiers (Dossier Personnel, Bureau, Documents, Musique, Images, Vidéos,...) ne mène pas à Nautilus mais tentent de s'ouvrir avec une autre application | ... => suggestions : ['…']
183 Mot inconnu : Nautilus =>   * Les //Raccourcis// de dossiers (Dossier Personnel, Bureau, Documents, Musique, Images, Vidéos,...) ne mène pas à Nautilus mais tentent de s'ouvrir avec une autre application | nautilus

191 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://wiki.gnome.org/Apps/Nautilus/|Site officiel]] |    => suggestions : ['']

192 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[nautilus_scripts|Les scripts pour Nautilus]] |    => suggestions : ['']
192 Mot inconnu : nautilus_scripts =>   * [[nautilus_scripts|Les scripts pour Nautilus]] | nautilus_scripts
192 Mot inconnu : Nautilus =>   * [[nautilus_scripts|Les scripts pour Nautilus]] | nautilus
196 Il manque un espace. => //Contributeurs : [[utilisateurs:adam0509]], [[utilisateurs:clem-vangelis]], [[utilisateurs:jdautz]], [[utilisateurs:nlcf]], [[utilisateurs:claudiux]], [[utilisateurs:J5012]], [[utilisateurs:Herbie]], [[utilisateurs:simtris]],[[utilisateurs/roschan]] | adam0509 => suggestions : [' adam0509']
196 Il manque un espace. => //Contributeurs : [[utilisateurs:adam0509]], [[utilisateurs:clem-vangelis]], [[utilisateurs:jdautz]], [[utilisateurs:nlcf]], [[utilisateurs:claudiux]], [[utilisateurs:J5012]], [[utilisateurs:Herbie]], [[utilisateurs:simtris]],[[utilisateurs/roschan]] | clem-vangelis => suggestions : [' clem-vangelis']
196 Il manque un espace. => //Contributeurs : [[utilisateurs:adam0509]], [[utilisateurs:clem-vangelis]], [[utilisateurs:jdautz]], [[utilisateurs:nlcf]], [[utilisateurs:claudiux]], [[utilisateurs:J5012]], [[utilisateurs:Herbie]], [[utilisateurs:simtris]],[[utilisateurs/roschan]] | jdautz => suggestions : [' jdautz']
196 Il manque un espace. => //Contributeurs : [[utilisateurs:adam0509]], [[utilisateurs:clem-vangelis]], [[utilisateurs:jdautz]], [[utilisateurs:nlcf]], [[utilisateurs:claudiux]], [[utilisateurs:J5012]], [[utilisateurs:Herbie]], [[utilisateurs:simtris]],[[utilisateurs/roschan]] | nlcf => suggestions : [' nlcf']
196 Il manque un espace. => //Contributeurs : [[utilisateurs:adam0509]], [[utilisateurs:clem-vangelis]], [[utilisateurs:jdautz]], [[utilisateurs:nlcf]], [[utilisateurs:claudiux]], [[utilisateurs:J5012]], [[utilisateurs:Herbie]], [[utilisateurs:simtris]],[[utilisateurs/roschan]] | claudiux => suggestions : [' claudiux']
196 Il manque un espace. => //Contributeurs : [[utilisateurs:adam0509]], [[utilisateurs:clem-vangelis]], [[utilisateurs:jdautz]], [[utilisateurs:nlcf]], [[utilisateurs:claudiux]], [[utilisateurs:J5012]], [[utilisateurs:Herbie]], [[utilisateurs:simtris]],[[utilisateurs/roschan]] | j5012 => suggestions : [' J5012']
196 Il manque un espace. => //Contributeurs : [[utilisateurs:adam0509]], [[utilisateurs:clem-vangelis]], [[utilisateurs:jdautz]], [[utilisateurs:nlcf]], [[utilisateurs:claudiux]], [[utilisateurs:J5012]], [[utilisateurs:Herbie]], [[utilisateurs:simtris]],[[utilisateurs/roschan]] | herbie => suggestions : [' Herbie']
196 Il manque un espace. => //Contributeurs : [[utilisateurs:adam0509]], [[utilisateurs:clem-vangelis]], [[utilisateurs:jdautz]], [[utilisateurs:nlcf]], [[utilisateurs:claudiux]], [[utilisateurs:J5012]], [[utilisateurs:Herbie]], [[utilisateurs:simtris]],[[utilisateurs/roschan]] | simtris => suggestions : [' simtris']
196 Mot inconnu : roschan => //Contributeurs : [[utilisateurs:adam0509]], [[utilisateurs:clem-vangelis]], [[utilisateurs:jdautz]], [[utilisateurs:nlcf]], [[utilisateurs:claudiux]], [[utilisateurs:J5012]], [[utilisateurs:Herbie]], [[utilisateurs:simtris]],[[utilisateurs/roschan]] | roschan

197 Il manque un espace. => [[utilisateurs:eagle08]], ...//  | eagle08 => suggestions : [' eagle08']
197 Une de ces ponctuations est superflue. => [[utilisateurs:eagle08]], ...//  | , . => suggestions : [',', '.']
197 Typographie : points de suspension. Utilisez le caractère dédié. => [[utilisateurs:eagle08]], ...//  | ... => suggestions : ['…']
197 Espace(s) en fin de ligne à supprimer. => [[utilisateurs:eagle08]], ...//  |   => suggestions : ['']
