
3 Mot inconnu : GDL => ====== GDL : GNU Data Language ====== | gdl
10 Accord de genre erroné : « le » est un déterminant masculin. => du développement du logiciel : nouvelles fonctionnalités et corrections de bugs ... Comme de gros efforts ont été fait pour faciliter la compilation depuis le source | source => suggestions : ['sourcé']

11 Confusion : “quelque” est un déterminant. => quelque soit la version d'Ubuntu depuis 10.04, il est vivement recommander d'utiliser les sources et de faire un petit effort. | quelque soit => suggestions : ['quel que soit', 'quelle que soit', 'quels que soient', 'quelles que soient']
11 Après “être”, le verbe ne devrait pas être à l’infinitif. => quelque soit la version d'Ubuntu depuis 10.04, il est vivement recommander d'utiliser les sources et de faire un petit effort. | recommander => suggestions : ['recommandé', 'recommandées', 'recommandée', 'recommandés']

18 Mot inconnu : plplot => Un paquet optionnel mais généralement indispensable est le driver plplot d'affichage X11 ( pour pouvoir afficher les courbes dans une fenêtre [sic]) :  **[[apt://plplot9-driver-xwin|plplot9-driver-xwin]]** (vieux Ubuntu) ou  **[[apt://plplot12-driver-xwin|plplot12-driver-xwin]]** (par exemple en 14.04). | plplot
18 Pas d’espace après ce signe. => Un paquet optionnel mais généralement indispensable est le driver plplot d'affichage X11 ( pour pouvoir afficher les courbes dans une fenêtre [sic]) :  **[[apt://plplot9-driver-xwin|plplot9-driver-xwin]]** (vieux Ubuntu) ou  **[[apt://plplot12-driver-xwin|plplot12-driver-xwin]]** (par exemple en 14.04). | (  => suggestions : ['(']
18 Espace(s) surnuméraire(s) à supprimer. => Un paquet optionnel mais généralement indispensable est le driver plplot d'affichage X11 ( pour pouvoir afficher les courbes dans une fenêtre [sic]) :  **[[apt://plplot9-driver-xwin|plplot9-driver-xwin]]** (vieux Ubuntu) ou  **[[apt://plplot12-driver-xwin|plplot12-driver-xwin]]** (par exemple en 14.04). |    => suggestions : [' ']
18 Espace(s) surnuméraire(s) à supprimer. => Un paquet optionnel mais généralement indispensable est le driver plplot d'affichage X11 ( pour pouvoir afficher les courbes dans une fenêtre [sic]) :  **[[apt://plplot9-driver-xwin|plplot9-driver-xwin]]** (vieux Ubuntu) ou  **[[apt://plplot12-driver-xwin|plplot12-driver-xwin]]** (par exemple en 14.04). |    => suggestions : [' ']
20 Espace(s) en fin de ligne à supprimer. => Vous pouvez aussi voir ici:  |   => suggestions : ['']

21 Mot inconnu : GDL => [[https://packages.ubuntu.com/utopic/interpreters/gnudatalanguage|les dépendances de GDL]] pour 14.10. | gdl

25 Mot inconnu : root => Tout se passe sans être root, et le //make install// est superflu. Il faut juste pouvoir installer des paquets "officiels" pour gagner du temps. | root
25 Mot inconnu : make => Tout se passe sans être root, et le //make install// est superflu. Il faut juste pouvoir installer des paquets "officiels" pour gagner du temps. | make
25 Mot inconnu : install => Tout se passe sans être root, et le //make install// est superflu. Il faut juste pouvoir installer des paquets "officiels" pour gagner du temps. | install
25 Guillemets typographiques ouvrants. => Tout se passe sans être root, et le //make install// est superflu. Il faut juste pouvoir installer des paquets "officiels" pour gagner du temps. | " => suggestions : ['«\xa0', '“']
25 Guillemets typographiques fermants. => Tout se passe sans être root, et le //make install// est superflu. Il faut juste pouvoir installer des paquets "officiels" pour gagner du temps. | " => suggestions : ['\xa0»', '”']

49 Mot inconnu : CVS => ===== Compilation de la version 0.9.5 CVS ===== | cvs

51 Mot inconnu : vanilla => Une fois la version vanilla 0.9.5 installée, il devient trivial de récupérer le CVS et de le compiler. Un des très grands intérêts du CVS actuel tient dans les progrès très significatifs pour les Widgets (//apt-get install libwxbase2.8-dev// si nécessaire !) | vanilla
51 Accord de nombre erroné avec « 5 » : « installée » devrait être au pluriel. => Une fois la version vanilla 0.9.5 installée, il devient trivial de récupérer le CVS et de le compiler. Un des très grands intérêts du CVS actuel tient dans les progrès très significatifs pour les Widgets (//apt-get install libwxbase2.8-dev// si nécessaire !) | installée => suggestions : ['installées']
51 Mot inconnu : CVS => Une fois la version vanilla 0.9.5 installée, il devient trivial de récupérer le CVS et de le compiler. Un des très grands intérêts du CVS actuel tient dans les progrès très significatifs pour les Widgets (//apt-get install libwxbase2.8-dev// si nécessaire !) | cvs
51 Mot inconnu : CVS => Une fois la version vanilla 0.9.5 installée, il devient trivial de récupérer le CVS et de le compiler. Un des très grands intérêts du CVS actuel tient dans les progrès très significatifs pour les Widgets (//apt-get install libwxbase2.8-dev// si nécessaire !) | cvs
51 Mot inconnu : apt-get => Une fois la version vanilla 0.9.5 installée, il devient trivial de récupérer le CVS et de le compiler. Un des très grands intérêts du CVS actuel tient dans les progrès très significatifs pour les Widgets (//apt-get install libwxbase2.8-dev// si nécessaire !) | apt-get
51 Mot inconnu : install => Une fois la version vanilla 0.9.5 installée, il devient trivial de récupérer le CVS et de le compiler. Un des très grands intérêts du CVS actuel tient dans les progrès très significatifs pour les Widgets (//apt-get install libwxbase2.8-dev// si nécessaire !) | install
51 Mot inconnu : libwxbase2 => Une fois la version vanilla 0.9.5 installée, il devient trivial de récupérer le CVS et de le compiler. Un des très grands intérêts du CVS actuel tient dans les progrès très significatifs pour les Widgets (//apt-get install libwxbase2.8-dev// si nécessaire !) | libwxbase2
51 Mot inconnu : dev => Une fois la version vanilla 0.9.5 installée, il devient trivial de récupérer le CVS et de le compiler. Un des très grands intérêts du CVS actuel tient dans les progrès très significatifs pour les Widgets (//apt-get install libwxbase2.8-dev// si nécessaire !) | dev

55 Mot inconnu : GDL => Un petit script automatisé permet de compiler a minima GDL, ce qui permet de tester les fonctionnalités centrales de GDL (interpréteur, affichage). Ce script a été écrit dans l'esprit d'être aussi robuste que possible, même sous OSX ou MSwin ou de très vieux GNU/Linux (e.g. Mandriva 2009 ou Suse10). De nombreuses //options// (usage de FFTw pour le FFT) ou //optimisations// (usage de Eigen3 pour les opérations matricielles) de GDL y sont désactivés mais cela permet de tester à moindre frais la version récente de l'interpréteur pour des utilisateurs dubitatifs. | gdl
55 Mot inconnu : GDL => Un petit script automatisé permet de compiler a minima GDL, ce qui permet de tester les fonctionnalités centrales de GDL (interpréteur, affichage). Ce script a été écrit dans l'esprit d'être aussi robuste que possible, même sous OSX ou MSwin ou de très vieux GNU/Linux (e.g. Mandriva 2009 ou Suse10). De nombreuses //options// (usage de FFTw pour le FFT) ou //optimisations// (usage de Eigen3 pour les opérations matricielles) de GDL y sont désactivés mais cela permet de tester à moindre frais la version récente de l'interpréteur pour des utilisateurs dubitatifs. | gdl
55 Mot inconnu : OSX => Un petit script automatisé permet de compiler a minima GDL, ce qui permet de tester les fonctionnalités centrales de GDL (interpréteur, affichage). Ce script a été écrit dans l'esprit d'être aussi robuste que possible, même sous OSX ou MSwin ou de très vieux GNU/Linux (e.g. Mandriva 2009 ou Suse10). De nombreuses //options// (usage de FFTw pour le FFT) ou //optimisations// (usage de Eigen3 pour les opérations matricielles) de GDL y sont désactivés mais cela permet de tester à moindre frais la version récente de l'interpréteur pour des utilisateurs dubitatifs. | osx
55 Mot inconnu : MSwin => Un petit script automatisé permet de compiler a minima GDL, ce qui permet de tester les fonctionnalités centrales de GDL (interpréteur, affichage). Ce script a été écrit dans l'esprit d'être aussi robuste que possible, même sous OSX ou MSwin ou de très vieux GNU/Linux (e.g. Mandriva 2009 ou Suse10). De nombreuses //options// (usage de FFTw pour le FFT) ou //optimisations// (usage de Eigen3 pour les opérations matricielles) de GDL y sont désactivés mais cela permet de tester à moindre frais la version récente de l'interpréteur pour des utilisateurs dubitatifs. | mswin
55 Mot inconnu : Mandriva => Un petit script automatisé permet de compiler a minima GDL, ce qui permet de tester les fonctionnalités centrales de GDL (interpréteur, affichage). Ce script a été écrit dans l'esprit d'être aussi robuste que possible, même sous OSX ou MSwin ou de très vieux GNU/Linux (e.g. Mandriva 2009 ou Suse10). De nombreuses //options// (usage de FFTw pour le FFT) ou //optimisations// (usage de Eigen3 pour les opérations matricielles) de GDL y sont désactivés mais cela permet de tester à moindre frais la version récente de l'interpréteur pour des utilisateurs dubitatifs. | mandriva
55 Mot inconnu : Suse10 => Un petit script automatisé permet de compiler a minima GDL, ce qui permet de tester les fonctionnalités centrales de GDL (interpréteur, affichage). Ce script a été écrit dans l'esprit d'être aussi robuste que possible, même sous OSX ou MSwin ou de très vieux GNU/Linux (e.g. Mandriva 2009 ou Suse10). De nombreuses //options// (usage de FFTw pour le FFT) ou //optimisations// (usage de Eigen3 pour les opérations matricielles) de GDL y sont désactivés mais cela permet de tester à moindre frais la version récente de l'interpréteur pour des utilisateurs dubitatifs. | suse10
55 Mot inconnu : FFTw => Un petit script automatisé permet de compiler a minima GDL, ce qui permet de tester les fonctionnalités centrales de GDL (interpréteur, affichage). Ce script a été écrit dans l'esprit d'être aussi robuste que possible, même sous OSX ou MSwin ou de très vieux GNU/Linux (e.g. Mandriva 2009 ou Suse10). De nombreuses //options// (usage de FFTw pour le FFT) ou //optimisations// (usage de Eigen3 pour les opérations matricielles) de GDL y sont désactivés mais cela permet de tester à moindre frais la version récente de l'interpréteur pour des utilisateurs dubitatifs. | fftw
55 Mot inconnu : FFT => Un petit script automatisé permet de compiler a minima GDL, ce qui permet de tester les fonctionnalités centrales de GDL (interpréteur, affichage). Ce script a été écrit dans l'esprit d'être aussi robuste que possible, même sous OSX ou MSwin ou de très vieux GNU/Linux (e.g. Mandriva 2009 ou Suse10). De nombreuses //options// (usage de FFTw pour le FFT) ou //optimisations// (usage de Eigen3 pour les opérations matricielles) de GDL y sont désactivés mais cela permet de tester à moindre frais la version récente de l'interpréteur pour des utilisateurs dubitatifs. | fft
55 Mot inconnu : imisations => Un petit script automatisé permet de compiler a minima GDL, ce qui permet de tester les fonctionnalités centrales de GDL (interpréteur, affichage). Ce script a été écrit dans l'esprit d'être aussi robuste que possible, même sous OSX ou MSwin ou de très vieux GNU/Linux (e.g. Mandriva 2009 ou Suse10). De nombreuses //options// (usage de FFTw pour le FFT) ou //optimisations// (usage de Eigen3 pour les opérations matricielles) de GDL y sont désactivés mais cela permet de tester à moindre frais la version récente de l'interpréteur pour des utilisateurs dubitatifs. | imisations
55 Mot inconnu : Eigen3 => Un petit script automatisé permet de compiler a minima GDL, ce qui permet de tester les fonctionnalités centrales de GDL (interpréteur, affichage). Ce script a été écrit dans l'esprit d'être aussi robuste que possible, même sous OSX ou MSwin ou de très vieux GNU/Linux (e.g. Mandriva 2009 ou Suse10). De nombreuses //options// (usage de FFTw pour le FFT) ou //optimisations// (usage de Eigen3 pour les opérations matricielles) de GDL y sont désactivés mais cela permet de tester à moindre frais la version récente de l'interpréteur pour des utilisateurs dubitatifs. | eigen3
55 Mot inconnu : GDL => Un petit script automatisé permet de compiler a minima GDL, ce qui permet de tester les fonctionnalités centrales de GDL (interpréteur, affichage). Ce script a été écrit dans l'esprit d'être aussi robuste que possible, même sous OSX ou MSwin ou de très vieux GNU/Linux (e.g. Mandriva 2009 ou Suse10). De nombreuses //options// (usage de FFTw pour le FFT) ou //optimisations// (usage de Eigen3 pour les opérations matricielles) de GDL y sont désactivés mais cela permet de tester à moindre frais la version récente de l'interpréteur pour des utilisateurs dubitatifs. | gdl
55 Pour évoquer des dépenses, écrivez “frais” (pluriel). => Un petit script automatisé permet de compiler a minima GDL, ce qui permet de tester les fonctionnalités centrales de GDL (interpréteur, affichage). Ce script a été écrit dans l'esprit d'être aussi robuste que possible, même sous OSX ou MSwin ou de très vieux GNU/Linux (e.g. Mandriva 2009 ou Suse10). De nombreuses //options// (usage de FFTw pour le FFT) ou //optimisations// (usage de Eigen3 pour les opérations matricielles) de GDL y sont désactivés mais cela permet de tester à moindre frais la version récente de l'interpréteur pour des utilisateurs dubitatifs. | à moindre frais => suggestions : ['à moindres frais']

57 Il manque un espace à côté du tiret. => Il n'y a eu à ce jour aucun retour négatif sous Ubuntu (à partir de 10.04 inclus) et Debian (sauf ajout de quelques paquets -dev-, cf tuto) |  - => suggestions : [' – ', ' — ']
57 Mot inconnu : dev => Il n'y a eu à ce jour aucun retour négatif sous Ubuntu (à partir de 10.04 inclus) et Debian (sauf ajout de quelques paquets -dev-, cf tuto) | dev

61 Mot inconnu : make => Toute version antérieure à 0.9.5 est considérée comme obsolète. De plus, la voie //configure & make// a été retirée depuis 0.9.5, remplacée par la voie //cmake & make//. (On ne garde ces explications juste au cas - ou (il y a parfois des ruses par rapport à certains cas pointus ... GDL est utilisé sur certains vieux OS | make
61 Mot inconnu : cmake => Toute version antérieure à 0.9.5 est considérée comme obsolète. De plus, la voie //configure & make// a été retirée depuis 0.9.5, remplacée par la voie //cmake & make//. (On ne garde ces explications juste au cas - ou (il y a parfois des ruses par rapport à certains cas pointus ... GDL est utilisé sur certains vieux OS | cmake
61 Mot inconnu : make => Toute version antérieure à 0.9.5 est considérée comme obsolète. De plus, la voie //configure & make// a été retirée depuis 0.9.5, remplacée par la voie //cmake & make//. (On ne garde ces explications juste au cas - ou (il y a parfois des ruses par rapport à certains cas pointus ... GDL est utilisé sur certains vieux OS | make
61 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Toute version antérieure à 0.9.5 est considérée comme obsolète. De plus, la voie //configure & make// a été retirée depuis 0.9.5, remplacée par la voie //cmake & make//. (On ne garde ces explications juste au cas - ou (il y a parfois des ruses par rapport à certains cas pointus ... GDL est utilisé sur certains vieux OS |  -  => suggestions : [' – ', ' — ', ' − ']
61 Typographie : points de suspension. Utilisez le caractère dédié. => Toute version antérieure à 0.9.5 est considérée comme obsolète. De plus, la voie //configure & make// a été retirée depuis 0.9.5, remplacée par la voie //cmake & make//. (On ne garde ces explications juste au cas - ou (il y a parfois des ruses par rapport à certains cas pointus ... GDL est utilisé sur certains vieux OS | ... => suggestions : ['…']
61 Mot inconnu : GDL => Toute version antérieure à 0.9.5 est considérée comme obsolète. De plus, la voie //configure & make// a été retirée depuis 0.9.5, remplacée par la voie //cmake & make//. (On ne garde ces explications juste au cas - ou (il y a parfois des ruses par rapport à certains cas pointus ... GDL est utilisé sur certains vieux OS | gdl

62 Typographie : points de suspension. Utilisez le caractère dédié. => pour faire tourner des pipelines extensivement testés et on peut vouloir rejouer cela ...)) | ... => suggestions : ['…']

64 Mot inconnu : GDL => Compilation en utilisant la version GDL : gdl-0.9.3 et plplot 5.9.5 (préalablement déjà compiler et installer.) | gdl
64 Mot inconnu : gdl-0 => Compilation en utilisant la version GDL : gdl-0.9.3 et plplot 5.9.5 (préalablement déjà compiler et installer.) | gdl-0
64 Mot inconnu : plplot => Compilation en utilisant la version GDL : gdl-0.9.3 et plplot 5.9.5 (préalablement déjà compiler et installer.) | plplot

77 Mot inconnu : GDL => Ceci est évidemment transposable aux autres versions de GDL | gdl

79 Mot inconnu : make => Je considère que //make install// est facultatif: il est tout a fait possible de compiler le projet puis de vivre en local. Une autre solution est d'utiliser un répertoire local, ce qui permet de faire co-exister la version | make
79 Mot inconnu : install => Je considère que //make install// est facultatif: il est tout a fait possible de compiler le projet puis de vivre en local. Une autre solution est d'utiliser un répertoire local, ce qui permet de faire co-exister la version | install
79 Confusion : “a” est une forme conjuguée de “avoir”. Pour la préposition, écrivez “à”. => Je considère que //make install// est facultatif: il est tout a fait possible de compiler le projet puis de vivre en local. Une autre solution est d'utiliser un répertoire local, ce qui permet de faire co-exister la version | a => suggestions : ['à']
79 Mot inconnu : co-exister => Je considère que //make install// est facultatif: il est tout a fait possible de compiler le projet puis de vivre en local. Une autre solution est d'utiliser un répertoire local, ce qui permet de faire co-exister la version | co-exister

80 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => packagee pour Ubuntu et sa version compilee soi-meme. Il suffit de faire: | packagee => suggestions : ['Packagee']
80 Mot inconnu : packagee => packagee pour Ubuntu et sa version compilee soi-meme. Il suffit de faire: | packagee
80 Mot inconnu : compilee => packagee pour Ubuntu et sa version compilee soi-meme. Il suffit de faire: | compilee
80 Mot inconnu : soi-meme => packagee pour Ubuntu et sa version compilee soi-meme. Il suffit de faire: | soi-meme

87 Mot inconnu : plplot => Supposons que vous ayez la version 5.9.5 de plplot, compilée à la main, dans une arborescence locale, ainsi qu'une version ad-hoc de la GSL, il suffira de faire: | plplot
87 Mot inconnu : GSL => Supposons que vous ayez la version 5.9.5 de plplot, compilée à la main, dans une arborescence locale, ainsi qu'une version ad-hoc de la GSL, il suffira de faire: | gsl

102 Espace(s) en fin de ligne à supprimer. => Si, par hasard la partie graphique ne démarrait pas convenablement, il peut être utile d'ajouter  |   => suggestions : ['']

106 Mot inconnu : qlq1 => (si qlq1 pouvait expliquer, et me dire comment corriger cela dans le code, j'en serais ravi !) | qlq1

107 Espace(s) en fin de ligne à supprimer. => Attention, il ne faut pas confondre ce problème-ci avec le manque du package  |   => suggestions : ['']

111 Mot inconnu : gdl-0 => ===== Compilation de gdl-0.9rc4 sous Ubuntu 10.04 LTS ===== | gdl-0
111 Mot inconnu : rc4 => ===== Compilation de gdl-0.9rc4 sous Ubuntu 10.04 LTS ===== | rc4
111 Mot inconnu : LTS => ===== Compilation de gdl-0.9rc4 sous Ubuntu 10.04 LTS ===== | lts

112 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

113 Mot inconnu : GDL => Il ne faut pas oublier que la compilation de GDL nécessite les paquets suivants: //readline, gsl, plplot// en version //dev//. Le paquet facultatif //fftw// est recommandé pour avoir une version efficace des FFT, meilleure que le code dans la GSL. Le paquet ImageMagick est facultatif mais il est vivement recommandé. Pour de simples tests, HDF et NetCDF ne sont pas vraiment indispensables ! (Si vous ne connaissez pas, passez ! En prime, ca gagnera du temps à la compilation ;-) | gdl
113 Mot inconnu : readline => Il ne faut pas oublier que la compilation de GDL nécessite les paquets suivants: //readline, gsl, plplot// en version //dev//. Le paquet facultatif //fftw// est recommandé pour avoir une version efficace des FFT, meilleure que le code dans la GSL. Le paquet ImageMagick est facultatif mais il est vivement recommandé. Pour de simples tests, HDF et NetCDF ne sont pas vraiment indispensables ! (Si vous ne connaissez pas, passez ! En prime, ca gagnera du temps à la compilation ;-) | readline
113 Mot inconnu : gsl => Il ne faut pas oublier que la compilation de GDL nécessite les paquets suivants: //readline, gsl, plplot// en version //dev//. Le paquet facultatif //fftw// est recommandé pour avoir une version efficace des FFT, meilleure que le code dans la GSL. Le paquet ImageMagick est facultatif mais il est vivement recommandé. Pour de simples tests, HDF et NetCDF ne sont pas vraiment indispensables ! (Si vous ne connaissez pas, passez ! En prime, ca gagnera du temps à la compilation ;-) | gsl
113 Mot inconnu : plplot => Il ne faut pas oublier que la compilation de GDL nécessite les paquets suivants: //readline, gsl, plplot// en version //dev//. Le paquet facultatif //fftw// est recommandé pour avoir une version efficace des FFT, meilleure que le code dans la GSL. Le paquet ImageMagick est facultatif mais il est vivement recommandé. Pour de simples tests, HDF et NetCDF ne sont pas vraiment indispensables ! (Si vous ne connaissez pas, passez ! En prime, ca gagnera du temps à la compilation ;-) | plplot
113 Mot inconnu : fftw => Il ne faut pas oublier que la compilation de GDL nécessite les paquets suivants: //readline, gsl, plplot// en version //dev//. Le paquet facultatif //fftw// est recommandé pour avoir une version efficace des FFT, meilleure que le code dans la GSL. Le paquet ImageMagick est facultatif mais il est vivement recommandé. Pour de simples tests, HDF et NetCDF ne sont pas vraiment indispensables ! (Si vous ne connaissez pas, passez ! En prime, ca gagnera du temps à la compilation ;-) | fftw
113 Mot inconnu : FFT => Il ne faut pas oublier que la compilation de GDL nécessite les paquets suivants: //readline, gsl, plplot// en version //dev//. Le paquet facultatif //fftw// est recommandé pour avoir une version efficace des FFT, meilleure que le code dans la GSL. Le paquet ImageMagick est facultatif mais il est vivement recommandé. Pour de simples tests, HDF et NetCDF ne sont pas vraiment indispensables ! (Si vous ne connaissez pas, passez ! En prime, ca gagnera du temps à la compilation ;-) | fft
113 Mot inconnu : GSL => Il ne faut pas oublier que la compilation de GDL nécessite les paquets suivants: //readline, gsl, plplot// en version //dev//. Le paquet facultatif //fftw// est recommandé pour avoir une version efficace des FFT, meilleure que le code dans la GSL. Le paquet ImageMagick est facultatif mais il est vivement recommandé. Pour de simples tests, HDF et NetCDF ne sont pas vraiment indispensables ! (Si vous ne connaissez pas, passez ! En prime, ca gagnera du temps à la compilation ;-) | gsl
113 Mot inconnu : ImageMagick => Il ne faut pas oublier que la compilation de GDL nécessite les paquets suivants: //readline, gsl, plplot// en version //dev//. Le paquet facultatif //fftw// est recommandé pour avoir une version efficace des FFT, meilleure que le code dans la GSL. Le paquet ImageMagick est facultatif mais il est vivement recommandé. Pour de simples tests, HDF et NetCDF ne sont pas vraiment indispensables ! (Si vous ne connaissez pas, passez ! En prime, ca gagnera du temps à la compilation ;-) | imagemagick
113 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => Il ne faut pas oublier que la compilation de GDL nécessite les paquets suivants: //readline, gsl, plplot// en version //dev//. Le paquet facultatif //fftw// est recommandé pour avoir une version efficace des FFT, meilleure que le code dans la GSL. Le paquet ImageMagick est facultatif mais il est vivement recommandé. Pour de simples tests, HDF et NetCDF ne sont pas vraiment indispensables ! (Si vous ne connaissez pas, passez ! En prime, ca gagnera du temps à la compilation ;-) |  mais => suggestions : [', mais']
113 Mot inconnu : HDF => Il ne faut pas oublier que la compilation de GDL nécessite les paquets suivants: //readline, gsl, plplot// en version //dev//. Le paquet facultatif //fftw// est recommandé pour avoir une version efficace des FFT, meilleure que le code dans la GSL. Le paquet ImageMagick est facultatif mais il est vivement recommandé. Pour de simples tests, HDF et NetCDF ne sont pas vraiment indispensables ! (Si vous ne connaissez pas, passez ! En prime, ca gagnera du temps à la compilation ;-) | hdf
113 Mot inconnu : NetCDF => Il ne faut pas oublier que la compilation de GDL nécessite les paquets suivants: //readline, gsl, plplot// en version //dev//. Le paquet facultatif //fftw// est recommandé pour avoir une version efficace des FFT, meilleure que le code dans la GSL. Le paquet ImageMagick est facultatif mais il est vivement recommandé. Pour de simples tests, HDF et NetCDF ne sont pas vraiment indispensables ! (Si vous ne connaissez pas, passez ! En prime, ca gagnera du temps à la compilation ;-) | netcdf
