
5 Mot inconnu : UUID => ====== UUID et label ====== | uuid
46 Espace(s) en fin de ligne à supprimer. => /dev/sda4: UUID="DCF041AFF0419126" TYPE="ntfs"  |   => suggestions : ['']

52 Mot inconnu : UUID => vous permet de connaître les droits d'accès, le propriétaire, la date et l'heure de création et, enfin, l'UUID.  | uuid
52 Espace(s) en fin de ligne à supprimer. => vous permet de connaître les droits d'accès, le propriétaire, la date et l'heure de création et, enfin, l'UUID.  |   => suggestions : ['']

54 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => lrwxrwxrwx 1 root root 10 oct.  22 18:05 2c313d40-6bdc-4e42-917a-b04f88764aac -> ../../sdb1 | lrwxrwxrwx => suggestions : ['Lrwxrwxrwx']
54 Mot inconnu : lrwxrwxrwx => lrwxrwxrwx 1 root root 10 oct.  22 18:05 2c313d40-6bdc-4e42-917a-b04f88764aac -> ../../sdb1 | lrwxrwxrwx
54 Mot inconnu : root => lrwxrwxrwx 1 root root 10 oct.  22 18:05 2c313d40-6bdc-4e42-917a-b04f88764aac -> ../../sdb1 | root
54 Doublon. => lrwxrwxrwx 1 root root 10 oct.  22 18:05 2c313d40-6bdc-4e42-917a-b04f88764aac -> ../../sdb1 | root root => suggestions : ['root']
54 Mot inconnu : root => lrwxrwxrwx 1 root root 10 oct.  22 18:05 2c313d40-6bdc-4e42-917a-b04f88764aac -> ../../sdb1 | root
54 Espace(s) surnuméraire(s) à supprimer. => lrwxrwxrwx 1 root root 10 oct.  22 18:05 2c313d40-6bdc-4e42-917a-b04f88764aac -> ../../sdb1 |    => suggestions : [' ']
54 Mot inconnu : c313d40-6bdc-4e42-917a-b04f88764aac => lrwxrwxrwx 1 root root 10 oct.  22 18:05 2c313d40-6bdc-4e42-917a-b04f88764aac -> ../../sdb1 | c313d40-6bdc-4e42-917a-b04f88764aac
54 Typographie : un ou trois points ? => lrwxrwxrwx 1 root root 10 oct.  22 18:05 2c313d40-6bdc-4e42-917a-b04f88764aac -> ../../sdb1 | .. => suggestions : ['…', '.']
54 Typographie : un ou trois points ? => lrwxrwxrwx 1 root root 10 oct.  22 18:05 2c313d40-6bdc-4e42-917a-b04f88764aac -> ../../sdb1 | .. => suggestions : ['…', '.']
54 Mot inconnu : sdb1 => lrwxrwxrwx 1 root root 10 oct.  22 18:05 2c313d40-6bdc-4e42-917a-b04f88764aac -> ../../sdb1 | sdb1

55 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => lrwxrwxrwx 1 root root 10 oct.  22 18:05 8244710a-5cce-49ad-8b93-a92b5d2e53a0 -> ../../sda3 | lrwxrwxrwx => suggestions : ['Lrwxrwxrwx']
55 Mot inconnu : lrwxrwxrwx => lrwxrwxrwx 1 root root 10 oct.  22 18:05 8244710a-5cce-49ad-8b93-a92b5d2e53a0 -> ../../sda3 | lrwxrwxrwx
55 Mot inconnu : root => lrwxrwxrwx 1 root root 10 oct.  22 18:05 8244710a-5cce-49ad-8b93-a92b5d2e53a0 -> ../../sda3 | root
55 Doublon. => lrwxrwxrwx 1 root root 10 oct.  22 18:05 8244710a-5cce-49ad-8b93-a92b5d2e53a0 -> ../../sda3 | root root => suggestions : ['root']
55 Mot inconnu : root => lrwxrwxrwx 1 root root 10 oct.  22 18:05 8244710a-5cce-49ad-8b93-a92b5d2e53a0 -> ../../sda3 | root
55 Espace(s) surnuméraire(s) à supprimer. => lrwxrwxrwx 1 root root 10 oct.  22 18:05 8244710a-5cce-49ad-8b93-a92b5d2e53a0 -> ../../sda3 |    => suggestions : [' ']
55 Mot inconnu : a-5cce-49ad-8b93-a92b5d2e53a0 => lrwxrwxrwx 1 root root 10 oct.  22 18:05 8244710a-5cce-49ad-8b93-a92b5d2e53a0 -> ../../sda3 | a-5cce-49ad-8b93-a92b5d2e53a0
55 Typographie : un ou trois points ? => lrwxrwxrwx 1 root root 10 oct.  22 18:05 8244710a-5cce-49ad-8b93-a92b5d2e53a0 -> ../../sda3 | .. => suggestions : ['…', '.']
55 Typographie : un ou trois points ? => lrwxrwxrwx 1 root root 10 oct.  22 18:05 8244710a-5cce-49ad-8b93-a92b5d2e53a0 -> ../../sda3 | .. => suggestions : ['…', '.']
55 Mot inconnu : sda3 => lrwxrwxrwx 1 root root 10 oct.  22 18:05 8244710a-5cce-49ad-8b93-a92b5d2e53a0 -> ../../sda3 | sda3

56 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => lrwxrwxrwx 1 root root 10 oct.  22 18:05 8bf33340-e94c-4c4c-981d-35e73f8bc65c -> ../../sda1 | lrwxrwxrwx => suggestions : ['Lrwxrwxrwx']
56 Mot inconnu : lrwxrwxrwx => lrwxrwxrwx 1 root root 10 oct.  22 18:05 8bf33340-e94c-4c4c-981d-35e73f8bc65c -> ../../sda1 | lrwxrwxrwx
56 Mot inconnu : root => lrwxrwxrwx 1 root root 10 oct.  22 18:05 8bf33340-e94c-4c4c-981d-35e73f8bc65c -> ../../sda1 | root
56 Doublon. => lrwxrwxrwx 1 root root 10 oct.  22 18:05 8bf33340-e94c-4c4c-981d-35e73f8bc65c -> ../../sda1 | root root => suggestions : ['root']
56 Mot inconnu : root => lrwxrwxrwx 1 root root 10 oct.  22 18:05 8bf33340-e94c-4c4c-981d-35e73f8bc65c -> ../../sda1 | root
56 Espace(s) surnuméraire(s) à supprimer. => lrwxrwxrwx 1 root root 10 oct.  22 18:05 8bf33340-e94c-4c4c-981d-35e73f8bc65c -> ../../sda1 |    => suggestions : [' ']
56 Mot inconnu : bf33340-e94c-4c4c-981d-35e73f8bc65c => lrwxrwxrwx 1 root root 10 oct.  22 18:05 8bf33340-e94c-4c4c-981d-35e73f8bc65c -> ../../sda1 | bf33340-e94c-4c4c-981d-35e73f8bc65c
56 Typographie : un ou trois points ? => lrwxrwxrwx 1 root root 10 oct.  22 18:05 8bf33340-e94c-4c4c-981d-35e73f8bc65c -> ../../sda1 | .. => suggestions : ['…', '.']
56 Typographie : un ou trois points ? => lrwxrwxrwx 1 root root 10 oct.  22 18:05 8bf33340-e94c-4c4c-981d-35e73f8bc65c -> ../../sda1 | .. => suggestions : ['…', '.']
56 Mot inconnu : sda1 => lrwxrwxrwx 1 root root 10 oct.  22 18:05 8bf33340-e94c-4c4c-981d-35e73f8bc65c -> ../../sda1 | sda1

57 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => lrwxrwxrwx 1 root root 10 oct.  22 18:05 ac56a704-260b-45f5-85ac-e1b451bb79bc -> ../../sda2 | lrwxrwxrwx => suggestions : ['Lrwxrwxrwx']
57 Mot inconnu : lrwxrwxrwx => lrwxrwxrwx 1 root root 10 oct.  22 18:05 ac56a704-260b-45f5-85ac-e1b451bb79bc -> ../../sda2 | lrwxrwxrwx
57 Mot inconnu : root => lrwxrwxrwx 1 root root 10 oct.  22 18:05 ac56a704-260b-45f5-85ac-e1b451bb79bc -> ../../sda2 | root
57 Doublon. => lrwxrwxrwx 1 root root 10 oct.  22 18:05 ac56a704-260b-45f5-85ac-e1b451bb79bc -> ../../sda2 | root root => suggestions : ['root']
57 Mot inconnu : root => lrwxrwxrwx 1 root root 10 oct.  22 18:05 ac56a704-260b-45f5-85ac-e1b451bb79bc -> ../../sda2 | root
57 Espace(s) surnuméraire(s) à supprimer. => lrwxrwxrwx 1 root root 10 oct.  22 18:05 ac56a704-260b-45f5-85ac-e1b451bb79bc -> ../../sda2 |    => suggestions : [' ']
57 Mot inconnu : ac56a704-260b-45f5-85ac-e1b451bb79bc => lrwxrwxrwx 1 root root 10 oct.  22 18:05 ac56a704-260b-45f5-85ac-e1b451bb79bc -> ../../sda2 | ac56a704-260b-45f5-85ac-e1b451bb79bc
57 Typographie : un ou trois points ? => lrwxrwxrwx 1 root root 10 oct.  22 18:05 ac56a704-260b-45f5-85ac-e1b451bb79bc -> ../../sda2 | .. => suggestions : ['…', '.']
57 Typographie : un ou trois points ? => lrwxrwxrwx 1 root root 10 oct.  22 18:05 ac56a704-260b-45f5-85ac-e1b451bb79bc -> ../../sda2 | .. => suggestions : ['…', '.']
57 Mot inconnu : sda2 => lrwxrwxrwx 1 root root 10 oct.  22 18:05 ac56a704-260b-45f5-85ac-e1b451bb79bc -> ../../sda2 | sda2

58 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => lrwxrwxrwx 1 root root 10 oct.  22 18:05 DCF041AFF0419126 -> ../../sda4 | lrwxrwxrwx => suggestions : ['Lrwxrwxrwx']
58 Mot inconnu : lrwxrwxrwx => lrwxrwxrwx 1 root root 10 oct.  22 18:05 DCF041AFF0419126 -> ../../sda4 | lrwxrwxrwx
58 Mot inconnu : root => lrwxrwxrwx 1 root root 10 oct.  22 18:05 DCF041AFF0419126 -> ../../sda4 | root
58 Doublon. => lrwxrwxrwx 1 root root 10 oct.  22 18:05 DCF041AFF0419126 -> ../../sda4 | root root => suggestions : ['root']
58 Mot inconnu : root => lrwxrwxrwx 1 root root 10 oct.  22 18:05 DCF041AFF0419126 -> ../../sda4 | root
58 Espace(s) surnuméraire(s) à supprimer. => lrwxrwxrwx 1 root root 10 oct.  22 18:05 DCF041AFF0419126 -> ../../sda4 |    => suggestions : [' ']
58 Mot inconnu : DCF041AFF0419126 => lrwxrwxrwx 1 root root 10 oct.  22 18:05 DCF041AFF0419126 -> ../../sda4 | dcf041aff0419126
58 Typographie : un ou trois points ? => lrwxrwxrwx 1 root root 10 oct.  22 18:05 DCF041AFF0419126 -> ../../sda4 | .. => suggestions : ['…', '.']
58 Typographie : un ou trois points ? => lrwxrwxrwx 1 root root 10 oct.  22 18:05 DCF041AFF0419126 -> ../../sda4 | .. => suggestions : ['…', '.']
58 Mot inconnu : sda4 => lrwxrwxrwx 1 root root 10 oct.  22 18:05 DCF041AFF0419126 -> ../../sda4 | sda4

60 Mot inconnu : lsblk => On peut aussi utiliser la commande **lsblk** : | lsblk

63 Mot inconnu : sda => sda                                                              | sda
63 Espace(s) en fin de ligne à supprimer. => sda                                                              |                                                               => suggestions : ['']

64 Mot inconnu : sda1 => ├─sda1 ntfs     WIN10      6C8CA3038CA2C6C4                      | sda1
64 Mot inconnu : ntfs => ├─sda1 ntfs     WIN10      6C8CA3038CA2C6C4                      | ntfs
64 Espace(s) surnuméraire(s) à supprimer. => ├─sda1 ntfs     WIN10      6C8CA3038CA2C6C4                      |       => suggestions : [' ']
64 Mot inconnu : WIN10 => ├─sda1 ntfs     WIN10      6C8CA3038CA2C6C4                      | win10
64 Espace(s) surnuméraire(s) à supprimer. => ├─sda1 ntfs     WIN10      6C8CA3038CA2C6C4                      |        => suggestions : [' ']
64 Mot inconnu : C8CA3038CA2C6C4 => ├─sda1 ntfs     WIN10      6C8CA3038CA2C6C4                      | c8ca3038ca2c6c4
64 Espace(s) en fin de ligne à supprimer. => ├─sda1 ntfs     WIN10      6C8CA3038CA2C6C4                      |                       => suggestions : ['']

65 Mot inconnu : sda2 => ├─sda2 ext4                2e5f5a06-a3c3-4df5-a2c6-00be4b836223 / | sda2
65 Mot inconnu : ext4 => ├─sda2 ext4                2e5f5a06-a3c3-4df5-a2c6-00be4b836223 / | ext4
65 Espace(s) surnuméraire(s) à supprimer. => ├─sda2 ext4                2e5f5a06-a3c3-4df5-a2c6-00be4b836223 / |                  => suggestions : [' ']
65 Mot inconnu : e5f5a06-a3c3-4df5-a2c6-00be4b836223 => ├─sda2 ext4                2e5f5a06-a3c3-4df5-a2c6-00be4b836223 / | e5f5a06-a3c3-4df5-a2c6-00be4b836223

66 Mot inconnu : sda3 => ├─sda3 ext4     Home       4bdc4735-801e-43fe-b3f1-58fd832638f5 /home                                                           | sda3
66 Mot inconnu : ext4 => ├─sda3 ext4     Home       4bdc4735-801e-43fe-b3f1-58fd832638f5 /home                                                           | ext4
66 Espace(s) surnuméraire(s) à supprimer. => ├─sda3 ext4     Home       4bdc4735-801e-43fe-b3f1-58fd832638f5 /home                                                           |       => suggestions : [' ']
66 Espace(s) surnuméraire(s) à supprimer. => ├─sda3 ext4     Home       4bdc4735-801e-43fe-b3f1-58fd832638f5 /home                                                           |         => suggestions : [' ']
66 Mot inconnu : bdc4735-801e-43fe-b3f1-58fd832638f5 => ├─sda3 ext4     Home       4bdc4735-801e-43fe-b3f1-58fd832638f5 /home                                                           | bdc4735-801e-43fe-b3f1-58fd832638f5
66 Espace(s) en fin de ligne à supprimer. => ├─sda3 ext4     Home       4bdc4735-801e-43fe-b3f1-58fd832638f5 /home                                                           |                                                            => suggestions : ['']

67 Mot inconnu : sda4 => └─sda4 ext4     DATAS      08d50cc2-9aa0-45b2-a314-5f8bee8b8714 /media/user/DATAS | sda4
67 Mot inconnu : ext4 => └─sda4 ext4     DATAS      08d50cc2-9aa0-45b2-a314-5f8bee8b8714 /media/user/DATAS | ext4
67 Espace(s) surnuméraire(s) à supprimer. => └─sda4 ext4     DATAS      08d50cc2-9aa0-45b2-a314-5f8bee8b8714 /media/user/DATAS |       => suggestions : [' ']
67 Espace(s) surnuméraire(s) à supprimer. => └─sda4 ext4     DATAS      08d50cc2-9aa0-45b2-a314-5f8bee8b8714 /media/user/DATAS |        => suggestions : [' ']
67 Mot inconnu : d50cc2-9aa0-45b2-a314-5f8bee8b8714 => └─sda4 ext4     DATAS      08d50cc2-9aa0-45b2-a314-5f8bee8b8714 /media/user/DATAS | d50cc2-9aa0-45b2-a314-5f8bee8b8714

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Lancez la commande suivante pour obtenir son nouvel UUID :<code bash>sudo blkid /dev/sdc1</code>ce qui renvoie quelque chose comme<code bash>/dev/sdc1: UUID="8244710a-5cce-49ad-8b93-a92b5d2e53a0" TYPE="ext4"</code> |    => suggestions : ['']
73 Mot inconnu : UUID =>   * Lancez la commande suivante pour obtenir son nouvel UUID :<code bash>sudo blkid /dev/sdc1</code>ce qui renvoie quelque chose comme<code bash>/dev/sdc1: UUID="8244710a-5cce-49ad-8b93-a92b5d2e53a0" TYPE="ext4"</code> | uuid
73 Mot inconnu : UUID =>   * Lancez la commande suivante pour obtenir son nouvel UUID :<code bash>sudo blkid /dev/sdc1</code>ce qui renvoie quelque chose comme<code bash>/dev/sdc1: UUID="8244710a-5cce-49ad-8b93-a92b5d2e53a0" TYPE="ext4"</code> | uuid
73 Guillemets typographiques ouvrants. =>   * Lancez la commande suivante pour obtenir son nouvel UUID :<code bash>sudo blkid /dev/sdc1</code>ce qui renvoie quelque chose comme<code bash>/dev/sdc1: UUID="8244710a-5cce-49ad-8b93-a92b5d2e53a0" TYPE="ext4"</code> | " => suggestions : ['«\xa0', '“']
73 Mot inconnu : a-5cce-49ad-8b93-a92b5d2e53a0 =>   * Lancez la commande suivante pour obtenir son nouvel UUID :<code bash>sudo blkid /dev/sdc1</code>ce qui renvoie quelque chose comme<code bash>/dev/sdc1: UUID="8244710a-5cce-49ad-8b93-a92b5d2e53a0" TYPE="ext4"</code> | a-5cce-49ad-8b93-a92b5d2e53a0
73 Guillemets typographiques fermants. =>   * Lancez la commande suivante pour obtenir son nouvel UUID :<code bash>sudo blkid /dev/sdc1</code>ce qui renvoie quelque chose comme<code bash>/dev/sdc1: UUID="8244710a-5cce-49ad-8b93-a92b5d2e53a0" TYPE="ext4"</code> | " => suggestions : ['\xa0»', '”']
73 Guillemets typographiques ouvrants. =>   * Lancez la commande suivante pour obtenir son nouvel UUID :<code bash>sudo blkid /dev/sdc1</code>ce qui renvoie quelque chose comme<code bash>/dev/sdc1: UUID="8244710a-5cce-49ad-8b93-a92b5d2e53a0" TYPE="ext4"</code> | " => suggestions : ['«\xa0', '“']
73 Mot inconnu : ext4 =>   * Lancez la commande suivante pour obtenir son nouvel UUID :<code bash>sudo blkid /dev/sdc1</code>ce qui renvoie quelque chose comme<code bash>/dev/sdc1: UUID="8244710a-5cce-49ad-8b93-a92b5d2e53a0" TYPE="ext4"</code> | ext4
73 Guillemets typographiques fermants. =>   * Lancez la commande suivante pour obtenir son nouvel UUID :<code bash>sudo blkid /dev/sdc1</code>ce qui renvoie quelque chose comme<code bash>/dev/sdc1: UUID="8244710a-5cce-49ad-8b93-a92b5d2e53a0" TYPE="ext4"</code> | " => suggestions : ['\xa0»', '”']

76 Mot inconnu : UUID => En fait, le répertoire **/dev/disk/by-uuid/** qui recense les disques par UUID n'est mis à jour que pendant le démarrage.\\ | uuid

83 Mot inconnu : UUID => L'UUID est aussi nécessaire pour la partition de Swap, et notamment pour l'hibernation.\\ | uuid

88 Mot inconnu : FIXME => FIXME Utilité de ce paragraphe ? | fixme

89 Mot inconnu : udev => Cette méthode utilise [[udev]] pour forcer le nom du **node** correspondant au périphérique USB en fonction de son UUID. | udev
89 Mot inconnu : node => Cette méthode utilise [[udev]] pour forcer le nom du **node** correspondant au périphérique USB en fonction de son UUID. | node
89 Mot inconnu : UUID => Cette méthode utilise [[udev]] pour forcer le nom du **node** correspondant au périphérique USB en fonction de son UUID. | uuid

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Création d'une règle udev pour associer le périphérique avec le nom de node choisi : |    => suggestions : ['']
91 Mot inconnu : udev =>   * Création d'une règle udev pour associer le périphérique avec le nom de node choisi : | udev
91 Mot inconnu : node =>   * Création d'une règle udev pour associer le périphérique avec le nom de node choisi : | node

93 Mot inconnu : udev => <note warning>Les noms de fichier règle sont soumis à des conventions strictes, en particulier pour le choix du préfixe numérique.\\ Pour plus de précisions se rapporter à la page [[udev#fichiers_de_regles_et_syntaxes|Udev - Fichiers de règles et syntaxes]]</note> | udev
93 Mot inconnu : Udev => <note warning>Les noms de fichier règle sont soumis à des conventions strictes, en particulier pour le choix du préfixe numérique.\\ Pour plus de précisions se rapporter à la page [[udev#fichiers_de_regles_et_syntaxes|Udev - Fichiers de règles et syntaxes]]</note> | udev
93 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => <note warning>Les noms de fichier règle sont soumis à des conventions strictes, en particulier pour le choix du préfixe numérique.\\ Pour plus de précisions se rapporter à la page [[udev#fichiers_de_regles_et_syntaxes|Udev - Fichiers de règles et syntaxes]]</note> |  -  => suggestions : [' – ', ' — ', ' − ']

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Rajouter les lignes suivantes pour associer le nom de node au périphérique |    => suggestions : ['']
95 Mot inconnu : node =>   * Rajouter les lignes suivantes pour associer le nom de node au périphérique | node

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    <file>SUBSYSTEM!="block", GOTO="hotname_end" |     => suggestions : ['']
96 Mot inconnu : SUBSYSTEM =>    <file>SUBSYSTEM!="block", GOTO="hotname_end" | subsystem
96 Guillemets typographiques ouvrants. =>    <file>SUBSYSTEM!="block", GOTO="hotname_end" | " => suggestions : ['«\xa0', '“']
96 Mot inconnu : block =>    <file>SUBSYSTEM!="block", GOTO="hotname_end" | block
96 Guillemets typographiques fermants. =>    <file>SUBSYSTEM!="block", GOTO="hotname_end" | " => suggestions : ['\xa0»', '”']
96 Mot inconnu : GOTO =>    <file>SUBSYSTEM!="block", GOTO="hotname_end" | goto
96 Guillemets typographiques ouvrants. =>    <file>SUBSYSTEM!="block", GOTO="hotname_end" | " => suggestions : ['«\xa0', '“']
96 Mot inconnu : hotname_end =>    <file>SUBSYSTEM!="block", GOTO="hotname_end" | hotname_end
96 Guillemets typographiques fermants. =>    <file>SUBSYSTEM!="block", GOTO="hotname_end" | " => suggestions : ['\xa0»', '”']

97 Mot inconnu : program => IMPORT{program}="vol_id --export $tempnode" | program
97 Guillemets typographiques ouvrants. => IMPORT{program}="vol_id --export $tempnode" | " => suggestions : ['«\xa0', '“']
97 Mot inconnu : vol_id => IMPORT{program}="vol_id --export $tempnode" | vol_id
