
5 Mot inconnu : DAViCal => ====== DAViCal, serveur de calendrier CalDAV ====== | davical
56 Mot inconnu : DAViCal => <note>Si vous utilisez une base de données distante, à la dernière ligne remplacez « 127.0.0.1/32 » par l'IP/masque du serveur DAViCal.</note> | davical

58 Mot inconnu : PostgreSQL => Redémarrer PostgreSQL : | postgresql

64 Mot inconnu : DAViCal => Nous allons maintenant peupler la base grâce au script fourni par DAViCal : | davical

73 Mot inconnu : all => local all all trust | all
73 Doublon. => local all all trust | all all => suggestions : ['all']
73 Mot inconnu : all => local all all trust | all

78 Mot inconnu : PostgreSQL => Enfin redémarrer PostgreSQL : | postgresql

105 Mot inconnu : Virtualhost => Activez le Virtualhost que vous avez créé grâce à cette commande : | virtualhost

107 Mot inconnu : ServerName => <note tip>Remplacez ServerName par le nom de votre serveur, dans la plupart des cas commentez (ajoutez un # devant) le ServerAlias</note> | servername
107 Mot inconnu : ServerAlias => <note tip>Remplacez ServerName par le nom de votre serveur, dans la plupart des cas commentez (ajoutez un # devant) le ServerAlias</note> | serveralias

110 Mot inconnu : DAViCal => ==== Configuration de DAViCal ===== | davical

128 Mot inconnu : Davical => À ce stade, vous pouvez accéder à l'interface web de Davical en tapant [[http://localhost]] dans le navigateur. | davical

134 Mot inconnu : Davical => Pour commencer, il faut créer un utilisateur à partir de l'interface d'administration de Davical, tapez [[http://serveur_caldav/users.php]] (l'outil est tellement simple à utiliser qu'il est inutile d'entrer dans les détails). | davical

136 Mot inconnu : url => Une fois l'utilisateur créé, rendez-vous dans votre agenda préféré, au moment de saisir l'url, tapez [[http://serveur_caldav/caldav.php/username/home]]. | url
