
4 Mot inconnu : SMB => ====== SMB For Fuse ====== | smb
8 Mot inconnu : mélant => SMB For Fuse change la vie des machines présentes dans un réseau mélant des Windows et des serveurs Samba. | mélant

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']
26 Mot inconnu : fusesmb => C'est très simple, il suffit de mettre « fusesmb » suivi du point de montage. Exemple : | fusesmb

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd ~ |    => suggestions : ['']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mkdir -p Network |    => suggestions : ['']
28 Mot inconnu : mkdir =>   mkdir -p Network | mkdir
28 Il manque un espace à côté du tiret. =>   mkdir -p Network |  - => suggestions : [' – ', ' — ']
28 Mot inconnu : Network =>   mkdir -p Network | network

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   fusesmb Network |    => suggestions : ['']
29 Mot inconnu : fusesmb =>   fusesmb Network | fusesmb
29 Mot inconnu : Network =>   fusesmb Network | network

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   fusermount -u Network |    => suggestions : ['']
34 Mot inconnu : fusermount =>   fusermount -u Network | fusermount
34 Il manque un espace à côté du tiret. =>   fusermount -u Network |  - => suggestions : [' – ', ' — ']
34 Mot inconnu : Network =>   fusermount -u Network | network
37 Guillemets typographiques ouvrants. => Rajouter simplement la commande « ''fusesmb Network'' » dans votre gestionnaire de démarrage de session. | '' => suggestions : ['«\xa0', '“']
37 Mot inconnu : fusesmb => Rajouter simplement la commande « ''fusesmb Network'' » dans votre gestionnaire de démarrage de session. | fusesmb
37 Mot inconnu : Network => Rajouter simplement la commande « ''fusesmb Network'' » dans votre gestionnaire de démarrage de session. | network
37 Guillemets typographiques fermants. => Rajouter simplement la commande « ''fusesmb Network'' » dans votre gestionnaire de démarrage de session. | '' => suggestions : ['\xa0»', '”']
39 Guillemets typographiques ouvrants. => C'est dans le cas d'une connexion permanente au réseau car sinon cela peut causer des soucis au démarrage de la machine. Il faudra alors préférer créer un lanceur avec la même commande « ''fusesmb Network'' » dans le tableau de bord (en haut). Pour « monter » le réseau, il suffira de cliquer dessus. | '' => suggestions : ['«\xa0', '“']
39 Mot inconnu : fusesmb => C'est dans le cas d'une connexion permanente au réseau car sinon cela peut causer des soucis au démarrage de la machine. Il faudra alors préférer créer un lanceur avec la même commande « ''fusesmb Network'' » dans le tableau de bord (en haut). Pour « monter » le réseau, il suffira de cliquer dessus. | fusesmb
39 Mot inconnu : Network => C'est dans le cas d'une connexion permanente au réseau car sinon cela peut causer des soucis au démarrage de la machine. Il faudra alors préférer créer un lanceur avec la même commande « ''fusesmb Network'' » dans le tableau de bord (en haut). Pour « monter » le réseau, il suffira de cliquer dessus. | network
39 Guillemets typographiques fermants. => C'est dans le cas d'une connexion permanente au réseau car sinon cela peut causer des soucis au démarrage de la machine. Il faudra alors préférer créer un lanceur avec la même commande « ''fusesmb Network'' » dans le tableau de bord (en haut). Pour « monter » le réseau, il suffira de cliquer dessus. | '' => suggestions : ['\xa0»', '”']

42 Mot inconnu : SMB => Il est possible de configurer plus finement SMB for FUSE, notamment pour les droits utilisateurs. | smb
43 Mot inconnu : smb => Pour cela, il faut créer le répertoire et le fichier « ~/.smb/fusesmb.conf » dans votre Home. | smb
43 Mot inconnu : fusesmb => Pour cela, il faut créer le répertoire et le fichier « ~/.smb/fusesmb.conf » dans votre Home. | fusesmb
43 Il manque un espace. => Pour cela, il faut créer le répertoire et le fichier « ~/.smb/fusesmb.conf » dans votre Home. | conf => suggestions : [' conf']
45 Guillemets typographiques ouvrants. => Voici un fichier de base, pour plus de détail, consulter « ''man fusesmb.conf'' » : | '' => suggestions : ['«\xa0', '“']
45 Mot inconnu : fusesmb => Voici un fichier de base, pour plus de détail, consulter « ''man fusesmb.conf'' » : | fusesmb
45 Il manque un espace. => Voici un fichier de base, pour plus de détail, consulter « ''man fusesmb.conf'' » : | conf => suggestions : [' conf']
45 Guillemets typographiques fermants. => Voici un fichier de base, pour plus de détail, consulter « ''man fusesmb.conf'' » : | '' => suggestions : ['\xa0»', '”']

47 Mot inconnu : settings => ; Global settings | settings

50 Mot inconnu : Default => ; Default username and password | default
50 Mot inconnu : username => ; Default username and password | username
50 Mot inconnu : and => ; Default username and password | and
50 Mot inconnu : password => ; Default username and password | password

51 Mot inconnu : username => username=user | username

52 Mot inconnu : password => password=totallysecret | password
52 Mot inconnu : totallysecret => password=totallysecret | totallysecret

54 Mot inconnu : List => ; List hidden shares | list
54 Mot inconnu : hidden => ; List hidden shares | hidden
54 Mot inconnu : shares => ; List hidden shares | shares

55 Mot inconnu : showhiddenshares => showhiddenshares=true | showhiddenshares
55 Mot inconnu : true => showhiddenshares=true | true

57 Mot inconnu : Connection => ; Connection timeout in seconds | connection
57 Mot inconnu : timeout => ; Connection timeout in seconds | timeout

58 Mot inconnu : timeout => timeout = 10 | timeout

60 Il manque un espace. => ;Interval for updating new shares in minutes | interval => suggestions : [' Interval']
60 Mot inconnu : Interval => ;Interval for updating new shares in minutes | interval
60 Mot inconnu : updating => ;Interval for updating new shares in minutes | updating
60 Mot inconnu : shares => ;Interval for updating new shares in minutes | shares

61 Mot inconnu : interval => interval = 10 | interval

63 Mot inconnu : servers => ; Section for servers and/or workgroups to ignore | servers
63 Mot inconnu : and => ; Section for servers and/or workgroups to ignore | and
63 Mot inconnu : workgroups => ; Section for servers and/or workgroups to ignore | workgroups
63 Mot inconnu : to => ; Section for servers and/or workgroups to ignore | to

65 Mot inconnu : servers => servers=SERVER,SERVER2,SERVER3 | servers
65 Mot inconnu : SERVER => servers=SERVER,SERVER2,SERVER3 | server
65 Il manque un espace. => servers=SERVER,SERVER2,SERVER3 | server2 => suggestions : [' SERVER2']
65 Mot inconnu : SERVER2 => servers=SERVER,SERVER2,SERVER3 | server2
65 Mot inconnu : SERVER3 => servers=SERVER,SERVER2,SERVER3 | server3

66 Mot inconnu : workgroups => workgroups=WORKGROUP,WG2 | workgroups
66 Mot inconnu : WORKGROUP => workgroups=WORKGROUP,WG2 | workgroup
66 Il manque un espace. => workgroups=WORKGROUP,WG2 | wg2 => suggestions : [' WG2']
66 Mot inconnu : WG2 => workgroups=WORKGROUP,WG2 | wg2

68 Mot inconnu : Share-specific => ; Share-specific settings | share-specific
68 Mot inconnu : settings => ; Share-specific settings | settings

69 Mot inconnu : SERVER => [/SERVER/SHARE] | server
69 Mot inconnu : SHARE => [/SERVER/SHARE] | share

70 Mot inconnu : username => username=john | username
70 Mot inconnu : john => username=john | john

71 Mot inconnu : password => password=doe | password
71 Mot inconnu : doe => password=doe | doe

73 Mot inconnu : Server-specific => ; Server-specific settings | server-specific
73 Mot inconnu : settings => ; Server-specific settings | settings

74 Mot inconnu : SERVER => [/SERVER] | server

75 Mot inconnu : username => username=jane | username
75 Mot inconnu : jane => username=jane | jane

76 Mot inconnu : password => password=doe | password
76 Mot inconnu : doe => password=doe | doe

77 Mot inconnu : showhiddenshares => showhiddenshares=true | showhiddenshares
77 Mot inconnu : true => showhiddenshares=true | true

78 Mot inconnu : true => ignore=true | true

81 Mot inconnu : etre => Le fichier devrait etre accessible seulement par le propriétaire. | etre

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   chmod 600 /home/username/.smb/fusesmb.conf |    => suggestions : ['']
84 Mot inconnu : chmod =>   chmod 600 /home/username/.smb/fusesmb.conf | chmod

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?id=38912|Commentaires et discussion ici]]. |    => suggestions : ['']
93 Mot inconnu : NicoA380 => //Contributeurs : NicoA380 [[http://forum.ubuntu-fr.org/profile.php?id=2745|+]]// | nicoa380
