
6 Mot inconnu : JDownloader => ====== JDownloader ====== | jdownloader
30 Mot inconnu : routers =>   * Reconnexion avec JDLiveHeaderScripts: (1400 routers supportés) | routers

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Mise à jour en ligne |    => suggestions : ['']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Système de gestion des paquets intégré pour les modules additionnels (exemple : Interface Web, Shutdown)  |    => suggestions : ['']
32 Mot inconnu : Shutdown =>   * Système de gestion des paquets intégré pour les modules additionnels (exemple : Interface Web, Shutdown)  | shutdown
32 Espace(s) en fin de ligne à supprimer. =>   * Système de gestion des paquets intégré pour les modules additionnels (exemple : Interface Web, Shutdown)  |   => suggestions : ['']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

41 Mot inconnu : JDownloader => <note>JDownloader consomme énormément de mémoire vive, entre 300MiB et 700MiB (au bout d'une nuit) cela peut monter beaucoup plus. Des alternatives existent, voyez la page [[gestionnaire_de_telechargements]].</note> | jdownloader
41 Mot inconnu : MiB => <note>JDownloader consomme énormément de mémoire vive, entre 300MiB et 700MiB (au bout d'une nuit) cela peut monter beaucoup plus. Des alternatives existent, voyez la page [[gestionnaire_de_telechargements]].</note> | mib
41 Mot inconnu : MiB => <note>JDownloader consomme énormément de mémoire vive, entre 300MiB et 700MiB (au bout d'une nuit) cela peut monter beaucoup plus. Des alternatives existent, voyez la page [[gestionnaire_de_telechargements]].</note> | mib
41 Mot inconnu : gestionnaire_de_telechargements => <note>JDownloader consomme énormément de mémoire vive, entre 300MiB et 700MiB (au bout d'une nuit) cela peut monter beaucoup plus. Des alternatives existent, voyez la page [[gestionnaire_de_telechargements]].</note> | gestionnaire_de_telechargements

46 Mot inconnu : JDownloader => JDownloader n'est pas encore dans les dépôts officiels. Voici les 2 méthodes d'installation indiquées sur le [[https://jdownloader.org/download/index|site JDownloader]] , puis la méthode pour mettre à jour JD de façon à le rendre opérationnel avec un compte [[http://real-debrid.fr/|Real-Debrid]] : | jdownloader
46 Mot inconnu : JDownloader => JDownloader n'est pas encore dans les dépôts officiels. Voici les 2 méthodes d'installation indiquées sur le [[https://jdownloader.org/download/index|site JDownloader]] , puis la méthode pour mettre à jour JD de façon à le rendre opérationnel avec un compte [[http://real-debrid.fr/|Real-Debrid]] : | jdownloader
46 Pas d’espace avant une virgule. => JDownloader n'est pas encore dans les dépôts officiels. Voici les 2 méthodes d'installation indiquées sur le [[https://jdownloader.org/download/index|site JDownloader]] , puis la méthode pour mettre à jour JD de façon à le rendre opérationnel avec un compte [[http://real-debrid.fr/|Real-Debrid]] : |  , => suggestions : [',']
46 Mot inconnu : JD => JDownloader n'est pas encore dans les dépôts officiels. Voici les 2 méthodes d'installation indiquées sur le [[https://jdownloader.org/download/index|site JDownloader]] , puis la méthode pour mettre à jour JD de façon à le rendre opérationnel avec un compte [[http://real-debrid.fr/|Real-Debrid]] : | jd
48 Mot inconnu : logitheque => <note tip>Il est désormais possible d'installer sous format [[snap|Snap]] ou bien [[flatpak|flatpak]], voir les pages correspondantes pour ajouter ceci dans la [[logitheque|logithèque]].  | logitheque
48 Espace(s) en fin de ligne à supprimer. => <note tip>Il est désormais possible d'installer sous format [[snap|Snap]] ou bien [[flatpak|flatpak]], voir les pages correspondantes pour ajouter ceci dans la [[logitheque|logithèque]].  |   => suggestions : ['']

57 Mot inconnu : jdownloader => lancez ensuite la jdownloader depuis le menu de démarrage | jdownloader

61 Mot inconnu : Jdownloader => <note> Jdownloader vous dira que vous n'utilisez pas une version officielle de java, mais se lancera quand même. </note> | jdownloader

64 Espace(s) surnuméraire(s) à supprimer. => ==== Via le script  ==== |    => suggestions : [' ']

68 Mot inconnu : JDowloader => 2. Le script téléchargera et installera JDowloader dans le dossier caché ".jd" de votre dossier personnel. | jdowloader
68 Guillemets fermants. => 2. Le script téléchargera et installera JDowloader dans le dossier caché ".jd" de votre dossier personnel. |  " => suggestions : ['\xa0»', '”']
68 Mot inconnu : jd => 2. Le script téléchargera et installera JDowloader dans le dossier caché ".jd" de votre dossier personnel. | jd
68 Guillemets typographiques fermants. => 2. Le script téléchargera et installera JDowloader dans le dossier caché ".jd" de votre dossier personnel. | " => suggestions : ['\xa0»', '”']

70 Mot inconnu : JDowloader => Vous pouvez lancer JDowloader avec la commande suivante : | jdowloader

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   java -jar ~/.jd/JDownloader.jar |    => suggestions : ['']
72 Il manque un espace à côté du tiret. =>   java -jar ~/.jd/JDownloader.jar |  - => suggestions : [' – ', ' — ']
72 Mot inconnu : jd =>   java -jar ~/.jd/JDownloader.jar | jd
72 Mot inconnu : JDownloader =>   java -jar ~/.jd/JDownloader.jar | jdownloader
72 Il manque un espace. =>   java -jar ~/.jd/JDownloader.jar | jar => suggestions : [' jar']

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     |     => suggestions : ['']

79 Mot inconnu : Desktop => [Desktop Entry] | desktop
79 Mot inconnu : Entry => [Desktop Entry] | entry

80 Mot inconnu : Encoding => Encoding=UTF-8 | encoding

81 Mot inconnu : Name => Name=JDownloader | name
81 Mot inconnu : JDownloader => Name=JDownloader | jdownloader

83 Mot inconnu : Exec => Exec=java -jar .jd/JDownloader.jar | exec
83 Il manque un espace à côté du tiret. => Exec=java -jar .jd/JDownloader.jar |  - => suggestions : [' – ', ' — ']
83 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Exec=java -jar .jd/JDownloader.jar |  . => suggestions : ['. ', '.']
83 Mot inconnu : jd => Exec=java -jar .jd/JDownloader.jar | jd
83 Mot inconnu : JDownloader => Exec=java -jar .jd/JDownloader.jar | jdownloader
83 Il manque un espace. => Exec=java -jar .jd/JDownloader.jar | jar => suggestions : [' jar']

84 Mot inconnu : Icon => Icon=xfsm-switch.svg | icon
84 Mot inconnu : xfsm-switch => Icon=xfsm-switch.svg | xfsm-switch
84 Mot inconnu : svg => Icon=xfsm-switch.svg | svg

85 Mot inconnu : false => Terminal=false | false

87 Mot inconnu : Categories => Categories=Application;Network; | categories
87 Il manque un espace. => Categories=Application;Network; | network => suggestions : [' Network']
87 Mot inconnu : Network => Categories=Application;Network; | network

88 Mot inconnu : StartupNotify => StartupNotify=false | startupnotify
88 Mot inconnu : false => StartupNotify=false | false

93 Mot inconnu : Real-Debrid => ==== Mise à jour Real-Debrid ==== | real-debrid

95 Mot inconnu : Real-Debrid => Real-Debrid est un service en ligne payant et optionnel qui vous permet de télécharger sur divers hébergeurs. Leurs services peuvent être gratuitement sécurisés en SSL. Preuve de leur ouverture au monde du Libre, Real-Debrid aujourd'hui a choisi de porter son offre en la rendant compatible avec le gestionnaire JDownloader. Pour coupler votre compte à JDownloader, faites comme suit.  | real-debrid
95 Mot inconnu : SSL => Real-Debrid est un service en ligne payant et optionnel qui vous permet de télécharger sur divers hébergeurs. Leurs services peuvent être gratuitement sécurisés en SSL. Preuve de leur ouverture au monde du Libre, Real-Debrid aujourd'hui a choisi de porter son offre en la rendant compatible avec le gestionnaire JDownloader. Pour coupler votre compte à JDownloader, faites comme suit.  | ssl
95 Mot inconnu : Real-Debrid => Real-Debrid est un service en ligne payant et optionnel qui vous permet de télécharger sur divers hébergeurs. Leurs services peuvent être gratuitement sécurisés en SSL. Preuve de leur ouverture au monde du Libre, Real-Debrid aujourd'hui a choisi de porter son offre en la rendant compatible avec le gestionnaire JDownloader. Pour coupler votre compte à JDownloader, faites comme suit.  | real-debrid
95 Mot inconnu : JDownloader => Real-Debrid est un service en ligne payant et optionnel qui vous permet de télécharger sur divers hébergeurs. Leurs services peuvent être gratuitement sécurisés en SSL. Preuve de leur ouverture au monde du Libre, Real-Debrid aujourd'hui a choisi de porter son offre en la rendant compatible avec le gestionnaire JDownloader. Pour coupler votre compte à JDownloader, faites comme suit.  | jdownloader
95 Mot inconnu : JDownloader => Real-Debrid est un service en ligne payant et optionnel qui vous permet de télécharger sur divers hébergeurs. Leurs services peuvent être gratuitement sécurisés en SSL. Preuve de leur ouverture au monde du Libre, Real-Debrid aujourd'hui a choisi de porter son offre en la rendant compatible avec le gestionnaire JDownloader. Pour coupler votre compte à JDownloader, faites comme suit.  | jdownloader
95 Espace(s) en fin de ligne à supprimer. => Real-Debrid est un service en ligne payant et optionnel qui vous permet de télécharger sur divers hébergeurs. Leurs services peuvent être gratuitement sécurisés en SSL. Preuve de leur ouverture au monde du Libre, Real-Debrid aujourd'hui a choisi de porter son offre en la rendant compatible avec le gestionnaire JDownloader. Pour coupler votre compte à JDownloader, faites comme suit.  |   => suggestions : ['']

97 Mot inconnu : Real-Debrid => Si Real-Debrid (real-debrid.com) n’apparaît pas dans votre liste des hébergeurs, c'est que vous n'avez pas installé la version NIGHTLY ou bien que vous ne l'avez pas mise à jour après l'avoir installée. | real-debrid
97 Mot inconnu : real-debrid => Si Real-Debrid (real-debrid.com) n’apparaît pas dans votre liste des hébergeurs, c'est que vous n'avez pas installé la version NIGHTLY ou bien que vous ne l'avez pas mise à jour après l'avoir installée. | real-debrid
97 Mot inconnu : NIGHTLY => Si Real-Debrid (real-debrid.com) n’apparaît pas dans votre liste des hébergeurs, c'est que vous n'avez pas installé la version NIGHTLY ou bien que vous ne l'avez pas mise à jour après l'avoir installée. | nightly
101 Il manque un espace. => <code bash>sudo add-apt-repository ppa:jd-team/jdownloader</code> | jd-team => suggestions : [' jd-team']

104 Il manque un espace à côté du tiret. => <code bash>java -jar ~/.jdownloader/jdupdate.jar -branch NIGHTLY</code> |  - => suggestions : [' – ', ' — ']
104 Il manque un espace. => <code bash>java -jar ~/.jdownloader/jdupdate.jar -branch NIGHTLY</code> | jar => suggestions : [' jar']

106 Mot inconnu : JDownloader => Comment configurer JDownloader NIGHTLY après son installation: [[http://real-debrid.fr/lib/downloads/jdownloader/jdownloader-configuration.pdf|ici]] | jdownloader
106 Mot inconnu : NIGHTLY => Comment configurer JDownloader NIGHTLY après son installation: [[http://real-debrid.fr/lib/downloads/jdownloader/jdownloader-configuration.pdf|ici]] | nightly

108 Mot inconnu : JDownloader => <note important>Dans le cas où vous avez toujours des problèmes après avoir scrupuleusement suivi le PDF de configuration, vérifiez que votre compte est **marqué comme valide et actif dans JDownloader** et que vous n'avez **pas mis des comptes sur d'autres hébergeurs**, sinon ils seront utilisés avant le compte Real-Debrid ! | jdownloader
108 Mot inconnu : Real-Debrid => <note important>Dans le cas où vous avez toujours des problèmes après avoir scrupuleusement suivi le PDF de configuration, vérifiez que votre compte est **marqué comme valide et actif dans JDownloader** et que vous n'avez **pas mis des comptes sur d'autres hébergeurs**, sinon ils seront utilisés avant le compte Real-Debrid ! | real-debrid

109 Mot inconnu : JDownloader => Si JDownloader continue tout de même d'utiliser le mode gratuit des hébergeurs, vous pouvez copier les logs de celui-ci et les envoyer par le formulaire de contact [[https://real-debrid.fr/support|ici]], avec en //objet du message// : "problème de plugin(s)".</note> | jdownloader
109 Guillemets typographiques ouvrants. => Si JDownloader continue tout de même d'utiliser le mode gratuit des hébergeurs, vous pouvez copier les logs de celui-ci et les envoyer par le formulaire de contact [[https://real-debrid.fr/support|ici]], avec en //objet du message// : "problème de plugin(s)".</note> | " => suggestions : ['«\xa0', '“']
109 Écriture invariable. Utilisez un point médian. => Si JDownloader continue tout de même d'utiliser le mode gratuit des hébergeurs, vous pouvez copier les logs de celui-ci et les envoyer par le formulaire de contact [[https://real-debrid.fr/support|ici]], avec en //objet du message// : "problème de plugin(s)".</note> | plugin(s) => suggestions : ['plugin·s']

115 Mot inconnu : JDownloader => ==== JDownloader 2 Beta ==== | jdownloader
115 Mot inconnu : Beta => ==== JDownloader 2 Beta ==== | beta

117 Mot inconnu : FFmpeg => FFmpeg is missing ! Pour résoudre ce problème, notamment avec le site Youtube, il faut : | ffmpeg
117 Mot inconnu : is => FFmpeg is missing ! Pour résoudre ce problème, notamment avec le site Youtube, il faut : | is
117 Mot inconnu : missing => FFmpeg is missing ! Pour résoudre ce problème, notamment avec le site Youtube, il faut : | missing
117 Mot inconnu : Youtube => FFmpeg is missing ! Pour résoudre ce problème, notamment avec le site Youtube, il faut : | youtube

118 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Installer FFmpeg avec la Logithèque |    => suggestions : ['']
118 Mot inconnu : FFmpeg =>   * Installer FFmpeg avec la Logithèque | ffmpeg

119 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ouvrir JD et aller dans les Préférences |    => suggestions : ['']
119 Mot inconnu : JD =>   * Ouvrir JD et aller dans les Préférences | jd

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Puis dans les Paramètres avancés |    => suggestions : ['']

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Trouver la clef FFmpegSetup: Binary Path |    => suggestions : ['']
121 Mot inconnu : FFmpegSetup =>   * Trouver la clef FFmpegSetup: Binary Path | ffmpegsetup
121 Mot inconnu : Binary =>   * Trouver la clef FFmpegSetup: Binary Path | binary
121 Mot inconnu : Path =>   * Trouver la clef FFmpegSetup: Binary Path | path

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * A la place de 'null', mettre /snap/bin/ffmpeg |    => suggestions : ['']
122 S’il s’agit de la préposition « à », il faut accentuer la majuscule. =>   * A la place de 'null', mettre /snap/bin/ffmpeg | a => suggestions : ['À']
122 Guillemets typographiques ouvrants. =>   * A la place de 'null', mettre /snap/bin/ffmpeg | ' => suggestions : ['“', '‘', '‹']
122 Mot inconnu : null =>   * A la place de 'null', mettre /snap/bin/ffmpeg | null

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Arrêter les téléchargements (bouton Stop), puis redémarrer-les (bouton Lecture) |    => suggestions : ['']
123 Ceci n’est pas une forme impérative correcte. =>   * Arrêter les téléchargements (bouton Stop), puis redémarrer-les (bouton Lecture) | redémarrer-les => suggestions : ['redémarrons-les', 'redémarrez-les', 'redémarre-les']

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Enjoy ! |    => suggestions : ['']
124 Mot inconnu : Enjoy =>   * Enjoy ! | enjoy

126 Mot inconnu : JDownloader => ===== JDownloader 2 Beta au démarrage ===== | jdownloader
126 Mot inconnu : Beta => ===== JDownloader 2 Beta au démarrage ===== | beta

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://jdownloader.org/home/index|Site Officiel]] |    => suggestions : ['']

138 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://launchpad.net/~jd-team/+archive/jdownloader|Lien du PPA du Jdownloader Team]] |    => suggestions : ['']
138 Mot inconnu : jd-team =>   * **(en)** [[https://launchpad.net/~jd-team/+archive/jdownloader|Lien du PPA du Jdownloader Team]] | jd-team
138 Mot inconnu : jdownloader =>   * **(en)** [[https://launchpad.net/~jd-team/+archive/jdownloader|Lien du PPA du Jdownloader Team]] | jdownloader
138 Mot inconnu : Jdownloader =>   * **(en)** [[https://launchpad.net/~jd-team/+archive/jdownloader|Lien du PPA du Jdownloader Team]] | jdownloader
138 Mot inconnu : Team =>   * **(en)** [[https://launchpad.net/~jd-team/+archive/jdownloader|Lien du PPA du Jdownloader Team]] | team

139 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://svn.jdownloader.org/projects/jd|Lien vers le dépôt svn et les rapports de bug]] |    => suggestions : ['']
139 Mot inconnu : svn =>   * **(en)** [[http://svn.jdownloader.org/projects/jd|Lien vers le dépôt svn et les rapports de bug]] | svn

140 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en,fr)** [[https://board.jdownloader.org/index.php|Forum officiel]] |    => suggestions : ['']
140 Il manque un espace. =>   * **(en,fr)** [[https://board.jdownloader.org/index.php|Forum officiel]] | fr => suggestions : [' fr']
