
3 Mot inconnu : OSX [[33:36]] => ======Installation d'Ubuntu avec OSX sur un Macbook====== <|> osx
53 Espace(s) en fin de ligne à supprimer. [[487:488]] => Insérez le CD d'installation d'Ubuntu dans votre lecteur CD, redémarrez votre MacBook. Au démarrage vous aurez le choix entre démarrer sur Mac OS X ou bien sur le CD Ubuntu. Choisissez bien entendu le deuxième. Si votre macbook ne démarre pas sur le CD, mais sur le disque dur, redémarrez à nouveau votre macbook, en appuyant sur la touche "C", avant l'apparition de la pomme, ou bien appuyez sur le bouton d'alimentation et sur la touche Alt/option pour démarrer en "Mode disque cible".  <|>   => suggestions : ['']
58 Mot inconnu : macintosh [[46:55]] =>   * ne pas oublier de choisir le clavier pour macintosh ! Sinon le mappage du clavier ne sera pas bon. <|> macintosh
59 Il manque probablement un trait d’union. [[105:113]] =>   * ne jamais négliger la phase de partitionnement, il est tellement facile de tout casser pendant cette phase là.  <|> phase là => suggestions : ['phase-là']
59 Espace(s) en fin de ligne à supprimer. [[114:115]] =>   * ne jamais négliger la phase de partitionnement, il est tellement facile de tout casser pendant cette phase là.  <|>   => suggestions : ['']

63 Mot inconnu : rEFind [[16:22]] => Au redémarrage, rEFind vous propose de choisir entre Boot Mac OS X from Macintosh HD and Boot Linux from HD. Choisissez la deuxième option, vous tomberez ensuite sur GRUB qui vous lancera Ubuntu. <|> refind
63 Mot inconnu : Boot [[53:57]] => Au redémarrage, rEFind vous propose de choisir entre Boot Mac OS X from Macintosh HD and Boot Linux from HD. Choisissez la deuxième option, vous tomberez ensuite sur GRUB qui vous lancera Ubuntu. <|> boot
63 Mot inconnu : from [[67:71]] => Au redémarrage, rEFind vous propose de choisir entre Boot Mac OS X from Macintosh HD and Boot Linux from HD. Choisissez la deuxième option, vous tomberez ensuite sur GRUB qui vous lancera Ubuntu. <|> from
63 Mot inconnu : Macintosh [[72:81]] => Au redémarrage, rEFind vous propose de choisir entre Boot Mac OS X from Macintosh HD and Boot Linux from HD. Choisissez la deuxième option, vous tomberez ensuite sur GRUB qui vous lancera Ubuntu. <|> macintosh
63 Mot inconnu : and [[85:88]] => Au redémarrage, rEFind vous propose de choisir entre Boot Mac OS X from Macintosh HD and Boot Linux from HD. Choisissez la deuxième option, vous tomberez ensuite sur GRUB qui vous lancera Ubuntu. <|> and
63 Mot inconnu : Boot [[89:93]] => Au redémarrage, rEFind vous propose de choisir entre Boot Mac OS X from Macintosh HD and Boot Linux from HD. Choisissez la deuxième option, vous tomberez ensuite sur GRUB qui vous lancera Ubuntu. <|> boot
63 Mot inconnu : from [[100:104]] => Au redémarrage, rEFind vous propose de choisir entre Boot Mac OS X from Macintosh HD and Boot Linux from HD. Choisissez la deuxième option, vous tomberez ensuite sur GRUB qui vous lancera Ubuntu. <|> from
63 Mot inconnu : GRUB [[166:170]] => Au redémarrage, rEFind vous propose de choisir entre Boot Mac OS X from Macintosh HD and Boot Linux from HD. Choisissez la deuxième option, vous tomberez ensuite sur GRUB qui vous lancera Ubuntu. <|> grub

65 Guillemets typographiques ouvrants. [[27:28]] => Si par hasard, il vous dit "No bootable device -- insert boot disk and press any key", redémarrer (à la main), utiliser le menu "Partitioning Tool" de rEFind et taper "y" lorsqu'il demande "update the MBR". Puis redémarrer (à la main). <|> " => suggestions : ['«\xa0', '“']
65 Mot inconnu : bootable [[31:39]] => Si par hasard, il vous dit "No bootable device -- insert boot disk and press any key", redémarrer (à la main), utiliser le menu "Partitioning Tool" de rEFind et taper "y" lorsqu'il demande "update the MBR". Puis redémarrer (à la main). <|> bootable
65 Mot inconnu : device [[40:46]] => Si par hasard, il vous dit "No bootable device -- insert boot disk and press any key", redémarrer (à la main), utiliser le menu "Partitioning Tool" de rEFind et taper "y" lorsqu'il demande "update the MBR". Puis redémarrer (à la main). <|> device
65 Mot inconnu : boot [[57:61]] => Si par hasard, il vous dit "No bootable device -- insert boot disk and press any key", redémarrer (à la main), utiliser le menu "Partitioning Tool" de rEFind et taper "y" lorsqu'il demande "update the MBR". Puis redémarrer (à la main). <|> boot
65 Mot inconnu : disk [[62:66]] => Si par hasard, il vous dit "No bootable device -- insert boot disk and press any key", redémarrer (à la main), utiliser le menu "Partitioning Tool" de rEFind et taper "y" lorsqu'il demande "update the MBR". Puis redémarrer (à la main). <|> disk
65 Mot inconnu : and [[67:70]] => Si par hasard, il vous dit "No bootable device -- insert boot disk and press any key", redémarrer (à la main), utiliser le menu "Partitioning Tool" de rEFind et taper "y" lorsqu'il demande "update the MBR". Puis redémarrer (à la main). <|> and
65 Mot inconnu : press [[71:76]] => Si par hasard, il vous dit "No bootable device -- insert boot disk and press any key", redémarrer (à la main), utiliser le menu "Partitioning Tool" de rEFind et taper "y" lorsqu'il demande "update the MBR". Puis redémarrer (à la main). <|> press
65 Mot inconnu : any [[77:80]] => Si par hasard, il vous dit "No bootable device -- insert boot disk and press any key", redémarrer (à la main), utiliser le menu "Partitioning Tool" de rEFind et taper "y" lorsqu'il demande "update the MBR". Puis redémarrer (à la main). <|> any
65 Mot inconnu : key [[81:84]] => Si par hasard, il vous dit "No bootable device -- insert boot disk and press any key", redémarrer (à la main), utiliser le menu "Partitioning Tool" de rEFind et taper "y" lorsqu'il demande "update the MBR". Puis redémarrer (à la main). <|> key
65 Guillemets typographiques fermants. [[84:85]] => Si par hasard, il vous dit "No bootable device -- insert boot disk and press any key", redémarrer (à la main), utiliser le menu "Partitioning Tool" de rEFind et taper "y" lorsqu'il demande "update the MBR". Puis redémarrer (à la main). <|> " => suggestions : ['\xa0»', '”']
65 Guillemets typographiques ouvrants. [[128:129]] => Si par hasard, il vous dit "No bootable device -- insert boot disk and press any key", redémarrer (à la main), utiliser le menu "Partitioning Tool" de rEFind et taper "y" lorsqu'il demande "update the MBR". Puis redémarrer (à la main). <|> " => suggestions : ['«\xa0', '“']
65 Mot inconnu : Partitioning [[129:141]] => Si par hasard, il vous dit "No bootable device -- insert boot disk and press any key", redémarrer (à la main), utiliser le menu "Partitioning Tool" de rEFind et taper "y" lorsqu'il demande "update the MBR". Puis redémarrer (à la main). <|> partitioning
65 Mot inconnu : Tool [[142:146]] => Si par hasard, il vous dit "No bootable device -- insert boot disk and press any key", redémarrer (à la main), utiliser le menu "Partitioning Tool" de rEFind et taper "y" lorsqu'il demande "update the MBR". Puis redémarrer (à la main). <|> tool
65 Guillemets typographiques fermants. [[146:147]] => Si par hasard, il vous dit "No bootable device -- insert boot disk and press any key", redémarrer (à la main), utiliser le menu "Partitioning Tool" de rEFind et taper "y" lorsqu'il demande "update the MBR". Puis redémarrer (à la main). <|> " => suggestions : ['\xa0»', '”']
65 Mot inconnu : rEFind [[151:157]] => Si par hasard, il vous dit "No bootable device -- insert boot disk and press any key", redémarrer (à la main), utiliser le menu "Partitioning Tool" de rEFind et taper "y" lorsqu'il demande "update the MBR". Puis redémarrer (à la main). <|> refind
65 Guillemets typographiques ouvrants. [[167:168]] => Si par hasard, il vous dit "No bootable device -- insert boot disk and press any key", redémarrer (à la main), utiliser le menu "Partitioning Tool" de rEFind et taper "y" lorsqu'il demande "update the MBR". Puis redémarrer (à la main). <|> " => suggestions : ['«\xa0', '“']
65 Guillemets typographiques fermants. [[169:170]] => Si par hasard, il vous dit "No bootable device -- insert boot disk and press any key", redémarrer (à la main), utiliser le menu "Partitioning Tool" de rEFind et taper "y" lorsqu'il demande "update the MBR". Puis redémarrer (à la main). <|> " => suggestions : ['\xa0»', '”']
65 Guillemets typographiques ouvrants. [[189:190]] => Si par hasard, il vous dit "No bootable device -- insert boot disk and press any key", redémarrer (à la main), utiliser le menu "Partitioning Tool" de rEFind et taper "y" lorsqu'il demande "update the MBR". Puis redémarrer (à la main). <|> " => suggestions : ['«\xa0', '“']
65 Mot inconnu : update [[190:196]] => Si par hasard, il vous dit "No bootable device -- insert boot disk and press any key", redémarrer (à la main), utiliser le menu "Partitioning Tool" de rEFind et taper "y" lorsqu'il demande "update the MBR". Puis redémarrer (à la main). <|> update
65 Mot inconnu : the [[197:200]] => Si par hasard, il vous dit "No bootable device -- insert boot disk and press any key", redémarrer (à la main), utiliser le menu "Partitioning Tool" de rEFind et taper "y" lorsqu'il demande "update the MBR". Puis redémarrer (à la main). <|> the
65 Mot inconnu : MBR [[201:204]] => Si par hasard, il vous dit "No bootable device -- insert boot disk and press any key", redémarrer (à la main), utiliser le menu "Partitioning Tool" de rEFind et taper "y" lorsqu'il demande "update the MBR". Puis redémarrer (à la main). <|> mbr
65 Guillemets typographiques fermants. [[204:205]] => Si par hasard, il vous dit "No bootable device -- insert boot disk and press any key", redémarrer (à la main), utiliser le menu "Partitioning Tool" de rEFind et taper "y" lorsqu'il demande "update the MBR". Puis redémarrer (à la main). <|> " => suggestions : ['\xa0»', '”']

73 Mot inconnu : HFS [[36:39]] => ==== Accéder/monter à une partition HFS+ de Mac os x ==== <|> hfs

75 Mot inconnu : dispo [[36:41]] => Rien à faire, la partition est déjà dispo, mais on n'a pas les droits en écriture dessus. Un moyen intéressant de le faire est de monter la partition dans un emplacement spécifique (ex : /mnt/mac) et de changer le UID de l'utilisateur pour que les accès soit garantis (de uid=1000 on passe à uid=501) :  <|> dispo
75 Mot inconnu : UID [[214:217]] => Rien à faire, la partition est déjà dispo, mais on n'a pas les droits en écriture dessus. Un moyen intéressant de le faire est de monter la partition dans un emplacement spécifique (ex : /mnt/mac) et de changer le UID de l'utilisateur pour que les accès soit garantis (de uid=1000 on passe à uid=501) :  <|> uid
75 Élision de l’article devant un mot commençant par une voyelle. [[269:272]] => Rien à faire, la partition est déjà dispo, mais on n'a pas les droits en écriture dessus. Un moyen intéressant de le faire est de monter la partition dans un emplacement spécifique (ex : /mnt/mac) et de changer le UID de l'utilisateur pour que les accès soit garantis (de uid=1000 on passe à uid=501) :  <|> de  => suggestions : ['d’']
75 Mot inconnu : uid [[272:275]] => Rien à faire, la partition est déjà dispo, mais on n'a pas les droits en écriture dessus. Un moyen intéressant de le faire est de monter la partition dans un emplacement spécifique (ex : /mnt/mac) et de changer le UID de l'utilisateur pour que les accès soit garantis (de uid=1000 on passe à uid=501) :  <|> uid
75 Mot inconnu : uid [[292:295]] => Rien à faire, la partition est déjà dispo, mais on n'a pas les droits en écriture dessus. Un moyen intéressant de le faire est de monter la partition dans un emplacement spécifique (ex : /mnt/mac) et de changer le UID de l'utilisateur pour que les accès soit garantis (de uid=1000 on passe à uid=501) :  <|> uid
75 Espace(s) en fin de ligne à supprimer. [[302:303]] => Rien à faire, la partition est déjà dispo, mais on n'a pas les droits en écriture dessus. Un moyen intéressant de le faire est de monter la partition dans un emplacement spécifique (ex : /mnt/mac) et de changer le UID de l'utilisateur pour que les accès soit garantis (de uid=1000 on passe à uid=501) :  <|>   => suggestions : ['']
77 Espace(s) en fin de ligne à supprimer. [[18:19]] => dans un terminal :  <|>   => suggestions : ['']

90 Mot inconnu : UUID [[73:77]] => Dans le fichier ouvert, rajouter la ligne suivante, après avoir trouvé l'UUID :  <|> uuid
90 Espace(s) en fin de ligne à supprimer. [[79:80]] => Dans le fichier ouvert, rajouter la ligne suivante, après avoir trouvé l'UUID :  <|>   => suggestions : ['']

95 Mot inconnu : fn [[50:52]] => Ensuite, passer en mode terminal via le raccourci fn+ctrl+alt+F1, ouvrir la session, puis stopper gdm (si gnome, si kde utiliser kdm). On édite ensuite le fichier /etc/passwd pour remplacer le UID utilisateur afin qu'il corresponde à celui de mac : <|> fn
95 Mot inconnu : ctrl [[53:57]] => Ensuite, passer en mode terminal via le raccourci fn+ctrl+alt+F1, ouvrir la session, puis stopper gdm (si gnome, si kde utiliser kdm). On édite ensuite le fichier /etc/passwd pour remplacer le UID utilisateur afin qu'il corresponde à celui de mac : <|> ctrl
95 Mot inconnu : alt [[58:61]] => Ensuite, passer en mode terminal via le raccourci fn+ctrl+alt+F1, ouvrir la session, puis stopper gdm (si gnome, si kde utiliser kdm). On édite ensuite le fichier /etc/passwd pour remplacer le UID utilisateur afin qu'il corresponde à celui de mac : <|> alt
95 Mot inconnu : gdm [[98:101]] => Ensuite, passer en mode terminal via le raccourci fn+ctrl+alt+F1, ouvrir la session, puis stopper gdm (si gnome, si kde utiliser kdm). On édite ensuite le fichier /etc/passwd pour remplacer le UID utilisateur afin qu'il corresponde à celui de mac : <|> gdm
95 Mot inconnu : kde [[116:119]] => Ensuite, passer en mode terminal via le raccourci fn+ctrl+alt+F1, ouvrir la session, puis stopper gdm (si gnome, si kde utiliser kdm). On édite ensuite le fichier /etc/passwd pour remplacer le UID utilisateur afin qu'il corresponde à celui de mac : <|> kde
95 Mot inconnu : kdm [[129:132]] => Ensuite, passer en mode terminal via le raccourci fn+ctrl+alt+F1, ouvrir la session, puis stopper gdm (si gnome, si kde utiliser kdm). On édite ensuite le fichier /etc/passwd pour remplacer le UID utilisateur afin qu'il corresponde à celui de mac : <|> kdm
95 Mot inconnu : UID [[193:196]] => Ensuite, passer en mode terminal via le raccourci fn+ctrl+alt+F1, ouvrir la session, puis stopper gdm (si gnome, si kde utiliser kdm). On édite ensuite le fichier /etc/passwd pour remplacer le UID utilisateur afin qu'il corresponde à celui de mac : <|> uid

104 Mot inconnu : uid [[36:39]] => On recherche l'utilisateur de base (uid=1000) et on remplace "1000" par "501", qui est l'identifiant de l'utilisateur "zéro" sur mac (remplacez "myuser" par le nom de votre utilisateur). <|> uid
104 Guillemets typographiques ouvrants. [[61:62]] => On recherche l'utilisateur de base (uid=1000) et on remplace "1000" par "501", qui est l'identifiant de l'utilisateur "zéro" sur mac (remplacez "myuser" par le nom de votre utilisateur). <|> " => suggestions : ['«\xa0', '“']
104 Guillemets typographiques fermants. [[66:67]] => On recherche l'utilisateur de base (uid=1000) et on remplace "1000" par "501", qui est l'identifiant de l'utilisateur "zéro" sur mac (remplacez "myuser" par le nom de votre utilisateur). <|> " => suggestions : ['\xa0»', '”']
104 Guillemets typographiques ouvrants. [[72:73]] => On recherche l'utilisateur de base (uid=1000) et on remplace "1000" par "501", qui est l'identifiant de l'utilisateur "zéro" sur mac (remplacez "myuser" par le nom de votre utilisateur). <|> " => suggestions : ['«\xa0', '“']
104 Guillemets typographiques fermants. [[76:77]] => On recherche l'utilisateur de base (uid=1000) et on remplace "1000" par "501", qui est l'identifiant de l'utilisateur "zéro" sur mac (remplacez "myuser" par le nom de votre utilisateur). <|> " => suggestions : ['\xa0»', '”']
104 Guillemets typographiques ouvrants. [[118:119]] => On recherche l'utilisateur de base (uid=1000) et on remplace "1000" par "501", qui est l'identifiant de l'utilisateur "zéro" sur mac (remplacez "myuser" par le nom de votre utilisateur). <|> " => suggestions : ['«\xa0', '“']
104 Guillemets typographiques fermants. [[123:124]] => On recherche l'utilisateur de base (uid=1000) et on remplace "1000" par "501", qui est l'identifiant de l'utilisateur "zéro" sur mac (remplacez "myuser" par le nom de votre utilisateur). <|> " => suggestions : ['\xa0»', '”']
104 Guillemets typographiques ouvrants. [[144:145]] => On recherche l'utilisateur de base (uid=1000) et on remplace "1000" par "501", qui est l'identifiant de l'utilisateur "zéro" sur mac (remplacez "myuser" par le nom de votre utilisateur). <|> " => suggestions : ['«\xa0', '“']
104 Mot inconnu : myuser [[145:151]] => On recherche l'utilisateur de base (uid=1000) et on remplace "1000" par "501", qui est l'identifiant de l'utilisateur "zéro" sur mac (remplacez "myuser" par le nom de votre utilisateur). <|> myuser
104 Guillemets typographiques fermants. [[151:152]] => On recherche l'utilisateur de base (uid=1000) et on remplace "1000" par "501", qui est l'identifiant de l'utilisateur "zéro" sur mac (remplacez "myuser" par le nom de votre utilisateur). <|> " => suggestions : ['\xa0»', '”']
106 Espace(s) en fin de ligne à supprimer. [[4:5]] => de :  <|>   => suggestions : ['']

113 Mot inconnu : gdm [[76:79]] => puis on réaffecte les droits sur le répertoire /home/myuser et on redémarre gdm (ou kdm) : <|> gdm
113 Mot inconnu : kdm [[84:87]] => puis on réaffecte les droits sur le répertoire /home/myuser et on redémarre gdm (ou kdm) : <|> kdm

119 Espace(s) surnuméraire(s) à supprimer. [[4:6]] => Mais  avant il faut éditer /etc/login.defs et changer a 500 les valeurs UID_MIN et GID_MIN sous peine de ne plus apparaître sur la fenêtre de login. <|>    => suggestions : [' ']
119 Mot inconnu : UID_MIN [[72:79]] => Mais  avant il faut éditer /etc/login.defs et changer a 500 les valeurs UID_MIN et GID_MIN sous peine de ne plus apparaître sur la fenêtre de login. <|> uid_min
119 Mot inconnu : GID_MIN [[83:90]] => Mais  avant il faut éditer /etc/login.defs et changer a 500 les valeurs UID_MIN et GID_MIN sous peine de ne plus apparaître sur la fenêtre de login. <|> gid_min
137 Mot inconnu : UID [[44:47]] => <note important>Attention : le changement d'UID n'est pas sans risque alors faites une sauvegarde, en effet on ne retrouve pas toujours tous les droits.  <|> uid
137 Espace(s) en fin de ligne à supprimer. [[152:153]] => <note important>Attention : le changement d'UID n'est pas sans risque alors faites une sauvegarde, en effet on ne retrouve pas toujours tous les droits.  <|>   => suggestions : ['']

139 Mot inconnu : GID [[42:45]] => Normalement il faudrait aussi modifier le GID de la même manière dans le fichier /etc/group .</note> <|> gid
