
10 Mot inconnu : LXC [[42:45]] => Facteur à prendre en compte dans le choix LXC vs DOCKER.</note> <|> lxc
36 Mot inconnu : docker-engine [[71:84]] => Les anciennes versions de Docker étaient appelées docker, docker.io ou docker-engine. Si celles-ci sont installées, désinstallez-les : <|> docker-engine

53 Guillemets typographiques ouvrants. [[36:37]] => Pointer vers le dépôt de la version "stable" de Docker CE : <|> " => suggestions : « “
53 Guillemets typographiques fermants. [[43:44]] => Pointer vers le dépôt de la version "stable" de Docker CE : <|> " => suggestions :  »”

61 Mot inconnu : Engine [[40:46]] => Installer la dernière version de Docker Engine et containerd : <|> engine
61 Mot inconnu : containerd [[50:60]] => Installer la dernière version de Docker Engine et containerd : <|> containerd

89 Mot inconnu : sudo [[160:164]] => Dans un environnement privé, vous pouvez éventuellement ajouter votre utilisateur au groupe **docker** afin de manipuler les containers sans avoir à utiliser **sudo** systématiquement : <|> sudo
90 Mot inconnu : sudo [[355:359]] => <note important>N'ajoutez pas votre utilisateur au groupe docker sur un serveur accessible publiquement : cette méthode pose un problème de sécurité. Il devient en effet possible d'élever les privilèges de l'utilisateur sans entrer à nouveau de mot de passe. Si vous êtes sur un serveur en production n'entrez pas cette commande et utilisez la commande **sudo docker** au lieu de **docker** pour l'ensemble des opérations.</note> <|> sudo

98 Mot inconnu : sudo [[61:65]] => et vérifier s'il fonctionne correctement (n'oubliez pas le //sudo// devant la commande docker si vous n'avez pas ajouté votre utilisateur au groupe //docker//) : <|> sudo

102 Mot inconnu : hello-word [[79:89]] => À la première exécution, Docker ne doit pas trouver l'image de l'application //hello-word// en local. Il va alors tenter de télécharger la dernière version. En cas de réussite, il exécute l'application qui affiche une simple page d'explication sur la sortie standard et s'arrête. <|> hello-word

180 Accord de nombre erroné avec « les volumes orphelins » : « vue » devrait être au pluriel. [[32:35]] => Supprimer les volumes orphelins vue que avec l'utilisation progressive de docker il y'aura pas mal de volumes orphelins qui prendraient beaucoup d'espace disque <|> vue => suggestions : vues
180 Ni apostrophe ni trait d’union après “y”. [[84:90]] => Supprimer les volumes orphelins vue que avec l'utilisation progressive de docker il y'aura pas mal de volumes orphelins qui prendraient beaucoup d'espace disque <|> y'aura => suggestions : y aura
180 Mot inconnu : y'aura [[84:90]] => Supprimer les volumes orphelins vue que avec l'utilisation progressive de docker il y'aura pas mal de volumes orphelins qui prendraient beaucoup d'espace disque <|> y'aura
191 Mot inconnu : gz [[29:31]] => Exporter un container en tar.gz : <|> gz
197 Mot inconnu : gz [[16:18]] => Importer un tar.gz : <|> gz

203 Mot inconnu : Dockerfile [[28:38]] => ==== Automatisation avec un Dockerfile ==== <|> dockerfile

205 Mot inconnu : dockerfile [[3:13]] => Le dockerfile est un fichier texte qui inclut une liste d'actions à exécuter pour construire une image. <|> dockerfile
243 Mot inconnu : MAINTAINER [[4:14]] =>   * MAINTAINER : nom et mail de mainteneur du conteneur <|> maintainer
244 Mot inconnu : FROM [[4:8]] =>   * FROM : image de base (ubuntu, debian) <|> from
246 Mot inconnu : RUN [[4:7]] =>   * RUN : commande à exécuter pour installer le conteneur. <|> run
247 Mot inconnu : ENTRYPOINT [[4:14]] =>   * ENTRYPOINT : commande qui s’exécute au démarrage du conteneur (une seule sera exécutée). <|> entrypoint
248 Mot inconnu : CMD [[4:7]] =>   * CMD : commande qui s’exécute au démarrage du conteneur. <|> cmd
249 Mot inconnu : ADD [[4:7]] =>   * ADD : Copier un fichier du répertoire courant dans le filesystem du conteneur. <|> add
249 Mot inconnu : filesystem [[58:68]] =>   * ADD : Copier un fichier du répertoire courant dans le filesystem du conteneur. <|> filesystem
251 Écriture invariable. Utilisez un point médian. [[13:20]] =>   * EXPOSE : Port(s) à exposer à l’exterieur. <|> port(s) => suggestions : Port·s
251 Mot inconnu : exterieur [[35:44]] =>   * EXPOSE : Port(s) à exposer à l’exterieur. <|> exterieur

261 Espace(s) surnuméraire(s) à supprimer. [[182:184]] => La date et l'heure du conteneur est basée sur celle du système hôte. Cependant il est possible de constater un écart d'heure entre le système et le conteneur. Ceci est dû au fait que  le conteneur peut-être configuré sur un autre fuseau horaire (timezone). <|>    => suggestions :  
261 Mot inconnu : timezone [[246:254]] => La date et l'heure du conteneur est basée sur celle du système hôte. Cependant il est possible de constater un écart d'heure entre le système et le conteneur. Ceci est dû au fait que  le conteneur peut-être configuré sur un autre fuseau horaire (timezone). <|> timezone

270 Mot inconnu : exec [[7:11]] => docker exec CONTENEUR bash -c "date ;  cat /etc/timezone" <|> exec
270 Il manque un espace à côté du tiret. [[26:28]] => docker exec CONTENEUR bash -c "date ;  cat /etc/timezone" <|>  - => suggestions :  –  — 
270 Guillemets typographiques ouvrants. [[30:31]] => docker exec CONTENEUR bash -c "date ;  cat /etc/timezone" <|> " => suggestions : « “
270 Espace(s) surnuméraire(s) à supprimer. [[37:39]] => docker exec CONTENEUR bash -c "date ;  cat /etc/timezone" <|>    => suggestions :  
270 Mot inconnu : cat [[39:42]] => docker exec CONTENEUR bash -c "date ;  cat /etc/timezone" <|> cat

285 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  
