
4 Mot inconnu : SMARTMONTOOLS => ====== SMARTMONTOOLS ====== | smartmontools
36 Pas d’espace après ce signe. => Dans les exemples suivants, on va considérer le disque dur nommé // /dev/sdX //, qu'il faudra remplacer par le nom du disque que vous voulez tester, par exemple // /dev/hda //, // /dev/sdc // (( la liste des noms de disques durs de votre système peut s'obtenir par :  | (  => suggestions : ['(']
36 Espace(s) en fin de ligne à supprimer. => Dans les exemples suivants, on va considérer le disque dur nommé // /dev/sdX //, qu'il faudra remplacer par le nom du disque que vous voulez tester, par exemple // /dev/hda //, // /dev/sdc // (( la liste des noms de disques durs de votre système peut s'obtenir par :  |   => suggestions : ['']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo fdisk -l  |    => suggestions : ['']
37 Mot inconnu : sudo =>   sudo fdisk -l  | sudo
37 Mot inconnu : fdisk =>   sudo fdisk -l  | fdisk
37 Il manque un espace à côté du tiret. =>   sudo fdisk -l  |  - => suggestions : [' – ', ' — ']
37 Espace(s) en fin de ligne à supprimer. =>   sudo fdisk -l  |   => suggestions : ['']

38 Mot inconnu : SATA => )) ou // /dev/sg1 // ((les périphériques du type // /dev/sg# // permettent d'atteindre les disques qui composent un volume géré par un contrôleur RAID hardware. Dans un tel cas, les périphériques du type // /dev/sdX // ne sont pas utilisables car à ce niveau l'OS ne voit que le volume géré par le contrôleur RAID (un disque logique sans information SMART) et non des disques qui le composent (disques physiques avec information SMART). Par exemple, pour obtenir les informations SMART sur un disque SATA faisant partie d'un volume RAID 5 géré par un contrôleur Adaptec : | sata
38 Mot inconnu : Adaptec => )) ou // /dev/sg1 // ((les périphériques du type // /dev/sg# // permettent d'atteindre les disques qui composent un volume géré par un contrôleur RAID hardware. Dans un tel cas, les périphériques du type // /dev/sdX // ne sont pas utilisables car à ce niveau l'OS ne voit que le volume géré par le contrôleur RAID (un disque logique sans information SMART) et non des disques qui le composent (disques physiques avec information SMART). Par exemple, pour obtenir les informations SMART sur un disque SATA faisant partie d'un volume RAID 5 géré par un contrôleur Adaptec : | adaptec

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo smartctl -a -d sat /dev/sg1 |    => suggestions : ['']
39 Mot inconnu : sudo =>   sudo smartctl -a -d sat /dev/sg1 | sudo
39 Mot inconnu : smartctl =>   sudo smartctl -a -d sat /dev/sg1 | smartctl
39 Il manque un espace à côté du tiret. =>   sudo smartctl -a -d sat /dev/sg1 |  - => suggestions : [' – ', ' — ']
39 Mot inconnu : sat =>   sudo smartctl -a -d sat /dev/sg1 | sat

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour activer SMART sur un disque, taper la commande suivante (nécessaire une seule fois seulement pour chaque disque, mais peut être répétée sans danger) : |    => suggestions : ['']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo smartctl --smart=on --offlineauto=on --saveauto=on /dev/sdX |     => suggestions : ['']
45 Mot inconnu : sudo =>    sudo smartctl --smart=on --offlineauto=on --saveauto=on /dev/sdX | sudo
45 Mot inconnu : smartctl =>    sudo smartctl --smart=on --offlineauto=on --saveauto=on /dev/sdX | smartctl
45 Mot inconnu : offlineauto =>    sudo smartctl --smart=on --offlineauto=on --saveauto=on /dev/sdX | offlineauto
45 Mot inconnu : saveauto =>    sudo smartctl --smart=on --offlineauto=on --saveauto=on /dev/sdX | saveauto

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour obtenir quelques infos disponibles par SMART sur le disque : |    => suggestions : ['']

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo smartctl -H -i /dev/sdX |     => suggestions : ['']
50 Mot inconnu : sudo =>    sudo smartctl -H -i /dev/sdX | sudo
50 Mot inconnu : smartctl =>    sudo smartctl -H -i /dev/sdX | smartctl
50 Il manque un espace à côté du tiret. =>    sudo smartctl -H -i /dev/sdX |  - => suggestions : [' – ', ' — ']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour obtenir toutes les infos disponibles par SMART sur le disque : |    => suggestions : ['']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo smartctl -s on -a /dev/sdX |     => suggestions : ['']
54 Mot inconnu : sudo =>    sudo smartctl -s on -a /dev/sdX | sudo
54 Mot inconnu : smartctl =>    sudo smartctl -s on -a /dev/sdX | smartctl
54 Il manque un espace à côté du tiret. =>    sudo smartctl -s on -a /dev/sdX |  - => suggestions : [' – ', ' — ']
54 Il manque un espace à côté du tiret. =>    sudo smartctl -s on -a /dev/sdX |  - => suggestions : [' – ', ' — ']

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo smartctl -a /dev/sdX |     => suggestions : ['']
59 Mot inconnu : sudo =>    sudo smartctl -a /dev/sdX | sudo
59 Mot inconnu : smartctl =>    sudo smartctl -a /dev/sdX | smartctl
59 Il manque un espace à côté du tiret. =>    sudo smartctl -a /dev/sdX |  - => suggestions : [' – ', ' — ']

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour lancer l'exécution des tests : |    => suggestions : ['']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo smartctl -t short /dev/sdX |    => suggestions : ['']
64 Mot inconnu : sudo =>   sudo smartctl -t short /dev/sdX | sudo
64 Mot inconnu : smartctl =>   sudo smartctl -t short /dev/sdX | smartctl

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo smartctl -t long  /dev/sdX |    => suggestions : ['']
65 Mot inconnu : sudo =>   sudo smartctl -t long  /dev/sdX | sudo
65 Mot inconnu : smartctl =>   sudo smartctl -t long  /dev/sdX | smartctl
65 Espace(s) surnuméraire(s) à supprimer. =>   sudo smartctl -t long  /dev/sdX |    => suggestions : [' ']

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour accéder ensuite au résultats/statistiques de ces tests : |    => suggestions : ['']

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo smartctl -l selftest /dev/sdX |    => suggestions : ['']
71 Mot inconnu : sudo =>   sudo smartctl -l selftest /dev/sdX | sudo
71 Mot inconnu : smartctl =>   sudo smartctl -l selftest /dev/sdX | smartctl
71 Il manque un espace à côté du tiret. =>   sudo smartctl -l selftest /dev/sdX |  - => suggestions : [' – ', ' — ']
71 Mot inconnu : selftest =>   sudo smartctl -l selftest /dev/sdX | selftest

73 Guillemets typographiques ouvrants. => ou en plus bref (retourne un message seulement si le disque retourne un indicateur SMART "failing" ou si des autotests ont enregistré des erreurs) : | " => suggestions : ['«\xa0', '“']
73 Mot inconnu : failing => ou en plus bref (retourne un message seulement si le disque retourne un indicateur SMART "failing" ou si des autotests ont enregistré des erreurs) : | failing
73 Guillemets typographiques fermants. => ou en plus bref (retourne un message seulement si le disque retourne un indicateur SMART "failing" ou si des autotests ont enregistré des erreurs) : | " => suggestions : ['\xa0»', '”']

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo smartctl -q errorsonly -H -l selftest /dev/sdX |    => suggestions : ['']
75 Mot inconnu : sudo =>   sudo smartctl -q errorsonly -H -l selftest /dev/sdX | sudo
75 Mot inconnu : smartctl =>   sudo smartctl -q errorsonly -H -l selftest /dev/sdX | smartctl
75 Il manque un espace à côté du tiret. =>   sudo smartctl -q errorsonly -H -l selftest /dev/sdX |  - => suggestions : [' – ', ' — ']
75 Mot inconnu : errorsonly =>   sudo smartctl -q errorsonly -H -l selftest /dev/sdX | errorsonly
75 Il manque un espace à côté du tiret. =>   sudo smartctl -q errorsonly -H -l selftest /dev/sdX |  - => suggestions : [' – ', ' — ']
75 Mot inconnu : selftest =>   sudo smartctl -q errorsonly -H -l selftest /dev/sdX | selftest

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour relancer un test long  qui s'est arrêté  suite à une erreur sur le LBA **N**-1 : |    => suggestions : ['']
79 Espace(s) surnuméraire(s) à supprimer. =>   * Pour relancer un test long  qui s'est arrêté  suite à une erreur sur le LBA **N**-1 : |    => suggestions : [' ']
79 Espace(s) surnuméraire(s) à supprimer. =>   * Pour relancer un test long  qui s'est arrêté  suite à une erreur sur le LBA **N**-1 : |    => suggestions : [' ']
79 Mot inconnu : LBA =>   * Pour relancer un test long  qui s'est arrêté  suite à une erreur sur le LBA **N**-1 : | lba
79 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>   * Pour relancer un test long  qui s'est arrêté  suite à une erreur sur le LBA **N**-1 : | -1 => suggestions : ['−1', '– 1', '— 1']

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      sudo smartctl  -t select,N-max /dev/sdX |       => suggestions : ['']
81 Mot inconnu : sudo =>      sudo smartctl  -t select,N-max /dev/sdX | sudo
81 Mot inconnu : smartctl =>      sudo smartctl  -t select,N-max /dev/sdX | smartctl
81 Espace(s) surnuméraire(s) à supprimer. =>      sudo smartctl  -t select,N-max /dev/sdX |    => suggestions : [' ']
81 Il manque un espace. =>      sudo smartctl  -t select,N-max /dev/sdX | n-max => suggestions : [' N-max']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour suivre l'exécution de cette relance : |    => suggestions : ['']

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     <code bash>sudo smartctl -a /dev/sdX | grep left</code> |      => suggestions : ['']

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      |      => suggestions : ['']

88 Mot inconnu : LBA => Cela permet de visualiser le LBA début et le LBA fin de l'intervalle de 65536 secteurs en cours de test. __Ne pas se fier au pourcentage indiqué__. | lba
88 Mot inconnu : LBA => Cela permet de visualiser le LBA début et le LBA fin de l'intervalle de 65536 secteurs en cours de test. __Ne pas se fier au pourcentage indiqué__. | lba
88 Formatage des grands nombres. => Cela permet de visualiser le LBA début et le LBA fin de l'intervalle de 65536 secteurs en cours de test. __Ne pas se fier au pourcentage indiqué__. | 65536 => suggestions : ['65\xa0536']
88 Mot inconnu : __Ne => Cela permet de visualiser le LBA début et le LBA fin de l'intervalle de 65536 secteurs en cours de test. __Ne pas se fier au pourcentage indiqué__. | __ne
88 Mot inconnu : indiqué__ => Cela permet de visualiser le LBA début et le LBA fin de l'intervalle de 65536 secteurs en cours de test. __Ne pas se fier au pourcentage indiqué__. | indiqué__

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Exécution d'un test long sur un disque de grande capacité. |    => suggestions : ['']

92 Mot inconnu : LBA => Le test long peut durer des heures. S'il y a un arrêt pour une cause externe, le LBA en cours de traitement peut ne pas être mémorisé. Une solution consiste à lancer  un test sur les 500 premiers Gio ( ou le premier Tio) du disque avec cette commande : | lba
92 Espace(s) surnuméraire(s) à supprimer. => Le test long peut durer des heures. S'il y a un arrêt pour une cause externe, le LBA en cours de traitement peut ne pas être mémorisé. Une solution consiste à lancer  un test sur les 500 premiers Gio ( ou le premier Tio) du disque avec cette commande : |    => suggestions : [' ']
92 Pas d’espace après ce signe. => Le test long peut durer des heures. S'il y a un arrêt pour une cause externe, le LBA en cours de traitement peut ne pas être mémorisé. Une solution consiste à lancer  un test sur les 500 premiers Gio ( ou le premier Tio) du disque avec cette commande : | (  => suggestions : ['(']

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo smartctl  -t select,0-999999999  /dev/sdX  |     => suggestions : ['']
93 Mot inconnu : sudo =>    sudo smartctl  -t select,0-999999999  /dev/sdX  | sudo
93 Mot inconnu : smartctl =>    sudo smartctl  -t select,0-999999999  /dev/sdX  | smartctl
93 Espace(s) surnuméraire(s) à supprimer. =>    sudo smartctl  -t select,0-999999999  /dev/sdX  |    => suggestions : [' ']
93 Il manque un espace. =>    sudo smartctl  -t select,0-999999999  /dev/sdX  | 0-999999999 => suggestions : [' 0-999999999']
93 Espace(s) surnuméraire(s) à supprimer. =>    sudo smartctl  -t select,0-999999999  /dev/sdX  |    => suggestions : [' ']
93 Espace(s) en fin de ligne à supprimer. =>    sudo smartctl  -t select,0-999999999  /dev/sdX  |   => suggestions : ['']

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    ou |     => suggestions : ['']

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo smartctl  -t select,0-1999999999  /dev/sdX    ### pour 1 Tio |     => suggestions : ['']
95 Mot inconnu : sudo =>    sudo smartctl  -t select,0-1999999999  /dev/sdX    ### pour 1 Tio | sudo
95 Mot inconnu : smartctl =>    sudo smartctl  -t select,0-1999999999  /dev/sdX    ### pour 1 Tio | smartctl
95 Espace(s) surnuméraire(s) à supprimer. =>    sudo smartctl  -t select,0-1999999999  /dev/sdX    ### pour 1 Tio |    => suggestions : [' ']
95 Il manque un espace. =>    sudo smartctl  -t select,0-1999999999  /dev/sdX    ### pour 1 Tio | 0-1999999999 => suggestions : [' 0-1999999999']
95 Espace(s) surnuméraire(s) à supprimer. =>    sudo smartctl  -t select,0-1999999999  /dev/sdX    ### pour 1 Tio |    => suggestions : [' ']
95 Espace(s) surnuméraire(s) à supprimer. =>    sudo smartctl  -t select,0-1999999999  /dev/sdX    ### pour 1 Tio |      => suggestions : [' ']
95 Si “Tio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>    sudo smartctl  -t select,0-1999999999  /dev/sdX    ### pour 1 Tio | 1 tio => suggestions : ['1\xa0Tio']

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    ou |     => suggestions : ['']

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo smartctl  -t select,0-499999999  /dev/sdX     ### pour 250 Gio |     => suggestions : ['']
97 Mot inconnu : sudo =>    sudo smartctl  -t select,0-499999999  /dev/sdX     ### pour 250 Gio | sudo
97 Mot inconnu : smartctl =>    sudo smartctl  -t select,0-499999999  /dev/sdX     ### pour 250 Gio | smartctl
97 Espace(s) surnuméraire(s) à supprimer. =>    sudo smartctl  -t select,0-499999999  /dev/sdX     ### pour 250 Gio |    => suggestions : [' ']
97 Il manque un espace. =>    sudo smartctl  -t select,0-499999999  /dev/sdX     ### pour 250 Gio | 0-499999999 => suggestions : [' 0-499999999']
97 Espace(s) surnuméraire(s) à supprimer. =>    sudo smartctl  -t select,0-499999999  /dev/sdX     ### pour 250 Gio |    => suggestions : [' ']
97 Espace(s) surnuméraire(s) à supprimer. =>    sudo smartctl  -t select,0-499999999  /dev/sdX     ### pour 250 Gio |       => suggestions : [' ']
97 Si “Gio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>    sudo smartctl  -t select,0-499999999  /dev/sdX     ### pour 250 Gio | 250 gio => suggestions : ['250\xa0Gio']

99 Espace(s) surnuméraire(s) à supprimer. => Lorsque ce test est terminé, on fait un test de la suite  quand on le désire avec cette commande qu'il faudra répéter autant de fois que nécessaire après s'être assuré que la précédente s'est correctement terminée et que la fin du disque n'a pas été atteinte. Sinon cela repart depuis le début du disque jusqu'à la fin ! |    => suggestions : [' ']

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     sudo smartctl  -t select,next /dev/sdX   |      => suggestions : ['']
100 Mot inconnu : sudo =>     sudo smartctl  -t select,next /dev/sdX   | sudo
100 Mot inconnu : smartctl =>     sudo smartctl  -t select,next /dev/sdX   | smartctl
100 Espace(s) surnuméraire(s) à supprimer. =>     sudo smartctl  -t select,next /dev/sdX   |    => suggestions : [' ']
100 Il manque un espace. =>     sudo smartctl  -t select,next /dev/sdX   | next => suggestions : [' next']
100 Mot inconnu : next =>     sudo smartctl  -t select,next /dev/sdX   | next
100 Espace(s) en fin de ligne à supprimer. =>     sudo smartctl  -t select,next /dev/sdX   |    => suggestions : ['']

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     |     => suggestions : ['']

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       |       => suggestions : ['']

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

114 Espace(s) en fin de ligne à supprimer. => Cette information est souvent demandée dans le forum.  |   => suggestions : ['']

123 Espace(s) surnuméraire(s) à supprimer. => ==== Cas d'un disque interne  ==== |    => suggestions : [' ']

124 Mot inconnu : NVMe => === Cas d'un disque non NVMe === | nvme

127 Mot inconnu : NVMe => === Cas d'un disque NVMe === | nvme

135 Mot inconnu : sudo => sudo nvme sanitize-log /dev/nvmeXXX</code> | sudo
135 Mot inconnu : nvme => sudo nvme sanitize-log /dev/nvmeXXX</code> | nvme
135 Mot inconnu : sanitize-log => sudo nvme sanitize-log /dev/nvmeXXX</code> | sanitize-log

136 Mot inconnu : P1 => <note warning>Inutile de mettre le numéro de partition (P1 ou P2  ou...)</note> | p1
136 Mot inconnu : P2 => <note warning>Inutile de mettre le numéro de partition (P1 ou P2  ou...)</note> | p2
136 Espace(s) surnuméraire(s) à supprimer. => <note warning>Inutile de mettre le numéro de partition (P1 ou P2  ou...)</note> |    => suggestions : [' ']
136 Typographie : points de suspension. Utilisez le caractère dédié. => <note warning>Inutile de mettre le numéro de partition (P1 ou P2  ou...)</note> | ... => suggestions : ['…']

144 Mot inconnu : usb => La commande ci-dessus peut nécessiter un complément si le disque est connecté en usb.\\  | usb
144 Espace(s) en fin de ligne à supprimer. => La commande ci-dessus peut nécessiter un complément si le disque est connecté en usb.\\  |   => suggestions : ['']

146 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

147 Espace(s) en fin de ligne à supprimer. => a) Ce complément est en général fourni par  |   => suggestions : ['']

153 Mot inconnu : usb => (même pour de l'usb) ou bien comme | usb

157 Mot inconnu : usbsunplus => On récupère alors **-d usbsunplus** et **sdb**, et on obtient le retour complet grâce à | usbsunplus
157 Mot inconnu : sdb => On récupère alors **-d usbsunplus** et **sdb**, et on obtient le retour complet grâce à | sdb

163 Mot inconnu : xyyyy => De cette ligne, on copie **0xyyyy:0xzzzz**, sans les crochets et on va le chercher dans la page | xyyyy
163 Il manque un espace. => De cette ligne, on copie **0xyyyy:0xzzzz**, sans les crochets et on va le chercher dans la page | 0xzzzz => suggestions : [' 0xzzzz']
163 Mot inconnu : xzzzz => De cette ligne, on copie **0xyyyy:0xzzzz**, sans les crochets et on va le chercher dans la page | xzzzz
164 Espace(s) en fin de ligne à supprimer. => https://www.smartmontools.org/wiki/Supported_USB-Devices qui référence :\\  |   => suggestions : ['']

165 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  - La plupart des adaptateurs supportés et donne l'option "-d" opérationnelle de chacun,\\  |   => suggestions : ['']
165 Guillemets typographiques fermants. =>  - La plupart des adaptateurs supportés et donne l'option "-d" opérationnelle de chacun,\\  | " => suggestions : ['\xa0»', '”']
165 Espace(s) en fin de ligne à supprimer. =>  - La plupart des adaptateurs supportés et donne l'option "-d" opérationnelle de chacun,\\  |   => suggestions : ['']

166 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  - La plupart des adaptateurs non supportés. |   => suggestions : ['']

168 Espace(s) en fin de ligne à supprimer. => Sur cette page-là on va donc récupérer la bonne option **-d machin-truc**, et  |   => suggestions : ['']

170 Mot inconnu : smartctl => en remplaçant X par la lettre trouvée juste avant, ce qui fournira le rapport smartctl complet. | smartctl

175 Guillemets typographiques ouvrants. => \\ c) Dans ce cas, certaines des commandes suivantes peuvent être essayées, toujours en remplaçant "X" par la bonne lettre, vérifiée juste avant. Il faut faire les cinq commandes, ne vous arrêtez pas à la première surtout si elle n'a renvoyé que quelques lignes : | " => suggestions : ['«\xa0', '“']
175 Guillemets typographiques fermants. => \\ c) Dans ce cas, certaines des commandes suivantes peuvent être essayées, toujours en remplaçant "X" par la bonne lettre, vérifiée juste avant. Il faut faire les cinq commandes, ne vous arrêtez pas à la première surtout si elle n'a renvoyé que quelques lignes : | " => suggestions : ['\xa0»', '”']

180 Mot inconnu : sudo => sudo smartctl -s on -d test -T verypermissive -a /dev/sdX</code> | sudo
180 Mot inconnu : smartctl => sudo smartctl -s on -d test -T verypermissive -a /dev/sdX</code> | smartctl
180 Il manque un espace à côté du tiret. => sudo smartctl -s on -d test -T verypermissive -a /dev/sdX</code> |  - => suggestions : [' – ', ' — ']
180 Il manque un espace à côté du tiret. => sudo smartctl -s on -d test -T verypermissive -a /dev/sdX</code> |  - => suggestions : [' – ', ' — ']
180 Il manque un espace à côté du tiret. => sudo smartctl -s on -d test -T verypermissive -a /dev/sdX</code> |  - => suggestions : [' – ', ' — ']
180 Mot inconnu : verypermissive => sudo smartctl -s on -d test -T verypermissive -a /dev/sdX</code> | verypermissive
180 Il manque un espace à côté du tiret. => sudo smartctl -s on -d test -T verypermissive -a /dev/sdX</code> |  - => suggestions : [' – ', ' — ']

183 Mot inconnu : UAS => ==== Cas du pilote UAS ==== | uas

188 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Brancher l'adaptateur |    => suggestions : ['']
188 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Brancher l'adaptateur |  -  => suggestions : [' – ', ' — ', ' − ']

189 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Relever les identifiants USB vendeur:produit pour l'adaptateur : |    => suggestions : ['']
189 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Relever les identifiants USB vendeur:produit pour l'adaptateur : |  -  => suggestions : [' – ', ' — ', ' − ']
189 Accord de nombre erroné avec « les identifiants USB » : « vendeur » devrait être au pluriel. =>   - Relever les identifiants USB vendeur:produit pour l'adaptateur : | vendeur => suggestions : ['vendeurs']
189 Il manque un espace. =>   - Relever les identifiants USB vendeur:produit pour l'adaptateur : | produit => suggestions : [' produit']

192 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * noter la valeur après ID sous le format <id vendeur>:<id produit> |      => suggestions : ['']

197 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Si les partitions du disque ne sont pas montées automatiquement, débrancher l'adaptateur USB et le rebrancher **connecté avec le disque dur** |    => suggestions : ['']
197 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Si les partitions du disque ne sont pas montées automatiquement, débrancher l'adaptateur USB et le rebrancher **connecté avec le disque dur** |  -  => suggestions : [' – ', ' — ', ' − ']

202 Mot inconnu : chipset => Exemple avec un adaptateur de marque U-Green avec le chipset VIA qui se charge en /dev/sdc. | chipset

206 Mot inconnu : smartctl => > smartctl 6.5 2016-01-24 r4214 [x86_64-linux-4.4.0-71-generic] (local build) | smartctl
206 Mot inconnu : r4214 => > smartctl 6.5 2016-01-24 r4214 [x86_64-linux-4.4.0-71-generic] (local build) | r4214
206 Mot inconnu : x86_64-linux-4 => > smartctl 6.5 2016-01-24 r4214 [x86_64-linux-4.4.0-71-generic] (local build) | x86_64-linux-4
206 Mot inconnu : generic => > smartctl 6.5 2016-01-24 r4214 [x86_64-linux-4.4.0-71-generic] (local build) | generic

207 Mot inconnu : Allen => > Copyright (C) 2002-16, Bruce Allen, Christian Franke, www.smartmontools.org | allen
207 Mot inconnu : Franke => > Copyright (C) 2002-16, Bruce Allen, Christian Franke, www.smartmontools.org | franke

208 Espace(s) en fin de ligne à supprimer. => >  |   => suggestions : ['']

209 Mot inconnu : Read => > **Read Device Identity failed: scsi error unsupported field in scsi command** | read
209 Mot inconnu : Device => > **Read Device Identity failed: scsi error unsupported field in scsi command** | device
