
5 Mot inconnu : Ampache => ====== Ampache ====== | ampache
84 Guillemets typographiques fermants. => Tout d'abord, connectez-vous, allez dans Admin > Config. Choisissez "français", cochez "apply to all". Cliquez sur update preferences et enfin sur "Rebuild preferences" (en haut). | " => suggestions : ['\xa0»', '”']
84 Guillemets typographiques ouvrants. => Tout d'abord, connectez-vous, allez dans Admin > Config. Choisissez "français", cochez "apply to all". Cliquez sur update preferences et enfin sur "Rebuild preferences" (en haut). | " => suggestions : ['«\xa0', '“']
84 Mot inconnu : apply => Tout d'abord, connectez-vous, allez dans Admin > Config. Choisissez "français", cochez "apply to all". Cliquez sur update preferences et enfin sur "Rebuild preferences" (en haut). | apply
84 Mot inconnu : to => Tout d'abord, connectez-vous, allez dans Admin > Config. Choisissez "français", cochez "apply to all". Cliquez sur update preferences et enfin sur "Rebuild preferences" (en haut). | to
84 Mot inconnu : all => Tout d'abord, connectez-vous, allez dans Admin > Config. Choisissez "français", cochez "apply to all". Cliquez sur update preferences et enfin sur "Rebuild preferences" (en haut). | all
84 Guillemets typographiques fermants. => Tout d'abord, connectez-vous, allez dans Admin > Config. Choisissez "français", cochez "apply to all". Cliquez sur update preferences et enfin sur "Rebuild preferences" (en haut). | " => suggestions : ['\xa0»', '”']
84 Mot inconnu : update => Tout d'abord, connectez-vous, allez dans Admin > Config. Choisissez "français", cochez "apply to all". Cliquez sur update preferences et enfin sur "Rebuild preferences" (en haut). | update
84 Mot inconnu : preferences => Tout d'abord, connectez-vous, allez dans Admin > Config. Choisissez "français", cochez "apply to all". Cliquez sur update preferences et enfin sur "Rebuild preferences" (en haut). | preferences
84 Guillemets typographiques ouvrants. => Tout d'abord, connectez-vous, allez dans Admin > Config. Choisissez "français", cochez "apply to all". Cliquez sur update preferences et enfin sur "Rebuild preferences" (en haut). | " => suggestions : ['«\xa0', '“']
84 Mot inconnu : Rebuild => Tout d'abord, connectez-vous, allez dans Admin > Config. Choisissez "français", cochez "apply to all". Cliquez sur update preferences et enfin sur "Rebuild preferences" (en haut). | rebuild
84 Mot inconnu : preferences => Tout d'abord, connectez-vous, allez dans Admin > Config. Choisissez "français", cochez "apply to all". Cliquez sur update preferences et enfin sur "Rebuild preferences" (en haut). | preferences
84 Guillemets typographiques fermants. => Tout d'abord, connectez-vous, allez dans Admin > Config. Choisissez "français", cochez "apply to all". Cliquez sur update preferences et enfin sur "Rebuild preferences" (en haut). | " => suggestions : ['\xa0»', '”']

86 Accord de nombre erroné avec « deux types » : « possible » devrait être au pluriel. => Les catalogues sont les dossiers contenant votre musique. Il y a deux types possible de catalogues actuellement : les catalogues locaux et les catalogues distants. Les catalogues distants s'utilisent avec XML-RPC et référencent d'autres serveurs Ampache. Les catalogues locaux référencent un dossier sur le serveur (votre ordinateur). | possible => suggestions : ['possibles']
86 Mot inconnu : XML-RPC => Les catalogues sont les dossiers contenant votre musique. Il y a deux types possible de catalogues actuellement : les catalogues locaux et les catalogues distants. Les catalogues distants s'utilisent avec XML-RPC et référencent d'autres serveurs Ampache. Les catalogues locaux référencent un dossier sur le serveur (votre ordinateur). | xml-rpc
86 Mot inconnu : Ampache => Les catalogues sont les dossiers contenant votre musique. Il y a deux types possible de catalogues actuellement : les catalogues locaux et les catalogues distants. Les catalogues distants s'utilisent avec XML-RPC et référencent d'autres serveurs Ampache. Les catalogues locaux référencent un dossier sur le serveur (votre ordinateur). | ampache

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Nom de catalogue : Donner un nom |      => suggestions : ['']

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Chemin: Dossier situé sur l'ordinateur où est ampache (ne pas mettre de chemin relatif) |      => suggestions : ['']
91 Mot inconnu : ampache =>     * Chemin: Dossier situé sur l'ordinateur où est ampache (ne pas mettre de chemin relatif) | ampache

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Type de catalogue : local ou distant |      => suggestions : ['']

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Clef de XML-RPC : *Obligatoire pour un catalogue distant |      => suggestions : ['']
93 Mot inconnu : XML-RPC =>     * Clef de XML-RPC : *Obligatoire pour un catalogue distant | xml-rpc

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Motif de nom de fichier : Motifs qu'ampache va utiliser pour essayer de lire les noms de fichier et les tags. Cela définit également la façon dont ampache va ordonner/renommer les fichiers dans la collection	 |      => suggestions : ['']
94 Mot inconnu : ampache =>     * Motif de nom de fichier : Motifs qu'ampache va utiliser pour essayer de lire les noms de fichier et les tags. Cela définit également la façon dont ampache va ordonner/renommer les fichiers dans la collection	 | ampache
94 Mot inconnu : ampache =>     * Motif de nom de fichier : Motifs qu'ampache va utiliser pour essayer de lire les noms de fichier et les tags. Cela définit également la façon dont ampache va ordonner/renommer les fichiers dans la collection	 | ampache

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Motif de dossier : Structure du catalogue, partant du dossier principal, cela permet également de récupérer les tags. |      => suggestions : ['']

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Récupérer la jaquette d'album : oui, c'est plus joli |      => suggestions : ['']

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Construire les listes de lecture à partir des fichiers m3u : Ampache va chercher des fichier .m3u dans le catalogue et essayer de créer des listes de lecture à partir de ces fichiers |      => suggestions : ['']
97 Mot inconnu : m3u =>     * Construire les listes de lecture à partir des fichiers m3u : Ampache va chercher des fichier .m3u dans le catalogue et essayer de créer des listes de lecture à partir de ces fichiers | m3u
97 Mot inconnu : Ampache =>     * Construire les listes de lecture à partir des fichiers m3u : Ampache va chercher des fichier .m3u dans le catalogue et essayer de créer des listes de lecture à partir de ces fichiers | ampache
97 Accord de nombre erroné : « fichier » devrait être au pluriel. =>     * Construire les listes de lecture à partir des fichiers m3u : Ampache va chercher des fichier .m3u dans le catalogue et essayer de créer des listes de lecture à partir de ces fichiers | fichier => suggestions : ['fichiers']
97 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>     * Construire les listes de lecture à partir des fichiers m3u : Ampache va chercher des fichier .m3u dans le catalogue et essayer de créer des listes de lecture à partir de ces fichiers |  . => suggestions : ['. ', '.']
97 Mot inconnu : m3u =>     * Construire les listes de lecture à partir des fichiers m3u : Ampache va chercher des fichier .m3u dans le catalogue et essayer de créer des listes de lecture à partir de ces fichiers | m3u

99 Mot inconnu : Ampache => Vous pourrez par la suite revenir dans administration > catalogues pour demander à Ampache de vérifier le catalogue (regarder s'il y a de nouvelles musiques) | ampache

103 Mot inconnu : AAC => Nous avons parlé des fichiers AAC/M4A/FLAC. Certes Ampache les gère, mais ce ne sont pas des formats propices au streaming, il va donc falloir faire du transcodage. Cela permet de convertir un type de fichier en un autre. Ampache gère le transcodage à la volée de tout type de fichier. | aac
103 Mot inconnu : Ampache => Nous avons parlé des fichiers AAC/M4A/FLAC. Certes Ampache les gère, mais ce ne sont pas des formats propices au streaming, il va donc falloir faire du transcodage. Cela permet de convertir un type de fichier en un autre. Ampache gère le transcodage à la volée de tout type de fichier. | ampache
103 Mot inconnu : Ampache => Nous avons parlé des fichiers AAC/M4A/FLAC. Certes Ampache les gère, mais ce ne sont pas des formats propices au streaming, il va donc falloir faire du transcodage. Cela permet de convertir un type de fichier en un autre. Ampache gère le transcodage à la volée de tout type de fichier. | ampache

137 Mot inconnu : faad => Ceci est la configuration par défaut, vous remarquerez qu'il faut avoir installé flac, lame et faad. Vous pouvez ajouter d'autres types de fichiers selon le même modèle | faad
139 Mot inconnu : linux => pour le format ogg (sous linux quand même c'est par default ;) : vorbis  tools et lame | linux
139 Mot inconnu : default => pour le format ogg (sous linux quand même c'est par default ;) : vorbis  tools et lame | default
139 Espace(s) surnuméraire(s) à supprimer. => pour le format ogg (sous linux quand même c'est par default ;) : vorbis  tools et lame |    => suggestions : [' ']
139 Mot inconnu : tools => pour le format ogg (sous linux quand même c'est par default ;) : vorbis  tools et lame | tools

141 Mot inconnu : transcode_ogg => transcode_ogg         = true | transcode_ogg
141 Espace(s) surnuméraire(s) à supprimer. => transcode_ogg         = true |           => suggestions : [' ']
141 Mot inconnu : true => transcode_ogg         = true | true

142 Mot inconnu : transcode_ogg_target => transcode_ogg_target  = mp3 | transcode_ogg_target
142 Espace(s) surnuméraire(s) à supprimer. => transcode_ogg_target  = mp3 |    => suggestions : [' ']

144 Mot inconnu : transcode_cmd_ogg => transcode_cmd_ogg     = "oggdec -Q %FILE% -o - | lame -q 2 -b %SAMPLE% -S - -" | transcode_cmd_ogg
144 Espace(s) surnuméraire(s) à supprimer. => transcode_cmd_ogg     = "oggdec -Q %FILE% -o - | lame -q 2 -b %SAMPLE% -S - -" |       => suggestions : [' ']
144 Guillemets typographiques ouvrants. => transcode_cmd_ogg     = "oggdec -Q %FILE% -o - | lame -q 2 -b %SAMPLE% -S - -" | " => suggestions : ['«\xa0', '“']
144 Mot inconnu : oggdec => transcode_cmd_ogg     = "oggdec -Q %FILE% -o - | lame -q 2 -b %SAMPLE% -S - -" | oggdec
144 Il manque un espace à côté du tiret. => transcode_cmd_ogg     = "oggdec -Q %FILE% -o - | lame -q 2 -b %SAMPLE% -S - -" |  - => suggestions : [' – ', ' — ']
144 Il manque un espace. => transcode_cmd_ogg     = "oggdec -Q %FILE% -o - | lame -q 2 -b %SAMPLE% -S - -" | file => suggestions : [' FILE']
144 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => transcode_cmd_ogg     = "oggdec -Q %FILE% -o - | lame -q 2 -b %SAMPLE% -S - -" |  -  => suggestions : [' – ', ' — ', ' − ']
144 Il manque un espace à côté du tiret. => transcode_cmd_ogg     = "oggdec -Q %FILE% -o - | lame -q 2 -b %SAMPLE% -S - -" |  - => suggestions : [' – ', ' — ']
144 Il manque un espace à côté du tiret. => transcode_cmd_ogg     = "oggdec -Q %FILE% -o - | lame -q 2 -b %SAMPLE% -S - -" |  - => suggestions : [' – ', ' — ']
144 Il manque un espace. => transcode_cmd_ogg     = "oggdec -Q %FILE% -o - | lame -q 2 -b %SAMPLE% -S - -" | sample => suggestions : [' SAMPLE']
144 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => transcode_cmd_ogg     = "oggdec -Q %FILE% -o - | lame -q 2 -b %SAMPLE% -S - -" |  -  => suggestions : [' – ', ' — ', ' − ']

148 Mot inconnu : stream => Vous pouvez aussi forcer le transcodage basé sur l'adresse IP de l'utilisateur du stream. Cela permet de télécharger et encoder automatiquement si l'utilisateur est en dehors du réseau local. Pour activer cela il faut définir un "[[http://ampache.org/bugs/wiki/ConfigAcl|Local Network ACL [en]]]" et activer "downsample_remote" dans ampache.cfg.php | stream
148 Mot inconnu : Network => Vous pouvez aussi forcer le transcodage basé sur l'adresse IP de l'utilisateur du stream. Cela permet de télécharger et encoder automatiquement si l'utilisateur est en dehors du réseau local. Pour activer cela il faut définir un "[[http://ampache.org/bugs/wiki/ConfigAcl|Local Network ACL [en]]]" et activer "downsample_remote" dans ampache.cfg.php | network
148 Mot inconnu : ACL => Vous pouvez aussi forcer le transcodage basé sur l'adresse IP de l'utilisateur du stream. Cela permet de télécharger et encoder automatiquement si l'utilisateur est en dehors du réseau local. Pour activer cela il faut définir un "[[http://ampache.org/bugs/wiki/ConfigAcl|Local Network ACL [en]]]" et activer "downsample_remote" dans ampache.cfg.php | acl
148 Guillemets typographiques ouvrants. => Vous pouvez aussi forcer le transcodage basé sur l'adresse IP de l'utilisateur du stream. Cela permet de télécharger et encoder automatiquement si l'utilisateur est en dehors du réseau local. Pour activer cela il faut définir un "[[http://ampache.org/bugs/wiki/ConfigAcl|Local Network ACL [en]]]" et activer "downsample_remote" dans ampache.cfg.php | " => suggestions : ['«\xa0', '“']
148 Mot inconnu : downsample_remote => Vous pouvez aussi forcer le transcodage basé sur l'adresse IP de l'utilisateur du stream. Cela permet de télécharger et encoder automatiquement si l'utilisateur est en dehors du réseau local. Pour activer cela il faut définir un "[[http://ampache.org/bugs/wiki/ConfigAcl|Local Network ACL [en]]]" et activer "downsample_remote" dans ampache.cfg.php | downsample_remote
148 Guillemets typographiques fermants. => Vous pouvez aussi forcer le transcodage basé sur l'adresse IP de l'utilisateur du stream. Cela permet de télécharger et encoder automatiquement si l'utilisateur est en dehors du réseau local. Pour activer cela il faut définir un "[[http://ampache.org/bugs/wiki/ConfigAcl|Local Network ACL [en]]]" et activer "downsample_remote" dans ampache.cfg.php | " => suggestions : ['\xa0»', '”']

161 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://ampache.org/|site officiel [en]]] |    => suggestions : ['']

162 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://github.com/ampache/ampache/wiki/ ]][en], avec toutes les infos utiles |    => suggestions : ['']
162 Pas d’espace avant ce signe. =>   * [[https://github.com/ampache/ampache/wiki/ ]][en], avec toutes les infos utiles |  ] => suggestions : [']']

170 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  //Contributeurs : [[utilisateurs:gurdil63]]// |   => suggestions : ['']
