
7 Mot inconnu : EasyTag => ====== EasyTag (éditeur de métadonnées audio) ====== | easytag
22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * pochette d'album ; |    => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * paroles. |    => suggestions : ['']

25 Mot inconnu : EasyTag => EasyTag permet d'importer des tags depuis internet, de renommer vos fichiers et dossiers selon des tags ou inversement, de créer des tags audio selon vos noms de fichier ou depuis un fichier texte. | easytag

27 Espace(s) en fin de ligne à supprimer. => C'est un outil performant et proposant de nombreuses fonctions et paramètres afin d'assister l'homogénéisation d'une bibliothèque multimédia.  |   => suggestions : ['']

36 Mot inconnu : Id3lib => ==== Version patchée d'Id3lib==== | id3lib

38 Mot inconnu : Easytag => Easytag gère correctement l'Unicode à condition d'avoir une version de id3lib patchée (si ce n'est pas le cas il vous préviendra) ! | easytag
38 Élision de l’article devant un mot commençant par une voyelle. => Easytag gère correctement l'Unicode à condition d'avoir une version de id3lib patchée (si ce n'est pas le cas il vous préviendra) ! | de  => suggestions : ['d’']
38 Mot inconnu : id3lib => Easytag gère correctement l'Unicode à condition d'avoir une version de id3lib patchée (si ce n'est pas le cas il vous préviendra) ! | id3lib

40 Mot inconnu : Id3lib => Si vous en avez besoin, voici donc le [[http://downloads.sourceforge.net/easytag/patch_id3lib_3.8.3_UTF16_writing_bug.diff|patch Id3lib (UTF-16 fix)]] nécessaire. | id3lib
40 Mot inconnu : fix => Si vous en avez besoin, voici donc le [[http://downloads.sourceforge.net/easytag/patch_id3lib_3.8.3_UTF16_writing_bug.diff|patch Id3lib (UTF-16 fix)]] nécessaire. | fix

44 Mot inconnu : EasyTag => L’arborescence d'EasyTag affiche les dossiers sur la colonne de gauche, les fichiers dans la colonne centrale et les tags audio correspondant à la sélection de fichier en cours. \\ | easytag

45 Mot inconnu : EasyTag => Par défaut EasyTag affichera les fichiers contenus dans le dossier sélectionné et dans tous les sous-dossiers. Prenez cette information en compte avant de sélectionner un dossier contenant beaucoup de données. | easytag

47 S’il s’agit d’un impératif, mettez un trait d’union. => Une fois un dossier sélectionné (dans la colonne de gauche), sélectionnez le ou les fichiers à traiter dans la colonne centrale. La colonne de droite affiche le nom du fichier ainsi que les tags du fichier sélectionné. Vous pouvez modifier aussi bien le nom du fichier que les tags. | sélectionnez le => suggestions : ['sélectionnez-le']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Depuis le menu //Fichier →  **Sauvegarder le(s) fichier(s)**// ; |    => suggestions : ['']
54 Écriture invariable. Utilisez un point médian. =>   * Depuis le menu //Fichier →  **Sauvegarder le(s) fichier(s)**// ; | fichier(s) => suggestions : ['fichier·s']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Depuis le bouton //Sauvegarder le(s) fichier(s)// situé(s) dans la barre d'outil ; |    => suggestions : ['']
55 Écriture invariable. Utilisez un point médian. =>   * Depuis le bouton //Sauvegarder le(s) fichier(s)// situé(s) dans la barre d'outil ; | fichier(s) => suggestions : ['fichier·s']
55 Écriture invariable. Utilisez un point médian. =>   * Depuis le bouton //Sauvegarder le(s) fichier(s)// situé(s) dans la barre d'outil ; | situé(s) => suggestions : ['situé·s']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avec le raccourci clavier  **Ctrl + S**. |    => suggestions : ['']
56 Espace(s) surnuméraire(s) à supprimer. =>   * Avec le raccourci clavier  **Ctrl + S**. |    => suggestions : [' ']

60 Typographie : pas de virgule avant les points de suspension. => Vous pouvez définir une information commune à plusieurs fichiers comme une pochette d'album, un nom d'album, d'artiste, une date, … | , … => suggestions : ['…']

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Sélectionner tous les fichiers concernés (d'un album par exemple) ; |    => suggestions : ['']
62 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Sélectionner tous les fichiers concernés (d'un album par exemple) ; |  -  => suggestions : [' – ', ' — ', ' − ']

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Modifiez le ou les champs souhaités ; |    => suggestions : ['']
63 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Modifiez le ou les champs souhaités ; |  -  => suggestions : [' – ', ' — ', ' − ']
63 S’il s’agit d’un impératif, mettez un trait d’union. =>   - Modifiez le ou les champs souhaités ; | modifiez le => suggestions : ['Modifiez-le']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Pour chaque champ modifié, cliquer sur le petit bouton rond à droite du champ pour appliquer la modification à tous les fichiers concernés |    => suggestions : ['']
64 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Pour chaque champ modifié, cliquer sur le petit bouton rond à droite du champ pour appliquer la modification à tous les fichiers concernés |  -  => suggestions : [' – ', ' — ', ' − ']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Sauvegardez vos modifications. |    => suggestions : ['']
65 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Sauvegardez vos modifications. |  -  => suggestions : [' – ', ' — ', ' − ']

71 Mot inconnu : CDDB => Il est possible de récupérer automatiquement les informations correspondant à un CD enregistré dans la base de données en ligne CDDB, vous évitant de tout saisir à la main. | cddb

72 Mot inconnu : CDDB => La recherche CDDB est accessible depuis le menu //Divers →  **Recherche CDDB…**// ou depuis un clic droit de souris. | cddb
72 Mot inconnu : CDDB => La recherche CDDB est accessible depuis le menu //Divers →  **Recherche CDDB…**// ou depuis un clic droit de souris. | cddb

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Sélectionnez tous les fichiers d'un seul album ;  |    => suggestions : ['']
74 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Sélectionnez tous les fichiers d'un seul album ;  |  -  => suggestions : [' – ', ' — ', ' − ']
74 Espace(s) en fin de ligne à supprimer. =>   - Sélectionnez tous les fichiers d'un seul album ;  |   => suggestions : ['']

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Classez dans l'ordre de piste croissant ; |    => suggestions : ['']
75 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Classez dans l'ordre de piste croissant ; |  -  => suggestions : [' – ', ' — ', ' − ']

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Ouvrez l'outil de recherche CDDB ; |    => suggestions : ['']
76 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Ouvrez l'outil de recherche CDDB ; |  -  => suggestions : [' – ', ' — ', ' − ']
76 Mot inconnu : CDDB =>   - Ouvrez l'outil de recherche CDDB ; | cddb

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Sélectionnez l'album correspondant dans les résultats ; |    => suggestions : ['']
77 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Sélectionnez l'album correspondant dans les résultats ; |  -  => suggestions : [' – ', ' — ', ' − ']

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Acceptez les changements proposés ; |    => suggestions : ['']
78 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Acceptez les changements proposés ; |  -  => suggestions : [' – ', ' — ', ' − ']

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Sauvegardez les tags. |    => suggestions : ['']
79 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Sauvegardez les tags. |  -  => suggestions : [' – ', ' — ', ' − ']

85 Mot inconnu : EasyTag => EasyTag permet de récupérer des tags à partir de nom de fichier et de répertoire. Si aucune information n'était disponible sur CDDB (artistes locaux, musique peu connue, …) et si les fichiers sont nommés il est possible de compléter automatiquement les tags grâce au scanner d'EasyTag. | easytag
85 Mot inconnu : CDDB => EasyTag permet de récupérer des tags à partir de nom de fichier et de répertoire. Si aucune information n'était disponible sur CDDB (artistes locaux, musique peu connue, …) et si les fichiers sont nommés il est possible de compléter automatiquement les tags grâce au scanner d'EasyTag. | cddb
85 Typographie : pas de virgule avant les points de suspension. => EasyTag permet de récupérer des tags à partir de nom de fichier et de répertoire. Si aucune information n'était disponible sur CDDB (artistes locaux, musique peu connue, …) et si les fichiers sont nommés il est possible de compléter automatiquement les tags grâce au scanner d'EasyTag. | , … => suggestions : ['…']
85 Mot inconnu : EasyTag => EasyTag permet de récupérer des tags à partir de nom de fichier et de répertoire. Si aucune information n'était disponible sur CDDB (artistes locaux, musique peu connue, …) et si les fichiers sont nommés il est possible de compléter automatiquement les tags grâce au scanner d'EasyTag. | easytag

86 Espace(s) surnuméraire(s) à supprimer. => Le scanner est accessible depuis le menu  **Scanner** ou depuis un clic droit de souris. |    => suggestions : [' ']

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Sélectionner les fichiers à modifier (rappel : sélection non contigüe par <Ctrl>-clic) |    => suggestions : ['']
88 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Sélectionner les fichiers à modifier (rappel : sélection non contigüe par <Ctrl>-clic) |  -  => suggestions : [' – ', ' — ', ' − ']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Ouvrez le scanner en appuyant sur le bouton "Scanner" (ou via le menu View > Show scanner) -> une nouvelle fenêtre s'ouvre ; |    => suggestions : ['']
89 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Ouvrez le scanner en appuyant sur le bouton "Scanner" (ou via le menu View > Show scanner) -> une nouvelle fenêtre s'ouvre ; |  -  => suggestions : [' – ', ' — ', ' − ']
89 Guillemets typographiques ouvrants. =>   - Ouvrez le scanner en appuyant sur le bouton "Scanner" (ou via le menu View > Show scanner) -> une nouvelle fenêtre s'ouvre ; | " => suggestions : ['«\xa0', '“']
89 Guillemets typographiques fermants. =>   - Ouvrez le scanner en appuyant sur le bouton "Scanner" (ou via le menu View > Show scanner) -> une nouvelle fenêtre s'ouvre ; | " => suggestions : ['\xa0»', '”']
89 Mot inconnu : View =>   - Ouvrez le scanner en appuyant sur le bouton "Scanner" (ou via le menu View > Show scanner) -> une nouvelle fenêtre s'ouvre ; | view

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Choisissez l'option **Compléter Tag** ; |    => suggestions : ['']
90 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Choisissez l'option **Compléter Tag** ; |  -  => suggestions : [' – ', ' — ', ' − ']

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Configurez les paramètres selon la structure des noms des fichiers = définir le masque (voir exemple ci-dessous) ; |    => suggestions : ['']
91 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Configurez les paramètres selon la structure des noms des fichiers = définir le masque (voir exemple ci-dessous) ; |  -  => suggestions : [' – ', ' — ', ' − ']

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Valider en appuyant sur le bouton "Scanner les fichiers" ("Scan Files") -> les fichiers dont le nom a été modifié apparaissent en rouge dans la liste des fichiers ; |    => suggestions : ['']
92 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Valider en appuyant sur le bouton "Scanner les fichiers" ("Scan Files") -> les fichiers dont le nom a été modifié apparaissent en rouge dans la liste des fichiers ; |  -  => suggestions : [' – ', ' — ', ' − ']
92 Guillemets typographiques ouvrants. =>   - Valider en appuyant sur le bouton "Scanner les fichiers" ("Scan Files") -> les fichiers dont le nom a été modifié apparaissent en rouge dans la liste des fichiers ; | " => suggestions : ['«\xa0', '“']
92 Guillemets typographiques fermants. =>   - Valider en appuyant sur le bouton "Scanner les fichiers" ("Scan Files") -> les fichiers dont le nom a été modifié apparaissent en rouge dans la liste des fichiers ; | " => suggestions : ['\xa0»', '”']
92 Guillemets typographiques ouvrants. =>   - Valider en appuyant sur le bouton "Scanner les fichiers" ("Scan Files") -> les fichiers dont le nom a été modifié apparaissent en rouge dans la liste des fichiers ; | " => suggestions : ['«\xa0', '“']
92 Guillemets typographiques fermants. =>   - Valider en appuyant sur le bouton "Scanner les fichiers" ("Scan Files") -> les fichiers dont le nom a été modifié apparaissent en rouge dans la liste des fichiers ; | " => suggestions : ['\xa0»', '”']

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Fermer la fenêtre du scanner ; |    => suggestions : ['']
93 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Fermer la fenêtre du scanner ; |  -  => suggestions : [' – ', ' — ', ' − ']

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Les fichiers modifiés doivent être sélectionnés pour que les modifications puissent être enregistrées ; |    => suggestions : ['']
94 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Les fichiers modifiés doivent être sélectionnés pour que les modifications puissent être enregistrées ; |  -  => suggestions : [' – ', ' — ', ' − ']

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Appuyer le bouton "Sauver les fichiers" ("Save changes to selected files") et confirmer ; |    => suggestions : ['']
95 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Appuyer le bouton "Sauver les fichiers" ("Save changes to selected files") et confirmer ; |  -  => suggestions : [' – ', ' — ', ' − ']
95 Guillemets typographiques ouvrants. =>   - Appuyer le bouton "Sauver les fichiers" ("Save changes to selected files") et confirmer ; | " => suggestions : ['«\xa0', '“']
95 Guillemets typographiques fermants. =>   - Appuyer le bouton "Sauver les fichiers" ("Save changes to selected files") et confirmer ; | " => suggestions : ['\xa0»', '”']
95 Guillemets typographiques ouvrants. =>   - Appuyer le bouton "Sauver les fichiers" ("Save changes to selected files") et confirmer ; | " => suggestions : ['«\xa0', '“']
95 Mot inconnu : Save =>   - Appuyer le bouton "Sauver les fichiers" ("Save changes to selected files") et confirmer ; | save
95 Mot inconnu : to =>   - Appuyer le bouton "Sauver les fichiers" ("Save changes to selected files") et confirmer ; | to
95 Mot inconnu : selected =>   - Appuyer le bouton "Sauver les fichiers" ("Save changes to selected files") et confirmer ; | selected
95 Guillemets typographiques fermants. =>   - Appuyer le bouton "Sauver les fichiers" ("Save changes to selected files") et confirmer ; | " => suggestions : ['\xa0»', '”']

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ludwig Von 88/Tout pour le Trash/07 CADEAUX Dix Mille Soleils  - Ludwig Von 88.mp3 |    => suggestions : ['']
103 Mot inconnu : Von =>   * Ludwig Von 88/Tout pour le Trash/07 CADEAUX Dix Mille Soleils  - Ludwig Von 88.mp3 | von
103 Espace(s) surnuméraire(s) à supprimer. =>   * Ludwig Von 88/Tout pour le Trash/07 CADEAUX Dix Mille Soleils  - Ludwig Von 88.mp3 |    => suggestions : [' ']
103 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * Ludwig Von 88/Tout pour le Trash/07 CADEAUX Dix Mille Soleils  - Ludwig Von 88.mp3 |  -  => suggestions : [' – ', ' — ', ' − ']
103 Mot inconnu : Von =>   * Ludwig Von 88/Tout pour le Trash/07 CADEAUX Dix Mille Soleils  - Ludwig Von 88.mp3 | von

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ludwig Von 88/Tout pour le Trash/08 CADEAUX Communiste  - Ludwig Von 88.mp3 |    => suggestions : ['']
104 Mot inconnu : Von =>   * Ludwig Von 88/Tout pour le Trash/08 CADEAUX Communiste  - Ludwig Von 88.mp3 | von
104 Accord de nombre erroné avec « 08 CADEAUX » : « Communiste » devrait être au pluriel. =>   * Ludwig Von 88/Tout pour le Trash/08 CADEAUX Communiste  - Ludwig Von 88.mp3 | communiste => suggestions : ['Communistes']
104 Espace(s) surnuméraire(s) à supprimer. =>   * Ludwig Von 88/Tout pour le Trash/08 CADEAUX Communiste  - Ludwig Von 88.mp3 |    => suggestions : [' ']
104 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * Ludwig Von 88/Tout pour le Trash/08 CADEAUX Communiste  - Ludwig Von 88.mp3 |  -  => suggestions : [' – ', ' — ', ' − ']
104 Mot inconnu : Von =>   * Ludwig Von 88/Tout pour le Trash/08 CADEAUX Communiste  - Ludwig Von 88.mp3 | von

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ludwig Von 88/Tout pour le Trash/09 CADEAUX Club Med  - Ludwig Von 88.mp3 |    => suggestions : ['']
105 Mot inconnu : Von =>   * Ludwig Von 88/Tout pour le Trash/09 CADEAUX Club Med  - Ludwig Von 88.mp3 | von
105 Mot inconnu : Med =>   * Ludwig Von 88/Tout pour le Trash/09 CADEAUX Club Med  - Ludwig Von 88.mp3 | med
105 Espace(s) surnuméraire(s) à supprimer. =>   * Ludwig Von 88/Tout pour le Trash/09 CADEAUX Club Med  - Ludwig Von 88.mp3 |    => suggestions : [' ']
105 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * Ludwig Von 88/Tout pour le Trash/09 CADEAUX Club Med  - Ludwig Von 88.mp3 |  -  => suggestions : [' – ', ' — ', ' − ']
105 Mot inconnu : Von =>   * Ludwig Von 88/Tout pour le Trash/09 CADEAUX Club Med  - Ludwig Von 88.mp3 | von

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **%a** Artiste : Ludwig Von 88 ; |    => suggestions : ['']
109 Il manque un espace. =>   * **%a** Artiste : Ludwig Von 88 ; | a => suggestions : [' a']
109 Mot inconnu : Von =>   * **%a** Artiste : Ludwig Von 88 ; | von

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le symbole / : séparateur de dossier ; |    => suggestions : ['']

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **%b** Album : Tout pour le Trash ; |    => suggestions : ['']
111 Il manque un espace. =>   * **%b** Album : Tout pour le Trash ; | b => suggestions : [' b']

112 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le symbole / : séparateur de dossier ; |    => suggestions : ['']

113 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **%n** Piste : 07 ; |    => suggestions : ['']
113 Il manque un espace. =>   * **%n** Piste : 07 ; | n => suggestions : [' n']

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * CADEAUX ou tout autre texte indiqué ici ne sera pas traité, dans cet exemple il est obligatoire de le faire pour ne pas l'intégrer dans le titre de la piste ; |    => suggestions : ['']

115 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **%t** Titre de la piste : Dix Mille Soleils ; |    => suggestions : ['']
115 Il manque un espace. =>   * **%t** Titre de la piste : Dix Mille Soleils ; | t => suggestions : [' t']

116 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **%i** Rien, utilisé pour ignorer une chaîne. |    => suggestions : ['']
116 Il manque un espace. =>   * **%i** Rien, utilisé pour ignorer une chaîne. | i => suggestions : [' i']

118 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => Il ne vous reste plus qu'a faire vos propre essais sur des fichiers dupliqués pour l'occasion afin de ne pas avoir de surprise en cas d'erreur. | a => suggestions : ['à']
118 Accord de nombre erroné : « propre » devrait être au pluriel. => Il ne vous reste plus qu'a faire vos propre essais sur des fichiers dupliqués pour l'occasion afin de ne pas avoir de surprise en cas d'erreur. | propre => suggestions : ['propres']

124 Mot inconnu : EasyTag => Certains d'entre vous pourraient être amenés à traiter les étiquettes dans un programme annexe ou depuis une liste de titres présents sur une page Web. Avec EasyTag, il est possible de les rentrer de manière automatique. | easytag

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir un fichier texte contenant les infos des morceaux sur chaque ligne et dans l'ordre ; |    => suggestions : ['']

128 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir traité les informations pour que chaque champ soit clairement identifié (utilisation de séparateur tel que «  - » par exemple) ; |    => suggestions : ['']
128 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * Avoir traité les informations pour que chaque champ soit clairement identifié (utilisation de séparateur tel que «  - » par exemple) ; |  -  => suggestions : [' – ', ' — ', ' − ']

129 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Savoir utiliser le scanner de tag. |    => suggestions : ['']

132 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Ouvrez le Scanner de Tag ; |    => suggestions : ['']
132 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Ouvrez le Scanner de Tag ; |  -  => suggestions : [' – ', ' — ', ' − ']

