
2 Mot inconnu : The => ====== Dépôts pour Ubuntu 18.04 (The Bionic Beaver) ====== | the
8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //**Par conséquent, si vous ne voulez pas risquer d'endommager l'intégrité de votre système,** n'activez l'accès qu'aux dépôts disponibles dans l'outil de gestion des sources logicielles (''Applications -> Logithèque Ubuntu -> Édition -> Sources de logiciels'').// |    => suggestions : ['']
8 Guillemets typographiques fermants. =>   * //**Par conséquent, si vous ne voulez pas risquer d'endommager l'intégrité de votre système,** n'activez l'accès qu'aux dépôts disponibles dans l'outil de gestion des sources logicielles (''Applications -> Logithèque Ubuntu -> Édition -> Sources de logiciels'').// | '' => suggestions : ['\xa0»', '”']

14 Espace(s) en fin de ligne à supprimer. => ===== Dépôts officiels activés par défaut =====  |   => suggestions : ['']

16 Mot inconnu : Restricted => ==== Dépôts Main et Restricted ==== | restricted

20 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => == Serveurs Français == | français => suggestions : ['français']

22 Mot inconnu : deb => deb http://fr.archive.ubuntu.com/ubuntu/ bionic main restricted | deb
22 Mot inconnu : restricted => deb http://fr.archive.ubuntu.com/ubuntu/ bionic main restricted | restricted

23 Mot inconnu : deb => deb http://security.ubuntu.com/ubuntu bionic-security main restricted | deb
23 Mot inconnu : bionic-security => deb http://security.ubuntu.com/ubuntu bionic-security main restricted | bionic-security
23 Mot inconnu : restricted => deb http://security.ubuntu.com/ubuntu bionic-security main restricted | restricted

24 Mot inconnu : deb => deb http://fr.archive.ubuntu.com/ubuntu/ bionic-updates main restricted | deb
24 Mot inconnu : bionic-updates => deb http://fr.archive.ubuntu.com/ubuntu/ bionic-updates main restricted | bionic-updates
24 Mot inconnu : restricted => deb http://fr.archive.ubuntu.com/ubuntu/ bionic-updates main restricted | restricted

26 Mot inconnu : apt-get => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) | apt-get

27 Mot inconnu : deb-src => # deb-src http://fr.archive.ubuntu.com/ubuntu/ bionic main restricted | deb-src
27 Mot inconnu : restricted => # deb-src http://fr.archive.ubuntu.com/ubuntu/ bionic main restricted | restricted

28 Mot inconnu : deb-src => # deb-src http://security.ubuntu.com/ubuntu bionic-security main restricted | deb-src
28 Mot inconnu : bionic-security => # deb-src http://security.ubuntu.com/ubuntu bionic-security main restricted | bionic-security
28 Mot inconnu : restricted => # deb-src http://security.ubuntu.com/ubuntu bionic-security main restricted | restricted

29 Mot inconnu : deb-src => # deb-src http://fr.archive.ubuntu.com/ubuntu/ bionic-updates main restricted | deb-src
29 Mot inconnu : bionic-updates => # deb-src http://fr.archive.ubuntu.com/ubuntu/ bionic-updates main restricted | bionic-updates
29 Mot inconnu : restricted => # deb-src http://fr.archive.ubuntu.com/ubuntu/ bionic-updates main restricted | restricted

32 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => == Serveurs Belges == | belges => suggestions : ['belges']

34 Mot inconnu : deb => deb http://be.archive.ubuntu.com/ubuntu/ bionic main restricted | deb
34 Mot inconnu : restricted => deb http://be.archive.ubuntu.com/ubuntu/ bionic main restricted | restricted

35 Mot inconnu : deb => deb http://security.ubuntu.com/ubuntu bionic-security main restricted | deb
35 Mot inconnu : bionic-security => deb http://security.ubuntu.com/ubuntu bionic-security main restricted | bionic-security
35 Mot inconnu : restricted => deb http://security.ubuntu.com/ubuntu bionic-security main restricted | restricted

36 Mot inconnu : deb => deb http://be.archive.ubuntu.com/ubuntu/ bionic-updates main restricted | deb
36 Mot inconnu : bionic-updates => deb http://be.archive.ubuntu.com/ubuntu/ bionic-updates main restricted | bionic-updates
36 Mot inconnu : restricted => deb http://be.archive.ubuntu.com/ubuntu/ bionic-updates main restricted | restricted

38 Mot inconnu : apt-get => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) | apt-get

39 Mot inconnu : deb-src => # deb-src http://be.archive.ubuntu.com/ubuntu/ bionic main restricted | deb-src
39 Mot inconnu : restricted => # deb-src http://be.archive.ubuntu.com/ubuntu/ bionic main restricted | restricted

40 Mot inconnu : deb-src => # deb-src http://security.ubuntu.com/ubuntu bionic-security main restricted | deb-src
40 Mot inconnu : bionic-security => # deb-src http://security.ubuntu.com/ubuntu bionic-security main restricted | bionic-security
40 Mot inconnu : restricted => # deb-src http://security.ubuntu.com/ubuntu bionic-security main restricted | restricted

41 Mot inconnu : deb-src => # deb-src http://be.archive.ubuntu.com/ubuntu/ bionic-updates main restricted | deb-src
41 Mot inconnu : bionic-updates => # deb-src http://be.archive.ubuntu.com/ubuntu/ bionic-updates main restricted | bionic-updates
41 Mot inconnu : restricted => # deb-src http://be.archive.ubuntu.com/ubuntu/ bionic-updates main restricted | restricted

44 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => == Serveurs Suisses == | suisses => suggestions : ['suisses']

46 Mot inconnu : deb => deb http://ch.archive.ubuntu.com/ubuntu/ bionic main restricted | deb
46 Mot inconnu : restricted => deb http://ch.archive.ubuntu.com/ubuntu/ bionic main restricted | restricted

47 Mot inconnu : deb => deb http://security.ubuntu.com/ubuntu bionic-security main restricted | deb
47 Mot inconnu : bionic-security => deb http://security.ubuntu.com/ubuntu bionic-security main restricted | bionic-security
47 Mot inconnu : restricted => deb http://security.ubuntu.com/ubuntu bionic-security main restricted | restricted

48 Mot inconnu : deb => deb http://ch.archive.ubuntu.com/ubuntu/ bionic-updates main restricted | deb
48 Mot inconnu : bionic-updates => deb http://ch.archive.ubuntu.com/ubuntu/ bionic-updates main restricted | bionic-updates
48 Mot inconnu : restricted => deb http://ch.archive.ubuntu.com/ubuntu/ bionic-updates main restricted | restricted

50 Mot inconnu : apt-get => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) | apt-get

51 Mot inconnu : deb-src => # deb-src http://ch.archive.ubuntu.com/ubuntu/ bionic main restricted | deb-src
51 Mot inconnu : restricted => # deb-src http://ch.archive.ubuntu.com/ubuntu/ bionic main restricted | restricted

52 Mot inconnu : deb-src => # deb-src http://security.ubuntu.com/ubuntu bionic-security main restricted | deb-src
52 Mot inconnu : bionic-security => # deb-src http://security.ubuntu.com/ubuntu bionic-security main restricted | bionic-security
52 Mot inconnu : restricted => # deb-src http://security.ubuntu.com/ubuntu bionic-security main restricted | restricted

53 Mot inconnu : deb-src => # deb-src http://ch.archive.ubuntu.com/ubuntu/ bionic-updates main restricted | deb-src
53 Mot inconnu : bionic-updates => # deb-src http://ch.archive.ubuntu.com/ubuntu/ bionic-updates main restricted | bionic-updates
53 Mot inconnu : restricted => # deb-src http://ch.archive.ubuntu.com/ubuntu/ bionic-updates main restricted | restricted

56 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => == Serveurs Canadiens == | canadiens => suggestions : ['canadiens']

58 Mot inconnu : deb => deb http://ca.archive.ubuntu.com/ubuntu/ bionic main restricted | deb
58 Mot inconnu : restricted => deb http://ca.archive.ubuntu.com/ubuntu/ bionic main restricted | restricted

59 Mot inconnu : deb => deb http://security.ubuntu.com/ubuntu bionic-security main restricted | deb
59 Mot inconnu : bionic-security => deb http://security.ubuntu.com/ubuntu bionic-security main restricted | bionic-security
59 Mot inconnu : restricted => deb http://security.ubuntu.com/ubuntu bionic-security main restricted | restricted

60 Mot inconnu : deb => deb http://ca.archive.ubuntu.com/ubuntu/ bionic-updates main restricted | deb
60 Mot inconnu : bionic-updates => deb http://ca.archive.ubuntu.com/ubuntu/ bionic-updates main restricted | bionic-updates
60 Mot inconnu : restricted => deb http://ca.archive.ubuntu.com/ubuntu/ bionic-updates main restricted | restricted

62 Mot inconnu : apt-get => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) | apt-get

63 Mot inconnu : deb-src => # deb-src http://ca.archive.ubuntu.com/ubuntu/ bionic main restricted | deb-src
63 Mot inconnu : restricted => # deb-src http://ca.archive.ubuntu.com/ubuntu/ bionic main restricted | restricted

64 Mot inconnu : deb-src => # deb-src http://security.ubuntu.com/ubuntu bionic-security main restricted | deb-src
64 Mot inconnu : bionic-security => # deb-src http://security.ubuntu.com/ubuntu bionic-security main restricted | bionic-security
64 Mot inconnu : restricted => # deb-src http://security.ubuntu.com/ubuntu bionic-security main restricted | restricted

65 Mot inconnu : deb-src => # deb-src http://ca.archive.ubuntu.com/ubuntu/ bionic-updates main restricted | deb-src
65 Mot inconnu : bionic-updates => # deb-src http://ca.archive.ubuntu.com/ubuntu/ bionic-updates main restricted | bionic-updates
65 Mot inconnu : restricted => # deb-src http://ca.archive.ubuntu.com/ubuntu/ bionic-updates main restricted | restricted

70 Mot inconnu : deb => deb http://archive.ubuntu.com/ubuntu/ bionic main restricted | deb
70 Mot inconnu : restricted => deb http://archive.ubuntu.com/ubuntu/ bionic main restricted | restricted

71 Mot inconnu : deb => deb http://security.ubuntu.com/ubuntu bionic-security main restricted | deb
71 Mot inconnu : bionic-security => deb http://security.ubuntu.com/ubuntu bionic-security main restricted | bionic-security
71 Mot inconnu : restricted => deb http://security.ubuntu.com/ubuntu bionic-security main restricted | restricted

72 Mot inconnu : deb => deb http://archive.ubuntu.com/ubuntu/ bionic-updates main restricted | deb
72 Mot inconnu : bionic-updates => deb http://archive.ubuntu.com/ubuntu/ bionic-updates main restricted | bionic-updates
72 Mot inconnu : restricted => deb http://archive.ubuntu.com/ubuntu/ bionic-updates main restricted | restricted

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

74 Mot inconnu : apt-get => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) | apt-get

75 Mot inconnu : deb-src => # deb-src http://archive.ubuntu.com/ubuntu/ bionic main restricted | deb-src
75 Mot inconnu : restricted => # deb-src http://archive.ubuntu.com/ubuntu/ bionic main restricted | restricted

76 Mot inconnu : deb-src => # deb-src http://archive.ubuntu.com/ubuntu/ bionic-updates main restricted | deb-src
76 Mot inconnu : bionic-updates => # deb-src http://archive.ubuntu.com/ubuntu/ bionic-updates main restricted | bionic-updates
76 Mot inconnu : restricted => # deb-src http://archive.ubuntu.com/ubuntu/ bionic-updates main restricted | restricted

77 Mot inconnu : deb-src => # deb-src http://security.ubuntu.com/ubuntu bionic-security main restricted | deb-src
77 Mot inconnu : bionic-security => # deb-src http://security.ubuntu.com/ubuntu bionic-security main restricted | bionic-security
77 Mot inconnu : restricted => # deb-src http://security.ubuntu.com/ubuntu bionic-security main restricted | restricted

80 Mot inconnu : Universe => ==== Dépôts Universe et Multiverse ==== | universe
80 Mot inconnu : Multiverse => ==== Dépôts Universe et Multiverse ==== | multiverse

84 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => == Serveurs Français == | français => suggestions : ['français']

86 Mot inconnu : deb => deb http://fr.archive.ubuntu.com/ubuntu/ bionic universe multiverse | deb
86 Mot inconnu : universe => deb http://fr.archive.ubuntu.com/ubuntu/ bionic universe multiverse | universe
86 Mot inconnu : multiverse => deb http://fr.archive.ubuntu.com/ubuntu/ bionic universe multiverse | multiverse

87 Mot inconnu : deb => deb http://security.ubuntu.com/ubuntu bionic-security universe multiverse | deb
87 Mot inconnu : bionic-security => deb http://security.ubuntu.com/ubuntu bionic-security universe multiverse | bionic-security
87 Mot inconnu : universe => deb http://security.ubuntu.com/ubuntu bionic-security universe multiverse | universe
87 Mot inconnu : multiverse => deb http://security.ubuntu.com/ubuntu bionic-security universe multiverse | multiverse

88 Mot inconnu : deb => deb http://fr.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | deb
88 Mot inconnu : bionic-updates => deb http://fr.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | bionic-updates
88 Mot inconnu : universe => deb http://fr.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | universe
88 Mot inconnu : multiverse => deb http://fr.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | multiverse

90 Mot inconnu : apt-get => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) | apt-get

91 Mot inconnu : deb-src => # deb-src http://fr.archive.ubuntu.com/ubuntu/ bionic universe multiverse | deb-src
91 Mot inconnu : universe => # deb-src http://fr.archive.ubuntu.com/ubuntu/ bionic universe multiverse | universe
91 Mot inconnu : multiverse => # deb-src http://fr.archive.ubuntu.com/ubuntu/ bionic universe multiverse | multiverse

92 Mot inconnu : deb-src => # deb-src http://security.ubuntu.com/ubuntu bionic-security universe multiverse | deb-src
92 Mot inconnu : bionic-security => # deb-src http://security.ubuntu.com/ubuntu bionic-security universe multiverse | bionic-security
92 Mot inconnu : universe => # deb-src http://security.ubuntu.com/ubuntu bionic-security universe multiverse | universe
92 Mot inconnu : multiverse => # deb-src http://security.ubuntu.com/ubuntu bionic-security universe multiverse | multiverse

93 Mot inconnu : deb-src => # deb-src http://fr.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | deb-src
93 Mot inconnu : bionic-updates => # deb-src http://fr.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | bionic-updates
93 Mot inconnu : universe => # deb-src http://fr.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | universe
93 Mot inconnu : multiverse => # deb-src http://fr.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | multiverse

96 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => == Serveurs Belges == | belges => suggestions : ['belges']

98 Mot inconnu : deb => deb http://be.archive.ubuntu.com/ubuntu/ bionic universe multiverse | deb
98 Mot inconnu : universe => deb http://be.archive.ubuntu.com/ubuntu/ bionic universe multiverse | universe
98 Mot inconnu : multiverse => deb http://be.archive.ubuntu.com/ubuntu/ bionic universe multiverse | multiverse

99 Mot inconnu : deb => deb http://security.ubuntu.com/ubuntu bionic-security universe multiverse | deb
99 Mot inconnu : bionic-security => deb http://security.ubuntu.com/ubuntu bionic-security universe multiverse | bionic-security
99 Mot inconnu : universe => deb http://security.ubuntu.com/ubuntu bionic-security universe multiverse | universe
99 Mot inconnu : multiverse => deb http://security.ubuntu.com/ubuntu bionic-security universe multiverse | multiverse

100 Mot inconnu : deb => deb http://be.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | deb
100 Mot inconnu : bionic-updates => deb http://be.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | bionic-updates
100 Mot inconnu : universe => deb http://be.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | universe
100 Mot inconnu : multiverse => deb http://be.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | multiverse

102 Mot inconnu : apt-get => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) | apt-get

103 Mot inconnu : deb-src => # deb-src http://be.archive.ubuntu.com/ubuntu/ bionic universe multiverse | deb-src
103 Mot inconnu : universe => # deb-src http://be.archive.ubuntu.com/ubuntu/ bionic universe multiverse | universe
103 Mot inconnu : multiverse => # deb-src http://be.archive.ubuntu.com/ubuntu/ bionic universe multiverse | multiverse

104 Mot inconnu : deb-src => # deb-src http://security.ubuntu.com/ubuntu bionic-security universe multiverse | deb-src
104 Mot inconnu : bionic-security => # deb-src http://security.ubuntu.com/ubuntu bionic-security universe multiverse | bionic-security
104 Mot inconnu : universe => # deb-src http://security.ubuntu.com/ubuntu bionic-security universe multiverse | universe
104 Mot inconnu : multiverse => # deb-src http://security.ubuntu.com/ubuntu bionic-security universe multiverse | multiverse

105 Mot inconnu : deb-src => # deb-src http://be.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | deb-src
105 Mot inconnu : bionic-updates => # deb-src http://be.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | bionic-updates
105 Mot inconnu : universe => # deb-src http://be.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | universe
105 Mot inconnu : multiverse => # deb-src http://be.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | multiverse

108 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => == Serveurs Suisses == | suisses => suggestions : ['suisses']

110 Mot inconnu : deb => deb http://ch.archive.ubuntu.com/ubuntu/ bionic universe multiverse | deb
110 Mot inconnu : universe => deb http://ch.archive.ubuntu.com/ubuntu/ bionic universe multiverse | universe
110 Mot inconnu : multiverse => deb http://ch.archive.ubuntu.com/ubuntu/ bionic universe multiverse | multiverse

111 Mot inconnu : deb => deb http://security.ubuntu.com/ubuntu bionic-security universe multiverse | deb
111 Mot inconnu : bionic-security => deb http://security.ubuntu.com/ubuntu bionic-security universe multiverse | bionic-security
111 Mot inconnu : universe => deb http://security.ubuntu.com/ubuntu bionic-security universe multiverse | universe
111 Mot inconnu : multiverse => deb http://security.ubuntu.com/ubuntu bionic-security universe multiverse | multiverse

112 Mot inconnu : deb => deb http://ch.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | deb
112 Mot inconnu : bionic-updates => deb http://ch.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | bionic-updates
112 Mot inconnu : universe => deb http://ch.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | universe
112 Mot inconnu : multiverse => deb http://ch.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | multiverse

114 Mot inconnu : apt-get => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) | apt-get

115 Mot inconnu : deb-src => # deb-src http://ch.archive.ubuntu.com/ubuntu/ bionic universe multiverse | deb-src
115 Mot inconnu : universe => # deb-src http://ch.archive.ubuntu.com/ubuntu/ bionic universe multiverse | universe
115 Mot inconnu : multiverse => # deb-src http://ch.archive.ubuntu.com/ubuntu/ bionic universe multiverse | multiverse

116 Mot inconnu : deb-src => # deb-src http://security.ubuntu.com/ubuntu bionic-security universe multiverse | deb-src
116 Mot inconnu : bionic-security => # deb-src http://security.ubuntu.com/ubuntu bionic-security universe multiverse | bionic-security
116 Mot inconnu : universe => # deb-src http://security.ubuntu.com/ubuntu bionic-security universe multiverse | universe
116 Mot inconnu : multiverse => # deb-src http://security.ubuntu.com/ubuntu bionic-security universe multiverse | multiverse

117 Mot inconnu : deb-src => # deb-src http://ch.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | deb-src
117 Mot inconnu : bionic-updates => # deb-src http://ch.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | bionic-updates
117 Mot inconnu : universe => # deb-src http://ch.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | universe
117 Mot inconnu : multiverse => # deb-src http://ch.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | multiverse

120 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => == Serveur Canadiens == | canadiens => suggestions : ['canadiens']

122 Mot inconnu : deb => deb http://ca.archive.ubuntu.com/ubuntu/ bionic universe multiverse | deb
122 Mot inconnu : universe => deb http://ca.archive.ubuntu.com/ubuntu/ bionic universe multiverse | universe
122 Mot inconnu : multiverse => deb http://ca.archive.ubuntu.com/ubuntu/ bionic universe multiverse | multiverse

123 Mot inconnu : deb => deb http://security.ubuntu.com/ubuntu bionic-security universe multiverse | deb
123 Mot inconnu : bionic-security => deb http://security.ubuntu.com/ubuntu bionic-security universe multiverse | bionic-security
123 Mot inconnu : universe => deb http://security.ubuntu.com/ubuntu bionic-security universe multiverse | universe
123 Mot inconnu : multiverse => deb http://security.ubuntu.com/ubuntu bionic-security universe multiverse | multiverse

124 Mot inconnu : deb => deb http://ca.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | deb
124 Mot inconnu : bionic-updates => deb http://ca.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | bionic-updates
124 Mot inconnu : universe => deb http://ca.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | universe
124 Mot inconnu : multiverse => deb http://ca.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | multiverse

126 Mot inconnu : apt-get => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) | apt-get

127 Mot inconnu : deb-src => # deb-src http://ca.archive.ubuntu.com/ubuntu/ bionic universe multiverse | deb-src
127 Mot inconnu : universe => # deb-src http://ca.archive.ubuntu.com/ubuntu/ bionic universe multiverse | universe
127 Mot inconnu : multiverse => # deb-src http://ca.archive.ubuntu.com/ubuntu/ bionic universe multiverse | multiverse

128 Mot inconnu : deb-src => # deb-src http://security.ubuntu.com/ubuntu bionic-security universe multiverse | deb-src
128 Mot inconnu : bionic-security => # deb-src http://security.ubuntu.com/ubuntu bionic-security universe multiverse | bionic-security
128 Mot inconnu : universe => # deb-src http://security.ubuntu.com/ubuntu bionic-security universe multiverse | universe
128 Mot inconnu : multiverse => # deb-src http://security.ubuntu.com/ubuntu bionic-security universe multiverse | multiverse

129 Mot inconnu : deb-src => # deb-src http://ca.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | deb-src
129 Mot inconnu : bionic-updates => # deb-src http://ca.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | bionic-updates
129 Mot inconnu : universe => # deb-src http://ca.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | universe
129 Mot inconnu : multiverse => # deb-src http://ca.archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | multiverse

134 Mot inconnu : deb => deb http://archive.ubuntu.com/ubuntu/ bionic universe multiverse | deb
134 Mot inconnu : universe => deb http://archive.ubuntu.com/ubuntu/ bionic universe multiverse | universe
134 Mot inconnu : multiverse => deb http://archive.ubuntu.com/ubuntu/ bionic universe multiverse | multiverse

135 Mot inconnu : deb => deb http://security.ubuntu.com/ubuntu bionic-security universe multiverse | deb
135 Mot inconnu : bionic-security => deb http://security.ubuntu.com/ubuntu bionic-security universe multiverse | bionic-security
135 Mot inconnu : universe => deb http://security.ubuntu.com/ubuntu bionic-security universe multiverse | universe
135 Mot inconnu : multiverse => deb http://security.ubuntu.com/ubuntu bionic-security universe multiverse | multiverse

136 Mot inconnu : deb => deb http://archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | deb
136 Mot inconnu : bionic-updates => deb http://archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | bionic-updates
136 Mot inconnu : universe => deb http://archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | universe
136 Mot inconnu : multiverse => deb http://archive.ubuntu.com/ubuntu/ bionic-updates universe multiverse | multiverse

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

