
6 Mot inconnu : eGroupWare => ====== eGroupWare ====== | egroupware
10 Mot inconnu : GoogleMaps => Il propose des services de calendrier, de répertoire, de bloc-notes, de planning et d'outils de gestion de projets, de solution de gestion de la relation client, d'outil de gestion des connaissances, de Wiki et même de solution de gestion de contenu. Des modules additionnels développés par des société OpenSource permettent également de créer des comptes-rendus de réunion (ProjectReportMind), d'envoyer ses newsletters (eNewsMind), de générer ses itinéraires de rendez-vous via GoogleMaps (MapsMind), etc. | googlemaps
10 Mot inconnu : MapsMind => Il propose des services de calendrier, de répertoire, de bloc-notes, de planning et d'outils de gestion de projets, de solution de gestion de la relation client, d'outil de gestion des connaissances, de Wiki et même de solution de gestion de contenu. Des modules additionnels développés par des société OpenSource permettent également de créer des comptes-rendus de réunion (ProjectReportMind), d'envoyer ses newsletters (eNewsMind), de générer ses itinéraires de rendez-vous via GoogleMaps (MapsMind), etc. | mapsmind

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

23 Mot inconnu : LTS => ==== Sous Ubuntu 8.04 LTS et 10.04 LTS  ==== | lts
23 Mot inconnu : LTS => ==== Sous Ubuntu 8.04 LTS et 10.04 LTS  ==== | lts
23 Espace(s) surnuméraire(s) à supprimer. => ==== Sous Ubuntu 8.04 LTS et 10.04 LTS  ==== |    => suggestions : [' ']

29 Mot inconnu : eGroupWare => Il faut utiliser la version des dépôts eGroupWare, la liste des dépôts pour toutes les distributions supportées est accessible ici : http://www.egroupware.org/download | egroupware

33 Mot inconnu : deb => deb http://download.opensuse.org/repositories/server:/eGroupWare/xUbuntu_10.04/ ./  | deb
33 Mot inconnu : eGroupWare => deb http://download.opensuse.org/repositories/server:/eGroupWare/xUbuntu_10.04/ ./  | egroupware
33 Mot inconnu : xUbuntu_10 => deb http://download.opensuse.org/repositories/server:/eGroupWare/xUbuntu_10.04/ ./  | xubuntu_10
33 Espace(s) en fin de ligne à supprimer. => deb http://download.opensuse.org/repositories/server:/eGroupWare/xUbuntu_10.04/ ./  |   => suggestions : ['']

34 Mot inconnu : deb => deb http://download.opensuse.org/repositories/server:/eGroupWare/xUbuntu_10.10/ ./ | deb
34 Mot inconnu : eGroupWare => deb http://download.opensuse.org/repositories/server:/eGroupWare/xUbuntu_10.10/ ./ | egroupware
34 Mot inconnu : xUbuntu_10 => deb http://download.opensuse.org/repositories/server:/eGroupWare/xUbuntu_10.10/ ./ | xubuntu_10

35 Mot inconnu : deb => deb http://download.opensuse.org/repositories/server:/eGroupWare/xUbuntu_11.04/ ./ | deb
35 Mot inconnu : eGroupWare => deb http://download.opensuse.org/repositories/server:/eGroupWare/xUbuntu_11.04/ ./ | egroupware
35 Mot inconnu : xUbuntu_11 => deb http://download.opensuse.org/repositories/server:/eGroupWare/xUbuntu_11.04/ ./ | xubuntu_11

36 Mot inconnu : deb => deb http://download.opensuse.org/repositories/server:/eGroupWare/xUbuntu_11.10/ ./ | deb
36 Mot inconnu : eGroupWare => deb http://download.opensuse.org/repositories/server:/eGroupWare/xUbuntu_11.10/ ./ | egroupware
36 Mot inconnu : xUbuntu_11 => deb http://download.opensuse.org/repositories/server:/eGroupWare/xUbuntu_11.10/ ./ | xubuntu_11

37 Mot inconnu : deb => deb http://download.opensuse.org/repositories/server:/eGroupWare/xUbuntu_12.04/ ./ | deb
37 Mot inconnu : eGroupWare => deb http://download.opensuse.org/repositories/server:/eGroupWare/xUbuntu_12.04/ ./ | egroupware
37 Mot inconnu : xUbuntu_12 => deb http://download.opensuse.org/repositories/server:/eGroupWare/xUbuntu_12.04/ ./ | xubuntu_12

38 Mot inconnu : deb => deb http://download.opensuse.org/repositories/server:/eGroupWare/xUbuntu_12.10/ ./ | deb
38 Mot inconnu : eGroupWare => deb http://download.opensuse.org/repositories/server:/eGroupWare/xUbuntu_12.10/ ./ | egroupware
38 Mot inconnu : xUbuntu_12 => deb http://download.opensuse.org/repositories/server:/eGroupWare/xUbuntu_12.10/ ./ | xubuntu_12

39 Mot inconnu : deb => deb http://download.opensuse.org/repositories/server:/eGroupWare/xUbuntu_13.04/ ./ | deb
39 Mot inconnu : eGroupWare => deb http://download.opensuse.org/repositories/server:/eGroupWare/xUbuntu_13.04/ ./ | egroupware
39 Mot inconnu : xUbuntu_13 => deb http://download.opensuse.org/repositories/server:/eGroupWare/xUbuntu_13.04/ ./ | xubuntu_13

40 Mot inconnu : deb => deb http://download.opensuse.org/repositories/server:/eGroupWare/xUbuntu_13.10/ ./ | deb
40 Mot inconnu : eGroupWare => deb http://download.opensuse.org/repositories/server:/eGroupWare/xUbuntu_13.10/ ./ | egroupware
40 Mot inconnu : xUbuntu_13 => deb http://download.opensuse.org/repositories/server:/eGroupWare/xUbuntu_13.10/ ./ | xubuntu_13

43 Mot inconnu : comment_modifier_sources_maj => Importez la clé d'identification avec la commande correspondant à votre version ou référez-vous au tutoriel [[tutoriel/comment_modifier_sources_maj#methode_manuelle|Importer la clé d'identification]] | comment_modifier_sources_maj

55 Mot inconnu : backups => <note important>Pensez à créer des backups de vos données lors des migration de versions. Cette procédure n'est pas sans risque.</note> | backups
55 Accord de nombre erroné : « migration » devrait être au pluriel. => <note important>Pensez à créer des backups de vos données lors des migration de versions. Cette procédure n'est pas sans risque.</note> | migration => suggestions : ['migrations']

57 Mot inconnu : EGroupware => Exécutez la commande suivante pour assurer la compatibilité d'EGroupware avec les nouvelles versions d'Apache: | egroupware

62 Guillemets typographiques ouvrants. => Sans cette commande, vous aurez le message suivant, auquel cas vous pouvez toujours lancer la commande "sudo ln -s conf-enabled /etc/apache2/conf.d" après coup, puis lancer "dpkg --configure -a" pour reprendre l'installation | " => suggestions : ['«\xa0', '“']
62 Mot inconnu : sudo => Sans cette commande, vous aurez le message suivant, auquel cas vous pouvez toujours lancer la commande "sudo ln -s conf-enabled /etc/apache2/conf.d" après coup, puis lancer "dpkg --configure -a" pour reprendre l'installation | sudo
62 Il manque un espace à côté du tiret. => Sans cette commande, vous aurez le message suivant, auquel cas vous pouvez toujours lancer la commande "sudo ln -s conf-enabled /etc/apache2/conf.d" après coup, puis lancer "dpkg --configure -a" pour reprendre l'installation |  - => suggestions : [' – ', ' — ']
62 Mot inconnu : conf-enabled => Sans cette commande, vous aurez le message suivant, auquel cas vous pouvez toujours lancer la commande "sudo ln -s conf-enabled /etc/apache2/conf.d" après coup, puis lancer "dpkg --configure -a" pour reprendre l'installation | conf-enabled
62 Guillemets typographiques ouvrants. => Sans cette commande, vous aurez le message suivant, auquel cas vous pouvez toujours lancer la commande "sudo ln -s conf-enabled /etc/apache2/conf.d" après coup, puis lancer "dpkg --configure -a" pour reprendre l'installation | " => suggestions : ['«\xa0', '“']
62 Mot inconnu : dpkg => Sans cette commande, vous aurez le message suivant, auquel cas vous pouvez toujours lancer la commande "sudo ln -s conf-enabled /etc/apache2/conf.d" après coup, puis lancer "dpkg --configure -a" pour reprendre l'installation | dpkg
62 Guillemets typographiques fermants. => Sans cette commande, vous aurez le message suivant, auquel cas vous pouvez toujours lancer la commande "sudo ln -s conf-enabled /etc/apache2/conf.d" après coup, puis lancer "dpkg --configure -a" pour reprendre l'installation | " => suggestions : ['\xa0»', '”']

73 Mot inconnu : EGroupware => Le fichier de configuration pour Apache créé par l'installation d'EGroupware est nommé "egroupware", or Apache ignore tous les fichiers qui ne se terminent pas par ".conf", il faut donc le renommer: | egroupware
73 Guillemets typographiques ouvrants. => Le fichier de configuration pour Apache créé par l'installation d'EGroupware est nommé "egroupware", or Apache ignore tous les fichiers qui ne se terminent pas par ".conf", il faut donc le renommer: | " => suggestions : ['«\xa0', '“']
73 Mot inconnu : egroupware => Le fichier de configuration pour Apache créé par l'installation d'EGroupware est nommé "egroupware", or Apache ignore tous les fichiers qui ne se terminent pas par ".conf", il faut donc le renommer: | egroupware
73 Guillemets typographiques fermants. => Le fichier de configuration pour Apache créé par l'installation d'EGroupware est nommé "egroupware", or Apache ignore tous les fichiers qui ne se terminent pas par ".conf", il faut donc le renommer: | " => suggestions : ['\xa0»', '”']
73 Guillemets fermants. => Le fichier de configuration pour Apache créé par l'installation d'EGroupware est nommé "egroupware", or Apache ignore tous les fichiers qui ne se terminent pas par ".conf", il faut donc le renommer: |  " => suggestions : ['\xa0»', '”']
73 Guillemets typographiques fermants. => Le fichier de configuration pour Apache créé par l'installation d'EGroupware est nommé "egroupware", or Apache ignore tous les fichiers qui ne se terminent pas par ".conf", il faut donc le renommer: | " => suggestions : ['\xa0»', '”']

82 Typographie : points de suspension. Utilisez le caractère dédié. => Choisissez votre langue puis cliquez sur « Démarrage de la procédure de vérification... » | ... => suggestions : ['…']

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[http://www.egroupware.org/Home?lang=fr|Site officiel]] |    => suggestions : ['']
94 Typographie : un ou trois points ? => //Contributeurs: ..// | .. => suggestions : ['…', '.']
