
3 Mot inconnu : PO4A => ====== PO4A : PO for Anything ====== | po4a
88 Guillemets typographiques ouvrants. => ===== Mode "splitted" ou mode "single" ?===== | " => suggestions : ['«\xa0', '“']
88 Guillemets typographiques fermants. => ===== Mode "splitted" ou mode "single" ?===== | " => suggestions : ['\xa0»', '”']

89 Guillemets typographiques ouvrants. => En mode "single", le fichier POT peut être unique et commun à tous les documents (dans notre exemple, toutes les lignes à traduire seront mises dans guide.pot et guide.fr.po par exemple), ou individuels pour chaque document : chaque document à traduire aura son .pot et son .fr.pot. Dans tous les cas, la traduction des documents restitués sera faite fichier par fichier dans la langue de destination. | " => suggestions : ['«\xa0', '“']
89 Guillemets typographiques fermants. => En mode "single", le fichier POT peut être unique et commun à tous les documents (dans notre exemple, toutes les lignes à traduire seront mises dans guide.pot et guide.fr.po par exemple), ou individuels pour chaque document : chaque document à traduire aura son .pot et son .fr.pot. Dans tous les cas, la traduction des documents restitués sera faite fichier par fichier dans la langue de destination. | " => suggestions : ['\xa0»', '”']
89 Il manque un espace. => En mode "single", le fichier POT peut être unique et commun à tous les documents (dans notre exemple, toutes les lignes à traduire seront mises dans guide.pot et guide.fr.po par exemple), ou individuels pour chaque document : chaque document à traduire aura son .pot et son .fr.pot. Dans tous les cas, la traduction des documents restitués sera faite fichier par fichier dans la langue de destination. | pot => suggestions : [' pot']
89 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => En mode "single", le fichier POT peut être unique et commun à tous les documents (dans notre exemple, toutes les lignes à traduire seront mises dans guide.pot et guide.fr.po par exemple), ou individuels pour chaque document : chaque document à traduire aura son .pot et son .fr.pot. Dans tous les cas, la traduction des documents restitués sera faite fichier par fichier dans la langue de destination. |  . => suggestions : ['. ', '.']
89 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => En mode "single", le fichier POT peut être unique et commun à tous les documents (dans notre exemple, toutes les lignes à traduire seront mises dans guide.pot et guide.fr.po par exemple), ou individuels pour chaque document : chaque document à traduire aura son .pot et son .fr.pot. Dans tous les cas, la traduction des documents restitués sera faite fichier par fichier dans la langue de destination. |  . => suggestions : ['. ', '.']

124 Mot inconnu : NB => NB: à notre avis, l'utilisation des addendas est à limiter ou du moins éviter, surtout s'il s'agit d'étoffer le document d'origine : autant le faire sur celui dans la langue d'origine, à condition de la parler bien sûr !  | nb
124 Espace(s) en fin de ligne à supprimer. => NB: à notre avis, l'utilisation des addendas est à limiter ou du moins éviter, surtout s'il s'agit d'étoffer le document d'origine : autant le faire sur celui dans la langue d'origine, à condition de la parler bien sûr !  |   => suggestions : ['']

126 Typographie : points de suspension. Utilisez le caractère dédié. => Pour ce qui est des informations sur le nom du traducteur, la date de traduction... Elle peuvent être mises dans l'entête du document traduit par les éditeurs de traduction (poedit, [[gtranslator]]...) ou par les commandes. | ... => suggestions : ['…']
126 Accord avec “peuvent”. => Pour ce qui est des informations sur le nom du traducteur, la date de traduction... Elle peuvent être mises dans l'entête du document traduit par les éditeurs de traduction (poedit, [[gtranslator]]...) ou par les commandes. | elle => suggestions : ['Elles']
126 Conjugaison erronée. Accord avec “Elle”. Le verbe devrait être à la 3ᵉ personne du singulier. => Pour ce qui est des informations sur le nom du traducteur, la date de traduction... Elle peuvent être mises dans l'entête du document traduit par les éditeurs de traduction (poedit, [[gtranslator]]...) ou par les commandes. | peuvent => suggestions : ['peut']
126 Mot inconnu : poedit => Pour ce qui est des informations sur le nom du traducteur, la date de traduction... Elle peuvent être mises dans l'entête du document traduit par les éditeurs de traduction (poedit, [[gtranslator]]...) ou par les commandes. | poedit
126 Mot inconnu : gtranslator => Pour ce qui est des informations sur le nom du traducteur, la date de traduction... Elle peuvent être mises dans l'entête du document traduit par les éditeurs de traduction (poedit, [[gtranslator]]...) ou par les commandes. | gtranslator
126 Typographie : points de suspension. Utilisez le caractère dédié. => Pour ce qui est des informations sur le nom du traducteur, la date de traduction... Elle peuvent être mises dans l'entête du document traduit par les éditeurs de traduction (poedit, [[gtranslator]]...) ou par les commandes. | ... => suggestions : ['…']

142 Mot inconnu : Edition => ==== Edition des fichiers ==== | edition

143 Mot inconnu : po4a => Une fois po4a exécuté une première fois, les fichiers PO peuvent être édités avec [[apt>Lokalize]], poedit, [[gtranslator]], dont voici les différences : | po4a
143 Mot inconnu : Lokalize => Une fois po4a exécuté une première fois, les fichiers PO peuvent être édités avec [[apt>Lokalize]], poedit, [[gtranslator]], dont voici les différences : | lokalize
143 Mot inconnu : poedit => Une fois po4a exécuté une première fois, les fichiers PO peuvent être édités avec [[apt>Lokalize]], poedit, [[gtranslator]], dont voici les différences : | poedit
143 Mot inconnu : gtranslator => Une fois po4a exécuté une première fois, les fichiers PO peuvent être édités avec [[apt>Lokalize]], poedit, [[gtranslator]], dont voici les différences : | gtranslator
153 Mot inconnu : msgmerge => ==== Regroupement des fichiers PO: msgmerge ==== | msgmerge

154 Mot inconnu : msgmerge => **msgmerge** (message merge: "mélange de messages") n'est pas fourni par po4a, mais est un outil **gettext**. | msgmerge
154 Mot inconnu : merge => **msgmerge** (message merge: "mélange de messages") n'est pas fourni par po4a, mais est un outil **gettext**. | merge
154 Guillemets typographiques ouvrants. => **msgmerge** (message merge: "mélange de messages") n'est pas fourni par po4a, mais est un outil **gettext**. | " => suggestions : ['«\xa0', '“']
154 Guillemets typographiques fermants. => **msgmerge** (message merge: "mélange de messages") n'est pas fourni par po4a, mais est un outil **gettext**. | " => suggestions : ['\xa0»', '”']
154 Mot inconnu : po4a => **msgmerge** (message merge: "mélange de messages") n'est pas fourni par po4a, mais est un outil **gettext**. | po4a
154 Mot inconnu : gettext => **msgmerge** (message merge: "mélange de messages") n'est pas fourni par po4a, mais est un outil **gettext**. | gettext

158 Guillemets typographiques ouvrants. => Par exemple le travail de traduction est séparé avec le mode "splitted" pour que chacun traduise une partie le week-end... Et le lundi tout le monde associe sa partie traduit dans le PO créé en mode "single" (guide.pot et guide.fr.po dans notre exemple). | " => suggestions : ['«\xa0', '“']
158 Mot inconnu : splitted => Par exemple le travail de traduction est séparé avec le mode "splitted" pour que chacun traduise une partie le week-end... Et le lundi tout le monde associe sa partie traduit dans le PO créé en mode "single" (guide.pot et guide.fr.po dans notre exemple). | splitted
158 Guillemets typographiques fermants. => Par exemple le travail de traduction est séparé avec le mode "splitted" pour que chacun traduise une partie le week-end... Et le lundi tout le monde associe sa partie traduit dans le PO créé en mode "single" (guide.pot et guide.fr.po dans notre exemple). | " => suggestions : ['\xa0»', '”']
158 Typographie : points de suspension. Utilisez le caractère dédié. => Par exemple le travail de traduction est séparé avec le mode "splitted" pour que chacun traduise une partie le week-end... Et le lundi tout le monde associe sa partie traduit dans le PO créé en mode "single" (guide.pot et guide.fr.po dans notre exemple). | ... => suggestions : ['…']
158 Guillemets typographiques ouvrants. => Par exemple le travail de traduction est séparé avec le mode "splitted" pour que chacun traduise une partie le week-end... Et le lundi tout le monde associe sa partie traduit dans le PO créé en mode "single" (guide.pot et guide.fr.po dans notre exemple). | " => suggestions : ['«\xa0', '“']
158 Guillemets typographiques fermants. => Par exemple le travail de traduction est séparé avec le mode "splitted" pour que chacun traduise une partie le week-end... Et le lundi tout le monde associe sa partie traduit dans le PO créé en mode "single" (guide.pot et guide.fr.po dans notre exemple). | " => suggestions : ['\xa0»', '”']
158 Il manque un espace. => Par exemple le travail de traduction est séparé avec le mode "splitted" pour que chacun traduise une partie le week-end... Et le lundi tout le monde associe sa partie traduit dans le PO créé en mode "single" (guide.pot et guide.fr.po dans notre exemple). | pot => suggestions : [' pot']

159 Mot inconnu : po4a => ===== Avantages, inconvénients de po4a ===== | po4a

176 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
