
5 Mot inconnu : Paddle => ====== Paddle x360 for Windows sur Ubuntu ====== | paddle

14 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A partir d'Ubuntu 16.04 elle est reconnue nativement. Ce qui suit concerne les versions précédentes. | a => suggestions : ['À']

16 Accord de genre erroné entre « modifications » et « listés ». => En ce qui concerne la versions **sans fil** il vous faudra procéder aux modifications listés ci dessous. | listés => suggestions : ['listées']
16 Il manque un trait d’union. => En ce qui concerne la versions **sans fil** il vous faudra procéder aux modifications listés ci dessous. | ci dessous => suggestions : ['ci-dessous']

18 Mot inconnu : Xpad => Pour débuter, il convient de blacklister le préchargement du driver « Xpad » gérant la manette Xbox 360 et d'activer le driver alternatif nommé « XboxDRV ». | xpad
18 Mot inconnu : Xbox => Pour débuter, il convient de blacklister le préchargement du driver « Xpad » gérant la manette Xbox 360 et d'activer le driver alternatif nommé « XboxDRV ». | xbox
18 Mot inconnu : XboxDRV => Pour débuter, il convient de blacklister le préchargement du driver « Xpad » gérant la manette Xbox 360 et d'activer le driver alternatif nommé « XboxDRV ». | xboxdrv

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - les leds vertes de votre manette vont alors se stabiliser sur une seule position, en fonction que vous soyez le premier, second, troisième ou quatrième joueur, tout comme sur Xbox360 ou sous Windows ; vous pourrez alors l'utiliser tel que possible avec une manette filaire. |    => suggestions : ['']
25 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - les leds vertes de votre manette vont alors se stabiliser sur une seule position, en fonction que vous soyez le premier, second, troisième ou quatrième joueur, tout comme sur Xbox360 ou sous Windows ; vous pourrez alors l'utiliser tel que possible avec une manette filaire. |  -  => suggestions : [' – ', ' — ', ' − ']
25 Mot inconnu : leds =>   - les leds vertes de votre manette vont alors se stabiliser sur une seule position, en fonction que vous soyez le premier, second, troisième ou quatrième joueur, tout comme sur Xbox360 ou sous Windows ; vous pourrez alors l'utiliser tel que possible avec une manette filaire. | leds
25 Mot inconnu : Xbox360 =>   - les leds vertes de votre manette vont alors se stabiliser sur une seule position, en fonction que vous soyez le premier, second, troisième ou quatrième joueur, tout comme sur Xbox360 ou sous Windows ; vous pourrez alors l'utiliser tel que possible avec une manette filaire. | xbox360

32 Mot inconnu : rmmod => rmmod xpad | rmmod
32 Mot inconnu : xpad => rmmod xpad | xpad

33 Mot inconnu : xboxdrv => xboxdrv | xboxdrv

36 Mot inconnu : Xbox => Puis enregistrez les modifications. Au prochain redémarrage, vos manettes Xbox 360 sans fil seront détectées sans nécessiter d'autres manipulations. | xbox

39 Il manque un espace avant la parenthèse. => À noter que ce pilote alternatif toujours en développement((par rétro-ingénierie car Microsoft ne fourni pas les spécifications, pour l'utilisation sur d'autres systèmes que Windows, des manettes Xbox 360)) offre d'avantage de fonctionnalités que //xpad//, il prend également en charge les vibrations, le micro casque, et le //chatpad//, mais sur manette filaire USB uniquement pour le moment car il n'est pas terminé. | ( => suggestions : [' (']
39 Incohérence avec « ne » : « fourni » devrait être un verbe. => À noter que ce pilote alternatif toujours en développement((par rétro-ingénierie car Microsoft ne fourni pas les spécifications, pour l'utilisation sur d'autres systèmes que Windows, des manettes Xbox 360)) offre d'avantage de fonctionnalités que //xpad//, il prend également en charge les vibrations, le micro casque, et le //chatpad//, mais sur manette filaire USB uniquement pour le moment car il n'est pas terminé. | fourni => suggestions : ['fournit', 'fournis']
39 Mot inconnu : Xbox => À noter que ce pilote alternatif toujours en développement((par rétro-ingénierie car Microsoft ne fourni pas les spécifications, pour l'utilisation sur d'autres systèmes que Windows, des manettes Xbox 360)) offre d'avantage de fonctionnalités que //xpad//, il prend également en charge les vibrations, le micro casque, et le //chatpad//, mais sur manette filaire USB uniquement pour le moment car il n'est pas terminé. | xbox
39 Confusion probable : “davantage” signifie “plus” ; un “avantage” signifie “faveur”, “bénéfice”, “profit”… => À noter que ce pilote alternatif toujours en développement((par rétro-ingénierie car Microsoft ne fourni pas les spécifications, pour l'utilisation sur d'autres systèmes que Windows, des manettes Xbox 360)) offre d'avantage de fonctionnalités que //xpad//, il prend également en charge les vibrations, le micro casque, et le //chatpad//, mais sur manette filaire USB uniquement pour le moment car il n'est pas terminé. | d'avantage => suggestions : ['davantage']
39 Mot inconnu : xpad => À noter que ce pilote alternatif toujours en développement((par rétro-ingénierie car Microsoft ne fourni pas les spécifications, pour l'utilisation sur d'autres systèmes que Windows, des manettes Xbox 360)) offre d'avantage de fonctionnalités que //xpad//, il prend également en charge les vibrations, le micro casque, et le //chatpad//, mais sur manette filaire USB uniquement pour le moment car il n'est pas terminé. | xpad
39 S’il s’agit d’un seul mot, il manque un trait d’union. => À noter que ce pilote alternatif toujours en développement((par rétro-ingénierie car Microsoft ne fourni pas les spécifications, pour l'utilisation sur d'autres systèmes que Windows, des manettes Xbox 360)) offre d'avantage de fonctionnalités que //xpad//, il prend également en charge les vibrations, le micro casque, et le //chatpad//, mais sur manette filaire USB uniquement pour le moment car il n'est pas terminé. | micro casque => suggestions : ['micro-casque']
39 Mot inconnu : chatpad => À noter que ce pilote alternatif toujours en développement((par rétro-ingénierie car Microsoft ne fourni pas les spécifications, pour l'utilisation sur d'autres systèmes que Windows, des manettes Xbox 360)) offre d'avantage de fonctionnalités que //xpad//, il prend également en charge les vibrations, le micro casque, et le //chatpad//, mais sur manette filaire USB uniquement pour le moment car il n'est pas terminé. | chatpad
39 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => À noter que ce pilote alternatif toujours en développement((par rétro-ingénierie car Microsoft ne fourni pas les spécifications, pour l'utilisation sur d'autres systèmes que Windows, des manettes Xbox 360)) offre d'avantage de fonctionnalités que //xpad//, il prend également en charge les vibrations, le micro casque, et le //chatpad//, mais sur manette filaire USB uniquement pour le moment car il n'est pas terminé. |  car => suggestions : [', car']

41 Mot inconnu : Xpad => Lorsqu'il sera complet, il finira sans doute par être intégré directement dans les distributions en lieu et place du driver Xpad. | xpad

44 Mot inconnu : RetroArch => ==== Avec RetroArch ==== | retroarch

46 Mot inconnu : xboxdrv => Il n'y a rien à faire, la manette sans fil étant reconnue immédiatement. Il ne faut surtout pas charger xboxdrv qui ferait planter RetroArch. | xboxdrv
46 Mot inconnu : RetroArch => Il n'y a rien à faire, la manette sans fil étant reconnue immédiatement. Il ne faut surtout pas charger xboxdrv qui ferait planter RetroArch. | retroarch

52 Mot inconnu : lsusb => Si elle vibre quand vous la branchez, qu'elle est détectée par la commande lsusb mais que le bouton d'allumage clignote sans se stabiliser, essayez de mettre à jour le pilote xpad. | lsusb
52 Mot inconnu : xpad => Si elle vibre quand vous la branchez, qu'elle est détectée par la commande lsusb mais que le bouton d'allumage clignote sans se stabiliser, essayez de mettre à jour le pilote xpad. | xpad

54 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. => -Débranchez la manette | - => suggestions : ['—\xa0', '–\xa0']

56 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. => -Installez **[[apt>git]]** | - => suggestions : ['—\xa0', '–\xa0']

58 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. => -Lancez les commandes suivantes | - => suggestions : ['—\xa0', '–\xa0']

61 Mot inconnu : sudo => sudo git clone https://github.com/paroj/xpad.git /usr/src/xpad-0.4 | sudo
61 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. => sudo git clone https://github.com/paroj/xpad.git /usr/src/xpad-0.4 | -0 => suggestions : ['−0', '– 0', '— 0']

62 Mot inconnu : sudo => sudo dkms install -m xpad -v 0.4 | sudo
62 Mot inconnu : dkms => sudo dkms install -m xpad -v 0.4 | dkms
62 Mot inconnu : install => sudo dkms install -m xpad -v 0.4 | install
62 Il manque un espace à côté du tiret. => sudo dkms install -m xpad -v 0.4 |  - => suggestions : [' – ', ' — ']
62 Mot inconnu : xpad => sudo dkms install -m xpad -v 0.4 | xpad
62 Il manque un espace à côté du tiret. => sudo dkms install -m xpad -v 0.4 |  - => suggestions : [' – ', ' — ']

63 Mot inconnu : sudo => sudo modprobe -r xpad | sudo
63 Mot inconnu : modprobe => sudo modprobe -r xpad | modprobe
63 Il manque un espace à côté du tiret. => sudo modprobe -r xpad |  - => suggestions : [' – ', ' — ']
63 Mot inconnu : xpad => sudo modprobe -r xpad | xpad

64 Mot inconnu : sudo => sudo modprobe xpad | sudo
64 Mot inconnu : modprobe => sudo modprobe xpad | modprobe
64 Mot inconnu : xpad => sudo modprobe xpad | xpad

67 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. => -Rebranchez la manette | - => suggestions : ['—\xa0', '–\xa0']
