5 Mot inconnu : FileZilla => ====== Client FTP : FileZilla ====== | filezilla
33 Guillemets typographiques fermants. => Si ce clic direct ne marche pas, ou si vous souhaitez déplacer le contenu téléchargé des fichiers de FileZilla directement dans votre répertoire "usr" pour une meilleure organisation de votre espace de travail, entrez ces commandes suivantes dans le terminal | " => suggestions : ['\xa0»', '”']

35 Mot inconnu : Filezilla => 1-Une fois l’archive décompressée, rendez-vous dans le répertoire Filezilla : | filezilla

38 Guillemets typographiques ouvrants. => 2-Copiez le répertoire "bin" dans "/usr/bin" | " => suggestions : ['«\xa0', '“']
38 Mot inconnu : bin => 2-Copiez le répertoire "bin" dans "/usr/bin" | bin
38 Guillemets typographiques fermants. => 2-Copiez le répertoire "bin" dans "/usr/bin" | " => suggestions : ['\xa0»', '”']

41 Guillemets typographiques ouvrants. => 3-Copiez le répertoire "share" dans "/usr/share" | " => suggestions : ['«\xa0', '“']
41 Mot inconnu : share => 3-Copiez le répertoire "share" dans "/usr/share" | share
41 Guillemets typographiques fermants. => 3-Copiez le répertoire "share" dans "/usr/share" | " => suggestions : ['\xa0»', '”']

44 Guillemets typographiques ouvrants. => 4-Copiez le répertoire "lib" dans "/usr/lib" | " => suggestions : ['«\xa0', '“']
44 Mot inconnu : lib => 4-Copiez le répertoire "lib" dans "/usr/lib" | lib
44 Guillemets typographiques fermants. => 4-Copiez le répertoire "lib" dans "/usr/lib" | " => suggestions : ['\xa0»', '”']

47 Mot inconnu : Filezilla => Filezilla est maintenant parfaitement intégré dans votre système. | filezilla

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * l'adresse du serveur |    => suggestions : ['']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le port (par défaut le port 21 ) |    => suggestions : ['']
55 Pas d’espace avant ce signe. =>   * le port (par défaut le port 21 ) |  ) => suggestions : [')']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * l'utilisateur |    => suggestions : ['']

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le mot de passe |    => suggestions : ['']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

67 Mot inconnu : __Version => __Version francisée__ : Cliquer sur l'icône //Gestion des filtres -> __É__diter les règles de filtrages... -> __N__ouveau//. Choisir un nom (« Cachés » c'est très bien...). Cliquer sur le bouton "En ajouter __p__lus". Dans le menu déroulant, sélectionner "Nom du fichier" puis « commence par ». Dans le champ le plus à droite mettre un « . ». Vérifier que les deux cases «Fichi__e__rs» et «Ré__p__ertoires», à la section « Le filtre s'applique à :» sont cochées puis Valider. De retour dans la section "Jeu de filtres", cocher la case placée devant le nom du nouveau filtre « Cachés » pour les filtres locaux et/ou les filtres distants. | __version
67 Mot inconnu : francisée__ => __Version francisée__ : Cliquer sur l'icône //Gestion des filtres -> __É__diter les règles de filtrages... -> __N__ouveau//. Choisir un nom (« Cachés » c'est très bien...). Cliquer sur le bouton "En ajouter __p__lus". Dans le menu déroulant, sélectionner "Nom du fichier" puis « commence par ». Dans le champ le plus à droite mettre un « . ». Vérifier que les deux cases «Fichi__e__rs» et «Ré__p__ertoires», à la section « Le filtre s'applique à :» sont cochées puis Valider. De retour dans la section "Jeu de filtres", cocher la case placée devant le nom du nouveau filtre « Cachés » pour les filtres locaux et/ou les filtres distants. | francisée__
67 Mot inconnu : __É__diter => __Version francisée__ : Cliquer sur l'icône //Gestion des filtres -> __É__diter les règles de filtrages... -> __N__ouveau//. Choisir un nom (« Cachés » c'est très bien...). Cliquer sur le bouton "En ajouter __p__lus". Dans le menu déroulant, sélectionner "Nom du fichier" puis « commence par ». Dans le champ le plus à droite mettre un « . ». Vérifier que les deux cases «Fichi__e__rs» et «Ré__p__ertoires», à la section « Le filtre s'applique à :» sont cochées puis Valider. De retour dans la section "Jeu de filtres", cocher la case placée devant le nom du nouveau filtre « Cachés » pour les filtres locaux et/ou les filtres distants. | __é__diter
67 Typographie : points de suspension. Utilisez le caractère dédié. => __Version francisée__ : Cliquer sur l'icône //Gestion des filtres -> __É__diter les règles de filtrages... -> __N__ouveau//. Choisir un nom (« Cachés » c'est très bien...). Cliquer sur le bouton "En ajouter __p__lus". Dans le menu déroulant, sélectionner "Nom du fichier" puis « commence par ». Dans le champ le plus à droite mettre un « . ». Vérifier que les deux cases «Fichi__e__rs» et «Ré__p__ertoires», à la section « Le filtre s'applique à :» sont cochées puis Valider. De retour dans la section "Jeu de filtres", cocher la case placée devant le nom du nouveau filtre « Cachés » pour les filtres locaux et/ou les filtres distants. | ... => suggestions : ['…']
67 Mot inconnu : __N__ouveau => __Version francisée__ : Cliquer sur l'icône //Gestion des filtres -> __É__diter les règles de filtrages... -> __N__ouveau//. Choisir un nom (« Cachés » c'est très bien...). Cliquer sur le bouton "En ajouter __p__lus". Dans le menu déroulant, sélectionner "Nom du fichier" puis « commence par ». Dans le champ le plus à droite mettre un « . ». Vérifier que les deux cases «Fichi__e__rs» et «Ré__p__ertoires», à la section « Le filtre s'applique à :» sont cochées puis Valider. De retour dans la section "Jeu de filtres", cocher la case placée devant le nom du nouveau filtre « Cachés » pour les filtres locaux et/ou les filtres distants. | __n__ouveau
67 Typographie : points de suspension. Utilisez le caractère dédié. => __Version francisée__ : Cliquer sur l'icône //Gestion des filtres -> __É__diter les règles de filtrages... -> __N__ouveau//. Choisir un nom (« Cachés » c'est très bien...). Cliquer sur le bouton "En ajouter __p__lus". Dans le menu déroulant, sélectionner "Nom du fichier" puis « commence par ». Dans le champ le plus à droite mettre un « . ». Vérifier que les deux cases «Fichi__e__rs» et «Ré__p__ertoires», à la section « Le filtre s'applique à :» sont cochées puis Valider. De retour dans la section "Jeu de filtres", cocher la case placée devant le nom du nouveau filtre « Cachés » pour les filtres locaux et/ou les filtres distants. | ... => suggestions : ['…']
67 Guillemets typographiques ouvrants. => __Version francisée__ : Cliquer sur l'icône //Gestion des filtres -> __É__diter les règles de filtrages... -> __N__ouveau//. Choisir un nom (« Cachés » c'est très bien...). Cliquer sur le bouton "En ajouter __p__lus". Dans le menu déroulant, sélectionner "Nom du fichier" puis « commence par ». Dans le champ le plus à droite mettre un « . ». Vérifier que les deux cases «Fichi__e__rs» et «Ré__p__ertoires», à la section « Le filtre s'applique à :» sont cochées puis Valider. De retour dans la section "Jeu de filtres", cocher la case placée devant le nom du nouveau filtre « Cachés » pour les filtres locaux et/ou les filtres distants. | " => suggestions : ['«\xa0', '“']
67 Mot inconnu : __p__lus => __Version francisée__ : Cliquer sur l'icône //Gestion des filtres -> __É__diter les règles de filtrages... -> __N__ouveau//. Choisir un nom (« Cachés » c'est très bien...). Cliquer sur le bouton "En ajouter __p__lus". Dans le menu déroulant, sélectionner "Nom du fichier" puis « commence par ». Dans le champ le plus à droite mettre un « . ». Vérifier que les deux cases «Fichi__e__rs» et «Ré__p__ertoires», à la section « Le filtre s'applique à :» sont cochées puis Valider. De retour dans la section "Jeu de filtres", cocher la case placée devant le nom du nouveau filtre « Cachés » pour les filtres locaux et/ou les filtres distants. | __p__lus
67 Guillemets typographiques fermants. => __Version francisée__ : Cliquer sur l'icône //Gestion des filtres -> __É__diter les règles de filtrages... -> __N__ouveau//. Choisir un nom (« Cachés » c'est très bien...). Cliquer sur le bouton "En ajouter __p__lus". Dans le menu déroulant, sélectionner "Nom du fichier" puis « commence par ». Dans le champ le plus à droite mettre un « . ». Vérifier que les deux cases «Fichi__e__rs» et «Ré__p__ertoires», à la section « Le filtre s'applique à :» sont cochées puis Valider. De retour dans la section "Jeu de filtres", cocher la case placée devant le nom du nouveau filtre « Cachés » pour les filtres locaux et/ou les filtres distants. | " => suggestions : ['\xa0»', '”']
67 Guillemets typographiques ouvrants. => __Version francisée__ : Cliquer sur l'icône //Gestion des filtres -> __É__diter les règles de filtrages... -> __N__ouveau//. Choisir un nom (« Cachés » c'est très bien...). Cliquer sur le bouton "En ajouter __p__lus". Dans le menu déroulant, sélectionner "Nom du fichier" puis « commence par ». Dans le champ le plus à droite mettre un « . ». Vérifier que les deux cases «Fichi__e__rs» et «Ré__p__ertoires», à la section « Le filtre s'applique à :» sont cochées puis Valider. De retour dans la section "Jeu de filtres", cocher la case placée devant le nom du nouveau filtre « Cachés » pour les filtres locaux et/ou les filtres distants. | " => suggestions : ['«\xa0', '“']
67 Guillemets typographiques fermants. => __Version francisée__ : Cliquer sur l'icône //Gestion des filtres -> __É__diter les règles de filtrages... -> __N__ouveau//. Choisir un nom (« Cachés » c'est très bien...). Cliquer sur le bouton "En ajouter __p__lus". Dans le menu déroulant, sélectionner "Nom du fichier" puis « commence par ». Dans le champ le plus à droite mettre un « . ». Vérifier que les deux cases «Fichi__e__rs» et «Ré__p__ertoires», à la section « Le filtre s'applique à :» sont cochées puis Valider. De retour dans la section "Jeu de filtres", cocher la case placée devant le nom du nouveau filtre « Cachés » pour les filtres locaux et/ou les filtres distants. | " => suggestions : ['\xa0»', '”']
67 Mettez des guillemets fermants plutôt qu’ouvrants. => __Version francisée__ : Cliquer sur l'icône //Gestion des filtres -> __É__diter les règles de filtrages... -> __N__ouveau//. Choisir un nom (« Cachés » c'est très bien...). Cliquer sur le bouton "En ajouter __p__lus". Dans le menu déroulant, sélectionner "Nom du fichier" puis « commence par ». Dans le champ le plus à droite mettre un « . ». Vérifier que les deux cases «Fichi__e__rs» et «Ré__p__ertoires», à la section « Le filtre s'applique à :» sont cochées puis Valider. De retour dans la section "Jeu de filtres", cocher la case placée devant le nom du nouveau filtre « Cachés » pour les filtres locaux et/ou les filtres distants. |  « => suggestions : ['\xa0»', '”']
67 Pas d’espace avant un point. => __Version francisée__ : Cliquer sur l'icône //Gestion des filtres -> __É__diter les règles de filtrages... -> __N__ouveau//. Choisir un nom (« Cachés » c'est très bien...). Cliquer sur le bouton "En ajouter __p__lus". Dans le menu déroulant, sélectionner "Nom du fichier" puis « commence par ». Dans le champ le plus à droite mettre un « . ». Vérifier que les deux cases «Fichi__e__rs» et «Ré__p__ertoires», à la section « Le filtre s'applique à :» sont cochées puis Valider. De retour dans la section "Jeu de filtres", cocher la case placée devant le nom du nouveau filtre « Cachés » pour les filtres locaux et/ou les filtres distants. |  . => suggestions : ['.']
67 Mot inconnu : Fichi__e__rs => __Version francisée__ : Cliquer sur l'icône //Gestion des filtres -> __É__diter les règles de filtrages... -> __N__ouveau//. Choisir un nom (« Cachés » c'est très bien...). Cliquer sur le bouton "En ajouter __p__lus". Dans le menu déroulant, sélectionner "Nom du fichier" puis « commence par ». Dans le champ le plus à droite mettre un « . ». Vérifier que les deux cases «Fichi__e__rs» et «Ré__p__ertoires», à la section « Le filtre s'applique à :» sont cochées puis Valider. De retour dans la section "Jeu de filtres", cocher la case placée devant le nom du nouveau filtre « Cachés » pour les filtres locaux et/ou les filtres distants. | fichi__e__rs
67 Mot inconnu : Ré__p__ertoires => __Version francisée__ : Cliquer sur l'icône //Gestion des filtres -> __É__diter les règles de filtrages... -> __N__ouveau//. Choisir un nom (« Cachés » c'est très bien...). Cliquer sur le bouton "En ajouter __p__lus". Dans le menu déroulant, sélectionner "Nom du fichier" puis « commence par ». Dans le champ le plus à droite mettre un « . ». Vérifier que les deux cases «Fichi__e__rs» et «Ré__p__ertoires», à la section « Le filtre s'applique à :» sont cochées puis Valider. De retour dans la section "Jeu de filtres", cocher la case placée devant le nom du nouveau filtre « Cachés » pour les filtres locaux et/ou les filtres distants. | ré__p__ertoires
67 Guillemets typographiques ouvrants. => __Version francisée__ : Cliquer sur l'icône //Gestion des filtres -> __É__diter les règles de filtrages... -> __N__ouveau//. Choisir un nom (« Cachés » c'est très bien...). Cliquer sur le bouton "En ajouter __p__lus". Dans le menu déroulant, sélectionner "Nom du fichier" puis « commence par ». Dans le champ le plus à droite mettre un « . ». Vérifier que les deux cases «Fichi__e__rs» et «Ré__p__ertoires», à la section « Le filtre s'applique à :» sont cochées puis Valider. De retour dans la section "Jeu de filtres", cocher la case placée devant le nom du nouveau filtre « Cachés » pour les filtres locaux et/ou les filtres distants. | " => suggestions : ['«\xa0', '“']
67 Guillemets typographiques fermants. => __Version francisée__ : Cliquer sur l'icône //Gestion des filtres -> __É__diter les règles de filtrages... -> __N__ouveau//. Choisir un nom (« Cachés » c'est très bien...). Cliquer sur le bouton "En ajouter __p__lus". Dans le menu déroulant, sélectionner "Nom du fichier" puis « commence par ». Dans le champ le plus à droite mettre un « . ». Vérifier que les deux cases «Fichi__e__rs» et «Ré__p__ertoires», à la section « Le filtre s'applique à :» sont cochées puis Valider. De retour dans la section "Jeu de filtres", cocher la case placée devant le nom du nouveau filtre « Cachés » pour les filtres locaux et/ou les filtres distants. | " => suggestions : ['\xa0»', '”']

75 Mot inconnu : FileZilla => Heureusement, FileZilla supporte le **"drag'n'drop"** (glisser/déposer). Vous pouvez donc utiliser un bureau spécifique afin de faire comme ceci : | filezilla
75 Guillemets typographiques ouvrants. => Heureusement, FileZilla supporte le **"drag'n'drop"** (glisser/déposer). Vous pouvez donc utiliser un bureau spécifique afin de faire comme ceci : | " => suggestions : ['«\xa0', '“']
75 Mot inconnu : drag'n'drop => Heureusement, FileZilla supporte le **"drag'n'drop"** (glisser/déposer). Vous pouvez donc utiliser un bureau spécifique afin de faire comme ceci : | drag'n'drop
75 Guillemets typographiques fermants. => Heureusement, FileZilla supporte le **"drag'n'drop"** (glisser/déposer). Vous pouvez donc utiliser un bureau spécifique afin de faire comme ceci : | " => suggestions : ['\xa0»', '”']

84 Mot inconnu : FileZilla => ===== FileZilla et la sécurité des sites enregistrés ===== | filezilla

87 Mot inconnu : FileZilla => Comme beaucoup l'ont surement remarqué, FileZilla ne chiffre pas son dossier de configuration (//~/.filezilla//) mais on n'y fait pas toujours attention car dans le logiciel, les mots de passe n'apparaissent pas. Cependant la simple commande suivante affichera tout : | filezilla
87 Mot inconnu : filezilla => Comme beaucoup l'ont surement remarqué, FileZilla ne chiffre pas son dossier de configuration (//~/.filezilla//) mais on n'y fait pas toujours attention car dans le logiciel, les mots de passe n'apparaissent pas. Cependant la simple commande suivante affichera tout : | filezilla

93 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Cependant dans les 2 cas, votre répertoire .filezilla/ sera toujours vulnérable au moins pendant l'utilisation de FileZilla car il sera déchiffré. En modifiant un peu ces 2 méthodes, vous pouvez utiliser plusieurs répertoires de configuration contenant les sites classés par sensibilité. |  . => suggestions : ['. ', '.']
93 Mot inconnu : filezilla => Cependant dans les 2 cas, votre répertoire .filezilla/ sera toujours vulnérable au moins pendant l'utilisation de FileZilla car il sera déchiffré. En modifiant un peu ces 2 méthodes, vous pouvez utiliser plusieurs répertoires de configuration contenant les sites classés par sensibilité. | filezilla
93 Mot inconnu : FileZilla => Cependant dans les 2 cas, votre répertoire .filezilla/ sera toujours vulnérable au moins pendant l'utilisation de FileZilla car il sera déchiffré. En modifiant un peu ces 2 méthodes, vous pouvez utiliser plusieurs répertoires de configuration contenant les sites classés par sensibilité. | filezilla
93 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Cependant dans les 2 cas, votre répertoire .filezilla/ sera toujours vulnérable au moins pendant l'utilisation de FileZilla car il sera déchiffré. En modifiant un peu ces 2 méthodes, vous pouvez utiliser plusieurs répertoires de configuration contenant les sites classés par sensibilité. |  car => suggestions : [', car']

95 Mot inconnu : KeePassX => ==== Méthode KeePassX ==== | keepassx

99 Espace(s) en fin de ligne à supprimer. => Il faut créer une nouvelle base de données, qu'on pourra alimenter avec tous ses mots de passes y compris les mots de passe FTP.\\  |   => suggestions : ['']

100 Mot inconnu : FileZilla => Pour lancer automatiquement FileZilla pour les mots de passes FTP, procédez ainsi : | filezilla

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * rendez-vous dans le menu **Tools** -> **Options** -> **Integration** -> **URL Override** |    => suggestions : ['']
101 Mot inconnu : Tools =>   * rendez-vous dans le menu **Tools** -> **Options** -> **Integration** -> **URL Override** | tools
101 Mot inconnu : Integration =>   * rendez-vous dans le menu **Tools** -> **Options** -> **Integration** -> **URL Override** | integration
101 Mot inconnu : Override =>   * rendez-vous dans le menu **Tools** -> **Options** -> **Integration** -> **URL Override** | override

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ici on peut spécifier des lignes de commandes à lancer pour chaque protocole (http, ftp, sftp, webdav, on peut même inventer ses propres protocoles). |    => suggestions : ['']
102 Mot inconnu : sftp =>   * ici on peut spécifier des lignes de commandes à lancer pour chaque protocole (http, ftp, sftp, webdav, on peut même inventer ses propres protocoles). | sftp
102 Mot inconnu : webdav =>   * ici on peut spécifier des lignes de commandes à lancer pour chaque protocole (http, ftp, sftp, webdav, on peut même inventer ses propres protocoles). | webdav

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * on valide (et on s'assure que le scheme est bien coché dans la liste) |    => suggestions : ['']
105 Mot inconnu : scheme =>   * on valide (et on s'assure que le scheme est bien coché dans la liste) | scheme

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Title** : ce qu'on veut (pour reconnaître l'accès) |    => suggestions : ['']
107 Mot inconnu : Title =>   * **Title** : ce qu'on veut (pour reconnaître l'accès) | title

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **User name** : nom d'utilisateur FTP |    => suggestions : ['']
108 Mot inconnu : name =>   * **User name** : nom d'utilisateur FTP | name

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Password** : mot de passe FTP |    => suggestions : ['']
109 Mot inconnu : Password =>   * **Password** : mot de passe FTP | password

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **URL** : ftp://nom_de_lhote_FTP |    => suggestions : ['']
110 Mot inconnu : nom_de_lhote_FTP =>   * **URL** : ftp://nom_de_lhote_FTP | nom_de_lhote_ftp

112 Mot inconnu : FileZilla => On pourra alors lancer FileZilla et se connecter automatiquement via un simple double-clic sur le champs //URL//.\\  | filezilla
112 Accord de nombre erroné : « champs » est au pluriel. => On pourra alors lancer FileZilla et se connecter automatiquement via un simple double-clic sur le champs //URL//.\\  | le => suggestions : ['les']
112 Accord de nombre erroné : « champs » devrait être au singulier. => On pourra alors lancer FileZilla et se connecter automatiquement via un simple double-clic sur le champs //URL//.\\  | champs => suggestions : ['champ']
112 Espace(s) en fin de ligne à supprimer. => On pourra alors lancer FileZilla et se connecter automatiquement via un simple double-clic sur le champs //URL//.\\  |   => suggestions : ['']

113 Mot inconnu : FileZilla => Il n'est donc plus nécessaire d'utiliser le gestionnaire de mot de passe mal sécurisé de FileZilla. | filezilla

115 Mot inconnu : KeePass2 => <note tip>KeePass2 est disponible sur de très nombreuses plateformes, y compris Windows, Android ou iOS. Il permet également de stocker sa base de données en ligne par ex. sur un serveur Webdav ou SFTP, et donc de garder tout ses mots de passes synchronisés sur tous ses appareils, n'importe où.</note> | keepass2
115 Mot inconnu : iOS => <note tip>KeePass2 est disponible sur de très nombreuses plateformes, y compris Windows, Android ou iOS. Il permet également de stocker sa base de données en ligne par ex. sur un serveur Webdav ou SFTP, et donc de garder tout ses mots de passes synchronisés sur tous ses appareils, n'importe où.</note> | ios
115 Mot inconnu : Webdav => <note tip>KeePass2 est disponible sur de très nombreuses plateformes, y compris Windows, Android ou iOS. Il permet également de stocker sa base de données en ligne par ex. sur un serveur Webdav ou SFTP, et donc de garder tout ses mots de passes synchronisés sur tous ses appareils, n'importe où.</note> | webdav
115 Mot inconnu : SFTP => <note tip>KeePass2 est disponible sur de très nombreuses plateformes, y compris Windows, Android ou iOS. Il permet également de stocker sa base de données en ligne par ex. sur un serveur Webdav ou SFTP, et donc de garder tout ses mots de passes synchronisés sur tous ses appareils, n'importe où.</note> | sftp
115 Erreur d’accord probable avec « ses ». => <note tip>KeePass2 est disponible sur de très nombreuses plateformes, y compris Windows, Android ou iOS. Il permet également de stocker sa base de données en ligne par ex. sur un serveur Webdav ou SFTP, et donc de garder tout ses mots de passes synchronisés sur tous ses appareils, n'importe où.</note> | tout => suggestions : ['tous']

118 Mot inconnu : cryptkeeper => ==== Méthode cryptkeeper ==== | cryptkeeper

119 Mot inconnu : Cryptkeeper => <note important>Cryptkeeper n'est plus présent dans les dépôts officiels d'Ubuntu depuis [[Bionic]]. </note> | cryptkeeper
120 Mot inconnu : cryptkeeper => Alors voilà mon procédé: on va utiliser **cryptkeeper** pour chiffrer le répertoire de configuration de FileZilla et **zenity** pour afficher une alerte bloquante. | cryptkeeper
120 Mot inconnu : FileZilla => Alors voilà mon procédé: on va utiliser **cryptkeeper** pour chiffrer le répertoire de configuration de FileZilla et **zenity** pour afficher une alerte bloquante. | filezilla
120 Mot inconnu : zenity => Alors voilà mon procédé: on va utiliser **cryptkeeper** pour chiffrer le répertoire de configuration de FileZilla et **zenity** pour afficher une alerte bloquante. | zenity
122 Mot inconnu : cryptkeeper => Tout d'abord il faut installer les paquets **[[apt>cryptkeeper]]** et **[[apt>zenity]]**. Ensuite ajoutez un répertoire à chiffrer dans cryptkeeper, peu importe le chemin du répertoire chiffré, il faut juste que le chemin du répertoire déchiffré soit ~/.filezilla . (Je ne détaille pas la procédure ici) | cryptkeeper
122 Mot inconnu : zenity => Tout d'abord il faut installer les paquets **[[apt>cryptkeeper]]** et **[[apt>zenity]]**. Ensuite ajoutez un répertoire à chiffrer dans cryptkeeper, peu importe le chemin du répertoire chiffré, il faut juste que le chemin du répertoire déchiffré soit ~/.filezilla . (Je ne détaille pas la procédure ici) | zenity
122 Mot inconnu : cryptkeeper => Tout d'abord il faut installer les paquets **[[apt>cryptkeeper]]** et **[[apt>zenity]]**. Ensuite ajoutez un répertoire à chiffrer dans cryptkeeper, peu importe le chemin du répertoire chiffré, il faut juste que le chemin du répertoire déchiffré soit ~/.filezilla . (Je ne détaille pas la procédure ici) | cryptkeeper
122 Mot inconnu : filezilla => Tout d'abord il faut installer les paquets **[[apt>cryptkeeper]]** et **[[apt>zenity]]**. Ensuite ajoutez un répertoire à chiffrer dans cryptkeeper, peu importe le chemin du répertoire chiffré, il faut juste que le chemin du répertoire déchiffré soit ~/.filezilla . (Je ne détaille pas la procédure ici) | filezilla
122 Pas d’espace avant un point. => Tout d'abord il faut installer les paquets **[[apt>cryptkeeper]]** et **[[apt>zenity]]**. Ensuite ajoutez un répertoire à chiffrer dans cryptkeeper, peu importe le chemin du répertoire chiffré, il faut juste que le chemin du répertoire déchiffré soit ~/.filezilla . (Je ne détaille pas la procédure ici) |  . => suggestions : ['.']

124 Mot inconnu : cryptkeeper => <note help>Si cryptkeeper ne se lance pas au démarrage d'Ubuntu, il suffit de l'ajouter dans la liste des applications au démarrage (sa commande est simplement ''cryptkeeper''). Une fois lancé, un trousseau de clés apparait parmi les icones de minimisation de la barre Ubuntu. | cryptkeeper
