
3 Mot inconnu : image2mpeg => ====== image2mpeg - pour convertir des images en un film MPEG ====== | image2mpeg
69 Mot inconnu : frames =>   type=IMAGE,frames=-1,file=image.jpg,from_geo=100%,to_geo=80% | frames
69 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>   type=IMAGE,frames=-1,file=image.jpg,from_geo=100%,to_geo=80% | -1 => suggestions : ['−1', '– 1', '— 1']
69 Il manque un espace. =>   type=IMAGE,frames=-1,file=image.jpg,from_geo=100%,to_geo=80% | from_geo => suggestions : [' from_geo']
69 Mot inconnu : from_geo =>   type=IMAGE,frames=-1,file=image.jpg,from_geo=100%,to_geo=80% | from_geo
69 Avec une unité de mesure, mettez un espace insécable. =>   type=IMAGE,frames=-1,file=image.jpg,from_geo=100%,to_geo=80% | 100% => suggestions : ['100\xa0%']
69 Mot inconnu : to_geo =>   type=IMAGE,frames=-1,file=image.jpg,from_geo=100%,to_geo=80% | to_geo
69 Avec une unité de mesure, mettez un espace insécable. =>   type=IMAGE,frames=-1,file=image.jpg,from_geo=100%,to_geo=80% | 80% => suggestions : ['80\xa0%']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   image2mpeg -m DVD -o video.mpeg @index.i2m |    => suggestions : ['']
73 Mot inconnu : image2mpeg =>   image2mpeg -m DVD -o video.mpeg @index.i2m | image2mpeg
73 Il manque un espace à côté du tiret. =>   image2mpeg -m DVD -o video.mpeg @index.i2m |  - => suggestions : [' – ', ' — ']
73 Il manque un espace à côté du tiret. =>   image2mpeg -m DVD -o video.mpeg @index.i2m |  - => suggestions : [' – ', ' — ']
73 Mot inconnu : video =>   image2mpeg -m DVD -o video.mpeg @index.i2m | video
73 Mot inconnu : mpeg =>   image2mpeg -m DVD -o video.mpeg @index.i2m | mpeg
73 Mot inconnu : i2m =>   image2mpeg -m DVD -o video.mpeg @index.i2m | i2m
75 Avec une unité de mesure, mettez un espace insécable. => Et il faut attendre longtemps (ex : 45 min pour 3 images) pour obtenir un film très sympa | 45 min => suggestions : ['45\xa0min']

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   man image2mpeg |    => suggestions : ['']
79 Mot inconnu : image2mpeg =>   man image2mpeg | image2mpeg

87 Il manque un espace. => [[https://web.archive.org/web/20120203022923/http://blog.effraie.org/post/2008/09/27/Cr%C3%A9er-un-diaporama-de-photos-avec-image2mpeg|Description et commandes avec exemples]] | c3 => suggestions : [' C3']
87 Il manque un espace. => [[https://web.archive.org/web/20120203022923/http://blog.effraie.org/post/2008/09/27/Cr%C3%A9er-un-diaporama-de-photos-avec-image2mpeg|Description et commandes avec exemples]] | a9er-un-diaporama-de-photos-avec-image2mpeg => suggestions : [' A9er-un-diaporama-de-photos-avec-image2mpeg']
