
3 Mot inconnu : Wacom => ====== Configuration d'une tablette Wacom intuos 5====== | wacom
5 Mot inconnu : switch => Cette page explique comment configurer et faire fonctionner une tablette graphique wacom intuos 5 (et aussi intuos 4) sous Ubuntu (testé sous 12.04). Sont proposés dans ce tutoriel deux scripts qui permettent non seulement de configurer les boutons pour les associer à des raccourcis, mais également de faire fonctionner le touch ring comme sous windows : c'est à dire avec quatre modes différents que l'on sélectionne grâce au bouton central du touch ring (par exemple : mode 1 = zoom in/out, mode 2 =  brush size, mode 3 = switch layers, mode 4 = rotation). | switch
5 Mot inconnu : layers => Cette page explique comment configurer et faire fonctionner une tablette graphique wacom intuos 5 (et aussi intuos 4) sous Ubuntu (testé sous 12.04). Sont proposés dans ce tutoriel deux scripts qui permettent non seulement de configurer les boutons pour les associer à des raccourcis, mais également de faire fonctionner le touch ring comme sous windows : c'est à dire avec quatre modes différents que l'on sélectionne grâce au bouton central du touch ring (par exemple : mode 1 = zoom in/out, mode 2 =  brush size, mode 3 = switch layers, mode 4 = rotation). | layers

14 Mot inconnu : __Les => __Les principales commandes utiles sont :__ | __les
14 Mot inconnu : __ => __Les principales commandes utiles sont :__ | __
16 Mot inconnu : touch => ## Note : il y a des scripts qui gèrent le touch ring et les boutons, voir plus bas. Je ne donne ces commandes qu'à titre purement indicatif (pour montrer comment on fait). Mais seuls les scripts sont nécessaires et suffisants. | touch
18 Espace(s) en fin de ligne à supprimer. => commande :  |   => suggestions : ['']

21 Mot inconnu : xsetwacom => xsetwacom --list devices</code> | xsetwacom
21 Mot inconnu : list => xsetwacom --list devices</code> | list
21 Mot inconnu : devices => xsetwacom --list devices</code> | devices

25 Mot inconnu : déceleration => Puis pour gérer la déceleration du curseur en mode relatif seulement (la valeur par défaut est 1.000000, c'est à dire pas de déceleration) : | déceleration
25 Il manque les traits d’union. => Puis pour gérer la déceleration du curseur en mode relatif seulement (la valeur par défaut est 1.000000, c'est à dire pas de déceleration) : | c'est à dire => suggestions : ['c’est-à-dire']
25 Mot inconnu : déceleration => Puis pour gérer la déceleration du curseur en mode relatif seulement (la valeur par défaut est 1.000000, c'est à dire pas de déceleration) : | déceleration

28 Mot inconnu : xinput => xinput set-float-prop "Wacom Intuos5 touch L Pen eraser" "Device Accel Constant Deceleration" 3.000000</code> | xinput
28 Mot inconnu : set-float-prop => xinput set-float-prop "Wacom Intuos5 touch L Pen eraser" "Device Accel Constant Deceleration" 3.000000</code> | set-float-prop
28 Guillemets typographiques ouvrants. => xinput set-float-prop "Wacom Intuos5 touch L Pen eraser" "Device Accel Constant Deceleration" 3.000000</code> | " => suggestions : ['«\xa0', '“']
28 Mot inconnu : Wacom => xinput set-float-prop "Wacom Intuos5 touch L Pen eraser" "Device Accel Constant Deceleration" 3.000000</code> | wacom
28 Mot inconnu : Intuos5 => xinput set-float-prop "Wacom Intuos5 touch L Pen eraser" "Device Accel Constant Deceleration" 3.000000</code> | intuos5
28 Mot inconnu : touch => xinput set-float-prop "Wacom Intuos5 touch L Pen eraser" "Device Accel Constant Deceleration" 3.000000</code> | touch
28 Mot inconnu : Pen => xinput set-float-prop "Wacom Intuos5 touch L Pen eraser" "Device Accel Constant Deceleration" 3.000000</code> | pen
28 Mot inconnu : eraser => xinput set-float-prop "Wacom Intuos5 touch L Pen eraser" "Device Accel Constant Deceleration" 3.000000</code> | eraser
28 Guillemets typographiques fermants. => xinput set-float-prop "Wacom Intuos5 touch L Pen eraser" "Device Accel Constant Deceleration" 3.000000</code> | " => suggestions : ['\xa0»', '”']
28 Guillemets typographiques ouvrants. => xinput set-float-prop "Wacom Intuos5 touch L Pen eraser" "Device Accel Constant Deceleration" 3.000000</code> | " => suggestions : ['«\xa0', '“']
28 Mot inconnu : Device => xinput set-float-prop "Wacom Intuos5 touch L Pen eraser" "Device Accel Constant Deceleration" 3.000000</code> | device
28 Mot inconnu : Accel => xinput set-float-prop "Wacom Intuos5 touch L Pen eraser" "Device Accel Constant Deceleration" 3.000000</code> | accel
28 Mot inconnu : Deceleration => xinput set-float-prop "Wacom Intuos5 touch L Pen eraser" "Device Accel Constant Deceleration" 3.000000</code> | deceleration
28 Guillemets typographiques fermants. => xinput set-float-prop "Wacom Intuos5 touch L Pen eraser" "Device Accel Constant Deceleration" 3.000000</code> | " => suggestions : ['\xa0»', '”']
29 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Vous mettez la valeur que vous voulez à la place de 3.000000, plus le chiffre est grand plus cela ralentit le curseur, mais uniquement en mode souris (relatif), pas en absolu ! Personnellement je ne m'en sers plus car ma tablette est en mode absolu... Mais c'est pratique si vous avez une petite surface (A6) mappée sur un grand écran et que ça manque de précision... |  car => suggestions : [', car']
29 Typographie : points de suspension. Utilisez le caractère dédié. => Vous mettez la valeur que vous voulez à la place de 3.000000, plus le chiffre est grand plus cela ralentit le curseur, mais uniquement en mode souris (relatif), pas en absolu ! Personnellement je ne m'en sers plus car ma tablette est en mode absolu... Mais c'est pratique si vous avez une petite surface (A6) mappée sur un grand écran et que ça manque de précision... | ... => suggestions : ['…']
29 Mot inconnu : A6 => Vous mettez la valeur que vous voulez à la place de 3.000000, plus le chiffre est grand plus cela ralentit le curseur, mais uniquement en mode souris (relatif), pas en absolu ! Personnellement je ne m'en sers plus car ma tablette est en mode absolu... Mais c'est pratique si vous avez une petite surface (A6) mappée sur un grand écran et que ça manque de précision... | a6
29 Typographie : points de suspension. Utilisez le caractère dédié. => Vous mettez la valeur que vous voulez à la place de 3.000000, plus le chiffre est grand plus cela ralentit le curseur, mais uniquement en mode souris (relatif), pas en absolu ! Personnellement je ne m'en sers plus car ma tablette est en mode absolu... Mais c'est pratique si vous avez une petite surface (A6) mappée sur un grand écran et que ça manque de précision... | ... => suggestions : ['…']

33 Mot inconnu : __Pour => __Pour la configuration des boutons, en passant par xsetwacom :__ | __pour
33 Mot inconnu : xsetwacom => __Pour la configuration des boutons, en passant par xsetwacom :__ | xsetwacom
33 Mot inconnu : __ => __Pour la configuration des boutons, en passant par xsetwacom :__ | __

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  • bouton central (du touch ring) = bouton 1 |   => suggestions : ['']
37 Mot inconnu : touch =>  • bouton central (du touch ring) = bouton 1 | touch

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  • 1er bouton = button 2 |   => suggestions : ['']
43 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. =>  • 1er bouton = button 2 | 1er => suggestions : ['1ᵉʳ']
43 Mot inconnu : button =>  • 1er bouton = button 2 | button

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  • 2eme bouton = button 3 |   => suggestions : ['']
45 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… =>  • 2eme bouton = button 3 | 2eme => suggestions : ['2ᵉ']
45 Mot inconnu : eme =>  • 2eme bouton = button 3 | eme
45 Mot inconnu : button =>  • 2eme bouton = button 3 | button

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  • 3eme bouton = button 8 |   => suggestions : ['']
47 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… =>  • 3eme bouton = button 8 | 3eme => suggestions : ['3ᵉ']
47 Mot inconnu : eme =>  • 3eme bouton = button 8 | eme
47 Mot inconnu : button =>  • 3eme bouton = button 8 | button

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  • 4eme bouton = button 9 |   => suggestions : ['']
49 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… =>  • 4eme bouton = button 9 | 4eme => suggestions : ['4ᵉ']
49 Mot inconnu : eme =>  • 4eme bouton = button 9 | eme
49 Mot inconnu : button =>  • 4eme bouton = button 9 | button

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  • 5eme bouton = button 10 |   => suggestions : ['']
53 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… =>  • 5eme bouton = button 10 | 5eme => suggestions : ['5ᵉ']
53 Mot inconnu : eme =>  • 5eme bouton = button 10 | eme
53 Mot inconnu : button =>  • 5eme bouton = button 10 | button

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  • 6eme bouton = button 11 |   => suggestions : ['']
55 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… =>  • 6eme bouton = button 11 | 6eme => suggestions : ['6ᵉ']
55 Mot inconnu : eme =>  • 6eme bouton = button 11 | eme
55 Mot inconnu : button =>  • 6eme bouton = button 11 | button

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  • 7eme bouton = button 12 |   => suggestions : ['']
57 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… =>  • 7eme bouton = button 12 | 7eme => suggestions : ['7ᵉ']
57 Mot inconnu : eme =>  • 7eme bouton = button 12 | eme
57 Mot inconnu : button =>  • 7eme bouton = button 12 | button

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  • 8eme bouton = button 13 |   => suggestions : ['']
59 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… =>  • 8eme bouton = button 13 | 8eme => suggestions : ['8ᵉ']
59 Mot inconnu : eme =>  • 8eme bouton = button 13 | eme
59 Mot inconnu : button =>  • 8eme bouton = button 13 | button

63 Mot inconnu : touch => (touch ring, note : les up et down sont inversés pour gaucher) | touch
63 Mot inconnu : up => (touch ring, note : les up et down sont inversés pour gaucher) | up
63 Mot inconnu : down => (touch ring, note : les up et down sont inversés pour gaucher) | down

65 Mot inconnu : xsetwacom => xsetwacom set "Wacom Intuos5 touch L Pen pad" AbsWheelUp "key d"</code> | xsetwacom
65 Guillemets typographiques ouvrants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" AbsWheelUp "key d"</code> | " => suggestions : ['«\xa0', '“']
65 Mot inconnu : Wacom => xsetwacom set "Wacom Intuos5 touch L Pen pad" AbsWheelUp "key d"</code> | wacom
65 Mot inconnu : Intuos5 => xsetwacom set "Wacom Intuos5 touch L Pen pad" AbsWheelUp "key d"</code> | intuos5
65 Mot inconnu : touch => xsetwacom set "Wacom Intuos5 touch L Pen pad" AbsWheelUp "key d"</code> | touch
65 Mot inconnu : Pen => xsetwacom set "Wacom Intuos5 touch L Pen pad" AbsWheelUp "key d"</code> | pen
65 Mot inconnu : pad => xsetwacom set "Wacom Intuos5 touch L Pen pad" AbsWheelUp "key d"</code> | pad
65 Guillemets typographiques fermants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" AbsWheelUp "key d"</code> | " => suggestions : ['\xa0»', '”']
65 Mot inconnu : AbsWheelUp => xsetwacom set "Wacom Intuos5 touch L Pen pad" AbsWheelUp "key d"</code> | abswheelup
65 Guillemets typographiques ouvrants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" AbsWheelUp "key d"</code> | " => suggestions : ['«\xa0', '“']
65 Mot inconnu : key => xsetwacom set "Wacom Intuos5 touch L Pen pad" AbsWheelUp "key d"</code> | key
65 Apostrophe incorrecte. => xsetwacom set "Wacom Intuos5 touch L Pen pad" AbsWheelUp "key d"</code> | d" => suggestions : ['d’']
65 Guillemets typographiques fermants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" AbsWheelUp "key d"</code> | " => suggestions : ['\xa0»', '”']

72 Mot inconnu : xsetwacom => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 9 "key p"</code> | xsetwacom
72 Guillemets typographiques ouvrants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 9 "key p"</code> | " => suggestions : ['«\xa0', '“']
72 Mot inconnu : Wacom => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 9 "key p"</code> | wacom
72 Mot inconnu : Intuos5 => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 9 "key p"</code> | intuos5
72 Mot inconnu : touch => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 9 "key p"</code> | touch
72 Mot inconnu : Pen => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 9 "key p"</code> | pen
72 Mot inconnu : pad => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 9 "key p"</code> | pad
72 Guillemets typographiques fermants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 9 "key p"</code> | " => suggestions : ['\xa0»', '”']
72 Mot inconnu : Button => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 9 "key p"</code> | button
72 Guillemets typographiques ouvrants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 9 "key p"</code> | " => suggestions : ['«\xa0', '“']
72 Mot inconnu : key => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 9 "key p"</code> | key
72 Guillemets typographiques fermants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 9 "key p"</code> | " => suggestions : ['\xa0»', '”']

80 Mot inconnu : xsetwacom => xsetwacom set "Wacom Intuos5 touch L Pen eraser" MapToOutput DFP2</code> | xsetwacom
80 Guillemets typographiques ouvrants. => xsetwacom set "Wacom Intuos5 touch L Pen eraser" MapToOutput DFP2</code> | " => suggestions : ['«\xa0', '“']
80 Mot inconnu : Wacom => xsetwacom set "Wacom Intuos5 touch L Pen eraser" MapToOutput DFP2</code> | wacom
80 Mot inconnu : Intuos5 => xsetwacom set "Wacom Intuos5 touch L Pen eraser" MapToOutput DFP2</code> | intuos5
80 Mot inconnu : touch => xsetwacom set "Wacom Intuos5 touch L Pen eraser" MapToOutput DFP2</code> | touch
80 Mot inconnu : Pen => xsetwacom set "Wacom Intuos5 touch L Pen eraser" MapToOutput DFP2</code> | pen
80 Mot inconnu : eraser => xsetwacom set "Wacom Intuos5 touch L Pen eraser" MapToOutput DFP2</code> | eraser
80 Guillemets typographiques fermants. => xsetwacom set "Wacom Intuos5 touch L Pen eraser" MapToOutput DFP2</code> | " => suggestions : ['\xa0»', '”']
80 Mot inconnu : MapToOutput => xsetwacom set "Wacom Intuos5 touch L Pen eraser" MapToOutput DFP2</code> | maptooutput
80 Mot inconnu : DFP2 => xsetwacom set "Wacom Intuos5 touch L Pen eraser" MapToOutput DFP2</code> | dfp2

90 Erreur d’accord probable avec « les cas ». => Ce script lance la configuration, il faut le lancer soit à chaque démarrage de session, soit manuellement, mais dans tout les cas après que vous ayez branché votre tablette. | tout => suggestions : ['tous']
90 Après « après que », le verbe ne s’emploie pas au subjonctif mais à l’indicatif, si l’action s’est déroulée de façon certaine. => Ce script lance la configuration, il faut le lancer soit à chaque démarrage de session, soit manuellement, mais dans tout les cas après que vous ayez branché votre tablette. | ayez => suggestions : ['aviez', 'eûtes', 'avez', 'aurez']

92 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Créer un fichier .sh, avec le script dedans, puis, le rendre exécutable. Notez que des changements peuvent être nécessaires pour rendre fonctionnels ces scripts, il faut les personnaliser quelque peu. |  . => suggestions : ['. ', '.']
92 Mot inconnu : sh => Créer un fichier .sh, avec le script dedans, puis, le rendre exécutable. Notez que des changements peuvent être nécessaires pour rendre fonctionnels ces scripts, il faut les personnaliser quelque peu. | sh

93 Mot inconnu : xsetwacom => En particulier, vous devez récupérer et remplacer les noms des différents périphériques de votre tablette (commande xsetwacom --list devices). | xsetwacom
93 Mot inconnu : list => En particulier, vous devez récupérer et remplacer les noms des différents périphériques de votre tablette (commande xsetwacom --list devices). | list
93 Mot inconnu : devices => En particulier, vous devez récupérer et remplacer les noms des différents périphériques de votre tablette (commande xsetwacom --list devices). | devices

97 Mot inconnu : rc => ## Si la modification du fichier rc.local n'ouvre pas les droits en écriture du fichier status_led0_select, alors passer par sudo et décommenter la ligne suivante : | rc
97 Il manque un espace. => ## Si la modification du fichier rc.local n'ouvre pas les droits en écriture du fichier status_led0_select, alors passer par sudo et décommenter la ligne suivante : | local => suggestions : [' local']
97 Mot inconnu : status_led0_select => ## Si la modification du fichier rc.local n'ouvre pas les droits en écriture du fichier status_led0_select, alors passer par sudo et décommenter la ligne suivante : | status_led0_select
97 Mot inconnu : sudo => ## Si la modification du fichier rc.local n'ouvre pas les droits en écriture du fichier status_led0_select, alors passer par sudo et décommenter la ligne suivante : | sudo
97 Mot inconnu : décommenter => ## Si la modification du fichier rc.local n'ouvre pas les droits en écriture du fichier status_led0_select, alors passer par sudo et décommenter la ligne suivante : | décommenter

98 Mot inconnu : sys => #sudo /bin/chmod 666 /sys/bus/usb/devices/2-7:1.0/wacom_led/status_led0_select | sys
98 Mot inconnu : usb => #sudo /bin/chmod 666 /sys/bus/usb/devices/2-7:1.0/wacom_led/status_led0_select | usb
98 Mot inconnu : ices => #sudo /bin/chmod 666 /sys/bus/usb/devices/2-7:1.0/wacom_led/status_led0_select | ices
98 Mot inconnu : wacom_led => #sudo /bin/chmod 666 /sys/bus/usb/devices/2-7:1.0/wacom_led/status_led0_select | wacom_led
98 Mot inconnu : status_led0_select => #sudo /bin/chmod 666 /sys/bus/usb/devices/2-7:1.0/wacom_led/status_led0_select | status_led0_select

99 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => ## note : sudo demande de taper le mot de passe administrateur. De plus, allez dans votre système de fichier pour trouver le chemin exact vers le fichier "status_led0_select" et | note => suggestions : ['Note']
99 Mot inconnu : sudo => ## note : sudo demande de taper le mot de passe administrateur. De plus, allez dans votre système de fichier pour trouver le chemin exact vers le fichier "status_led0_select" et | sudo
99 Guillemets typographiques ouvrants. => ## note : sudo demande de taper le mot de passe administrateur. De plus, allez dans votre système de fichier pour trouver le chemin exact vers le fichier "status_led0_select" et | " => suggestions : ['«\xa0', '“']
99 Mot inconnu : status_led0_select => ## note : sudo demande de taper le mot de passe administrateur. De plus, allez dans votre système de fichier pour trouver le chemin exact vers le fichier "status_led0_select" et | status_led0_select
99 Guillemets typographiques fermants. => ## note : sudo demande de taper le mot de passe administrateur. De plus, allez dans votre système de fichier pour trouver le chemin exact vers le fichier "status_led0_select" et | " => suggestions : ['\xa0»', '”']

101 Mot inconnu : rc => ## Voir les commentaires au sujet de la technique rc.local versus sudo. | rc
101 Il manque un espace. => ## Voir les commentaires au sujet de la technique rc.local versus sudo. | local => suggestions : [' local']
101 Mot inconnu : sudo => ## Voir les commentaires au sujet de la technique rc.local versus sudo. | sudo

103 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => ## lance xbindkeys si il n'est pas déjà lancé. Ceci concerne le touch ring. Voir les commentaires du script "Toggle ring.sh". | lance => suggestions : ['Lance']
103 Mot inconnu : xbindkeys => ## lance xbindkeys si il n'est pas déjà lancé. Ceci concerne le touch ring. Voir les commentaires du script "Toggle ring.sh". | xbindkeys
103 Il faut élider “si” et l’accoler au pronom. => ## lance xbindkeys si il n'est pas déjà lancé. Ceci concerne le touch ring. Voir les commentaires du script "Toggle ring.sh". | si  => suggestions : ['s’']
103 Mot inconnu : touch => ## lance xbindkeys si il n'est pas déjà lancé. Ceci concerne le touch ring. Voir les commentaires du script "Toggle ring.sh". | touch
103 Guillemets typographiques ouvrants. => ## lance xbindkeys si il n'est pas déjà lancé. Ceci concerne le touch ring. Voir les commentaires du script "Toggle ring.sh". | " => suggestions : ['«\xa0', '“']
103 Mot inconnu : Toggle => ## lance xbindkeys si il n'est pas déjà lancé. Ceci concerne le touch ring. Voir les commentaires du script "Toggle ring.sh". | toggle
103 Mot inconnu : sh => ## lance xbindkeys si il n'est pas déjà lancé. Ceci concerne le touch ring. Voir les commentaires du script "Toggle ring.sh". | sh
103 Guillemets typographiques fermants. => ## lance xbindkeys si il n'est pas déjà lancé. Ceci concerne le touch ring. Voir les commentaires du script "Toggle ring.sh". | " => suggestions : ['\xa0»', '”']

104 Il manque un espace à côté du tiret. => ps -e | grep -q xbindkeys || xbindkeys & |  - => suggestions : [' – ', ' — ']
104 Mot inconnu : grep => ps -e | grep -q xbindkeys || xbindkeys & | grep
104 Il manque un espace à côté du tiret. => ps -e | grep -q xbindkeys || xbindkeys & |  - => suggestions : [' – ', ' — ']
104 Mot inconnu : xbindkeys => ps -e | grep -q xbindkeys || xbindkeys & | xbindkeys
104 Mot inconnu : xbindkeys => ps -e | grep -q xbindkeys || xbindkeys & | xbindkeys

106 Mot inconnu : order => ## In order to bind key "Ctrl Alt r" to "Toggle ring.sh". | order
106 Mot inconnu : to => ## In order to bind key "Ctrl Alt r" to "Toggle ring.sh". | to
106 Mot inconnu : bind => ## In order to bind key "Ctrl Alt r" to "Toggle ring.sh". | bind
106 Mot inconnu : key => ## In order to bind key "Ctrl Alt r" to "Toggle ring.sh". | key
106 Guillemets typographiques ouvrants. => ## In order to bind key "Ctrl Alt r" to "Toggle ring.sh". | " => suggestions : ['«\xa0', '“']
106 Guillemets typographiques fermants. => ## In order to bind key "Ctrl Alt r" to "Toggle ring.sh". | " => suggestions : ['\xa0»', '”']
106 Mot inconnu : to => ## In order to bind key "Ctrl Alt r" to "Toggle ring.sh". | to
106 Guillemets typographiques ouvrants. => ## In order to bind key "Ctrl Alt r" to "Toggle ring.sh". | " => suggestions : ['«\xa0', '“']
106 Mot inconnu : Toggle => ## In order to bind key "Ctrl Alt r" to "Toggle ring.sh". | toggle
106 Mot inconnu : sh => ## In order to bind key "Ctrl Alt r" to "Toggle ring.sh". | sh
106 Guillemets typographiques fermants. => ## In order to bind key "Ctrl Alt r" to "Toggle ring.sh". | " => suggestions : ['\xa0»', '”']

107 Mot inconnu : xsetwacom => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 1 "key Ctrl Alt r" | xsetwacom
107 Guillemets typographiques ouvrants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 1 "key Ctrl Alt r" | " => suggestions : ['«\xa0', '“']
107 Mot inconnu : Wacom => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 1 "key Ctrl Alt r" | wacom
107 Mot inconnu : Intuos5 => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 1 "key Ctrl Alt r" | intuos5
107 Mot inconnu : touch => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 1 "key Ctrl Alt r" | touch
107 Mot inconnu : Pen => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 1 "key Ctrl Alt r" | pen
107 Mot inconnu : pad => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 1 "key Ctrl Alt r" | pad
107 Guillemets typographiques fermants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 1 "key Ctrl Alt r" | " => suggestions : ['\xa0»', '”']
107 Mot inconnu : Button => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 1 "key Ctrl Alt r" | button
107 Guillemets typographiques ouvrants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 1 "key Ctrl Alt r" | " => suggestions : ['«\xa0', '“']
107 Mot inconnu : key => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 1 "key Ctrl Alt r" | key
107 Guillemets typographiques fermants. => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 1 "key Ctrl Alt r" | " => suggestions : ['\xa0»', '”']

109 Mot inconnu : bouttons => ## Faites vos associations de bouttons ici. | bouttons

110 Mot inconnu : xsetwacom => xsetwacom set "Wacom Intuos5 touch L Pen pad" Button 9 "key r" | xsetwacom
