
4 Mot inconnu : Livebox => ====== Livebox ====== | livebox
20 Mot inconnu : Livebox => <note>Pour connaître la marque de votre Livebox, il vous suffit de regarder à l'arrière de celle-ci.\\ La marque est indiquée sur l'étiquette comprenant la clé de sécurité wifi.</note> | livebox

24 Mot inconnu : Livebox => Si vous êtes relié à votre Livebox avec un câble ethernet alors, la plupart du temps, il n'y a rien à faire.\\ | livebox
24 Mot inconnu : ethernet => Si vous êtes relié à votre Livebox avec un câble ethernet alors, la plupart du temps, il n'y a rien à faire.\\ | ethernet

33 Mot inconnu : Livebox => Les anciennes Livebox 1.1 avaient la possibilité de connecter un ordinateur à internet au moyen d'un câble USB.\\ | livebox

34 Mot inconnu : ethernet => L’intérêt de cette connexion nous semble dépassé de nos jours en sachant que la plupart des appareils utilisent soit l'ethernet soit le wifi soit les deux  | ethernet
34 Espace(s) en fin de ligne à supprimer. => L’intérêt de cette connexion nous semble dépassé de nos jours en sachant que la plupart des appareils utilisent soit l'ethernet soit le wifi soit les deux  |   => suggestions : ['']

35 Mot inconnu : Livebox => standards. Néanmoins, comme les Livebox de première génération ne possèdent que 2 ports ethernet, l'USB peut toujours servir à connecter un ordinateur supplémentaire. | livebox
35 Mot inconnu : ethernet => standards. Néanmoins, comme les Livebox de première génération ne possèdent que 2 ports ethernet, l'USB peut toujours servir à connecter un ordinateur supplémentaire. | ethernet

43 Mot inconnu : Livebox => ===== Connexion à une Livebox par le Wifi  ===== | livebox
43 Espace(s) surnuméraire(s) à supprimer. => ===== Connexion à une Livebox par le Wifi  ===== |    => suggestions : [' ']

47 Mot inconnu : Livebox => <note important>Si vous possédez l'ancienne (mais néanmoins fonctionnelle) Livebox 1.1, il vous faudra, dans la majorité des cas, appuyer sur le bouton d'association avant de connecter un ordinateur. Consultez la [[#association_avec_les_anciennes_livebox_1.1|section dédiée]].</note> | livebox
47 S’il s’agit d’un impératif, mettez un trait d’union. => <note important>Si vous possédez l'ancienne (mais néanmoins fonctionnelle) Livebox 1.1, il vous faudra, dans la majorité des cas, appuyer sur le bouton d'association avant de connecter un ordinateur. Consultez la [[#association_avec_les_anciennes_livebox_1.1|section dédiée]].</note> | consultez la => suggestions : ['Consultez-la']

51 Mot inconnu : Livebox => Les premières Livebox Thomson-Inventel et Sagem étaient vendues avec des dongles wifi USB (ou bouchons wifi) pour permettre la connexion d'un ordinateur,  ne disposant pas du wifi nativement, à internet. | livebox
51 Mot inconnu : Thomson-Inventel => Les premières Livebox Thomson-Inventel et Sagem étaient vendues avec des dongles wifi USB (ou bouchons wifi) pour permettre la connexion d'un ordinateur,  ne disposant pas du wifi nativement, à internet. | thomson-inventel
51 Mot inconnu : Sagem => Les premières Livebox Thomson-Inventel et Sagem étaient vendues avec des dongles wifi USB (ou bouchons wifi) pour permettre la connexion d'un ordinateur,  ne disposant pas du wifi nativement, à internet. | sagem
51 Accord de nombre erroné avec « des dongles » : « wifi » devrait être au pluriel. => Les premières Livebox Thomson-Inventel et Sagem étaient vendues avec des dongles wifi USB (ou bouchons wifi) pour permettre la connexion d'un ordinateur,  ne disposant pas du wifi nativement, à internet. | wifi => suggestions : ['wifis']
51 Espace(s) surnuméraire(s) à supprimer. => Les premières Livebox Thomson-Inventel et Sagem étaient vendues avec des dongles wifi USB (ou bouchons wifi) pour permettre la connexion d'un ordinateur,  ne disposant pas du wifi nativement, à internet. |    => suggestions : [' ']

57 Mot inconnu : Livebox => ==== Association avec les anciennes Livebox 1.1 ==== | livebox

59 Mot inconnu : Livebox => Par défaut, les anciennes Livebox fabriquées par Sagem ou Inventel, contiennent une protection supplémentaire de la Clé de Sécurité Wifi : le bouton d'association.  | livebox
59 Mot inconnu : Sagem => Par défaut, les anciennes Livebox fabriquées par Sagem ou Inventel, contiennent une protection supplémentaire de la Clé de Sécurité Wifi : le bouton d'association.  | sagem
59 Mot inconnu : Inventel => Par défaut, les anciennes Livebox fabriquées par Sagem ou Inventel, contiennent une protection supplémentaire de la Clé de Sécurité Wifi : le bouton d'association.  | inventel
59 Espace(s) en fin de ligne à supprimer. => Par défaut, les anciennes Livebox fabriquées par Sagem ou Inventel, contiennent une protection supplémentaire de la Clé de Sécurité Wifi : le bouton d'association.  |   => suggestions : ['']

61 Mot inconnu : Livebox => Lorsque vous voulez connecter un appareil à la Livebox par le wifi, il vous faudra appuyer - avant de tenter de se connecter - sur le bouton d'association pour que la Livebox rentre en "mode association" et accepte la connexion. Si le "mode association" n'est pas activé, aucun appareil ne pourra se connecter en wifi même si la clé de sécurité entrée est bonne.  | livebox
61 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Lorsque vous voulez connecter un appareil à la Livebox par le wifi, il vous faudra appuyer - avant de tenter de se connecter - sur le bouton d'association pour que la Livebox rentre en "mode association" et accepte la connexion. Si le "mode association" n'est pas activé, aucun appareil ne pourra se connecter en wifi même si la clé de sécurité entrée est bonne.  |  -  => suggestions : [' – ', ' — ', ' − ']
61 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Lorsque vous voulez connecter un appareil à la Livebox par le wifi, il vous faudra appuyer - avant de tenter de se connecter - sur le bouton d'association pour que la Livebox rentre en "mode association" et accepte la connexion. Si le "mode association" n'est pas activé, aucun appareil ne pourra se connecter en wifi même si la clé de sécurité entrée est bonne.  |  -  => suggestions : [' – ', ' — ', ' − ']
61 Mot inconnu : Livebox => Lorsque vous voulez connecter un appareil à la Livebox par le wifi, il vous faudra appuyer - avant de tenter de se connecter - sur le bouton d'association pour que la Livebox rentre en "mode association" et accepte la connexion. Si le "mode association" n'est pas activé, aucun appareil ne pourra se connecter en wifi même si la clé de sécurité entrée est bonne.  | livebox
61 Guillemets typographiques ouvrants. => Lorsque vous voulez connecter un appareil à la Livebox par le wifi, il vous faudra appuyer - avant de tenter de se connecter - sur le bouton d'association pour que la Livebox rentre en "mode association" et accepte la connexion. Si le "mode association" n'est pas activé, aucun appareil ne pourra se connecter en wifi même si la clé de sécurité entrée est bonne.  | " => suggestions : ['«\xa0', '“']
61 Guillemets typographiques fermants. => Lorsque vous voulez connecter un appareil à la Livebox par le wifi, il vous faudra appuyer - avant de tenter de se connecter - sur le bouton d'association pour que la Livebox rentre en "mode association" et accepte la connexion. Si le "mode association" n'est pas activé, aucun appareil ne pourra se connecter en wifi même si la clé de sécurité entrée est bonne.  | " => suggestions : ['\xa0»', '”']
61 Guillemets typographiques ouvrants. => Lorsque vous voulez connecter un appareil à la Livebox par le wifi, il vous faudra appuyer - avant de tenter de se connecter - sur le bouton d'association pour que la Livebox rentre en "mode association" et accepte la connexion. Si le "mode association" n'est pas activé, aucun appareil ne pourra se connecter en wifi même si la clé de sécurité entrée est bonne.  | " => suggestions : ['«\xa0', '“']
61 Guillemets typographiques fermants. => Lorsque vous voulez connecter un appareil à la Livebox par le wifi, il vous faudra appuyer - avant de tenter de se connecter - sur le bouton d'association pour que la Livebox rentre en "mode association" et accepte la connexion. Si le "mode association" n'est pas activé, aucun appareil ne pourra se connecter en wifi même si la clé de sécurité entrée est bonne.  | " => suggestions : ['\xa0»', '”']
61 Espace(s) en fin de ligne à supprimer. => Lorsque vous voulez connecter un appareil à la Livebox par le wifi, il vous faudra appuyer - avant de tenter de se connecter - sur le bouton d'association pour que la Livebox rentre en "mode association" et accepte la connexion. Si le "mode association" n'est pas activé, aucun appareil ne pourra se connecter en wifi même si la clé de sécurité entrée est bonne.  |   => suggestions : ['']

63 Mot inconnu : Livebox => Pour les Livebox **Inventel**, le bouton d'association est à l'arrière et porte le numéro 1.  | livebox
63 Mot inconnu : Inventel => Pour les Livebox **Inventel**, le bouton d'association est à l'arrière et porte le numéro 1.  | inventel
63 Espace(s) en fin de ligne à supprimer. => Pour les Livebox **Inventel**, le bouton d'association est à l'arrière et porte le numéro 1.  |   => suggestions : ['']

65 Mot inconnu : Livebox => Pour les Livebox **Sagem**, le bouton d'association est en dessous près de la prise de l'adaptateur secteur, ce bouton est labellisé "REG". | livebox
65 Mot inconnu : Sagem => Pour les Livebox **Sagem**, le bouton d'association est en dessous près de la prise de l'adaptateur secteur, ce bouton est labellisé "REG". | sagem
65 Guillemets typographiques ouvrants. => Pour les Livebox **Sagem**, le bouton d'association est en dessous près de la prise de l'adaptateur secteur, ce bouton est labellisé "REG". | " => suggestions : ['«\xa0', '“']
65 Guillemets typographiques fermants. => Pour les Livebox **Sagem**, le bouton d'association est en dessous près de la prise de l'adaptateur secteur, ce bouton est labellisé "REG". | " => suggestions : ['\xa0»', '”']

67 Mot inconnu : Livebox => Après la pression de ce bouton, vous avez quelques minutes pour vous connecter à votre Livebox. Pendant ce temps, le voyant "wifi" de votre Livebox clignotera pour vous signifier qu'elle est en mode association. | livebox
67 Guillemets typographiques ouvrants. => Après la pression de ce bouton, vous avez quelques minutes pour vous connecter à votre Livebox. Pendant ce temps, le voyant "wifi" de votre Livebox clignotera pour vous signifier qu'elle est en mode association. | " => suggestions : ['«\xa0', '“']
67 Guillemets typographiques fermants. => Après la pression de ce bouton, vous avez quelques minutes pour vous connecter à votre Livebox. Pendant ce temps, le voyant "wifi" de votre Livebox clignotera pour vous signifier qu'elle est en mode association. | " => suggestions : ['\xa0»', '”']
67 Mot inconnu : Livebox => Après la pression de ce bouton, vous avez quelques minutes pour vous connecter à votre Livebox. Pendant ce temps, le voyant "wifi" de votre Livebox clignotera pour vous signifier qu'elle est en mode association. | livebox

71 Mot inconnu : Livebox => Pour configurer la Livebox, ouvrir un navigateur et taper http://192.168.1.1. Vous accéderez au menu de configuration interne de la Livebox. La plupart du temps, ce menu ne vous sera pas utile car la Livebox se configure automatiquement. | livebox
71 Mot inconnu : Livebox => Pour configurer la Livebox, ouvrir un navigateur et taper http://192.168.1.1. Vous accéderez au menu de configuration interne de la Livebox. La plupart du temps, ce menu ne vous sera pas utile car la Livebox se configure automatiquement. | livebox
71 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Pour configurer la Livebox, ouvrir un navigateur et taper http://192.168.1.1. Vous accéderez au menu de configuration interne de la Livebox. La plupart du temps, ce menu ne vous sera pas utile car la Livebox se configure automatiquement. |  car => suggestions : [', car']
71 Mot inconnu : Livebox => Pour configurer la Livebox, ouvrir un navigateur et taper http://192.168.1.1. Vous accéderez au menu de configuration interne de la Livebox. La plupart du temps, ce menu ne vous sera pas utile car la Livebox se configure automatiquement. | livebox

75 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Pour accéder à la configuration, vous aurez besoin d'un identifiant et d'un mot de passe. Ceux-ci peuvent être - pour des modèles de Livebox anciens - admin et admin. Pour les modèles plus récents (Livebox 2 et Livebox Play avec le dernier micrologiciel), l'identifiant est admin et le mot de passe correspond aux huit premiers caractères (en majuscule et sans espace) de la clé de sécurité qui se trouve sur l'étiquette au dos de votre Livebox.  |  -  => suggestions : [' – ', ' — ', ' − ']
75 Mot inconnu : Livebox => Pour accéder à la configuration, vous aurez besoin d'un identifiant et d'un mot de passe. Ceux-ci peuvent être - pour des modèles de Livebox anciens - admin et admin. Pour les modèles plus récents (Livebox 2 et Livebox Play avec le dernier micrologiciel), l'identifiant est admin et le mot de passe correspond aux huit premiers caractères (en majuscule et sans espace) de la clé de sécurité qui se trouve sur l'étiquette au dos de votre Livebox.  | livebox
75 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Pour accéder à la configuration, vous aurez besoin d'un identifiant et d'un mot de passe. Ceux-ci peuvent être - pour des modèles de Livebox anciens - admin et admin. Pour les modèles plus récents (Livebox 2 et Livebox Play avec le dernier micrologiciel), l'identifiant est admin et le mot de passe correspond aux huit premiers caractères (en majuscule et sans espace) de la clé de sécurité qui se trouve sur l'étiquette au dos de votre Livebox.  |  -  => suggestions : [' – ', ' — ', ' − ']
75 Mot inconnu : Livebox => Pour accéder à la configuration, vous aurez besoin d'un identifiant et d'un mot de passe. Ceux-ci peuvent être - pour des modèles de Livebox anciens - admin et admin. Pour les modèles plus récents (Livebox 2 et Livebox Play avec le dernier micrologiciel), l'identifiant est admin et le mot de passe correspond aux huit premiers caractères (en majuscule et sans espace) de la clé de sécurité qui se trouve sur l'étiquette au dos de votre Livebox.  | livebox
75 Mot inconnu : Livebox => Pour accéder à la configuration, vous aurez besoin d'un identifiant et d'un mot de passe. Ceux-ci peuvent être - pour des modèles de Livebox anciens - admin et admin. Pour les modèles plus récents (Livebox 2 et Livebox Play avec le dernier micrologiciel), l'identifiant est admin et le mot de passe correspond aux huit premiers caractères (en majuscule et sans espace) de la clé de sécurité qui se trouve sur l'étiquette au dos de votre Livebox.  | livebox
75 Mot inconnu : Play => Pour accéder à la configuration, vous aurez besoin d'un identifiant et d'un mot de passe. Ceux-ci peuvent être - pour des modèles de Livebox anciens - admin et admin. Pour les modèles plus récents (Livebox 2 et Livebox Play avec le dernier micrologiciel), l'identifiant est admin et le mot de passe correspond aux huit premiers caractères (en majuscule et sans espace) de la clé de sécurité qui se trouve sur l'étiquette au dos de votre Livebox.  | play
75 Mot inconnu : Livebox => Pour accéder à la configuration, vous aurez besoin d'un identifiant et d'un mot de passe. Ceux-ci peuvent être - pour des modèles de Livebox anciens - admin et admin. Pour les modèles plus récents (Livebox 2 et Livebox Play avec le dernier micrologiciel), l'identifiant est admin et le mot de passe correspond aux huit premiers caractères (en majuscule et sans espace) de la clé de sécurité qui se trouve sur l'étiquette au dos de votre Livebox.  | livebox
75 Espace(s) en fin de ligne à supprimer. => Pour accéder à la configuration, vous aurez besoin d'un identifiant et d'un mot de passe. Ceux-ci peuvent être - pour des modèles de Livebox anciens - admin et admin. Pour les modèles plus récents (Livebox 2 et Livebox Play avec le dernier micrologiciel), l'identifiant est admin et le mot de passe correspond aux huit premiers caractères (en majuscule et sans espace) de la clé de sécurité qui se trouve sur l'étiquette au dos de votre Livebox.  |   => suggestions : ['']

79 Mot inconnu : Livebox => Les Livebox à partir de la Livebox Mini permettent le partage de périphériques de stockage USB sur le réseau local. | livebox
79 Mot inconnu : Livebox => Les Livebox à partir de la Livebox Mini permettent le partage de périphériques de stockage USB sur le réseau local. | livebox

81 Mot inconnu : NTFS => <note important>Les périphériques USB formatés en NTFS ne fonctionneront qu'en **lecture**.\\ Notez également que les formats  HFS+ et XFS ne sont **pas supportés** par la Livebox.</note> | ntfs
81 Espace(s) surnuméraire(s) à supprimer. => <note important>Les périphériques USB formatés en NTFS ne fonctionneront qu'en **lecture**.\\ Notez également que les formats  HFS+ et XFS ne sont **pas supportés** par la Livebox.</note> |    => suggestions : [' ']
81 Mot inconnu : HFS => <note important>Les périphériques USB formatés en NTFS ne fonctionneront qu'en **lecture**.\\ Notez également que les formats  HFS+ et XFS ne sont **pas supportés** par la Livebox.</note> | hfs
81 Mot inconnu : XFS => <note important>Les périphériques USB formatés en NTFS ne fonctionneront qu'en **lecture**.\\ Notez également que les formats  HFS+ et XFS ne sont **pas supportés** par la Livebox.</note> | xfs
81 Mot inconnu : Livebox => <note important>Les périphériques USB formatés en NTFS ne fonctionneront qu'en **lecture**.\\ Notez également que les formats  HFS+ et XFS ne sont **pas supportés** par la Livebox.</note> | livebox

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Ouvrir Nautilus (votre navigateur de fichiers par défaut sur Ubuntu) |    => suggestions : ['']
83 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Ouvrir Nautilus (votre navigateur de fichiers par défaut sur Ubuntu) |  -  => suggestions : [' – ', ' — ', ' − ']
83 Mot inconnu : Nautilus =>   - Ouvrir Nautilus (votre navigateur de fichiers par défaut sur Ubuntu) | nautilus

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Faites //**__F__ichier->Se Connecter à un __s__erveur...**// |    => suggestions : ['']
84 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Faites //**__F__ichier->Se Connecter à un __s__erveur...**// |  -  => suggestions : [' – ', ' — ', ' − ']
84 Mot inconnu : __F__ichier =>   - Faites //**__F__ichier->Se Connecter à un __s__erveur...**// | __f__ichier
84 Mot inconnu : __s__erveur =>   - Faites //**__F__ichier->Se Connecter à un __s__erveur...**// | __s__erveur
84 Typographie : points de suspension. Utilisez le caractère dédié. =>   - Faites //**__F__ichier->Se Connecter à un __s__erveur...**// | ... => suggestions : ['…']

86 Pas d’espace après ce signe. => ( ou 'disqueusb' est le nom du disque dur tel qui est connu dans l'interface de gestion )  | (  => suggestions : ['(']
86 Guillemets typographiques ouvrants. => ( ou 'disqueusb' est le nom du disque dur tel qui est connu dans l'interface de gestion )  | ' => suggestions : ['“', '‘', '‹']
86 Mot inconnu : disqueusb => ( ou 'disqueusb' est le nom du disque dur tel qui est connu dans l'interface de gestion )  | disqueusb
86 Guillemets typographiques fermants. => ( ou 'disqueusb' est le nom du disque dur tel qui est connu dans l'interface de gestion )  | ' => suggestions : ['”', '’', '›']
86 Pas d’espace avant ce signe. => ( ou 'disqueusb' est le nom du disque dur tel qui est connu dans l'interface de gestion )  |  ) => suggestions : [')']
86 Espace(s) en fin de ligne à supprimer. => ( ou 'disqueusb' est le nom du disque dur tel qui est connu dans l'interface de gestion )  |   => suggestions : ['']

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Appuyer sur le bouton **Se connecter** pour afficher les périphériques USB branchés sur votre Livebox. |    => suggestions : ['']
87 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Appuyer sur le bouton **Se connecter** pour afficher les périphériques USB branchés sur votre Livebox. |  -  => suggestions : [' – ', ' — ', ' − ']
87 Mot inconnu : Livebox =>   - Appuyer sur le bouton **Se connecter** pour afficher les périphériques USB branchés sur votre Livebox. | livebox

91 Mot inconnu : Livebox => <note important>La fonction scanner des imprimantes qui en sont équipées est inutilisable via la connexion USB à la Livebox</note> | livebox

92 Mot inconnu : Livebox => Comme dit précédemment, les Livebox à partir de la Livebox Mini permettent le partage de périphériques USB notamment d'imprimantes sur le réseau local. | livebox
92 Mot inconnu : Livebox => Comme dit précédemment, les Livebox à partir de la Livebox Mini permettent le partage de périphériques USB notamment d'imprimantes sur le réseau local. | livebox

94 Mot inconnu : Livebox => ==== Livebox Mini et Livebox 2 ==== | livebox
94 Mot inconnu : Livebox => ==== Livebox Mini et Livebox 2 ==== | livebox

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Brancher votre imprimante sur le port USB de votre Livebox |    => suggestions : ['']
98 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Brancher votre imprimante sur le port USB de votre Livebox |  -  => suggestions : [' – ', ' — ', ' − ']
98 Mot inconnu : Livebox =>   - Brancher votre imprimante sur le port USB de votre Livebox | livebox

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Cliquer sur "Ajouter" pour ajouter la nouvelle imprimante |    => suggestions : ['']
101 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Cliquer sur "Ajouter" pour ajouter la nouvelle imprimante |  -  => suggestions : [' – ', ' — ', ' − ']
101 Guillemets typographiques ouvrants. =>   - Cliquer sur "Ajouter" pour ajouter la nouvelle imprimante | " => suggestions : ['«\xa0', '“']
101 Guillemets typographiques fermants. =>   - Cliquer sur "Ajouter" pour ajouter la nouvelle imprimante | " => suggestions : ['\xa0»', '”']

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Dans la fenêtre « Nouvelle imprimante : Choisissez le périphérique » : choisir "Imprimante réseau" puis "Protocole d'impression par internet (ipp14)" |    => suggestions : ['']
102 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Dans la fenêtre « Nouvelle imprimante : Choisissez le périphérique » : choisir "Imprimante réseau" puis "Protocole d'impression par internet (ipp14)" |  -  => suggestions : [' – ', ' — ', ' − ']
102 Guillemets typographiques ouvrants. =>   - Dans la fenêtre « Nouvelle imprimante : Choisissez le périphérique » : choisir "Imprimante réseau" puis "Protocole d'impression par internet (ipp14)" | " => suggestions : ['«\xa0', '“']
102 Guillemets typographiques fermants. =>   - Dans la fenêtre « Nouvelle imprimante : Choisissez le périphérique » : choisir "Imprimante réseau" puis "Protocole d'impression par internet (ipp14)" | " => suggestions : ['\xa0»', '”']
102 Guillemets typographiques ouvrants. =>   - Dans la fenêtre « Nouvelle imprimante : Choisissez le périphérique » : choisir "Imprimante réseau" puis "Protocole d'impression par internet (ipp14)" | " => suggestions : ['«\xa0', '“']
102 Mot inconnu : ipp14 =>   - Dans la fenêtre « Nouvelle imprimante : Choisissez le périphérique » : choisir "Imprimante réseau" puis "Protocole d'impression par internet (ipp14)" | ipp14

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Remplir le champ "Hôte" avec |    => suggestions : ['']
103 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Remplir le champ "Hôte" avec |  -  => suggestions : [' – ', ' — ', ' − ']
103 Guillemets typographiques ouvrants. =>   - Remplir le champ "Hôte" avec | " => suggestions : ['«\xa0', '“']
103 Guillemets typographiques fermants. =>   - Remplir le champ "Hôte" avec | " => suggestions : ['\xa0»', '”']

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Pour Ubuntu 17.10 et la livebox 2 : ipp:%%//%%192.168.1.1/ipp?version=1.0 |      => suggestions : ['']
106 Mot inconnu : livebox =>     * Pour Ubuntu 17.10 et la livebox 2 : ipp:%%//%%192.168.1.1/ipp?version=1.0 | livebox
106 Mot inconnu : ipp =>     * Pour Ubuntu 17.10 et la livebox 2 : ipp:%%//%%192.168.1.1/ipp?version=1.0 | ipp
106 Il manque un espace. =>     * Pour Ubuntu 17.10 et la livebox 2 : ipp:%%//%%192.168.1.1/ipp?version=1.0 | version => suggestions : [' version']

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Enfin, choisir dans la liste des drivers disponible, la marque et le modèle de votre imprimante pour l'installer |    => suggestions : ['']
107 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Enfin, choisir dans la liste des drivers disponible, la marque et le modèle de votre imprimante pour l'installer |  -  => suggestions : [' – ', ' — ', ' − ']

113 Mot inconnu : Livebox => ==== Livebox Play ====    | livebox
113 Mot inconnu : Play => ==== Livebox Play ====    | play
113 Espace(s) en fin de ligne à supprimer. => ==== Livebox Play ====    |     => suggestions : ['']

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Brancher votre imprimante sur le port USB de votre Livebox |    => suggestions : ['']
117 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Brancher votre imprimante sur le port USB de votre Livebox |  -  => suggestions : [' – ', ' — ', ' − ']
117 Mot inconnu : Livebox =>   - Brancher votre imprimante sur le port USB de votre Livebox | livebox

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Cliquer sur "Ajouter" pour ajouter la nouvelle imprimante |    => suggestions : ['']
120 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Cliquer sur "Ajouter" pour ajouter la nouvelle imprimante |  -  => suggestions : [' – ', ' — ', ' − ']
120 Guillemets typographiques ouvrants. =>   - Cliquer sur "Ajouter" pour ajouter la nouvelle imprimante | " => suggestions : ['«\xa0', '“']
120 Guillemets typographiques fermants. =>   - Cliquer sur "Ajouter" pour ajouter la nouvelle imprimante | " => suggestions : ['\xa0»', '”']

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Dans la fenêtre « Nouvelle imprimante : Choisissez le périphérique » : choisir "Imprimante réseau" puis "Protocole d'impression par internet (ipp14)" |    => suggestions : ['']
