
4 Mot inconnu : GDM3Setup => ====== GDM3Setup ====== | gdm3setup
89 Guillemets typographiques fermants. => <code bash>wget https://github.com/Nano77/gdm3setup-utils/archive/master.zip -O "gdm3setup-utils.zip"</code> | " => suggestions : ['\xa0»', '”']
90 Guillemets typographiques ouvrants. => <code bash>wget https://github.com/Nano77/gdm3setup/archive/master.zip -O "gdm3setup.zip"</code> | " => suggestions : ['«\xa0', '“']
90 Il manque un espace. => <code bash>wget https://github.com/Nano77/gdm3setup/archive/master.zip -O "gdm3setup.zip"</code> | zip => suggestions : [' zip']
90 Guillemets typographiques fermants. => <code bash>wget https://github.com/Nano77/gdm3setup/archive/master.zip -O "gdm3setup.zip"</code> | " => suggestions : ['\xa0»', '”']

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Désarchivez-les dans leur sous-dossier respectif en utilisant la commande "Extraire vers..." du clic-droit souris ;) |    => suggestions : ['']
91 Guillemets typographiques ouvrants. =>   * Désarchivez-les dans leur sous-dossier respectif en utilisant la commande "Extraire vers..." du clic-droit souris ;) | " => suggestions : ['«\xa0', '“']
91 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Désarchivez-les dans leur sous-dossier respectif en utilisant la commande "Extraire vers..." du clic-droit souris ;) | ... => suggestions : ['…']
91 Guillemets typographiques fermants. =>   * Désarchivez-les dans leur sous-dossier respectif en utilisant la commande "Extraire vers..." du clic-droit souris ;) | " => suggestions : ['\xa0»', '”']
95 Mot inconnu : Tahr => ==== Utilisation sous Ubuntu Trusty Tahr ==== | tahr

100 Mot inconnu : GDM3setup => la fenêtre de GDM3setup s’ouvre: | gdm3setup
111 Mot inconnu : Beaver => ==== Utilisation sous Ubuntu Bionic Beaver (Gnome 3.28.1) ==== | beaver

113 Guillemets typographiques ouvrants. => Pour lancer l'application, il vous suffit de cliquer sur le menu "Activités" ou le bouton "Afficher les applications" , et de rechercher "gdm3setup" : l'application se présente sous l'appellation "Paramètres de l'écran de connexion". | " => suggestions : ['«\xa0', '“']
113 Guillemets typographiques fermants. => Pour lancer l'application, il vous suffit de cliquer sur le menu "Activités" ou le bouton "Afficher les applications" , et de rechercher "gdm3setup" : l'application se présente sous l'appellation "Paramètres de l'écran de connexion". | " => suggestions : ['\xa0»', '”']
113 Guillemets typographiques ouvrants. => Pour lancer l'application, il vous suffit de cliquer sur le menu "Activités" ou le bouton "Afficher les applications" , et de rechercher "gdm3setup" : l'application se présente sous l'appellation "Paramètres de l'écran de connexion". | " => suggestions : ['«\xa0', '“']
113 Guillemets typographiques fermants. => Pour lancer l'application, il vous suffit de cliquer sur le menu "Activités" ou le bouton "Afficher les applications" , et de rechercher "gdm3setup" : l'application se présente sous l'appellation "Paramètres de l'écran de connexion". | " => suggestions : ['\xa0»', '”']
113 Pas d’espace avant une virgule. => Pour lancer l'application, il vous suffit de cliquer sur le menu "Activités" ou le bouton "Afficher les applications" , et de rechercher "gdm3setup" : l'application se présente sous l'appellation "Paramètres de l'écran de connexion". |  , => suggestions : [',']
113 Guillemets typographiques ouvrants. => Pour lancer l'application, il vous suffit de cliquer sur le menu "Activités" ou le bouton "Afficher les applications" , et de rechercher "gdm3setup" : l'application se présente sous l'appellation "Paramètres de l'écran de connexion". | " => suggestions : ['«\xa0', '“']
113 Mot inconnu : gdm3setup => Pour lancer l'application, il vous suffit de cliquer sur le menu "Activités" ou le bouton "Afficher les applications" , et de rechercher "gdm3setup" : l'application se présente sous l'appellation "Paramètres de l'écran de connexion". | gdm3setup
113 Guillemets typographiques fermants. => Pour lancer l'application, il vous suffit de cliquer sur le menu "Activités" ou le bouton "Afficher les applications" , et de rechercher "gdm3setup" : l'application se présente sous l'appellation "Paramètres de l'écran de connexion". | " => suggestions : ['\xa0»', '”']
113 Guillemets typographiques ouvrants. => Pour lancer l'application, il vous suffit de cliquer sur le menu "Activités" ou le bouton "Afficher les applications" , et de rechercher "gdm3setup" : l'application se présente sous l'appellation "Paramètres de l'écran de connexion". | " => suggestions : ['«\xa0', '“']
113 Guillemets typographiques fermants. => Pour lancer l'application, il vous suffit de cliquer sur le menu "Activités" ou le bouton "Afficher les applications" , et de rechercher "gdm3setup" : l'application se présente sous l'appellation "Paramètres de l'écran de connexion". | " => suggestions : ['\xa0»', '”']

118 Mot inconnu : gdm3setup => **Nota :** gdm3setup ne permet pas de modifier le fond d'écran de gdm3 sous Ubuntu Bionic Beaver. | gdm3setup
118 Mot inconnu : gdm3 => **Nota :** gdm3setup ne permet pas de modifier le fond d'écran de gdm3 sous Ubuntu Bionic Beaver. | gdm3
118 Mot inconnu : Beaver => **Nota :** gdm3setup ne permet pas de modifier le fond d'écran de gdm3 sous Ubuntu Bionic Beaver. | beaver

120 Mot inconnu : GDM => GDM 3.28.1 autorise la modification directe du fichier de configuration "/usr/share/gnome-shell/theme/gdm3.css" qui pointe effectivement sur "ubuntu.css" du même dossier. | gdm
120 Guillemets typographiques fermants. => GDM 3.28.1 autorise la modification directe du fichier de configuration "/usr/share/gnome-shell/theme/gdm3.css" qui pointe effectivement sur "ubuntu.css" du même dossier. | " => suggestions : ['\xa0»', '”']
120 Guillemets typographiques ouvrants. => GDM 3.28.1 autorise la modification directe du fichier de configuration "/usr/share/gnome-shell/theme/gdm3.css" qui pointe effectivement sur "ubuntu.css" du même dossier. | " => suggestions : ['«\xa0', '“']
120 Mot inconnu : css => GDM 3.28.1 autorise la modification directe du fichier de configuration "/usr/share/gnome-shell/theme/gdm3.css" qui pointe effectivement sur "ubuntu.css" du même dossier. | css
120 Guillemets typographiques fermants. => GDM 3.28.1 autorise la modification directe du fichier de configuration "/usr/share/gnome-shell/theme/gdm3.css" qui pointe effectivement sur "ubuntu.css" du même dossier. | " => suggestions : ['\xa0»', '”']

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Éditez en administrateur ce fichier |    => suggestions : ['']

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cherchez l'occurrence "lockdialog" (nano : raccouci clavier Ctrl+w) |    => suggestions : ['']
124 Guillemets typographiques ouvrants. =>   * Cherchez l'occurrence "lockdialog" (nano : raccouci clavier Ctrl+w) | " => suggestions : ['«\xa0', '“']
124 Mot inconnu : lockdialog =>   * Cherchez l'occurrence "lockdialog" (nano : raccouci clavier Ctrl+w) | lockdialog
124 Guillemets typographiques fermants. =>   * Cherchez l'occurrence "lockdialog" (nano : raccouci clavier Ctrl+w) | " => suggestions : ['\xa0»', '”']
124 Mot inconnu : nano =>   * Cherchez l'occurrence "lockdialog" (nano : raccouci clavier Ctrl+w) | nano
124 Mot inconnu : raccouci =>   * Cherchez l'occurrence "lockdialog" (nano : raccouci clavier Ctrl+w) | raccouci

130 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * les termes **background: #000000** donnent la couleur du fond en cas de "mauvaise image" |    => suggestions : ['']
130 Formatage des grands nombres. =>   * les termes **background: #000000** donnent la couleur du fond en cas de "mauvaise image" | 000000 => suggestions : ['000\xa0000', '00\xa00000']
130 Guillemets typographiques ouvrants. =>   * les termes **background: #000000** donnent la couleur du fond en cas de "mauvaise image" | " => suggestions : ['«\xa0', '“']
130 Guillemets typographiques fermants. =>   * les termes **background: #000000** donnent la couleur du fond en cas de "mauvaise image" | " => suggestions : ['\xa0»', '”']

131 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * les termes **url(/home/me/Images/maxresdefault.jpg)** designent la localisation complète et exacte de l'image |    => suggestions : ['']
131 Mot inconnu : url =>   * les termes **url(/home/me/Images/maxresdefault.jpg)** designent la localisation complète et exacte de l'image | url
131 Il manque un espace avant la parenthèse. =>   * les termes **url(/home/me/Images/maxresdefault.jpg)** designent la localisation complète et exacte de l'image | ( => suggestions : [' (']
131 Mot inconnu : designent =>   * les termes **url(/home/me/Images/maxresdefault.jpg)** designent la localisation complète et exacte de l'image | designent

132 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le terme **no-repeat** définit une image non mosaique |    => suggestions : ['']
132 Mot inconnu : no-repeat =>   * le terme **no-repeat** définit une image non mosaique | no-repeat
132 Mot inconnu : mosaique =>   * le terme **no-repeat** définit une image non mosaique | mosaique

133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * redémarrez complètement (reboot) pour prendre en compte les changements |    => suggestions : ['']
133 Mot inconnu : reboot =>   * redémarrez complètement (reboot) pour prendre en compte les changements | reboot

135 Mot inconnu : GDM => **Nota 2 :** GDM peut afficher des images aux formats jpg ou png, de resolution élevée (1280*720), localisée dans une zone administrateur (/usr/share/backgrounds) ou utilisateur ($HOME/Images). | gdm
135 Mot inconnu : resolution => **Nota 2 :** GDM peut afficher des images aux formats jpg ou png, de resolution élevée (1280*720), localisée dans une zone administrateur (/usr/share/backgrounds) ou utilisateur ($HOME/Images). | resolution
135 Signe de multiplication typographique. => **Nota 2 :** GDM peut afficher des images aux formats jpg ou png, de resolution élevée (1280*720), localisée dans une zone administrateur (/usr/share/backgrounds) ou utilisateur ($HOME/Images). | 1280*720 => suggestions : ['1280\xa0×\xa0720']
135 Accord de genre erroné : « une zone » est féminin, « administrateur » est masculin. => **Nota 2 :** GDM peut afficher des images aux formats jpg ou png, de resolution élevée (1280*720), localisée dans une zone administrateur (/usr/share/backgrounds) ou utilisateur ($HOME/Images). | administrateur => suggestions : ['administratrice']

138 Mot inconnu : gdm3setup => Si vous avez installé en compilant, il vous suffit de désinstaller gdm3setup et gdm3setup-utils | gdm3setup
138 Mot inconnu : gdm3setup-utils => Si vous avez installé en compilant, il vous suffit de désinstaller gdm3setup et gdm3setup-utils | gdm3setup-utils

139 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * allez dans le dossier de l'archive gdm3setup |    => suggestions : ['']
139 Mot inconnu : gdm3setup =>   * allez dans le dossier de l'archive gdm3setup | gdm3setup

141 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * allez dans le dossier de l'archive gdm3setup-utils |    => suggestions : ['']
141 Mot inconnu : gdm3setup-utils =>   * allez dans le dossier de l'archive gdm3setup-utils | gdm3setup-utils

143 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[tutoriel:comment_supprimer_un_paquet|désinstallez]] au choix python-dbus et python-lxml |    => suggestions : ['']
143 Il manque un espace. =>   * [[tutoriel:comment_supprimer_un_paquet|désinstallez]] au choix python-dbus et python-lxml | comment_supprimer_un_paquet => suggestions : [' comment_supprimer_un_paquet']
143 Mot inconnu : comment_supprimer_un_paquet =>   * [[tutoriel:comment_supprimer_un_paquet|désinstallez]] au choix python-dbus et python-lxml | comment_supprimer_un_paquet
143 Mot inconnu : python-dbus =>   * [[tutoriel:comment_supprimer_un_paquet|désinstallez]] au choix python-dbus et python-lxml | python-dbus
143 Mot inconnu : python-lxml =>   * [[tutoriel:comment_supprimer_un_paquet|désinstallez]] au choix python-dbus et python-lxml | python-lxml

147 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://github.com/Nano77/gdm3setup|GitHub]]. |    => suggestions : ['']

148 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://doc.ubuntu-fr.org/tutoriel/changer_arriere_plan_gdm |    => suggestions : ['']
