
3 Mot inconnu : Inspiron => ====== Dell Inspiron 7490 ====== | inspiron
16 Typographie : points de suspension. Utilisez le caractère dédié. => J'ai pu tester ce pc assez profondément, et à ma connaissance, tout fonctionne bien. La batterie tient bien après installation de tlp et configuration du pilote nvidia, le son fonctionne bien, les différents ports fonctionnent, le choix de la luminosité fonctionne, le rétroéclairage fonctionne... Le matériel dans ce pc étant assez classique, il ne devrait pas y avoir de problèmes particuliers. | ... => suggestions : ['…']

19 Mot inconnu : AHCI => Sur les pc récents, deux modes sont proposés : le mode RAID et le mode AHCI. Ces deux modes sont une manière de voir le ou les disques durs internes. | ahci
26 Mot inconnu : endless => <note>En réalité les noyaux venant de toutes les distributions Linux sont incompatibles avec le mode RAID, sauf une: endless OS. L'idée est donc d'utiliser les noyaux de cette distribution et de les injecter dans sa distribution Linux préférée.</note> | endless

28 Mot inconnu : AHCI => <note>En réalité, ce pc a le mode AHCI mais il n'est pas accessible (et n'a probablement jamais été testé, donc à éviter)</note> | ahci
28 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => <note>En réalité, ce pc a le mode AHCI mais il n'est pas accessible (et n'a probablement jamais été testé, donc à éviter)</note> |  mais => suggestions : [', mais']

31 Guillemets typographiques ouvrants. => On peut remarquer lorsqu'on démarre ce pc sur une clé d'installation classique d'Ubuntu le fait que le SSD n'est pas vu, ce qui empêche donc l'installation. Hormis ce "petit" détail, tout fonctionne bien en live-usb. | " => suggestions : ['«\xa0', '“']
31 Guillemets typographiques fermants. => On peut remarquer lorsqu'on démarre ce pc sur une clé d'installation classique d'Ubuntu le fait que le SSD n'est pas vu, ce qui empêche donc l'installation. Hormis ce "petit" détail, tout fonctionne bien en live-usb. | " => suggestions : ['\xa0»', '”']
31 Mot inconnu : live-usb => On peut remarquer lorsqu'on démarre ce pc sur une clé d'installation classique d'Ubuntu le fait que le SSD n'est pas vu, ce qui empêche donc l'installation. Hormis ce "petit" détail, tout fonctionne bien en live-usb. | live-usb

37 Guillemets typographiques ouvrants. => l'apparition de l'erreur "change BIOS mode from RAID to AHCI". | " => suggestions : ['«\xa0', '“']
37 Mot inconnu : from => l'apparition de l'erreur "change BIOS mode from RAID to AHCI". | from
37 Mot inconnu : to => l'apparition de l'erreur "change BIOS mode from RAID to AHCI". | to
37 Mot inconnu : AHCI => l'apparition de l'erreur "change BIOS mode from RAID to AHCI". | ahci
37 Guillemets typographiques fermants. => l'apparition de l'erreur "change BIOS mode from RAID to AHCI". | " => suggestions : ['\xa0»', '”']
39 Mot inconnu : usb => Un autre problème touche ce pc: sur d'anciennes versions du BIOS, on ne peut pas démarrer sur un live usb d'ubuntu, il faut auparavant mettre à jour le BIOS. | usb

41 Mot inconnu : UEFI => <note important>Ce pc n'est compatible qu'avec le mode UEFI, il n'y a pas de mode legacy</note> | uefi
41 Mot inconnu : legacy => <note important>Ce pc n'est compatible qu'avec le mode UEFI, il n'y a pas de mode legacy</note> | legacy

54 Mot inconnu : usb => Il faut préparer la clé usb qui permettra l'installation d'Ubuntu. En premier lieu téléchargez l'iso d'Ubuntu de votre choix. | usb
54 Mot inconnu : iso => Il faut préparer la clé usb qui permettra l'installation d'Ubuntu. En premier lieu téléchargez l'iso d'Ubuntu de votre choix. | iso

56 Mot inconnu : cubic => Ensuite on peut installer cubic qui permettra de personnaliser l'iso : | cubic
56 Mot inconnu : iso => Ensuite on peut installer cubic qui permettra de personnaliser l'iso : | iso

61 Mot inconnu : cubic => Lancer cubic, indiquer l'iso téléchargée, continuer jusqu'au terminal, puis copier coller le contenu entier suivant puis appuyer sur entrée pour valider. | cubic
61 Mot inconnu : iso => Lancer cubic, indiquer l'iso téléchargée, continuer jusqu'au terminal, puis copier coller le contenu entier suivant puis appuyer sur entrée pour valider. | iso

84 Mot inconnu : usb => Cela permettra d'installer sur le live usb le noyau contenant le patch noyau rendant compatible Linux avec le mode RAID, et permet d'utiliser le dépôt d'endless OS uniquement pour mettre à jour le noyau, et uniquement le noyau. | usb
84 Mot inconnu : endless => Cela permettra d'installer sur le live usb le noyau contenant le patch noyau rendant compatible Linux avec le mode RAID, et permet d'utiliser le dépôt d'endless OS uniquement pour mettre à jour le noyau, et uniquement le noyau. | endless

86 Mot inconnu : cubic => Une fois que le terminal a rendu la main, vous pouvez continuer, cubic vous demande quel noyau choisir, bien évidemment choisissez le noyau qui vient d'être installé (le plus récent). | cubic

87 Mot inconnu : iso => Vous pouvez continuer avec les paramètres par défaut pour obtenir l'iso modifiée tant recherchée. | iso

94 Mot inconnu : nvidia => Vous pouvez maintenant installer le pilote nvidia, redémarrer et aller dans Nvidia Settings pour passer sur les graphiques intégrés au processeur afin de faire diminuer la température du pc. | nvidia
94 Mot inconnu : Settings => Vous pouvez maintenant installer le pilote nvidia, redémarrer et aller dans Nvidia Settings pour passer sur les graphiques intégrés au processeur afin de faire diminuer la température du pc. | settings
96 Mot inconnu : tlp => Vous pouvez aussi installer le paquet **[[apt>tlp]]** et redémarrer afin d'avoir une meilleure autonomie. | tlp

98 Mot inconnu : TODO => TODO: HWE à virer? | todo
98 Mot inconnu : HWE => TODO: HWE à virer? | hwe

101 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A ma connaissance, il y a 3 solutions pour ce pc autre que celle expliquée ici: | a => suggestions : ['À']
107 Mot inconnu : Nuliel => Auteur: Nuliel | nuliel
