
16 Mot inconnu : frontend [[25:33]] => ==== Interfaces simples (frontend) ===== <|> frontend
143 Mot inconnu : Sox [[0:3]] => Sox, pour lire le flux audio, engendre des problèmes de sons entre OSS et ALSA (plus de son dans VLC et Skype quand sox tourne). Pour éviter cela, il faut lire le flux sonore de la carte avec alsa (et non OSS) en utilisant vlc avec la commande suivante :  <|> sox
143 Mot inconnu : ALSA [[74:78]] => Sox, pour lire le flux audio, engendre des problèmes de sons entre OSS et ALSA (plus de son dans VLC et Skype quand sox tourne). Pour éviter cela, il faut lire le flux sonore de la carte avec alsa (et non OSS) en utilisant vlc avec la commande suivante :  <|> alsa
143 Mot inconnu : VLC [[97:100]] => Sox, pour lire le flux audio, engendre des problèmes de sons entre OSS et ALSA (plus de son dans VLC et Skype quand sox tourne). Pour éviter cela, il faut lire le flux sonore de la carte avec alsa (et non OSS) en utilisant vlc avec la commande suivante :  <|> vlc
143 Mot inconnu : Skype [[104:109]] => Sox, pour lire le flux audio, engendre des problèmes de sons entre OSS et ALSA (plus de son dans VLC et Skype quand sox tourne). Pour éviter cela, il faut lire le flux sonore de la carte avec alsa (et non OSS) en utilisant vlc avec la commande suivante :  <|> skype
143 Mot inconnu : sox [[116:119]] => Sox, pour lire le flux audio, engendre des problèmes de sons entre OSS et ALSA (plus de son dans VLC et Skype quand sox tourne). Pour éviter cela, il faut lire le flux sonore de la carte avec alsa (et non OSS) en utilisant vlc avec la commande suivante :  <|> sox
143 Mot inconnu : alsa [[192:196]] => Sox, pour lire le flux audio, engendre des problèmes de sons entre OSS et ALSA (plus de son dans VLC et Skype quand sox tourne). Pour éviter cela, il faut lire le flux sonore de la carte avec alsa (et non OSS) en utilisant vlc avec la commande suivante :  <|> alsa
143 Mot inconnu : vlc [[223:226]] => Sox, pour lire le flux audio, engendre des problèmes de sons entre OSS et ALSA (plus de son dans VLC et Skype quand sox tourne). Pour éviter cela, il faut lire le flux sonore de la carte avec alsa (et non OSS) en utilisant vlc avec la commande suivante :  <|> vlc
143 Espace(s) en fin de ligne à supprimer. [[254:255]] => Sox, pour lire le flux audio, engendre des problèmes de sons entre OSS et ALSA (plus de son dans VLC et Skype quand sox tourne). Pour éviter cela, il faut lire le flux sonore de la carte avec alsa (et non OSS) en utilisant vlc avec la commande suivante :  <|>   => suggestions : ['']

147 Il manque un espace à côté du tiret. [[2:4]] => le -I dummy c'est pour cacher l'interface.  <|>  - => suggestions : [' – ', ' — ']
147 Mot inconnu : dummy [[6:11]] => le -I dummy c'est pour cacher l'interface.  <|> dummy
147 Espace(s) en fin de ligne à supprimer. [[42:43]] => le -I dummy c'est pour cacher l'interface.  <|>   => suggestions : ['']

148 Mot inconnu : v4l2-adev [[0:9]] => v4l2-adev  pour audio device, et hw.1, c'est la carte son du tuner (donné avec la commande "cat /proc/asound/cards", comme déjà dit ci-dessus) (hw.0 serait celle de l'ordinateur). <|> v4l2-adev
148 Espace(s) surnuméraire(s) à supprimer. [[9:11]] => v4l2-adev  pour audio device, et hw.1, c'est la carte son du tuner (donné avec la commande "cat /proc/asound/cards", comme déjà dit ci-dessus) (hw.0 serait celle de l'ordinateur). <|>    => suggestions : [' ']
148 Mot inconnu : device [[22:28]] => v4l2-adev  pour audio device, et hw.1, c'est la carte son du tuner (donné avec la commande "cat /proc/asound/cards", comme déjà dit ci-dessus) (hw.0 serait celle de l'ordinateur). <|> device
148 Mot inconnu : hw [[33:35]] => v4l2-adev  pour audio device, et hw.1, c'est la carte son du tuner (donné avec la commande "cat /proc/asound/cards", comme déjà dit ci-dessus) (hw.0 serait celle de l'ordinateur). <|> hw
148 Guillemets typographiques ouvrants. [[91:92]] => v4l2-adev  pour audio device, et hw.1, c'est la carte son du tuner (donné avec la commande "cat /proc/asound/cards", comme déjà dit ci-dessus) (hw.0 serait celle de l'ordinateur). <|> " => suggestions : ['«\xa0', '“']
148 Mot inconnu : cat [[92:95]] => v4l2-adev  pour audio device, et hw.1, c'est la carte son du tuner (donné avec la commande "cat /proc/asound/cards", comme déjà dit ci-dessus) (hw.0 serait celle de l'ordinateur). <|> cat
148 Mot inconnu : proc [[97:101]] => v4l2-adev  pour audio device, et hw.1, c'est la carte son du tuner (donné avec la commande "cat /proc/asound/cards", comme déjà dit ci-dessus) (hw.0 serait celle de l'ordinateur). <|> proc
148 Mot inconnu : asound [[102:108]] => v4l2-adev  pour audio device, et hw.1, c'est la carte son du tuner (donné avec la commande "cat /proc/asound/cards", comme déjà dit ci-dessus) (hw.0 serait celle de l'ordinateur). <|> asound
148 Mot inconnu : cards [[109:114]] => v4l2-adev  pour audio device, et hw.1, c'est la carte son du tuner (donné avec la commande "cat /proc/asound/cards", comme déjà dit ci-dessus) (hw.0 serait celle de l'ordinateur). <|> cards
148 Guillemets typographiques fermants. [[114:115]] => v4l2-adev  pour audio device, et hw.1, c'est la carte son du tuner (donné avec la commande "cat /proc/asound/cards", comme déjà dit ci-dessus) (hw.0 serait celle de l'ordinateur). <|> " => suggestions : ['\xa0»', '”']
148 Mot inconnu : hw [[144:146]] => v4l2-adev  pour audio device, et hw.1, c'est la carte son du tuner (donné avec la commande "cat /proc/asound/cards", comme déjà dit ci-dessus) (hw.0 serait celle de l'ordinateur). <|> hw

150 Mot inconnu : Alsa [[44:48]] => Ainsi plus de problèmes de son entre OSS et Alsa.. <|> alsa
150 Typographie : un ou trois points ? [[48:50]] => Ainsi plus de problèmes de son entre OSS et Alsa.. <|> .. => suggestions : ['…', '.']

154 Mot inconnu : VLC [[10:13]] => ==== Avec VLC ==== <|> vlc
166 Espace(s) surnuméraire(s) à supprimer. [[39:41]] =>   * Exemple : **Nom du périphérique** :  **/dev/video0.** <|>    => suggestions : [' ']
172 Espace(s) en fin de ligne à supprimer. [[13:14]] =>   * Exemple :  <|>   => suggestions : ['']

178 Mot inconnu : VLC [[26:29]] => Enregistrez et relancez **VLC** pour validez les changements. <|> vlc
178 Après la préposition “pour”, le verbe devrait être à l’infinitif. [[37:44]] => Enregistrez et relancez **VLC** pour validez les changements. <|> validez => suggestions : ['valider']

181 Mot inconnu : VLC [[20:23]] => Testez en ouvrant **VLC** et en cliquant sur : **Média** \  **ouvrir un périphérique de capture** \ **lire.** <|> vlc

184 Mot inconnu : Mplayer [[10:17]] => ==== Avec Mplayer ==== <|> mplayer

191 Mot inconnu : Norm [[86:90]] => Modifiez le numéro de **Input** en fonction de l'entrée que vous voulez utiliser et **Norm** en fonction de la source d'acquisition. <|> norm
193 Espace(s) en fin de ligne à supprimer. [[13:14]] =>   * Exemple :  <|>   => suggestions : ['']

198 Espace(s) en fin de ligne à supprimer. [[135:136]] => <note important>L'exemple tel qu'il est présenté effectuera un enregistrement sans compression et générera un fichier de grande taille.  <|>   => suggestions : ['']

202 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  Il vous faudra sans doute modifier :  <|>   => suggestions : ['']
202 Espace(s) en fin de ligne à supprimer. [[37:38]] =>  Il vous faudra sans doute modifier :  <|>   => suggestions : ['']
204 Mot inconnu : dsp [[21:24]] =>   * les valeurs de **dsp** et **input** en fonction de votre carte et de l'entrée que vous souhaitez sélectionner . <|> dsp
206 Mot inconnu : endpos [[19:25]] =>   * la valeur de **endpos** en fonction de la durée de l'enregistrement. <|> endpos

207 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']
208 Mot inconnu : Norm [[6:10]] =>   * **Norm** en fonction de la source d'acquisition. <|> norm

228 Accord de nombre erroné avec « 8 » : « orientable » devrait être au pluriel. [[179:189]] => Les antennes intérieures les mieux adaptées pour la TNT sont souvent les plus basiques, particulièrement celles composées d'un disque en métal grillagé avec devant une sorte de 8 orientable. Les parties télescopiques des antennes intérieures ne servent que pour la radio FM, inutile de les manipuler dans tous les sens pour la réception TV. <|> orientable => suggestions : ['orientables']
234 Mot inconnu : Kaffeine [[218:226]] => <note tip>**Concernant les programmes en clair des chaînes Canal+, Canal + Sport et Paris Première ** : il suffit de lancer une recherche des chaînes pendant les heures de diffusion en clair. Le logiciel (par exemple, Kaffeine) identifiera ces chaînes comme non cryptées et, aux heures de diffusion en clair, on aura bien l'image et le son. Horaires en clair : Canal+ Sport : le soir vers 18 h jusqu’à 20 h 30) ; Paris Première (vers 18 h jusqu’à 20 h 45).</note> <|> kaffeine
