
10 Mot inconnu : x11vnc => ===== Installation de x11vnc pour les clients LTSP ===== | x11vnc
15 Mot inconnu : chroot => Il faut se mettre dans l'environnement "chroot" des clients LTSP. | chroot
15 Guillemets typographiques fermants. => Il faut se mettre dans l'environnement "chroot" des clients LTSP. | " => suggestions : ['\xa0»', '”']
15 Mot inconnu : LTSP => Il faut se mettre dans l'environnement "chroot" des clients LTSP. | ltsp

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo cp /etc/apt/sources.list /opt/ltsp/i386/etc/apt/sources.list |    => suggestions : ['']
17 Mot inconnu : sudo =>   sudo cp /etc/apt/sources.list /opt/ltsp/i386/etc/apt/sources.list | sudo
17 Mot inconnu : cp =>   sudo cp /etc/apt/sources.list /opt/ltsp/i386/etc/apt/sources.list | cp

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chroot /opt/ltsp/i386 |    => suggestions : ['']
18 Mot inconnu : sudo =>   sudo chroot /opt/ltsp/i386 | sudo
18 Mot inconnu : chroot =>   sudo chroot /opt/ltsp/i386 | chroot

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   apt-get update |    => suggestions : ['']
19 Mot inconnu : apt-get =>   apt-get update | apt-get
19 Mot inconnu : update =>   apt-get update | update

22 Mot inconnu : x11vnc => Installation du paquet x11vnc | x11vnc

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   apt-get install x11vnc |    => suggestions : ['']
24 Mot inconnu : apt-get =>   apt-get install x11vnc | apt-get
24 Mot inconnu : install =>   apt-get install x11vnc | install
24 Mot inconnu : x11vnc =>   apt-get install x11vnc | x11vnc

26 Mot inconnu : rc => Maintenant éditez le fichier rc.local pour activer x11vnc au démarrage | rc
26 Il manque un espace. => Maintenant éditez le fichier rc.local pour activer x11vnc au démarrage | local => suggestions : [' local']
26 Mot inconnu : x11vnc => Maintenant éditez le fichier rc.local pour activer x11vnc au démarrage | x11vnc

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   vi /etc/rc.local |    => suggestions : ['']
28 Mot inconnu : vi =>   vi /etc/rc.local | vi

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   x11vnc -display :6 -forever -loop -shared & |    => suggestions : ['']
32 Mot inconnu : x11vnc =>   x11vnc -display :6 -forever -loop -shared & | x11vnc
32 Il manque un espace à côté du tiret. =>   x11vnc -display :6 -forever -loop -shared & |  - => suggestions : [' – ', ' — ']
32 Mot inconnu : display =>   x11vnc -display :6 -forever -loop -shared & | display
32 Il manque un espace à côté du tiret. =>   x11vnc -display :6 -forever -loop -shared & |  - => suggestions : [' – ', ' — ']
32 Mot inconnu : forever =>   x11vnc -display :6 -forever -loop -shared & | forever
32 Mot inconnu : loop =>   x11vnc -display :6 -forever -loop -shared & | loop
32 Mot inconnu : shared =>   x11vnc -display :6 -forever -loop -shared & | shared

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd /etc/rc2.d |    => suggestions : ['']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mv K99rc.local S99rc.local |    => suggestions : ['']
37 Mot inconnu : mv =>   mv K99rc.local S99rc.local | mv
37 Mot inconnu : K99rc =>   mv K99rc.local S99rc.local | k99rc
37 Il manque un espace. =>   mv K99rc.local S99rc.local | local => suggestions : [' local']
37 Mot inconnu : S99rc =>   mv K99rc.local S99rc.local | s99rc
37 Il manque un espace. =>   mv K99rc.local S99rc.local | local => suggestions : [' local']

39 Guillemets typographiques ouvrants. => Pour sortir de l'environnement "chroot" des clients légers, tapez: | " => suggestions : ['«\xa0', '“']
39 Mot inconnu : chroot => Pour sortir de l'environnement "chroot" des clients légers, tapez: | chroot
39 Guillemets typographiques fermants. => Pour sortir de l'environnement "chroot" des clients légers, tapez: | " => suggestions : ['\xa0»', '”']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   exit |    => suggestions : ['']

43 Mot inconnu : Edubuntu => Si vous utilisez Ubuntu/Edubuntu 7.10 et au delà, mettez à jour l'image LTSP, en tapant:  | edubuntu
43 Il manque un trait d’union. => Si vous utilisez Ubuntu/Edubuntu 7.10 et au delà, mettez à jour l'image LTSP, en tapant:  | au delà => suggestions : ['au-delà']
43 Mot inconnu : LTSP => Si vous utilisez Ubuntu/Edubuntu 7.10 et au delà, mettez à jour l'image LTSP, en tapant:  | ltsp
43 Espace(s) en fin de ligne à supprimer. => Si vous utilisez Ubuntu/Edubuntu 7.10 et au delà, mettez à jour l'image LTSP, en tapant:  |   => suggestions : ['']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ltsp-update-image |    => suggestions : ['']
45 Mot inconnu : sudo =>   sudo ltsp-update-image | sudo
45 Mot inconnu : ltsp-update-image =>   sudo ltsp-update-image | ltsp-update-image

47 Mot inconnu : i386 => Si vous utilisez une image i386 sur un AMD64, la commande est alors: | i386
47 Mot inconnu : AMD64 => Si vous utilisez une image i386 sur un AMD64, la commande est alors: | amd64

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ltsp-update-image --arch i386 |    => suggestions : ['']
49 Mot inconnu : sudo =>   sudo ltsp-update-image --arch i386 | sudo
49 Mot inconnu : ltsp-update-image =>   sudo ltsp-update-image --arch i386 | ltsp-update-image
49 Mot inconnu : arch =>   sudo ltsp-update-image --arch i386 | arch
49 Mot inconnu : i386 =>   sudo ltsp-update-image --arch i386 | i386

51 Forme interrogative ? Mettez un trait d’union. => Redémarrez vos clients légers et connectez vous sur les sessions via vnc. | connectez vous => suggestions : ['connectez-vous']
51 Mot inconnu : vnc => Redémarrez vos clients légers et connectez vous sur les sessions via vnc. | vnc
