
4 Mot inconnu : RaConfig => ====== RaConfig ====== | raconfig
36 Mot inconnu : RESCAN => Si aucun réseau n'est configuré, utilisez la fonction **RESCAN**, puis  **ADD PROFILE** en choisissant votre point d'accès. | rescan
36 Espace(s) surnuméraire(s) à supprimer. => Si aucun réseau n'est configuré, utilisez la fonction **RESCAN**, puis  **ADD PROFILE** en choisissant votre point d'accès. |    => suggestions : [' ']
36 Mot inconnu : ADD => Si aucun réseau n'est configuré, utilisez la fonction **RESCAN**, puis  **ADD PROFILE** en choisissant votre point d'accès. | add

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * network type: choisissez entre ad-hoc et infrastructure (=mode "Managed") |    => suggestions : ['']
41 Mot inconnu : network =>   * network type: choisissez entre ad-hoc et infrastructure (=mode "Managed") | network
41 Guillemets typographiques ouvrants. =>   * network type: choisissez entre ad-hoc et infrastructure (=mode "Managed") | " => suggestions : ['«\xa0', '“']
41 Mot inconnu : Managed =>   * network type: choisissez entre ad-hoc et infrastructure (=mode "Managed") | managed
41 Guillemets typographiques fermants. =>   * network type: choisissez entre ad-hoc et infrastructure (=mode "Managed") | " => suggestions : ['\xa0»', '”']

45 Guillemets typographiques ouvrants. => Dans l'onglet "authentification & sécurité", choisissez: | " => suggestions : ['«\xa0', '“']
45 Guillemets typographiques fermants. => Dans l'onglet "authentification & sécurité", choisissez: | " => suggestions : ['\xa0»', '”']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *open= aucune authentification |    => suggestions : ['']

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *Share= WEP (permet de rentrer plusieurs clef ascci ou hexadescimale) |    => suggestions : ['']
47 Mot inconnu : Share =>   *Share= WEP (permet de rentrer plusieurs clef ascci ou hexadescimale) | share
47 Mot inconnu : WEP =>   *Share= WEP (permet de rentrer plusieurs clef ascci ou hexadescimale) | wep
47 Accord de nombre erroné : « clef » devrait être au pluriel. =>   *Share= WEP (permet de rentrer plusieurs clef ascci ou hexadescimale) | clef => suggestions : ['clefs']
47 Mot inconnu : ascci =>   *Share= WEP (permet de rentrer plusieurs clef ascci ou hexadescimale) | ascci
47 Mot inconnu : hexadescimale =>   *Share= WEP (permet de rentrer plusieurs clef ascci ou hexadescimale) | hexadescimale

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *WPAPSK= tkip ou AES où vous pouvez écrire votre clef criptée. |    => suggestions : ['']
48 Mot inconnu : WPAPSK =>   *WPAPSK= tkip ou AES où vous pouvez écrire votre clef criptée. | wpapsk
48 Mot inconnu : tkip =>   *WPAPSK= tkip ou AES où vous pouvez écrire votre clef criptée. | tkip
48 Mot inconnu : AES =>   *WPAPSK= tkip ou AES où vous pouvez écrire votre clef criptée. | aes
48 Mot inconnu : criptée =>   *WPAPSK= tkip ou AES où vous pouvez écrire votre clef criptée. | criptée

50 Accord de nombre erroné : après « l’ », « interfaces » devrait être au singulier. => Une fois ces informations entrées dans l'interfaces, sauvegardez votre configuration, Vous pourrez vous connecter à votre point d'accès wifi. | interfaces => suggestions : ['interface']

52 Mot inconnu : RaConfig => **RaConfig** cré un fichier RT2500STA.dat dans /etc/Wireless/RT2500STA/ qui reprend les principales informations concernant votre configuration: | raconfig
52 Mot inconnu : RT2500STA => **RaConfig** cré un fichier RT2500STA.dat dans /etc/Wireless/RT2500STA/ qui reprend les principales informations concernant votre configuration: | rt2500sta
52 Mot inconnu : dat => **RaConfig** cré un fichier RT2500STA.dat dans /etc/Wireless/RT2500STA/ qui reprend les principales informations concernant votre configuration: | dat

74 Mot inconnu : TxRate => TxRate=0</code> | txrate

77 Accord avec la forme verbale “sont” : “disponible” devrait être au pluriel. => Toutes les informations nécessaires pour modifier ce fichier sont disponible dans le fichier "readme" | disponible => suggestions : ['disponibles']
77 Guillemets typographiques ouvrants. => Toutes les informations nécessaires pour modifier ce fichier sont disponible dans le fichier "readme" | " => suggestions : ['«\xa0', '“']
77 Mot inconnu : readme => Toutes les informations nécessaires pour modifier ce fichier sont disponible dans le fichier "readme" | readme
77 Guillemets typographiques fermants. => Toutes les informations nécessaires pour modifier ce fichier sont disponible dans le fichier "readme" | " => suggestions : ['\xa0»', '”']

82 Mot inconnu : Device => ==== Device Driver not found ==== | device
82 Mot inconnu : not => ==== Device Driver not found ==== | not
82 Mot inconnu : found => ==== Device Driver not found ==== | found

84 Accord erroné : “carte” et “reconnues” ne sont pas accordés. Mettez au singulier. => Votre carte n'est pas reconnues comme "ra0" mais comme "ethx", dans ce cas il va vous falloir créer un fichier de configuration pour informer RaConfig: | reconnues => suggestions : ['reconnue']
84 Guillemets typographiques ouvrants. => Votre carte n'est pas reconnues comme "ra0" mais comme "ethx", dans ce cas il va vous falloir créer un fichier de configuration pour informer RaConfig: | " => suggestions : ['«\xa0', '“']
84 Mot inconnu : ra0 => Votre carte n'est pas reconnues comme "ra0" mais comme "ethx", dans ce cas il va vous falloir créer un fichier de configuration pour informer RaConfig: | ra0
84 Guillemets typographiques fermants. => Votre carte n'est pas reconnues comme "ra0" mais comme "ethx", dans ce cas il va vous falloir créer un fichier de configuration pour informer RaConfig: | " => suggestions : ['\xa0»', '”']
84 Guillemets typographiques ouvrants. => Votre carte n'est pas reconnues comme "ra0" mais comme "ethx", dans ce cas il va vous falloir créer un fichier de configuration pour informer RaConfig: | " => suggestions : ['«\xa0', '“']
84 Mot inconnu : ethx => Votre carte n'est pas reconnues comme "ra0" mais comme "ethx", dans ce cas il va vous falloir créer un fichier de configuration pour informer RaConfig: | ethx
84 Guillemets typographiques fermants. => Votre carte n'est pas reconnues comme "ra0" mais comme "ethx", dans ce cas il va vous falloir créer un fichier de configuration pour informer RaConfig: | " => suggestions : ['\xa0»', '”']
84 Mot inconnu : RaConfig => Votre carte n'est pas reconnues comme "ra0" mais comme "ethx", dans ce cas il va vous falloir créer un fichier de configuration pour informer RaConfig: | raconfig

88 S’il s’agit d’un impératif, mettez un trait d’union. => Et copiez y le nom de l'interface réseau contenant le chipset Ralink rt2500: | copiez y => suggestions : ['copiez-y']
88 Mot inconnu : chipset => Et copiez y le nom de l'interface réseau contenant le chipset Ralink rt2500: | chipset
88 Mot inconnu : Ralink => Et copiez y le nom de l'interface réseau contenant le chipset Ralink rt2500: | ralink
88 Mot inconnu : rt2500 => Et copiez y le nom de l'interface réseau contenant le chipset Ralink rt2500: | rt2500

92 Mot inconnu : Network => ==== Network manager ==== | network

93 Mot inconnu : Network => possibles conflits avec Network manager (à désinstaller le cas échéant) | network
