
4 Mot inconnu : N2N => ======N2N - VPN en P2P ====== | n2n
8 Guillemets typographiques ouvrants. => **N2N** est un système VPN en "pair à pair" (P2P). **Edge** est le démon pour N2N qui crée une interface TAP pour exposer les LAN N2N virtuels. Au démarrage, N2N crée l'interface TAP et configure. Il s'enregistre ensuite avec le SuperNode afin qu'il puisse commencer à trouver d'autres nœuds dans la communauté. | " => suggestions : ['«\xa0', '“']
8 Guillemets typographiques fermants. => **N2N** est un système VPN en "pair à pair" (P2P). **Edge** est le démon pour N2N qui crée une interface TAP pour exposer les LAN N2N virtuels. Au démarrage, N2N crée l'interface TAP et configure. Il s'enregistre ensuite avec le SuperNode afin qu'il puisse commencer à trouver d'autres nœuds dans la communauté. | " => suggestions : ['\xa0»', '”']
8 Mot inconnu : Edge => **N2N** est un système VPN en "pair à pair" (P2P). **Edge** est le démon pour N2N qui crée une interface TAP pour exposer les LAN N2N virtuels. Au démarrage, N2N crée l'interface TAP et configure. Il s'enregistre ensuite avec le SuperNode afin qu'il puisse commencer à trouver d'autres nœuds dans la communauté. | edge
8 Mot inconnu : N2N => **N2N** est un système VPN en "pair à pair" (P2P). **Edge** est le démon pour N2N qui crée une interface TAP pour exposer les LAN N2N virtuels. Au démarrage, N2N crée l'interface TAP et configure. Il s'enregistre ensuite avec le SuperNode afin qu'il puisse commencer à trouver d'autres nœuds dans la communauté. | n2n
8 Mot inconnu : TAP => **N2N** est un système VPN en "pair à pair" (P2P). **Edge** est le démon pour N2N qui crée une interface TAP pour exposer les LAN N2N virtuels. Au démarrage, N2N crée l'interface TAP et configure. Il s'enregistre ensuite avec le SuperNode afin qu'il puisse commencer à trouver d'autres nœuds dans la communauté. | tap
8 Mot inconnu : LAN => **N2N** est un système VPN en "pair à pair" (P2P). **Edge** est le démon pour N2N qui crée une interface TAP pour exposer les LAN N2N virtuels. Au démarrage, N2N crée l'interface TAP et configure. Il s'enregistre ensuite avec le SuperNode afin qu'il puisse commencer à trouver d'autres nœuds dans la communauté. | lan
8 Mot inconnu : N2N => **N2N** est un système VPN en "pair à pair" (P2P). **Edge** est le démon pour N2N qui crée une interface TAP pour exposer les LAN N2N virtuels. Au démarrage, N2N crée l'interface TAP et configure. Il s'enregistre ensuite avec le SuperNode afin qu'il puisse commencer à trouver d'autres nœuds dans la communauté. | n2n
8 Mot inconnu : N2N => **N2N** est un système VPN en "pair à pair" (P2P). **Edge** est le démon pour N2N qui crée une interface TAP pour exposer les LAN N2N virtuels. Au démarrage, N2N crée l'interface TAP et configure. Il s'enregistre ensuite avec le SuperNode afin qu'il puisse commencer à trouver d'autres nœuds dans la communauté. | n2n
8 Mot inconnu : TAP => **N2N** est un système VPN en "pair à pair" (P2P). **Edge** est le démon pour N2N qui crée une interface TAP pour exposer les LAN N2N virtuels. Au démarrage, N2N crée l'interface TAP et configure. Il s'enregistre ensuite avec le SuperNode afin qu'il puisse commencer à trouver d'autres nœuds dans la communauté. | tap
8 Mot inconnu : SuperNode => **N2N** est un système VPN en "pair à pair" (P2P). **Edge** est le démon pour N2N qui crée une interface TAP pour exposer les LAN N2N virtuels. Au démarrage, N2N crée l'interface TAP et configure. Il s'enregistre ensuite avec le SuperNode afin qu'il puisse commencer à trouver d'autres nœuds dans la communauté. | supernode

10 Mot inconnu : TAP => Une machine peut être connectée à plusieurs réseaux, avec plusieurs interfaces TAP. | tap

15 Mot inconnu : N2N => L'architecture N2N est basée sur deux composantes: | n2n

17 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Les nœuds **edge** (bordure): les applications installées sur les PC des utilisateurs qui permettent au réseau N2N de se construire. Pratiquement chaque nœud edge crée un TUN / TAP qui est alors le point d'entrée au réseau N2N. | -  => suggestions : ['—\xa0', '–\xa0']
17 Mot inconnu : edge => - Les nœuds **edge** (bordure): les applications installées sur les PC des utilisateurs qui permettent au réseau N2N de se construire. Pratiquement chaque nœud edge crée un TUN / TAP qui est alors le point d'entrée au réseau N2N. | edge
17 Mot inconnu : N2N => - Les nœuds **edge** (bordure): les applications installées sur les PC des utilisateurs qui permettent au réseau N2N de se construire. Pratiquement chaque nœud edge crée un TUN / TAP qui est alors le point d'entrée au réseau N2N. | n2n
17 Mot inconnu : edge => - Les nœuds **edge** (bordure): les applications installées sur les PC des utilisateurs qui permettent au réseau N2N de se construire. Pratiquement chaque nœud edge crée un TUN / TAP qui est alors le point d'entrée au réseau N2N. | edge
17 Mot inconnu : TUN => - Les nœuds **edge** (bordure): les applications installées sur les PC des utilisateurs qui permettent au réseau N2N de se construire. Pratiquement chaque nœud edge crée un TUN / TAP qui est alors le point d'entrée au réseau N2N. | tun
17 Mot inconnu : TAP => - Les nœuds **edge** (bordure): les applications installées sur les PC des utilisateurs qui permettent au réseau N2N de se construire. Pratiquement chaque nœud edge crée un TUN / TAP qui est alors le point d'entrée au réseau N2N. | tap
17 Mot inconnu : N2N => - Les nœuds **edge** (bordure): les applications installées sur les PC des utilisateurs qui permettent au réseau N2N de se construire. Pratiquement chaque nœud edge crée un TUN / TAP qui est alors le point d'entrée au réseau N2N. | n2n

19 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Un **SuperNode**: c'est utilisé par les nœuds edge au démarrage ou pour atteindre les ganglions derrière des firewalls symétriques. Cette application est essentiellement un registre répertoire et un routeur de paquets pour les nœuds qui ne peuvent pas parler directement. | -  => suggestions : ['—\xa0', '–\xa0']
19 Mot inconnu : SuperNode => - Un **SuperNode**: c'est utilisé par les nœuds edge au démarrage ou pour atteindre les ganglions derrière des firewalls symétriques. Cette application est essentiellement un registre répertoire et un routeur de paquets pour les nœuds qui ne peuvent pas parler directement. | supernode
19 Mot inconnu : edge => - Un **SuperNode**: c'est utilisé par les nœuds edge au démarrage ou pour atteindre les ganglions derrière des firewalls symétriques. Cette application est essentiellement un registre répertoire et un routeur de paquets pour les nœuds qui ne peuvent pas parler directement. | edge
19 Mot inconnu : firewalls => - Un **SuperNode**: c'est utilisé par les nœuds edge au démarrage ou pour atteindre les ganglions derrière des firewalls symétriques. Cette application est essentiellement un registre répertoire et un routeur de paquets pour les nœuds qui ne peuvent pas parler directement. | firewalls

25 Mot inconnu : dépots => ====Par les dépots==== | dépots

31 Mot inconnu : Noeud => ====Noeud Edge==== | noeud
31 Mot inconnu : Edge => ====Noeud Edge==== | edge

36 Mot inconnu : TAP => Démarrer avec un dispositif de bord TAP n2n0 sur la communauté "mynetwork" avec SuperNode -> 123.121.120.119 sur port UDP 7654 , lié au port UDP local 50001. Utilisez "encryptme" comme clé de cryptage commune. Attribuer l'adresse MAC DE:AD:BE:EF:01:23 à l'interface N2N et déposer à l'user=99  et le group=99, après que le TAP soit configuré avec succès. | tap
36 Mot inconnu : n2n0 => Démarrer avec un dispositif de bord TAP n2n0 sur la communauté "mynetwork" avec SuperNode -> 123.121.120.119 sur port UDP 7654 , lié au port UDP local 50001. Utilisez "encryptme" comme clé de cryptage commune. Attribuer l'adresse MAC DE:AD:BE:EF:01:23 à l'interface N2N et déposer à l'user=99  et le group=99, après que le TAP soit configuré avec succès. | n2n0
36 Guillemets typographiques ouvrants. => Démarrer avec un dispositif de bord TAP n2n0 sur la communauté "mynetwork" avec SuperNode -> 123.121.120.119 sur port UDP 7654 , lié au port UDP local 50001. Utilisez "encryptme" comme clé de cryptage commune. Attribuer l'adresse MAC DE:AD:BE:EF:01:23 à l'interface N2N et déposer à l'user=99  et le group=99, après que le TAP soit configuré avec succès. | " => suggestions : ['«\xa0', '“']
36 Mot inconnu : mynetwork => Démarrer avec un dispositif de bord TAP n2n0 sur la communauté "mynetwork" avec SuperNode -> 123.121.120.119 sur port UDP 7654 , lié au port UDP local 50001. Utilisez "encryptme" comme clé de cryptage commune. Attribuer l'adresse MAC DE:AD:BE:EF:01:23 à l'interface N2N et déposer à l'user=99  et le group=99, après que le TAP soit configuré avec succès. | mynetwork
36 Guillemets typographiques fermants. => Démarrer avec un dispositif de bord TAP n2n0 sur la communauté "mynetwork" avec SuperNode -> 123.121.120.119 sur port UDP 7654 , lié au port UDP local 50001. Utilisez "encryptme" comme clé de cryptage commune. Attribuer l'adresse MAC DE:AD:BE:EF:01:23 à l'interface N2N et déposer à l'user=99  et le group=99, après que le TAP soit configuré avec succès. | " => suggestions : ['\xa0»', '”']
36 Mot inconnu : SuperNode => Démarrer avec un dispositif de bord TAP n2n0 sur la communauté "mynetwork" avec SuperNode -> 123.121.120.119 sur port UDP 7654 , lié au port UDP local 50001. Utilisez "encryptme" comme clé de cryptage commune. Attribuer l'adresse MAC DE:AD:BE:EF:01:23 à l'interface N2N et déposer à l'user=99  et le group=99, après que le TAP soit configuré avec succès. | supernode
36 Mot inconnu : UDP => Démarrer avec un dispositif de bord TAP n2n0 sur la communauté "mynetwork" avec SuperNode -> 123.121.120.119 sur port UDP 7654 , lié au port UDP local 50001. Utilisez "encryptme" comme clé de cryptage commune. Attribuer l'adresse MAC DE:AD:BE:EF:01:23 à l'interface N2N et déposer à l'user=99  et le group=99, après que le TAP soit configuré avec succès. | udp
36 Pas d’espace avant une virgule. => Démarrer avec un dispositif de bord TAP n2n0 sur la communauté "mynetwork" avec SuperNode -> 123.121.120.119 sur port UDP 7654 , lié au port UDP local 50001. Utilisez "encryptme" comme clé de cryptage commune. Attribuer l'adresse MAC DE:AD:BE:EF:01:23 à l'interface N2N et déposer à l'user=99  et le group=99, après que le TAP soit configuré avec succès. |  , => suggestions : [',']
36 Mot inconnu : UDP => Démarrer avec un dispositif de bord TAP n2n0 sur la communauté "mynetwork" avec SuperNode -> 123.121.120.119 sur port UDP 7654 , lié au port UDP local 50001. Utilisez "encryptme" comme clé de cryptage commune. Attribuer l'adresse MAC DE:AD:BE:EF:01:23 à l'interface N2N et déposer à l'user=99  et le group=99, après que le TAP soit configuré avec succès. | udp
36 Formatage des grands nombres. => Démarrer avec un dispositif de bord TAP n2n0 sur la communauté "mynetwork" avec SuperNode -> 123.121.120.119 sur port UDP 7654 , lié au port UDP local 50001. Utilisez "encryptme" comme clé de cryptage commune. Attribuer l'adresse MAC DE:AD:BE:EF:01:23 à l'interface N2N et déposer à l'user=99  et le group=99, après que le TAP soit configuré avec succès. | 50001 => suggestions : ['50\xa0001']
36 Guillemets typographiques ouvrants. => Démarrer avec un dispositif de bord TAP n2n0 sur la communauté "mynetwork" avec SuperNode -> 123.121.120.119 sur port UDP 7654 , lié au port UDP local 50001. Utilisez "encryptme" comme clé de cryptage commune. Attribuer l'adresse MAC DE:AD:BE:EF:01:23 à l'interface N2N et déposer à l'user=99  et le group=99, après que le TAP soit configuré avec succès. | " => suggestions : ['«\xa0', '“']
36 Mot inconnu : encryptme => Démarrer avec un dispositif de bord TAP n2n0 sur la communauté "mynetwork" avec SuperNode -> 123.121.120.119 sur port UDP 7654 , lié au port UDP local 50001. Utilisez "encryptme" comme clé de cryptage commune. Attribuer l'adresse MAC DE:AD:BE:EF:01:23 à l'interface N2N et déposer à l'user=99  et le group=99, après que le TAP soit configuré avec succès. | encryptme
36 Guillemets typographiques fermants. => Démarrer avec un dispositif de bord TAP n2n0 sur la communauté "mynetwork" avec SuperNode -> 123.121.120.119 sur port UDP 7654 , lié au port UDP local 50001. Utilisez "encryptme" comme clé de cryptage commune. Attribuer l'adresse MAC DE:AD:BE:EF:01:23 à l'interface N2N et déposer à l'user=99  et le group=99, après que le TAP soit configuré avec succès. | " => suggestions : ['\xa0»', '”']
36 Il manque un espace. => Démarrer avec un dispositif de bord TAP n2n0 sur la communauté "mynetwork" avec SuperNode -> 123.121.120.119 sur port UDP 7654 , lié au port UDP local 50001. Utilisez "encryptme" comme clé de cryptage commune. Attribuer l'adresse MAC DE:AD:BE:EF:01:23 à l'interface N2N et déposer à l'user=99  et le group=99, après que le TAP soit configuré avec succès. | ad => suggestions : [' AD']
36 Il manque un espace. => Démarrer avec un dispositif de bord TAP n2n0 sur la communauté "mynetwork" avec SuperNode -> 123.121.120.119 sur port UDP 7654 , lié au port UDP local 50001. Utilisez "encryptme" comme clé de cryptage commune. Attribuer l'adresse MAC DE:AD:BE:EF:01:23 à l'interface N2N et déposer à l'user=99  et le group=99, après que le TAP soit configuré avec succès. | ef => suggestions : [' EF']
36 Mot inconnu : N2N => Démarrer avec un dispositif de bord TAP n2n0 sur la communauté "mynetwork" avec SuperNode -> 123.121.120.119 sur port UDP 7654 , lié au port UDP local 50001. Utilisez "encryptme" comme clé de cryptage commune. Attribuer l'adresse MAC DE:AD:BE:EF:01:23 à l'interface N2N et déposer à l'user=99  et le group=99, après que le TAP soit configuré avec succès. | n2n
36 Espace(s) surnuméraire(s) à supprimer. => Démarrer avec un dispositif de bord TAP n2n0 sur la communauté "mynetwork" avec SuperNode -> 123.121.120.119 sur port UDP 7654 , lié au port UDP local 50001. Utilisez "encryptme" comme clé de cryptage commune. Attribuer l'adresse MAC DE:AD:BE:EF:01:23 à l'interface N2N et déposer à l'user=99  et le group=99, après que le TAP soit configuré avec succès. |    => suggestions : [' ']
36 Mot inconnu : group => Démarrer avec un dispositif de bord TAP n2n0 sur la communauté "mynetwork" avec SuperNode -> 123.121.120.119 sur port UDP 7654 , lié au port UDP local 50001. Utilisez "encryptme" comme clé de cryptage commune. Attribuer l'adresse MAC DE:AD:BE:EF:01:23 à l'interface N2N et déposer à l'user=99  et le group=99, après que le TAP soit configuré avec succès. | group
36 Mot inconnu : TAP => Démarrer avec un dispositif de bord TAP n2n0 sur la communauté "mynetwork" avec SuperNode -> 123.121.120.119 sur port UDP 7654 , lié au port UDP local 50001. Utilisez "encryptme" comme clé de cryptage commune. Attribuer l'adresse MAC DE:AD:BE:EF:01:23 à l'interface N2N et déposer à l'user=99  et le group=99, après que le TAP soit configuré avec succès. | tap

38 Guillemets typographiques fermants. => Ajout de l'option '-f' pour faire exécuter en tant que démon.  | ' => suggestions : ['”', '’', '›']
38 Espace(s) en fin de ligne à supprimer. => Ajout de l'option '-f' pour faire exécuter en tant que démon.  |   => suggestions : ['']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Ailleurs configurez un autre edge avec des paramètres similaires, par exemple. |     => suggestions : ['']
40 Mot inconnu : edge =>    * Ailleurs configurez un autre edge avec des paramètres similaires, par exemple. | edge

46 Mot inconnu : ping => Maintenant, vous pouvez faire un ping de 192.168.254.5 à 192.168.254.7. | ping

48 Mot inconnu : edge => L'adresse MAC (-m <MAC>) et l'adresse IP virtuelle (-a <addr>) doivent être différentes sur tous les edge dans la même communauté. | edge

52 Mot inconnu : Supernodes => ====Liste de Supernodes==== | supernodes

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ip address : 88.86.108.50 |    => suggestions : ['']
53 Mot inconnu : ip =>   * ip address : 88.86.108.50 | ip
53 Mot inconnu : address =>   * ip address : 88.86.108.50 | address

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * port : 82 |        => suggestions : ['']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * [hosted by http://www.vpnhosting.cz] |        => suggestions : ['']
55 Mot inconnu : hosted =>       * [hosted by http://www.vpnhosting.cz] | hosted
55 Mot inconnu : by =>       * [hosted by http://www.vpnhosting.cz] | by

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ip address : 217.172.180.69 |    => suggestions : ['']
57 Mot inconnu : ip =>   * ip address : 217.172.180.69 | ip
57 Mot inconnu : address =>   * ip address : 217.172.180.69 | address

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * port : 82 |        => suggestions : ['']

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * [hosted by EPC Gaming] |        => suggestions : ['']
59 Mot inconnu : hosted =>       * [hosted by EPC Gaming] | hosted
59 Mot inconnu : by =>       * [hosted by EPC Gaming] | by
59 Mot inconnu : EPC =>       * [hosted by EPC Gaming] | epc
59 Mot inconnu : Gaming =>       * [hosted by EPC Gaming] | gaming

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * [[http://manpages.ubuntu.com/manpages/lucid/en/man8/edge.8.html|Manpage]] |     => suggestions : ['']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **(en)** [[http://luca.ntop.org/n2n.pdf|N2N: A Layer Two Peer-to-Peer VPN]] |     => suggestions : ['']
65 Mot inconnu : N2N =>    * **(en)** [[http://luca.ntop.org/n2n.pdf|N2N: A Layer Two Peer-to-Peer VPN]] | n2n
65 S’il s’agit de la préposition « à », il faut accentuer la majuscule. =>    * **(en)** [[http://luca.ntop.org/n2n.pdf|N2N: A Layer Two Peer-to-Peer VPN]] | a => suggestions : ['À']
65 Mot inconnu : Two =>    * **(en)** [[http://luca.ntop.org/n2n.pdf|N2N: A Layer Two Peer-to-Peer VPN]] | two
65 Mot inconnu : Peer-to-Peer =>    * **(en)** [[http://luca.ntop.org/n2n.pdf|N2N: A Layer Two Peer-to-Peer VPN]] | peer-to-peer

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://www.ntop.org/products/n2n/|Site officiel]] |    => suggestions : ['']
