
4 Mot inconnu : Gitolite => ====== Gitolite ====== | gitolite
87 Mot inconnu : gitolite =>   git add conf/gitolite.conf | gitolite
87 Il manque un espace. =>   git add conf/gitolite.conf | conf => suggestions : [' conf']

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   git commit -m "add repository my_repo" |    => suggestions : ['']
88 Il manque un espace à côté du tiret. =>   git commit -m "add repository my_repo" |  - => suggestions : [' – ', ' — ']
88 Guillemets typographiques ouvrants. =>   git commit -m "add repository my_repo" | " => suggestions : ['«\xa0', '“']
88 Mot inconnu : add =>   git commit -m "add repository my_repo" | add
88 Mot inconnu : repository =>   git commit -m "add repository my_repo" | repository
88 Mot inconnu : my_repo =>   git commit -m "add repository my_repo" | my_repo
88 Guillemets typographiques fermants. =>   git commit -m "add repository my_repo" | " => suggestions : ['\xa0»', '”']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   git push |    => suggestions : ['']
89 Mot inconnu : push =>   git push | push

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   git add keydir/user1.pub |    => suggestions : ['']
105 Mot inconnu : add =>   git add keydir/user1.pub | add
105 Mot inconnu : keydir =>   git add keydir/user1.pub | keydir
105 Mot inconnu : user1 =>   git add keydir/user1.pub | user1
105 Il manque un espace. =>   git add keydir/user1.pub | pub => suggestions : [' pub']

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   git commit -m "add user user1" |    => suggestions : ['']
106 Il manque un espace à côté du tiret. =>   git commit -m "add user user1" |  - => suggestions : [' – ', ' — ']
106 Guillemets typographiques ouvrants. =>   git commit -m "add user user1" | " => suggestions : ['«\xa0', '“']
106 Mot inconnu : add =>   git commit -m "add user user1" | add
106 Mot inconnu : user1 =>   git commit -m "add user user1" | user1
106 Guillemets typographiques fermants. =>   git commit -m "add user user1" | " => suggestions : ['\xa0»', '”']

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   git push |    => suggestions : ['']
107 Mot inconnu : push =>   git push | push

112 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * un utilisateur peut développer sur plusieurs machine, par exemple son pc et son portable. |    => suggestions : ['']
112 Accord de nombre erroné : « machine » devrait être au pluriel. =>   * un utilisateur peut développer sur plusieurs machine, par exemple son pc et son portable. | machine => suggestions : ['machines']

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   @group1 = user1 user2 user3 |    => suggestions : ['']
121 Mot inconnu : user1 =>   @group1 = user1 user2 user3 | user1
121 Mot inconnu : user2 =>   @group1 = user1 user2 user3 | user2
121 Mot inconnu : user3 =>   @group1 = user1 user2 user3 | user3

136 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   git add conf/gitolite.conf |    => suggestions : ['']
136 Mot inconnu : add =>   git add conf/gitolite.conf | add
136 Mot inconnu : gitolite =>   git add conf/gitolite.conf | gitolite
136 Il manque un espace. =>   git add conf/gitolite.conf | conf => suggestions : [' conf']

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   git commit -m "add group group1 and assign it to repo my_repo" |    => suggestions : ['']
137 Il manque un espace à côté du tiret. =>   git commit -m "add group group1 and assign it to repo my_repo" |  - => suggestions : [' – ', ' — ']
137 Guillemets typographiques ouvrants. =>   git commit -m "add group group1 and assign it to repo my_repo" | " => suggestions : ['«\xa0', '“']
137 Mot inconnu : add =>   git commit -m "add group group1 and assign it to repo my_repo" | add
137 Mot inconnu : group =>   git commit -m "add group group1 and assign it to repo my_repo" | group
137 Mot inconnu : group1 =>   git commit -m "add group group1 and assign it to repo my_repo" | group1
137 Mot inconnu : and =>   git commit -m "add group group1 and assign it to repo my_repo" | and
137 Mot inconnu : assign =>   git commit -m "add group group1 and assign it to repo my_repo" | assign
137 Mot inconnu : it =>   git commit -m "add group group1 and assign it to repo my_repo" | it
137 Mot inconnu : to =>   git commit -m "add group group1 and assign it to repo my_repo" | to
137 Mot inconnu : repo =>   git commit -m "add group group1 and assign it to repo my_repo" | repo
137 Mot inconnu : my_repo =>   git commit -m "add group group1 and assign it to repo my_repo" | my_repo
137 Guillemets typographiques fermants. =>   git commit -m "add group group1 and assign it to repo my_repo" | " => suggestions : ['\xa0»', '”']

138 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   git push |    => suggestions : ['']
138 Mot inconnu : push =>   git push | push

149 Mot inconnu : Gitweb => Pour une configuration plus poussée, comme les permissions sur les branches, Gitweb, etc, voir le [[https://github.com/sitaramc/gitolite/blob/master/README.txt|README]] de Gitolite. | gitweb
149 Mot inconnu : Gitolite => Pour une configuration plus poussée, comme les permissions sur les branches, Gitweb, etc, voir le [[https://github.com/sitaramc/gitolite/blob/master/README.txt|README]] de Gitolite. | gitolite

162 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   exec chpst -ugitdaemon git daemon --verbose --base-path=/var/cache /var/cache/git |    => suggestions : ['']
162 Mot inconnu : exec =>   exec chpst -ugitdaemon git daemon --verbose --base-path=/var/cache /var/cache/git | exec
162 Mot inconnu : chpst =>   exec chpst -ugitdaemon git daemon --verbose --base-path=/var/cache /var/cache/git | chpst
162 Il manque un espace à côté du tiret. =>   exec chpst -ugitdaemon git daemon --verbose --base-path=/var/cache /var/cache/git |  - => suggestions : [' – ', ' — ']
162 Mot inconnu : ugitdaemon =>   exec chpst -ugitdaemon git daemon --verbose --base-path=/var/cache /var/cache/git | ugitdaemon
162 Mot inconnu : daemon =>   exec chpst -ugitdaemon git daemon --verbose --base-path=/var/cache /var/cache/git | daemon
162 Mot inconnu : verbose =>   exec chpst -ugitdaemon git daemon --verbose --base-path=/var/cache /var/cache/git | verbose
162 Mot inconnu : base-path =>   exec chpst -ugitdaemon git daemon --verbose --base-path=/var/cache /var/cache/git | base-path

166 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   exec chpst -u git git daemon --verbose --base-path=/home/git/repositories |    => suggestions : ['']
166 Mot inconnu : exec =>   exec chpst -u git git daemon --verbose --base-path=/home/git/repositories | exec
166 Mot inconnu : chpst =>   exec chpst -u git git daemon --verbose --base-path=/home/git/repositories | chpst
166 Il manque un espace à côté du tiret. =>   exec chpst -u git git daemon --verbose --base-path=/home/git/repositories |  - => suggestions : [' – ', ' — ']
166 Doublon. =>   exec chpst -u git git daemon --verbose --base-path=/home/git/repositories | git git => suggestions : ['git']
166 Mot inconnu : daemon =>   exec chpst -u git git daemon --verbose --base-path=/home/git/repositories | daemon
166 Mot inconnu : verbose =>   exec chpst -u git git daemon --verbose --base-path=/home/git/repositories | verbose
166 Mot inconnu : base-path =>   exec chpst -u git git daemon --verbose --base-path=/home/git/repositories | base-path

170 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo /etc/init.d/git-daemon restart |    => suggestions : ['']
170 Mot inconnu : sudo =>   sudo /etc/init.d/git-daemon restart | sudo
170 Mot inconnu : restart =>   sudo /etc/init.d/git-daemon restart | restart

174 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   R                   = daemon |    => suggestions : ['']
174 Espace(s) surnuméraire(s) à supprimer. =>   R                   = daemon |                     => suggestions : [' ']
174 Mot inconnu : daemon =>   R                   = daemon | daemon

187 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   $REPO_UMASK = 0027;       # gets you 'rwxr-x---' |    => suggestions : ['']
187 Mot inconnu : REPO_UMASK =>   $REPO_UMASK = 0027;       # gets you 'rwxr-x---' | repo_umask
187 Espace(s) surnuméraire(s) à supprimer. =>   $REPO_UMASK = 0027;       # gets you 'rwxr-x---' |         => suggestions : [' ']
187 Mot inconnu : gets =>   $REPO_UMASK = 0027;       # gets you 'rwxr-x---' | gets
187 Mot inconnu : you =>   $REPO_UMASK = 0027;       # gets you 'rwxr-x---' | you
187 Guillemets typographiques ouvrants. =>   $REPO_UMASK = 0027;       # gets you 'rwxr-x---' | ' => suggestions : ['“', '‘', '‹']
187 Mot inconnu : rwxr-x =>   $REPO_UMASK = 0027;       # gets you 'rwxr-x---' | rwxr-x

189 Confusion. La conjonction “ou” signale une alternative. Pour évoquer un lieu, un temps ou une situation, écrivez “où”. => Ce n'est pas tout. Cette modification affectera les nouveaux dépôts créés, pas ceux déjà existants. Pour attribuer les bonnes permissions sur un dépôt existant, procédez comme ceci (dans le cas ou nous voulons attribuer le droit de lecture au groupe) : | ou => suggestions : ['où']

191 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chmod -R g+Xr /home/git/repositories/<mon_depot>.git/ |    => suggestions : ['']
191 Mot inconnu : sudo =>   sudo chmod -R g+Xr /home/git/repositories/<mon_depot>.git/ | sudo
191 Mot inconnu : chmod =>   sudo chmod -R g+Xr /home/git/repositories/<mon_depot>.git/ | chmod
191 Il manque un espace à côté du tiret. =>   sudo chmod -R g+Xr /home/git/repositories/<mon_depot>.git/ |  - => suggestions : [' – ', ' — ']
191 Mot inconnu : Xr =>   sudo chmod -R g+Xr /home/git/repositories/<mon_depot>.git/ | xr

194 S’il s’agit d’un impératif, mettez un trait d’union. => Notez le **'X'** et non pas **'x'**, qui aura pour effet d'attribuer le droit d'exécution seulement sur un dossier, ou sur un fichier si celui-ci est déjà exécutable (par le propriétaire par exemple). | notez le => suggestions : ['Notez-le']

205 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   git clone git@server:my_repo |    => suggestions : ['']
205 Il manque un espace. =>   git clone git@server:my_repo | my_repo => suggestions : [' my_repo']
205 Mot inconnu : my_repo =>   git clone git@server:my_repo | my_repo

211 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   git clone git://server/my_repo |    => suggestions : ['']
211 Mot inconnu : server =>   git clone git://server/my_repo | server
211 Mot inconnu : my_repo =>   git clone git://server/my_repo | my_repo

217 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   git clone gitolite:my_repo |    => suggestions : ['']
217 Mot inconnu : gitolite =>   git clone gitolite:my_repo | gitolite
217 Il manque un espace. =>   git clone gitolite:my_repo | my_repo => suggestions : [' my_repo']
217 Mot inconnu : my_repo =>   git clone gitolite:my_repo | my_repo

222 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mkdir repo1 |    => suggestions : ['']
222 Mot inconnu : mkdir =>   mkdir repo1 | mkdir
222 Mot inconnu : repo1 =>   mkdir repo1 | repo1

223 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd repo1 |    => suggestions : ['']
223 Mot inconnu : repo1 =>   cd repo1 | repo1

224 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   git init |    => suggestions : ['']
224 Mot inconnu : init =>   git init | init

225 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   git commit --allow-empty -m "initial repository" |    => suggestions : ['']
225 Mot inconnu : allow-empty =>   git commit --allow-empty -m "initial repository" | allow-empty
225 Guillemets typographiques ouvrants. =>   git commit --allow-empty -m "initial repository" | " => suggestions : ['«\xa0', '“']
225 Mot inconnu : repository =>   git commit --allow-empty -m "initial repository" | repository
225 Guillemets typographiques fermants. =>   git commit --allow-empty -m "initial repository" | " => suggestions : ['\xa0»', '”']

226 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   git remote add origin git@server:repo1 |    => suggestions : ['']
226 Mot inconnu : remote =>   git remote add origin git@server:repo1 | remote
226 Mot inconnu : add =>   git remote add origin git@server:repo1 | add
226 Mot inconnu : origin =>   git remote add origin git@server:repo1 | origin
226 Il manque un espace. =>   git remote add origin git@server:repo1 | repo1 => suggestions : [' repo1']
226 Mot inconnu : repo1 =>   git remote add origin git@server:repo1 | repo1

227 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   git push origin master |    => suggestions : ['']
227 Mot inconnu : push =>   git push origin master | push
227 Mot inconnu : origin =>   git push origin master | origin

228 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   git config push.default matching |    => suggestions : ['']
228 Mot inconnu : push =>   git config push.default matching | push
228 Mot inconnu : default =>   git config push.default matching | default
228 Mot inconnu : matching =>   git config push.default matching | matching

252 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://github.com/sitaramc/gitolite|page de Gitolite]] sur Github ; |    => suggestions : ['']
252 Mot inconnu : Gitolite =>   * **(en)** [[https://github.com/sitaramc/gitolite|page de Gitolite]] sur Github ; | gitolite
252 Mot inconnu : Github =>   * **(en)** [[https://github.com/sitaramc/gitolite|page de Gitolite]] sur Github ; | github
