
6 Mot inconnu : Redigé => Redigé par [[utilisateurs:lok]]. | redigé
37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * //Web Page// : à l'inverse, cette option fait débuter une page web depuis le haut d'une des pages du PDF. |     => suggestions : ['']

38 Mot inconnu : html => Dans notre cas, la mise en page et le sommaire ont déjà été faits dans le fichier html, nous allons donc utiliser l'option //Web Page// pour la mise en forme. | html

49 Mot inconnu : headers => Je vous conseille de laisser par défaut le format de la page et la longueur des marges, les options //headers// et //footers// rajoutent respectivement des en-tête et des pied-de-pages. Ces réglages se font donc vraiment selon vos goûts. | headers
49 Mot inconnu : footers => Je vous conseille de laisser par défaut le format de la page et la longueur des marges, les options //headers// et //footers// rajoutent respectivement des en-tête et des pied-de-pages. Ces réglages se font donc vraiment selon vos goûts. | footers
49 Accord de nombre erroné : « en-tête » devrait être au pluriel. => Je vous conseille de laisser par défaut le format de la page et la longueur des marges, les options //headers// et //footers// rajoutent respectivement des en-tête et des pied-de-pages. Ces réglages se font donc vraiment selon vos goûts. | en-tête => suggestions : ['en-têtes']

53 Mot inconnu : Colors => ==== Colors ==== | colors

56 Mot inconnu : Link => Pour le //Link Style// il existe deux méthodes : | link

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * //Plain// : votre lien apparaitra comme une portion de texte, ce qui le confond avec le reste de la page |     => suggestions : ['']

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * //Underline// : tous les liens seront soulignés. |     => suggestions : ['']
58 Mot inconnu : Underline =>    * //Underline// : tous les liens seront soulignés. | underline

61 Accord de nombre erroné : « fois » devrait être au singulier. => Dans cet onglet se trouve toutes les options pour changer la police et la taille de la police d'écriture, la fois pour le texte normal, mais aussi pour les en-têtes. La taille des interlignes est aussi modifiable. | fois => suggestions : ['foi']

63 Mot inconnu : iso-8859-1 => La partie concernant le jeu de caractères à utiliser dépend à la fois du texte que vous transformerez et du lecteur PDF que vous utiliserez. Ici nous avons un texte anglais, donc sans accents //iso-8859-1// est censé correspondre au jeu de caractères latins utilisés dans les pays d'Europe occidentale et d'Amérique du Nord, toutefois il est préférable d'utiliser l'//iso-8859-15// à la place qui est une "extension" du premier type d'encodage de caractères mais qui comprend aussi le symbole « euro » et quelques autres modifications dans la liste des caractères. Vous ne bénéficierez malgré tout pas du « e dans l'o » ou du « Ÿ » qui font partie du Français pourtant. | iso-8859-1
63 Mot inconnu : iso-8859-15 => La partie concernant le jeu de caractères à utiliser dépend à la fois du texte que vous transformerez et du lecteur PDF que vous utiliserez. Ici nous avons un texte anglais, donc sans accents //iso-8859-1// est censé correspondre au jeu de caractères latins utilisés dans les pays d'Europe occidentale et d'Amérique du Nord, toutefois il est préférable d'utiliser l'//iso-8859-15// à la place qui est une "extension" du premier type d'encodage de caractères mais qui comprend aussi le symbole « euro » et quelques autres modifications dans la liste des caractères. Vous ne bénéficierez malgré tout pas du « e dans l'o » ou du « Ÿ » qui font partie du Français pourtant. | iso-8859-15
63 Guillemets typographiques ouvrants. => La partie concernant le jeu de caractères à utiliser dépend à la fois du texte que vous transformerez et du lecteur PDF que vous utiliserez. Ici nous avons un texte anglais, donc sans accents //iso-8859-1// est censé correspondre au jeu de caractères latins utilisés dans les pays d'Europe occidentale et d'Amérique du Nord, toutefois il est préférable d'utiliser l'//iso-8859-15// à la place qui est une "extension" du premier type d'encodage de caractères mais qui comprend aussi le symbole « euro » et quelques autres modifications dans la liste des caractères. Vous ne bénéficierez malgré tout pas du « e dans l'o » ou du « Ÿ » qui font partie du Français pourtant. | " => suggestions : ['«\xa0', '“']
63 Guillemets typographiques fermants. => La partie concernant le jeu de caractères à utiliser dépend à la fois du texte que vous transformerez et du lecteur PDF que vous utiliserez. Ici nous avons un texte anglais, donc sans accents //iso-8859-1// est censé correspondre au jeu de caractères latins utilisés dans les pays d'Europe occidentale et d'Amérique du Nord, toutefois il est préférable d'utiliser l'//iso-8859-15// à la place qui est une "extension" du premier type d'encodage de caractères mais qui comprend aussi le symbole « euro » et quelques autres modifications dans la liste des caractères. Vous ne bénéficierez malgré tout pas du « e dans l'o » ou du « Ÿ » qui font partie du Français pourtant. | " => suggestions : ['\xa0»', '”']
63 Mot inconnu : Ÿ => La partie concernant le jeu de caractères à utiliser dépend à la fois du texte que vous transformerez et du lecteur PDF que vous utiliserez. Ici nous avons un texte anglais, donc sans accents //iso-8859-1// est censé correspondre au jeu de caractères latins utilisés dans les pays d'Europe occidentale et d'Amérique du Nord, toutefois il est préférable d'utiliser l'//iso-8859-15// à la place qui est une "extension" du premier type d'encodage de caractères mais qui comprend aussi le symbole « euro » et quelques autres modifications dans la liste des caractères. Vous ne bénéficierez malgré tout pas du « e dans l'o » ou du « Ÿ » qui font partie du Français pourtant. | ÿ
67 Mot inconnu : Layout => Ces options concernent le type de PDF que nous voulons créer. Puisque l'on dispose de lecteurs à jours, nous pouvons mettre sans problème la version du pdf à 1.4. L'option //Page Mode// sert juste à définir quel sera le mode par défaut de votre PDF à son ouverture. Quel que soit votre choix vous pouvez naturellement changer le mode de visualisation par la suite, et il en est de même pour l'option //Page Layout//. Vous avez aussi la possibilité de rajouter un effet sur les transitions des pages (seul acroread les interprète). Enfin, n'oubliez pas l'option //include links// pour conserver les liens de vos pages html. | layout
67 Mot inconnu : acroread => Ces options concernent le type de PDF que nous voulons créer. Puisque l'on dispose de lecteurs à jours, nous pouvons mettre sans problème la version du pdf à 1.4. L'option //Page Mode// sert juste à définir quel sera le mode par défaut de votre PDF à son ouverture. Quel que soit votre choix vous pouvez naturellement changer le mode de visualisation par la suite, et il en est de même pour l'option //Page Layout//. Vous avez aussi la possibilité de rajouter un effet sur les transitions des pages (seul acroread les interprète). Enfin, n'oubliez pas l'option //include links// pour conserver les liens de vos pages html. | acroread
67 Mot inconnu : include => Ces options concernent le type de PDF que nous voulons créer. Puisque l'on dispose de lecteurs à jours, nous pouvons mettre sans problème la version du pdf à 1.4. L'option //Page Mode// sert juste à définir quel sera le mode par défaut de votre PDF à son ouverture. Quel que soit votre choix vous pouvez naturellement changer le mode de visualisation par la suite, et il en est de même pour l'option //Page Layout//. Vous avez aussi la possibilité de rajouter un effet sur les transitions des pages (seul acroread les interprète). Enfin, n'oubliez pas l'option //include links// pour conserver les liens de vos pages html. | include
67 Mot inconnu : html => Ces options concernent le type de PDF que nous voulons créer. Puisque l'on dispose de lecteurs à jours, nous pouvons mettre sans problème la version du pdf à 1.4. L'option //Page Mode// sert juste à définir quel sera le mode par défaut de votre PDF à son ouverture. Quel que soit votre choix vous pouvez naturellement changer le mode de visualisation par la suite, et il en est de même pour l'option //Page Layout//. Vous avez aussi la possibilité de rajouter un effet sur les transitions des pages (seul acroread les interprète). Enfin, n'oubliez pas l'option //include links// pour conserver les liens de vos pages html. | html
