
5 Mot inconnu : Virtualbox => ====== Virtualbox : Additions Invité  ====== | virtualbox
74 S’il s’agit d’un seul mot, il manque un trait d’union. =>   * Soit vous naviguez dans l'explorateur Windows, **Outils > Connecter un lecteur réseau**, puis choisissez la lettre que vous voulez pour désigner le fichier (ex X:) dans **Dossier** entrez //\\vboxsvr\dossierpartage//.\\ Sous Windows 10, dans le volet de navigation de l'explorateur, à gauche de la fenêtre, clic-droit sur Réseau puis "Connecter un lecteur réseau...". Choisir un lecteur (ex X: comme ci-dessus) puis "Parcourir..." pour sélectionner le dossier réseau partagé. Après validation, ce dossier apparaît dans le volet de navigation au-dessus et dans "Réseau" avec un un intitulé en majuscule : \\VBOXSVR | ex x => suggestions : ['ex-X']
74 Mot inconnu : vboxsvr =>   * Soit vous naviguez dans l'explorateur Windows, **Outils > Connecter un lecteur réseau**, puis choisissez la lettre que vous voulez pour désigner le fichier (ex X:) dans **Dossier** entrez //\\vboxsvr\dossierpartage//.\\ Sous Windows 10, dans le volet de navigation de l'explorateur, à gauche de la fenêtre, clic-droit sur Réseau puis "Connecter un lecteur réseau...". Choisir un lecteur (ex X: comme ci-dessus) puis "Parcourir..." pour sélectionner le dossier réseau partagé. Après validation, ce dossier apparaît dans le volet de navigation au-dessus et dans "Réseau" avec un un intitulé en majuscule : \\VBOXSVR | vboxsvr
74 Mot inconnu : dossierpartage =>   * Soit vous naviguez dans l'explorateur Windows, **Outils > Connecter un lecteur réseau**, puis choisissez la lettre que vous voulez pour désigner le fichier (ex X:) dans **Dossier** entrez //\\vboxsvr\dossierpartage//.\\ Sous Windows 10, dans le volet de navigation de l'explorateur, à gauche de la fenêtre, clic-droit sur Réseau puis "Connecter un lecteur réseau...". Choisir un lecteur (ex X: comme ci-dessus) puis "Parcourir..." pour sélectionner le dossier réseau partagé. Après validation, ce dossier apparaît dans le volet de navigation au-dessus et dans "Réseau" avec un un intitulé en majuscule : \\VBOXSVR | dossierpartage
74 Guillemets typographiques ouvrants. =>   * Soit vous naviguez dans l'explorateur Windows, **Outils > Connecter un lecteur réseau**, puis choisissez la lettre que vous voulez pour désigner le fichier (ex X:) dans **Dossier** entrez //\\vboxsvr\dossierpartage//.\\ Sous Windows 10, dans le volet de navigation de l'explorateur, à gauche de la fenêtre, clic-droit sur Réseau puis "Connecter un lecteur réseau...". Choisir un lecteur (ex X: comme ci-dessus) puis "Parcourir..." pour sélectionner le dossier réseau partagé. Après validation, ce dossier apparaît dans le volet de navigation au-dessus et dans "Réseau" avec un un intitulé en majuscule : \\VBOXSVR | " => suggestions : ['«\xa0', '“']
74 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Soit vous naviguez dans l'explorateur Windows, **Outils > Connecter un lecteur réseau**, puis choisissez la lettre que vous voulez pour désigner le fichier (ex X:) dans **Dossier** entrez //\\vboxsvr\dossierpartage//.\\ Sous Windows 10, dans le volet de navigation de l'explorateur, à gauche de la fenêtre, clic-droit sur Réseau puis "Connecter un lecteur réseau...". Choisir un lecteur (ex X: comme ci-dessus) puis "Parcourir..." pour sélectionner le dossier réseau partagé. Après validation, ce dossier apparaît dans le volet de navigation au-dessus et dans "Réseau" avec un un intitulé en majuscule : \\VBOXSVR | ... => suggestions : ['…']
74 Guillemets typographiques fermants. =>   * Soit vous naviguez dans l'explorateur Windows, **Outils > Connecter un lecteur réseau**, puis choisissez la lettre que vous voulez pour désigner le fichier (ex X:) dans **Dossier** entrez //\\vboxsvr\dossierpartage//.\\ Sous Windows 10, dans le volet de navigation de l'explorateur, à gauche de la fenêtre, clic-droit sur Réseau puis "Connecter un lecteur réseau...". Choisir un lecteur (ex X: comme ci-dessus) puis "Parcourir..." pour sélectionner le dossier réseau partagé. Après validation, ce dossier apparaît dans le volet de navigation au-dessus et dans "Réseau" avec un un intitulé en majuscule : \\VBOXSVR | " => suggestions : ['\xa0»', '”']
74 S’il s’agit d’un seul mot, il manque un trait d’union. =>   * Soit vous naviguez dans l'explorateur Windows, **Outils > Connecter un lecteur réseau**, puis choisissez la lettre que vous voulez pour désigner le fichier (ex X:) dans **Dossier** entrez //\\vboxsvr\dossierpartage//.\\ Sous Windows 10, dans le volet de navigation de l'explorateur, à gauche de la fenêtre, clic-droit sur Réseau puis "Connecter un lecteur réseau...". Choisir un lecteur (ex X: comme ci-dessus) puis "Parcourir..." pour sélectionner le dossier réseau partagé. Après validation, ce dossier apparaît dans le volet de navigation au-dessus et dans "Réseau" avec un un intitulé en majuscule : \\VBOXSVR | ex x => suggestions : ['ex-X']
74 Guillemets typographiques ouvrants. =>   * Soit vous naviguez dans l'explorateur Windows, **Outils > Connecter un lecteur réseau**, puis choisissez la lettre que vous voulez pour désigner le fichier (ex X:) dans **Dossier** entrez //\\vboxsvr\dossierpartage//.\\ Sous Windows 10, dans le volet de navigation de l'explorateur, à gauche de la fenêtre, clic-droit sur Réseau puis "Connecter un lecteur réseau...". Choisir un lecteur (ex X: comme ci-dessus) puis "Parcourir..." pour sélectionner le dossier réseau partagé. Après validation, ce dossier apparaît dans le volet de navigation au-dessus et dans "Réseau" avec un un intitulé en majuscule : \\VBOXSVR | " => suggestions : ['«\xa0', '“']
74 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Soit vous naviguez dans l'explorateur Windows, **Outils > Connecter un lecteur réseau**, puis choisissez la lettre que vous voulez pour désigner le fichier (ex X:) dans **Dossier** entrez //\\vboxsvr\dossierpartage//.\\ Sous Windows 10, dans le volet de navigation de l'explorateur, à gauche de la fenêtre, clic-droit sur Réseau puis "Connecter un lecteur réseau...". Choisir un lecteur (ex X: comme ci-dessus) puis "Parcourir..." pour sélectionner le dossier réseau partagé. Après validation, ce dossier apparaît dans le volet de navigation au-dessus et dans "Réseau" avec un un intitulé en majuscule : \\VBOXSVR | ... => suggestions : ['…']
74 Guillemets typographiques fermants. =>   * Soit vous naviguez dans l'explorateur Windows, **Outils > Connecter un lecteur réseau**, puis choisissez la lettre que vous voulez pour désigner le fichier (ex X:) dans **Dossier** entrez //\\vboxsvr\dossierpartage//.\\ Sous Windows 10, dans le volet de navigation de l'explorateur, à gauche de la fenêtre, clic-droit sur Réseau puis "Connecter un lecteur réseau...". Choisir un lecteur (ex X: comme ci-dessus) puis "Parcourir..." pour sélectionner le dossier réseau partagé. Après validation, ce dossier apparaît dans le volet de navigation au-dessus et dans "Réseau" avec un un intitulé en majuscule : \\VBOXSVR | " => suggestions : ['\xa0»', '”']
74 Guillemets typographiques ouvrants. =>   * Soit vous naviguez dans l'explorateur Windows, **Outils > Connecter un lecteur réseau**, puis choisissez la lettre que vous voulez pour désigner le fichier (ex X:) dans **Dossier** entrez //\\vboxsvr\dossierpartage//.\\ Sous Windows 10, dans le volet de navigation de l'explorateur, à gauche de la fenêtre, clic-droit sur Réseau puis "Connecter un lecteur réseau...". Choisir un lecteur (ex X: comme ci-dessus) puis "Parcourir..." pour sélectionner le dossier réseau partagé. Après validation, ce dossier apparaît dans le volet de navigation au-dessus et dans "Réseau" avec un un intitulé en majuscule : \\VBOXSVR | " => suggestions : ['«\xa0', '“']
74 Guillemets typographiques fermants. =>   * Soit vous naviguez dans l'explorateur Windows, **Outils > Connecter un lecteur réseau**, puis choisissez la lettre que vous voulez pour désigner le fichier (ex X:) dans **Dossier** entrez //\\vboxsvr\dossierpartage//.\\ Sous Windows 10, dans le volet de navigation de l'explorateur, à gauche de la fenêtre, clic-droit sur Réseau puis "Connecter un lecteur réseau...". Choisir un lecteur (ex X: comme ci-dessus) puis "Parcourir..." pour sélectionner le dossier réseau partagé. Après validation, ce dossier apparaît dans le volet de navigation au-dessus et dans "Réseau" avec un un intitulé en majuscule : \\VBOXSVR | " => suggestions : ['\xa0»', '”']
74 Doublon. =>   * Soit vous naviguez dans l'explorateur Windows, **Outils > Connecter un lecteur réseau**, puis choisissez la lettre que vous voulez pour désigner le fichier (ex X:) dans **Dossier** entrez //\\vboxsvr\dossierpartage//.\\ Sous Windows 10, dans le volet de navigation de l'explorateur, à gauche de la fenêtre, clic-droit sur Réseau puis "Connecter un lecteur réseau...". Choisir un lecteur (ex X: comme ci-dessus) puis "Parcourir..." pour sélectionner le dossier réseau partagé. Après validation, ce dossier apparaît dans le volet de navigation au-dessus et dans "Réseau" avec un un intitulé en majuscule : \\VBOXSVR | un un => suggestions : ['un']
74 Mot inconnu : VBOXSVR =>   * Soit vous naviguez dans l'explorateur Windows, **Outils > Connecter un lecteur réseau**, puis choisissez la lettre que vous voulez pour désigner le fichier (ex X:) dans **Dossier** entrez //\\vboxsvr\dossierpartage//.\\ Sous Windows 10, dans le volet de navigation de l'explorateur, à gauche de la fenêtre, clic-droit sur Réseau puis "Connecter un lecteur réseau...". Choisir un lecteur (ex X: comme ci-dessus) puis "Parcourir..." pour sélectionner le dossier réseau partagé. Après validation, ce dossier apparaît dans le volet de navigation au-dessus et dans "Réseau" avec un un intitulé en majuscule : \\VBOXSVR | vboxsvr

75 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => <note important>A la première sollicitation de "Réseau" dans l'explorateur de Windows 10, si un message : "La découverte du réseau est désactivée...", clic-droit sur le bandeau sous la barre de menus : "La découverte du réseau et le partage de fichiers sont désactivés..." puis "Activer la découverte de réseau et le partage des fichiers".</note> | a => suggestions : ['À']
75 Guillemets typographiques ouvrants. => <note important>A la première sollicitation de "Réseau" dans l'explorateur de Windows 10, si un message : "La découverte du réseau est désactivée...", clic-droit sur le bandeau sous la barre de menus : "La découverte du réseau et le partage de fichiers sont désactivés..." puis "Activer la découverte de réseau et le partage des fichiers".</note> | " => suggestions : ['«\xa0', '“']
75 Guillemets typographiques fermants. => <note important>A la première sollicitation de "Réseau" dans l'explorateur de Windows 10, si un message : "La découverte du réseau est désactivée...", clic-droit sur le bandeau sous la barre de menus : "La découverte du réseau et le partage de fichiers sont désactivés..." puis "Activer la découverte de réseau et le partage des fichiers".</note> | " => suggestions : ['\xa0»', '”']
75 Guillemets typographiques ouvrants. => <note important>A la première sollicitation de "Réseau" dans l'explorateur de Windows 10, si un message : "La découverte du réseau est désactivée...", clic-droit sur le bandeau sous la barre de menus : "La découverte du réseau et le partage de fichiers sont désactivés..." puis "Activer la découverte de réseau et le partage des fichiers".</note> | " => suggestions : ['«\xa0', '“']
75 Typographie : points de suspension. Utilisez le caractère dédié. => <note important>A la première sollicitation de "Réseau" dans l'explorateur de Windows 10, si un message : "La découverte du réseau est désactivée...", clic-droit sur le bandeau sous la barre de menus : "La découverte du réseau et le partage de fichiers sont désactivés..." puis "Activer la découverte de réseau et le partage des fichiers".</note> | ... => suggestions : ['…']
75 Guillemets typographiques fermants. => <note important>A la première sollicitation de "Réseau" dans l'explorateur de Windows 10, si un message : "La découverte du réseau est désactivée...", clic-droit sur le bandeau sous la barre de menus : "La découverte du réseau et le partage de fichiers sont désactivés..." puis "Activer la découverte de réseau et le partage des fichiers".</note> | " => suggestions : ['\xa0»', '”']
75 Guillemets typographiques ouvrants. => <note important>A la première sollicitation de "Réseau" dans l'explorateur de Windows 10, si un message : "La découverte du réseau est désactivée...", clic-droit sur le bandeau sous la barre de menus : "La découverte du réseau et le partage de fichiers sont désactivés..." puis "Activer la découverte de réseau et le partage des fichiers".</note> | " => suggestions : ['«\xa0', '“']
75 Typographie : points de suspension. Utilisez le caractère dédié. => <note important>A la première sollicitation de "Réseau" dans l'explorateur de Windows 10, si un message : "La découverte du réseau est désactivée...", clic-droit sur le bandeau sous la barre de menus : "La découverte du réseau et le partage de fichiers sont désactivés..." puis "Activer la découverte de réseau et le partage des fichiers".</note> | ... => suggestions : ['…']
75 Guillemets typographiques fermants. => <note important>A la première sollicitation de "Réseau" dans l'explorateur de Windows 10, si un message : "La découverte du réseau est désactivée...", clic-droit sur le bandeau sous la barre de menus : "La découverte du réseau et le partage de fichiers sont désactivés..." puis "Activer la découverte de réseau et le partage des fichiers".</note> | " => suggestions : ['\xa0»', '”']
75 Guillemets typographiques ouvrants. => <note important>A la première sollicitation de "Réseau" dans l'explorateur de Windows 10, si un message : "La découverte du réseau est désactivée...", clic-droit sur le bandeau sous la barre de menus : "La découverte du réseau et le partage de fichiers sont désactivés..." puis "Activer la découverte de réseau et le partage des fichiers".</note> | " => suggestions : ['«\xa0', '“']
75 Guillemets typographiques fermants. => <note important>A la première sollicitation de "Réseau" dans l'explorateur de Windows 10, si un message : "La découverte du réseau est désactivée...", clic-droit sur le bandeau sous la barre de menus : "La découverte du réseau et le partage de fichiers sont désactivés..." puis "Activer la découverte de réseau et le partage des fichiers".</note> | " => suggestions : ['\xa0»', '”']

77 Mot inconnu : dossierpartage => (**dossierpartage** est le nom du dossier partagé crée précédemment). | dossierpartage

78 Typographie : points de suspension. Utilisez le caractère dédié. => Et le lecteur apparaîtra à la lettre X dans le poste de travail... | ... => suggestions : ['…']

80 Mot inconnu : VirtualBox => <note important>Si cette commande ne fonctionne pas il se peut que se soit le DNS de VirtualBox qui ne fonctionne pas correctement ; essayez alors de remplacer dans cette ligne : "vboxsvr" par votre adresse ip sous Ubuntu (disponible en tapant la commande "ifconfig" dans un terminal)</note> | virtualbox
80 Guillemets typographiques ouvrants. => <note important>Si cette commande ne fonctionne pas il se peut que se soit le DNS de VirtualBox qui ne fonctionne pas correctement ; essayez alors de remplacer dans cette ligne : "vboxsvr" par votre adresse ip sous Ubuntu (disponible en tapant la commande "ifconfig" dans un terminal)</note> | " => suggestions : ['«\xa0', '“']
80 Mot inconnu : vboxsvr => <note important>Si cette commande ne fonctionne pas il se peut que se soit le DNS de VirtualBox qui ne fonctionne pas correctement ; essayez alors de remplacer dans cette ligne : "vboxsvr" par votre adresse ip sous Ubuntu (disponible en tapant la commande "ifconfig" dans un terminal)</note> | vboxsvr
80 Guillemets typographiques fermants. => <note important>Si cette commande ne fonctionne pas il se peut que se soit le DNS de VirtualBox qui ne fonctionne pas correctement ; essayez alors de remplacer dans cette ligne : "vboxsvr" par votre adresse ip sous Ubuntu (disponible en tapant la commande "ifconfig" dans un terminal)</note> | " => suggestions : ['\xa0»', '”']
80 Mot inconnu : ip => <note important>Si cette commande ne fonctionne pas il se peut que se soit le DNS de VirtualBox qui ne fonctionne pas correctement ; essayez alors de remplacer dans cette ligne : "vboxsvr" par votre adresse ip sous Ubuntu (disponible en tapant la commande "ifconfig" dans un terminal)</note> | ip
80 Guillemets typographiques ouvrants. => <note important>Si cette commande ne fonctionne pas il se peut que se soit le DNS de VirtualBox qui ne fonctionne pas correctement ; essayez alors de remplacer dans cette ligne : "vboxsvr" par votre adresse ip sous Ubuntu (disponible en tapant la commande "ifconfig" dans un terminal)</note> | " => suggestions : ['«\xa0', '“']
80 Mot inconnu : ifconfig => <note important>Si cette commande ne fonctionne pas il se peut que se soit le DNS de VirtualBox qui ne fonctionne pas correctement ; essayez alors de remplacer dans cette ligne : "vboxsvr" par votre adresse ip sous Ubuntu (disponible en tapant la commande "ifconfig" dans un terminal)</note> | ifconfig
80 Guillemets typographiques fermants. => <note important>Si cette commande ne fonctionne pas il se peut que se soit le DNS de VirtualBox qui ne fonctionne pas correctement ; essayez alors de remplacer dans cette ligne : "vboxsvr" par votre adresse ip sous Ubuntu (disponible en tapant la commande "ifconfig" dans un terminal)</note> | " => suggestions : ['\xa0»', '”']
97 Mot inconnu : mounting => <note warning>Si vous rencontrez l'erreur "**/sbin/mount.vboxsf: mounting failed with the error: Protocol error** (ou no such device", remplacez //mount -t vboxsf// par //mount.vboxsf// </note> | mounting
97 Mot inconnu : failed => <note warning>Si vous rencontrez l'erreur "**/sbin/mount.vboxsf: mounting failed with the error: Protocol error** (ou no such device", remplacez //mount -t vboxsf// par //mount.vboxsf// </note> | failed
97 Mot inconnu : with => <note warning>Si vous rencontrez l'erreur "**/sbin/mount.vboxsf: mounting failed with the error: Protocol error** (ou no such device", remplacez //mount -t vboxsf// par //mount.vboxsf// </note> | with
97 Mot inconnu : the => <note warning>Si vous rencontrez l'erreur "**/sbin/mount.vboxsf: mounting failed with the error: Protocol error** (ou no such device", remplacez //mount -t vboxsf// par //mount.vboxsf// </note> | the
97 Mot inconnu : error => <note warning>Si vous rencontrez l'erreur "**/sbin/mount.vboxsf: mounting failed with the error: Protocol error** (ou no such device", remplacez //mount -t vboxsf// par //mount.vboxsf// </note> | error
97 Mot inconnu : Protocol => <note warning>Si vous rencontrez l'erreur "**/sbin/mount.vboxsf: mounting failed with the error: Protocol error** (ou no such device", remplacez //mount -t vboxsf// par //mount.vboxsf// </note> | protocol
97 Mot inconnu : error => <note warning>Si vous rencontrez l'erreur "**/sbin/mount.vboxsf: mounting failed with the error: Protocol error** (ou no such device", remplacez //mount -t vboxsf// par //mount.vboxsf// </note> | error
97 Mot inconnu : such => <note warning>Si vous rencontrez l'erreur "**/sbin/mount.vboxsf: mounting failed with the error: Protocol error** (ou no such device", remplacez //mount -t vboxsf// par //mount.vboxsf// </note> | such
97 Mot inconnu : device => <note warning>Si vous rencontrez l'erreur "**/sbin/mount.vboxsf: mounting failed with the error: Protocol error** (ou no such device", remplacez //mount -t vboxsf// par //mount.vboxsf// </note> | device
97 Guillemets typographiques fermants. => <note warning>Si vous rencontrez l'erreur "**/sbin/mount.vboxsf: mounting failed with the error: Protocol error** (ou no such device", remplacez //mount -t vboxsf// par //mount.vboxsf// </note> | " => suggestions : ['\xa0»', '”']
97 Mot inconnu : mount => <note warning>Si vous rencontrez l'erreur "**/sbin/mount.vboxsf: mounting failed with the error: Protocol error** (ou no such device", remplacez //mount -t vboxsf// par //mount.vboxsf// </note> | mount
97 Mot inconnu : vboxsf => <note warning>Si vous rencontrez l'erreur "**/sbin/mount.vboxsf: mounting failed with the error: Protocol error** (ou no such device", remplacez //mount -t vboxsf// par //mount.vboxsf// </note> | vboxsf
97 Mot inconnu : mount => <note warning>Si vous rencontrez l'erreur "**/sbin/mount.vboxsf: mounting failed with the error: Protocol error** (ou no such device", remplacez //mount -t vboxsf// par //mount.vboxsf// </note> | mount
97 Mot inconnu : vboxsf => <note warning>Si vous rencontrez l'erreur "**/sbin/mount.vboxsf: mounting failed with the error: Protocol error** (ou no such device", remplacez //mount -t vboxsf// par //mount.vboxsf// </note> | vboxsf

99 Mot inconnu : dossierpartage => **dossierpartage** est le nom du dossier partagé lors de la configuration de votre machine.\\ | dossierpartage

100 Mot inconnu : pointdemontage => **pointdemontage** est le dossier de montage que vous avez créer plus haut. | pointdemontage
100 Incohérence probable avec “avez” : “créer” n’est pas un participe passé. => **pointdemontage** est le dossier de montage que vous avez créer plus haut. | créer => suggestions : ['créé']

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

