
4 Mot inconnu : PowerMac [[35:43]] => ======Installation d'Ubuntu sur un PowerMac G3 Beige====== <|> powermac
36 Mot inconnu : Ramdisk [[4:11]] =>   * Ramdisk size : 8192 <|> ramdisk
36 Mot inconnu : size [[12:16]] =>   * Ramdisk size : 8192 <|> size
37 Mot inconnu : DEBCONF_PRIORITY [[28:44]] =>   * More kernel arguments : DEBCONF_PRIORITY=critical devfs=mount,dall init=/linuxrc <|> debconf_priority
37 Mot inconnu : critical [[45:53]] =>   * More kernel arguments : DEBCONF_PRIORITY=critical devfs=mount,dall init=/linuxrc <|> critical
37 Mot inconnu : devfs [[54:59]] =>   * More kernel arguments : DEBCONF_PRIORITY=critical devfs=mount,dall init=/linuxrc <|> devfs
37 Mot inconnu : mount [[60:65]] =>   * More kernel arguments : DEBCONF_PRIORITY=critical devfs=mount,dall init=/linuxrc <|> mount
37 Il manque un espace. [[66:70]] =>   * More kernel arguments : DEBCONF_PRIORITY=critical devfs=mount,dall init=/linuxrc <|> dall => suggestions :  dall
37 Mot inconnu : dall [[66:70]] =>   * More kernel arguments : DEBCONF_PRIORITY=critical devfs=mount,dall init=/linuxrc <|> dall
37 Mot inconnu : init [[71:75]] =>   * More kernel arguments : DEBCONF_PRIORITY=critical devfs=mount,dall init=/linuxrc <|> init
37 Mot inconnu : linuxrc [[77:84]] =>   * More kernel arguments : DEBCONF_PRIORITY=critical devfs=mount,dall init=/linuxrc <|> linuxrc

38 Guillemets typographiques ouvrants. [[32:33]] => (A priori, pas besoin de cocher "No video driver") <|> " => suggestions : « “
38 Mot inconnu : video [[36:41]] => (A priori, pas besoin de cocher "No video driver") <|> video
38 Guillemets typographiques fermants. [[48:49]] => (A priori, pas besoin de cocher "No video driver") <|> " => suggestions :  »”

44 Mot inconnu : vmlinux [[107:114]] => Une fois l'installation terminée et avant de vous lancer sous Ubuntu, vous devez copier le noyau de Linux (vmlinux) et le "RamDisk", qui se trouve dans /boot de votre nouvelle installation d'Ubuntu, dans le dossier "Linux Kernels" du Dossier Système de Mac OS avant de pouvoir démarrer votre système Ubuntu nouvellement installé.  <|> vmlinux
44 Guillemets typographiques ouvrants. [[122:123]] => Une fois l'installation terminée et avant de vous lancer sous Ubuntu, vous devez copier le noyau de Linux (vmlinux) et le "RamDisk", qui se trouve dans /boot de votre nouvelle installation d'Ubuntu, dans le dossier "Linux Kernels" du Dossier Système de Mac OS avant de pouvoir démarrer votre système Ubuntu nouvellement installé.  <|> " => suggestions : « “
44 Mot inconnu : RamDisk [[123:130]] => Une fois l'installation terminée et avant de vous lancer sous Ubuntu, vous devez copier le noyau de Linux (vmlinux) et le "RamDisk", qui se trouve dans /boot de votre nouvelle installation d'Ubuntu, dans le dossier "Linux Kernels" du Dossier Système de Mac OS avant de pouvoir démarrer votre système Ubuntu nouvellement installé.  <|> ramdisk
44 Guillemets typographiques fermants. [[130:131]] => Une fois l'installation terminée et avant de vous lancer sous Ubuntu, vous devez copier le noyau de Linux (vmlinux) et le "RamDisk", qui se trouve dans /boot de votre nouvelle installation d'Ubuntu, dans le dossier "Linux Kernels" du Dossier Système de Mac OS avant de pouvoir démarrer votre système Ubuntu nouvellement installé.  <|> " => suggestions :  »”
44 Guillemets typographiques ouvrants. [[215:216]] => Une fois l'installation terminée et avant de vous lancer sous Ubuntu, vous devez copier le noyau de Linux (vmlinux) et le "RamDisk", qui se trouve dans /boot de votre nouvelle installation d'Ubuntu, dans le dossier "Linux Kernels" du Dossier Système de Mac OS avant de pouvoir démarrer votre système Ubuntu nouvellement installé.  <|> " => suggestions : « “
44 Mot inconnu : Kernels [[222:229]] => Une fois l'installation terminée et avant de vous lancer sous Ubuntu, vous devez copier le noyau de Linux (vmlinux) et le "RamDisk", qui se trouve dans /boot de votre nouvelle installation d'Ubuntu, dans le dossier "Linux Kernels" du Dossier Système de Mac OS avant de pouvoir démarrer votre système Ubuntu nouvellement installé.  <|> kernels
44 Guillemets typographiques fermants. [[229:230]] => Une fois l'installation terminée et avant de vous lancer sous Ubuntu, vous devez copier le noyau de Linux (vmlinux) et le "RamDisk", qui se trouve dans /boot de votre nouvelle installation d'Ubuntu, dans le dossier "Linux Kernels" du Dossier Système de Mac OS avant de pouvoir démarrer votre système Ubuntu nouvellement installé.  <|> " => suggestions :  »”
44 Espace(s) en fin de ligne à supprimer. [[329:330]] => Une fois l'installation terminée et avant de vous lancer sous Ubuntu, vous devez copier le noyau de Linux (vmlinux) et le "RamDisk", qui se trouve dans /boot de votre nouvelle installation d'Ubuntu, dans le dossier "Linux Kernels" du Dossier Système de Mac OS avant de pouvoir démarrer votre système Ubuntu nouvellement installé.  <|>  

45 Guillemets typographiques ouvrants. [[56:57]] => Ensuite, redémarrez et cliquez simplement sur le bouton "Linux" dans la fenêtre principale de BootX. A chaque démarrage de l'ordinateur, la fenêtre de BootX sera présentée ce qui permet de choisir sous quel OS démarrer. <|> " => suggestions : « “
45 Guillemets typographiques fermants. [[62:63]] => Ensuite, redémarrez et cliquez simplement sur le bouton "Linux" dans la fenêtre principale de BootX. A chaque démarrage de l'ordinateur, la fenêtre de BootX sera présentée ce qui permet de choisir sous quel OS démarrer. <|> " => suggestions :  »”
45 Mot inconnu : BootX [[94:99]] => Ensuite, redémarrez et cliquez simplement sur le bouton "Linux" dans la fenêtre principale de BootX. A chaque démarrage de l'ordinateur, la fenêtre de BootX sera présentée ce qui permet de choisir sous quel OS démarrer. <|> bootx
45 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[101:102]] => Ensuite, redémarrez et cliquez simplement sur le bouton "Linux" dans la fenêtre principale de BootX. A chaque démarrage de l'ordinateur, la fenêtre de BootX sera présentée ce qui permet de choisir sous quel OS démarrer. <|> a => suggestions : À
45 Mot inconnu : BootX [[151:156]] => Ensuite, redémarrez et cliquez simplement sur le bouton "Linux" dans la fenêtre principale de BootX. A chaque démarrage de l'ordinateur, la fenêtre de BootX sera présentée ce qui permet de choisir sous quel OS démarrer. <|> bootx

48 Écriture invariable. Utilisez un point médian. [[13:24]] => ===En cas de problème(s)=== <|> problème(s) => suggestions : problème·s
49 Typographie : points de suspension. Utilisez le caractère dédié. [[64:67]] =>   * Pensez à retirer un maximum de choses dans l'ordi (carte PCI...), <|> ... => suggestions : …
50 Mot inconnu : Arg [[64:67]] =>   * Branchez l'écran sur le port vidéo intégré à la carte mère (Arg!!! Où est mon adaptateur). <|> arg
55 Espace(s) en fin de ligne à supprimer. [[13:14]] => Bon courage !  <|>  
