
36 Mot inconnu : alt [[48:51]] => Redémarrez votre Mac, en appuyant sur la touche alt, ou option. <|> alt
78 Espace(s) surnuméraire(s) à supprimer. [[17:19]] =>   *Touche tilde :  : Alt droit + L <|>    => suggestions :  
79 Mot inconnu : suppr [[10:15]] =>   *Touche suppr : fn + ← (del) <|> suppr
79 Mot inconnu : fn [[18:20]] =>   *Touche suppr : fn + ← (del) <|> fn
79 Mot inconnu : del [[26:29]] =>   *Touche suppr : fn + ← (del) <|> del
82 Espace(s) surnuméraire(s) à supprimer. [[10:12]] =>   *Touches  [ : Shift + Alt droit + ( <|>    => suggestions :  
82 Pas d’espace après ce signe. [[12:14]] =>   *Touches  [ : Shift + Alt droit + ( <|> [  => suggestions : [

94 Confusion probable : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. [[12:13]] => Ou demandez a powetop d’optimiser tout seul via <|> a => suggestions : à
94 Mot inconnu : powetop [[14:21]] => Ou demandez a powetop d’optimiser tout seul via <|> powetop

100 Espace(s) surnuméraire(s) à supprimer. [[14:16]] => ==== La Webcam  ==== <|>    => suggestions :  
102 Espace(s) surnuméraire(s) à supprimer. [[40:42]] => === Solution 1 : installer le pilote mac  === <|>    => suggestions :  
106 Espace(s) surnuméraire(s) à supprimer. [[55:57]] => === Solution 2 : installer le pilote expérimental Linux  === <|>    => suggestions :  

126 Mot inconnu : directory [[81:90]] => Copiez-collez cette commande, et choisissez les options qu'il vous faut. Pour le directory ou rEFInd est installé, laissez blanc. <|> directory
126 Mot inconnu : rEFInd [[94:100]] => Copiez-collez cette commande, et choisissez les options qu'il vous faut. Pour le directory ou rEFInd est installé, laissez blanc. <|> refind

131 Accord de nombre erroné : « modèle » devrait être au pluriel. [[80:86]] => Vous trouverez ici une liste de problèmes courant et leur solution de plusieurs modèle de MacBook <|> modèle => suggestions : modèles

133 Confusion. On écrit « faire partie ». [[62:67]] => (s'il vous plait ne supprimez pas cette partie si vous faites parti des heureux chanceux qui ne rencontrent pas ces problèmes !) <|> parti => suggestions : partie

136 Mot inconnu : freeze [[22:28]] => ==== Ordinateur lent, freeze, surchauffe ou CPU à 70% ==== <|> freeze

142 Mot inconnu : gpe06 [[15:20]] => Souvent, c'est gpe06 qui se déclenche trop souvent (plusieurs centaines de millier de fois voir plus de 1 000 000 de fois !!!) <|> gpe06
142 Avec « plusieurs centaines de… », mettre au pluriel “millier” s’il y en a bien plusieurs. [[75:82]] => Souvent, c'est gpe06 qui se déclenche trop souvent (plusieurs centaines de millier de fois voir plus de 1 000 000 de fois !!!) <|> millier => suggestions : milliers
142 Grands nombres : utilisez des espaces insécables. [[104:113]] => Souvent, c'est gpe06 qui se déclenche trop souvent (plusieurs centaines de millier de fois voir plus de 1 000 000 de fois !!!) <|> 1 000 000 => suggestions : 1 000 000

144 Mot inconnu : gpe06 [[47:52]] => Adapter la commande si dessous en remplaçant **gpe06** par votre cas. <|> gpe06

147 Guillemets typographiques ouvrants. [[43:44]] => (si cette commande ne marche pas, replacer "disable" par 0) <|> " => suggestions : « “
147 Mot inconnu : disable [[44:51]] => (si cette commande ne marche pas, replacer "disable" par 0) <|> disable
147 Guillemets typographiques fermants. [[51:52]] => (si cette commande ne marche pas, replacer "disable" par 0) <|> " => suggestions :  »”

149 Mot inconnu : Verifier [[0:8]] => Verifier que la CPU se calme <|> verifier
149 Accord de genre erroné : « CPU » est masculin. [[13:15]] => Verifier que la CPU se calme <|> la => suggestions : le

153 Mot inconnu : Verifier [[0:8]] => Verifier la temperature <|> verifier
153 Mot inconnu : temperature [[12:23]] => Verifier la temperature <|> temperature

162 Guillemets typographiques ouvrants. [[43:44]] => (si cette commande ne marche pas, replacer "disable" par 0) <|> " => suggestions : « “
162 Mot inconnu : disable [[44:51]] => (si cette commande ne marche pas, replacer "disable" par 0) <|> disable
162 Guillemets typographiques fermants. [[51:52]] => (si cette commande ne marche pas, replacer "disable" par 0) <|> " => suggestions :  »”

173 Mot inconnu : MokList [[40:47]] => ==== Message d'erreur au démarrage avec MokList ==== <|> moklist

182 Guillemets typographiques ouvrants. [[25:26]] => ===== Pages ayant le tag "mac" ===== <|> " => suggestions : « “
182 Guillemets typographiques fermants. [[29:30]] => ===== Pages ayant le tag "mac" ===== <|> " => suggestions :  »”
