
5 Mot inconnu : Kazam => ====== Kazam ====== | kazam
53 Mot inconnu : before => Sur l'écran principal, une phrase disant: "seconds to wait before capturing:" permet de choisir le décompte. | before
53 Mot inconnu : capturing => Sur l'écran principal, une phrase disant: "seconds to wait before capturing:" permet de choisir le décompte. | capturing

56 Mot inconnu : Screencast => ==== Screencast ==== | screencast

62 Mot inconnu : framerate => Mais attention, **augmenter le framerate augmente aussi la puissance nécessaire à votre ordinateur pour capturer la vidéo**. Veillez  à en tenir compte et à adapter ce réglage ou vous risquerez de voir apparaître d'important ralentissement pendant votre session de capture.  | framerate
62 Espace(s) surnuméraire(s) à supprimer. => Mais attention, **augmenter le framerate augmente aussi la puissance nécessaire à votre ordinateur pour capturer la vidéo**. Veillez  à en tenir compte et à adapter ce réglage ou vous risquerez de voir apparaître d'important ralentissement pendant votre session de capture.  |    => suggestions : [' ']
62 Espace(s) en fin de ligne à supprimer. => Mais attention, **augmenter le framerate augmente aussi la puissance nécessaire à votre ordinateur pour capturer la vidéo**. Veillez  à en tenir compte et à adapter ce réglage ou vous risquerez de voir apparaître d'important ralentissement pendant votre session de capture.  |   => suggestions : ['']

74 Mot inconnu : Kazam_screencast => Exemple de fichier avec le préfixe par défaut (Kazam_screencast): <box>Kazam_screencast_00000.mp4</box> | kazam_screencast
74 Mot inconnu : Kazam_screencast_00000 => Exemple de fichier avec le préfixe par défaut (Kazam_screencast): <box>Kazam_screencast_00000.mp4</box> | kazam_screencast_00000
74 Mot inconnu : mp4 => Exemple de fichier avec le préfixe par défaut (Kazam_screencast): <box>Kazam_screencast_00000.mp4</box> | mp4

83 Guillemets typographiques ouvrants. => Les onglets suivants ("Automatic saving", "Directory", "Filename_prefix") ont le même comportement que dans l'onglet "screencast". | " => suggestions : ['«\xa0', '“']
83 Mot inconnu : Automatic => Les onglets suivants ("Automatic saving", "Directory", "Filename_prefix") ont le même comportement que dans l'onglet "screencast". | automatic
83 Mot inconnu : saving => Les onglets suivants ("Automatic saving", "Directory", "Filename_prefix") ont le même comportement que dans l'onglet "screencast". | saving
83 Guillemets typographiques fermants. => Les onglets suivants ("Automatic saving", "Directory", "Filename_prefix") ont le même comportement que dans l'onglet "screencast". | " => suggestions : ['\xa0»', '”']
83 Guillemets typographiques ouvrants. => Les onglets suivants ("Automatic saving", "Directory", "Filename_prefix") ont le même comportement que dans l'onglet "screencast". | " => suggestions : ['«\xa0', '“']
83 Mot inconnu : Directory => Les onglets suivants ("Automatic saving", "Directory", "Filename_prefix") ont le même comportement que dans l'onglet "screencast". | directory
83 Guillemets typographiques fermants. => Les onglets suivants ("Automatic saving", "Directory", "Filename_prefix") ont le même comportement que dans l'onglet "screencast". | " => suggestions : ['\xa0»', '”']
83 Guillemets typographiques ouvrants. => Les onglets suivants ("Automatic saving", "Directory", "Filename_prefix") ont le même comportement que dans l'onglet "screencast". | " => suggestions : ['«\xa0', '“']
83 Mot inconnu : Filename_prefix => Les onglets suivants ("Automatic saving", "Directory", "Filename_prefix") ont le même comportement que dans l'onglet "screencast". | filename_prefix
83 Guillemets typographiques fermants. => Les onglets suivants ("Automatic saving", "Directory", "Filename_prefix") ont le même comportement que dans l'onglet "screencast". | " => suggestions : ['\xa0»', '”']
83 Guillemets typographiques ouvrants. => Les onglets suivants ("Automatic saving", "Directory", "Filename_prefix") ont le même comportement que dans l'onglet "screencast". | " => suggestions : ['«\xa0', '“']
83 Mot inconnu : screencast => Les onglets suivants ("Automatic saving", "Directory", "Filename_prefix") ont le même comportement que dans l'onglet "screencast". | screencast
83 Guillemets typographiques fermants. => Les onglets suivants ("Automatic saving", "Directory", "Filename_prefix") ont le même comportement que dans l'onglet "screencast". | " => suggestions : ['\xa0»', '”']

91 Accord de genre erroné : « Stéréo » est féminin. => ==== Son Stéréo ==== | son => suggestions : ['Sa']

93 Mot inconnu : Kazam => Par défaut, Kazam enregistre les sons en mono uniquement. Pour corriger ce problème, il faut d'abord éditer le fichier gstreamer.py : | kazam
93 Mot inconnu : gstreamer => Par défaut, Kazam enregistre les sons en mono uniquement. Pour corriger ce problème, il faut d'abord éditer le fichier gstreamer.py : | gstreamer
93 Mot inconnu : py => Par défaut, Kazam enregistre les sons en mono uniquement. Pour corriger ce problème, il faut d'abord éditer le fichier gstreamer.py : | py

99 Mot inconnu : aud_caps => <file> self.aud_caps = Gst.caps_from_string("audio/x-raw") | aud_caps
99 Mot inconnu : Gst => <file> self.aud_caps = Gst.caps_from_string("audio/x-raw") | gst
99 Mot inconnu : caps_from_string => <file> self.aud_caps = Gst.caps_from_string("audio/x-raw") | caps_from_string
99 Il manque un espace avant la parenthèse. => <file> self.aud_caps = Gst.caps_from_string("audio/x-raw") | ( => suggestions : [' (']
99 Guillemets typographiques ouvrants. => <file> self.aud_caps = Gst.caps_from_string("audio/x-raw") | " => suggestions : ['«\xa0', '“']
99 Mot inconnu : x-raw => <file> self.aud_caps = Gst.caps_from_string("audio/x-raw") | x-raw
99 Guillemets typographiques fermants. => <file> self.aud_caps = Gst.caps_from_string("audio/x-raw") | " => suggestions : ['\xa0»', '”']

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  self.aud2_caps = Gst.caps_from_string("audio/x-raw") </file> |   => suggestions : ['']
100 Mot inconnu : aud2_caps =>  self.aud2_caps = Gst.caps_from_string("audio/x-raw") </file> | aud2_caps
100 Mot inconnu : Gst =>  self.aud2_caps = Gst.caps_from_string("audio/x-raw") </file> | gst
100 Mot inconnu : caps_from_string =>  self.aud2_caps = Gst.caps_from_string("audio/x-raw") </file> | caps_from_string
100 Il manque un espace avant la parenthèse. =>  self.aud2_caps = Gst.caps_from_string("audio/x-raw") </file> | ( => suggestions : [' (']
100 Guillemets typographiques ouvrants. =>  self.aud2_caps = Gst.caps_from_string("audio/x-raw") </file> | " => suggestions : ['«\xa0', '“']
100 Mot inconnu : x-raw =>  self.aud2_caps = Gst.caps_from_string("audio/x-raw") </file> | x-raw
100 Guillemets typographiques fermants. =>  self.aud2_caps = Gst.caps_from_string("audio/x-raw") </file> | " => suggestions : ['\xa0»', '”']

102 Il manque un trait d’union. => Et les remplacer par celles ci : | celles ci => suggestions : ['celles-ci']

104 Mot inconnu : aud_caps => <file> self.aud_caps = Gst.caps_from_string("audio/x-raw,channels=2") | aud_caps
104 Mot inconnu : Gst => <file> self.aud_caps = Gst.caps_from_string("audio/x-raw,channels=2") | gst
104 Mot inconnu : caps_from_string => <file> self.aud_caps = Gst.caps_from_string("audio/x-raw,channels=2") | caps_from_string
104 Il manque un espace avant la parenthèse. => <file> self.aud_caps = Gst.caps_from_string("audio/x-raw,channels=2") | ( => suggestions : [' (']
104 Guillemets typographiques ouvrants. => <file> self.aud_caps = Gst.caps_from_string("audio/x-raw,channels=2") | " => suggestions : ['«\xa0', '“']
104 Mot inconnu : x-raw => <file> self.aud_caps = Gst.caps_from_string("audio/x-raw,channels=2") | x-raw
104 Il manque un espace. => <file> self.aud_caps = Gst.caps_from_string("audio/x-raw,channels=2") | channels => suggestions : [' channels']
104 Mot inconnu : channels => <file> self.aud_caps = Gst.caps_from_string("audio/x-raw,channels=2") | channels
104 Guillemets typographiques fermants. => <file> self.aud_caps = Gst.caps_from_string("audio/x-raw,channels=2") | " => suggestions : ['\xa0»', '”']

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  self.aud2_caps = Gst.caps_from_string("audio/x-raw,channels=2") </file> |   => suggestions : ['']
105 Mot inconnu : aud2_caps =>  self.aud2_caps = Gst.caps_from_string("audio/x-raw,channels=2") </file> | aud2_caps
105 Mot inconnu : Gst =>  self.aud2_caps = Gst.caps_from_string("audio/x-raw,channels=2") </file> | gst
105 Mot inconnu : caps_from_string =>  self.aud2_caps = Gst.caps_from_string("audio/x-raw,channels=2") </file> | caps_from_string
105 Il manque un espace avant la parenthèse. =>  self.aud2_caps = Gst.caps_from_string("audio/x-raw,channels=2") </file> | ( => suggestions : [' (']
105 Guillemets typographiques ouvrants. =>  self.aud2_caps = Gst.caps_from_string("audio/x-raw,channels=2") </file> | " => suggestions : ['«\xa0', '“']
105 Mot inconnu : x-raw =>  self.aud2_caps = Gst.caps_from_string("audio/x-raw,channels=2") </file> | x-raw
105 Il manque un espace. =>  self.aud2_caps = Gst.caps_from_string("audio/x-raw,channels=2") </file> | channels => suggestions : [' channels']
105 Mot inconnu : channels =>  self.aud2_caps = Gst.caps_from_string("audio/x-raw,channels=2") </file> | channels
105 Guillemets typographiques fermants. =>  self.aud2_caps = Gst.caps_from_string("audio/x-raw,channels=2") </file> | " => suggestions : ['\xa0»', '”']

108 Guillemets typographiques ouvrants. => Une fois que vous avez tout paramétré et sélectionné les zones à capturer, vous pouvez cliquer sur le bouton "Capture", ou utiliser la séquence de touche **Super + Ctrl + r**, la fenêtre de Kazam va alors se fermer (une cinématique de compte à rebours sera présent si vous avez activé l'option), et la capture commencera. | " => suggestions : ['«\xa0', '“']
108 Guillemets typographiques fermants. => Une fois que vous avez tout paramétré et sélectionné les zones à capturer, vous pouvez cliquer sur le bouton "Capture", ou utiliser la séquence de touche **Super + Ctrl + r**, la fenêtre de Kazam va alors se fermer (une cinématique de compte à rebours sera présent si vous avez activé l'option), et la capture commencera. | " => suggestions : ['\xa0»', '”']
108 Mot inconnu : Kazam => Une fois que vous avez tout paramétré et sélectionné les zones à capturer, vous pouvez cliquer sur le bouton "Capture", ou utiliser la séquence de touche **Super + Ctrl + r**, la fenêtre de Kazam va alors se fermer (une cinématique de compte à rebours sera présent si vous avez activé l'option), et la capture commencera. | kazam
108 Accord erroné : “cinématique” et “présent” ne sont pas accordés. => Une fois que vous avez tout paramétré et sélectionné les zones à capturer, vous pouvez cliquer sur le bouton "Capture", ou utiliser la séquence de touche **Super + Ctrl + r**, la fenêtre de Kazam va alors se fermer (une cinématique de compte à rebours sera présent si vous avez activé l'option), et la capture commencera. | présent => suggestions : ['présente']
110 Guillemets typographiques ouvrants. => <note help>Vous allez me dire: "Mais comment on arrête la capture ?"</note> | " => suggestions : ['«\xa0', '“']
110 Guillemets typographiques fermants. => <note help>Vous allez me dire: "Mais comment on arrête la capture ?"</note> | " => suggestions : ['\xa0»', '”']

112 Mot inconnu : Kazam => C'est simple, ne tentez pas d'ouvrir de nouveau Kazam, ça ne marchera pas, la solution, est simplement d'aller dans la barre d'outils, si vous l'avez remarqué, à l'ouverture de Kazam, une îcone était présente. Vous pourrez mettre en pause, ou stopper l'enregistrement depuis ce bouton. Sinon vous pouvez utiliser le clavier avec la séquence de touches **Super + Ctrl + f** pour arrêter l'enregistrement et **Super + Ctrl + p** pour mettre en pause. Pour afficher Kazam utiliser la séquence  **Super + Ctrl + s**. | kazam
112 Mot inconnu : Kazam => C'est simple, ne tentez pas d'ouvrir de nouveau Kazam, ça ne marchera pas, la solution, est simplement d'aller dans la barre d'outils, si vous l'avez remarqué, à l'ouverture de Kazam, une îcone était présente. Vous pourrez mettre en pause, ou stopper l'enregistrement depuis ce bouton. Sinon vous pouvez utiliser le clavier avec la séquence de touches **Super + Ctrl + f** pour arrêter l'enregistrement et **Super + Ctrl + p** pour mettre en pause. Pour afficher Kazam utiliser la séquence  **Super + Ctrl + s**. | kazam
112 Mot inconnu : îcone => C'est simple, ne tentez pas d'ouvrir de nouveau Kazam, ça ne marchera pas, la solution, est simplement d'aller dans la barre d'outils, si vous l'avez remarqué, à l'ouverture de Kazam, une îcone était présente. Vous pourrez mettre en pause, ou stopper l'enregistrement depuis ce bouton. Sinon vous pouvez utiliser le clavier avec la séquence de touches **Super + Ctrl + f** pour arrêter l'enregistrement et **Super + Ctrl + p** pour mettre en pause. Pour afficher Kazam utiliser la séquence  **Super + Ctrl + s**. | îcone
112 Mot inconnu : Kazam => C'est simple, ne tentez pas d'ouvrir de nouveau Kazam, ça ne marchera pas, la solution, est simplement d'aller dans la barre d'outils, si vous l'avez remarqué, à l'ouverture de Kazam, une îcone était présente. Vous pourrez mettre en pause, ou stopper l'enregistrement depuis ce bouton. Sinon vous pouvez utiliser le clavier avec la séquence de touches **Super + Ctrl + f** pour arrêter l'enregistrement et **Super + Ctrl + p** pour mettre en pause. Pour afficher Kazam utiliser la séquence  **Super + Ctrl + s**. | kazam
112 Espace(s) surnuméraire(s) à supprimer. => C'est simple, ne tentez pas d'ouvrir de nouveau Kazam, ça ne marchera pas, la solution, est simplement d'aller dans la barre d'outils, si vous l'avez remarqué, à l'ouverture de Kazam, une îcone était présente. Vous pourrez mettre en pause, ou stopper l'enregistrement depuis ce bouton. Sinon vous pouvez utiliser le clavier avec la séquence de touches **Super + Ctrl + f** pour arrêter l'enregistrement et **Super + Ctrl + p** pour mettre en pause. Pour afficher Kazam utiliser la séquence  **Super + Ctrl + s**. |    => suggestions : [' ']

116 Il manque un espace. => Pour supprimer cette application, il suffit de [[tutoriel:comment_supprimer_un_paquet|supprimer son paquet]]. | comment_supprimer_un_paquet => suggestions : [' comment_supprimer_un_paquet']
116 Mot inconnu : comment_supprimer_un_paquet => Pour supprimer cette application, il suffit de [[tutoriel:comment_supprimer_un_paquet|supprimer son paquet]]. | comment_supprimer_un_paquet
