
3 Mot inconnu : apt-get => ====== apt-get ====== | apt-get
116 Mot inconnu : apt-get => Remarque : taper "man apt-get" dans un terminal donne une réponse en français et une explication plus complète et plus claire. | apt-get
116 Guillemets typographiques fermants. => Remarque : taper "man apt-get" dans un terminal donne une réponse en français et une explication plus complète et plus claire. | " => suggestions : ['\xa0»', '”']
120 Mot inconnu : nom_du_paquet => <file>Package: nom_du_paquet | nom_du_paquet

122 Mot inconnu : Pin-priority => Pin-priority: 1001</file> | pin-priority

125 Espace(s) en fin de ligne à supprimer. => == Exemple ==  |   => suggestions : ['']

126 Mot inconnu : kaffeine => Si par exemple vous souhaiter conserver la version 0.8.8 de kaffeine, vous indiquerez dans **/etc/apt/preferences** | kaffeine
127 Mot inconnu : kaffeine => <file>Package: kaffeine | kaffeine

129 Mot inconnu : Pin-priority => Pin-priority: 1001</file> | pin-priority

130 Mot inconnu : sudo => Dans le doute, vérifier en tapant la commande **sudo apt-cache policy nom_du_paquet**, pour l'exemple du paquet kaffeine | sudo
130 Mot inconnu : apt-cache => Dans le doute, vérifier en tapant la commande **sudo apt-cache policy nom_du_paquet**, pour l'exemple du paquet kaffeine | apt-cache
130 Mot inconnu : policy => Dans le doute, vérifier en tapant la commande **sudo apt-cache policy nom_du_paquet**, pour l'exemple du paquet kaffeine | policy
130 Mot inconnu : nom_du_paquet => Dans le doute, vérifier en tapant la commande **sudo apt-cache policy nom_du_paquet**, pour l'exemple du paquet kaffeine | nom_du_paquet
130 Mot inconnu : kaffeine => Dans le doute, vérifier en tapant la commande **sudo apt-cache policy nom_du_paquet**, pour l'exemple du paquet kaffeine | kaffeine

133 Mot inconnu : kaffeine => <note tip>Une méthode plus simple (toujours avec le paquet kaffeine): | kaffeine

135 Mot inconnu : __Pour => //__Pour les utilisateurs d'apt-get__ :// | __pour
135 Mot inconnu : apt-get__ => //__Pour les utilisateurs d'apt-get__ :// | apt-get__

137 Mot inconnu : install => Pour vérifier que le paquet n'a plus le statut install mais hold ((bloqué)) : | install
137 Mot inconnu : hold => Pour vérifier que le paquet n'a plus le statut install mais hold ((bloqué)) : | hold
153 Espace(s) en fin de ligne à supprimer. => Pour lister les paquets gelés :  |   => suggestions : ['']

158 Mot inconnu : kaffeine => Remplacer kaffeine par le paquet que vous voulez bloquer ;)</note> | kaffeine

177 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //utilisateur// est le nom d'utilisateur pour se connecter au proxy si nécessaire,  |    => suggestions : ['']
177 Espace(s) en fin de ligne à supprimer. =>   * //utilisateur// est le nom d'utilisateur pour se connecter au proxy si nécessaire,  |   => suggestions : ['']

178 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //mot de passe// est le mot de passe éventuellement associé |    => suggestions : ['']

179 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //exemple.com// est l'adresse du proxy, |    => suggestions : ['']

180 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //port// est le port pour y accéder. |    => suggestions : ['']

182 Mot inconnu : bashrc => Pour rendre le changement permanent vous pouvez rajouter la ligne dans le fichier **.bashrc** ou créer un fichier **proxy** dans **/etc/apt/apt.conf.d/proxy** puis rajouter la ligne suivante : | bashrc

184 Mot inconnu : Acquire => Acquire::http::Proxy "http://utilisateur:motdepasse@exemple.com:port"; | acquire
184 Une de ces ponctuations est superflue. => Acquire::http::Proxy "http://utilisateur:motdepasse@exemple.com:port"; | :: => suggestions : [':', ':']
184 Une de ces ponctuations est superflue. => Acquire::http::Proxy "http://utilisateur:motdepasse@exemple.com:port"; | :: => suggestions : [':', ':']
184 Guillemets typographiques ouvrants. => Acquire::http::Proxy "http://utilisateur:motdepasse@exemple.com:port"; | " => suggestions : ['«\xa0', '“']
184 Guillemets typographiques fermants. => Acquire::http::Proxy "http://utilisateur:motdepasse@exemple.com:port"; | " => suggestions : ['\xa0»', '”']

189 Mot inconnu : Acquire => Acquire::ftp | acquire
189 Une de ces ponctuations est superflue. => Acquire::ftp | :: => suggestions : [':', ':']

191 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Proxy "ftp://exemple.com:port/"; |   => suggestions : ['']
191 Guillemets typographiques ouvrants. =>  Proxy "ftp://exemple.com:port/"; | " => suggestions : ['«\xa0', '“']

192 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ProxyLogin |   => suggestions : ['']
192 Mot inconnu : ProxyLogin =>  ProxyLogin | proxylogin

193 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  { |   => suggestions : ['']

194 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    "USER $(SITE_USER)@$(SITE)"; |     => suggestions : ['']
194 Guillemets typographiques ouvrants. =>    "USER $(SITE_USER)@$(SITE)"; | " => suggestions : ['«\xa0', '“']
194 Mot inconnu : SITE_USER =>    "USER $(SITE_USER)@$(SITE)"; | site_user

195 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    "PASS $(SITE_PASS)"; |     => suggestions : ['']
195 Guillemets typographiques ouvrants. =>    "PASS $(SITE_PASS)"; | " => suggestions : ['«\xa0', '“']
195 Mot inconnu : PASS =>    "PASS $(SITE_PASS)"; | pass
195 Mot inconnu : SITE_PASS =>    "PASS $(SITE_PASS)"; | site_pass

196 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  } |   => suggestions : ['']

200 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  où : |   => suggestions : ['']

201 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * //exemple.com// est l'adresse du proxy, |      => suggestions : ['']

202 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * //port// est le port pour y accéder. |      => suggestions : ['']

208 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Allez dans //Système -> Préférences ->Serveur Mandataire// |    => suggestions : ['']
208 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Allez dans //Système -> Préférences ->Serveur Mandataire// |  -  => suggestions : [' – ', ' — ', ' − ']

209 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Décochez "Configuration manuelle du  serveur mandataire" |    => suggestions : ['']
209 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Décochez "Configuration manuelle du  serveur mandataire" |  -  => suggestions : [' – ', ' — ', ' − ']
209 Guillemets typographiques ouvrants. =>   - Décochez "Configuration manuelle du  serveur mandataire" | " => suggestions : ['«\xa0', '“']
209 Espace(s) surnuméraire(s) à supprimer. =>   - Décochez "Configuration manuelle du  serveur mandataire" |    => suggestions : [' ']
209 Guillemets typographiques fermants. =>   - Décochez "Configuration manuelle du  serveur mandataire" | " => suggestions : ['\xa0»', '”']

210 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Cochez "Connexion direct à internet"  |    => suggestions : ['']
210 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Cochez "Connexion direct à internet"  |  -  => suggestions : [' – ', ' — ', ' − ']
210 Guillemets typographiques ouvrants. =>   - Cochez "Connexion direct à internet"  | " => suggestions : ['«\xa0', '“']
210 Guillemets typographiques fermants. =>   - Cochez "Connexion direct à internet"  | " => suggestions : ['\xa0»', '”']
210 Espace(s) en fin de ligne à supprimer. =>   - Cochez "Connexion direct à internet"  |   => suggestions : ['']

211 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Cliquez sur "Appliquer à l'ensemble du système" |    => suggestions : ['']
211 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Cliquez sur "Appliquer à l'ensemble du système" |  -  => suggestions : [' – ', ' — ', ' − ']
211 Guillemets typographiques ouvrants. =>   - Cliquez sur "Appliquer à l'ensemble du système" | " => suggestions : ['«\xa0', '“']
211 Guillemets typographiques fermants. =>   - Cliquez sur "Appliquer à l'ensemble du système" | " => suggestions : ['\xa0»', '”']

212 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Fermez |    => suggestions : ['']
212 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Fermez |  -  => suggestions : [' – ', ' — ', ' − ']

214 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Effacez la ou les ligne(s) en rapport avec le proxy |    => suggestions : ['']
214 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Effacez la ou les ligne(s) en rapport avec le proxy |  -  => suggestions : [' – ', ' — ', ' − ']
214 S’il s’agit d’un impératif, mettez un trait d’union. =>   - Effacez la ou les ligne(s) en rapport avec le proxy | effacez la => suggestions : ['Effacez-la']
214 Écriture invariable. Utilisez un point médian. =>   - Effacez la ou les ligne(s) en rapport avec le proxy | ligne(s) => suggestions : ['ligne·s']

215 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Après enregistrement, redémarrez votre PC |    => suggestions : ['']
215 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Après enregistrement, redémarrez votre PC |  -  => suggestions : [' – ', ' — ', ' − ']

219 Espace(s) surnuméraire(s) à supprimer. => ==== Limiter la vitesse téléchargement  ==== |    => suggestions : [' ']

221 Écriture invariable. Utilisez un point médian. => Par exemple ici à 25kB/s : | 25kb/s => suggestions : ['25kB·s']
221 Mot inconnu : kB => Par exemple ici à 25kB/s : | kb

223 Mot inconnu : Acquire => Acquire | acquire

225 Guillemets typographiques ouvrants. => Queue-mode "access"; | " => suggestions : ['«\xa0', '“']
225 Mot inconnu : access => Queue-mode "access"; | access
225 Guillemets typographiques fermants. => Queue-mode "access"; | " => suggestions : ['\xa0»', '”']

228 Mot inconnu : Dl-Limit => Dl-Limit "25"; | dl-limit
228 Guillemets typographiques ouvrants. => Dl-Limit "25"; | " => suggestions : ['«\xa0', '“']
228 Guillemets typographiques fermants. => Dl-Limit "25"; | " => suggestions : ['\xa0»', '”']

233 Espace(s) surnuméraire(s) à supprimer. => ==== Historique  ==== |    => suggestions : [' ']

234 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    *  Le log (ou historique) des actions de apt-get se trouve dans **/var/log/apt/**  |     => suggestions : ['']
234 Élision de l’article devant un mot commençant par une voyelle. =>    *  Le log (ou historique) des actions de apt-get se trouve dans **/var/log/apt/**  | de  => suggestions : ['d’']
234 Mot inconnu : apt-get =>    *  Le log (ou historique) des actions de apt-get se trouve dans **/var/log/apt/**  | apt-get
234 Espace(s) en fin de ligne à supprimer. =>    *  Le log (ou historique) des actions de apt-get se trouve dans **/var/log/apt/**  |   => suggestions : ['']

237 Mot inconnu : history => **history.log** correspond à l'historique du mois en cours. | history
237 Il manque un espace. => **history.log** correspond à l'historique du mois en cours. | log => suggestions : [' log']

239 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * À la fin de chaque mois, ce fichier est archivé sous la forme history.log.1.gz |    => suggestions : ['']
239 Il manque un espace. =>   * À la fin de chaque mois, ce fichier est archivé sous la forme history.log.1.gz | log => suggestions : [' log']

240 Mot inconnu : zless => On affiche un tel fichier archivé avec zless | zless

249 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://www.debian.org/doc/manuals/apt-howto/ch-apt-get.fr.html|Manuel Debian sur APT : Gestion des paquets]] |    => suggestions : ['']
