
4 Mot inconnu : Nautilus => ====== Nautilus Actions ====== | nautilus
42 Guillemets typographiques ouvrants. =>   * "Icône" où vous pouvez mettre l'icône de votre choix, qui s'affichera à gauche du titre de l'action dans le menu de nautilus. | " => suggestions : ['«\xa0', '“']
42 Guillemets typographiques fermants. =>   * "Icône" où vous pouvez mettre l'icône de votre choix, qui s'affichera à gauche du titre de l'action dans le menu de nautilus. | " => suggestions : ['\xa0»', '”']
42 Mot inconnu : nautilus =>   * "Icône" où vous pouvez mettre l'icône de votre choix, qui s'affichera à gauche du titre de l'action dans le menu de nautilus. | nautilus

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  "Chemin" est la ligne de commande de l'action. Il peut être très long du moment que ça tient sur une ligne (le recourt à un script peut être utile) |    => suggestions : ['']
44 Guillemets typographiques ouvrants. =>   *  "Chemin" est la ligne de commande de l'action. Il peut être très long du moment que ça tient sur une ligne (le recourt à un script peut être utile) | " => suggestions : ['«\xa0', '“']
44 Guillemets typographiques fermants. =>   *  "Chemin" est la ligne de commande de l'action. Il peut être très long du moment que ça tient sur une ligne (le recourt à un script peut être utile) | " => suggestions : ['\xa0»', '”']
44 Confusion probable : “recourt” est une forme verbale conjuguée. Si “le” est un déterminant, il faut placer un nom après. =>   *  "Chemin" est la ligne de commande de l'action. Il peut être très long du moment que ça tient sur une ligne (le recourt à un script peut être utile) | recourt => suggestions : ['recours']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  "Paramètres" est la liste des paramètres à passer à l'exécutable de chemin. Nautilus-actions possède sa propre syntaxe, pour la connaître aller voir dans "Légende" à la fin du champs "Paramètres". Le paramètre %d permet à l'action de s'exécuter dans le dossier sélectionné, et le paramètres %f permet d'agir directement sur le fichier choisi. |    => suggestions : ['']
45 Guillemets typographiques ouvrants. =>   *  "Paramètres" est la liste des paramètres à passer à l'exécutable de chemin. Nautilus-actions possède sa propre syntaxe, pour la connaître aller voir dans "Légende" à la fin du champs "Paramètres". Le paramètre %d permet à l'action de s'exécuter dans le dossier sélectionné, et le paramètres %f permet d'agir directement sur le fichier choisi. | " => suggestions : ['«\xa0', '“']
45 Guillemets typographiques fermants. =>   *  "Paramètres" est la liste des paramètres à passer à l'exécutable de chemin. Nautilus-actions possède sa propre syntaxe, pour la connaître aller voir dans "Légende" à la fin du champs "Paramètres". Le paramètre %d permet à l'action de s'exécuter dans le dossier sélectionné, et le paramètres %f permet d'agir directement sur le fichier choisi. | " => suggestions : ['\xa0»', '”']
45 Mot inconnu : Nautilus-actions =>   *  "Paramètres" est la liste des paramètres à passer à l'exécutable de chemin. Nautilus-actions possède sa propre syntaxe, pour la connaître aller voir dans "Légende" à la fin du champs "Paramètres". Le paramètre %d permet à l'action de s'exécuter dans le dossier sélectionné, et le paramètres %f permet d'agir directement sur le fichier choisi. | nautilus-actions
45 Guillemets typographiques ouvrants. =>   *  "Paramètres" est la liste des paramètres à passer à l'exécutable de chemin. Nautilus-actions possède sa propre syntaxe, pour la connaître aller voir dans "Légende" à la fin du champs "Paramètres". Le paramètre %d permet à l'action de s'exécuter dans le dossier sélectionné, et le paramètres %f permet d'agir directement sur le fichier choisi. | " => suggestions : ['«\xa0', '“']
45 Guillemets typographiques fermants. =>   *  "Paramètres" est la liste des paramètres à passer à l'exécutable de chemin. Nautilus-actions possède sa propre syntaxe, pour la connaître aller voir dans "Légende" à la fin du champs "Paramètres". Le paramètre %d permet à l'action de s'exécuter dans le dossier sélectionné, et le paramètres %f permet d'agir directement sur le fichier choisi. | " => suggestions : ['\xa0»', '”']
45 Accord de nombre erroné : « champs » devrait être au singulier. =>   *  "Paramètres" est la liste des paramètres à passer à l'exécutable de chemin. Nautilus-actions possède sa propre syntaxe, pour la connaître aller voir dans "Légende" à la fin du champs "Paramètres". Le paramètre %d permet à l'action de s'exécuter dans le dossier sélectionné, et le paramètres %f permet d'agir directement sur le fichier choisi. | champs => suggestions : ['champ']
45 Guillemets typographiques ouvrants. =>   *  "Paramètres" est la liste des paramètres à passer à l'exécutable de chemin. Nautilus-actions possède sa propre syntaxe, pour la connaître aller voir dans "Légende" à la fin du champs "Paramètres". Le paramètre %d permet à l'action de s'exécuter dans le dossier sélectionné, et le paramètres %f permet d'agir directement sur le fichier choisi. | " => suggestions : ['«\xa0', '“']
45 Guillemets typographiques fermants. =>   *  "Paramètres" est la liste des paramètres à passer à l'exécutable de chemin. Nautilus-actions possède sa propre syntaxe, pour la connaître aller voir dans "Légende" à la fin du champs "Paramètres". Le paramètre %d permet à l'action de s'exécuter dans le dossier sélectionné, et le paramètres %f permet d'agir directement sur le fichier choisi. | " => suggestions : ['\xa0»', '”']
45 Il manque un espace. =>   *  "Paramètres" est la liste des paramètres à passer à l'exécutable de chemin. Nautilus-actions possède sa propre syntaxe, pour la connaître aller voir dans "Légende" à la fin du champs "Paramètres". Le paramètre %d permet à l'action de s'exécuter dans le dossier sélectionné, et le paramètres %f permet d'agir directement sur le fichier choisi. | d => suggestions : [' d']
45 Il manque un espace. =>   *  "Paramètres" est la liste des paramètres à passer à l'exécutable de chemin. Nautilus-actions possède sa propre syntaxe, pour la connaître aller voir dans "Légende" à la fin du champs "Paramètres". Le paramètre %d permet à l'action de s'exécuter dans le dossier sélectionné, et le paramètres %f permet d'agir directement sur le fichier choisi. | f => suggestions : [' f']

49 Mot inconnu : MIMETYPE => C'est un onglet très important, il permet de spécifier quel type de fichiers sont concernés (MIMETYPE et expression régulière) et si les dossiers sont concernés les fichiers ou bien les deux. | mimetype

56 Mot inconnu : schemas => Sélectionner l'action à importer au format //.schemas//. | schemas

63 Confusion probable : « peut-être » signifie « possiblement ». => Il peut-être pratique de pouvoir ajouter une action à nautilus depuis la ligne de commande. | peut-être => suggestions : ['peut être']
63 Mot inconnu : nautilus => Il peut-être pratique de pouvoir ajouter une action à nautilus depuis la ligne de commande. | nautilus

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * --label="texte": affiche "texte" dans le menu contextuel |    => suggestions : ['']
66 Guillemets typographiques ouvrants. =>   * --label="texte": affiche "texte" dans le menu contextuel | " => suggestions : ['«\xa0', '“']
66 Guillemets typographiques fermants. =>   * --label="texte": affiche "texte" dans le menu contextuel | " => suggestions : ['\xa0»', '”']
66 Guillemets typographiques ouvrants. =>   * --label="texte": affiche "texte" dans le menu contextuel | " => suggestions : ['«\xa0', '“']
66 Guillemets typographiques fermants. =>   * --label="texte": affiche "texte" dans le menu contextuel | " => suggestions : ['\xa0»', '”']

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * -p "%d %m": ajoute les paramètres à la commande lancée (%d = dossier dans lequel se trouve le fichier, %m = liste des fichiers sans leur chemin complet) |    => suggestions : ['']
67 Il manque un espace. =>   * -p "%d %m": ajoute les paramètres à la commande lancée (%d = dossier dans lequel se trouve le fichier, %m = liste des fichiers sans leur chemin complet) | d => suggestions : [' d']
67 Il manque un espace. =>   * -p "%d %m": ajoute les paramètres à la commande lancée (%d = dossier dans lequel se trouve le fichier, %m = liste des fichiers sans leur chemin complet) | m => suggestions : [' m']
67 Guillemets typographiques fermants. =>   * -p "%d %m": ajoute les paramètres à la commande lancée (%d = dossier dans lequel se trouve le fichier, %m = liste des fichiers sans leur chemin complet) | " => suggestions : ['\xa0»', '”']
67 Il manque un espace. =>   * -p "%d %m": ajoute les paramètres à la commande lancée (%d = dossier dans lequel se trouve le fichier, %m = liste des fichiers sans leur chemin complet) | d => suggestions : [' d']
67 Il manque un espace. =>   * -p "%d %m": ajoute les paramètres à la commande lancée (%d = dossier dans lequel se trouve le fichier, %m = liste des fichiers sans leur chemin complet) | m => suggestions : [' m']

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * -x chemin/programme: exécute le programme disponible au chemin spécifié |    => suggestions : ['']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * -d: actif si un dossier est sélectionné |    => suggestions : ['']

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * -u: actif même si plusieurs éléments sont sélectionnés |    => suggestions : ['']

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * -g: ajouter directement le tout à gconf plutôt que de renvoyer le résultat sur la sortie standard [FIXME : ceci ne fonctionne plus ! ] |    => suggestions : ['']
71 Mot inconnu : gconf =>   * -g: ajouter directement le tout à gconf plutôt que de renvoyer le résultat sur la sortie standard [FIXME : ceci ne fonctionne plus ! ] | gconf
71 Mot inconnu : FIXME =>   * -g: ajouter directement le tout à gconf plutôt que de renvoyer le résultat sur la sortie standard [FIXME : ceci ne fonctionne plus ! ] | fixme
71 Pas d’espace avant ce signe. =>   * -g: ajouter directement le tout à gconf plutôt que de renvoyer le résultat sur la sortie standard [FIXME : ceci ne fonctionne plus ! ] |  ] => suggestions : [']']

73 Mot inconnu : nautilus-actions-new => Pour plus de détails, référez-vous à la sortie de la commande //nautilus-actions-new// dans un terminal. | nautilus-actions-new

77 Mot inconnu : gconftool-2 => gconftool-2 --recursive-unset /path/your/keys/in/gconf</code> | gconftool-2
77 Mot inconnu : recursive-unset => gconftool-2 --recursive-unset /path/your/keys/in/gconf</code> | recursive-unset
77 Mot inconnu : path => gconftool-2 --recursive-unset /path/your/keys/in/gconf</code> | path
77 Mot inconnu : your => gconftool-2 --recursive-unset /path/your/keys/in/gconf</code> | your
77 Mot inconnu : keys => gconftool-2 --recursive-unset /path/your/keys/in/gconf</code> | keys
77 Mot inconnu : gconf => gconftool-2 --recursive-unset /path/your/keys/in/gconf</code> | gconf

85 Mot inconnu : Easytag => ==== Éditer des étiquettes avec Easytag ==== | easytag
88 Guillemets typographiques ouvrants. => Utile pour étiqueter rapidement des fichiers **.mp3** ou bien **.ogg**. Dans "Paramètres" mettez %d si vous souhaitez qu'il travaille dans votre dossier sélectionné. | " => suggestions : ['«\xa0', '“']
88 Guillemets typographiques fermants. => Utile pour étiqueter rapidement des fichiers **.mp3** ou bien **.ogg**. Dans "Paramètres" mettez %d si vous souhaitez qu'il travaille dans votre dossier sélectionné. | " => suggestions : ['\xa0»', '”']
88 Il manque un espace. => Utile pour étiqueter rapidement des fichiers **.mp3** ou bien **.ogg**. Dans "Paramètres" mettez %d si vous souhaitez qu'il travaille dans votre dossier sélectionné. | d => suggestions : [' d']

91 Mot inconnu : root => ==== Éditer en tant que root avec gedit ==== | root
91 Mot inconnu : gedit => ==== Éditer en tant que root avec gedit ==== | gedit

93 Mot inconnu : root => Permet d'éditer en tant qu'utilisateur root un fichier texte (de configuration par exemple). Dans commande : //gksudo gedit//, dans le champs "Paramètres":%f. | root
93 Mot inconnu : gksudo => Permet d'éditer en tant qu'utilisateur root un fichier texte (de configuration par exemple). Dans commande : //gksudo gedit//, dans le champs "Paramètres":%f. | gksudo
93 Mot inconnu : gedit => Permet d'éditer en tant qu'utilisateur root un fichier texte (de configuration par exemple). Dans commande : //gksudo gedit//, dans le champs "Paramètres":%f. | gedit
93 Accord de nombre erroné : « champs » est au pluriel. => Permet d'éditer en tant qu'utilisateur root un fichier texte (de configuration par exemple). Dans commande : //gksudo gedit//, dans le champs "Paramètres":%f. | le => suggestions : ['les']
93 Accord de nombre erroné : « champs » devrait être au singulier. => Permet d'éditer en tant qu'utilisateur root un fichier texte (de configuration par exemple). Dans commande : //gksudo gedit//, dans le champs "Paramètres":%f. | champs => suggestions : ['champ']
93 Guillemets typographiques ouvrants. => Permet d'éditer en tant qu'utilisateur root un fichier texte (de configuration par exemple). Dans commande : //gksudo gedit//, dans le champs "Paramètres":%f. | " => suggestions : ['«\xa0', '“']
93 Guillemets typographiques fermants. => Permet d'éditer en tant qu'utilisateur root un fichier texte (de configuration par exemple). Dans commande : //gksudo gedit//, dans le champs "Paramètres":%f. | " => suggestions : ['\xa0»', '”']
93 Il manque un espace. => Permet d'éditer en tant qu'utilisateur root un fichier texte (de configuration par exemple). Dans commande : //gksudo gedit//, dans le champs "Paramètres":%f. | f => suggestions : [' f']

96 Mot inconnu : Rhythmbox => ==== Rajouter des fichiers audio dans la liste de lecture Rhythmbox ==== | rhythmbox

98 Mot inconnu : Rhythmbox => Permet de rajouter des fichiers audio dans la liste courante de lecture de Rhythmbox. | rhythmbox

101 Mot inconnu : EXIF => ==== Renommer vos photos à partir des données EXIF ==== | exif

108 Espace(s) en fin de ligne à supprimer. => Permet de renommer les fichiers ou dossiers sélectionnés  |   => suggestions : ['']

131 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Paramètre: **%f** |    => suggestions : ['']
131 Il manque un espace. =>   * Paramètre: **%f** | f => suggestions : [' f']

135 Mot inconnu : VLC => ==== Ajouter à la playlist de VLC ==== | vlc

139 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://ubuntuguide.net/add-items-to-nautilus-popup-menu-with-nautilus-actions-gui|Pour exporter une action]], (en). |    => suggestions : ['']
143 Il manque un espace. => Contributeurs : [[utilisateurs:meven]], [[utilisateurs:l_africain|L'Africain]]. | meven => suggestions : [' meven']
143 Il manque un espace. => Contributeurs : [[utilisateurs:meven]], [[utilisateurs:l_africain|L'Africain]]. | l_africain => suggestions : [' l_africain']
