
5 Mot inconnu : Jump’n’Bump => ====== Jump’n’Bump : jeux de lapins, jeux de vilains… ====== | jump’n’bump
56 Mot inconnu : ip => À partir du menu, il suffit de sélectionner "server" et d'indiquer le nombre d'ordinateurs supplémentaires qui participeront à la partie (dans notre exemple, un seul). Choisissez le Level et sélectionner éventuellement différentes options, puis cliquer sur "run". L'écran de jeu reste noir en attendant la connexion d'un "client". À partir du second ordinateur, sélectionner "client" et indiquer l'adresse ip du "serveur" sur le réseau local (clic droit sur nm-applet et "Informations sur la connexion" par exemple). Cliquez sur "run" et jouez ! | ip
56 Guillemets typographiques ouvrants. => À partir du menu, il suffit de sélectionner "server" et d'indiquer le nombre d'ordinateurs supplémentaires qui participeront à la partie (dans notre exemple, un seul). Choisissez le Level et sélectionner éventuellement différentes options, puis cliquer sur "run". L'écran de jeu reste noir en attendant la connexion d'un "client". À partir du second ordinateur, sélectionner "client" et indiquer l'adresse ip du "serveur" sur le réseau local (clic droit sur nm-applet et "Informations sur la connexion" par exemple). Cliquez sur "run" et jouez ! | " => suggestions : ['«\xa0', '“']
56 Guillemets typographiques fermants. => À partir du menu, il suffit de sélectionner "server" et d'indiquer le nombre d'ordinateurs supplémentaires qui participeront à la partie (dans notre exemple, un seul). Choisissez le Level et sélectionner éventuellement différentes options, puis cliquer sur "run". L'écran de jeu reste noir en attendant la connexion d'un "client". À partir du second ordinateur, sélectionner "client" et indiquer l'adresse ip du "serveur" sur le réseau local (clic droit sur nm-applet et "Informations sur la connexion" par exemple). Cliquez sur "run" et jouez ! | " => suggestions : ['\xa0»', '”']
56 Guillemets typographiques ouvrants. => À partir du menu, il suffit de sélectionner "server" et d'indiquer le nombre d'ordinateurs supplémentaires qui participeront à la partie (dans notre exemple, un seul). Choisissez le Level et sélectionner éventuellement différentes options, puis cliquer sur "run". L'écran de jeu reste noir en attendant la connexion d'un "client". À partir du second ordinateur, sélectionner "client" et indiquer l'adresse ip du "serveur" sur le réseau local (clic droit sur nm-applet et "Informations sur la connexion" par exemple). Cliquez sur "run" et jouez ! | " => suggestions : ['«\xa0', '“']
56 Guillemets typographiques fermants. => À partir du menu, il suffit de sélectionner "server" et d'indiquer le nombre d'ordinateurs supplémentaires qui participeront à la partie (dans notre exemple, un seul). Choisissez le Level et sélectionner éventuellement différentes options, puis cliquer sur "run". L'écran de jeu reste noir en attendant la connexion d'un "client". À partir du second ordinateur, sélectionner "client" et indiquer l'adresse ip du "serveur" sur le réseau local (clic droit sur nm-applet et "Informations sur la connexion" par exemple). Cliquez sur "run" et jouez ! | " => suggestions : ['\xa0»', '”']
56 Guillemets typographiques ouvrants. => À partir du menu, il suffit de sélectionner "server" et d'indiquer le nombre d'ordinateurs supplémentaires qui participeront à la partie (dans notre exemple, un seul). Choisissez le Level et sélectionner éventuellement différentes options, puis cliquer sur "run". L'écran de jeu reste noir en attendant la connexion d'un "client". À partir du second ordinateur, sélectionner "client" et indiquer l'adresse ip du "serveur" sur le réseau local (clic droit sur nm-applet et "Informations sur la connexion" par exemple). Cliquez sur "run" et jouez ! | " => suggestions : ['«\xa0', '“']
56 Mot inconnu : run => À partir du menu, il suffit de sélectionner "server" et d'indiquer le nombre d'ordinateurs supplémentaires qui participeront à la partie (dans notre exemple, un seul). Choisissez le Level et sélectionner éventuellement différentes options, puis cliquer sur "run". L'écran de jeu reste noir en attendant la connexion d'un "client". À partir du second ordinateur, sélectionner "client" et indiquer l'adresse ip du "serveur" sur le réseau local (clic droit sur nm-applet et "Informations sur la connexion" par exemple). Cliquez sur "run" et jouez ! | run
56 Guillemets typographiques fermants. => À partir du menu, il suffit de sélectionner "server" et d'indiquer le nombre d'ordinateurs supplémentaires qui participeront à la partie (dans notre exemple, un seul). Choisissez le Level et sélectionner éventuellement différentes options, puis cliquer sur "run". L'écran de jeu reste noir en attendant la connexion d'un "client". À partir du second ordinateur, sélectionner "client" et indiquer l'adresse ip du "serveur" sur le réseau local (clic droit sur nm-applet et "Informations sur la connexion" par exemple). Cliquez sur "run" et jouez ! | " => suggestions : ['\xa0»', '”']

62 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Pour les anciennes versions du jeu, il se lance et se configure en ligne de commandes car il n'a aucun menu. Pour les versions plus récentes il y a un menu avec la commande jumpnbump-menu. |  car => suggestions : [', car']
62 Mot inconnu : jumpnbump-menu => Pour les anciennes versions du jeu, il se lance et se configure en ligne de commandes car il n'a aucun menu. Pour les versions plus récentes il y a un menu avec la commande jumpnbump-menu. | jumpnbump-menu

64 Mot inconnu : Jump’n’Bump => Pour jouer à Jump’n’Bump tapez dans un terminal : | jump’n’bump

71 Accord de nombre erroné : « jeux » est au pluriel. => Si vous avez téléchargé des niveaux, en ligne de commande on lance le jeux avec le niveau (un fichier.dat) de son choix. | le => suggestions : ['les']
71 Accord de nombre erroné : « jeux » devrait être au singulier. => Si vous avez téléchargé des niveaux, en ligne de commande on lance le jeux avec le niveau (un fichier.dat) de son choix. | jeux => suggestions : ['jeu']
71 Mot inconnu : dat => Si vous avez téléchargé des niveaux, en ligne de commande on lance le jeux avec le niveau (un fichier.dat) de son choix. | dat

75 Après un point, une majuscule est généralement requise. => Pour démarrer la partie il faut sortir de l'écran par la droite. ne jouerons que ceux dont le lapin est a droite du tronc d'arbre. | ne => suggestions : ['Ne']
75 Ceci est un verbe à la 1ʳᵉ personne du pluriel. Sujet (“nous” ou équivalent) introuvable. => Pour démarrer la partie il faut sortir de l'écran par la droite. ne jouerons que ceux dont le lapin est a droite du tronc d'arbre. | jouerons => suggestions : ['joueront']
75 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. => Pour démarrer la partie il faut sortir de l'écran par la droite. ne jouerons que ceux dont le lapin est a droite du tronc d'arbre. | a => suggestions : ['à']

85 Mot inconnu : echap => Pour quitter appuyez sur echap. | echap

106 Mot inconnu : The => The Gimp ou un logiciel équivalent pouvant exporter en pcx | the
106 Mot inconnu : pcx => The Gimp ou un logiciel équivalent pouvant exporter en pcx | pcx

109 Mot inconnu : unpack => Tout d'abord, je conseille de copier les fichiers pack unpack et gobpack dans votre fichier de travail (ici le Bureau) puis de vous placer dedans pour simplifier les lignes de commandes avec la commande | unpack
109 Mot inconnu : gobpack => Tout d'abord, je conseille de copier les fichiers pack unpack et gobpack dans votre fichier de travail (ici le Bureau) puis de vous placer dedans pour simplifier les lignes de commandes avec la commande | gobpack

111 Espace(s) en fin de ligne à supprimer. => Je vous conseille de regarder comment est fait un niveau par la commande  |   => suggestions : ['']

113 Mot inconnu : blutopia => (blutopia est un niveau du jeu, il y en a d'autre si vous voulez en voir d'autre). | blutopia

115 Mot inconnu : Map => ==La Map== | map

116 Mot inconnu : map => Nous allons commencer par créer la map. | map

117 Signe de multiplication typographique. => Pour cela, il faut créer une image de 400x256px et séparer celle ci en 16 lignes et 25 colones de taille égale à l'aide de l'outil "grille" de votre logiciel. | 400x256 => suggestions : ['400\xa0×\xa0256']
117 Mot inconnu : x256px => Pour cela, il faut créer une image de 400x256px et séparer celle ci en 16 lignes et 25 colones de taille égale à l'aide de l'outil "grille" de votre logiciel. | x256px
117 Il manque un trait d’union. => Pour cela, il faut créer une image de 400x256px et séparer celle ci en 16 lignes et 25 colones de taille égale à l'aide de l'outil "grille" de votre logiciel. | celle ci => suggestions : ['celle-ci']
117 Mot inconnu : colones => Pour cela, il faut créer une image de 400x256px et séparer celle ci en 16 lignes et 25 colones de taille égale à l'aide de l'outil "grille" de votre logiciel. | colones
117 Guillemets typographiques ouvrants. => Pour cela, il faut créer une image de 400x256px et séparer celle ci en 16 lignes et 25 colones de taille égale à l'aide de l'outil "grille" de votre logiciel. | " => suggestions : ['«\xa0', '“']
117 Guillemets typographiques fermants. => Pour cela, il faut créer une image de 400x256px et séparer celle ci en 16 lignes et 25 colones de taille égale à l'aide de l'outil "grille" de votre logiciel. | " => suggestions : ['\xa0»', '”']

118 Mot inconnu : dernieres => Vous pouvez dessiner votre niveau, en sachant que les 3 dernieres colonnes sont reservées aux scores et que chaque case de la grille sera une case du jeu (les obstacles et autre fonctionnent par case). | dernieres
118 Mot inconnu : reservées => Vous pouvez dessiner votre niveau, en sachant que les 3 dernieres colonnes sont reservées aux scores et que chaque case de la grille sera une case du jeu (les obstacles et autre fonctionnent par case). | reservées

120 Mot inconnu : etre => Son nom doit etre level.pcx et l'image doit etre en 256 couleurs. | etre
120 Mot inconnu : level => Son nom doit etre level.pcx et l'image doit etre en 256 couleurs. | level
120 Mot inconnu : pcx => Son nom doit etre level.pcx et l'image doit etre en 256 couleurs. | pcx
120 Mot inconnu : etre => Son nom doit etre level.pcx et l'image doit etre en 256 couleurs. | etre

123 Mot inconnu : levelmap => Il vous faut créer un fichier texte levelmap.txt qui doit etre une matrice de 16 par 23 remplie en cohérence avec votre map : | levelmap
123 Mot inconnu : txt => Il vous faut créer un fichier texte levelmap.txt qui doit etre une matrice de 16 par 23 remplie en cohérence avec votre map : | txt
123 Mot inconnu : etre => Il vous faut créer un fichier texte levelmap.txt qui doit etre une matrice de 16 par 23 remplie en cohérence avec votre map : | etre
123 Mot inconnu : map => Il vous faut créer un fichier texte levelmap.txt qui doit etre une matrice de 16 par 23 remplie en cohérence avec votre map : | map

131 Mot inconnu : creer => Vous voulez creer des passages secrets ? Rien de plus facile ! | creer

132 Guillemets typographiques ouvrants. => Pour cela, vous devez d'abord les "écrire" dans "levelmap.txt" puis créer une image "mask.pcx" de la meme taille que la map. | " => suggestions : ['«\xa0', '“']
132 Guillemets typographiques fermants. => Pour cela, vous devez d'abord les "écrire" dans "levelmap.txt" puis créer une image "mask.pcx" de la meme taille que la map. | " => suggestions : ['\xa0»', '”']
132 Guillemets typographiques ouvrants. => Pour cela, vous devez d'abord les "écrire" dans "levelmap.txt" puis créer une image "mask.pcx" de la meme taille que la map. | " => suggestions : ['«\xa0', '“']
132 Mot inconnu : levelmap => Pour cela, vous devez d'abord les "écrire" dans "levelmap.txt" puis créer une image "mask.pcx" de la meme taille que la map. | levelmap
132 Mot inconnu : txt => Pour cela, vous devez d'abord les "écrire" dans "levelmap.txt" puis créer une image "mask.pcx" de la meme taille que la map. | txt
132 Guillemets typographiques fermants. => Pour cela, vous devez d'abord les "écrire" dans "levelmap.txt" puis créer une image "mask.pcx" de la meme taille que la map. | " => suggestions : ['\xa0»', '”']
132 Guillemets typographiques ouvrants. => Pour cela, vous devez d'abord les "écrire" dans "levelmap.txt" puis créer une image "mask.pcx" de la meme taille que la map. | " => suggestions : ['«\xa0', '“']
132 Mot inconnu : mask => Pour cela, vous devez d'abord les "écrire" dans "levelmap.txt" puis créer une image "mask.pcx" de la meme taille que la map. | mask
132 Mot inconnu : pcx => Pour cela, vous devez d'abord les "écrire" dans "levelmap.txt" puis créer une image "mask.pcx" de la meme taille que la map. | pcx
132 Guillemets typographiques fermants. => Pour cela, vous devez d'abord les "écrire" dans "levelmap.txt" puis créer une image "mask.pcx" de la meme taille que la map. | " => suggestions : ['\xa0»', '”']
132 Mot inconnu : meme => Pour cela, vous devez d'abord les "écrire" dans "levelmap.txt" puis créer une image "mask.pcx" de la meme taille que la map. | meme
132 Mot inconnu : map => Pour cela, vous devez d'abord les "écrire" dans "levelmap.txt" puis créer une image "mask.pcx" de la meme taille que la map. | map

134 Mot inconnu : reperer => Je vous conseille d'afficher encore la grille pour la création du masque pour vous aider à vous reperer. | reperer

137 Guillemets typographiques ouvrants. => Il faut créer une image "menu.pcx" de la meme taille que les precédentes et placer un obstacle au milieu (il n'y a pas de fichier texte cette fois ci : le "dur" est définit par le jeu, mais si vos lapins se cognent contre rien, ca risque de faire bizard aux joueurs). | " => suggestions : ['«\xa0', '“']
137 Accord de genre erroné : « une image » est féminin, « menu » est masculin. => Il faut créer une image "menu.pcx" de la meme taille que les precédentes et placer un obstacle au milieu (il n'y a pas de fichier texte cette fois ci : le "dur" est définit par le jeu, mais si vos lapins se cognent contre rien, ca risque de faire bizard aux joueurs). | menu => suggestions : ['menue']
137 Mot inconnu : pcx => Il faut créer une image "menu.pcx" de la meme taille que les precédentes et placer un obstacle au milieu (il n'y a pas de fichier texte cette fois ci : le "dur" est définit par le jeu, mais si vos lapins se cognent contre rien, ca risque de faire bizard aux joueurs). | pcx
137 Guillemets typographiques fermants. => Il faut créer une image "menu.pcx" de la meme taille que les precédentes et placer un obstacle au milieu (il n'y a pas de fichier texte cette fois ci : le "dur" est définit par le jeu, mais si vos lapins se cognent contre rien, ca risque de faire bizard aux joueurs). | " => suggestions : ['\xa0»', '”']
137 Mot inconnu : meme => Il faut créer une image "menu.pcx" de la meme taille que les precédentes et placer un obstacle au milieu (il n'y a pas de fichier texte cette fois ci : le "dur" est définit par le jeu, mais si vos lapins se cognent contre rien, ca risque de faire bizard aux joueurs). | meme
137 Mot inconnu : precédentes => Il faut créer une image "menu.pcx" de la meme taille que les precédentes et placer un obstacle au milieu (il n'y a pas de fichier texte cette fois ci : le "dur" est définit par le jeu, mais si vos lapins se cognent contre rien, ca risque de faire bizard aux joueurs). | precédentes
137 Il manque probablement un trait d’union. => Il faut créer une image "menu.pcx" de la meme taille que les precédentes et placer un obstacle au milieu (il n'y a pas de fichier texte cette fois ci : le "dur" est définit par le jeu, mais si vos lapins se cognent contre rien, ca risque de faire bizard aux joueurs). | fois ci => suggestions : ['fois-ci']
137 Guillemets typographiques ouvrants. => Il faut créer une image "menu.pcx" de la meme taille que les precédentes et placer un obstacle au milieu (il n'y a pas de fichier texte cette fois ci : le "dur" est définit par le jeu, mais si vos lapins se cognent contre rien, ca risque de faire bizard aux joueurs). | " => suggestions : ['«\xa0', '“']
137 Guillemets typographiques fermants. => Il faut créer une image "menu.pcx" de la meme taille que les precédentes et placer un obstacle au milieu (il n'y a pas de fichier texte cette fois ci : le "dur" est définit par le jeu, mais si vos lapins se cognent contre rien, ca risque de faire bizard aux joueurs). | " => suggestions : ['\xa0»', '”']
137 Après “être”, le verbe ne devrait pas être conjugué à la 3ᵉ personne du singulier. => Il faut créer une image "menu.pcx" de la meme taille que les precédentes et placer un obstacle au milieu (il n'y a pas de fichier texte cette fois ci : le "dur" est définit par le jeu, mais si vos lapins se cognent contre rien, ca risque de faire bizard aux joueurs). | définit => suggestions : ['définie', 'définies', 'défini', 'définis']
137 Mot inconnu : ca => Il faut créer une image "menu.pcx" de la meme taille que les precédentes et placer un obstacle au milieu (il n'y a pas de fichier texte cette fois ci : le "dur" est définit par le jeu, mais si vos lapins se cognent contre rien, ca risque de faire bizard aux joueurs). | ca
137 Mot inconnu : bizard => Il faut créer une image "menu.pcx" de la meme taille que les precédentes et placer un obstacle au milieu (il n'y a pas de fichier texte cette fois ci : le "dur" est définit par le jeu, mais si vos lapins se cognent contre rien, ca risque de faire bizard aux joueurs). | bizard

138 Mot inconnu : meme => Pour le masque, il faut créer de meme "menumask.pcx". | meme
138 Guillemets typographiques ouvrants. => Pour le masque, il faut créer de meme "menumask.pcx". | " => suggestions : ['«\xa0', '“']
138 Mot inconnu : menumask => Pour le masque, il faut créer de meme "menumask.pcx". | menumask
138 Mot inconnu : pcx => Pour le masque, il faut créer de meme "menumask.pcx". | pcx
138 Guillemets typographiques fermants. => Pour le masque, il faut créer de meme "menumask.pcx". | " => suggestions : ['\xa0»', '”']

141 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A CONTINUER | a => suggestions : ['À']
