
5 Mot inconnu : VLVC => ====== VLVC ====== | vlvc
58 Mot inconnu : libraries => ./vlc: error while loading shared libraries: libdvbpsi.so.4: cannot open shared object file: No such file or directory</code> | libraries
58 Mot inconnu : libdvbpsi => ./vlc: error while loading shared libraries: libdvbpsi.so.4: cannot open shared object file: No such file or directory</code> | libdvbpsi
58 Mot inconnu : so => ./vlc: error while loading shared libraries: libdvbpsi.so.4: cannot open shared object file: No such file or directory</code> | so
58 Mot inconnu : cannot => ./vlc: error while loading shared libraries: libdvbpsi.so.4: cannot open shared object file: No such file or directory</code> | cannot
58 Mot inconnu : shared => ./vlc: error while loading shared libraries: libdvbpsi.so.4: cannot open shared object file: No such file or directory</code> | shared
58 Mot inconnu : object => ./vlc: error while loading shared libraries: libdvbpsi.so.4: cannot open shared object file: No such file or directory</code> | object
58 Mot inconnu : such => ./vlc: error while loading shared libraries: libdvbpsi.so.4: cannot open shared object file: No such file or directory</code> | such
58 Mot inconnu : directory => ./vlc: error while loading shared libraries: libdvbpsi.so.4: cannot open shared object file: No such file or directory</code> | directory
60 Mot inconnu : dvbpsi4 => veuillez installer le paquet: [[apt://libdvbpsi4|libdvbpsi4]] | dvbpsi4

61 Mot inconnu : Lucid => Depuis Lucid ubuntu 10.04, le paquet est devenu libdvbpsi5  ,donc échec,quelqu'un a une idée(s)  MERCI | lucid
61 Mot inconnu : libdvbpsi5 => Depuis Lucid ubuntu 10.04, le paquet est devenu libdvbpsi5  ,donc échec,quelqu'un a une idée(s)  MERCI | libdvbpsi5
61 Espace(s) surnuméraire(s) à supprimer. => Depuis Lucid ubuntu 10.04, le paquet est devenu libdvbpsi5  ,donc échec,quelqu'un a une idée(s)  MERCI |    => suggestions : [' ']
61 Pas d’espace avant une virgule. Un espace après. => Depuis Lucid ubuntu 10.04, le paquet est devenu libdvbpsi5  ,donc échec,quelqu'un a une idée(s)  MERCI |  , => suggestions : [', ']
61 Il manque un espace. => Depuis Lucid ubuntu 10.04, le paquet est devenu libdvbpsi5  ,donc échec,quelqu'un a une idée(s)  MERCI | quelqu => suggestions : [' quelqu']
61 Écriture invariable. Utilisez un point médian. => Depuis Lucid ubuntu 10.04, le paquet est devenu libdvbpsi5  ,donc échec,quelqu'un a une idée(s)  MERCI | idée(s) => suggestions : ['idée·s']
63 Mot inconnu : libdvbpsi => **Proposition** : recherchez libdvbpsi.so.5 puis créez un lien symbolique libdvbpsi.so.4 : | libdvbpsi
63 Mot inconnu : so => **Proposition** : recherchez libdvbpsi.so.5 puis créez un lien symbolique libdvbpsi.so.4 : | so
63 Mot inconnu : libdvbpsi => **Proposition** : recherchez libdvbpsi.so.5 puis créez un lien symbolique libdvbpsi.so.4 : | libdvbpsi
63 Mot inconnu : so => **Proposition** : recherchez libdvbpsi.so.5 puis créez un lien symbolique libdvbpsi.so.4 : | so

66 Espace(s) en fin de ligne à supprimer. => Ensuite, mettez à jour la base des bibliothèques partagées avec  |   => suggestions : ['']

72 Mot inconnu : vlc => Si vlc démarre sans aucun menu ni commande il faut installer le paquet suivant:  [[apt://libwxgtk2.6-0]] | vlc
72 Espace(s) surnuméraire(s) à supprimer. => Si vlc démarre sans aucun menu ni commande il faut installer le paquet suivant:  [[apt://libwxgtk2.6-0]] |    => suggestions : [' ']
72 Mot inconnu : wxgtk2 => Si vlc démarre sans aucun menu ni commande il faut installer le paquet suivant:  [[apt://libwxgtk2.6-0]] | wxgtk2

74 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => =====Discussion - Retours d'expérience===== |  -  => suggestions : [' – ', ' — ', ' − ']

76 Mot inconnu : VLVC => Voir ce [[http://forum.ubuntu-fr.org/viewtopic.php?pid=2937517#p2937517|sujet de discussion sur VLVC]]. | vlvc

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *[[https://www.paperblog.fr/552597/videolan-videoconference-vlvc/]] |    => suggestions : ['']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *[[http://www.epitech.eu/vlvc-sct433.html|]] |    => suggestions : ['']

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *[[http://nilz.free.fr/wordpress/?p=82]] |    => suggestions : ['']
