
5 Mot inconnu : World => ====== World of Warcraft  ====== | world
45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Aller dans 'Wine -> Bibliothèque -> nouveau remplacement' et écrivez dbghelp et cliquez sur ajouter puis cliquez sur dbghelp dans la case en dessous et cliquez sur modifier et désactivez-la ! |    => suggestions : ['']
45 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Aller dans 'Wine -> Bibliothèque -> nouveau remplacement' et écrivez dbghelp et cliquez sur ajouter puis cliquez sur dbghelp dans la case en dessous et cliquez sur modifier et désactivez-la ! |  -  => suggestions : [' – ', ' — ', ' − ']
45 Guillemets typographiques ouvrants. =>   - Aller dans 'Wine -> Bibliothèque -> nouveau remplacement' et écrivez dbghelp et cliquez sur ajouter puis cliquez sur dbghelp dans la case en dessous et cliquez sur modifier et désactivez-la ! | ' => suggestions : ['“', '‘', '‹']
45 Mot inconnu : Wine =>   - Aller dans 'Wine -> Bibliothèque -> nouveau remplacement' et écrivez dbghelp et cliquez sur ajouter puis cliquez sur dbghelp dans la case en dessous et cliquez sur modifier et désactivez-la ! | wine
45 Guillemets typographiques fermants. =>   - Aller dans 'Wine -> Bibliothèque -> nouveau remplacement' et écrivez dbghelp et cliquez sur ajouter puis cliquez sur dbghelp dans la case en dessous et cliquez sur modifier et désactivez-la ! | ' => suggestions : ['”', '’', '›']
45 Mot inconnu : dbghelp =>   - Aller dans 'Wine -> Bibliothèque -> nouveau remplacement' et écrivez dbghelp et cliquez sur ajouter puis cliquez sur dbghelp dans la case en dessous et cliquez sur modifier et désactivez-la ! | dbghelp
45 Mot inconnu : dbghelp =>   - Aller dans 'Wine -> Bibliothèque -> nouveau remplacement' et écrivez dbghelp et cliquez sur ajouter puis cliquez sur dbghelp dans la case en dessous et cliquez sur modifier et désactivez-la ! | dbghelp

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Lancer Battle.net, connectez-vous. Souvent Battle.net est déformé et est donc inutilisable ! Pour installer WOW sans toucher à Battle.net aller sur le site de Battle.net et télécharger l'exécutable de WOW. Lancez l'exécutable et laissez votre ordinateur en paix pendant 20 minutes ! |    => suggestions : ['']
46 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Lancer Battle.net, connectez-vous. Souvent Battle.net est déformé et est donc inutilisable ! Pour installer WOW sans toucher à Battle.net aller sur le site de Battle.net et télécharger l'exécutable de WOW. Lancez l'exécutable et laissez votre ordinateur en paix pendant 20 minutes ! |  -  => suggestions : [' – ', ' — ', ' − ']
46 Mot inconnu : Battle =>   - Lancer Battle.net, connectez-vous. Souvent Battle.net est déformé et est donc inutilisable ! Pour installer WOW sans toucher à Battle.net aller sur le site de Battle.net et télécharger l'exécutable de WOW. Lancez l'exécutable et laissez votre ordinateur en paix pendant 20 minutes ! | battle
46 Mot inconnu : Battle =>   - Lancer Battle.net, connectez-vous. Souvent Battle.net est déformé et est donc inutilisable ! Pour installer WOW sans toucher à Battle.net aller sur le site de Battle.net et télécharger l'exécutable de WOW. Lancez l'exécutable et laissez votre ordinateur en paix pendant 20 minutes ! | battle
46 Mot inconnu : WOW =>   - Lancer Battle.net, connectez-vous. Souvent Battle.net est déformé et est donc inutilisable ! Pour installer WOW sans toucher à Battle.net aller sur le site de Battle.net et télécharger l'exécutable de WOW. Lancez l'exécutable et laissez votre ordinateur en paix pendant 20 minutes ! | wow
46 Mot inconnu : Battle =>   - Lancer Battle.net, connectez-vous. Souvent Battle.net est déformé et est donc inutilisable ! Pour installer WOW sans toucher à Battle.net aller sur le site de Battle.net et télécharger l'exécutable de WOW. Lancez l'exécutable et laissez votre ordinateur en paix pendant 20 minutes ! | battle
46 Mot inconnu : Battle =>   - Lancer Battle.net, connectez-vous. Souvent Battle.net est déformé et est donc inutilisable ! Pour installer WOW sans toucher à Battle.net aller sur le site de Battle.net et télécharger l'exécutable de WOW. Lancez l'exécutable et laissez votre ordinateur en paix pendant 20 minutes ! | battle
46 Mot inconnu : WOW =>   - Lancer Battle.net, connectez-vous. Souvent Battle.net est déformé et est donc inutilisable ! Pour installer WOW sans toucher à Battle.net aller sur le site de Battle.net et télécharger l'exécutable de WOW. Lancez l'exécutable et laissez votre ordinateur en paix pendant 20 minutes ! | wow

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Aller dans votre disque 'C ->  Programe Files -> World of Warcraft -> wow.exe'.Quand vous lancerez le .exe cela lancera WOW mais généralement il faut le relancer une fois pour pouvoir écrire dedans ! (Il est préférable de ne rien ouvrir sauf wow.exe)  |    => suggestions : ['']
47 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Aller dans votre disque 'C ->  Programe Files -> World of Warcraft -> wow.exe'.Quand vous lancerez le .exe cela lancera WOW mais généralement il faut le relancer une fois pour pouvoir écrire dedans ! (Il est préférable de ne rien ouvrir sauf wow.exe)  |  -  => suggestions : [' – ', ' — ', ' − ']
47 Guillemets typographiques ouvrants. =>   - Aller dans votre disque 'C ->  Programe Files -> World of Warcraft -> wow.exe'.Quand vous lancerez le .exe cela lancera WOW mais généralement il faut le relancer une fois pour pouvoir écrire dedans ! (Il est préférable de ne rien ouvrir sauf wow.exe)  | ' => suggestions : ['“', '‘', '‹']
47 Mot inconnu : Programe =>   - Aller dans votre disque 'C ->  Programe Files -> World of Warcraft -> wow.exe'.Quand vous lancerez le .exe cela lancera WOW mais généralement il faut le relancer une fois pour pouvoir écrire dedans ! (Il est préférable de ne rien ouvrir sauf wow.exe)  | programe
47 Mot inconnu : World =>   - Aller dans votre disque 'C ->  Programe Files -> World of Warcraft -> wow.exe'.Quand vous lancerez le .exe cela lancera WOW mais généralement il faut le relancer une fois pour pouvoir écrire dedans ! (Il est préférable de ne rien ouvrir sauf wow.exe)  | world
47 Mot inconnu : of =>   - Aller dans votre disque 'C ->  Programe Files -> World of Warcraft -> wow.exe'.Quand vous lancerez le .exe cela lancera WOW mais généralement il faut le relancer une fois pour pouvoir écrire dedans ! (Il est préférable de ne rien ouvrir sauf wow.exe)  | of
47 Mot inconnu : Warcraft =>   - Aller dans votre disque 'C ->  Programe Files -> World of Warcraft -> wow.exe'.Quand vous lancerez le .exe cela lancera WOW mais généralement il faut le relancer une fois pour pouvoir écrire dedans ! (Il est préférable de ne rien ouvrir sauf wow.exe)  | warcraft
47 Mot inconnu : wow =>   - Aller dans votre disque 'C ->  Programe Files -> World of Warcraft -> wow.exe'.Quand vous lancerez le .exe cela lancera WOW mais généralement il faut le relancer une fois pour pouvoir écrire dedans ! (Il est préférable de ne rien ouvrir sauf wow.exe)  | wow
47 Mot inconnu : exe =>   - Aller dans votre disque 'C ->  Programe Files -> World of Warcraft -> wow.exe'.Quand vous lancerez le .exe cela lancera WOW mais généralement il faut le relancer une fois pour pouvoir écrire dedans ! (Il est préférable de ne rien ouvrir sauf wow.exe)  | exe
47 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   - Aller dans votre disque 'C ->  Programe Files -> World of Warcraft -> wow.exe'.Quand vous lancerez le .exe cela lancera WOW mais généralement il faut le relancer une fois pour pouvoir écrire dedans ! (Il est préférable de ne rien ouvrir sauf wow.exe)  |  . => suggestions : ['. ', '.']
47 Mot inconnu : exe =>   - Aller dans votre disque 'C ->  Programe Files -> World of Warcraft -> wow.exe'.Quand vous lancerez le .exe cela lancera WOW mais généralement il faut le relancer une fois pour pouvoir écrire dedans ! (Il est préférable de ne rien ouvrir sauf wow.exe)  | exe
47 Mot inconnu : WOW =>   - Aller dans votre disque 'C ->  Programe Files -> World of Warcraft -> wow.exe'.Quand vous lancerez le .exe cela lancera WOW mais généralement il faut le relancer une fois pour pouvoir écrire dedans ! (Il est préférable de ne rien ouvrir sauf wow.exe)  | wow
47 Mot inconnu : wow =>   - Aller dans votre disque 'C ->  Programe Files -> World of Warcraft -> wow.exe'.Quand vous lancerez le .exe cela lancera WOW mais généralement il faut le relancer une fois pour pouvoir écrire dedans ! (Il est préférable de ne rien ouvrir sauf wow.exe)  | wow
47 Mot inconnu : exe =>   - Aller dans votre disque 'C ->  Programe Files -> World of Warcraft -> wow.exe'.Quand vous lancerez le .exe cela lancera WOW mais généralement il faut le relancer une fois pour pouvoir écrire dedans ! (Il est préférable de ne rien ouvrir sauf wow.exe)  | exe
47 Espace(s) en fin de ligne à supprimer. =>   - Aller dans votre disque 'C ->  Programe Files -> World of Warcraft -> wow.exe'.Quand vous lancerez le .exe cela lancera WOW mais généralement il faut le relancer une fois pour pouvoir écrire dedans ! (Il est préférable de ne rien ouvrir sauf wow.exe)  |   => suggestions : ['']

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Jouez ! |    => suggestions : ['']
48 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Jouez ! |  -  => suggestions : [' – ', ' — ', ' − ']

50 Mot inconnu : wtf => <note tip> Vous pouvez modifier le fichier config.wtf pour améliorer la fluidité du jeu en allant dans le disque 'C -> Program Files -> World of Warcraft -> WTF -> config.wtf | wtf
50 Guillemets typographiques ouvrants. => <note tip> Vous pouvez modifier le fichier config.wtf pour améliorer la fluidité du jeu en allant dans le disque 'C -> Program Files -> World of Warcraft -> WTF -> config.wtf | ' => suggestions : ['“', '‘', '‹']
50 Mot inconnu : Program => <note tip> Vous pouvez modifier le fichier config.wtf pour améliorer la fluidité du jeu en allant dans le disque 'C -> Program Files -> World of Warcraft -> WTF -> config.wtf | program
50 Mot inconnu : World => <note tip> Vous pouvez modifier le fichier config.wtf pour améliorer la fluidité du jeu en allant dans le disque 'C -> Program Files -> World of Warcraft -> WTF -> config.wtf | world
50 Mot inconnu : of => <note tip> Vous pouvez modifier le fichier config.wtf pour améliorer la fluidité du jeu en allant dans le disque 'C -> Program Files -> World of Warcraft -> WTF -> config.wtf | of
50 Mot inconnu : Warcraft => <note tip> Vous pouvez modifier le fichier config.wtf pour améliorer la fluidité du jeu en allant dans le disque 'C -> Program Files -> World of Warcraft -> WTF -> config.wtf | warcraft
50 Mot inconnu : WTF => <note tip> Vous pouvez modifier le fichier config.wtf pour améliorer la fluidité du jeu en allant dans le disque 'C -> Program Files -> World of Warcraft -> WTF -> config.wtf | wtf
50 Mot inconnu : wtf => <note tip> Vous pouvez modifier le fichier config.wtf pour améliorer la fluidité du jeu en allant dans le disque 'C -> Program Files -> World of Warcraft -> WTF -> config.wtf | wtf

54 Mot inconnu : VirtualBox => ====Via VirtualBox ==== | virtualbox
56 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => **Nouveau !** //(Décembre 2009)// A partir de VirtualBox **3.1** vous pouvez faire fonctionner WoW dans VirtualBox.\\ | a => suggestions : ['À']
56 Mot inconnu : VirtualBox => **Nouveau !** //(Décembre 2009)// A partir de VirtualBox **3.1** vous pouvez faire fonctionner WoW dans VirtualBox.\\ | virtualbox
56 Mot inconnu : WoW => **Nouveau !** //(Décembre 2009)// A partir de VirtualBox **3.1** vous pouvez faire fonctionner WoW dans VirtualBox.\\ | wow
56 Mot inconnu : VirtualBox => **Nouveau !** //(Décembre 2009)// A partir de VirtualBox **3.1** vous pouvez faire fonctionner WoW dans VirtualBox.\\ | virtualbox

58 Mot inconnu : XP => Bien évidemment, il faut activer également le support 3D pour votre XP invité. | xp

60 Guillemets typographiques ouvrants. => Ce mode est cependant "expérimental", car la performance est bien moins bonne qu'avec Wine.\\ | " => suggestions : ['«\xa0', '“']
60 Guillemets typographiques fermants. => Ce mode est cependant "expérimental", car la performance est bien moins bonne qu'avec Wine.\\ | " => suggestions : ['\xa0»', '”']
60 Mot inconnu : Wine => Ce mode est cependant "expérimental", car la performance est bien moins bonne qu'avec Wine.\\ | wine

61 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. => A titre d'exemple, avec un PC : Core2Duo 2,4G / nVidia7950 | a => suggestions : ['À']
61 Mot inconnu : Core2Duo => A titre d'exemple, avec un PC : Core2Duo 2,4G / nVidia7950 | core2duo
61 Si “G” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => A titre d'exemple, avec un PC : Core2Duo 2,4G / nVidia7950 | 2,4g => suggestions : ['2,4\xa0G']
61 Mot inconnu : nVidia7950 => A titre d'exemple, avec un PC : Core2Duo 2,4G / nVidia7950 | nvidia7950

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Wine => environ 50FPS (en zone calme) |    => suggestions : ['']
62 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Wine => environ 50FPS (en zone calme) |  -  => suggestions : [' – ', ' — ', ' − ']
62 Mot inconnu : Wine =>   - Wine => environ 50FPS (en zone calme) | wine
62 Mot inconnu : FPS =>   - Wine => environ 50FPS (en zone calme) | fps

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - VirtualBox => environ 5FPS (au même endroit... quand tout va bien !) |    => suggestions : ['']
63 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - VirtualBox => environ 5FPS (au même endroit... quand tout va bien !) |  -  => suggestions : [' – ', ' — ', ' − ']
63 Mot inconnu : VirtualBox =>   - VirtualBox => environ 5FPS (au même endroit... quand tout va bien !) | virtualbox
63 Mot inconnu : FPS =>   - VirtualBox => environ 5FPS (au même endroit... quand tout va bien !) | fps
63 Typographie : points de suspension. Utilisez le caractère dédié. =>   - VirtualBox => environ 5FPS (au même endroit... quand tout va bien !) | ... => suggestions : ['…']

65 Mot inconnu : WoW => Cela peut toutefois vous servir à dépanner par exemple une validation de licence récalcitrante (en lançant WoW en "réseau" depuis VirtualBox) | wow
65 Guillemets typographiques ouvrants. => Cela peut toutefois vous servir à dépanner par exemple une validation de licence récalcitrante (en lançant WoW en "réseau" depuis VirtualBox) | " => suggestions : ['«\xa0', '“']
65 Guillemets typographiques fermants. => Cela peut toutefois vous servir à dépanner par exemple une validation de licence récalcitrante (en lançant WoW en "réseau" depuis VirtualBox) | " => suggestions : ['\xa0»', '”']
65 Mot inconnu : VirtualBox => Cela peut toutefois vous servir à dépanner par exemple une validation de licence récalcitrante (en lançant WoW en "réseau" depuis VirtualBox) | virtualbox

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Créez un dossier dans votre répertoire personnel (''/home/utilisateur/wow_install'' par exemple) |    => suggestions : ['']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Il faut alors copier les fichiers suivants : |    => suggestions : ['']

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Installer.exe |      => suggestions : ['']
74 Mot inconnu : exe =>     * Installer.exe | exe

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Installer.ico |      => suggestions : ['']
75 Mot inconnu : ico =>     * Installer.ico | ico

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Installer Tome.mpq, Installer Tome2.mpq, Installer Tome3.mpq, Installer Tome4.mpq et si vous l'avez, Installer Tome5.mpq (selon que vous ayez 4 ou 5 CDs ou 1 DVD). |      => suggestions : ['']
76 Mot inconnu : mpq =>     * Installer Tome.mpq, Installer Tome2.mpq, Installer Tome3.mpq, Installer Tome4.mpq et si vous l'avez, Installer Tome5.mpq (selon que vous ayez 4 ou 5 CDs ou 1 DVD). | mpq
76 Mot inconnu : Tome2 =>     * Installer Tome.mpq, Installer Tome2.mpq, Installer Tome3.mpq, Installer Tome4.mpq et si vous l'avez, Installer Tome5.mpq (selon que vous ayez 4 ou 5 CDs ou 1 DVD). | tome2
76 Mot inconnu : mpq =>     * Installer Tome.mpq, Installer Tome2.mpq, Installer Tome3.mpq, Installer Tome4.mpq et si vous l'avez, Installer Tome5.mpq (selon que vous ayez 4 ou 5 CDs ou 1 DVD). | mpq
76 Mot inconnu : Tome3 =>     * Installer Tome.mpq, Installer Tome2.mpq, Installer Tome3.mpq, Installer Tome4.mpq et si vous l'avez, Installer Tome5.mpq (selon que vous ayez 4 ou 5 CDs ou 1 DVD). | tome3
76 Mot inconnu : mpq =>     * Installer Tome.mpq, Installer Tome2.mpq, Installer Tome3.mpq, Installer Tome4.mpq et si vous l'avez, Installer Tome5.mpq (selon que vous ayez 4 ou 5 CDs ou 1 DVD). | mpq
76 Mot inconnu : Tome4 =>     * Installer Tome.mpq, Installer Tome2.mpq, Installer Tome3.mpq, Installer Tome4.mpq et si vous l'avez, Installer Tome5.mpq (selon que vous ayez 4 ou 5 CDs ou 1 DVD). | tome4
76 Mot inconnu : mpq =>     * Installer Tome.mpq, Installer Tome2.mpq, Installer Tome3.mpq, Installer Tome4.mpq et si vous l'avez, Installer Tome5.mpq (selon que vous ayez 4 ou 5 CDs ou 1 DVD). | mpq
76 Mot inconnu : Tome5 =>     * Installer Tome.mpq, Installer Tome2.mpq, Installer Tome3.mpq, Installer Tome4.mpq et si vous l'avez, Installer Tome5.mpq (selon que vous ayez 4 ou 5 CDs ou 1 DVD). | tome5
76 Mot inconnu : mpq =>     * Installer Tome.mpq, Installer Tome2.mpq, Installer Tome3.mpq, Installer Tome4.mpq et si vous l'avez, Installer Tome5.mpq (selon que vous ayez 4 ou 5 CDs ou 1 DVD). | mpq
76 Mot inconnu : CDs =>     * Installer Tome.mpq, Installer Tome2.mpq, Installer Tome3.mpq, Installer Tome4.mpq et si vous l'avez, Installer Tome5.mpq (selon que vous ayez 4 ou 5 CDs ou 1 DVD). | cds

80 Mot inconnu : exe => Sur certains CD / DVD, **Installer.exe** est caché il faut alors monter le support avec l'option ''unhide''. | exe
80 Guillemets typographiques ouvrants. => Sur certains CD / DVD, **Installer.exe** est caché il faut alors monter le support avec l'option ''unhide''. | '' => suggestions : ['«\xa0', '“']
80 Mot inconnu : unhide => Sur certains CD / DVD, **Installer.exe** est caché il faut alors monter le support avec l'option ''unhide''. | unhide
80 Guillemets typographiques fermants. => Sur certains CD / DVD, **Installer.exe** est caché il faut alors monter le support avec l'option ''unhide''. | '' => suggestions : ['\xa0»', '”']

81 Mot inconnu : Wrath => C'est le cas de la version francophone (serveurs européens) du DVD Wrath of the Lich King. | wrath
81 Mot inconnu : of => C'est le cas de la version francophone (serveurs européens) du DVD Wrath of the Lich King. | of
81 Mot inconnu : the => C'est le cas de la version francophone (serveurs européens) du DVD Wrath of the Lich King. | the
81 Mot inconnu : Lich => C'est le cas de la version francophone (serveurs européens) du DVD Wrath of the Lich King. | lich

83 Mot inconnu : iso9660 => Si l'option -t iso9660 ne fonctionne pas, ne pas la mettre. | iso9660

86 Guillemets typographiques ouvrants. => Pour éviter d'avoir à copier le contenu sur le disque dur, il faut aussi ajouter les options "uid" et "gid" pour être propriétaire des fichiers (1000 est la valeur par défaut si vous n'avez qu'un seul utilisateur): | " => suggestions : ['«\xa0', '“']
86 Mot inconnu : uid => Pour éviter d'avoir à copier le contenu sur le disque dur, il faut aussi ajouter les options "uid" et "gid" pour être propriétaire des fichiers (1000 est la valeur par défaut si vous n'avez qu'un seul utilisateur): | uid
86 Guillemets typographiques fermants. => Pour éviter d'avoir à copier le contenu sur le disque dur, il faut aussi ajouter les options "uid" et "gid" pour être propriétaire des fichiers (1000 est la valeur par défaut si vous n'avez qu'un seul utilisateur): | " => suggestions : ['\xa0»', '”']
86 Guillemets typographiques ouvrants. => Pour éviter d'avoir à copier le contenu sur le disque dur, il faut aussi ajouter les options "uid" et "gid" pour être propriétaire des fichiers (1000 est la valeur par défaut si vous n'avez qu'un seul utilisateur): | " => suggestions : ['«\xa0', '“']
86 Mot inconnu : gid => Pour éviter d'avoir à copier le contenu sur le disque dur, il faut aussi ajouter les options "uid" et "gid" pour être propriétaire des fichiers (1000 est la valeur par défaut si vous n'avez qu'un seul utilisateur): | gid
86 Guillemets typographiques fermants. => Pour éviter d'avoir à copier le contenu sur le disque dur, il faut aussi ajouter les options "uid" et "gid" pour être propriétaire des fichiers (1000 est la valeur par défaut si vous n'avez qu'un seul utilisateur): | " => suggestions : ['\xa0»', '”']

89 Accord de nombre erroné : « dernières » devrait être au singulier. => Également si vous rencontrez un problème lors de l'installation de la dernières extension au moment ou vous devez acceptez la licence, vérifiez que vous avez  la dernière version de Wine ; elle corrige ce problème. | dernières => suggestions : ['dernière']
89 Confusion. La conjonction “ou” signale une alternative. Pour évoquer un lieu, un temps ou une situation, écrivez “où”. => Également si vous rencontrez un problème lors de l'installation de la dernières extension au moment ou vous devez acceptez la licence, vérifiez que vous avez  la dernière version de Wine ; elle corrige ce problème. | ou => suggestions : ['où']
89 S’il s’agit d’une action que le sujet doit accomplir, le verbe devrait être à l’infinitif. => Également si vous rencontrez un problème lors de l'installation de la dernières extension au moment ou vous devez acceptez la licence, vérifiez que vous avez  la dernière version de Wine ; elle corrige ce problème. | acceptez => suggestions : ['accepter']
89 Espace(s) surnuméraire(s) à supprimer. => Également si vous rencontrez un problème lors de l'installation de la dernières extension au moment ou vous devez acceptez la licence, vérifiez que vous avez  la dernière version de Wine ; elle corrige ce problème. |    => suggestions : [' ']
89 Mot inconnu : Wine => Également si vous rencontrez un problème lors de l'installation de la dernières extension au moment ou vous devez acceptez la licence, vérifiez que vous avez  la dernière version de Wine ; elle corrige ce problème. | wine

93 Guillemets typographiques ouvrants. => "No installer data could be found. If this problem persists, please contact Blizzard Technical Support."\\ | " => suggestions : ['«\xa0', '“']
93 Mot inconnu : could => "No installer data could be found. If this problem persists, please contact Blizzard Technical Support."\\ | could
93 Mot inconnu : found => "No installer data could be found. If this problem persists, please contact Blizzard Technical Support."\\ | found
93 Mot inconnu : this => "No installer data could be found. If this problem persists, please contact Blizzard Technical Support."\\ | this
93 Mot inconnu : problem => "No installer data could be found. If this problem persists, please contact Blizzard Technical Support."\\ | problem
93 Mot inconnu : persists => "No installer data could be found. If this problem persists, please contact Blizzard Technical Support."\\ | persists
93 Mot inconnu : please => "No installer data could be found. If this problem persists, please contact Blizzard Technical Support."\\ | please
93 Mot inconnu : Technical => "No installer data could be found. If this problem persists, please contact Blizzard Technical Support."\\ | technical
93 Guillemets typographiques fermants. => "No installer data could be found. If this problem persists, please contact Blizzard Technical Support."\\ | " => suggestions : ['\xa0»', '”']
94 Mot inconnu : Acetone => Tentez d'installer [[http://www.acetoneteam.org/|AcetoneISO]], et de monter la partition depuis un disque virtuel d'Acetone ISO. | acetone

97 Mot inconnu : WoW => == Depuis le site officiel de WoW == | wow

105 Mot inconnu : Clubic => == Depuis Clubic.com == | clubic

107 Mot inconnu : Downloader => Nombreux sont ceux qui trouvent le téléchargement depuis le Blizzard Downloader extrêmement lent. C'est pourquoi le site clubic.com propose en téléchargement depuis leurs serveurs le client de WoW. Ce téléchargement se fait beaucoup plus rapidement. [[http://www.clubic.com/lancer-le-telechargement-47656-0-world-of-warcraft-client-complet-v2-0-0-windows-mac.html|Page de téléchargement du client sur Clubic]]. | downloader
