
5 Mot inconnu : djmount => ====== djmount ====== | djmount
37 Mot inconnu : Djmount => Attention, pour qu'il n'y ait pas de problème par la suite, vous ne devez rien écrire dans ce répertoire. Djmount s'en chargera. Si vous écrivez quelque chose dans ce répertoire, djmount ne montera pas les contenus (à moins de l'y forcer). /media/UPnP/ est donc un répertoire "réservé" à djmount. | djmount
37 Mot inconnu : djmount => Attention, pour qu'il n'y ait pas de problème par la suite, vous ne devez rien écrire dans ce répertoire. Djmount s'en chargera. Si vous écrivez quelque chose dans ce répertoire, djmount ne montera pas les contenus (à moins de l'y forcer). /media/UPnP/ est donc un répertoire "réservé" à djmount. | djmount
37 Mot inconnu : UPnP => Attention, pour qu'il n'y ait pas de problème par la suite, vous ne devez rien écrire dans ce répertoire. Djmount s'en chargera. Si vous écrivez quelque chose dans ce répertoire, djmount ne montera pas les contenus (à moins de l'y forcer). /media/UPnP/ est donc un répertoire "réservé" à djmount. | upnp
37 Guillemets typographiques ouvrants. => Attention, pour qu'il n'y ait pas de problème par la suite, vous ne devez rien écrire dans ce répertoire. Djmount s'en chargera. Si vous écrivez quelque chose dans ce répertoire, djmount ne montera pas les contenus (à moins de l'y forcer). /media/UPnP/ est donc un répertoire "réservé" à djmount. | " => suggestions : ['«\xa0', '“']
37 Guillemets typographiques fermants. => Attention, pour qu'il n'y ait pas de problème par la suite, vous ne devez rien écrire dans ce répertoire. Djmount s'en chargera. Si vous écrivez quelque chose dans ce répertoire, djmount ne montera pas les contenus (à moins de l'y forcer). /media/UPnP/ est donc un répertoire "réservé" à djmount. | " => suggestions : ['\xa0»', '”']
37 Mot inconnu : djmount => Attention, pour qu'il n'y ait pas de problème par la suite, vous ne devez rien écrire dans ce répertoire. Djmount s'en chargera. Si vous écrivez quelque chose dans ce répertoire, djmount ne montera pas les contenus (à moins de l'y forcer). /media/UPnP/ est donc un répertoire "réservé" à djmount. | djmount

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   djmount /media/UPnP |    => suggestions : ['']
47 Mot inconnu : djmount =>   djmount /media/UPnP | djmount
47 Mot inconnu : UPnP =>   djmount /media/UPnP | upnp

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Il existe quelques option de montage. |   => suggestions : ['']
49 Accord de nombre erroné : « option » devrait être au pluriel. =>  Il existe quelques option de montage. | option => suggestions : ['options']

50 Espace(s) en fin de ligne à supprimer. => Pour la liste complète voir  |   => suggestions : ['']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Options : see "djmount --help" |   => suggestions : ['']
51 Mot inconnu : see =>  Options : see "djmount --help" | see
51 Guillemets typographiques ouvrants. =>  Options : see "djmount --help" | " => suggestions : ['«\xa0', '“']
51 Mot inconnu : djmount =>  Options : see "djmount --help" | djmount
51 Mot inconnu : help =>  Options : see "djmount --help" | help
51 Guillemets typographiques fermants. =>  Options : see "djmount --help" | " => suggestions : ['\xa0»', '”']

53 Guillemets typographiques fermants. => Une option intéressante est "-o" pour adapter les options de montage, en particulier: | " => suggestions : ['\xa0»', '”']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     -o iocharset=<charset> |      => suggestions : ['']
55 Mot inconnu : iocharset =>     -o iocharset=<charset> | iocharset

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Pour forcer l'encodage des noms de fichiers (( pour les noms de fichiers avec accents ou caractères speciaux notamment )), pour le cas où djmount ne l'as pas détecté automatiquement (ce qui devrait être le fonctionnement par défaut)/ |      => suggestions : ['']
56 Pas d’espace après ce signe. =>     Pour forcer l'encodage des noms de fichiers (( pour les noms de fichiers avec accents ou caractères speciaux notamment )), pour le cas où djmount ne l'as pas détecté automatiquement (ce qui devrait être le fonctionnement par défaut)/ | (  => suggestions : ['(']
56 Mot inconnu : speciaux =>     Pour forcer l'encodage des noms de fichiers (( pour les noms de fichiers avec accents ou caractères speciaux notamment )), pour le cas où djmount ne l'as pas détecté automatiquement (ce qui devrait être le fonctionnement par défaut)/ | speciaux
56 Pas d’espace avant ce signe. =>     Pour forcer l'encodage des noms de fichiers (( pour les noms de fichiers avec accents ou caractères speciaux notamment )), pour le cas où djmount ne l'as pas détecté automatiquement (ce qui devrait être le fonctionnement par défaut)/ |  ) => suggestions : [')']
56 Mot inconnu : djmount =>     Pour forcer l'encodage des noms de fichiers (( pour les noms de fichiers avec accents ou caractères speciaux notamment )), pour le cas où djmount ne l'as pas détecté automatiquement (ce qui devrait être le fonctionnement par défaut)/ | djmount
56 Incohérence. Ceci est un verbe à la 2ᵉ personne du singulier. Sujet (“tu” ou “toi qui”) introuvable. =>     Pour forcer l'encodage des noms de fichiers (( pour les noms de fichiers avec accents ou caractères speciaux notamment )), pour le cas où djmount ne l'as pas détecté automatiquement (ce qui devrait être le fonctionnement par défaut)/ | as => suggestions : ['a']

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Exemple : |      => suggestions : ['']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     djmount -o iocharset=iso-8859-15 /media/UPnP |      => suggestions : ['']
60 Mot inconnu : djmount =>     djmount -o iocharset=iso-8859-15 /media/UPnP | djmount
60 Il manque un espace à côté du tiret. =>     djmount -o iocharset=iso-8859-15 /media/UPnP |  - => suggestions : [' – ', ' — ']
60 Mot inconnu : iocharset =>     djmount -o iocharset=iso-8859-15 /media/UPnP | iocharset
60 Mot inconnu : iso-8859-15 =>     djmount -o iocharset=iso-8859-15 /media/UPnP | iso-8859-15
60 Mot inconnu : UPnP =>     djmount -o iocharset=iso-8859-15 /media/UPnP | upnp

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     -o playlists |      => suggestions : ['']

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. |      => suggestions : ['']
63 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | to => suggestions : ['To']
63 Mot inconnu : to =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | to
63 Mot inconnu : render =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | render
63 Mot inconnu : all =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | all
63 Mot inconnu : Video =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | video
63 Mot inconnu : m3u =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | m3u
63 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. |  . => suggestions : ['. ', '.']
63 Mot inconnu : ram =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | ram
63 Mot inconnu : which =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | which
63 Mot inconnu : contains =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | contains
63 Mot inconnu : the =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | the
63 Mot inconnu : this =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | this
63 Mot inconnu : only =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | only
63 Mot inconnu : the =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | the
63 Mot inconnu : address =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | address
63 Mot inconnu : of =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | of
63 Mot inconnu : the =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | the
63 Mot inconnu : is =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | is
63 Mot inconnu : exported =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | exported
63 Mot inconnu : through =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | through
63 Mot inconnu : djmount =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | djmount
63 Mot inconnu : the =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | the
63 Mot inconnu : actual =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | actual
63 Mot inconnu : is =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | is
63 Mot inconnu : streamed =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | streamed
63 Mot inconnu : through =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | through
63 Mot inconnu : when =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | when
63 Mot inconnu : the =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | the
63 Mot inconnu : is =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | is
63 Mot inconnu : accessed =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | accessed
63 Mot inconnu : by =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | by
63 Mot inconnu : your =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | your
63 Mot inconnu : player =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | player
63 Mot inconnu : This =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | this
63 Mot inconnu : was =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | was
63 Mot inconnu : the =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | the
63 Mot inconnu : only =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | only
63 Mot inconnu : djmount =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | djmount
63 Mot inconnu : before =>     to render all Audio or Video files as playlists (.m3u or .ram), which contains an URL for the file. In this mode, only the address of the file is exported through djmount ; the actual content is streamed through HTTP when the playlist is accessed by your favorite media player. This mode was the only mode possible for djmount before version 0.50. | before

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     -o search_history=<size> |      => suggestions : ['']
65 Mot inconnu : search_history =>     -o search_history=<size> | search_history

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). |      => suggestions : ['']
66 Mot inconnu : to =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | to
66 Mot inconnu : the =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | the
66 Mot inconnu : number =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | number
66 Mot inconnu : of =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | of
66 Mot inconnu : remembered =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | remembered
66 Mot inconnu : searches =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | searches
66 Mot inconnu : see =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | see
66 Guillemets typographiques ouvrants. =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | " => suggestions : ['«\xa0', '“']
66 Mot inconnu : djmount =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | djmount
66 Mot inconnu : help =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | help
66 Guillemets typographiques fermants. =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | " => suggestions : ['\xa0»', '”']
66 Mot inconnu : the =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | the
66 Mot inconnu : default =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | default
66 Mot inconnu : number =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | number
66 Mot inconnu : to =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | to
66 Mot inconnu : to =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | to
66 Mot inconnu : disable =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | disable
66 Mot inconnu : searching =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | searching
66 Mot inconnu : completely =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | completely
66 Guillemets typographiques ouvrants. =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | " => suggestions : ['«\xa0', '“']
66 Mot inconnu : _search =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | _search
66 Guillemets typographiques fermants. =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | " => suggestions : ['\xa0»', '”']
66 Mot inconnu : directory =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | directory
66 Mot inconnu : will =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | will
66 Mot inconnu : displayed =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | displayed
66 Mot inconnu : even =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | even
66 Mot inconnu : supported =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | supported
66 Mot inconnu : by =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | by
66 Mot inconnu : the =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | the
66 Mot inconnu : connected =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | connected
66 Mot inconnu : device =>     to set the maximum number of remembered searches (see "djmount --help" for the default number). Set to 0 to disable searching completely (no "_search" directory will be displayed, even if supported by the connected device). | device

71 Mot inconnu : Nautilus => Vous pouvez maintenant naviguer dans votre répertoire avec Nautilus ou n'importe quelle application. Y compris votre lecteur média préféré, même s'il ne dispose pas de client UPnP. | nautilus
71 Mot inconnu : UPnP => Vous pouvez maintenant naviguer dans votre répertoire avec Nautilus ou n'importe quelle application. Y compris votre lecteur média préféré, même s'il ne dispose pas de client UPnP. | upnp

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd /media/UPnP |    => suggestions : ['']
74 Mot inconnu : UPnP =>   cd /media/UPnP | upnp

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ls |    => suggestions : ['']
75 Mot inconnu : ls =>   ls | ls

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ls -l _search |    => suggestions : ['']
78 Mot inconnu : ls =>   ls -l _search | ls
78 Il manque un espace à côté du tiret. =>   ls -l _search |  - => suggestions : [' – ', ' — ']
78 Mot inconnu : _search =>   ls -l _search | _search

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   fusermount -u /media/UPnP |    => suggestions : ['']
83 Mot inconnu : fusermount =>   fusermount -u /media/UPnP | fusermount
83 Il manque un espace à côté du tiret. =>   fusermount -u /media/UPnP |  - => suggestions : [' – ', ' — ']
83 Mot inconnu : UPnP =>   fusermount -u /media/UPnP | upnp

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

89 Accord de nombre erroné : « instruction » devrait être au pluriel. => Il suffit pour cela d'automatiser le lancement à l'ouverture de la session. Suivez les instruction de la page [[tutoriel:application_demarrage|des applications au démarrage]] et dans  //Commande// entrez : | instruction => suggestions : ['instructions']
