
5 Mot inconnu : KFTPGrabber => ====== KFTPGrabber, le client FTP KDE ====== | kftpgrabber
13 Mot inconnu : kde => Il est surtout (//comme tous les logiciels kde//) très bien intégré à **kde**. | kde
23 Mot inconnu : Kmenu => Pour le lancer, il est dans : **Kmenu** >> **Internet** >> **KFTPGrabber**. | kmenu
23 Mot inconnu : KFTPGrabber => Pour le lancer, il est dans : **Kmenu** >> **Internet** >> **KFTPGrabber**. | kftpgrabber
25 Mot inconnu : kftpgrabber => Vous pouvez également lancer la commande : **kftpgrabber**. | kftpgrabber

32 Mot inconnu : KFTPGrabber => ===== Utilisation de KFTPGrabber ===== | kftpgrabber

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **A** : Permet de relancer rapidement une connexion récente |     => suggestions : ['']

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **B** : Le logiciel va indiquer l'adresse qui vous permet de vous connecter via un navigateur web. Vous pouvez si vous la connaissez l'indiquer directement, le logiciel aura toutes les infos. (//Ex : ftp:/hizoka:prout@ftpperso.free.fr//) |     => suggestions : ['']
50 Mot inconnu : hizoka =>    * **B** : Le logiciel va indiquer l'adresse qui vous permet de vous connecter via un navigateur web. Vous pouvez si vous la connaissez l'indiquer directement, le logiciel aura toutes les infos. (//Ex : ftp:/hizoka:prout@ftpperso.free.fr//) | hizoka
50 Il manque un espace. =>    * **B** : Le logiciel va indiquer l'adresse qui vous permet de vous connecter via un navigateur web. Vous pouvez si vous la connaissez l'indiquer directement, le logiciel aura toutes les infos. (//Ex : ftp:/hizoka:prout@ftpperso.free.fr//) | prout@ => suggestions : [' __MAIL']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **C** : Nom du domaine du serveur. (//Ex : ftpperso.free.fr pour Free//) |     => suggestions : ['']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **D** : Numéro du port utilisé pour la connexion. Le 21 est celui de base, à changer si vous bloquez ce port. |     => suggestions : ['']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **E** : Choisissez le type de connecxion voulue, sécurisée (//ssl...//). Si vous ne savez pas ou si c'est un serveur banal (//Free, orange...//), laissez en **FTP**. |     => suggestions : ['']
56 Mot inconnu : connecxion =>    * **E** : Choisissez le type de connecxion voulue, sécurisée (//ssl...//). Si vous ne savez pas ou si c'est un serveur banal (//Free, orange...//), laissez en **FTP**. | connecxion
56 Mot inconnu : ssl =>    * **E** : Choisissez le type de connecxion voulue, sécurisée (//ssl...//). Si vous ne savez pas ou si c'est un serveur banal (//Free, orange...//), laissez en **FTP**. | ssl
56 Typographie : points de suspension. Utilisez le caractère dédié. =>    * **E** : Choisissez le type de connecxion voulue, sécurisée (//ssl...//). Si vous ne savez pas ou si c'est un serveur banal (//Free, orange...//), laissez en **FTP**. | ... => suggestions : ['…']
56 Typographie : points de suspension. Utilisez le caractère dédié. =>    * **E** : Choisissez le type de connecxion voulue, sécurisée (//ssl...//). Si vous ne savez pas ou si c'est un serveur banal (//Free, orange...//), laissez en **FTP**. | ... => suggestions : ['…']

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **F** : Dans quasiment tous les cas, il faut décocher cette case. Elle permet de taper son **nom d'utilisateur** et son **mot de passe**. |     => suggestions : ['']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **G** : Tapez ici le nom du **FTP**, votre //login// qui vous a était attribué par votre FAI par exemple... (//Ex : hizoka//) |     => suggestions : ['']
60 Typographie : points de suspension. Utilisez le caractère dédié. =>    * **G** : Tapez ici le nom du **FTP**, votre //login// qui vous a était attribué par votre FAI par exemple... (//Ex : hizoka//) | ... => suggestions : ['…']
60 Mot inconnu : hizoka =>    * **G** : Tapez ici le nom du **FTP**, votre //login// qui vous a était attribué par votre FAI par exemple... (//Ex : hizoka//) | hizoka

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **H** : Indiquez le mot de passe en lien avec votre nom d'utilisateur. (//Ex : prout//) |     => suggestions : ['']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **I** : Cette case permet de sauvegarder les infos concernant ce FTP dans le logiciel (//le fichier contenant les signets est ~/.kde/share/apps/kftpgrabber/bookmarks.xml//). |     => suggestions : ['']
64 Mot inconnu : kde =>    * **I** : Cette case permet de sauvegarder les infos concernant ce FTP dans le logiciel (//le fichier contenant les signets est ~/.kde/share/apps/kftpgrabber/bookmarks.xml//). | kde
64 Mot inconnu : share =>    * **I** : Cette case permet de sauvegarder les infos concernant ce FTP dans le logiciel (//le fichier contenant les signets est ~/.kde/share/apps/kftpgrabber/bookmarks.xml//). | share
64 Mot inconnu : apps =>    * **I** : Cette case permet de sauvegarder les infos concernant ce FTP dans le logiciel (//le fichier contenant les signets est ~/.kde/share/apps/kftpgrabber/bookmarks.xml//). | apps
64 Mot inconnu : kftpgrabber =>    * **I** : Cette case permet de sauvegarder les infos concernant ce FTP dans le logiciel (//le fichier contenant les signets est ~/.kde/share/apps/kftpgrabber/bookmarks.xml//). | kftpgrabber
64 Mot inconnu : bookmarks =>    * **I** : Cette case permet de sauvegarder les infos concernant ce FTP dans le logiciel (//le fichier contenant les signets est ~/.kde/share/apps/kftpgrabber/bookmarks.xml//). | bookmarks
64 Mot inconnu : xml =>    * **I** : Cette case permet de sauvegarder les infos concernant ce FTP dans le logiciel (//le fichier contenant les signets est ~/.kde/share/apps/kftpgrabber/bookmarks.xml//). | xml

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Il ne vous reste plus qu'à faire **ok** pour que la connexion s'établisse. |     => suggestions : ['']
67 Mot inconnu : ok =>    * Il ne vous reste plus qu'à faire **ok** pour que la connexion s'établisse. | ok

79 Mot inconnu : free => Dans mon exemple je me connecte à un **FTP** free. | free

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * La partie de gauche représentant mon pc (//home/hizoka et le contenu du dossier//). |     => suggestions : ['']

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * La partie de droite représentant le FTP (//racine du ftp avec pour contenu, 3 images//). |     => suggestions : ['']
84 Si “images//” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>    * La partie de droite représentant le FTP (//racine du ftp avec pour contenu, 3 images//). | 3 images// => suggestions : ['3\xa0images//']

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Double cliquer sur le fichier (//ne marche pas avec les dossiers, cela les ouvre//). |     => suggestions : ['']

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Faire glisser les fichiers/dossiers d'un coté à l'autre. |     => suggestions : ['']
92 Confusion : “coté” est le participe passé du verbe “coter”. =>    * Faire glisser les fichiers/dossiers d'un coté à l'autre. | coté => suggestions : ['côté']

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Faire un clic droit sur les fichiers/dossiers et choisir **Transférer**. |     => suggestions : ['']

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Passer la souris sur l'icône se trouvant à gauche du nom du **FTP**, celle-ci se change en croix, il ne vous reste plus qu'à cliquer dessus et à accepter la confirmation. |     => suggestions : ['']
114 Espace(s) en fin de ligne à supprimer. => Nous allons donc regarder cette partie :  |   => suggestions : ['']
147 Mot inconnu : ima => >Ex : si je tape **ima**, il ne me m'affichera que le dossier **Images** dans la liste de fichier. | ima
147 Incohérence. Erreur de frappe ou de numérisation ? => >Ex : si je tape **ima**, il ne me m'affichera que le dossier **Images** dans la liste de fichier. | me => suggestions : ['ne']
147 Conjugaison erronée. Accord avec “le dossier…”. Le verbe devrait être à la 3ᵉ personne du singulier. => >Ex : si je tape **ima**, il ne me m'affichera que le dossier **Images** dans la liste de fichier. | images => suggestions : ['Image']

164 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **A** : |     => suggestions : ['']

177 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **B** : Affiche les fichiers dont l'envoi ou la réception a échoué. |     => suggestions : ['']

179 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **C** : Affiche les processus en cours sur les différents serveurs. |     => suggestions : ['']

181 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **D** : Affiche les requêtes et les réponses du **FTP**. |     => suggestions : ['']

183 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **E** : Affiche un graphique du débit utilisé. |     => suggestions : ['']

198 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Lorsque vous faites une connexion rapide, cochez la case : **Ajouter aux signets**. |     => suggestions : ['']

200 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Si vous êtes sous **KDE** (//pas vraiment d'intérêt d'utiliser ce logiciel sinon//), vous pouvez utiliser les mots de passe et noms d'utilisateurs du logiciel KWalletManager , qui gère tous vos mots de passes. Pour activer cette option direction configuration ! |     => suggestions : ['']
200 Mot inconnu : KDE =>    * Si vous êtes sous **KDE** (//pas vraiment d'intérêt d'utiliser ce logiciel sinon//), vous pouvez utiliser les mots de passe et noms d'utilisateurs du logiciel KWalletManager , qui gère tous vos mots de passes. Pour activer cette option direction configuration ! | kde
200 Mot inconnu : KWalletManager =>    * Si vous êtes sous **KDE** (//pas vraiment d'intérêt d'utiliser ce logiciel sinon//), vous pouvez utiliser les mots de passe et noms d'utilisateurs du logiciel KWalletManager , qui gère tous vos mots de passes. Pour activer cette option direction configuration ! | kwalletmanager
200 Pas d’espace avant une virgule. =>    * Si vous êtes sous **KDE** (//pas vraiment d'intérêt d'utiliser ce logiciel sinon//), vous pouvez utiliser les mots de passe et noms d'utilisateurs du logiciel KWalletManager , qui gère tous vos mots de passes. Pour activer cette option direction configuration ! |  , => suggestions : [',']

202 Mot inconnu : KWalletManager => >  Pour que KWalletManager vous demande s'il doit garder en mémoire l'adresse et le mot de passe, vous devez taper par ex : ftp://mon-nom:mon-mot-de-passe@ftpperso.free.fr dans la barre d'adresse de **Konqueror**, il vous demandera alors si vous souhaitez enregistrer ces données. | kwalletmanager
202 Mot inconnu : free => >  Pour que KWalletManager vous demande s'il doit garder en mémoire l'adresse et le mot de passe, vous devez taper par ex : ftp://mon-nom:mon-mot-de-passe@ftpperso.free.fr dans la barre d'adresse de **Konqueror**, il vous demandera alors si vous souhaitez enregistrer ces données. | free
202 Mot inconnu : Konqueror => >  Pour que KWalletManager vous demande s'il doit garder en mémoire l'adresse et le mot de passe, vous devez taper par ex : ftp://mon-nom:mon-mot-de-passe@ftpperso.free.fr dans la barre d'adresse de **Konqueror**, il vous demandera alors si vous souhaitez enregistrer ces données. | konqueror

204 Typographie : points de suspension. Utilisez le caractère dédié. => Je ne connais pas les **sites FTP proches**.... | .... => suggestions : ['…']

209 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Pour les signets : Ils apparaissent dans : |     => suggestions : ['']

210 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * **Signets**, et vous avez la liste de vos comptes **FTP**. |        => suggestions : ['']

213 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Pour les comptes de KWalletManager, il suffit d'aller dans : **Signets** >> **Sites dans Kwallet**. |     => suggestions : ['']
213 Mot inconnu : KWalletManager =>    * Pour les comptes de KWalletManager, il suffit d'aller dans : **Signets** >> **Sites dans Kwallet**. | kwalletmanager
213 Mot inconnu : Kwallet =>    * Pour les comptes de KWalletManager, il suffit d'aller dans : **Signets** >> **Sites dans Kwallet**. | kwallet

221 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Changer le nom du compte (//permet de mieux se repérer dans ses signets//). |     => suggestions : ['']

223 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Modifier les identifiants et mots de passe des comptes. |     => suggestions : ['']

225 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Changer le dossier de base du **PC** et du **FTP** en fonction du compte. |     => suggestions : ['']

227 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Ajouter une description du compte. |     => suggestions : ['']

229 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Limiter le nombre de processus pour le serveur. |     => suggestions : ['']

231 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * D'autres options moins utiles... |     => suggestions : ['']
231 Typographie : points de suspension. Utilisez le caractère dédié. =>    * D'autres options moins utiles... | ... => suggestions : ['…']

234 Mot inconnu : îcone => ==== Les options de l'îcone de tout à l'heure ==== | îcone

238 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **A** : Permet l'envoi de commande au **FTP**, encore faut-il qu'il soit compatible... |     => suggestions : ['']
238 Typographie : points de suspension. Utilisez le caractère dédié. =>    * **A** : Permet l'envoi de commande au **FTP**, encore faut-il qu'il soit compatible... | ... => suggestions : ['…']

240 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **B** : Permet de modifier le codage... **//je ne connais pas les différences, dans le doute on laisse//** :-). |     => suggestions : ['']
240 Typographie : points de suspension. Utilisez le caractère dédié. =>    * **B** : Permet de modifier le codage... **//je ne connais pas les différences, dans le doute on laisse//** :-). | ... => suggestions : ['…']

242 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **C** : Permet de créer un fichier .txt contenant la liste des dossiers et fichiers du dossier où l'on se trouve. |     => suggestions : ['']
242 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>    * **C** : Permet de créer un fichier .txt contenant la liste des dossiers et fichiers du dossier où l'on se trouve. |  . => suggestions : ['. ', '.']
242 Mot inconnu : txt =>    * **C** : Permet de créer un fichier .txt contenant la liste des dossiers et fichiers du dossier où l'on se trouve. | txt

244 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **D** : Ouvre un onglet ou une nouvelle session de **Konqueror** dans le dossier choisi de **KFTGrabber**. |     => suggestions : ['']
244 Mot inconnu : Konqueror =>    * **D** : Ouvre un onglet ou une nouvelle session de **Konqueror** dans le dossier choisi de **KFTGrabber**. | konqueror
244 Mot inconnu : KFTGrabber =>    * **D** : Ouvre un onglet ou une nouvelle session de **Konqueror** dans le dossier choisi de **KFTGrabber**. | kftgrabber

246 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **E** :  Permet de chercher deux fichiers identiques entre le **PC** et le **FTP** (//ou le PC et un autre dossier du PC//). |     => suggestions : ['']
246 Espace(s) surnuméraire(s) à supprimer. =>    * **E** :  Permet de chercher deux fichiers identiques entre le **PC** et le **FTP** (//ou le PC et un autre dossier du PC//). |    => suggestions : [' ']

248 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **F** :  Permet de voir la différence de contenu entre deux dossiers entre le **PC** et le **FTP** (//ou le PC et un autre dossier du PC//). |     => suggestions : ['']
248 Espace(s) surnuméraire(s) à supprimer. =>    * **F** :  Permet de voir la différence de contenu entre deux dossiers entre le **PC** et le **FTP** (//ou le PC et un autre dossier du PC//). |    => suggestions : [' ']

250 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **G** :  Raccourci pour afficher ou cacher les fichiers/dossiers commençants par un ".". |     => suggestions : ['']
250 Espace(s) surnuméraire(s) à supprimer. =>    * **G** :  Raccourci pour afficher ou cacher les fichiers/dossiers commençants par un ".". |    => suggestions : [' ']
250 Guillemets fermants. =>    * **G** :  Raccourci pour afficher ou cacher les fichiers/dossiers commençants par un ".". |  " => suggestions : ['\xa0»', '”']
250 Guillemets typographiques fermants. =>    * **G** :  Raccourci pour afficher ou cacher les fichiers/dossiers commençants par un ".". | " => suggestions : ['\xa0»', '”']

257 Espace(s) surnuméraire(s) à supprimer. => En faisant un clic droit sur un fichier de la liste de transfert, vous pouvez  : |    => suggestions : [' ']

261 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **A** : Démarrer le transfert du fichier (//pour en démarrer plusieurs, n'oubliez pas d'augmenter le **Treads** à plus d'un//). |     => suggestions : ['']
261 Mot inconnu : Treads =>    * **A** : Démarrer le transfert du fichier (//pour en démarrer plusieurs, n'oubliez pas d'augmenter le **Treads** à plus d'un//). | treads

263 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **B** : Annuler le transfert. |     => suggestions : ['']

265 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **C** : Supprimer le fichier en attente. |     => suggestions : ['']

267 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **D** : Supprimer tous les fichiers en attente ou en cours de transfert. |     => suggestions : ['']

269 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **E** : Le monter d'un cran dans la liste des fichiers à transférer. |     => suggestions : ['']

271 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **F** : Le monter tout en haut dans la liste des fichiers à transférer, afin qu'il soit le prochain à être transféré. |     => suggestions : ['']

273 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **G** : Le descendre d'un cran dans la liste des fichiers à transférer. |     => suggestions : ['']

275 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **H** : Le descendre tout en bas dans la liste des fichiers à transférer, afin qu'il soit le dernier à être transféré. |     => suggestions : ['']

277 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **I** : En choisissant cette option, vous pouvez : |     => suggestions : ['']

278 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * Modifier le nom du fichier sur le serveur qui réceptionne le fichier. |        => suggestions : ['']

279 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * Savoir sur quel serveur, le fichier va être transféré. |        => suggestions : ['']

280 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * Savoir de quel serveur provient le fichier. |        => suggestions : ['']

282 Typographie : points de suspension. Utilisez le caractère dédié. => L'envoi de **FTP** à **FTP** semble possible, si cela est supporté par les serveurs.... | .... => suggestions : ['…']

288 Typographie : points de suspension. Utilisez le caractère dédié. => À vous d'explorer les autres options... | ... => suggestions : ['…']
290 Mot inconnu : KFTPGrabber => Pour cela : **Configuration** >> **Configurer KFTPGrabber**. | kftpgrabber

292 Typographie : points de suspension. Utilisez le caractère dédié. => Les explications sont généralement assez claires... | ... => suggestions : ['…']

296 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **Général** : |     => suggestions : ['']

299 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **Signet** : |     => suggestions : ['']

302 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **Notification** : |     => suggestions : ['']

308 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **Connexion** : |     => suggestions : ['']

311 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **Espace disque** : |     => suggestions : ['']

314 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **Processus** : |     => suggestions : ['']

316 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

317 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **Miscellaneous** : |     => suggestions : ['']
317 Mot inconnu : Miscellaneous =>    * **Miscellaneous** : | miscellaneous
337 Typographie : points de suspension. Utilisez le caractère dédié. => Souvent en lien avec une action particulière (//ex : lorsque je sélectionne toute la liste des fichiers et que je clique sur l'icône de suppression//), sur certains fichiers (//trop gros ??!//) ou quand le nombre de fichiers est important... | ... => suggestions : ['…']

349 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://www.kftp.org/|Site officiel de KFTPGrabber]] |    => suggestions : ['']
349 Mot inconnu : KFTPGrabber =>   * **(en)** [[https://www.kftp.org/|Site officiel de KFTPGrabber]] | kftpgrabber

355 Mot inconnu : Elodie => Merci à Elodie pour son aide ! | elodie
