
5 Mot inconnu : Klibido => ====== Klibido : KDE LInux BInaries DOwnloader ====== | klibido
80 Espace(s) surnuméraire(s) à supprimer. => Cela semble arriver au moment de l'écriture des archives dans le sous-répertoire créé par l'application.  Ainsi, quand le premier des morceaux dans la file d'attente atteint le .nzb fautif, on obtient le crash avec un faux message d'erreur : |    => suggestions : [' ']
80 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Cela semble arriver au moment de l'écriture des archives dans le sous-répertoire créé par l'application.  Ainsi, quand le premier des morceaux dans la file d'attente atteint le .nzb fautif, on obtient le crash avec un faux message d'erreur : |  . => suggestions : ['. ', '.']
80 Mot inconnu : nzb => Cela semble arriver au moment de l'écriture des archives dans le sous-répertoire créé par l'application.  Ainsi, quand le premier des morceaux dans la file d'attente atteint le .nzb fautif, on obtient le crash avec un faux message d'erreur : | nzb

81 Typographie : points de suspension. Utilisez le caractère dédié. => >...not enough disk space... | ... => suggestions : ['…']
81 Mot inconnu : not => >...not enough disk space... | not
81 Mot inconnu : enough => >...not enough disk space... | enough
81 Mot inconnu : disk => >...not enough disk space... | disk
81 Mot inconnu : space => >...not enough disk space... | space
81 Typographie : points de suspension. Utilisez le caractère dédié. => >...not enough disk space... | ... => suggestions : ['…']

83 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Pour éviter ce problème, renommer le fichier .nzb fautif en enlevant les caractères « spéciaux ». |  . => suggestions : ['. ', '.']
83 Mot inconnu : nzb => Pour éviter ce problème, renommer le fichier .nzb fautif en enlevant les caractères « spéciaux ». | nzb

85 Mot inconnu : klibido => Pour redémarrer klibido correctement, il faut alors effacer le fichier « queue » créé dans le répertoire temporaire de klibido. | klibido
85 Mot inconnu : klibido => Pour redémarrer klibido correctement, il faut alors effacer le fichier « queue » créé dans le répertoire temporaire de klibido. | klibido
