1 Mot inconnu : SubRip => ====== SubRip ====== | subrip
20 Mot inconnu : Sub => L'intérêt minimal de l'Advanced Sub Station Alpha contre le SubRip est notamment celui de pouvoir définir un contour au texte. Texte blanc et contour noir par exemple et fini les horribles sous-titres blancs sur fonds blancs. ;-) | sub
20 Mot inconnu : SubRip => L'intérêt minimal de l'Advanced Sub Station Alpha contre le SubRip est notamment celui de pouvoir définir un contour au texte. Texte blanc et contour noir par exemple et fini les horribles sous-titres blancs sur fonds blancs. ;-) | subrip
29 Accord de nombre erroné : « balise » devrait être au pluriel. => <note>note : il est en fait possible de mettre du texte en italique mot par mot via les balise {\i1} et {\i0}</note> | balise => suggestions : ['balises']
29 Mot inconnu : i1 => <note>note : il est en fait possible de mettre du texte en italique mot par mot via les balise {\i1} et {\i0}</note> | i1
29 Mot inconnu : i0 => <note>note : il est en fait possible de mettre du texte en italique mot par mot via les balise {\i1} et {\i0}</note> | i0
34 Mot inconnu : srt2ass => Pour obtenir de l'aide : srt2ass.py -h ou srt2ass.py --help | srt2ass
34 Mot inconnu : py => Pour obtenir de l'aide : srt2ass.py -h ou srt2ass.py --help | py
34 Mot inconnu : srt2ass => Pour obtenir de l'aide : srt2ass.py -h ou srt2ass.py --help | srt2ass
34 Mot inconnu : py => Pour obtenir de l'aide : srt2ass.py -h ou srt2ass.py --help | py
34 Mot inconnu : help => Pour obtenir de l'aide : srt2ass.py -h ou srt2ass.py --help | help

36 Mot inconnu : SRT => Supporte les fichiers SRT encodés en ISO-8859-1, UTF-8, UTF-16 (LE/BE), UTF-32 (LE/BE) | srt

38 Mot inconnu : SRT => Converti les fichiers SRT en ASS et les encodes en UTF-8. | srt
38 Mot inconnu : ASS => Converti les fichiers SRT en ASS et les encodes en UTF-8. | ass
38 Incohérence. Ceci est un verbe à la 2ᵉ personne du singulier. Sujet (“tu” ou “toi qui”) introuvable. => Converti les fichiers SRT en ASS et les encodes en UTF-8. | encodes => suggestions : ['encode']
42 Mot inconnu : srt2ass => Comportement par défaut : srt2ass.py executé sans arguments convertira tous les fichiers SRT du dossier courant. Les fichiers SRT ne seront pas supprimés. | srt2ass
42 Mot inconnu : py => Comportement par défaut : srt2ass.py executé sans arguments convertira tous les fichiers SRT du dossier courant. Les fichiers SRT ne seront pas supprimés. | py
42 Mot inconnu : executé => Comportement par défaut : srt2ass.py executé sans arguments convertira tous les fichiers SRT du dossier courant. Les fichiers SRT ne seront pas supprimés. | executé
42 Mot inconnu : SRT => Comportement par défaut : srt2ass.py executé sans arguments convertira tous les fichiers SRT du dossier courant. Les fichiers SRT ne seront pas supprimés. | srt
42 Mot inconnu : SRT => Comportement par défaut : srt2ass.py executé sans arguments convertira tous les fichiers SRT du dossier courant. Les fichiers SRT ne seront pas supprimés. | srt

46 Mot inconnu : coding => # -*- coding: utf-8 -*- | coding
46 Mot inconnu : utf-8 => # -*- coding: utf-8 -*- | utf-8

49 Mot inconnu : argparse => import argparse | argparse

50 Mot inconnu : sys => import sys, os, glob | sys
50 Mot inconnu : glob => import sys, os, glob | glob

52 Mot inconnu : this => # Use this list to delete automatically subs containing one of the following words. All in lower case. | this
52 Mot inconnu : list => # Use this list to delete automatically subs containing one of the following words. All in lower case. | list
52 Mot inconnu : to => # Use this list to delete automatically subs containing one of the following words. All in lower case. | to
52 Mot inconnu : delete => # Use this list to delete automatically subs containing one of the following words. All in lower case. | delete
52 Mot inconnu : automatically => # Use this list to delete automatically subs containing one of the following words. All in lower case. | automatically
52 Mot inconnu : subs => # Use this list to delete automatically subs containing one of the following words. All in lower case. | subs
52 Mot inconnu : containing => # Use this list to delete automatically subs containing one of the following words. All in lower case. | containing
52 Mot inconnu : one => # Use this list to delete automatically subs containing one of the following words. All in lower case. | one
52 Mot inconnu : of => # Use this list to delete automatically subs containing one of the following words. All in lower case. | of
52 Mot inconnu : the => # Use this list to delete automatically subs containing one of the following words. All in lower case. | the
52 Mot inconnu : following => # Use this list to delete automatically subs containing one of the following words. All in lower case. | following
52 Mot inconnu : words => # Use this list to delete automatically subs containing one of the following words. All in lower case. | words
52 Mot inconnu : All => # Use this list to delete automatically subs containing one of the following words. All in lower case. | all
52 Mot inconnu : lower => # Use this list to delete automatically subs containing one of the following words. All in lower case. | lower

53 Guillemets typographiques ouvrants. => exclusion = ["subtitles by", "sync by", "<font", "synchro:", "sync:", "transcript:", "subtitles:", "subtitle:", "sync and corrections"] | " => suggestions : ['«\xa0', '“']
53 Mot inconnu : subtitles => exclusion = ["subtitles by", "sync by", "<font", "synchro:", "sync:", "transcript:", "subtitles:", "subtitle:", "sync and corrections"] | subtitles
53 Mot inconnu : by => exclusion = ["subtitles by", "sync by", "<font", "synchro:", "sync:", "transcript:", "subtitles:", "subtitle:", "sync and corrections"] | by
53 Guillemets typographiques fermants. => exclusion = ["subtitles by", "sync by", "<font", "synchro:", "sync:", "transcript:", "subtitles:", "subtitle:", "sync and corrections"] | " => suggestions : ['\xa0»', '”']
53 Guillemets typographiques ouvrants. => exclusion = ["subtitles by", "sync by", "<font", "synchro:", "sync:", "transcript:", "subtitles:", "subtitle:", "sync and corrections"] | " => suggestions : ['«\xa0', '“']
53 Mot inconnu : sync => exclusion = ["subtitles by", "sync by", "<font", "synchro:", "sync:", "transcript:", "subtitles:", "subtitle:", "sync and corrections"] | sync
53 Mot inconnu : by => exclusion = ["subtitles by", "sync by", "<font", "synchro:", "sync:", "transcript:", "subtitles:", "subtitle:", "sync and corrections"] | by
53 Guillemets typographiques fermants. => exclusion = ["subtitles by", "sync by", "<font", "synchro:", "sync:", "transcript:", "subtitles:", "subtitle:", "sync and corrections"] | " => suggestions : ['\xa0»', '”']
53 Guillemets typographiques fermants. => exclusion = ["subtitles by", "sync by", "<font", "synchro:", "sync:", "transcript:", "subtitles:", "subtitle:", "sync and corrections"] | " => suggestions : ['\xa0»', '”']
53 Guillemets typographiques ouvrants. => exclusion = ["subtitles by", "sync by", "<font", "synchro:", "sync:", "transcript:", "subtitles:", "subtitle:", "sync and corrections"] | " => suggestions : ['«\xa0', '“']
53 Guillemets typographiques ouvrants. => exclusion = ["subtitles by", "sync by", "<font", "synchro:", "sync:", "transcript:", "subtitles:", "subtitle:", "sync and corrections"] | " => suggestions : ['«\xa0', '“']
53 Mot inconnu : sync => exclusion = ["subtitles by", "sync by", "<font", "synchro:", "sync:", "transcript:", "subtitles:", "subtitle:", "sync and corrections"] | sync
53 Guillemets typographiques ouvrants. => exclusion = ["subtitles by", "sync by", "<font", "synchro:", "sync:", "transcript:", "subtitles:", "subtitle:", "sync and corrections"] | " => suggestions : ['«\xa0', '“']
53 Mot inconnu : transcript => exclusion = ["subtitles by", "sync by", "<font", "synchro:", "sync:", "transcript:", "subtitles:", "subtitle:", "sync and corrections"] | transcript
53 Guillemets typographiques ouvrants. => exclusion = ["subtitles by", "sync by", "<font", "synchro:", "sync:", "transcript:", "subtitles:", "subtitle:", "sync and corrections"] | " => suggestions : ['«\xa0', '“']
53 Mot inconnu : subtitles => exclusion = ["subtitles by", "sync by", "<font", "synchro:", "sync:", "transcript:", "subtitles:", "subtitle:", "sync and corrections"] | subtitles
53 Guillemets typographiques ouvrants. => exclusion = ["subtitles by", "sync by", "<font", "synchro:", "sync:", "transcript:", "subtitles:", "subtitle:", "sync and corrections"] | " => suggestions : ['«\xa0', '“']
53 Mot inconnu : subtitle => exclusion = ["subtitles by", "sync by", "<font", "synchro:", "sync:", "transcript:", "subtitles:", "subtitle:", "sync and corrections"] | subtitle
53 Guillemets typographiques ouvrants. => exclusion = ["subtitles by", "sync by", "<font", "synchro:", "sync:", "transcript:", "subtitles:", "subtitle:", "sync and corrections"] | " => suggestions : ['«\xa0', '“']
53 Mot inconnu : sync => exclusion = ["subtitles by", "sync by", "<font", "synchro:", "sync:", "transcript:", "subtitles:", "subtitle:", "sync and corrections"] | sync
53 Mot inconnu : and => exclusion = ["subtitles by", "sync by", "<font", "synchro:", "sync:", "transcript:", "subtitles:", "subtitle:", "sync and corrections"] | and
53 Guillemets typographiques fermants. => exclusion = ["subtitles by", "sync by", "<font", "synchro:", "sync:", "transcript:", "subtitles:", "subtitle:", "sync and corrections"] | " => suggestions : ['\xa0»', '”']

55 Mot inconnu : class => class Console: | class

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   verbose = False |    => suggestions : ['']
56 Mot inconnu : verbose =>   verbose = False | verbose
56 Mot inconnu : False =>   verbose = False | false

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   @classmethod |    => suggestions : ['']

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   def l(c, message, linefeed = True): |    => suggestions : ['']
59 Mot inconnu : def =>   def l(c, message, linefeed = True): | def
59 Il manque un espace avant la parenthèse. =>   def l(c, message, linefeed = True): | ( => suggestions : [' (']
59 Mot inconnu : linefeed =>   def l(c, message, linefeed = True): | linefeed
59 Mot inconnu : True =>   def l(c, message, linefeed = True): | true

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     sys.stdout.write(message) |      => suggestions : ['']
60 Il manque un espace avant la parenthèse. =>     sys.stdout.write(message) | ( => suggestions : [' (']

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     if linefeed: |      => suggestions : ['']
61 Mot inconnu : linefeed =>     if linefeed: | linefeed

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       sys.stdout.write("\n") |        => suggestions : ['']
62 Il manque un espace avant la parenthèse. =>       sys.stdout.write("\n") | ( => suggestions : [' (']
62 Guillemets typographiques fermants. =>       sys.stdout.write("\n") | " => suggestions : ['\xa0»', '”']

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   @classmethod |    => suggestions : ['']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   def v(c, message, linefeed = True): |    => suggestions : ['']
65 Mot inconnu : def =>   def v(c, message, linefeed = True): | def
65 Il manque un espace avant la parenthèse. =>   def v(c, message, linefeed = True): | ( => suggestions : [' (']
65 Mot inconnu : linefeed =>   def v(c, message, linefeed = True): | linefeed
65 Mot inconnu : True =>   def v(c, message, linefeed = True): | true

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     if c.verbose: |      => suggestions : ['']
66 Mot inconnu : verbose =>     if c.verbose: | verbose

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       c.l(message, linefeed) |        => suggestions : ['']
67 Il manque un espace avant la parenthèse. =>       c.l(message, linefeed) | ( => suggestions : [' (']
67 Mot inconnu : linefeed =>       c.l(message, linefeed) | linefeed

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   @classmethod |    => suggestions : ['']

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   def w(c, message, linefeed = True): |    => suggestions : ['']
70 Mot inconnu : def =>   def w(c, message, linefeed = True): | def
70 Il manque un espace avant la parenthèse. =>   def w(c, message, linefeed = True): | ( => suggestions : [' (']
70 Mot inconnu : linefeed =>   def w(c, message, linefeed = True): | linefeed
70 Mot inconnu : True =>   def w(c, message, linefeed = True): | true

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     c.v("## Warning ## " + message, linefeed) |      => suggestions : ['']
71 Il manque un espace avant la parenthèse. =>     c.v("## Warning ## " + message, linefeed) | ( => suggestions : [' (']
71 Guillemets isolés. =>     c.v("## Warning ## " + message, linefeed) |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
71 Mot inconnu : linefeed =>     c.v("## Warning ## " + message, linefeed) | linefeed

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   @classmethod |    => suggestions : ['']

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   def nl(c): |    => suggestions : ['']
74 Mot inconnu : def =>   def nl(c): | def

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     if c.verbose: |      => suggestions : ['']
75 Mot inconnu : verbose =>     if c.verbose: | verbose

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       sys.stdout.write("\n") |        => suggestions : ['']
76 Il manque un espace avant la parenthèse. =>       sys.stdout.write("\n") | ( => suggestions : [' (']
76 Guillemets typographiques fermants. =>       sys.stdout.write("\n") | " => suggestions : ['\xa0»', '”']

78 Mot inconnu : class => class SubElement: | class
78 Mot inconnu : SubElement => class SubElement: | subelement

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   def __init__(self, start, end, text): |    => suggestions : ['']
80 Mot inconnu : def =>   def __init__(self, start, end, text): | def
80 Mot inconnu : __init__ =>   def __init__(self, start, end, text): | __init__
80 Il manque un espace avant la parenthèse. =>   def __init__(self, start, end, text): | ( => suggestions : [' (']
80 Mot inconnu : start =>   def __init__(self, start, end, text): | start
80 Mot inconnu : end =>   def __init__(self, start, end, text): | end
80 Mot inconnu : text =>   def __init__(self, start, end, text): | text

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     self.timeStart = start |      => suggestions : ['']
81 Mot inconnu : timeStart =>     self.timeStart = start | timestart
81 Mot inconnu : start =>     self.timeStart = start | start

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     self.timeEnd = end |      => suggestions : ['']
82 Mot inconnu : timeEnd =>     self.timeEnd = end | timeend
82 Mot inconnu : end =>     self.timeEnd = end | end

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     self.text = text |      => suggestions : ['']
83 Mot inconnu : text =>     self.text = text | text
83 Mot inconnu : text =>     self.text = text | text

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   def appendLine(self, text): |    => suggestions : ['']
85 Mot inconnu : def =>   def appendLine(self, text): | def
85 Mot inconnu : appendLine =>   def appendLine(self, text): | appendline
85 Il manque un espace avant la parenthèse. =>   def appendLine(self, text): | ( => suggestions : [' (']
85 Mot inconnu : text =>   def appendLine(self, text): | text

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     text = text.lstrip().rstrip() |      => suggestions : ['']
86 Mot inconnu : text =>     text = text.lstrip().rstrip() | text
86 Mot inconnu : text =>     text = text.lstrip().rstrip() | text
86 Mot inconnu : lstrip =>     text = text.lstrip().rstrip() | lstrip
86 Mot inconnu : rstrip =>     text = text.lstrip().rstrip() | rstrip

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     if text != '': |      => suggestions : ['']
87 Mot inconnu : text =>     if text != '': | text

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       if self.text != '': |        => suggestions : ['']
88 Mot inconnu : text =>       if self.text != '': | text

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         self.text += "\n" |          => suggestions : ['']
89 Mot inconnu : text =>         self.text += "\n" | text
89 Guillemets typographiques fermants. =>         self.text += "\n" | " => suggestions : ['\xa0»', '”']

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       self.text += text |        => suggestions : ['']
90 Mot inconnu : text =>       self.text += text | text
90 Mot inconnu : text =>       self.text += text | text

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   def __repr__(self): |    => suggestions : ['']
92 Mot inconnu : def =>   def __repr__(self): | def
92 Mot inconnu : __repr__ =>   def __repr__(self): | __repr__
92 Il manque un espace avant la parenthèse. =>   def __repr__(self): | ( => suggestions : [' (']

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     return self.text |      => suggestions : ['']
93 Mot inconnu : return =>     return self.text | return
93 Mot inconnu : text =>     return self.text | text

95 Mot inconnu : class => class AdvancedSubStationAlphaWriter: | class
95 Mot inconnu : AdvancedSubStationAlphaWriter => class AdvancedSubStationAlphaWriter: | advancedsubstationalphawriter

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   def __init__(self, filename, subElements, regular, size): |    => suggestions : ['']
97 Mot inconnu : def =>   def __init__(self, filename, subElements, regular, size): | def
97 Mot inconnu : __init__ =>   def __init__(self, filename, subElements, regular, size): | __init__
97 Il manque un espace avant la parenthèse. =>   def __init__(self, filename, subElements, regular, size): | ( => suggestions : [' (']
97 Mot inconnu : filename =>   def __init__(self, filename, subElements, regular, size): | filename
97 Mot inconnu : subElements =>   def __init__(self, filename, subElements, regular, size): | subelements
97 Mot inconnu : regular =>   def __init__(self, filename, subElements, regular, size): | regular
97 Mot inconnu : size =>   def __init__(self, filename, subElements, regular, size): | size

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Console.v('Writing "' + filename + '"') |      => suggestions : ['']
98 Il manque un espace avant la parenthèse. =>     Console.v('Writing "' + filename + '"') | ( => suggestions : [' (']
98 Mot inconnu : Writing =>     Console.v('Writing "' + filename + '"') | writing
98 Mot inconnu : filename =>     Console.v('Writing "' + filename + '"') | filename

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     self.fontRegular = regular |      => suggestions : ['']
99 Mot inconnu : fontRegular =>     self.fontRegular = regular | fontregular
99 Mot inconnu : regular =>     self.fontRegular = regular | regular

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     self.fontSize = size |      => suggestions : ['']
100 Mot inconnu : fontSize =>     self.fontSize = size | fontsize
100 Mot inconnu : size =>     self.fontSize = size | size

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     self.filename = filename |      => suggestions : ['']
101 Mot inconnu : filename =>     self.filename = filename | filename
101 Mot inconnu : filename =>     self.filename = filename | filename

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     self.elements = subElements |      => suggestions : ['']
102 Mot inconnu : elements =>     self.elements = subElements | elements
102 Mot inconnu : subElements =>     self.elements = subElements | subelements

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     self.write() |      => suggestions : ['']
103 Mot inconnu : write =>     self.write() | write

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      |      => suggestions : ['']

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   def write(self): |    => suggestions : ['']
105 Mot inconnu : def =>   def write(self): | def
105 Mot inconnu : write =>   def write(self): | write
105 Il manque un espace avant la parenthèse. =>   def write(self): | ( => suggestions : [' (']

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     f = open(self.filename, 'w') |      => suggestions : ['']
106 Il manque un espace avant la parenthèse. =>     f = open(self.filename, 'w') | ( => suggestions : [' (']
106 Mot inconnu : filename =>     f = open(self.filename, 'w') | filename
106 Guillemets typographiques ouvrants. =>     f = open(self.filename, 'w') | ' => suggestions : ['“', '‘', '‹']

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     f.write(codecs.BOM_UTF8) |      => suggestions : ['']
107 Mot inconnu : write =>     f.write(codecs.BOM_UTF8) | write
107 Il manque un espace avant la parenthèse. =>     f.write(codecs.BOM_UTF8) | ( => suggestions : [' (']
107 Mot inconnu : BOM_UTF8 =>     f.write(codecs.BOM_UTF8) | bom_utf8

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     f.write(self.getHeader()) |      => suggestions : ['']
108 Mot inconnu : write =>     f.write(self.getHeader()) | write
108 Il manque un espace avant la parenthèse. =>     f.write(self.getHeader()) | ( => suggestions : [' (']
108 Mot inconnu : getHeader =>     f.write(self.getHeader()) | getheader

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     for e in self.elements: |      => suggestions : ['']
109 Mot inconnu : elements =>     for e in self.elements: | elements

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       f.write(self.getLine(e)) |        => suggestions : ['']
110 Mot inconnu : write =>       f.write(self.getLine(e)) | write
110 Il manque un espace avant la parenthèse. =>       f.write(self.getLine(e)) | ( => suggestions : [' (']
110 Mot inconnu : getLine =>       f.write(self.getLine(e)) | getline

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     f.close() |      => suggestions : ['']
111 Il manque un espace. =>     f.close() | close => suggestions : [' close']

112 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

113 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   def getLine(self, element): |    => suggestions : ['']
113 Mot inconnu : def =>   def getLine(self, element): | def
113 Mot inconnu : getLine =>   def getLine(self, element): | getline
113 Il manque un espace avant la parenthèse. =>   def getLine(self, element): | ( => suggestions : [' (']
113 Mot inconnu : element =>   def getLine(self, element): | element

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     start = self.getTime(element.timeStart) |      => suggestions : ['']
114 Mot inconnu : start =>     start = self.getTime(element.timeStart) | start
114 Mot inconnu : getTime =>     start = self.getTime(element.timeStart) | gettime
114 Il manque un espace avant la parenthèse. =>     start = self.getTime(element.timeStart) | ( => suggestions : [' (']
114 Mot inconnu : element =>     start = self.getTime(element.timeStart) | element
114 Mot inconnu : timeStart =>     start = self.getTime(element.timeStart) | timestart

115 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     end = self.getTime(element.timeEnd) |      => suggestions : ['']
115 Mot inconnu : end =>     end = self.getTime(element.timeEnd) | end
115 Mot inconnu : getTime =>     end = self.getTime(element.timeEnd) | gettime
115 Il manque un espace avant la parenthèse. =>     end = self.getTime(element.timeEnd) | ( => suggestions : [' (']
115 Mot inconnu : element =>     end = self.getTime(element.timeEnd) | element
