
4 Mot inconnu : Ngspice => ====== Ngspice rework ====== | ngspice
98 Mot inconnu : n2 => n1 et n2 sont deux nœuds de connexion. Valeur est la résistance (en ohms), elle peut-être positive ou négative mais non nulle. | n2

100 S’il s’agit d’un seul mot, il manque un trait d’union. => ==== Résistances Semi conducteur ==== | semi conducteur => suggestions : ['Semi-conducteur']

117 Il manque un espace à côté du tiret. => n+ et n- sont les bornes positive et négative du condensateur. Valeur est la capacité en Farads. La condition initiale IC (optionnelle) est la valeur en volts de la tension au temps 0 de la capacitée. | -  => suggestions : [' – ', ' — ']
117 Mot inconnu : IC => n+ et n- sont les bornes positive et négative du condensateur. Valeur est la capacité en Farads. La condition initiale IC (optionnelle) est la valeur en volts de la tension au temps 0 de la capacitée. | ic
117 Mot inconnu : capacitée => n+ et n- sont les bornes positive et négative du condensateur. Valeur est la capacité en Farads. La condition initiale IC (optionnelle) est la valeur en volts de la tension au temps 0 de la capacitée. | capacitée

119 S’il s’agit d’un seul mot, il manque un trait d’union. => ==== Capacités Semi conductrice ==== | semi conductrice => suggestions : ['Semi-conductrice']

137 Il manque un espace à côté du tiret. => n+ et n- sont les bornes positive et négative. Valeur est l'inductance en Henry.  La condition initiale IC (optionnelle) est la valeur du courant en ampère au temps 0 de la borne n+ à la borne n-. | -  => suggestions : [' – ', ' — ']
137 Espace(s) surnuméraire(s) à supprimer. => n+ et n- sont les bornes positive et négative. Valeur est l'inductance en Henry.  La condition initiale IC (optionnelle) est la valeur du courant en ampère au temps 0 de la borne n+ à la borne n-. |    => suggestions : [' ']
137 Mot inconnu : IC => n+ et n- sont les bornes positive et négative. Valeur est l'inductance en Henry.  La condition initiale IC (optionnelle) est la valeur du courant en ampère au temps 0 de la borne n+ à la borne n-. | ic

139 Espace(s) surnuméraire(s) à supprimer. => ==== Inductance Mutuelle  ==== |    => suggestions : [' ']

147 Mot inconnu : Lnom1 => Lnom1 et Lnom2 sont les nom des deux inductances couplées. VALEUR est le coefficient de couplage K, il doit être plus grand que 0 et inférieur ou égal à 1. | lnom1
147 Mot inconnu : Lnom2 => Lnom1 et Lnom2 sont les nom des deux inductances couplées. VALEUR est le coefficient de couplage K, il doit être plus grand que 0 et inférieur ou égal à 1. | lnom2
147 Accord de nombre erroné : « nom » devrait être au pluriel. => Lnom1 et Lnom2 sont les nom des deux inductances couplées. VALEUR est le coefficient de couplage K, il doit être plus grand que 0 et inférieur ou égal à 1. | nom => suggestions : ['noms']

149 Mot inconnu : Switches => ==== Switches ==== | switches

154 Mot inconnu : Examples => === Examples === | examples

168 Il manque un espace à côté du tiret. => n+ et n- sont les bornes positive et négative. Les sources de tension ne sont pas à la masse. Le courant passe de la borne Positive à la borne négative. Un courant positive passe de la borne n+ à la borne n- au travers du circuit connecté. | -  => suggestions : [' – ', ' — ']
168 Il manque un espace à côté du tiret. => n+ et n- sont les bornes positive et négative. Les sources de tension ne sont pas à la masse. Le courant passe de la borne Positive à la borne négative. Un courant positive passe de la borne n+ à la borne n- au travers du circuit connecté. | -  => suggestions : [' – ', ' — ']

170 Mot inconnu : DC => DC/TRAN sont le régime continu et transitoire d'analyse, AC est la valeur alternative. | dc
170 Mot inconnu : TRAN => DC/TRAN sont le régime continu et transitoire d'analyse, AC est la valeur alternative. | tran

181 Mot inconnu : ACMAG => ACMAG est la grandeur AC et ACPHASE est la phase AC. La source est réglée sur cette valeur dans l'analyse CA. Si ACMAG est omis après le mot-clé AC, une valeur de l'unité est supposée. Si ACPHASE est omis, une valeur de zéro est supposée. Si la source n'est pas une entrée de petit signal AC, le mot-clé AC et les valeurs AC sont omis. | acmag
181 Mot inconnu : ACPHASE => ACMAG est la grandeur AC et ACPHASE est la phase AC. La source est réglée sur cette valeur dans l'analyse CA. Si ACMAG est omis après le mot-clé AC, une valeur de l'unité est supposée. Si ACPHASE est omis, une valeur de zéro est supposée. Si la source n'est pas une entrée de petit signal AC, le mot-clé AC et les valeurs AC sont omis. | acphase
181 Mot inconnu : ACMAG => ACMAG est la grandeur AC et ACPHASE est la phase AC. La source est réglée sur cette valeur dans l'analyse CA. Si ACMAG est omis après le mot-clé AC, une valeur de l'unité est supposée. Si ACPHASE est omis, une valeur de zéro est supposée. Si la source n'est pas une entrée de petit signal AC, le mot-clé AC et les valeurs AC sont omis. | acmag
181 Mot inconnu : ACPHASE => ACMAG est la grandeur AC et ACPHASE est la phase AC. La source est réglée sur cette valeur dans l'analyse CA. Si ACMAG est omis après le mot-clé AC, une valeur de l'unité est supposée. Si ACPHASE est omis, une valeur de zéro est supposée. Si la source n'est pas une entrée de petit signal AC, le mot-clé AC et les valeurs AC sont omis. | acphase

183 Mot inconnu : DISTOF1 => DISTOF1 et DISTOF2 sont les mots-clés qui spécifient que la source indépendante a des entrées de distorsion aux fréquences F1 et F2 respectivement (voir la description de la ligne de contrôle .DISTO). Les mots-clés peuvent être suivis d'une magnitude et d'une phase facultatives. Les valeurs par défaut de l'amplitude et de la phase sont 1,0 et 0,0 respectivement. | distof1
183 Mot inconnu : DISTOF2 => DISTOF1 et DISTOF2 sont les mots-clés qui spécifient que la source indépendante a des entrées de distorsion aux fréquences F1 et F2 respectivement (voir la description de la ligne de contrôle .DISTO). Les mots-clés peuvent être suivis d'une magnitude et d'une phase facultatives. Les valeurs par défaut de l'amplitude et de la phase sont 1,0 et 0,0 respectivement. | distof2
183 Typographie des composés chimiques. => DISTOF1 et DISTOF2 sont les mots-clés qui spécifient que la source indépendante a des entrées de distorsion aux fréquences F1 et F2 respectivement (voir la description de la ligne de contrôle .DISTO). Les mots-clés peuvent être suivis d'une magnitude et d'une phase facultatives. Les valeurs par défaut de l'amplitude et de la phase sont 1,0 et 0,0 respectivement. | f2 => suggestions : ['F₂']
183 Mot inconnu : F2 => DISTOF1 et DISTOF2 sont les mots-clés qui spécifient que la source indépendante a des entrées de distorsion aux fréquences F1 et F2 respectivement (voir la description de la ligne de contrôle .DISTO). Les mots-clés peuvent être suivis d'une magnitude et d'une phase facultatives. Les valeurs par défaut de l'amplitude et de la phase sont 1,0 et 0,0 respectivement. | f2
183 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => DISTOF1 et DISTOF2 sont les mots-clés qui spécifient que la source indépendante a des entrées de distorsion aux fréquences F1 et F2 respectivement (voir la description de la ligne de contrôle .DISTO). Les mots-clés peuvent être suivis d'une magnitude et d'une phase facultatives. Les valeurs par défaut de l'amplitude et de la phase sont 1,0 et 0,0 respectivement. |  . => suggestions : ['. ', '.']
183 Mot inconnu : DISTO => DISTOF1 et DISTOF2 sont les mots-clés qui spécifient que la source indépendante a des entrées de distorsion aux fréquences F1 et F2 respectivement (voir la description de la ligne de contrôle .DISTO). Les mots-clés peuvent être suivis d'une magnitude et d'une phase facultatives. Les valeurs par défaut de l'amplitude et de la phase sont 1,0 et 0,0 respectivement. | disto

193 Il manque un espace à côté du tiret. => n+ et n- sont les noeuds positif et négatif, respectivement. Le flux de courant est du nœud positif, de la source au nœud négatif. nc+ et nc- sont les nœuds de contrôle positifs et négatifs, respectivement. VALUE est la transconductance (en mhos). | -  => suggestions : [' – ', ' — ']
193 Mot inconnu : noeuds => n+ et n- sont les noeuds positif et négatif, respectivement. Le flux de courant est du nœud positif, de la source au nœud négatif. nc+ et nc- sont les nœuds de contrôle positifs et négatifs, respectivement. VALUE est la transconductance (en mhos). | noeuds
193 Mot inconnu : nc => n+ et n- sont les noeuds positif et négatif, respectivement. Le flux de courant est du nœud positif, de la source au nœud négatif. nc+ et nc- sont les nœuds de contrôle positifs et négatifs, respectivement. VALUE est la transconductance (en mhos). | nc
193 Mot inconnu : nc => n+ et n- sont les noeuds positif et négatif, respectivement. Le flux de courant est du nœud positif, de la source au nœud négatif. nc+ et nc- sont les nœuds de contrôle positifs et négatifs, respectivement. VALUE est la transconductance (en mhos). | nc
193 Il manque un espace à côté du tiret. => n+ et n- sont les noeuds positif et négatif, respectivement. Le flux de courant est du nœud positif, de la source au nœud négatif. nc+ et nc- sont les nœuds de contrôle positifs et négatifs, respectivement. VALUE est la transconductance (en mhos). | -  => suggestions : [' – ', ' — ']
193 Mot inconnu : mhos => n+ et n- sont les noeuds positif et négatif, respectivement. Le flux de courant est du nœud positif, de la source au nœud négatif. nc+ et nc- sont les nœuds de contrôle positifs et négatifs, respectivement. VALUE est la transconductance (en mhos). | mhos

203 Mot inconnu : noeud => n+ est le noeud positif, et n- est le noeud négatif. nc+ et nc- sont les noeuds de contrôle positifs et négatifs, respectivement. La valeur est le gain de tension. | noeud
203 Il manque un espace à côté du tiret. => n+ est le noeud positif, et n- est le noeud négatif. nc+ et nc- sont les noeuds de contrôle positifs et négatifs, respectivement. La valeur est le gain de tension. | -  => suggestions : [' – ', ' — ']
203 Mot inconnu : noeud => n+ est le noeud positif, et n- est le noeud négatif. nc+ et nc- sont les noeuds de contrôle positifs et négatifs, respectivement. La valeur est le gain de tension. | noeud
203 Mot inconnu : nc => n+ est le noeud positif, et n- est le noeud négatif. nc+ et nc- sont les noeuds de contrôle positifs et négatifs, respectivement. La valeur est le gain de tension. | nc
203 Mot inconnu : nc => n+ est le noeud positif, et n- est le noeud négatif. nc+ et nc- sont les noeuds de contrôle positifs et négatifs, respectivement. La valeur est le gain de tension. | nc
203 Il manque un espace à côté du tiret. => n+ est le noeud positif, et n- est le noeud négatif. nc+ et nc- sont les noeuds de contrôle positifs et négatifs, respectivement. La valeur est le gain de tension. | -  => suggestions : [' – ', ' — ']
203 Mot inconnu : noeuds => n+ est le noeud positif, et n- est le noeud négatif. nc+ et nc- sont les noeuds de contrôle positifs et négatifs, respectivement. La valeur est le gain de tension. | noeuds
203 Accord de nombre erroné avec « positifs ». => n+ est le noeud positif, et n- est le noeud négatif. nc+ et nc- sont les noeuds de contrôle positifs et négatifs, respectivement. La valeur est le gain de tension. | contrôle => suggestions : ['contrôles']
203 Accord de nombre erroné avec « contrôle ». => n+ est le noeud positif, et n- est le noeud négatif. nc+ et nc- sont les noeuds de contrôle positifs et négatifs, respectivement. La valeur est le gain de tension. | positifs => suggestions : ['positif']

212 Il manque un espace à côté du tiret. => n+ et n- sont les noeuds positif et négatif, respectivement. Le flux de courant est du nœud positif, à travers la source, au nœud négatif. Vname est le nom d'une source de tension à travers laquelle circule le courant de commande. La direction du flux de courant de commande positif est du noeud positif, à travers la source, au noeud négatif de Vname. La valeur est le gain courant. | -  => suggestions : [' – ', ' — ']
212 Mot inconnu : noeuds => n+ et n- sont les noeuds positif et négatif, respectivement. Le flux de courant est du nœud positif, à travers la source, au nœud négatif. Vname est le nom d'une source de tension à travers laquelle circule le courant de commande. La direction du flux de courant de commande positif est du noeud positif, à travers la source, au noeud négatif de Vname. La valeur est le gain courant. | noeuds
212 Mot inconnu : Vname => n+ et n- sont les noeuds positif et négatif, respectivement. Le flux de courant est du nœud positif, à travers la source, au nœud négatif. Vname est le nom d'une source de tension à travers laquelle circule le courant de commande. La direction du flux de courant de commande positif est du noeud positif, à travers la source, au noeud négatif de Vname. La valeur est le gain courant. | vname
212 Mot inconnu : noeud => n+ et n- sont les noeuds positif et négatif, respectivement. Le flux de courant est du nœud positif, à travers la source, au nœud négatif. Vname est le nom d'une source de tension à travers laquelle circule le courant de commande. La direction du flux de courant de commande positif est du noeud positif, à travers la source, au noeud négatif de Vname. La valeur est le gain courant. | noeud
212 Mot inconnu : noeud => n+ et n- sont les noeuds positif et négatif, respectivement. Le flux de courant est du nœud positif, à travers la source, au nœud négatif. Vname est le nom d'une source de tension à travers laquelle circule le courant de commande. La direction du flux de courant de commande positif est du noeud positif, à travers la source, au noeud négatif de Vname. La valeur est le gain courant. | noeud
212 Mot inconnu : Vname => n+ et n- sont les noeuds positif et négatif, respectivement. Le flux de courant est du nœud positif, à travers la source, au nœud négatif. Vname est le nom d'une source de tension à travers laquelle circule le courant de commande. La direction du flux de courant de commande positif est du noeud positif, à travers la source, au noeud négatif de Vname. La valeur est le gain courant. | vname

222 Il manque un espace à côté du tiret. => n+ et n- sont les noeuds positifs et négatifs, respectivement. Vname est le nom d'une source de tension à travers laquelle circule le courant de commande. La direction du flux de courant de commande positif est du nœud positif, à travers la source, au noeud négatif de Vname. La valeur est la transresistance (en ohms). | -  => suggestions : [' – ', ' — ']
222 Mot inconnu : noeuds => n+ et n- sont les noeuds positifs et négatifs, respectivement. Vname est le nom d'une source de tension à travers laquelle circule le courant de commande. La direction du flux de courant de commande positif est du nœud positif, à travers la source, au noeud négatif de Vname. La valeur est la transresistance (en ohms). | noeuds
222 Mot inconnu : Vname => n+ et n- sont les noeuds positifs et négatifs, respectivement. Vname est le nom d'une source de tension à travers laquelle circule le courant de commande. La direction du flux de courant de commande positif est du nœud positif, à travers la source, au noeud négatif de Vname. La valeur est la transresistance (en ohms). | vname
222 Mot inconnu : noeud => n+ et n- sont les noeuds positifs et négatifs, respectivement. Vname est le nom d'une source de tension à travers laquelle circule le courant de commande. La direction du flux de courant de commande positif est du nœud positif, à travers la source, au noeud négatif de Vname. La valeur est la transresistance (en ohms). | noeud
222 Mot inconnu : Vname => n+ et n- sont les noeuds positifs et négatifs, respectivement. Vname est le nom d'une source de tension à travers laquelle circule le courant de commande. La direction du flux de courant de commande positif est du nœud positif, à travers la source, au noeud négatif de Vname. La valeur est la transresistance (en ohms). | vname
222 Mot inconnu : transresistance => n+ et n- sont les noeuds positifs et négatifs, respectivement. Vname est le nom d'une source de tension à travers laquelle circule le courant de commande. La direction du flux de courant de commande positif est du nœud positif, à travers la source, au noeud négatif de Vname. La valeur est la transresistance (en ohms). | transresistance

232 Il manque un espace à côté du tiret. => n+ est le nœud positif, et n- est le nœud négatif. Les valeurs des paramètres V et I déterminent respectivement les tensions et les courants à travers et à travers le dispositif. Si I est donné alors le dispositif est une source de courant, et si V est donné le dispositif est une source de tension. Un seul de ces paramètres doit être donné. Le comportement AC à petit signal de la source non linéaire est une source (ou sources) linéairement dépendante avec une constante de proportionnalité égale à la dérivée (ou aux dérivées) de la source au point de fonctionnement en courant continu. | -  => suggestions : [' – ', ' — ']

242 Mot inconnu : n1 => Il s'agit d'un modèle de convolution à deux ports pour les lignes de transmission à un seul conducteur avec perte. n1 et n2 sont les nœuds au port 1; n3 et n4 sont les nœuds du port 2. Il est à noter qu'une ligne de transmission avec perte sans perte peut être plus précise que la ligne de transmission sans perte en raison des détails d'implémentation. | n1
242 Mot inconnu : n2 => Il s'agit d'un modèle de convolution à deux ports pour les lignes de transmission à un seul conducteur avec perte. n1 et n2 sont les nœuds au port 1; n3 et n4 sont les nœuds du port 2. Il est à noter qu'une ligne de transmission avec perte sans perte peut être plus précise que la ligne de transmission sans perte en raison des détails d'implémentation. | n2
242 Mot inconnu : n3 => Il s'agit d'un modèle de convolution à deux ports pour les lignes de transmission à un seul conducteur avec perte. n1 et n2 sont les nœuds au port 1; n3 et n4 sont les nœuds du port 2. Il est à noter qu'une ligne de transmission avec perte sans perte peut être plus précise que la ligne de transmission sans perte en raison des détails d'implémentation. | n3
242 Mot inconnu : n4 => Il s'agit d'un modèle de convolution à deux ports pour les lignes de transmission à un seul conducteur avec perte. n1 et n2 sont les nœuds au port 1; n3 et n4 sont les nœuds du port 2. Il est à noter qu'une ligne de transmission avec perte sans perte peut être plus précise que la ligne de transmission sans perte en raison des détails d'implémentation. | n4

243 Mot inconnu : RC => ==== Lignes RC uniformément réparties (avec perte) ==== | rc

251 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => n1 et n2 sont les nœuds à deux éléments que la ligne RC connecte, tandis que n3 est le nœud auquel les capacités sont connectées. Mname est le nom du modèle, LEN est la longueur de la ligne RC en mètres. Lumps, si spécifié, est le nombre de segments agrégés à utiliser dans la modélisation de la ligne RC (voir la description du modèle de l'action effectuée si ce paramètre est omis). | n1 => suggestions : ['N1']
251 Mot inconnu : n1 => n1 et n2 sont les nœuds à deux éléments que la ligne RC connecte, tandis que n3 est le nœud auquel les capacités sont connectées. Mname est le nom du modèle, LEN est la longueur de la ligne RC en mètres. Lumps, si spécifié, est le nombre de segments agrégés à utiliser dans la modélisation de la ligne RC (voir la description du modèle de l'action effectuée si ce paramètre est omis). | n1
251 Mot inconnu : n2 => n1 et n2 sont les nœuds à deux éléments que la ligne RC connecte, tandis que n3 est le nœud auquel les capacités sont connectées. Mname est le nom du modèle, LEN est la longueur de la ligne RC en mètres. Lumps, si spécifié, est le nombre de segments agrégés à utiliser dans la modélisation de la ligne RC (voir la description du modèle de l'action effectuée si ce paramètre est omis). | n2
251 Mot inconnu : RC => n1 et n2 sont les nœuds à deux éléments que la ligne RC connecte, tandis que n3 est le nœud auquel les capacités sont connectées. Mname est le nom du modèle, LEN est la longueur de la ligne RC en mètres. Lumps, si spécifié, est le nombre de segments agrégés à utiliser dans la modélisation de la ligne RC (voir la description du modèle de l'action effectuée si ce paramètre est omis). | rc
251 Mot inconnu : n3 => n1 et n2 sont les nœuds à deux éléments que la ligne RC connecte, tandis que n3 est le nœud auquel les capacités sont connectées. Mname est le nom du modèle, LEN est la longueur de la ligne RC en mètres. Lumps, si spécifié, est le nombre de segments agrégés à utiliser dans la modélisation de la ligne RC (voir la description du modèle de l'action effectuée si ce paramètre est omis). | n3
251 Mot inconnu : Mname => n1 et n2 sont les nœuds à deux éléments que la ligne RC connecte, tandis que n3 est le nœud auquel les capacités sont connectées. Mname est le nom du modèle, LEN est la longueur de la ligne RC en mètres. Lumps, si spécifié, est le nombre de segments agrégés à utiliser dans la modélisation de la ligne RC (voir la description du modèle de l'action effectuée si ce paramètre est omis). | mname
251 Mot inconnu : LEN => n1 et n2 sont les nœuds à deux éléments que la ligne RC connecte, tandis que n3 est le nœud auquel les capacités sont connectées. Mname est le nom du modèle, LEN est la longueur de la ligne RC en mètres. Lumps, si spécifié, est le nombre de segments agrégés à utiliser dans la modélisation de la ligne RC (voir la description du modèle de l'action effectuée si ce paramètre est omis). | len
251 Mot inconnu : RC => n1 et n2 sont les nœuds à deux éléments que la ligne RC connecte, tandis que n3 est le nœud auquel les capacités sont connectées. Mname est le nom du modèle, LEN est la longueur de la ligne RC en mètres. Lumps, si spécifié, est le nombre de segments agrégés à utiliser dans la modélisation de la ligne RC (voir la description du modèle de l'action effectuée si ce paramètre est omis). | rc
251 Mot inconnu : RC => n1 et n2 sont les nœuds à deux éléments que la ligne RC connecte, tandis que n3 est le nœud auquel les capacités sont connectées. Mname est le nom du modèle, LEN est la longueur de la ligne RC en mètres. Lumps, si spécifié, est le nombre de segments agrégés à utiliser dans la modélisation de la ligne RC (voir la description du modèle de l'action effectuée si ce paramètre est omis). | rc

261 Il manque un espace à côté du tiret. => n+ et n- sont les noeuds positifs et négatifs, respectivement. Mname est le nom du modèle, Area est le facteur de zone et OFF indique une condition de départ (optionnelle) sur le périphérique pour l'analyse de courant continu. | -  => suggestions : [' – ', ' — ']
261 Mot inconnu : noeuds => n+ et n- sont les noeuds positifs et négatifs, respectivement. Mname est le nom du modèle, Area est le facteur de zone et OFF indique une condition de départ (optionnelle) sur le périphérique pour l'analyse de courant continu. | noeuds
261 Mot inconnu : Mname => n+ et n- sont les noeuds positifs et négatifs, respectivement. Mname est le nom du modèle, Area est le facteur de zone et OFF indique une condition de départ (optionnelle) sur le périphérique pour l'analyse de courant continu. | mname
261 Mot inconnu : Area => n+ et n- sont les noeuds positifs et négatifs, respectivement. Mname est le nom du modèle, Area est le facteur de zone et OFF indique une condition de départ (optionnelle) sur le périphérique pour l'analyse de courant continu. | area

263 Mot inconnu : BJT => ==== Transistors de jonction bipolaire (BJT) ==== | bjt

271 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => nC, nB et nE sont respectivement les nœuds de collecteur, de base et d'émetteur. nS est le nœud de substrat (facultatif). Si non spécifié, la terre est utilisée. Mname est le nom du modèle, Area est le facteur de zone, et OFF indique une condition initiale (facultative) sur le périphérique pour l'analyse DC. | nc => suggestions : ['Nc']
271 Mot inconnu : nB => nC, nB et nE sont respectivement les nœuds de collecteur, de base et d'émetteur. nS est le nœud de substrat (facultatif). Si non spécifié, la terre est utilisée. Mname est le nom du modèle, Area est le facteur de zone, et OFF indique une condition initiale (facultative) sur le périphérique pour l'analyse DC. | nb
271 Mot inconnu : nE => nC, nB et nE sont respectivement les nœuds de collecteur, de base et d'émetteur. nS est le nœud de substrat (facultatif). Si non spécifié, la terre est utilisée. Mname est le nom du modèle, Area est le facteur de zone, et OFF indique une condition initiale (facultative) sur le périphérique pour l'analyse DC. | ne
271 Après un point, une majuscule est généralement requise. => nC, nB et nE sont respectivement les nœuds de collecteur, de base et d'émetteur. nS est le nœud de substrat (facultatif). Si non spécifié, la terre est utilisée. Mname est le nom du modèle, Area est le facteur de zone, et OFF indique une condition initiale (facultative) sur le périphérique pour l'analyse DC. | ns => suggestions : ['Ns']
271 Mot inconnu : Mname => nC, nB et nE sont respectivement les nœuds de collecteur, de base et d'émetteur. nS est le nœud de substrat (facultatif). Si non spécifié, la terre est utilisée. Mname est le nom du modèle, Area est le facteur de zone, et OFF indique une condition initiale (facultative) sur le périphérique pour l'analyse DC. | mname
271 Mot inconnu : Area => nC, nB et nE sont respectivement les nœuds de collecteur, de base et d'émetteur. nS est le nœud de substrat (facultatif). Si non spécifié, la terre est utilisée. Mname est le nom du modèle, Area est le facteur de zone, et OFF indique une condition initiale (facultative) sur le périphérique pour l'analyse DC. | area
271 Mot inconnu : DC => nC, nB et nE sont respectivement les nœuds de collecteur, de base et d'émetteur. nS est le nœud de substrat (facultatif). Si non spécifié, la terre est utilisée. Mname est le nom du modèle, Area est le facteur de zone, et OFF indique une condition initiale (facultative) sur le périphérique pour l'analyse DC. | dc

273 Mot inconnu : JFET => ==== Transistors à effet de champ de jonction (JFET) ==== | jfet

281 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => nD, nG et nS sont respectivement les nœuds drain, gate et source. Mname est le nom du modèle, Area est le facteur de zone, et OFF indique une condition initiale (facultative) sur le périphérique pour l'analyse CC. | nd => suggestions : ['Nd']
281 Mot inconnu : nD => nD, nG et nS sont respectivement les nœuds drain, gate et source. Mname est le nom du modèle, Area est le facteur de zone, et OFF indique une condition initiale (facultative) sur le périphérique pour l'analyse CC. | nd
281 Mot inconnu : gate => nD, nG et nS sont respectivement les nœuds drain, gate et source. Mname est le nom du modèle, Area est le facteur de zone, et OFF indique une condition initiale (facultative) sur le périphérique pour l'analyse CC. | gate
281 Mot inconnu : Mname => nD, nG et nS sont respectivement les nœuds drain, gate et source. Mname est le nom du modèle, Area est le facteur de zone, et OFF indique une condition initiale (facultative) sur le périphérique pour l'analyse CC. | mname
281 Mot inconnu : Area => nD, nG et nS sont respectivement les nœuds drain, gate et source. Mname est le nom du modèle, Area est le facteur de zone, et OFF indique une condition initiale (facultative) sur le périphérique pour l'analyse CC. | area

282 Mot inconnu : MOSFETs => ==== MOSFETs ==== | mosfets

290 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => nD, nG, nS et nB sont respectivement les nœuds drain, gate, source et bulk (substrat). Mname est le nom du modèle. L et W sont la longueur et la largeur du canal, en mètres. AD et AS sont les zones des diffusions drain et source, à 2 mètres. Notez que le suffixe U spécifie microns (1exp-6 m) 2 et P microns (1exp-12 m). Si l'un de L, W, AD ou AS n'est pas spécifié, les valeurs par défaut sont utilisées. | nd => suggestions : ['Nd']
290 Mot inconnu : nD => nD, nG, nS et nB sont respectivement les nœuds drain, gate, source et bulk (substrat). Mname est le nom du modèle. L et W sont la longueur et la largeur du canal, en mètres. AD et AS sont les zones des diffusions drain et source, à 2 mètres. Notez que le suffixe U spécifie microns (1exp-6 m) 2 et P microns (1exp-12 m). Si l'un de L, W, AD ou AS n'est pas spécifié, les valeurs par défaut sont utilisées. | nd
