
5 Mot inconnu : server [[14:20]] => ====== Ubuntu server ====== <|> server
36 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[0:1]] => A chaque re-partitionnement d'un disque, il faut être prêt à perdre la totalité des informations qu'il contenait, que vous ayez fait une erreur, ou que quelque chose se déroule mal pendant le partitionnement. Même si les programmes utilisés pendant le processus d'installation sont relativement stables, certains étant utilisés depuis des années, il ne faut pas perdre de vue qu'ils effectuent des actions destructrices. <|> a => suggestions : ['À']

41 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[0:1]] => A la différence de la version Desktop, la version serveur ne dispose pas d'un programme d'installation graphique. A la place, la version serveur utilise un processus basé sur des choix de menus type console. <|> a => suggestions : ['À']
41 Mot inconnu : Desktop [[30:37]] => A la différence de la version Desktop, la version serveur ne dispose pas d'un programme d'installation graphique. A la place, la version serveur utilise un processus basé sur des choix de menus type console. <|> desktop
41 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[114:115]] => A la différence de la version Desktop, la version serveur ne dispose pas d'un programme d'installation graphique. A la place, la version serveur utilise un processus basé sur des choix de menus type console. <|> a => suggestions : ['À']
46 Mot inconnu : UEC [[205:208]] =>   * Depuis le menu principal, des options supplémentaires sont accessibles : vous pouvez installer un Ubuntu Serveur basique, ou installer un Ubuntu Serveur qui prenne place dans le cloud de l'entreprise (UEC : Ubuntu Enterprise Cloud). <|> uec
46 Mot inconnu : Enterprise [[218:228]] =>   * Depuis le menu principal, des options supplémentaires sont accessibles : vous pouvez installer un Ubuntu Serveur basique, ou installer un Ubuntu Serveur qui prenne place dans le cloud de l'entreprise (UEC : Ubuntu Enterprise Cloud). <|> enterprise

48 Mot inconnu : UEC [[92:95]] => La suite de la description ne concerne que la version de base. Pour plus d'informations sur UEC, merci de consulter la page dédiée. <|> uec
49 Guillemets typographiques ouvrants. [[195:196]] =>   * Le programme d'installation détecte votre configuration matérielle, et configure les cartes réseaux en utilisant DHCP. Si vous ne souhaitez pas utiliser DHCP, à l'écran suivant, sélectionnez "Retour", et sélectionnez l'option "Configuration manuelle". <|> " => suggestions : ['«\xa0', '“']
49 Guillemets typographiques fermants. [[202:203]] =>   * Le programme d'installation détecte votre configuration matérielle, et configure les cartes réseaux en utilisant DHCP. Si vous ne souhaitez pas utiliser DHCP, à l'écran suivant, sélectionnez "Retour", et sélectionnez l'option "Configuration manuelle". <|> " => suggestions : ['\xa0»', '”']
49 Guillemets typographiques ouvrants. [[230:231]] =>   * Le programme d'installation détecte votre configuration matérielle, et configure les cartes réseaux en utilisant DHCP. Si vous ne souhaitez pas utiliser DHCP, à l'écran suivant, sélectionnez "Retour", et sélectionnez l'option "Configuration manuelle". <|> " => suggestions : ['«\xa0', '“']
49 Guillemets typographiques fermants. [[253:254]] =>   * Le programme d'installation détecte votre configuration matérielle, et configure les cartes réseaux en utilisant DHCP. Si vous ne souhaitez pas utiliser DHCP, à l'écran suivant, sélectionnez "Retour", et sélectionnez l'option "Configuration manuelle". <|> " => suggestions : ['\xa0»', '”']
53 Mot inconnu : root [[55:59]] =>   * Un nouvel utilisateur est créé. Il aura un accès **root** grâce à l'utilitaire **sudo**. Vous pourrez ou non encrypter son répertoire utilisateur (home). <|> root
53 Mot inconnu : sudo [[85:89]] =>   * Un nouvel utilisateur est créé. Il aura un accès **root** grâce à l'utilitaire **sudo**. Vous pourrez ou non encrypter son répertoire utilisateur (home). <|> sudo
54 Mot inconnu : Landscape [[160:169]] =>   * L'étape suivante du processus est de choisir comment le système sera mis à jour. Il y a trois options : pas de mises à jour automatique, automatique ou via Landscape. Landscape est un service payant de Canonical pour aider la gestion des machines Ubuntu. <|> landscape
54 Mot inconnu : Landscape [[171:180]] =>   * L'étape suivante du processus est de choisir comment le système sera mis à jour. Il y a trois options : pas de mises à jour automatique, automatique ou via Landscape. Landscape est un service payant de Canonical pour aider la gestion des machines Ubuntu. <|> landscape

58 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[0:1]] => A certaines étapes de l'installation, vous aurez besoin de lire l'écran d'aide du système d'installation. Pour cela, taper F1. <|> a => suggestions : ['À']

60 Mot inconnu : Tasksel [[5:12]] => ==== Tasksel ==== <|> tasksel

72 Mot inconnu : Tasksel [[75:82]] => L'installation de ces groupes de paquets est possible grâce à l'utilitaire Tasksel. Une des différences les plus importantes entre Ubuntu (debian) et les autres distributions GNU/Linux est qu'une fois installée, un paquet est déjà configuré avec des options par défauts fonctionnelles, et éventuellement, vous demande des informations complémentaires. En outre, quand vous installez une tâche, les paquets ne sont pas seulement installés, mais aussi configurés de façon à fournir un service totalement fonctionnel. <|> tasksel
72 Mot inconnu : debian [[139:145]] => L'installation de ces groupes de paquets est possible grâce à l'utilitaire Tasksel. Une des différences les plus importantes entre Ubuntu (debian) et les autres distributions GNU/Linux est qu'une fois installée, un paquet est déjà configuré avec des options par défauts fonctionnelles, et éventuellement, vous demande des informations complémentaires. En outre, quand vous installez une tâche, les paquets ne sont pas seulement installés, mais aussi configurés de façon à fournir un service totalement fonctionnel. <|> debian
72 Accord de genre erroné avec « défauts ». [[270:284]] => L'installation de ces groupes de paquets est possible grâce à l'utilitaire Tasksel. Une des différences les plus importantes entre Ubuntu (debian) et les autres distributions GNU/Linux est qu'une fois installée, un paquet est déjà configuré avec des options par défauts fonctionnelles, et éventuellement, vous demande des informations complémentaires. En outre, quand vous installez une tâche, les paquets ne sont pas seulement installés, mais aussi configurés de façon à fournir un service totalement fonctionnel. <|> fonctionnelles => suggestions : ['fonctionnels']

78 Accord de nombre erroné : « tâches » devrait être au singulier. [[64:70]] => Vous pouvez voir une liste des paquetages installés avec chaque tâches en utilisant l'option --task-packages. Par exemple, pour lister les paquets installés avec la tâche Serveur DNS, entrez : <|> tâches => suggestions : ['tâche']
78 Mot inconnu : task-packages [[95:108]] => Vous pouvez voir une liste des paquetages installés avec chaque tâches en utilisant l'option --task-packages. Par exemple, pour lister les paquets installés avec la tâche Serveur DNS, entrez : <|> task-packages

88 Mot inconnu : LAMP [[144:148]] => Si vous n'avez pas installé une des tâches pendant le processus d'installation, mais que par exemple vous avez décidé de faire de votre serveur LAMP un nouveau serveur DNS, vous pouvez simplement insérer le CD d'installation et depuis un terminal, saisir : <|> lamp

95 Mot inconnu : dist-upgrade [[14:26]] => La commande //dist-upgrade// effectue la fonction //upgrade// en y ajoutant une gestion intelligente des changements de dépendances dans les nouvelles versions de paquets. Cette commande est recommandée pour les serveurs en production. <|> dist-upgrade

99 Mot inconnu : desktop [[7:14]] => Ubuntu desktop est livré avec un certain nombre d'utilitaires graphiques pour configurer une interface réseau. <|> desktop

102 Mot inconnu : ethX [[97:101]] => Les interfaces Ethernet sont identifiées par le système en utilisant par convention le nommage //ethX//, ou X représente une valeur numérique. <|> ethx

103 Mot inconnu : eth0 [[57:61]] => La première interface est typiquement identifiée comme //eth0//, la seconde comme //eth1//, et les suivantes dans l'ordre numérique. <|> eth0
103 Mot inconnu : eth1 [[84:88]] => La première interface est typiquement identifiée comme //eth0//, la seconde comme //eth1//, et les suivantes dans l'ordre numérique. <|> eth1

106 Accord avec la forme verbale “peuvent” : “identifiée” devrait être au pluriel. [[43:53]] => Les interfaces Ethernet peuvent aussi être identifiée sous la forme //p1p5//. <|> identifiée => suggestions : ['identifiées']
106 Mot inconnu : p1p5 [[70:74]] => Les interfaces Ethernet peuvent aussi être identifiée sous la forme //p1p5//. <|> p1p5

108 Mot inconnu : VirtualBox [[25:35]] => Si le serveur tourne sur VirtualBox, les interfaces peuvent également être sous la forme //enp0sX//. <|> virtualbox
108 Mot inconnu : enp0sX [[91:97]] => Si le serveur tourne sur VirtualBox, les interfaces peuvent également être sous la forme //enp0sX//. <|> enp0sx

111 Mot inconnu : ifconfig [[94:102]] => Pour rapidement identifier toutes les interfaces Ethernet, vous pouvez utiliser la commande //ifconfig// : <|> ifconfig

116 Mot inconnu : lshw [[122:126]] => Une autre application qui peut vous aider à identifier toutes les interfaces disponibles sur le système est la commande //lshw//.  <|> lshw
116 Espace(s) en fin de ligne à supprimer. [[129:130]] => Une autre application qui peut vous aider à identifier toutes les interfaces disponibles sur le système est la commande //lshw//.  <|>   => suggestions : ['']

118 Mot inconnu : lshw [[27:31]] => Dans l'exemple ci-dessous, lshw montre une interface Ethernet unique, avec comme nom logique //eth0//, avec le bus d'information, les détails du driver et toutes les fonctionnalités supportées. <|> lshw
118 Mot inconnu : eth0 [[95:99]] => Dans l'exemple ci-dessous, lshw montre une interface Ethernet unique, avec comme nom logique //eth0//, avec le bus d'information, les détails du driver et toutes les fonctionnalités supportées. <|> eth0

141 Espace(s) surnuméraire(s) à supprimer. [[49:51]] => Les noms logiques sont configurés dans le fichier  ///etc/udev/rules.d/70-persistent-net.rules// . <|>    => suggestions : [' ']

143 Mot inconnu : NAME [[140:144]] => Si vous voulez contrôler quelle interface reçoit tel nom logique, trouvez la ligne contenant l'adresse physique MAC et modifiez la valeur //NAME=ethX//. <|> name
143 Mot inconnu : ethX [[145:149]] => Si vous voulez contrôler quelle interface reçoit tel nom logique, trouvez la ligne contenant l'adresse physique MAC et modifiez la valeur //NAME=ethX//. <|> ethx

144 Mot inconnu : Rebootez [[0:8]] => Rebootez le système pour valider le changement. <|> rebootez

147 Mot inconnu : ethtool [[2:9]] => //ethtool// est un programme qui affiche ou change les paramètres des cartes Ethernet, comme l'auto-négociation, la vitesse du port, le mode duplex, et le Wake-on-Lan. Il n'est pas installé par défaut, mais est disponible dans les dépots. <|> ethtool
147 Mot inconnu : Wake-on-Lan [[155:166]] => //ethtool// est un programme qui affiche ou change les paramètres des cartes Ethernet, comme l'auto-négociation, la vitesse du port, le mode duplex, et le Wake-on-Lan. Il n'est pas installé par défaut, mais est disponible dans les dépots. <|> wake-on-lan
147 Mot inconnu : dépots [[231:237]] => //ethtool// est un programme qui affiche ou change les paramètres des cartes Ethernet, comme l'auto-négociation, la vitesse du port, le mode duplex, et le Wake-on-Lan. Il n'est pas installé par défaut, mais est disponible dans les dépots. <|> dépots
150 Espace(s) en fin de ligne à supprimer. [[109:110]] => Cet exemple montre comment voir les fonctionnalités supportées et comment configurer une interface Ethernet :  <|>   => suggestions : ['']

175 Mot inconnu : ethtool [[29:36]] => Les changements faits avec //ethtool// sont temporaires, et seront perdus au démarrage suivant. Si vous voulez que ces paramètres soit définitifs, ajoutez les commandes //ethtool// après une instruction pre-up dans le fichier de configuration : ///etc/network/interfaces//. <|> ethtool
175 Mot inconnu : ethtool [[171:178]] => Les changements faits avec //ethtool// sont temporaires, et seront perdus au démarrage suivant. Si vous voulez que ces paramètres soit définitifs, ajoutez les commandes //ethtool// après une instruction pre-up dans le fichier de configuration : ///etc/network/interfaces//. <|> ethtool
175 Mot inconnu : pre-up [[203:209]] => Les changements faits avec //ethtool// sont temporaires, et seront perdus au démarrage suivant. Si vous voulez que ces paramètres soit définitifs, ajoutez les commandes //ethtool// après une instruction pre-up dans le fichier de configuration : ///etc/network/interfaces//. <|> pre-up

177 Mot inconnu : eth0 [[64:68]] => L'exemple suivant montre comment une interface identifiée comme eth0 peut être configurée d'une manière permanente avec une vitesse de 1000Mb/s en full duplex : <|> eth0
177 Écriture invariable. Utilisez un point médian. [[135:143]] => L'exemple suivant montre comment une interface identifiée comme eth0 peut être configurée d'une manière permanente avec une vitesse de 1000Mb/s en full duplex : <|> 1000mb/s => suggestions : ['1000Mb·s']
177 Mot inconnu : Mb [[139:141]] => L'exemple suivant montre comment une interface identifiée comme eth0 peut être configurée d'une manière permanente avec une vitesse de 1000Mb/s en full duplex : <|> mb

184 Mot inconnu : static [[72:78]] => <note tip>L'exemple ci-dessus montre une interface configurée en mode //static//. Cette solution fonctionne également avec une configuration //DHCP//.</note> <|> static
189 Mot inconnu : ifconfig [[96:104]] => Pour une configuration temporaire, vous pouvez utiliser les commandes standards comme //ip//, //ifconfig//, et //route//, qui fonctionnent également sur les autres systèmes d'exploitations GNU/Linux. <|> ifconfig

191 Mot inconnu : persistente [[117:128]] => Ces commandes vous permettent d'appliquer une configuration, qui prend effet immédiatement, bien qu'elle ne soit pas persistente, et qu'elle soit perdue au redémarrage. <|> persistente

193 Mot inconnu : ifconfig [[82:90]] => Pour configurer temporairement une adresse IP, vous pouvez utiliser la commande //ifconfig// de cette manière :  <|> ifconfig
193 Espace(s) en fin de ligne à supprimer. [[111:112]] => Pour configurer temporairement une adresse IP, vous pouvez utiliser la commande //ifconfig// de cette manière :  <|>   => suggestions : ['']

197 Mot inconnu : eth0 [[56:60]] => Pour vérifier la configuration de l'adresse de la carte eth0, réutilisez ifconfig : <|> eth0
197 Mot inconnu : ifconfig [[73:81]] => Pour vérifier la configuration de l'adresse de la carte eth0, réutilisez ifconfig : <|> ifconfig
214 Espace(s) en fin de ligne à supprimer. [[52:53]] => et pour vérifier la configuration de la passerelle :  <|>   => suggestions : ['']

219 Mot inconnu : obsolete [[27:35]] => (*** Cette information est obsolete dans les dernières version : faire man resolvconf et lire le README de resolvconf ***) <|> obsolete
219 Accord de nombre erroné avec « les dernières » : « version » devrait être au pluriel. [[55:62]] => (*** Cette information est obsolete dans les dernières version : faire man resolvconf et lire le README de resolvconf ***) <|> version => suggestions : ['versions']
219 Mot inconnu : resolvconf [[75:85]] => (*** Cette information est obsolete dans les dernières version : faire man resolvconf et lire le README de resolvconf ***) <|> resolvconf
219 Mot inconnu : README [[97:103]] => (*** Cette information est obsolete dans les dernières version : faire man resolvconf et lire le README de resolvconf ***) <|> readme
219 Mot inconnu : resolvconf [[107:117]] => (*** Cette information est obsolete dans les dernières version : faire man resolvconf et lire le README de resolvconf ***) <|> resolvconf

232 Mot inconnu : dhcp [[94:98]] => Pour configurer votre serveur afin d'utiliser un adressage IP dynamique, ajoutez la méthode //dhcp// à l'interface appropriée dans ///etc/network/interfaces// : <|> dhcp

238 Mot inconnu : ifup [[141:145]] => Après avoir modifié la configuration de la carte réseau comme ci-dessus, vous pouvez manuellement appliquer le changement avec la commande //ifup//, qui initialise le processus DHCP via dhclient. <|> ifup
238 Mot inconnu : dhclient [[186:194]] => Après avoir modifié la configuration de la carte réseau comme ci-dessus, vous pouvez manuellement appliquer le changement avec la commande //ifup//, qui initialise le processus DHCP via dhclient. <|> dhclient

241 Mot inconnu : ifdown [[70:76]] => Pour désactiver manuellement une carte réseau, utilisez la commande //ifdown//, qui va initier le processus d'arrêt de DHCP et arrêter l'interface. <|> ifdown

246 Mot inconnu : static [[74:80]] => Pour configurer le système en adressage IP statique, ajoutez la méthode //static// à l'interface appropriée dans ///etc/network/interfaces// : <|> static

255 Mot inconnu : ifup [[72:76]] => Vous pouvez activer/désactiver l'interface en utilisant les commandes //ifup// et //ifdown// comme vu précédemment. <|> ifup
255 Mot inconnu : ifdown [[84:90]] => Vous pouvez activer/désactiver l'interface en utilisant les commandes //ifup// et //ifdown// comme vu précédemment. <|> ifdown

257 Mot inconnu : Loopback [[19:27]] => === L'interface de Loopback === <|> loopback

258 Mot inconnu : loopback [[15:23]] => L'interface de loopback est identifiée par le système comme lo et son adresse IP par défaut est 127.0.0.1. Cela peut être vérifié avec la commande //ifconfig// : <|> loopback
258 Mot inconnu : lo [[60:62]] => L'interface de loopback est identifiée par le système comme lo et son adresse IP par défaut est 127.0.0.1. Cela peut être vérifié avec la commande //ifconfig// : <|> lo
258 Mot inconnu : ifconfig [[149:157]] => L'interface de loopback est identifiée par le système comme lo et son adresse IP par défaut est 127.0.0.1. Cela peut être vérifié avec la commande //ifconfig// : <|> ifconfig

272 Mot inconnu : loopback [[129:137]] => Par défaut, il doit y avoir deux lignes dans le fichier ///etc/network/interfaces// qui configure automatiquement l'interface de loopback. <|> loopback

282 Mot inconnu : suffix [[33:39]] => Vous pouvez également ajouter un suffix DNS correspondant à votre nom de domaine réseau. <|> suffix

290 Mot inconnu : search [[11:17]] => L'option //search// peut également être utilisée avec plusieurs domaines, de telle sorte que les requêtes DNS seront complétées avec le suffix dans l'ordre indiqué par le fichier ///etc/resolv.conf//. <|> search
290 Mot inconnu : suffix [[136:142]] => L'option //search// peut également être utilisée avec plusieurs domaines, de telle sorte que les requêtes DNS seront complétées avec le suffix dans l'ordre indiqué par le fichier ///etc/resolv.conf//. <|> suffix
292 Mot inconnu : ubuntu-fr [[79:88]] => Par exemple, si votre réseau dispose de plusieurs sous-domaine DNS : un parent ubuntu-fr.lan, et deux sous-domaines dev.ubuntu-fr.lan et asso.ubuntu-fr.lan, le fichier de configuration ressemblera à ceci : <|> ubuntu-fr
292 Mot inconnu : lan [[89:92]] => Par exemple, si votre réseau dispose de plusieurs sous-domaine DNS : un parent ubuntu-fr.lan, et deux sous-domaines dev.ubuntu-fr.lan et asso.ubuntu-fr.lan, le fichier de configuration ressemblera à ceci : <|> lan
292 Mot inconnu : dev [[116:119]] => Par exemple, si votre réseau dispose de plusieurs sous-domaine DNS : un parent ubuntu-fr.lan, et deux sous-domaines dev.ubuntu-fr.lan et asso.ubuntu-fr.lan, le fichier de configuration ressemblera à ceci : <|> dev
292 Mot inconnu : ubuntu-fr [[120:129]] => Par exemple, si votre réseau dispose de plusieurs sous-domaine DNS : un parent ubuntu-fr.lan, et deux sous-domaines dev.ubuntu-fr.lan et asso.ubuntu-fr.lan, le fichier de configuration ressemblera à ceci : <|> ubuntu-fr
292 Mot inconnu : lan [[130:133]] => Par exemple, si votre réseau dispose de plusieurs sous-domaine DNS : un parent ubuntu-fr.lan, et deux sous-domaines dev.ubuntu-fr.lan et asso.ubuntu-fr.lan, le fichier de configuration ressemblera à ceci : <|> lan
292 Mot inconnu : asso [[137:141]] => Par exemple, si votre réseau dispose de plusieurs sous-domaine DNS : un parent ubuntu-fr.lan, et deux sous-domaines dev.ubuntu-fr.lan et asso.ubuntu-fr.lan, le fichier de configuration ressemblera à ceci : <|> asso
292 Mot inconnu : ubuntu-fr [[142:151]] => Par exemple, si votre réseau dispose de plusieurs sous-domaine DNS : un parent ubuntu-fr.lan, et deux sous-domaines dev.ubuntu-fr.lan et asso.ubuntu-fr.lan, le fichier de configuration ressemblera à ceci : <|> ubuntu-fr
292 Mot inconnu : lan [[152:155]] => Par exemple, si votre réseau dispose de plusieurs sous-domaine DNS : un parent ubuntu-fr.lan, et deux sous-domaines dev.ubuntu-fr.lan et asso.ubuntu-fr.lan, le fichier de configuration ressemblera à ceci : <|> lan

300 Mot inconnu : ping [[31:35]] => et si vous essayer de faire un ping sur le nom //serveur1//, votre système va automatiquement interroger le DNS en utilisant le FQDN (Fully Qualified Domain Name) dans cet ordre : <|> ping
300 Mot inconnu : serveur1 [[49:57]] => et si vous essayer de faire un ping sur le nom //serveur1//, votre système va automatiquement interroger le DNS en utilisant le FQDN (Fully Qualified Domain Name) dans cet ordre : <|> serveur1
300 Mot inconnu : FQDN [[128:132]] => et si vous essayer de faire un ping sur le nom //serveur1//, votre système va automatiquement interroger le DNS en utilisant le FQDN (Fully Qualified Domain Name) dans cet ordre : <|> fqdn
300 Mot inconnu : Fully [[134:139]] => et si vous essayer de faire un ping sur le nom //serveur1//, votre système va automatiquement interroger le DNS en utilisant le FQDN (Fully Qualified Domain Name) dans cet ordre : <|> fully
300 Mot inconnu : Qualified [[140:149]] => et si vous essayer de faire un ping sur le nom //serveur1//, votre système va automatiquement interroger le DNS en utilisant le FQDN (Fully Qualified Domain Name) dans cet ordre : <|> qualified
300 Mot inconnu : Domain [[150:156]] => et si vous essayer de faire un ping sur le nom //serveur1//, votre système va automatiquement interroger le DNS en utilisant le FQDN (Fully Qualified Domain Name) dans cet ordre : <|> domain
300 Mot inconnu : Name [[157:161]] => et si vous essayer de faire un ping sur le nom //serveur1//, votre système va automatiquement interroger le DNS en utilisant le FQDN (Fully Qualified Domain Name) dans cet ordre : <|> name

305 Mot inconnu : notfound [[71:79]] => Si aucune réponse ne correspond, le serveur DNS renverra un résultat //notfound// et la requête DNS échouera. <|> notfound

310 Mot inconnu : hosts [[30:35]] => Les entrées dans le fichier //hosts// seront prioritaire par rapport au DNS par défaut. Cela implique que si votre système essaie de résoudre un nom d'hôte et qu'une entrée correspond dans le fichier //hosts//, il ne va pas essayer d'interroger le DNS. <|> hosts
310 Mot inconnu : hosts [[202:207]] => Les entrées dans le fichier //hosts// seront prioritaire par rapport au DNS par défaut. Cela implique que si votre système essaie de résoudre un nom d'hôte et qu'une entrée correspond dans le fichier //hosts//, il ne va pas essayer d'interroger le DNS. <|> hosts

314 Mot inconnu : hosts [[46:51]] => L'exemple suivant est un exemple de fichier //hosts//, dans lequel un certain nombre de serveurs ont été identifiés simplement par leur nom d'hôte, leur alias et leur FQDN équivalent : <|> hosts
314 Mot inconnu : FQDN [[167:171]] => L'exemple suivant est un exemple de fichier //hosts//, dans lequel un certain nombre de serveurs ont été identifiés simplement par leur nom d'hôte, leur alias et leur FQDN équivalent : <|> fqdn

325 Mot inconnu : NSS [[18:21]] => === Configuration NSS (Name Service Switch) === <|> nss
325 Mot inconnu : Name [[23:27]] => === Configuration NSS (Name Service Switch) === <|> name

326 Mot inconnu : NSS [[143:146]] => L'ordre dans lequel votre système sélectionne une méthode de résolution de noms en adresses IP est contrôlé par le fichier de configuration de NSS (Name Service Switch) ///etc/nsswitch.conf//. Comme mentionné dans la section précédente, typiquement, les noms d'hôtes statiques définis dans ///etc/hosts// sont prioritaires par rapport à la résolution de noms DNS. <|> nss
326 Mot inconnu : Name [[148:152]] => L'ordre dans lequel votre système sélectionne une méthode de résolution de noms en adresses IP est contrôlé par le fichier de configuration de NSS (Name Service Switch) ///etc/nsswitch.conf//. Comme mentionné dans la section précédente, typiquement, les noms d'hôtes statiques définis dans ///etc/hosts// sont prioritaires par rapport à la résolution de noms DNS. <|> name
335 Mot inconnu : mdns4_minimal [[6:19]] =>   * **mdns4_minimal** tente la résolution du nom en utilisant un Multicast DNS. <|> mdns4_minimal
335 Mot inconnu : Multicast [[65:74]] =>   * **mdns4_minimal** tente la résolution du nom en utilisant un Multicast DNS. <|> multicast
336 Mot inconnu : NOTFOUND [[7:15]] =>   * **[NOTFOUND=return]** veut dire que toute réponse //notfound// renvoyée par le processus mdns4_minimal précédent doit être traitée comme autoritaire, et le système ne doit pas continuer d'attendre une réponse. <|> notfound
336 Mot inconnu : return [[16:22]] =>   * **[NOTFOUND=return]** veut dire que toute réponse //notfound// renvoyée par le processus mdns4_minimal précédent doit être traitée comme autoritaire, et le système ne doit pas continuer d'attendre une réponse. <|> return
336 Mot inconnu : notfound [[56:64]] =>   * **[NOTFOUND=return]** veut dire que toute réponse //notfound// renvoyée par le processus mdns4_minimal précédent doit être traitée comme autoritaire, et le système ne doit pas continuer d'attendre une réponse. <|> notfound
336 Mot inconnu : mdns4_minimal [[93:106]] =>   * **[NOTFOUND=return]** veut dire que toute réponse //notfound// renvoyée par le processus mdns4_minimal précédent doit être traitée comme autoritaire, et le système ne doit pas continuer d'attendre une réponse. <|> mdns4_minimal
337 Mot inconnu : dns [[6:9]] =>   * **dns** représente une requête légale unicast DNS. <|> dns
337 Mot inconnu : unicast [[42:49]] =>   * **dns** représente une requête légale unicast DNS. <|> unicast
338 Mot inconnu : mdns4 [[6:11]] =>   * **mdns4** représente une requête multicast DNS. <|> mdns4
338 Mot inconnu : multicast [[37:46]] =>   * **mdns4** représente une requête multicast DNS. <|> multicast

342 Mot inconnu : firewall [[97:105]] => Un premier scénario est de configurer un pont avec plusieurs interfaces réseau, et d'utiliser un firewall pour filtrer le trafic entre deux segments du réseau. <|> firewall

345 Mot inconnu : bridge-utils [[63:75]] => Avant de configurer un pont, vous devrez installer le paquet //bridge-utils// : <|> bridge-utils

371 Mot inconnu : brctl [[50:55]] => Le nouveau pont devrait maintenant fonctionner. //brctl// donne des informations utiles à propos de l'état du pont, quelles interfaces sont configurées pour le pont, etc. Voir le **man brctl** pour plus d'informations. <|> brctl
371 Mot inconnu : brctl [[185:190]] => Le nouveau pont devrait maintenant fonctionner. //brctl// donne des informations utiles à propos de l'état du pont, quelles interfaces sont configurées pour le pont, etc. Voir le **man brctl** pour plus d'informations. <|> brctl
