
5 Mot inconnu : Lock => ======Précautions contre le tatouage d'ordinateur (Bios Lock)====== | lock
105 Guillemets typographiques ouvrants. => Ayant détruit le MBR d'un portable sans avoir fait de sauvegarde, et ayant à réinstaller XP, je me suis trouvé face aux solutions ci-dessus. Cependant, aucune solution n'a marché sur mon portable. Impossible de booter depuis le CD fourni avec l'ordinateur, impossible de booter d'un XP SP1 ni d'un XP SP2. Dans tous les cas, juste après le boot sur le CD apparaissait "inspection de votre configuration matérielle" et puis plus rien, rideau noir. | " => suggestions : ['«\xa0', '“']
105 Guillemets typographiques fermants. => Ayant détruit le MBR d'un portable sans avoir fait de sauvegarde, et ayant à réinstaller XP, je me suis trouvé face aux solutions ci-dessus. Cependant, aucune solution n'a marché sur mon portable. Impossible de booter depuis le CD fourni avec l'ordinateur, impossible de booter d'un XP SP1 ni d'un XP SP2. Dans tous les cas, juste après le boot sur le CD apparaissait "inspection de votre configuration matérielle" et puis plus rien, rideau noir. | " => suggestions : ['\xa0»', '”']

107 Mot inconnu : Etant => Etant un peu frileux à l'idée de flasher mon bios, j'ai finalement trouvé un CD de Win 2000 qui, lui, a parfaitement su s'installer tout seul et me réparer le MBR. 8-) | etant
107 Accord de nombre erroné : « bios » devrait être au singulier. => Etant un peu frileux à l'idée de flasher mon bios, j'ai finalement trouvé un CD de Win 2000 qui, lui, a parfaitement su s'installer tout seul et me réparer le MBR. 8-) | bios => suggestions : ['bio']
107 Mot inconnu : Win => Etant un peu frileux à l'idée de flasher mon bios, j'ai finalement trouvé un CD de Win 2000 qui, lui, a parfaitement su s'installer tout seul et me réparer le MBR. 8-) | win
107 Mot inconnu : MBR => Etant un peu frileux à l'idée de flasher mon bios, j'ai finalement trouvé un CD de Win 2000 qui, lui, a parfaitement su s'installer tout seul et me réparer le MBR. 8-) | mbr

109 Mot inconnu : booter => Ensuite, j'ai pu booter normalement sur le CD d'installation fourni avec le portable (XP SP2 OEM). | booter
109 Mot inconnu : XP => Ensuite, j'ai pu booter normalement sur le CD d'installation fourni avec le portable (XP SP2 OEM). | xp
109 Mot inconnu : SP2 => Ensuite, j'ai pu booter normalement sur le CD d'installation fourni avec le portable (XP SP2 OEM). | sp2
109 Mot inconnu : OEM => Ensuite, j'ai pu booter normalement sur le CD d'installation fourni avec le portable (XP SP2 OEM). | oem

111 Mot inconnu : MBR => Je pense donc que 2000 ne sait pas gérer le tatouage, donc il s'installe comme si de rien n'était, et du coup répare le MBR. Ce n'est peut-être pas la panacée absolue, mais ça vaut le coup d'être tenté avant de flasher votre BIOS ! | mbr
113 Mot inconnu : Targa => Autre cas : j'ai installé ubuntu 8.04 sur un portable Targa (LIDL) dont le système XP était complètement bloqué par des virus et mûr donc, pour Linux. Au redémarrage, plus rien après le bios ! Aucun CD d'installation Windows ou Linux ne boote plus... Je me suis donc dit que si le bios lit le MBR pour le contrôler, il ne verra rien si je déconnecte le disque ! effectivement, en débranchant le disque, les CD bootent à nouveau !! | targa
113 Mot inconnu : XP => Autre cas : j'ai installé ubuntu 8.04 sur un portable Targa (LIDL) dont le système XP était complètement bloqué par des virus et mûr donc, pour Linux. Au redémarrage, plus rien après le bios ! Aucun CD d'installation Windows ou Linux ne boote plus... Je me suis donc dit que si le bios lit le MBR pour le contrôler, il ne verra rien si je déconnecte le disque ! effectivement, en débranchant le disque, les CD bootent à nouveau !! | xp
113 Accord de nombre erroné : « bios » est au pluriel. => Autre cas : j'ai installé ubuntu 8.04 sur un portable Targa (LIDL) dont le système XP était complètement bloqué par des virus et mûr donc, pour Linux. Au redémarrage, plus rien après le bios ! Aucun CD d'installation Windows ou Linux ne boote plus... Je me suis donc dit que si le bios lit le MBR pour le contrôler, il ne verra rien si je déconnecte le disque ! effectivement, en débranchant le disque, les CD bootent à nouveau !! | le => suggestions : ['les']
113 Accord de nombre erroné : « bios » devrait être au singulier. => Autre cas : j'ai installé ubuntu 8.04 sur un portable Targa (LIDL) dont le système XP était complètement bloqué par des virus et mûr donc, pour Linux. Au redémarrage, plus rien après le bios ! Aucun CD d'installation Windows ou Linux ne boote plus... Je me suis donc dit que si le bios lit le MBR pour le contrôler, il ne verra rien si je déconnecte le disque ! effectivement, en débranchant le disque, les CD bootent à nouveau !! | bios => suggestions : ['bio']
113 Mot inconnu : boote => Autre cas : j'ai installé ubuntu 8.04 sur un portable Targa (LIDL) dont le système XP était complètement bloqué par des virus et mûr donc, pour Linux. Au redémarrage, plus rien après le bios ! Aucun CD d'installation Windows ou Linux ne boote plus... Je me suis donc dit que si le bios lit le MBR pour le contrôler, il ne verra rien si je déconnecte le disque ! effectivement, en débranchant le disque, les CD bootent à nouveau !! | boote
113 Typographie : points de suspension. Utilisez le caractère dédié. => Autre cas : j'ai installé ubuntu 8.04 sur un portable Targa (LIDL) dont le système XP était complètement bloqué par des virus et mûr donc, pour Linux. Au redémarrage, plus rien après le bios ! Aucun CD d'installation Windows ou Linux ne boote plus... Je me suis donc dit que si le bios lit le MBR pour le contrôler, il ne verra rien si je déconnecte le disque ! effectivement, en débranchant le disque, les CD bootent à nouveau !! | ... => suggestions : ['…']
113 Accord de nombre erroné : « bios » est au pluriel. => Autre cas : j'ai installé ubuntu 8.04 sur un portable Targa (LIDL) dont le système XP était complètement bloqué par des virus et mûr donc, pour Linux. Au redémarrage, plus rien après le bios ! Aucun CD d'installation Windows ou Linux ne boote plus... Je me suis donc dit que si le bios lit le MBR pour le contrôler, il ne verra rien si je déconnecte le disque ! effectivement, en débranchant le disque, les CD bootent à nouveau !! | le => suggestions : ['les']
113 Accord de nombre erroné : « bios » devrait être au singulier. => Autre cas : j'ai installé ubuntu 8.04 sur un portable Targa (LIDL) dont le système XP était complètement bloqué par des virus et mûr donc, pour Linux. Au redémarrage, plus rien après le bios ! Aucun CD d'installation Windows ou Linux ne boote plus... Je me suis donc dit que si le bios lit le MBR pour le contrôler, il ne verra rien si je déconnecte le disque ! effectivement, en débranchant le disque, les CD bootent à nouveau !! | bios => suggestions : ['bio']
113 Mot inconnu : MBR => Autre cas : j'ai installé ubuntu 8.04 sur un portable Targa (LIDL) dont le système XP était complètement bloqué par des virus et mûr donc, pour Linux. Au redémarrage, plus rien après le bios ! Aucun CD d'installation Windows ou Linux ne boote plus... Je me suis donc dit que si le bios lit le MBR pour le contrôler, il ne verra rien si je déconnecte le disque ! effectivement, en débranchant le disque, les CD bootent à nouveau !! | mbr
113 Mot inconnu : bootent => Autre cas : j'ai installé ubuntu 8.04 sur un portable Targa (LIDL) dont le système XP était complètement bloqué par des virus et mûr donc, pour Linux. Au redémarrage, plus rien après le bios ! Aucun CD d'installation Windows ou Linux ne boote plus... Je me suis donc dit que si le bios lit le MBR pour le contrôler, il ne verra rien si je déconnecte le disque ! effectivement, en débranchant le disque, les CD bootent à nouveau !! | bootent

114 Mot inconnu : Etape => Etape suivante, dès que le CD a booté, je reconnecte le disque dur (à chaud donc) et je peux continuer l'installation. J'ai quand même dû mettre un W2000 minimal pour que le bios se fasse leurrer, puis linux en dual boot sur le hda1. | etape
114 Mot inconnu : booté => Etape suivante, dès que le CD a booté, je reconnecte le disque dur (à chaud donc) et je peux continuer l'installation. J'ai quand même dû mettre un W2000 minimal pour que le bios se fasse leurrer, puis linux en dual boot sur le hda1. | booté
114 Mot inconnu : W2000 => Etape suivante, dès que le CD a booté, je reconnecte le disque dur (à chaud donc) et je peux continuer l'installation. J'ai quand même dû mettre un W2000 minimal pour que le bios se fasse leurrer, puis linux en dual boot sur le hda1. | w2000
114 Accord de nombre erroné : « bios » est au pluriel. => Etape suivante, dès que le CD a booté, je reconnecte le disque dur (à chaud donc) et je peux continuer l'installation. J'ai quand même dû mettre un W2000 minimal pour que le bios se fasse leurrer, puis linux en dual boot sur le hda1. | le => suggestions : ['les']
114 Accord de nombre erroné : « bios » devrait être au singulier. => Etape suivante, dès que le CD a booté, je reconnecte le disque dur (à chaud donc) et je peux continuer l'installation. J'ai quand même dû mettre un W2000 minimal pour que le bios se fasse leurrer, puis linux en dual boot sur le hda1. | bios => suggestions : ['bio']
114 Mot inconnu : linux => Etape suivante, dès que le CD a booté, je reconnecte le disque dur (à chaud donc) et je peux continuer l'installation. J'ai quand même dû mettre un W2000 minimal pour que le bios se fasse leurrer, puis linux en dual boot sur le hda1. | linux
114 Mot inconnu : boot => Etape suivante, dès que le CD a booté, je reconnecte le disque dur (à chaud donc) et je peux continuer l'installation. J'ai quand même dû mettre un W2000 minimal pour que le bios se fasse leurrer, puis linux en dual boot sur le hda1. | boot
114 Mot inconnu : hda1 => Etape suivante, dès que le CD a booté, je reconnecte le disque dur (à chaud donc) et je peux continuer l'installation. J'ai quand même dû mettre un W2000 minimal pour que le bios se fasse leurrer, puis linux en dual boot sur le hda1. | hda1

115 Espace(s) en fin de ligne à supprimer. => Cela m'a pris un week-end pour contourner ce satané tatouage mais ça fonctionne maintenant.  |   => suggestions : ['']
