
5 Mot inconnu : last => ====== Webradio last.fm ====== | last
36 Mot inconnu : Last => Last.fm est aussi le nom du lecteur audio développé par le site pour écouter les radios last.fm. Ce lecteur est évidemment l'idéal car il intègre toutes les fonctionnalités possibles. En particulier, il permet d'accéder rapidement à toutes les radios de votre profil, ce qui est bien pratique surtout pour les subscribers. Il permet aussi de tagger les titres joués sans passer par le site. | last
36 Il manque un espace. => Last.fm est aussi le nom du lecteur audio développé par le site pour écouter les radios last.fm. Ce lecteur est évidemment l'idéal car il intègre toutes les fonctionnalités possibles. En particulier, il permet d'accéder rapidement à toutes les radios de votre profil, ce qui est bien pratique surtout pour les subscribers. Il permet aussi de tagger les titres joués sans passer par le site. | fm => suggestions : [' fm']
36 Mot inconnu : last => Last.fm est aussi le nom du lecteur audio développé par le site pour écouter les radios last.fm. Ce lecteur est évidemment l'idéal car il intègre toutes les fonctionnalités possibles. En particulier, il permet d'accéder rapidement à toutes les radios de votre profil, ce qui est bien pratique surtout pour les subscribers. Il permet aussi de tagger les titres joués sans passer par le site. | last
36 Il manque un espace. => Last.fm est aussi le nom du lecteur audio développé par le site pour écouter les radios last.fm. Ce lecteur est évidemment l'idéal car il intègre toutes les fonctionnalités possibles. En particulier, il permet d'accéder rapidement à toutes les radios de votre profil, ce qui est bien pratique surtout pour les subscribers. Il permet aussi de tagger les titres joués sans passer par le site. | fm => suggestions : [' fm']
36 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Last.fm est aussi le nom du lecteur audio développé par le site pour écouter les radios last.fm. Ce lecteur est évidemment l'idéal car il intègre toutes les fonctionnalités possibles. En particulier, il permet d'accéder rapidement à toutes les radios de votre profil, ce qui est bien pratique surtout pour les subscribers. Il permet aussi de tagger les titres joués sans passer par le site. |  car => suggestions : [', car']
36 Mot inconnu : subscribers => Last.fm est aussi le nom du lecteur audio développé par le site pour écouter les radios last.fm. Ce lecteur est évidemment l'idéal car il intègre toutes les fonctionnalités possibles. En particulier, il permet d'accéder rapidement à toutes les radios de votre profil, ce qui est bien pratique surtout pour les subscribers. Il permet aussi de tagger les titres joués sans passer par le site. | subscribers
36 Mot inconnu : tagger => Last.fm est aussi le nom du lecteur audio développé par le site pour écouter les radios last.fm. Ce lecteur est évidemment l'idéal car il intègre toutes les fonctionnalités possibles. En particulier, il permet d'accéder rapidement à toutes les radios de votre profil, ce qui est bien pratique surtout pour les subscribers. Il permet aussi de tagger les titres joués sans passer par le site. | tagger

38 Mot inconnu : beta => Il existe une version pour Windows, Mac OS X et Linux, mais malheureusement ces deux dernières sont beaucoup moins au point que la première (ce sont des versions beta). De nombreux utilisateurs rencontrent des bugs, n'arrivent pas à l'utiliser, voire n'arrivent pas à le compiler. Faisant partie de la deuxième catégorie, je ne peux vous être d'une grande aide sur ce point. Toute information à ce sujet est la bienvenue. | beta

54 Mot inconnu : lastfm-scrobble => //Suivre les étapes de synchronisation entre lastfm-scrobble et le site Lastfm// | lastfm-scrobble
54 Mot inconnu : Lastfm => //Suivre les étapes de synchronisation entre lastfm-scrobble et le site Lastfm// | lastfm

56 Mot inconnu : FIXME => FIXME c'est quoi une case à cocher? | fixme

58 Mot inconnu : Last => ==== Last.fm player ==== | last
58 Il manque un espace. => ==== Last.fm player ==== | fm => suggestions : [' fm']
58 Mot inconnu : player => ==== Last.fm player ==== | player

60 Mot inconnu : lastfm => <note>Il n'est plus possible d’écouter depuis lastfm vous pouvez le faire avec [[spotify|Spotify]] </note> | lastfm
60 Mot inconnu : spotify => <note>Il n'est plus possible d’écouter depuis lastfm vous pouvez le faire avec [[spotify|Spotify]] </note> | spotify

62 Mot inconnu : Last => Ceux pour qui Last.fm n'est pas tout nouveau doivent connaitre ce lecteur, c'est le prédécesseur de l'application Last.fm. Il est un peu moins évolué que ce dernier, mais offre mine de rien suffisament de fonctionnalités pour que vous puissiez en faire votre choix. La principale différence avec son successeur est que ce n'est pas du "tout intégré", certaines fonctions telles que le tag, le journal ou le choix de certaines radios nécessitent de passer par le site. Mais cela se fait d'un simple clic depuis le lecteur, donc rien de bien contraignant. | last
62 Il manque un espace. => Ceux pour qui Last.fm n'est pas tout nouveau doivent connaitre ce lecteur, c'est le prédécesseur de l'application Last.fm. Il est un peu moins évolué que ce dernier, mais offre mine de rien suffisament de fonctionnalités pour que vous puissiez en faire votre choix. La principale différence avec son successeur est que ce n'est pas du "tout intégré", certaines fonctions telles que le tag, le journal ou le choix de certaines radios nécessitent de passer par le site. Mais cela se fait d'un simple clic depuis le lecteur, donc rien de bien contraignant. | fm => suggestions : [' fm']
62 Mot inconnu : Last => Ceux pour qui Last.fm n'est pas tout nouveau doivent connaitre ce lecteur, c'est le prédécesseur de l'application Last.fm. Il est un peu moins évolué que ce dernier, mais offre mine de rien suffisament de fonctionnalités pour que vous puissiez en faire votre choix. La principale différence avec son successeur est que ce n'est pas du "tout intégré", certaines fonctions telles que le tag, le journal ou le choix de certaines radios nécessitent de passer par le site. Mais cela se fait d'un simple clic depuis le lecteur, donc rien de bien contraignant. | last
62 Il manque un espace. => Ceux pour qui Last.fm n'est pas tout nouveau doivent connaitre ce lecteur, c'est le prédécesseur de l'application Last.fm. Il est un peu moins évolué que ce dernier, mais offre mine de rien suffisament de fonctionnalités pour que vous puissiez en faire votre choix. La principale différence avec son successeur est que ce n'est pas du "tout intégré", certaines fonctions telles que le tag, le journal ou le choix de certaines radios nécessitent de passer par le site. Mais cela se fait d'un simple clic depuis le lecteur, donc rien de bien contraignant. | fm => suggestions : [' fm']
62 Mot inconnu : suffisament => Ceux pour qui Last.fm n'est pas tout nouveau doivent connaitre ce lecteur, c'est le prédécesseur de l'application Last.fm. Il est un peu moins évolué que ce dernier, mais offre mine de rien suffisament de fonctionnalités pour que vous puissiez en faire votre choix. La principale différence avec son successeur est que ce n'est pas du "tout intégré", certaines fonctions telles que le tag, le journal ou le choix de certaines radios nécessitent de passer par le site. Mais cela se fait d'un simple clic depuis le lecteur, donc rien de bien contraignant. | suffisament
62 Guillemets typographiques ouvrants. => Ceux pour qui Last.fm n'est pas tout nouveau doivent connaitre ce lecteur, c'est le prédécesseur de l'application Last.fm. Il est un peu moins évolué que ce dernier, mais offre mine de rien suffisament de fonctionnalités pour que vous puissiez en faire votre choix. La principale différence avec son successeur est que ce n'est pas du "tout intégré", certaines fonctions telles que le tag, le journal ou le choix de certaines radios nécessitent de passer par le site. Mais cela se fait d'un simple clic depuis le lecteur, donc rien de bien contraignant. | " => suggestions : ['«\xa0', '“']
62 Guillemets typographiques fermants. => Ceux pour qui Last.fm n'est pas tout nouveau doivent connaitre ce lecteur, c'est le prédécesseur de l'application Last.fm. Il est un peu moins évolué que ce dernier, mais offre mine de rien suffisament de fonctionnalités pour que vous puissiez en faire votre choix. La principale différence avec son successeur est que ce n'est pas du "tout intégré", certaines fonctions telles que le tag, le journal ou le choix de certaines radios nécessitent de passer par le site. Mais cela se fait d'un simple clic depuis le lecteur, donc rien de bien contraignant. | " => suggestions : ['\xa0»', '”']

68 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Si vous lancez le lecteur et tentez d'écouter une radio, il y a fort à parier que le lecteur va se mettre dans un état bloquant sans sortir aucun son. C'est parce que le lecteur ne sait pas communiquer avec le démon du son. Ce démon est un programme qui permet à plusieurs logiciels d'émettre du son en même temps, il s'occupe de les mixer, car un accès à la carte son est normalement exclusif. Comme le lecteur ne sait pas communiquer avec ce démon, il essaye d'envoyer le son directement au pilote, ce qui est impossible car le démon bloque l'accès. |  car => suggestions : [', car']

75 Mot inconnu : Last-exit => ==== Last-exit ==== | last-exit

80 Mot inconnu : Vagalume => ==== Vagalume ==== | vagalume

82 Mot inconnu : Vagalume => Vagalume est un autre client GTK+ pour Last.fm. Bien qu'il fonctionne sur les PC, il a été spécialement conçu pour la plate-forme Maemo, celle embarquée dans les appareils Nokia séries 770, N800 et N810. Vagalume est un projet récent mais est assez stable pour une utilisation quotidienne.\\  | vagalume
82 Mot inconnu : Last => Vagalume est un autre client GTK+ pour Last.fm. Bien qu'il fonctionne sur les PC, il a été spécialement conçu pour la plate-forme Maemo, celle embarquée dans les appareils Nokia séries 770, N800 et N810. Vagalume est un projet récent mais est assez stable pour une utilisation quotidienne.\\  | last
82 Il manque un espace. => Vagalume est un autre client GTK+ pour Last.fm. Bien qu'il fonctionne sur les PC, il a été spécialement conçu pour la plate-forme Maemo, celle embarquée dans les appareils Nokia séries 770, N800 et N810. Vagalume est un projet récent mais est assez stable pour une utilisation quotidienne.\\  | fm => suggestions : [' fm']
82 Mot inconnu : Maemo => Vagalume est un autre client GTK+ pour Last.fm. Bien qu'il fonctionne sur les PC, il a été spécialement conçu pour la plate-forme Maemo, celle embarquée dans les appareils Nokia séries 770, N800 et N810. Vagalume est un projet récent mais est assez stable pour une utilisation quotidienne.\\  | maemo
82 Mot inconnu : N800 => Vagalume est un autre client GTK+ pour Last.fm. Bien qu'il fonctionne sur les PC, il a été spécialement conçu pour la plate-forme Maemo, celle embarquée dans les appareils Nokia séries 770, N800 et N810. Vagalume est un projet récent mais est assez stable pour une utilisation quotidienne.\\  | n800
82 Mot inconnu : N810 => Vagalume est un autre client GTK+ pour Last.fm. Bien qu'il fonctionne sur les PC, il a été spécialement conçu pour la plate-forme Maemo, celle embarquée dans les appareils Nokia séries 770, N800 et N810. Vagalume est un projet récent mais est assez stable pour une utilisation quotidienne.\\  | n810
82 Mot inconnu : Vagalume => Vagalume est un autre client GTK+ pour Last.fm. Bien qu'il fonctionne sur les PC, il a été spécialement conçu pour la plate-forme Maemo, celle embarquée dans les appareils Nokia séries 770, N800 et N810. Vagalume est un projet récent mais est assez stable pour une utilisation quotidienne.\\  | vagalume
82 Espace(s) en fin de ligne à supprimer. => Vagalume est un autre client GTK+ pour Last.fm. Bien qu'il fonctionne sur les PC, il a été spécialement conçu pour la plate-forme Maemo, celle embarquée dans les appareils Nokia séries 770, N800 et N810. Vagalume est un projet récent mais est assez stable pour une utilisation quotidienne.\\  |   => suggestions : ['']
83 Mot inconnu : Vagalume => C'est un logiciel libre distribué sous licence GNU GPL et il est présent dans les dépôts officiels : [[http://vagalume.igalia.com/|Visiter le site web de Vagalume]] | vagalume

87 Mot inconnu : Vagalume => \\ Vagalume offre la possibilité de : | vagalume

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Lire des flux radios Last.fm (protocole v1.2) |    => suggestions : ['']
88 Mot inconnu : Last =>   *  Lire des flux radios Last.fm (protocole v1.2) | last
88 Il manque un espace. =>   *  Lire des flux radios Last.fm (protocole v1.2) | fm => suggestions : [' fm']
88 Mot inconnu : v1 =>   *  Lire des flux radios Last.fm (protocole v1.2) | v1

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Marquer les morceaux comme aimé ou les bannir |    => suggestions : ['']

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  //Tagger// les artistes, morceaux et albums |    => suggestions : ['']
91 Mot inconnu : Tagger =>   *  //Tagger// les artistes, morceaux et albums | tagger

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Envoyer des recommendations à d'autres auditeurs |    => suggestions : ['']
92 Mot inconnu : recommendations =>   *  Envoyer des recommendations à d'autres auditeurs | recommendations

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Ajouter des morceaux à votre playliste |    => suggestions : ['']
93 Mot inconnu : playliste =>   *  Ajouter des morceaux à votre playliste | playliste

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Télécharger les morceaux gratuit/libre sur vote disque dur |    => suggestions : ['']
94 Accord de nombre erroné avec « les morceaux » : « gratuit » devrait être au pluriel. =>   *  Télécharger les morceaux gratuit/libre sur vote disque dur | gratuit => suggestions : ['gratuits']

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  //Scrobbler// les morceaux pour qu'ils apparaissent dans votre page web Last.fm (peut-être désactivé au lancement). |    => suggestions : ['']
95 Mot inconnu : Scrobbler =>   *  //Scrobbler// les morceaux pour qu'ils apparaissent dans votre page web Last.fm (peut-être désactivé au lancement). | scrobbler
95 Mot inconnu : Last =>   *  //Scrobbler// les morceaux pour qu'ils apparaissent dans votre page web Last.fm (peut-être désactivé au lancement). | last
95 Il manque un espace. =>   *  //Scrobbler// les morceaux pour qu'ils apparaissent dans votre page web Last.fm (peut-être désactivé au lancement). | fm => suggestions : [' fm']

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Envoyer les informations sur la lecture en cours grace au protocole d'envoi temps-réél //Audioscrobbler// v1.2 |    => suggestions : ['']
96 Mot inconnu : grace =>   *  Envoyer les informations sur la lecture en cours grace au protocole d'envoi temps-réél //Audioscrobbler// v1.2 | grace
96 Mot inconnu : temps-réél =>   *  Envoyer les informations sur la lecture en cours grace au protocole d'envoi temps-réél //Audioscrobbler// v1.2 | temps-réél
96 Mot inconnu : Audioscrobbler =>   *  Envoyer les informations sur la lecture en cours grace au protocole d'envoi temps-réél //Audioscrobbler// v1.2 | audioscrobbler
96 Mot inconnu : v1 =>   *  Envoyer les informations sur la lecture en cours grace au protocole d'envoi temps-réél //Audioscrobbler// v1.2 | v1

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Utiliser le mode //découverte// |    => suggestions : ['']

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Créer des //Marque-page// |    => suggestions : ['']

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Etre contrôlé à distance |    => suggestions : ['']
99 Mot inconnu : Etre =>   *  Etre contrôlé à distance | etre

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Etre utilisé dans 8 langues différentes ! |    => suggestions : ['']
100 Mot inconnu : Etre =>   *  Etre utilisé dans 8 langues différentes ! | etre

102 Mot inconnu : Amarok => ==== Amarok ==== | amarok

106 Mot inconnu : Amarok => Une fois que vous avez installé Amarok 1.4.3 ou postérieur, vous pouvez écouter une radio en allant dans l'onglet "listes de lectures". Vous aurez alors accès à un dossier "Radio Last.fm", avec les radios que vous avez déjà écoutées et les tags globaux les plus courants. Vous pouvez ajouter une radio en ce dossier en cliquant avec le bouton droit sur le nom du dossier, puis "ajouter une radio...". Cela nécessite de connaître l'adresse de la radio, que vous obtenez facilement en la copiant à partir du site Last.fm. | amarok
106 Guillemets typographiques ouvrants. => Une fois que vous avez installé Amarok 1.4.3 ou postérieur, vous pouvez écouter une radio en allant dans l'onglet "listes de lectures". Vous aurez alors accès à un dossier "Radio Last.fm", avec les radios que vous avez déjà écoutées et les tags globaux les plus courants. Vous pouvez ajouter une radio en ce dossier en cliquant avec le bouton droit sur le nom du dossier, puis "ajouter une radio...". Cela nécessite de connaître l'adresse de la radio, que vous obtenez facilement en la copiant à partir du site Last.fm. | " => suggestions : ['«\xa0', '“']
106 Guillemets typographiques fermants. => Une fois que vous avez installé Amarok 1.4.3 ou postérieur, vous pouvez écouter une radio en allant dans l'onglet "listes de lectures". Vous aurez alors accès à un dossier "Radio Last.fm", avec les radios que vous avez déjà écoutées et les tags globaux les plus courants. Vous pouvez ajouter une radio en ce dossier en cliquant avec le bouton droit sur le nom du dossier, puis "ajouter une radio...". Cela nécessite de connaître l'adresse de la radio, que vous obtenez facilement en la copiant à partir du site Last.fm. | " => suggestions : ['\xa0»', '”']
106 Guillemets typographiques ouvrants. => Une fois que vous avez installé Amarok 1.4.3 ou postérieur, vous pouvez écouter une radio en allant dans l'onglet "listes de lectures". Vous aurez alors accès à un dossier "Radio Last.fm", avec les radios que vous avez déjà écoutées et les tags globaux les plus courants. Vous pouvez ajouter une radio en ce dossier en cliquant avec le bouton droit sur le nom du dossier, puis "ajouter une radio...". Cela nécessite de connaître l'adresse de la radio, que vous obtenez facilement en la copiant à partir du site Last.fm. | " => suggestions : ['«\xa0', '“']
106 Mot inconnu : Last => Une fois que vous avez installé Amarok 1.4.3 ou postérieur, vous pouvez écouter une radio en allant dans l'onglet "listes de lectures". Vous aurez alors accès à un dossier "Radio Last.fm", avec les radios que vous avez déjà écoutées et les tags globaux les plus courants. Vous pouvez ajouter une radio en ce dossier en cliquant avec le bouton droit sur le nom du dossier, puis "ajouter une radio...". Cela nécessite de connaître l'adresse de la radio, que vous obtenez facilement en la copiant à partir du site Last.fm. | last
106 Il manque un espace. => Une fois que vous avez installé Amarok 1.4.3 ou postérieur, vous pouvez écouter une radio en allant dans l'onglet "listes de lectures". Vous aurez alors accès à un dossier "Radio Last.fm", avec les radios que vous avez déjà écoutées et les tags globaux les plus courants. Vous pouvez ajouter une radio en ce dossier en cliquant avec le bouton droit sur le nom du dossier, puis "ajouter une radio...". Cela nécessite de connaître l'adresse de la radio, que vous obtenez facilement en la copiant à partir du site Last.fm. | fm => suggestions : [' fm']
106 Guillemets typographiques fermants. => Une fois que vous avez installé Amarok 1.4.3 ou postérieur, vous pouvez écouter une radio en allant dans l'onglet "listes de lectures". Vous aurez alors accès à un dossier "Radio Last.fm", avec les radios que vous avez déjà écoutées et les tags globaux les plus courants. Vous pouvez ajouter une radio en ce dossier en cliquant avec le bouton droit sur le nom du dossier, puis "ajouter une radio...". Cela nécessite de connaître l'adresse de la radio, que vous obtenez facilement en la copiant à partir du site Last.fm. | " => suggestions : ['\xa0»', '”']
106 Guillemets typographiques ouvrants. => Une fois que vous avez installé Amarok 1.4.3 ou postérieur, vous pouvez écouter une radio en allant dans l'onglet "listes de lectures". Vous aurez alors accès à un dossier "Radio Last.fm", avec les radios que vous avez déjà écoutées et les tags globaux les plus courants. Vous pouvez ajouter une radio en ce dossier en cliquant avec le bouton droit sur le nom du dossier, puis "ajouter une radio...". Cela nécessite de connaître l'adresse de la radio, que vous obtenez facilement en la copiant à partir du site Last.fm. | " => suggestions : ['«\xa0', '“']
106 Typographie : points de suspension. Utilisez le caractère dédié. => Une fois que vous avez installé Amarok 1.4.3 ou postérieur, vous pouvez écouter une radio en allant dans l'onglet "listes de lectures". Vous aurez alors accès à un dossier "Radio Last.fm", avec les radios que vous avez déjà écoutées et les tags globaux les plus courants. Vous pouvez ajouter une radio en ce dossier en cliquant avec le bouton droit sur le nom du dossier, puis "ajouter une radio...". Cela nécessite de connaître l'adresse de la radio, que vous obtenez facilement en la copiant à partir du site Last.fm. | ... => suggestions : ['…']
106 Guillemets typographiques fermants. => Une fois que vous avez installé Amarok 1.4.3 ou postérieur, vous pouvez écouter une radio en allant dans l'onglet "listes de lectures". Vous aurez alors accès à un dossier "Radio Last.fm", avec les radios que vous avez déjà écoutées et les tags globaux les plus courants. Vous pouvez ajouter une radio en ce dossier en cliquant avec le bouton droit sur le nom du dossier, puis "ajouter une radio...". Cela nécessite de connaître l'adresse de la radio, que vous obtenez facilement en la copiant à partir du site Last.fm. | " => suggestions : ['\xa0»', '”']
106 Mot inconnu : Last => Une fois que vous avez installé Amarok 1.4.3 ou postérieur, vous pouvez écouter une radio en allant dans l'onglet "listes de lectures". Vous aurez alors accès à un dossier "Radio Last.fm", avec les radios que vous avez déjà écoutées et les tags globaux les plus courants. Vous pouvez ajouter une radio en ce dossier en cliquant avec le bouton droit sur le nom du dossier, puis "ajouter une radio...". Cela nécessite de connaître l'adresse de la radio, que vous obtenez facilement en la copiant à partir du site Last.fm. | last
106 Il manque un espace. => Une fois que vous avez installé Amarok 1.4.3 ou postérieur, vous pouvez écouter une radio en allant dans l'onglet "listes de lectures". Vous aurez alors accès à un dossier "Radio Last.fm", avec les radios que vous avez déjà écoutées et les tags globaux les plus courants. Vous pouvez ajouter une radio en ce dossier en cliquant avec le bouton droit sur le nom du dossier, puis "ajouter une radio...". Cela nécessite de connaître l'adresse de la radio, que vous obtenez facilement en la copiant à partir du site Last.fm. | fm => suggestions : [' fm']

108 Mot inconnu : LastFMProxy => ==== LastFMProxy ==== | lastfmproxy

110 Mot inconnu : LastFMProxy => LastFMProxy est un script python qui permet de générer une liste de lecture m3u pointant vers une radio last.fm. Autrement dit, vous pouvez écouter une radio last.fm avec n'importe quelle lecteur audio en lui demandant de lire ce fichier m3u. | lastfmproxy
110 Mot inconnu : m3u => LastFMProxy est un script python qui permet de générer une liste de lecture m3u pointant vers une radio last.fm. Autrement dit, vous pouvez écouter une radio last.fm avec n'importe quelle lecteur audio en lui demandant de lire ce fichier m3u. | m3u
110 Mot inconnu : last => LastFMProxy est un script python qui permet de générer une liste de lecture m3u pointant vers une radio last.fm. Autrement dit, vous pouvez écouter une radio last.fm avec n'importe quelle lecteur audio en lui demandant de lire ce fichier m3u. | last
110 Il manque un espace. => LastFMProxy est un script python qui permet de générer une liste de lecture m3u pointant vers une radio last.fm. Autrement dit, vous pouvez écouter une radio last.fm avec n'importe quelle lecteur audio en lui demandant de lire ce fichier m3u. | fm => suggestions : [' fm']
