
4 Mot inconnu : Plank => ====== Plank ====== | plank
14 Mot inconnu : Xubuntu => Ci-dessous le dock sous [[Xubuntu]], avec le pack d'icônes ios-seven et le thème par défaut. Les icônes marquées par un point lumineux indiquent les programmes ouverts. | xubuntu
14 Mot inconnu : ios-seven => Ci-dessous le dock sous [[Xubuntu]], avec le pack d'icônes ios-seven et le thème par défaut. Les icônes marquées par un point lumineux indiquent les programmes ouverts. | ios-seven

17 Mot inconnu : Qwant => Voir d'autres [[https://www.qwant.com/?q=plank%20linux&t=images|captures d'écran,]] sur Qwant Image. | qwant

19 Mot inconnu : Plank => **Plank ne FONCTIONNE PAS sous [[wayland|Wayland]]**. Si votre système utilise ce mode d'affichage (c'est désormais le mode d'affichage par défaut de la version officielle de Ubuntu), le dock ne s'affichera pas. | plank

22 Mot inconnu : Plank => Depuis la version 16.04 d'Ubuntu, Plank est dans les dépôts officiels. | plank
33 Mot inconnu : Plank => Vous pouvez utiliser ce PPA même à partir de Ubuntu 16.04. Avantage, vous aurez les mises à jour vers les versions plus récentes de Plank (celle d'Ubuntu ne changera pas). Inconvénient : vous augmentez le risque de bugs. | plank

37 Mot inconnu : Plank => Pour le lancer, il suffit de cliquer sur **Plank** dans le sous-menu **Accessoires** de vos applications, ou en tapant "Plank" dans la zone de lancement appelée par la combinaison des touches alt+F2. | plank
37 Guillemets typographiques ouvrants. => Pour le lancer, il suffit de cliquer sur **Plank** dans le sous-menu **Accessoires** de vos applications, ou en tapant "Plank" dans la zone de lancement appelée par la combinaison des touches alt+F2. | " => suggestions : ['«\xa0', '“']
37 Mot inconnu : Plank => Pour le lancer, il suffit de cliquer sur **Plank** dans le sous-menu **Accessoires** de vos applications, ou en tapant "Plank" dans la zone de lancement appelée par la combinaison des touches alt+F2. | plank
37 Guillemets typographiques fermants. => Pour le lancer, il suffit de cliquer sur **Plank** dans le sous-menu **Accessoires** de vos applications, ou en tapant "Plank" dans la zone de lancement appelée par la combinaison des touches alt+F2. | " => suggestions : ['\xa0»', '”']
37 Mot inconnu : alt => Pour le lancer, il suffit de cliquer sur **Plank** dans le sous-menu **Accessoires** de vos applications, ou en tapant "Plank" dans la zone de lancement appelée par la combinaison des touches alt+F2. | alt
37 Typographie des composés chimiques. => Pour le lancer, il suffit de cliquer sur **Plank** dans le sous-menu **Accessoires** de vos applications, ou en tapant "Plank" dans la zone de lancement appelée par la combinaison des touches alt+F2. | f2 => suggestions : ['F₂']
37 Mot inconnu : F2 => Pour le lancer, il suffit de cliquer sur **Plank** dans le sous-menu **Accessoires** de vos applications, ou en tapant "Plank" dans la zone de lancement appelée par la combinaison des touches alt+F2. | f2

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Nom : Plank |    => suggestions : ['']
41 Mot inconnu : Plank =>   * Nom : Plank | plank

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Commande : plank</file> |    => suggestions : ['']
42 Mot inconnu : plank =>   * Commande : plank</file> | plank
44 Mot inconnu : Plank => Pour Ubuntu Mate, une autre possibilité ; Pour que Plank se lance chaque fois que vous démarrez Ubuntu, sélectionnez l'option "Activer le dock" de l'onglet "Tableau de bord" de l'outil 'Mate Tweak'. | plank
44 Guillemets typographiques ouvrants. => Pour Ubuntu Mate, une autre possibilité ; Pour que Plank se lance chaque fois que vous démarrez Ubuntu, sélectionnez l'option "Activer le dock" de l'onglet "Tableau de bord" de l'outil 'Mate Tweak'. | " => suggestions : ['«\xa0', '“']
44 Guillemets typographiques fermants. => Pour Ubuntu Mate, une autre possibilité ; Pour que Plank se lance chaque fois que vous démarrez Ubuntu, sélectionnez l'option "Activer le dock" de l'onglet "Tableau de bord" de l'outil 'Mate Tweak'. | " => suggestions : ['\xa0»', '”']
44 Guillemets typographiques ouvrants. => Pour Ubuntu Mate, une autre possibilité ; Pour que Plank se lance chaque fois que vous démarrez Ubuntu, sélectionnez l'option "Activer le dock" de l'onglet "Tableau de bord" de l'outil 'Mate Tweak'. | " => suggestions : ['«\xa0', '“']
44 Guillemets typographiques fermants. => Pour Ubuntu Mate, une autre possibilité ; Pour que Plank se lance chaque fois que vous démarrez Ubuntu, sélectionnez l'option "Activer le dock" de l'onglet "Tableau de bord" de l'outil 'Mate Tweak'. | " => suggestions : ['\xa0»', '”']
44 Guillemets typographiques ouvrants. => Pour Ubuntu Mate, une autre possibilité ; Pour que Plank se lance chaque fois que vous démarrez Ubuntu, sélectionnez l'option "Activer le dock" de l'onglet "Tableau de bord" de l'outil 'Mate Tweak'. | ' => suggestions : ['“', '‘', '‹']
44 Mot inconnu : Tweak => Pour Ubuntu Mate, une autre possibilité ; Pour que Plank se lance chaque fois que vous démarrez Ubuntu, sélectionnez l'option "Activer le dock" de l'onglet "Tableau de bord" de l'outil 'Mate Tweak'. | tweak

47 Mot inconnu : __Lanceur__ => __Lanceur__ : Plank vous permet d'épingler une liste d’icônes animées pour lancer vos programme favoris. | __lanceur__
47 Mot inconnu : Plank => __Lanceur__ : Plank vous permet d'épingler une liste d’icônes animées pour lancer vos programme favoris. | plank
47 Accord de nombre erroné : « programme » devrait être au pluriel. => __Lanceur__ : Plank vous permet d'épingler une liste d’icônes animées pour lancer vos programme favoris. | programme => suggestions : ['programmes']

49 Mot inconnu : __Barre => __Barre de tâches__ : les icônes des programmes lancés changent d'apparence. De plus, les icônes qui ne sont pas épinglées apparaissent dans le dock quand vous lancez leur application par un autre biais.  | __barre
49 Mot inconnu : tâches__ => __Barre de tâches__ : les icônes des programmes lancés changent d'apparence. De plus, les icônes qui ne sont pas épinglées apparaissent dans le dock quand vous lancez leur application par un autre biais.  | tâches__
49 Espace(s) en fin de ligne à supprimer. => __Barre de tâches__ : les icônes des programmes lancés changent d'apparence. De plus, les icônes qui ne sont pas épinglées apparaissent dans le dock quand vous lancez leur application par un autre biais.  |   => suggestions : ['']

51 Mot inconnu : __Docklets__ => __Docklets__ : à partir de la version 0.11 (mars 2016), le menu de configuration de plank embarque des docklets, liste de petits programmes qu'on peut déposer sur le dock et qui augmentent ses fonctionnalités : accès à la poubelle, affichage de l'heure, masquage de tous les programmes ouverts, menu des applications, monitoring de la batterie ou de l'utilisation processeur ... . Accès : ctrle+clic droit sur le dock → Préférences → Docklets. | __docklets__
51 Mot inconnu : plank => __Docklets__ : à partir de la version 0.11 (mars 2016), le menu de configuration de plank embarque des docklets, liste de petits programmes qu'on peut déposer sur le dock et qui augmentent ses fonctionnalités : accès à la poubelle, affichage de l'heure, masquage de tous les programmes ouverts, menu des applications, monitoring de la batterie ou de l'utilisation processeur ... . Accès : ctrle+clic droit sur le dock → Préférences → Docklets. | plank
51 Mot inconnu : docklets => __Docklets__ : à partir de la version 0.11 (mars 2016), le menu de configuration de plank embarque des docklets, liste de petits programmes qu'on peut déposer sur le dock et qui augmentent ses fonctionnalités : accès à la poubelle, affichage de l'heure, masquage de tous les programmes ouverts, menu des applications, monitoring de la batterie ou de l'utilisation processeur ... . Accès : ctrle+clic droit sur le dock → Préférences → Docklets. | docklets
51 Typographie : points de suspension. Utilisez le caractère dédié. => __Docklets__ : à partir de la version 0.11 (mars 2016), le menu de configuration de plank embarque des docklets, liste de petits programmes qu'on peut déposer sur le dock et qui augmentent ses fonctionnalités : accès à la poubelle, affichage de l'heure, masquage de tous les programmes ouverts, menu des applications, monitoring de la batterie ou de l'utilisation processeur ... . Accès : ctrle+clic droit sur le dock → Préférences → Docklets. | ... => suggestions : ['…']
51 Pas d’espace avant un point. => __Docklets__ : à partir de la version 0.11 (mars 2016), le menu de configuration de plank embarque des docklets, liste de petits programmes qu'on peut déposer sur le dock et qui augmentent ses fonctionnalités : accès à la poubelle, affichage de l'heure, masquage de tous les programmes ouverts, menu des applications, monitoring de la batterie ou de l'utilisation processeur ... . Accès : ctrle+clic droit sur le dock → Préférences → Docklets. |  . => suggestions : ['.']
51 Mot inconnu : ctrle => __Docklets__ : à partir de la version 0.11 (mars 2016), le menu de configuration de plank embarque des docklets, liste de petits programmes qu'on peut déposer sur le dock et qui augmentent ses fonctionnalités : accès à la poubelle, affichage de l'heure, masquage de tous les programmes ouverts, menu des applications, monitoring de la batterie ou de l'utilisation processeur ... . Accès : ctrle+clic droit sur le dock → Préférences → Docklets. | ctrle
51 Mot inconnu : Docklets => __Docklets__ : à partir de la version 0.11 (mars 2016), le menu de configuration de plank embarque des docklets, liste de petits programmes qu'on peut déposer sur le dock et qui augmentent ses fonctionnalités : accès à la poubelle, affichage de l'heure, masquage de tous les programmes ouverts, menu des applications, monitoring de la batterie ou de l'utilisation processeur ... . Accès : ctrle+clic droit sur le dock → Préférences → Docklets. | docklets

54 Mot inconnu : Plank => Une fois lancé la première fois, Plank se place en bas de l'écran, et affiche quelques icônes par défaut. | plank

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vous démarrez un programme. Son icône apparaît dans le dock. Vous faites un clic droit dessus, et cochez l'option "épingler au dock". |    => suggestions : ['']
57 Guillemets typographiques ouvrants. =>   * Vous démarrez un programme. Son icône apparaît dans le dock. Vous faites un clic droit dessus, et cochez l'option "épingler au dock". | " => suggestions : ['«\xa0', '“']
57 Guillemets typographiques fermants. =>   * Vous démarrez un programme. Son icône apparaît dans le dock. Vous faites un clic droit dessus, et cochez l'option "épingler au dock". | " => suggestions : ['\xa0»', '”']

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vous faites un glisser/déposer d'une application vers le dock depuis votre menu des applications, et elle s'y épingle automatiquement. Vous pouvez aussi glisser un fichier ou un répertoire (et pas seulement un programme) à partir de votre explorateur de fichier. |    => suggestions : ['']

60 Guillemets typographiques ouvrants. => Pour enlever des icônes, il y a également 2 solutions (le verrouillage des icônes ne doit pas être actif dans "Préférences > Comportement"): | " => suggestions : ['«\xa0', '“']
60 Guillemets typographiques fermants. => Pour enlever des icônes, il y a également 2 solutions (le verrouillage des icônes ne doit pas être actif dans "Préférences > Comportement"): | " => suggestions : ['\xa0»', '”']

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Clic droit sur l'icône, et décocher "épingler au dock". |    => suggestions : ['']
61 Guillemets typographiques ouvrants. =>   * Clic droit sur l'icône, et décocher "épingler au dock". | " => suggestions : ['«\xa0', '“']
61 Guillemets typographiques fermants. =>   * Clic droit sur l'icône, et décocher "épingler au dock". | " => suggestions : ['\xa0»', '”']

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Glisser/déposer de l'icône à enlever vers l'extérieur du dock. |    => suggestions : ['']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

66 Mot inconnu : Plank => Plank a un **menu de configuration**, menu accessible via : | plank

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * un **clic droit** sur le bord du dock (il faut être à l’extrême limite du dock, ce qui peut être compliqué avec certains thèmes),  |    => suggestions : ['']
68 Espace(s) en fin de ligne à supprimer. =>   * un **clic droit** sur le bord du dock (il faut être à l’extrême limite du dock, ce qui peut être compliqué avec certains thèmes),  |   => suggestions : ['']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * un **ctrl + clic droit** sur le dock (n'importe où dessus),  |    => suggestions : ['']
69 Mot inconnu : ctrl =>   * un **ctrl + clic droit** sur le dock (n'importe où dessus),  | ctrl
69 Espace(s) en fin de ligne à supprimer. =>   * un **ctrl + clic droit** sur le dock (n'importe où dessus),  |   => suggestions : ['']

72 Guillemets typographiques ouvrants. => Ce menu, appelé "Préférences", permet de : \\ | " => suggestions : ['«\xa0', '“']
72 Guillemets typographiques fermants. => Ce menu, appelé "Préférences", permet de : \\ | " => suggestions : ['\xa0»', '”']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Changer le thème du dock, |     => suggestions : ['']

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Changer la position de celui-ci à l'écran (sur le coté droit, gauche, bas ou haut), |     => suggestions : ['']
74 Confusion : “coté” est le participe passé du verbe “coter”. =>    * Changer la position de celui-ci à l'écran (sur le coté droit, gauche, bas ou haut), | coté => suggestions : ['côté']

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * choisir la taille des icônes (qu'on peut d'ailleurs régler sans appeler le menu "préférences", par un **ctrl + molette** sur le dock), |     => suggestions : ['']
75 Guillemets typographiques ouvrants. =>    * choisir la taille des icônes (qu'on peut d'ailleurs régler sans appeler le menu "préférences", par un **ctrl + molette** sur le dock), | " => suggestions : ['«\xa0', '“']
75 Guillemets typographiques fermants. =>    * choisir la taille des icônes (qu'on peut d'ailleurs régler sans appeler le menu "préférences", par un **ctrl + molette** sur le dock), | " => suggestions : ['\xa0»', '”']
75 Mot inconnu : ctrl =>    * choisir la taille des icônes (qu'on peut d'ailleurs régler sans appeler le menu "préférences", par un **ctrl + molette** sur le dock), | ctrl

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * choisir le mode de masquage du dock : jamais masqué ; masquage automatique ; masquage intelligent ; esquiver les fenêtres maximisés, |     => suggestions : ['']
76 Accord de genre erroné avec « maximisés ». =>    * choisir le mode de masquage du dock : jamais masqué ; masquage automatique ; masquage intelligent ; esquiver les fenêtres maximisés, | fenêtres => suggestions : ['fenêtrés']
76 Accord de genre erroné entre « fenêtres » et « maximisés ». =>    * choisir le mode de masquage du dock : jamais masqué ; masquage automatique ; masquage intelligent ; esquiver les fenêtres maximisés, | maximisés => suggestions : ['maximisées']

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * définir un grossissement (entre 1 et 100%) des icônes du dock, lors de leur survol à la souris (fonction "zoom sur icône"), |     => suggestions : ['']
77 Guillemets typographiques ouvrants. =>    * définir un grossissement (entre 1 et 100%) des icônes du dock, lors de leur survol à la souris (fonction "zoom sur icône"), | " => suggestions : ['«\xa0', '“']
77 Guillemets typographiques fermants. =>    * définir un grossissement (entre 1 et 100%) des icônes du dock, lors de leur survol à la souris (fonction "zoom sur icône"), | " => suggestions : ['\xa0»', '”']

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * ajouter des docklets (accès à la poubelle, affichage du bureau, horloge, ...) par un glisser & déposer du docklet souhaité vers le dock, |     => suggestions : ['']
78 Mot inconnu : docklets =>    * ajouter des docklets (accès à la poubelle, affichage du bureau, horloge, ...) par un glisser & déposer du docklet souhaité vers le dock, | docklets
78 Une de ces ponctuations est superflue. =>    * ajouter des docklets (accès à la poubelle, affichage du bureau, horloge, ...) par un glisser & déposer du docklet souhaité vers le dock, | , . => suggestions : [',', '.']
78 Typographie : points de suspension. Utilisez le caractère dédié. =>    * ajouter des docklets (accès à la poubelle, affichage du bureau, horloge, ...) par un glisser & déposer du docklet souhaité vers le dock, | ... => suggestions : ['…']
78 Incohérence avec “parun” : “glisser” est une forme verbale conjuguée. =>    * ajouter des docklets (accès à la poubelle, affichage du bureau, horloge, ...) par un glisser & déposer du docklet souhaité vers le dock, | glisser => suggestions : ['glisse', 'glisses']
78 Mot inconnu : docklet =>    * ajouter des docklets (accès à la poubelle, affichage du bureau, horloge, ...) par un glisser & déposer du docklet souhaité vers le dock, | docklet

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * verrouiller les icônes (onglet comportement) : on ne peut plus les retirer du dock, |     => suggestions : ['']

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Quelques options additionnelles de moindre importance sont également présentes. \\ |     => suggestions : ['']
87 Une de ces ponctuations est superflue. => Pour ajouter un fichier dans le dock, faites un glissez-déplacez de ce répertoire vers le dock avec votre gestionnaire de fichiers ([[nautilus|nautilus]], [[thunar|thunar]], [[pcmanfm|pcmanfm]], ...). Cliquer sur le fichier le lance dans son application par défaut (par exemple un fichier jpg va se lancer dans le visualiseur d'images). | , . => suggestions : [',', '.']
87 Typographie : points de suspension. Utilisez le caractère dédié. => Pour ajouter un fichier dans le dock, faites un glissez-déplacez de ce répertoire vers le dock avec votre gestionnaire de fichiers ([[nautilus|nautilus]], [[thunar|thunar]], [[pcmanfm|pcmanfm]], ...). Cliquer sur le fichier le lance dans son application par défaut (par exemple un fichier jpg va se lancer dans le visualiseur d'images). | ... => suggestions : ['…']
89 Une de ces ponctuations est superflue. => Pour ajouter un répertoire dans le dock, faites un glissez-déplacez de ce répertoire vers le dock avec votre gestionnaire de fichiers ([[nautilus|nautilus]], [[thunar|thunar]], [[pcmanfm|pcmanfm]], ...). Un clic sur l’icône fera apparaître la liste des fichiers et sous-répertoires. On peut alors cliquer sur un fichier ou un sous-répertoire pour l'ouvrir. | , . => suggestions : [',', '.']
89 Typographie : points de suspension. Utilisez le caractère dédié. => Pour ajouter un répertoire dans le dock, faites un glissez-déplacez de ce répertoire vers le dock avec votre gestionnaire de fichiers ([[nautilus|nautilus]], [[thunar|thunar]], [[pcmanfm|pcmanfm]], ...). Un clic sur l’icône fera apparaître la liste des fichiers et sous-répertoires. On peut alors cliquer sur un fichier ou un sous-répertoire pour l'ouvrir. | ... => suggestions : ['…']

91 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… => Quand un programme est lancé et qu'on veut lancer une 2e session (fenêtre), il faut faire un clic-molette sur l'icône. Une seconde fenêtre s'ouvre, et une seconde marque apparaît sous l'icône pour indiquer que 2 fenêtres sont ouvertes. | 2e => suggestions : ['2ᵉ']

92 Espace(s) en fin de ligne à supprimer. => Un roulement de la molette sur cette icône fait alors défiler les différentes fenêtres ouvertes.  |   => suggestions : ['']

97 Mot inconnu : Unity => Plus intéressant, certains programmes affichent une animation, par exemple une barre de progression pour le gestionnaire de mise à jour (comme pour Unity), ou le nombre des messages non-lus pour Thunderbird. Mais pour cela, le programme doit être ouvert et avoir été conçu pour ce type de fonctionnalité. | unity

99 Mot inconnu : Plank => Certains programmes (et ce qu'ils soient ouverts ou non) affichent au clic droit sur leur icône dans Plank une liste de fonctions. Par exemple, Thunderbird affiche "Rédiger un nouveau courriel" et "Carnet d'adresse". Rhythmbox affiche "Lire", "Pause", "Suivant", "Précédent". | plank
99 Guillemets typographiques ouvrants. => Certains programmes (et ce qu'ils soient ouverts ou non) affichent au clic droit sur leur icône dans Plank une liste de fonctions. Par exemple, Thunderbird affiche "Rédiger un nouveau courriel" et "Carnet d'adresse". Rhythmbox affiche "Lire", "Pause", "Suivant", "Précédent". | " => suggestions : ['«\xa0', '“']
99 Guillemets typographiques fermants. => Certains programmes (et ce qu'ils soient ouverts ou non) affichent au clic droit sur leur icône dans Plank une liste de fonctions. Par exemple, Thunderbird affiche "Rédiger un nouveau courriel" et "Carnet d'adresse". Rhythmbox affiche "Lire", "Pause", "Suivant", "Précédent". | " => suggestions : ['\xa0»', '”']
99 Guillemets typographiques ouvrants. => Certains programmes (et ce qu'ils soient ouverts ou non) affichent au clic droit sur leur icône dans Plank une liste de fonctions. Par exemple, Thunderbird affiche "Rédiger un nouveau courriel" et "Carnet d'adresse". Rhythmbox affiche "Lire", "Pause", "Suivant", "Précédent". | " => suggestions : ['«\xa0', '“']
99 Guillemets typographiques fermants. => Certains programmes (et ce qu'ils soient ouverts ou non) affichent au clic droit sur leur icône dans Plank une liste de fonctions. Par exemple, Thunderbird affiche "Rédiger un nouveau courriel" et "Carnet d'adresse". Rhythmbox affiche "Lire", "Pause", "Suivant", "Précédent". | " => suggestions : ['\xa0»', '”']
99 Mot inconnu : Rhythmbox => Certains programmes (et ce qu'ils soient ouverts ou non) affichent au clic droit sur leur icône dans Plank une liste de fonctions. Par exemple, Thunderbird affiche "Rédiger un nouveau courriel" et "Carnet d'adresse". Rhythmbox affiche "Lire", "Pause", "Suivant", "Précédent". | rhythmbox
99 Guillemets typographiques ouvrants. => Certains programmes (et ce qu'ils soient ouverts ou non) affichent au clic droit sur leur icône dans Plank une liste de fonctions. Par exemple, Thunderbird affiche "Rédiger un nouveau courriel" et "Carnet d'adresse". Rhythmbox affiche "Lire", "Pause", "Suivant", "Précédent". | " => suggestions : ['«\xa0', '“']
99 Guillemets typographiques fermants. => Certains programmes (et ce qu'ils soient ouverts ou non) affichent au clic droit sur leur icône dans Plank une liste de fonctions. Par exemple, Thunderbird affiche "Rédiger un nouveau courriel" et "Carnet d'adresse". Rhythmbox affiche "Lire", "Pause", "Suivant", "Précédent". | " => suggestions : ['\xa0»', '”']
99 Guillemets typographiques ouvrants. => Certains programmes (et ce qu'ils soient ouverts ou non) affichent au clic droit sur leur icône dans Plank une liste de fonctions. Par exemple, Thunderbird affiche "Rédiger un nouveau courriel" et "Carnet d'adresse". Rhythmbox affiche "Lire", "Pause", "Suivant", "Précédent". | " => suggestions : ['«\xa0', '“']
99 Guillemets typographiques fermants. => Certains programmes (et ce qu'ils soient ouverts ou non) affichent au clic droit sur leur icône dans Plank une liste de fonctions. Par exemple, Thunderbird affiche "Rédiger un nouveau courriel" et "Carnet d'adresse". Rhythmbox affiche "Lire", "Pause", "Suivant", "Précédent". | " => suggestions : ['\xa0»', '”']
99 Guillemets typographiques ouvrants. => Certains programmes (et ce qu'ils soient ouverts ou non) affichent au clic droit sur leur icône dans Plank une liste de fonctions. Par exemple, Thunderbird affiche "Rédiger un nouveau courriel" et "Carnet d'adresse". Rhythmbox affiche "Lire", "Pause", "Suivant", "Précédent". | " => suggestions : ['«\xa0', '“']
99 Guillemets typographiques fermants. => Certains programmes (et ce qu'ils soient ouverts ou non) affichent au clic droit sur leur icône dans Plank une liste de fonctions. Par exemple, Thunderbird affiche "Rédiger un nouveau courriel" et "Carnet d'adresse". Rhythmbox affiche "Lire", "Pause", "Suivant", "Précédent". | " => suggestions : ['\xa0»', '”']
99 Guillemets typographiques ouvrants. => Certains programmes (et ce qu'ils soient ouverts ou non) affichent au clic droit sur leur icône dans Plank une liste de fonctions. Par exemple, Thunderbird affiche "Rédiger un nouveau courriel" et "Carnet d'adresse". Rhythmbox affiche "Lire", "Pause", "Suivant", "Précédent". | " => suggestions : ['«\xa0', '“']
99 Guillemets typographiques fermants. => Certains programmes (et ce qu'ils soient ouverts ou non) affichent au clic droit sur leur icône dans Plank une liste de fonctions. Par exemple, Thunderbird affiche "Rédiger un nouveau courriel" et "Carnet d'adresse". Rhythmbox affiche "Lire", "Pause", "Suivant", "Précédent". | " => suggestions : ['\xa0»', '”']

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Si une barre semi-transparente apparaît dans XFCE a quelques centimètres au-dessus du dock, aller dans le gestionnaire de paramètre de XFCE > peaufinage de fenêtre > onglet "compositeur", et décochez "affichez les ombres sous les fenêtres dock". |    => suggestions : ['']
102 Mot inconnu : XFCE =>   * Si une barre semi-transparente apparaît dans XFCE a quelques centimètres au-dessus du dock, aller dans le gestionnaire de paramètre de XFCE > peaufinage de fenêtre > onglet "compositeur", et décochez "affichez les ombres sous les fenêtres dock". | xfce
102 Mot inconnu : XFCE =>   * Si une barre semi-transparente apparaît dans XFCE a quelques centimètres au-dessus du dock, aller dans le gestionnaire de paramètre de XFCE > peaufinage de fenêtre > onglet "compositeur", et décochez "affichez les ombres sous les fenêtres dock". | xfce
102 Guillemets typographiques ouvrants. =>   * Si une barre semi-transparente apparaît dans XFCE a quelques centimètres au-dessus du dock, aller dans le gestionnaire de paramètre de XFCE > peaufinage de fenêtre > onglet "compositeur", et décochez "affichez les ombres sous les fenêtres dock". | " => suggestions : ['«\xa0', '“']
