
4 Mot inconnu : Zebra => ======= Zebra ======= | zebra
73 Mot inconnu : localhost => Si vous travaillez directement sur la machine, remplacez adresse_ip par localhost, ou 127.0.0.1 | localhost

77 Mot inconnu : Zebra => Lorsque le mot de passe est validé, vous vous trouvez dans Zebra, l’invite de commande change et devient "Rx" (le nom que vous avez entré dans le fichier de configuration) | zebra
77 Guillemets typographiques ouvrants. => Lorsque le mot de passe est validé, vous vous trouvez dans Zebra, l’invite de commande change et devient "Rx" (le nom que vous avez entré dans le fichier de configuration) | " => suggestions : ['«\xa0', '“']
77 Mot inconnu : Rx => Lorsque le mot de passe est validé, vous vous trouvez dans Zebra, l’invite de commande change et devient "Rx" (le nom que vous avez entré dans le fichier de configuration) | rx
77 Guillemets typographiques fermants. => Lorsque le mot de passe est validé, vous vous trouvez dans Zebra, l’invite de commande change et devient "Rx" (le nom que vous avez entré dans le fichier de configuration) | " => suggestions : ['\xa0»', '”']
79 Espace(s) en fin de ligne à supprimer. => Pour visualiser les routes existantes, tapez la commande :  |   => suggestions : ['']

81 Mot inconnu : ip => <file>show ip route</file> | ip

83 Mot inconnu : Zebra => ==== Ajout de route dans Zebra ==== | zebra

85 Mot inconnu : Zebra => Il vous faut pour cela vous mettre en Super-utilisateur dans Zebra, pour cela, tapez la commande :  | zebra
85 Espace(s) en fin de ligne à supprimer. => Il vous faut pour cela vous mettre en Super-utilisateur dans Zebra, pour cela, tapez la commande :  |   => suggestions : ['']

87 Mot inconnu : enable => <file>enable</file> | enable

89 Mot inconnu : Zebra => Zebra demande alors le mot de passe que vous avez entré à la ligne « enable password » dans le fichier de configuration | zebra
89 Mot inconnu : enable => Zebra demande alors le mot de passe que vous avez entré à la ligne « enable password » dans le fichier de configuration | enable
89 Mot inconnu : password => Zebra demande alors le mot de passe que vous avez entré à la ligne « enable password » dans le fichier de configuration | password

91 Espace(s) surnuméraire(s) à supprimer. => Une fois le mot de passe validé,  l’invite change et devient Rx# |    => suggestions : [' ']
91 Mot inconnu : Rx => Une fois le mot de passe validé,  l’invite change et devient Rx# | rx
93 Espace(s) en fin de ligne à supprimer. => Pour entrer dans la configuration des routes, tapez la commande :  |   => suggestions : ['']

97 Mot inconnu : Rx => L’invite change et devient Rx(config)# | rx
97 Il manque un espace avant la parenthèse. => L’invite change et devient Rx(config)# | ( => suggestions : [' (']
99 Mot inconnu : enable => Note : On ne peut accéder au mode config que si on est en mode enable | enable

103 Mot inconnu : Ip => <file>Ip route [réseau_destination]/[masque] [passerelle]</file> | ip
103 Mot inconnu : réseau_destination => <file>Ip route [réseau_destination]/[masque] [passerelle]</file> | réseau_destination

105 Mot inconnu : réseau_destination => [réseau_destination] : réseau de destination | réseau_destination
107 Sigle. Il est recommandé d’ôter les points pour les sigles. => [masque] : masque du réseau de destination (sous la forme x.x.x.x) | x.x.x. => suggestions : ['XXX']

113 Mot inconnu : Zebra => Une fois toutes les routes ajoutées, il faut copier les modifications dans le fichier de configuration de Zebra (zebra.conf) avec la commande : | zebra
113 Mot inconnu : zebra => Une fois toutes les routes ajoutées, il faut copier les modifications dans le fichier de configuration de Zebra (zebra.conf) avec la commande : | zebra
113 Il manque un espace. => Une fois toutes les routes ajoutées, il faut copier les modifications dans le fichier de configuration de Zebra (zebra.conf) avec la commande : | conf => suggestions : [' conf']

115 Mot inconnu : Copy => <file>Copy running-config startup-config</file> | copy

117 Mot inconnu : Zebra => Si vous voulez quitter la configuration de Zebra : | zebra

119 Espace(s) surnuméraire(s) à supprimer. => Tapez  //end// pour sortir du mode de configuration |    => suggestions : [' ']
119 Mot inconnu : end => Tapez  //end// pour sortir du mode de configuration | end

121 Mot inconnu : Telnet => Tapez //exit// pour sortir de Telnet (donc de Zebra) | telnet
121 Mot inconnu : Zebra => Tapez //exit// pour sortir de Telnet (donc de Zebra) | zebra

123 Mot inconnu : Zebra => Pour arrêter Zebra dans le système, il faut tuer le processus :  | zebra
123 Espace(s) en fin de ligne à supprimer. => Pour arrêter Zebra dans le système, il faut tuer le processus :  |   => suggestions : ['']
124 Mot inconnu : Zebra => <file>killall Zebra</file> | zebra

126 Mot inconnu : grep => <file>ps aux | grep Zebra</file> | grep
126 Mot inconnu : Zebra => <file>ps aux | grep Zebra</file> | zebra

128 Mot inconnu : kill => <file>kill [pid] (remplacez [pid] par le PID affiché par la commande précédente</file> | kill
128 Mot inconnu : pid => <file>kill [pid] (remplacez [pid] par le PID affiché par la commande précédente</file> | pid
128 Mot inconnu : pid => <file>kill [pid] (remplacez [pid] par le PID affiché par la commande précédente</file> | pid
128 Mot inconnu : PID => <file>kill [pid] (remplacez [pid] par le PID affiché par la commande précédente</file> | pid

134 Ce verbe devrait être un participe passé au masculin singulier. => Si vous avez installez ça sur un poste équipé de GNOME, suivez la procédure suivante. | installez => suggestions : ['installé']

136 Guillemets typographiques ouvrants. => Allez dans le menu Système/Préférences/Sessions/ allez dans l'onglet "Programmes au démarrage", et ajoutez //Zebra -d//. | " => suggestions : ['«\xa0', '“']
136 Guillemets typographiques fermants. => Allez dans le menu Système/Préférences/Sessions/ allez dans l'onglet "Programmes au démarrage", et ajoutez //Zebra -d//. | " => suggestions : ['\xa0»', '”']
136 Mot inconnu : Zebra => Allez dans le menu Système/Préférences/Sessions/ allez dans l'onglet "Programmes au démarrage", et ajoutez //Zebra -d//. | zebra
136 Il manque un espace à côté du tiret. => Allez dans le menu Système/Préférences/Sessions/ allez dans l'onglet "Programmes au démarrage", et ajoutez //Zebra -d//. |  - => suggestions : [' – ', ' — ']
