
2 Mot inconnu : Aircrack-ng => ====== La suite Aircrack-ng ====== | aircrack-ng
32 Guillemets typographiques fermants. => Cette procédure d'installation ne fait que compiler/installer les outils "de base" de aircrack, débogués et finalisés pour la plupart (aircrack-ng, airodump-ng, airtun-ng, aireplay-ng, packetforge-ng, airmon-ng). | " => suggestions : ['\xa0»', '”']
32 Élision de l’article devant un mot commençant par une voyelle. => Cette procédure d'installation ne fait que compiler/installer les outils "de base" de aircrack, débogués et finalisés pour la plupart (aircrack-ng, airodump-ng, airtun-ng, aireplay-ng, packetforge-ng, airmon-ng). | de  => suggestions : ['d’']
32 Mot inconnu : aircrack => Cette procédure d'installation ne fait que compiler/installer les outils "de base" de aircrack, débogués et finalisés pour la plupart (aircrack-ng, airodump-ng, airtun-ng, aireplay-ng, packetforge-ng, airmon-ng). | aircrack
32 Mot inconnu : aircrack-ng => Cette procédure d'installation ne fait que compiler/installer les outils "de base" de aircrack, débogués et finalisés pour la plupart (aircrack-ng, airodump-ng, airtun-ng, aireplay-ng, packetforge-ng, airmon-ng). | aircrack-ng
32 Mot inconnu : airodump-ng => Cette procédure d'installation ne fait que compiler/installer les outils "de base" de aircrack, débogués et finalisés pour la plupart (aircrack-ng, airodump-ng, airtun-ng, aireplay-ng, packetforge-ng, airmon-ng). | airodump-ng
32 Mot inconnu : airtun-ng => Cette procédure d'installation ne fait que compiler/installer les outils "de base" de aircrack, débogués et finalisés pour la plupart (aircrack-ng, airodump-ng, airtun-ng, aireplay-ng, packetforge-ng, airmon-ng). | airtun-ng
32 Mot inconnu : aireplay-ng => Cette procédure d'installation ne fait que compiler/installer les outils "de base" de aircrack, débogués et finalisés pour la plupart (aircrack-ng, airodump-ng, airtun-ng, aireplay-ng, packetforge-ng, airmon-ng). | aireplay-ng
32 Mot inconnu : packetforge-ng => Cette procédure d'installation ne fait que compiler/installer les outils "de base" de aircrack, débogués et finalisés pour la plupart (aircrack-ng, airodump-ng, airtun-ng, aireplay-ng, packetforge-ng, airmon-ng). | packetforge-ng
32 Mot inconnu : airmon-ng => Cette procédure d'installation ne fait que compiler/installer les outils "de base" de aircrack, débogués et finalisés pour la plupart (aircrack-ng, airodump-ng, airtun-ng, aireplay-ng, packetforge-ng, airmon-ng). | airmon-ng

35 Mot inconnu : sudo => sudo airodump-ng-oui-update</code> | sudo
35 Mot inconnu : airodump-ng-oui-update => sudo airodump-ng-oui-update</code> | airodump-ng-oui-update

38 Mot inconnu : wesside => Cette procédure d'installation n'est en réalité pas plus complexe que l'autre, mais elle ajoute la compilation d'outils plus avancés, et surtout un peu instables d'après les auteurs (wesside, besside, easside, airoscript, etc...). | wesside
38 Mot inconnu : besside => Cette procédure d'installation n'est en réalité pas plus complexe que l'autre, mais elle ajoute la compilation d'outils plus avancés, et surtout un peu instables d'après les auteurs (wesside, besside, easside, airoscript, etc...). | besside
38 Mot inconnu : easside => Cette procédure d'installation n'est en réalité pas plus complexe que l'autre, mais elle ajoute la compilation d'outils plus avancés, et surtout un peu instables d'après les auteurs (wesside, besside, easside, airoscript, etc...). | easside
38 Mot inconnu : airoscript => Cette procédure d'installation n'est en réalité pas plus complexe que l'autre, mais elle ajoute la compilation d'outils plus avancés, et surtout un peu instables d'après les auteurs (wesside, besside, easside, airoscript, etc...). | airoscript
38 Un seul point après « etc. » => Cette procédure d'installation n'est en réalité pas plus complexe que l'autre, mais elle ajoute la compilation d'outils plus avancés, et surtout un peu instables d'après les auteurs (wesside, besside, easside, airoscript, etc...). | etc... => suggestions : ['etc.']

40 Mot inconnu : sudo => sudo make sqlite=true unstable=true install</code> | sudo
40 Mot inconnu : make => sudo make sqlite=true unstable=true install</code> | make
40 Mot inconnu : sqlite => sudo make sqlite=true unstable=true install</code> | sqlite
40 Mot inconnu : true => sudo make sqlite=true unstable=true install</code> | true
40 Mot inconnu : unstable => sudo make sqlite=true unstable=true install</code> | unstable
40 Mot inconnu : true => sudo make sqlite=true unstable=true install</code> | true
40 Mot inconnu : install => sudo make sqlite=true unstable=true install</code> | install

43 Mot inconnu : Aircrack-ng => Aircrack-ng est une suite regroupant plusieurs outils différents. Vous trouverez ici une description de chacun d'eux. Ils sont disponibles grâce à la ligne de commande. | aircrack-ng

45 Mot inconnu : aircrack-ng => ==== aircrack-ng ==== | aircrack-ng

46 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => aircrack-ng est un outil permettant de retrouver une clé WEP ou WPA-PSK à partir de paquets réseaux. Les paquets sont capturés à l'aide de l'outil airodump-ng. Il faut collecter environ 10 000 paquets pour pouvoir réaliser l'opération avec succès.  | aircrack-ng => suggestions : ['Aircrack-ng']
46 Mot inconnu : aircrack-ng => aircrack-ng est un outil permettant de retrouver une clé WEP ou WPA-PSK à partir de paquets réseaux. Les paquets sont capturés à l'aide de l'outil airodump-ng. Il faut collecter environ 10 000 paquets pour pouvoir réaliser l'opération avec succès.  | aircrack-ng
46 Mot inconnu : WEP => aircrack-ng est un outil permettant de retrouver une clé WEP ou WPA-PSK à partir de paquets réseaux. Les paquets sont capturés à l'aide de l'outil airodump-ng. Il faut collecter environ 10 000 paquets pour pouvoir réaliser l'opération avec succès.  | wep
46 Mot inconnu : WPA-PSK => aircrack-ng est un outil permettant de retrouver une clé WEP ou WPA-PSK à partir de paquets réseaux. Les paquets sont capturés à l'aide de l'outil airodump-ng. Il faut collecter environ 10 000 paquets pour pouvoir réaliser l'opération avec succès.  | wpa-psk
46 Mot inconnu : airodump-ng => aircrack-ng est un outil permettant de retrouver une clé WEP ou WPA-PSK à partir de paquets réseaux. Les paquets sont capturés à l'aide de l'outil airodump-ng. Il faut collecter environ 10 000 paquets pour pouvoir réaliser l'opération avec succès.  | airodump-ng
46 Grands nombres : utilisez des espaces insécables. => aircrack-ng est un outil permettant de retrouver une clé WEP ou WPA-PSK à partir de paquets réseaux. Les paquets sont capturés à l'aide de l'outil airodump-ng. Il faut collecter environ 10 000 paquets pour pouvoir réaliser l'opération avec succès.  | 10 000 => suggestions : ['10\xa0000']
46 Espace(s) en fin de ligne à supprimer. => aircrack-ng est un outil permettant de retrouver une clé WEP ou WPA-PSK à partir de paquets réseaux. Les paquets sont capturés à l'aide de l'outil airodump-ng. Il faut collecter environ 10 000 paquets pour pouvoir réaliser l'opération avec succès.  |   => suggestions : ['']

50 Mot inconnu : WEP => Décrypteur de fichiers WEP/WPA capturés | wep
50 Mot inconnu : WPA => Décrypteur de fichiers WEP/WPA capturés | wpa

52 Mot inconnu : airdriver-ng => ==== airdriver-ng ==== | airdriver-ng

53 Mot inconnu : rtl8187 => Permet d'installer en patchant des drivers, par exemple le rtl8187, ce qui est utile pour faire l'injection de paquet. | rtl8187

55 Mot inconnu : aireplay-ng => ==== aireplay-ng ==== | aireplay-ng

56 Mot inconnu : aireplay-ng => aireplay-ng permet de générer du trafic : | aireplay-ng

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * -0 : Envoie une désauthentification. |    => suggestions : ['']
58 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>   * -0 : Envoie une désauthentification. | -0 => suggestions : ['−0', '– 0', '— 0']
58 Mot inconnu : désauthentification =>   * -0 : Envoie une désauthentification. | désauthentification

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * -1 : Envoie une authentification. |    => suggestions : ['']
59 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>   * -1 : Envoie une authentification. | -1 => suggestions : ['−1', '– 1', '— 1']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * -3 : Récupère les ARP et génère du trafic (Injection) |    => suggestions : ['']
60 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>   * -3 : Récupère les ARP et génère du trafic (Injection) | -3 => suggestions : ['−3', '– 3', '— 3']
60 Mot inconnu : ARP =>   * -3 : Récupère les ARP et génère du trafic (Injection) | arp

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * -9 : Test l'injection de paquet sur les AP détectés |    => suggestions : ['']
61 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>   * -9 : Test l'injection de paquet sur les AP détectés | -9 => suggestions : ['−9', '– 9', '— 9']
61 Mot inconnu : AP =>   * -9 : Test l'injection de paquet sur les AP détectés | ap
63 Espace(s) en fin de ligne à supprimer. => Exemple :  |   => suggestions : ['']

67 Mot inconnu : wlan0 => pour tester l'injection de paquets à partir de l'interface wlan0 : | wlan0

87 Espace(s) surnuméraire(s) à supprimer. => 16:30:07  0/30: 0%</code> |    => suggestions : [' ']

91 Si “wlan0” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => //16:29:41 wlan0 channel: 9//: décrit quelle interface et canal ont été utilisés. | 41 wlan0 => suggestions : ['41\xa0wlan0']
91 Mot inconnu : wlan0 => //16:29:41 wlan0 channel: 9//: décrit quelle interface et canal ont été utilisés. | wlan0
91 Mot inconnu : channel => //16:29:41 wlan0 channel: 9//: décrit quelle interface et canal ont été utilisés. | channel

93 Mot inconnu : is => //16:29:41 Injection is working!//: Cela confirme que votre carte peut injecter. | is
93 Mot inconnu : working => //16:29:41 Injection is working!//: Cela confirme que votre carte peut injecter. | working

95 Mot inconnu : Found => //16:29:42 Found 5 APs//: 5 points d'accès (APs Access points) ont été trouvés. | found
95 Si “APs//” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => //16:29:42 Found 5 APs//: 5 points d'accès (APs Access points) ont été trouvés. | 5 aps// => suggestions : ['5\xa0APs//']
95 Mot inconnu : APs => //16:29:42 Found 5 APs//: 5 points d'accès (APs Access points) ont été trouvés. | aps
95 Mot inconnu : APs => //16:29:42 Found 5 APs//: 5 points d'accès (APs Access points) ont été trouvés. | aps
95 Mot inconnu : Access => //16:29:42 Found 5 APs//: 5 points d'accès (APs Access points) ont été trouvés. | access

97 Il manque un espace. => //16:29:42 00:09:5B:5C:CD:2A - channel: 11 - 'NETGEAR'//: précise que cet AP  | 5c => suggestions : [' 5C']
97 Il manque un espace. => //16:29:42 00:09:5B:5C:CD:2A - channel: 11 - 'NETGEAR'//: précise que cet AP  | 2a => suggestions : [' 2A']
97 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => //16:29:42 00:09:5B:5C:CD:2A - channel: 11 - 'NETGEAR'//: précise que cet AP  |  -  => suggestions : [' – ', ' — ', ' − ']
97 Mot inconnu : channel => //16:29:42 00:09:5B:5C:CD:2A - channel: 11 - 'NETGEAR'//: précise que cet AP  | channel
97 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => //16:29:42 00:09:5B:5C:CD:2A - channel: 11 - 'NETGEAR'//: précise que cet AP  |  -  => suggestions : [' – ', ' — ', ' − ']
97 Guillemets typographiques ouvrants. => //16:29:42 00:09:5B:5C:CD:2A - channel: 11 - 'NETGEAR'//: précise que cet AP  | ' => suggestions : ['“', '‘', '‹']
97 Mot inconnu : NETGEAR => //16:29:42 00:09:5B:5C:CD:2A - channel: 11 - 'NETGEAR'//: précise que cet AP  | netgear
97 Mot inconnu : AP => //16:29:42 00:09:5B:5C:CD:2A - channel: 11 - 'NETGEAR'//: précise que cet AP  | ap
97 Espace(s) en fin de ligne à supprimer. => //16:29:42 00:09:5B:5C:CD:2A - channel: 11 - 'NETGEAR'//: précise que cet AP  |   => suggestions : ['']

98 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => est sur le canal 11 et non sur le canal 9 de notre carte. Il est courant que des canaux adjacents interfèrent. | est => suggestions : ['Est']

100 Mot inconnu : Ping => //16:29:55 Ping (min/avg/max): 2.763ms/4.190ms/8.159ms//: signifie que l'AP répond au Ping et précise les délais. | ping
100 Mot inconnu : avg => //16:29:55 Ping (min/avg/max): 2.763ms/4.190ms/8.159ms//: signifie que l'AP répond au Ping et précise les délais. | avg
100 Grands nombres : utilisez des espaces insécables plutôt que des points. => //16:29:55 Ping (min/avg/max): 2.763ms/4.190ms/8.159ms//: signifie que l'AP répond au Ping et précise les délais. | 2.763 => suggestions : ['2\xa0763']
100 Grands nombres : utilisez des espaces insécables plutôt que des points. => //16:29:55 Ping (min/avg/max): 2.763ms/4.190ms/8.159ms//: signifie que l'AP répond au Ping et précise les délais. | 4.190 => suggestions : ['4\xa0190']
100 Grands nombres : utilisez des espaces insécables plutôt que des points. => //16:29:55 Ping (min/avg/max): 2.763ms/4.190ms/8.159ms//: signifie que l'AP répond au Ping et précise les délais. | 8.159 => suggestions : ['8\xa0159']
100 Mot inconnu : AP => //16:29:55 Ping (min/avg/max): 2.763ms/4.190ms/8.159ms//: signifie que l'AP répond au Ping et précise les délais. | ap
100 Mot inconnu : Ping => //16:29:55 Ping (min/avg/max): 2.763ms/4.190ms/8.159ms//: signifie que l'AP répond au Ping et précise les délais. | ping
102 Mot inconnu : teddy => //16:29:55 27/30: 90% for teddy//: C'est la seule AP avec laquelle la carte peut interragir. Il s'agit d'un autre contrôle pour savoir si votre carte peut injecter.Vous remarquerez que les autres APs sont à 0%. | teddy
102 Mot inconnu : AP => //16:29:55 27/30: 90% for teddy//: C'est la seule AP avec laquelle la carte peut interragir. Il s'agit d'un autre contrôle pour savoir si votre carte peut injecter.Vous remarquerez que les autres APs sont à 0%. | ap
102 Mot inconnu : interragir => //16:29:55 27/30: 90% for teddy//: C'est la seule AP avec laquelle la carte peut interragir. Il s'agit d'un autre contrôle pour savoir si votre carte peut injecter.Vous remarquerez que les autres APs sont à 0%. | interragir
102 Il manque un espace. => //16:29:55 27/30: 90% for teddy//: C'est la seule AP avec laquelle la carte peut interragir. Il s'agit d'un autre contrôle pour savoir si votre carte peut injecter.Vous remarquerez que les autres APs sont à 0%. | vous => suggestions : [' Vous']
102 Mot inconnu : APs => //16:29:55 27/30: 90% for teddy//: C'est la seule AP avec laquelle la carte peut interragir. Il s'agit d'un autre contrôle pour savoir si votre carte peut injecter.Vous remarquerez que les autres APs sont à 0%. | aps

105 Mot inconnu : FIXME => FIXME | fixme

107 Mot inconnu : airmon-ng => ==== airmon-ng ==== | airmon-ng

108 Guillemets typographiques ouvrants. => Script permettant d'activer (ou désactiver) le mode moniteur d'une carte réseau. Dans ce cas la carte Wi-Fi, se place en "observateur" du réseau. | " => suggestions : ['«\xa0', '“']
108 Guillemets typographiques fermants. => Script permettant d'activer (ou désactiver) le mode moniteur d'une carte réseau. Dans ce cas la carte Wi-Fi, se place en "observateur" du réseau. | " => suggestions : ['\xa0»', '”']

110 Mot inconnu : ath0 => Voici comment utiliser cette commande pour activer le mode moniteur sur la carte ath0 : | ath0

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo airmon-ng start ath0 |     => suggestions : ['']
111 Mot inconnu : sudo =>    sudo airmon-ng start ath0 | sudo
111 Mot inconnu : airmon-ng =>    sudo airmon-ng start ath0 | airmon-ng
111 Mot inconnu : start =>    sudo airmon-ng start ath0 | start
111 Mot inconnu : ath0 =>    sudo airmon-ng start ath0 | ath0

113 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo airmon-ng start ath0 3 |     => suggestions : ['']
113 Mot inconnu : sudo =>    sudo airmon-ng start ath0 3 | sudo
113 Mot inconnu : airmon-ng =>    sudo airmon-ng start ath0 3 | airmon-ng
113 Mot inconnu : start =>    sudo airmon-ng start ath0 3 | start
113 Mot inconnu : ath0 =>    sudo airmon-ng start ath0 3 | ath0

115 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo airmon-ng stop ath0 |     => suggestions : ['']
115 Mot inconnu : sudo =>    sudo airmon-ng stop ath0 | sudo
115 Mot inconnu : airmon-ng =>    sudo airmon-ng stop ath0 | airmon-ng
115 Mot inconnu : ath0 =>    sudo airmon-ng stop ath0 | ath0

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo airmon-ng  |     => suggestions : ['']
117 Mot inconnu : sudo =>    sudo airmon-ng  | sudo
117 Mot inconnu : airmon-ng =>    sudo airmon-ng  | airmon-ng
117 Espace(s) en fin de ligne à supprimer. =>    sudo airmon-ng  |   => suggestions : ['']

118 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

121 Mot inconnu : airodump-ng => ==== airodump-ng ==== | airodump-ng

122 Mot inconnu : frames => Il permet de capturer les paquets transitant dans les frames 802.11. Il est utilisé principalement pour collecter les paquets nécessaires au décryptage d'une clé WEP ou WPA. La vitesse de collecte dépend du nombre de machines et de leur activité sur le réseau. Préalable : il faut mettre sa carte Wi-Fi en mode écoute avec airmon-ng ou iwconfig. | frames
122 Mot inconnu : WEP => Il permet de capturer les paquets transitant dans les frames 802.11. Il est utilisé principalement pour collecter les paquets nécessaires au décryptage d'une clé WEP ou WPA. La vitesse de collecte dépend du nombre de machines et de leur activité sur le réseau. Préalable : il faut mettre sa carte Wi-Fi en mode écoute avec airmon-ng ou iwconfig. | wep
122 Mot inconnu : WPA => Il permet de capturer les paquets transitant dans les frames 802.11. Il est utilisé principalement pour collecter les paquets nécessaires au décryptage d'une clé WEP ou WPA. La vitesse de collecte dépend du nombre de machines et de leur activité sur le réseau. Préalable : il faut mettre sa carte Wi-Fi en mode écoute avec airmon-ng ou iwconfig. | wpa
122 Mot inconnu : airmon-ng => Il permet de capturer les paquets transitant dans les frames 802.11. Il est utilisé principalement pour collecter les paquets nécessaires au décryptage d'une clé WEP ou WPA. La vitesse de collecte dépend du nombre de machines et de leur activité sur le réseau. Préalable : il faut mettre sa carte Wi-Fi en mode écoute avec airmon-ng ou iwconfig. | airmon-ng
122 Mot inconnu : iwconfig => Il permet de capturer les paquets transitant dans les frames 802.11. Il est utilisé principalement pour collecter les paquets nécessaires au décryptage d'une clé WEP ou WPA. La vitesse de collecte dépend du nombre de machines et de leur activité sur le réseau. Préalable : il faut mettre sa carte Wi-Fi en mode écoute avec airmon-ng ou iwconfig. | iwconfig

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     sudo airodump-ng <options> <interface> |      => suggestions : ['']
125 Mot inconnu : sudo =>     sudo airodump-ng <options> <interface> | sudo
125 Mot inconnu : airodump-ng =>     sudo airodump-ng <options> <interface> | airodump-ng

129 Mot inconnu : donnera__ => Ceci vous donnera__ tous__ les AP à proximité. | donnera__
129 Mot inconnu : tous__ => Ceci vous donnera__ tous__ les AP à proximité. | tous__
129 Mot inconnu : AP => Ceci vous donnera__ tous__ les AP à proximité. | ap

131 Mot inconnu : AP => Mise en place d'un filtre pour sélectionner seulement les AP ayant une sécurité WEP. (Filtres possibles: wep,wpa,opn) | ap
131 Mot inconnu : WEP => Mise en place d'un filtre pour sélectionner seulement les AP ayant une sécurité WEP. (Filtres possibles: wep,wpa,opn) | wep
131 Mot inconnu : wep => Mise en place d'un filtre pour sélectionner seulement les AP ayant une sécurité WEP. (Filtres possibles: wep,wpa,opn) | wep
131 Il manque un espace. => Mise en place d'un filtre pour sélectionner seulement les AP ayant une sécurité WEP. (Filtres possibles: wep,wpa,opn) | wpa => suggestions : [' wpa']
131 Mot inconnu : wpa => Mise en place d'un filtre pour sélectionner seulement les AP ayant une sécurité WEP. (Filtres possibles: wep,wpa,opn) | wpa
131 Mot inconnu : opn => Mise en place d'un filtre pour sélectionner seulement les AP ayant une sécurité WEP. (Filtres possibles: wep,wpa,opn) | opn

133 Mot inconnu : Ecriture => Ecriture de la capture dans un fichier.  | ecriture
133 Espace(s) en fin de ligne à supprimer. => Ecriture de la capture dans un fichier.  |   => suggestions : ['']

136 Mot inconnu : AP => Pour cibler un AP spécifique, il vous suffira de lancer une écoute global. Ensuite d'analyser cette écoute pour trouver l'AP recherché via le ESSID ou le BSSID. | ap
136 Accord de genre erroné : « une écoute » est féminin, « global » est masculin. => Pour cibler un AP spécifique, il vous suffira de lancer une écoute global. Ensuite d'analyser cette écoute pour trouver l'AP recherché via le ESSID ou le BSSID. | global => suggestions : ['globale']
136 Mot inconnu : AP => Pour cibler un AP spécifique, il vous suffira de lancer une écoute global. Ensuite d'analyser cette écoute pour trouver l'AP recherché via le ESSID ou le BSSID. | ap
136 Mot inconnu : ESSID => Pour cibler un AP spécifique, il vous suffira de lancer une écoute global. Ensuite d'analyser cette écoute pour trouver l'AP recherché via le ESSID ou le BSSID. | essid
136 Mot inconnu : BSSID => Pour cibler un AP spécifique, il vous suffira de lancer une écoute global. Ensuite d'analyser cette écoute pour trouver l'AP recherché via le ESSID ou le BSSID. | bssid

137 Il manque un espace avant la parenthèse. => Une fois ces informations récupérées, vous lancez une écoute ciblée avec un filtre(wep,wpa ou opn), un BSSID, un canal et vous envoyez tout cela dans un fichier de capture.  | ( => suggestions : [' (']
137 Mot inconnu : wep => Une fois ces informations récupérées, vous lancez une écoute ciblée avec un filtre(wep,wpa ou opn), un BSSID, un canal et vous envoyez tout cela dans un fichier de capture.  | wep
137 Il manque un espace. => Une fois ces informations récupérées, vous lancez une écoute ciblée avec un filtre(wep,wpa ou opn), un BSSID, un canal et vous envoyez tout cela dans un fichier de capture.  | wpa => suggestions : [' wpa']
137 Mot inconnu : wpa => Une fois ces informations récupérées, vous lancez une écoute ciblée avec un filtre(wep,wpa ou opn), un BSSID, un canal et vous envoyez tout cela dans un fichier de capture.  | wpa
137 Mot inconnu : opn => Une fois ces informations récupérées, vous lancez une écoute ciblée avec un filtre(wep,wpa ou opn), un BSSID, un canal et vous envoyez tout cela dans un fichier de capture.  | opn
137 Mot inconnu : BSSID => Une fois ces informations récupérées, vous lancez une écoute ciblée avec un filtre(wep,wpa ou opn), un BSSID, un canal et vous envoyez tout cela dans un fichier de capture.  | bssid
137 Espace(s) en fin de ligne à supprimer. => Une fois ces informations récupérées, vous lancez une écoute ciblée avec un filtre(wep,wpa ou opn), un BSSID, un canal et vous envoyez tout cela dans un fichier de capture.  |   => suggestions : ['']

164 Mot inconnu : airolib-ng => ==== airolib-ng ==== | airolib-ng

165 Mot inconnu : airolib-ng => airolib-ng un outil très pratique pour le bruteforce de clef WPA. | airolib-ng
165 Mot inconnu : bruteforce => airolib-ng un outil très pratique pour le bruteforce de clef WPA. | bruteforce
165 Mot inconnu : WPA => airolib-ng un outil très pratique pour le bruteforce de clef WPA. | wpa

166 Mot inconnu : rainbowtable => Il permet de créer une base de données (rainbowtable) contenant vos fichiers dico pour un SSID (ou plusieurs). | rainbowtable
166 Mot inconnu : SSID => Il permet de créer une base de données (rainbowtable) contenant vos fichiers dico pour un SSID (ou plusieurs). | ssid

167 Mot inconnu : WPA => Le crack WPA est très rapide par cette méthode, le problème c'est que la création de la base de données est elle longue à réaliser. | wpa

174 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Commencez par créer la table et y importer le fichier dictionnaire : |     => suggestions : ['']

177 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Importez le fichier contenant l'essid : |     => suggestions : ['']
177 Mot inconnu : essid =>    * Importez le fichier contenant l'essid : | essid

180 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Vérifiez l'état de la base de données : |     => suggestions : ['']

183 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Nettoyez votre base de données avant le batch : |     => suggestions : ['']
