
6 Mot inconnu : Wicd => ====== Wicd ====== | wicd
34 Mot inconnu : wpa_supplicant => **Wicd** utilise ''wpa_supplicant'' afin de se connecter aux réseaux sécurisés. | wpa_supplicant
34 Guillemets typographiques fermants. => **Wicd** utilise ''wpa_supplicant'' afin de se connecter aux réseaux sécurisés. | '' => suggestions : ['\xa0»', '”']

35 Mot inconnu : WPA => Si vous avez des problèmes pour vous connecter au WPA depuis **Wicd** c'est qu'il faut configurer le pilote WPA. Par exemple, si vous utilisez la commande suivante : | wpa
35 Mot inconnu : Wicd => Si vous avez des problèmes pour vous connecter au WPA depuis **Wicd** c'est qu'il faut configurer le pilote WPA. Par exemple, si vous utilisez la commande suivante : | wicd
35 Mot inconnu : WPA => Si vous avez des problèmes pour vous connecter au WPA depuis **Wicd** c'est qu'il faut configurer le pilote WPA. Par exemple, si vous utilisez la commande suivante : | wpa

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   wpa_supplicant -B -i eth1 -D **wext** -c file.conf |    => suggestions : ['']
37 Mot inconnu : wpa_supplicant =>   wpa_supplicant -B -i eth1 -D **wext** -c file.conf | wpa_supplicant
37 Il manque un espace à côté du tiret. =>   wpa_supplicant -B -i eth1 -D **wext** -c file.conf |  - => suggestions : [' – ', ' — ']
37 Mot inconnu : eth1 =>   wpa_supplicant -B -i eth1 -D **wext** -c file.conf | eth1
37 Il manque un espace à côté du tiret. =>   wpa_supplicant -B -i eth1 -D **wext** -c file.conf |  - => suggestions : [' – ', ' — ']
37 Mot inconnu : wext =>   wpa_supplicant -B -i eth1 -D **wext** -c file.conf | wext
37 Il manque un espace. =>   wpa_supplicant -B -i eth1 -D **wext** -c file.conf | conf => suggestions : [' conf']

39 Mot inconnu : wext => Le pilote est donc **wext** et se configure a partir de l'applet dans : //Preference -> WPA Supplicant driver// | wext
39 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => Le pilote est donc **wext** et se configure a partir de l'applet dans : //Preference -> WPA Supplicant driver// | a => suggestions : ['à']
39 Mot inconnu : Preference => Le pilote est donc **wext** et se configure a partir de l'applet dans : //Preference -> WPA Supplicant driver// | preference
39 Mot inconnu : WPA => Le pilote est donc **wext** et se configure a partir de l'applet dans : //Preference -> WPA Supplicant driver// | wpa
39 Mot inconnu : Supplicant => Le pilote est donc **wext** et se configure a partir de l'applet dans : //Preference -> WPA Supplicant driver// | supplicant

47 Il manque un espace après la parenthèse. => ==== Se (re-)connecter en filaire ==== | ) => suggestions : [') ']

53 Mot inconnu : Wicd => Si Wicd ne détecte rien, vérifier que les pilotes WIFI de votre puce sont présents. La commande  | wicd
53 Accord de nombre erroné avec « les pilotes » : « WIFI » devrait être au pluriel. => Si Wicd ne détecte rien, vérifier que les pilotes WIFI de votre puce sont présents. La commande  | wifi => suggestions : ['WIFIS']
53 Espace(s) en fin de ligne à supprimer. => Si Wicd ne détecte rien, vérifier que les pilotes WIFI de votre puce sont présents. La commande  |   => suggestions : ['']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   01:00.0 Network controller [0280]: Qualcomm Atheros AR9485 Wireless Network Adapter [168c:0032] (rev 01) |    => suggestions : ['']
56 Mot inconnu : Network =>   01:00.0 Network controller [0280]: Qualcomm Atheros AR9485 Wireless Network Adapter [168c:0032] (rev 01) | network
56 Mot inconnu : controller =>   01:00.0 Network controller [0280]: Qualcomm Atheros AR9485 Wireless Network Adapter [168c:0032] (rev 01) | controller
56 Mot inconnu : Qualcomm =>   01:00.0 Network controller [0280]: Qualcomm Atheros AR9485 Wireless Network Adapter [168c:0032] (rev 01) | qualcomm
56 Mot inconnu : Atheros =>   01:00.0 Network controller [0280]: Qualcomm Atheros AR9485 Wireless Network Adapter [168c:0032] (rev 01) | atheros
56 Mot inconnu : AR9485 =>   01:00.0 Network controller [0280]: Qualcomm Atheros AR9485 Wireless Network Adapter [168c:0032] (rev 01) | ar9485
56 Mot inconnu : Wireless =>   01:00.0 Network controller [0280]: Qualcomm Atheros AR9485 Wireless Network Adapter [168c:0032] (rev 01) | wireless
56 Mot inconnu : Network =>   01:00.0 Network controller [0280]: Qualcomm Atheros AR9485 Wireless Network Adapter [168c:0032] (rev 01) | network
56 Il manque un espace. =>   01:00.0 Network controller [0280]: Qualcomm Atheros AR9485 Wireless Network Adapter [168c:0032] (rev 01) | 0032 => suggestions : [' 0032']
56 Mot inconnu : rev =>   01:00.0 Network controller [0280]: Qualcomm Atheros AR9485 Wireless Network Adapter [168c:0032] (rev 01) | rev

57 Mot inconnu : Subsystem => 	Subsystem: Lite-On Communications Inc AR9485 Wireless Network Adapter [11ad:6627] | subsystem
57 Euphonie. Il faut un “t” euphonique. => 	Subsystem: Lite-On Communications Inc AR9485 Wireless Network Adapter [11ad:6627] | -on => suggestions : ['-t-On']
57 Mot inconnu : Inc => 	Subsystem: Lite-On Communications Inc AR9485 Wireless Network Adapter [11ad:6627] | inc
57 Mot inconnu : AR9485 => 	Subsystem: Lite-On Communications Inc AR9485 Wireless Network Adapter [11ad:6627] | ar9485
57 Mot inconnu : Wireless => 	Subsystem: Lite-On Communications Inc AR9485 Wireless Network Adapter [11ad:6627] | wireless
57 Mot inconnu : Network => 	Subsystem: Lite-On Communications Inc AR9485 Wireless Network Adapter [11ad:6627] | network
57 Il manque un espace. => 	Subsystem: Lite-On Communications Inc AR9485 Wireless Network Adapter [11ad:6627] | 6627 => suggestions : [' 6627']

58 Mot inconnu : Kernel => 	Kernel driver in use: ath9k | kernel
58 Mot inconnu : ath9k => 	Kernel driver in use: ath9k | ath9k

59 Mot inconnu : Kernel => 	Kernel modules: ath9k | kernel
59 Mot inconnu : ath9k => 	Kernel modules: ath9k | ath9k

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   02:00.0 Ethernet controller [0200]: Qualcomm Atheros AR8152 v2.0 Fast Ethernet [1969:2062] (rev c1) |    => suggestions : ['']
60 Mot inconnu : controller =>   02:00.0 Ethernet controller [0200]: Qualcomm Atheros AR8152 v2.0 Fast Ethernet [1969:2062] (rev c1) | controller
60 Mot inconnu : Qualcomm =>   02:00.0 Ethernet controller [0200]: Qualcomm Atheros AR8152 v2.0 Fast Ethernet [1969:2062] (rev c1) | qualcomm
60 Mot inconnu : Atheros =>   02:00.0 Ethernet controller [0200]: Qualcomm Atheros AR8152 v2.0 Fast Ethernet [1969:2062] (rev c1) | atheros
60 Mot inconnu : AR8152 =>   02:00.0 Ethernet controller [0200]: Qualcomm Atheros AR8152 v2.0 Fast Ethernet [1969:2062] (rev c1) | ar8152
60 Mot inconnu : v2 =>   02:00.0 Ethernet controller [0200]: Qualcomm Atheros AR8152 v2.0 Fast Ethernet [1969:2062] (rev c1) | v2
60 Mot inconnu : Fast =>   02:00.0 Ethernet controller [0200]: Qualcomm Atheros AR8152 v2.0 Fast Ethernet [1969:2062] (rev c1) | fast
60 Mot inconnu : rev =>   02:00.0 Ethernet controller [0200]: Qualcomm Atheros AR8152 v2.0 Fast Ethernet [1969:2062] (rev c1) | rev
60 Mot inconnu : c1 =>   02:00.0 Ethernet controller [0200]: Qualcomm Atheros AR8152 v2.0 Fast Ethernet [1969:2062] (rev c1) | c1

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo iwconfig  |    => suggestions : ['']
64 Mot inconnu : sudo =>   sudo iwconfig  | sudo
64 Mot inconnu : iwconfig =>   sudo iwconfig  | iwconfig
64 Espace(s) en fin de ligne à supprimer. =>   sudo iwconfig  |   => suggestions : ['']

66 Mot inconnu : renvoit => qui renvoit comme réponse (exemple) : | renvoit

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   wlp1s0    IEEE 802.11  ESSID:off/any   |    => suggestions : ['']
68 Mot inconnu : wlp1s0 =>   wlp1s0    IEEE 802.11  ESSID:off/any   | wlp1s0
68 Espace(s) surnuméraire(s) à supprimer. =>   wlp1s0    IEEE 802.11  ESSID:off/any   |      => suggestions : [' ']
68 Mot inconnu : IEEE =>   wlp1s0    IEEE 802.11  ESSID:off/any   | ieee
68 Espace(s) surnuméraire(s) à supprimer. =>   wlp1s0    IEEE 802.11  ESSID:off/any   |    => suggestions : [' ']
68 Mot inconnu : ESSID =>   wlp1s0    IEEE 802.11  ESSID:off/any   | essid
68 Il manque un espace. =>   wlp1s0    IEEE 802.11  ESSID:off/any   | off => suggestions : [' off']
68 Mot inconnu : any =>   wlp1s0    IEEE 802.11  ESSID:off/any   | any
68 Espace(s) en fin de ligne à supprimer. =>   wlp1s0    IEEE 802.11  ESSID:off/any   |    => suggestions : ['']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           Mode:Managed  Access Point: Not-Associated   Tx-Power=0 dBm    |            => suggestions : ['']
69 Il manque un espace. =>           Mode:Managed  Access Point: Not-Associated   Tx-Power=0 dBm    | managed => suggestions : [' Managed']
69 Mot inconnu : Managed =>           Mode:Managed  Access Point: Not-Associated   Tx-Power=0 dBm    | managed
69 Espace(s) surnuméraire(s) à supprimer. =>           Mode:Managed  Access Point: Not-Associated   Tx-Power=0 dBm    |    => suggestions : [' ']
69 Mot inconnu : Access =>           Mode:Managed  Access Point: Not-Associated   Tx-Power=0 dBm    | access
69 Mot inconnu : Not-Associated =>           Mode:Managed  Access Point: Not-Associated   Tx-Power=0 dBm    | not-associated
69 Espace(s) surnuméraire(s) à supprimer. =>           Mode:Managed  Access Point: Not-Associated   Tx-Power=0 dBm    |     => suggestions : [' ']
69 Mot inconnu : Tx-Power =>           Mode:Managed  Access Point: Not-Associated   Tx-Power=0 dBm    | tx-power
69 Si “dBm” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>           Mode:Managed  Access Point: Not-Associated   Tx-Power=0 dBm    | 0 dbm => suggestions : ['0\xa0dBm']
69 Mot inconnu : dBm =>           Mode:Managed  Access Point: Not-Associated   Tx-Power=0 dBm    | dbm
69 Espace(s) en fin de ligne à supprimer. =>           Mode:Managed  Access Point: Not-Associated   Tx-Power=0 dBm    |     => suggestions : ['']

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           Retry short limit:7   RTS thr:off   Fragment thr:off |            => suggestions : ['']
70 Mot inconnu : Retry =>           Retry short limit:7   RTS thr:off   Fragment thr:off | retry
70 Mot inconnu : limit =>           Retry short limit:7   RTS thr:off   Fragment thr:off | limit
70 Il manque un espace. =>           Retry short limit:7   RTS thr:off   Fragment thr:off | 7 => suggestions : [' 7']
70 Espace(s) surnuméraire(s) à supprimer. =>           Retry short limit:7   RTS thr:off   Fragment thr:off |     => suggestions : [' ']
70 Mot inconnu : thr =>           Retry short limit:7   RTS thr:off   Fragment thr:off | thr
70 Il manque un espace. =>           Retry short limit:7   RTS thr:off   Fragment thr:off | off => suggestions : [' off']
70 Espace(s) surnuméraire(s) à supprimer. =>           Retry short limit:7   RTS thr:off   Fragment thr:off |     => suggestions : [' ']
70 Mot inconnu : thr =>           Retry short limit:7   RTS thr:off   Fragment thr:off | thr
70 Il manque un espace. =>           Retry short limit:7   RTS thr:off   Fragment thr:off | off => suggestions : [' off']

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           Encryption key:off |            => suggestions : ['']
71 Mot inconnu : Encryption =>           Encryption key:off | encryption
71 Mot inconnu : key =>           Encryption key:off | key
71 Il manque un espace. =>           Encryption key:off | off => suggestions : [' off']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           Power Management:off |            => suggestions : ['']
72 Mot inconnu : Power =>           Power Management:off | power
72 Il manque un espace. =>           Power Management:off | off => suggestions : [' off']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>              |              => suggestions : ['']

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   enp2s0    no wireless extensions. |    => suggestions : ['']
74 Mot inconnu : enp2s0 =>   enp2s0    no wireless extensions. | enp2s0
74 Espace(s) surnuméraire(s) à supprimer. =>   enp2s0    no wireless extensions. |      => suggestions : [' ']
74 Mot inconnu : wireless =>   enp2s0    no wireless extensions. | wireless

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      |      => suggestions : ['']

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   lo        no wireless extensions. |    => suggestions : ['']
76 Mot inconnu : lo =>   lo        no wireless extensions. | lo
76 Espace(s) surnuméraire(s) à supprimer. =>   lo        no wireless extensions. |          => suggestions : [' ']
76 Mot inconnu : wireless =>   lo        no wireless extensions. | wireless

78 Mot inconnu : wlp1s0 => **wlp1s0** donne ici votre type de WIFI (votre cas peut différer de cet exemple). Intégrer ce nom dans votre commande, ce qui donnera alors (dans notre exemple) : | wlp1s0

80 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => cette commande active manuellement le WIFI. Si cela marche, la commande est persistante, vous n'aurez pas à la retaper par la suite. | cette => suggestions : ['Cette']

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  : [[https://sourceforge.net/projects/wicd/|Le site du projet]] (en); |    => suggestions : ['']

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  : [[https://forum.ubuntu-fr.org/viewtopic.php?id=147215|Topic forum]] (fr); |    => suggestions : ['']
91 Mot inconnu : Topic =>   *  : [[https://forum.ubuntu-fr.org/viewtopic.php?id=147215|Topic forum]] (fr); | topic

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://wicd.sourceforge.net/wiki/doku.php?id=testing|Matériel reconnu]]. |    => suggestions : ['']
