
26 Mot inconnu : KDE => Sous KDE :  <|> kde
122 Mot inconnu : fkeyslast =>   * **1** = fkeyslast : Les touches fonctions sont utilisées comme dernière touche. En appuyant sur la touche 'F8' , celle-ci agira comma la touche spécial (Play/pause). En appuyant sur la touche 'Fn'+'F8', cela équivaut à la touche 'F8' sur un clavier standard. <|> fkeyslast
122 Guillemets typographiques ouvrants. =>   * **1** = fkeyslast : Les touches fonctions sont utilisées comme dernière touche. En appuyant sur la touche 'F8' , celle-ci agira comma la touche spécial (Play/pause). En appuyant sur la touche 'Fn'+'F8', cela équivaut à la touche 'F8' sur un clavier standard. <|> ' => suggestions : ['“', '‘', '‹']
122 Mot inconnu : F8 =>   * **1** = fkeyslast : Les touches fonctions sont utilisées comme dernière touche. En appuyant sur la touche 'F8' , celle-ci agira comma la touche spécial (Play/pause). En appuyant sur la touche 'Fn'+'F8', cela équivaut à la touche 'F8' sur un clavier standard. <|> f8
122 Guillemets typographiques fermants. =>   * **1** = fkeyslast : Les touches fonctions sont utilisées comme dernière touche. En appuyant sur la touche 'F8' , celle-ci agira comma la touche spécial (Play/pause). En appuyant sur la touche 'Fn'+'F8', cela équivaut à la touche 'F8' sur un clavier standard. <|> ' => suggestions : ['”', '’', '›']
122 Pas d’espace avant une virgule. =>   * **1** = fkeyslast : Les touches fonctions sont utilisées comme dernière touche. En appuyant sur la touche 'F8' , celle-ci agira comma la touche spécial (Play/pause). En appuyant sur la touche 'Fn'+'F8', cela équivaut à la touche 'F8' sur un clavier standard. <|>  , => suggestions : [',']
122 Accord de genre erroné : « la touche » est féminin, « spécial » est masculin. =>   * **1** = fkeyslast : Les touches fonctions sont utilisées comme dernière touche. En appuyant sur la touche 'F8' , celle-ci agira comma la touche spécial (Play/pause). En appuyant sur la touche 'Fn'+'F8', cela équivaut à la touche 'F8' sur un clavier standard. <|> spécial => suggestions : ['spéciale']
122 Mot inconnu : Play =>   * **1** = fkeyslast : Les touches fonctions sont utilisées comme dernière touche. En appuyant sur la touche 'F8' , celle-ci agira comma la touche spécial (Play/pause). En appuyant sur la touche 'Fn'+'F8', cela équivaut à la touche 'F8' sur un clavier standard. <|> play
122 Guillemets typographiques ouvrants. =>   * **1** = fkeyslast : Les touches fonctions sont utilisées comme dernière touche. En appuyant sur la touche 'F8' , celle-ci agira comma la touche spécial (Play/pause). En appuyant sur la touche 'Fn'+'F8', cela équivaut à la touche 'F8' sur un clavier standard. <|> ' => suggestions : ['“', '‘', '‹']
122 Mot inconnu : Fn =>   * **1** = fkeyslast : Les touches fonctions sont utilisées comme dernière touche. En appuyant sur la touche 'F8' , celle-ci agira comma la touche spécial (Play/pause). En appuyant sur la touche 'Fn'+'F8', cela équivaut à la touche 'F8' sur un clavier standard. <|> fn
122 Mot inconnu : F8 =>   * **1** = fkeyslast : Les touches fonctions sont utilisées comme dernière touche. En appuyant sur la touche 'F8' , celle-ci agira comma la touche spécial (Play/pause). En appuyant sur la touche 'Fn'+'F8', cela équivaut à la touche 'F8' sur un clavier standard. <|> f8
122 Guillemets typographiques ouvrants. =>   * **1** = fkeyslast : Les touches fonctions sont utilisées comme dernière touche. En appuyant sur la touche 'F8' , celle-ci agira comma la touche spécial (Play/pause). En appuyant sur la touche 'Fn'+'F8', cela équivaut à la touche 'F8' sur un clavier standard. <|> ' => suggestions : ['“', '‘', '‹']
122 Mot inconnu : F8 =>   * **1** = fkeyslast : Les touches fonctions sont utilisées comme dernière touche. En appuyant sur la touche 'F8' , celle-ci agira comma la touche spécial (Play/pause). En appuyant sur la touche 'Fn'+'F8', cela équivaut à la touche 'F8' sur un clavier standard. <|> f8
122 Guillemets typographiques fermants. =>   * **1** = fkeyslast : Les touches fonctions sont utilisées comme dernière touche. En appuyant sur la touche 'F8' , celle-ci agira comma la touche spécial (Play/pause). En appuyant sur la touche 'Fn'+'F8', cela équivaut à la touche 'F8' sur un clavier standard. <|> ' => suggestions : ['”', '’', '›']
123 Mot inconnu : fkeysfirst =>   * **2** = fkeysfirst : Les touches fonctions sont utilisées comme première touche. En appuyant sur 'F8' vous obtiendrez la même chose que sur un clavier Standard. Pour avoir la touche spéciale de 'F8' (play/pause) il faudra appuyer sur 'Fn'+'F8'. <|> fkeysfirst
123 Guillemets typographiques ouvrants. =>   * **2** = fkeysfirst : Les touches fonctions sont utilisées comme première touche. En appuyant sur 'F8' vous obtiendrez la même chose que sur un clavier Standard. Pour avoir la touche spéciale de 'F8' (play/pause) il faudra appuyer sur 'Fn'+'F8'. <|> ' => suggestions : ['“', '‘', '‹']
123 Mot inconnu : F8 =>   * **2** = fkeysfirst : Les touches fonctions sont utilisées comme première touche. En appuyant sur 'F8' vous obtiendrez la même chose que sur un clavier Standard. Pour avoir la touche spéciale de 'F8' (play/pause) il faudra appuyer sur 'Fn'+'F8'. <|> f8
123 Guillemets typographiques fermants. =>   * **2** = fkeysfirst : Les touches fonctions sont utilisées comme première touche. En appuyant sur 'F8' vous obtiendrez la même chose que sur un clavier Standard. Pour avoir la touche spéciale de 'F8' (play/pause) il faudra appuyer sur 'Fn'+'F8'. <|> ' => suggestions : ['”', '’', '›']
123 Guillemets typographiques ouvrants. =>   * **2** = fkeysfirst : Les touches fonctions sont utilisées comme première touche. En appuyant sur 'F8' vous obtiendrez la même chose que sur un clavier Standard. Pour avoir la touche spéciale de 'F8' (play/pause) il faudra appuyer sur 'Fn'+'F8'. <|> ' => suggestions : ['“', '‘', '‹']
123 Mot inconnu : F8 =>   * **2** = fkeysfirst : Les touches fonctions sont utilisées comme première touche. En appuyant sur 'F8' vous obtiendrez la même chose que sur un clavier Standard. Pour avoir la touche spéciale de 'F8' (play/pause) il faudra appuyer sur 'Fn'+'F8'. <|> f8
123 Guillemets typographiques fermants. =>   * **2** = fkeysfirst : Les touches fonctions sont utilisées comme première touche. En appuyant sur 'F8' vous obtiendrez la même chose que sur un clavier Standard. Pour avoir la touche spéciale de 'F8' (play/pause) il faudra appuyer sur 'Fn'+'F8'. <|> ' => suggestions : ['”', '’', '›']
123 Mot inconnu : play =>   * **2** = fkeysfirst : Les touches fonctions sont utilisées comme première touche. En appuyant sur 'F8' vous obtiendrez la même chose que sur un clavier Standard. Pour avoir la touche spéciale de 'F8' (play/pause) il faudra appuyer sur 'Fn'+'F8'. <|> play
123 Guillemets typographiques ouvrants. =>   * **2** = fkeysfirst : Les touches fonctions sont utilisées comme première touche. En appuyant sur 'F8' vous obtiendrez la même chose que sur un clavier Standard. Pour avoir la touche spéciale de 'F8' (play/pause) il faudra appuyer sur 'Fn'+'F8'. <|> ' => suggestions : ['“', '‘', '‹']
123 Mot inconnu : Fn =>   * **2** = fkeysfirst : Les touches fonctions sont utilisées comme première touche. En appuyant sur 'F8' vous obtiendrez la même chose que sur un clavier Standard. Pour avoir la touche spéciale de 'F8' (play/pause) il faudra appuyer sur 'Fn'+'F8'. <|> fn
123 Mot inconnu : F8 =>   * **2** = fkeysfirst : Les touches fonctions sont utilisées comme première touche. En appuyant sur 'F8' vous obtiendrez la même chose que sur un clavier Standard. Pour avoir la touche spéciale de 'F8' (play/pause) il faudra appuyer sur 'Fn'+'F8'. <|> f8

141 Mot inconnu : Enregitrer => 3. Enregitrer le fichier (CTRL+o et CTRL+x) et exécutez cette commande : <|> enregitrer

148 Mot inconnu : Cmd => ==== Inverser Ctrl et Cmd (pour pouvoir faire des copier/coller avec Cmd+C) ==== <|> cmd
148 Copier-coller pour la verbe ou l’action, copié-collé (et ses variantes) pour ce qui est copié-collé. => ==== Inverser Ctrl et Cmd (pour pouvoir faire des copier/coller avec Cmd+C) ==== <|> copier/coller => suggestions : ['copier-coller', 'copié-collé', 'copiée-collée', 'copiés-collés', 'copiées-collées']
148 Mot inconnu : Cmd => ==== Inverser Ctrl et Cmd (pour pouvoir faire des copier/coller avec Cmd+C) ==== <|> cmd

150 Mot inconnu : Editer => 1. Editer l'extension X Keyboard <|> editer
150 Mot inconnu : Keyboard => 1. Editer l'extension X Keyboard <|> keyboard

161 Mot inconnu : xkb => 3. Supprimer le cache de xkb <|> xkb

172 Mot inconnu : Editeur => Faites des essais dans //Applications -> Editeur de texte// par exemple pour voir si tout fonctionne. <|> editeur
174 Typographie : points de suspension. Utilisez le caractère dédié. =>   * les **touches de base** en minuscule (azerty...) <|> ... => suggestions : ['…']
175 Mot inconnu : capslock =>   * avec le **capslock activé**, on obtient les mêmes touches en majuscules  (notez que l'on retrouve les touches ÉÈÇÀ...) <|> capslock
175 Mot inconnu : ÉÈÇÀ =>   * avec le **capslock activé**, on obtient les mêmes touches en majuscules  (notez que l'on retrouve les touches ÉÈÇÀ...) <|> éèçà
175 Typographie : points de suspension. Utilisez le caractère dédié. =>   * avec le **capslock activé**, on obtient les mêmes touches en majuscules  (notez que l'on retrouve les touches ÉÈÇÀ...) <|> ... => suggestions : ['…']
178 Mot inconnu : cmd =>   * avec les touches **cmd**, on accède à diverses fonctions comme **voir les Espaces de travail** (Cmd+E), inverser les couleurs comme sur un **négatif** (Cmd+N ou M), **zoomer** avec un déplacement possible à la souris (mais comment le désactiver ?) etc... <|> cmd
178 Mot inconnu : Cmd =>   * avec les touches **cmd**, on accède à diverses fonctions comme **voir les Espaces de travail** (Cmd+E), inverser les couleurs comme sur un **négatif** (Cmd+N ou M), **zoomer** avec un déplacement possible à la souris (mais comment le désactiver ?) etc... <|> cmd
178 Mot inconnu : Cmd =>   * avec les touches **cmd**, on accède à diverses fonctions comme **voir les Espaces de travail** (Cmd+E), inverser les couleurs comme sur un **négatif** (Cmd+N ou M), **zoomer** avec un déplacement possible à la souris (mais comment le désactiver ?) etc... <|> cmd
178 Un seul point après « etc. » =>   * avec les touches **cmd**, on accède à diverses fonctions comme **voir les Espaces de travail** (Cmd+E), inverser les couleurs comme sur un **négatif** (Cmd+N ou M), **zoomer** avec un déplacement possible à la souris (mais comment le désactiver ?) etc... <|> etc... => suggestions : ['etc.']
179 Mot inconnu : Fn =>   * la combinaison **Fn+Entrée** correspond à la touche **insert** <|> fn

181 Mot inconnu : ToDo => ===== ToDo (=À faire, à trouver) ===== <|> todo
183 Typographie des composés chimiques. =>   * trouver les **raccourcis pour la luminosité** (diminuer F1 et augmenter F2) (fonctionne déjà sur Ubuntu 19.04) <|> f2 => suggestions : ['F₂']
183 Mot inconnu : F2 =>   * trouver les **raccourcis pour la luminosité** (diminuer F1 et augmenter F2) (fonctionne déjà sur Ubuntu 19.04) <|> f2
185 Mot inconnu : rightsinglequotemark =>   * Ajouter un paragraphe pour modifier la touche **4 et apostrophe** car bizarrement le système ne comprend pas **apostrophe**. Il faut utiliser la fonction **rightsinglequotemark** comme sur le clavier BEPO par exemple ! <|> rightsinglequotemark
185 Mot inconnu : BEPO =>   * Ajouter un paragraphe pour modifier la touche **4 et apostrophe** car bizarrement le système ne comprend pas **apostrophe**. Il faut utiliser la fonction **rightsinglequotemark** comme sur le clavier BEPO par exemple ! <|> bepo
190 Mot inconnu : apple =>   * [[https://bugs.launchpad.net/ubuntu/+source/linux/+bug/201711/comments/44|Clavier apple et touches F1, F2... sur launchpad]] <|> apple
190 Typographie des composés chimiques. =>   * [[https://bugs.launchpad.net/ubuntu/+source/linux/+bug/201711/comments/44|Clavier apple et touches F1, F2... sur launchpad]] <|> f2 => suggestions : ['F₂']
190 Mot inconnu : F2 =>   * [[https://bugs.launchpad.net/ubuntu/+source/linux/+bug/201711/comments/44|Clavier apple et touches F1, F2... sur launchpad]] <|> f2
190 Typographie : points de suspension. Utilisez le caractère dédié. =>   * [[https://bugs.launchpad.net/ubuntu/+source/linux/+bug/201711/comments/44|Clavier apple et touches F1, F2... sur launchpad]] <|> ... => suggestions : ['…']
190 Mot inconnu : launchpad =>   * [[https://bugs.launchpad.net/ubuntu/+source/linux/+bug/201711/comments/44|Clavier apple et touches F1, F2... sur launchpad]] <|> launchpad
