
4 Mot inconnu : Postfix => ====== Système Satellite pour Postfix ====== | postfix
67 Mot inconnu : TLS => Vous pouvez également activer le chiffrement de la connexion grâce à TLS/SSL en ajoutant les lignes suivantes (notez qu'il est recommandé de l'activer si le serveur SMTP auquel vous vous connectez le supporte) : | tls
67 Mot inconnu : SSL => Vous pouvez également activer le chiffrement de la connexion grâce à TLS/SSL en ajoutant les lignes suivantes (notez qu'il est recommandé de l'activer si le serveur SMTP auquel vous vous connectez le supporte) : | ssl

70 Mot inconnu : smtp_use_tls => smtp_use_tls = yes | smtp_use_tls
70 Mot inconnu : yes => smtp_use_tls = yes | yes

71 Mot inconnu : smtp_enforce_tls => smtp_enforce_tls = yes | smtp_enforce_tls
71 Mot inconnu : yes => smtp_enforce_tls = yes | yes

72 Mot inconnu : smtp_tls_CAfile => smtp_tls_CAfile = /etc/ssl/certs/ca-certificates.crt | smtp_tls_cafile

78 Mot inconnu : relayhost => relayhost = [smtp.serveur.org]:1234 | relayhost

84 Mot inconnu : smtp_enforce_tls => Si vous n'arrivez pas à envoyer de message avec cette configuration vous pouvez désactiver smtp_enforce_tls mais sachez que Postfix ne vérifiera pas le certificat qui lui est présenté par votre serveur SMTP. Il se contentera de l'accepter pour chiffrer la connexion et éviter ainsi de transmettre vos identifiant et mot de passe en clair mais ne vérifiera pas qu'il dialogue avec le bon serveur et non avec un serveur pirate. Ne désactivez donc cette option que si votre serveur SMTP présente un certificat qui pose problème. | smtp_enforce_tls
84 Mot inconnu : Postfix => Si vous n'arrivez pas à envoyer de message avec cette configuration vous pouvez désactiver smtp_enforce_tls mais sachez que Postfix ne vérifiera pas le certificat qui lui est présenté par votre serveur SMTP. Il se contentera de l'accepter pour chiffrer la connexion et éviter ainsi de transmettre vos identifiant et mot de passe en clair mais ne vérifiera pas qu'il dialogue avec le bon serveur et non avec un serveur pirate. Ne désactivez donc cette option que si votre serveur SMTP présente un certificat qui pose problème. | postfix

93 Mot inconnu : sasl_passwd => ==== Créer le fichier « sasl_passwd » ==== | sasl_passwd

98 Mot inconnu : nom_utilisateur => [smtp.serveur.org]:1234 nom_utilisateur:mot_de_passe | nom_utilisateur
98 Il manque un espace. => [smtp.serveur.org]:1234 nom_utilisateur:mot_de_passe | mot_de_passe => suggestions : [' mot_de_passe']
98 Mot inconnu : mot_de_passe => [smtp.serveur.org]:1234 nom_utilisateur:mot_de_passe | mot_de_passe

102 Mot inconnu : nom_utilisateur => Le « nom_utilisateur » peut aussi être une adresse de courriel. | nom_utilisateur

109 Mot inconnu : root => et n'autoriser que root lui-même à y accéder en lecture et écriture : | root

112 Mot inconnu : Postfix => Il ne reste plus qu'à redémarrer le serveur Postfix pour qu'il prenne les nouveaux paramètres : | postfix

115 Mot inconnu : email => ===== Tester l'envoi d'email ===== | email

123 Mot inconnu : email => Vous devriez recevoir votre email sans problème. Attention cependant, si vous n'avez pas choisi de nom qualifié pour votre serveur, les mails risquent très fortement (voire toujours) d'être interceptés par le SMTP de votre FAI. Pour cela, vous pouvez utiliser une autre petite technique, la translation d'adresse de courriel (cf. infra). | email

132 Mot inconnu : smtp_generic_maps => smtp_generic_maps = hash:/etc/postfix/generic | smtp_generic_maps
132 Mot inconnu : hash => smtp_generic_maps = hash:/etc/postfix/generic | hash

138 Mot inconnu : adresse-mel => nom-utilisateur adresse-mel@valide | adresse-mel
