
5 Espace(s) surnuméraire(s) à supprimer. [[33:35]] => ====== Gestion du rétro-éclairage  ====== <|>    => suggestions :  
178 Élision de l’article devant un mot commençant par une voyelle. [[19:22]] => (//Fonctionne pour le ux310ua sous ubuntu 16.04 à l'heure actuelle//). <|> le  => suggestions : l’
178 Mot inconnu : ux310ua [[22:29]] => (//Fonctionne pour le ux310ua sous ubuntu 16.04 à l'heure actuelle//). <|> ux310ua

191 Mot inconnu : Vaio [[11:15]] => ===== Sony Vaio ===== <|> vaio

222 Accord de nombre erroné : « touche » devrait être au pluriel. [[15:21]] => Concernant les touche Fn, logiquement cette installation devrait les activer. \\ <|> touche => suggestions : touches
222 Mot inconnu : Fn [[22:24]] => Concernant les touche Fn, logiquement cette installation devrait les activer. \\ <|> fn

225 Mot inconnu : ATIV [[21:25]] => Sur la gamme récente ATIV série 9, les touches de réglage de luminosité ont certes pour effet de déplacer un curseur virtuel de luminosité, mais pas de modifier réellement celle-ci.\\  <|> ativ
225 Espace(s) en fin de ligne à supprimer. [[183:184]] => Sur la gamme récente ATIV série 9, les touches de réglage de luminosité ont certes pour effet de déplacer un curseur virtuel de luminosité, mais pas de modifier réellement celle-ci.\\  <|>  

227 Mot inconnu : xbacklight [[35:45]] => Il en est de même pour le module **xbacklight** décrit ci-dessus: il est inopérant. \\ <|> xbacklight

231 Mot inconnu : N150 [[37:41]] => ==== Spécificité aux modèles Samsung N150/N210/N220 ==== <|> n150
231 Mot inconnu : N210 [[42:46]] => ==== Spécificité aux modèles Samsung N150/N210/N220 ==== <|> n210
231 Mot inconnu : N220 [[47:51]] => ==== Spécificité aux modèles Samsung N150/N210/N220 ==== <|> n220

233 Guillemets typographiques ouvrants. [[26:27]] => <note important>Le projet "voria" est à l'arrêt depuis 2014, la dernière version supportée est la version 14.04LTS. Pour 16.04 utiliser le dépôt trusty.</note> <|> " => suggestions : « “
233 Mot inconnu : voria [[27:32]] => <note important>Le projet "voria" est à l'arrêt depuis 2014, la dernière version supportée est la version 14.04LTS. Pour 16.04 utiliser le dépôt trusty.</note> <|> voria
233 Guillemets typographiques fermants. [[32:33]] => <note important>Le projet "voria" est à l'arrêt depuis 2014, la dernière version supportée est la version 14.04LTS. Pour 16.04 utiliser le dépôt trusty.</note> <|> " => suggestions :  »”

234 Mot inconnu : N150 [[57:61]] => La raison de ce problème est connue, les modèles Samsung N150/N210/N220 n'ont pas été intégrés aux règles udev. Pour résoudre cela : <|> n150
234 Mot inconnu : N210 [[62:66]] => La raison de ce problème est connue, les modèles Samsung N150/N210/N220 n'ont pas été intégrés aux règles udev. Pour résoudre cela : <|> n210
234 Mot inconnu : N220 [[67:71]] => La raison de ce problème est connue, les modèles Samsung N150/N210/N220 n'ont pas été intégrés aux règles udev. Pour résoudre cela : <|> n220
234 Mot inconnu : udev [[106:110]] => La raison de ce problème est connue, les modèles Samsung N150/N210/N220 n'ont pas été intégrés aux règles udev. Pour résoudre cela : <|> udev
243 Mot inconnu : N150 [[19:23]] =>   * En ajoutant "|*N150/N210/N220*" (ou le modèle de votre ordinateur) à la partie "produit" des règles pour Samsung dans le fichier on active les touches Fn (pensez à relancer udev ou à redémarrer le pc pour que les changements soient pris en compte). La nouvelle section Product ressemble alors à ceci : <|> n150
243 Mot inconnu : N210 [[24:28]] =>   * En ajoutant "|*N150/N210/N220*" (ou le modèle de votre ordinateur) à la partie "produit" des règles pour Samsung dans le fichier on active les touches Fn (pensez à relancer udev ou à redémarrer le pc pour que les changements soient pris en compte). La nouvelle section Product ressemble alors à ceci : <|> n210
243 Mot inconnu : N220 [[29:33]] =>   * En ajoutant "|*N150/N210/N220*" (ou le modèle de votre ordinateur) à la partie "produit" des règles pour Samsung dans le fichier on active les touches Fn (pensez à relancer udev ou à redémarrer le pc pour que les changements soient pris en compte). La nouvelle section Product ressemble alors à ceci : <|> n220
243 Guillemets typographiques ouvrants. [[83:84]] =>   * En ajoutant "|*N150/N210/N220*" (ou le modèle de votre ordinateur) à la partie "produit" des règles pour Samsung dans le fichier on active les touches Fn (pensez à relancer udev ou à redémarrer le pc pour que les changements soient pris en compte). La nouvelle section Product ressemble alors à ceci : <|> " => suggestions : « “
243 Guillemets typographiques fermants. [[91:92]] =>   * En ajoutant "|*N150/N210/N220*" (ou le modèle de votre ordinateur) à la partie "produit" des règles pour Samsung dans le fichier on active les touches Fn (pensez à relancer udev ou à redémarrer le pc pour que les changements soient pris en compte). La nouvelle section Product ressemble alors à ceci : <|> " => suggestions :  »”
243 Mot inconnu : Fn [[155:157]] =>   * En ajoutant "|*N150/N210/N220*" (ou le modèle de votre ordinateur) à la partie "produit" des règles pour Samsung dans le fichier on active les touches Fn (pensez à relancer udev ou à redémarrer le pc pour que les changements soient pris en compte). La nouvelle section Product ressemble alors à ceci : <|> fn
243 Mot inconnu : udev [[177:181]] =>   * En ajoutant "|*N150/N210/N220*" (ou le modèle de votre ordinateur) à la partie "produit" des règles pour Samsung dans le fichier on active les touches Fn (pensez à relancer udev ou à redémarrer le pc pour que les changements soient pris en compte). La nouvelle section Product ressemble alors à ceci : <|> udev
243 Mot inconnu : Product [[273:280]] =>   * En ajoutant "|*N150/N210/N220*" (ou le modèle de votre ordinateur) à la partie "produit" des règles pour Samsung dans le fichier on active les touches Fn (pensez à relancer udev ou à redémarrer le pc pour que les changements soient pris en compte). La nouvelle section Product ressemble alors à ceci : <|> product

262 Mot inconnu : NP-X420 [[65:72]] => Cette seule modification fonctionne parfaitement sur un **modèle NP-X420** avec Ubuntu 16.04 LTS. Elle ne fonctionne pas en 18.04 LTS. <|> np-x420

266 Mot inconnu : Eee [[10:13]] => ==== Asus Eee PC 1101 et consorts ==== <|> eee

268 Mot inconnu : Fn [[15:17]] => Si les touches Fn n'influencent pas la luminosité, suivez ces indications:\\ <|> fn

269 Mot inconnu : sys [[12:15]] => Le fichier /sys/class/backlight/*/brightness contient un nombre compris entre 1 et 100 qui règle la luminosité. La commande suivante propose par exemple une luminosité à 18% :  <|> sys
269 Mot inconnu : class [[16:21]] => Le fichier /sys/class/backlight/*/brightness contient un nombre compris entre 1 et 100 qui règle la luminosité. La commande suivante propose par exemple une luminosité à 18% :  <|> class
269 Mot inconnu : backlight [[22:31]] => Le fichier /sys/class/backlight/*/brightness contient un nombre compris entre 1 et 100 qui règle la luminosité. La commande suivante propose par exemple une luminosité à 18% :  <|> backlight
269 Mot inconnu : brightness [[34:44]] => Le fichier /sys/class/backlight/*/brightness contient un nombre compris entre 1 et 100 qui règle la luminosité. La commande suivante propose par exemple une luminosité à 18% :  <|> brightness
269 Espace(s) en fin de ligne à supprimer. [[175:176]] => Le fichier /sys/class/backlight/*/brightness contient un nombre compris entre 1 et 100 qui règle la luminosité. La commande suivante propose par exemple une luminosité à 18% :  <|>  

273 Confusion probable. Pour dire “possiblement”, écrivez “peut-être”. [[97:106]] => <note tip>Cette procédure est aussi valable sur d'autres portables ASUS, mais le nombre à entrer peut être alors entre 0 et 10 inclus, les autres valeurs donnant l'erreur "Argument invalide".</note> <|> peut être => suggestions : peut-être
273 Guillemets typographiques ouvrants. [[171:172]] => <note tip>Cette procédure est aussi valable sur d'autres portables ASUS, mais le nombre à entrer peut être alors entre 0 et 10 inclus, les autres valeurs donnant l'erreur "Argument invalide".</note> <|> " => suggestions : « “
273 Guillemets typographiques fermants. [[189:190]] => <note tip>Cette procédure est aussi valable sur d'autres portables ASUS, mais le nombre à entrer peut être alors entre 0 et 10 inclus, les autres valeurs donnant l'erreur "Argument invalide".</note> <|> " => suggestions :  »”
277 Mot inconnu : visudo [[37:43]] =>   *  En mode root création d'un code visudo créer le fichier **set_brightness** dans /etc/sudoers.d/ <|> visudo
277 Mot inconnu : set_brightness [[63:77]] =>   *  En mode root création d'un code visudo créer le fichier **set_brightness** dans /etc/sudoers.d/ <|> set_brightness

279 Espace(s) en fin de ligne à supprimer. [[48:49]] => ou ID est votre id et MACHINE le nom de votre PC  <|>  

280 Espace(s) surnuméraire(s) à supprimer. [[20:22]] => ceci vous autorisera  sur votre machine à utiliser la commande dans les scripts ci-dessous qui ont besoin de "sudo" sans mot de passe <|>    => suggestions :  
280 Guillemets typographiques ouvrants. [[109:110]] => ceci vous autorisera  sur votre machine à utiliser la commande dans les scripts ci-dessous qui ont besoin de "sudo" sans mot de passe <|> " => suggestions : « “
280 Mot inconnu : sudo [[110:114]] => ceci vous autorisera  sur votre machine à utiliser la commande dans les scripts ci-dessous qui ont besoin de "sudo" sans mot de passe <|> sudo
280 Guillemets typographiques fermants. [[114:115]] => ceci vous autorisera  sur votre machine à utiliser la commande dans les scripts ci-dessous qui ont besoin de "sudo" sans mot de passe <|> " => suggestions :  »”
284 Mot inconnu : sys [[66:69]] =>   *  Création d'un fichier script qui va modifier la valeur dans /sys/class/backlight/*/brightness avec comme paramètres **inc** ou **dec** <|> sys
284 Mot inconnu : class [[70:75]] =>   *  Création d'un fichier script qui va modifier la valeur dans /sys/class/backlight/*/brightness avec comme paramètres **inc** ou **dec** <|> class
284 Mot inconnu : backlight [[76:85]] =>   *  Création d'un fichier script qui va modifier la valeur dans /sys/class/backlight/*/brightness avec comme paramètres **inc** ou **dec** <|> backlight
284 Mot inconnu : brightness [[88:98]] =>   *  Création d'un fichier script qui va modifier la valeur dans /sys/class/backlight/*/brightness avec comme paramètres **inc** ou **dec** <|> brightness
284 Mot inconnu : inc [[123:126]] =>   *  Création d'un fichier script qui va modifier la valeur dans /sys/class/backlight/*/brightness avec comme paramètres **inc** ou **dec** <|> inc
284 Mot inconnu : dec [[134:137]] =>   *  Création d'un fichier script qui va modifier la valeur dans /sys/class/backlight/*/brightness avec comme paramètres **inc** ou **dec** <|> dec

289 Mot inconnu : intel_backlight [[20:35]] => à adapter ici c'est intel_backlight valeur comprise entre 500 et 5000 <|> intel_backlight
321 Accord de nombre erroné : « droit » devrait être au pluriel. [[16:21]] =>   *  Donner les droit d'exécution   <|> droit => suggestions : droits
321 Espace(s) en fin de ligne à supprimer. [[33:35]] =>   *  Donner les droit d'exécution   <|>   
322 Espace(s) en fin de ligne à supprimer. [[56:57]] => chmod +x /opt/asus-brightness-master/bin/asus-brightness  <|>  

326 Mot inconnu : fn [[59:61]] => <note tip>création de raccourci clavier en remplacement de fn+f5 fn+f6</note> <|> fn
326 Mot inconnu : f5 [[62:64]] => <note tip>création de raccourci clavier en remplacement de fn+f5 fn+f6</note> <|> f5
326 Mot inconnu : fn [[65:67]] => <note tip>création de raccourci clavier en remplacement de fn+f5 fn+f6</note> <|> fn
326 Mot inconnu : f6 [[68:70]] => <note tip>création de raccourci clavier en remplacement de fn+f5 fn+f6</note> <|> f6

327 Mot inconnu : alt [[0:3]] => alt+f5 /opt/asus-brightness-master/bin/asus-brightness dec \\ <|> alt
327 Mot inconnu : f5 [[4:6]] => alt+f5 /opt/asus-brightness-master/bin/asus-brightness dec \\ <|> f5
327 Mot inconnu : dec [[55:58]] => alt+f5 /opt/asus-brightness-master/bin/asus-brightness dec \\ <|> dec

328 Mot inconnu : alt [[0:3]] => alt+f6 /opt/asus-brightness-master/bin/asus-brightness inc \\ <|> alt
328 Mot inconnu : f6 [[4:6]] => alt+f6 /opt/asus-brightness-master/bin/asus-brightness inc \\ <|> f6
328 Mot inconnu : inc [[55:58]] => alt+f6 /opt/asus-brightness-master/bin/asus-brightness inc \\ <|> inc

331 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  dans /etc/pm/power.d création du fichier **00-brightness** LES VALEUR MIN ET MAX en fonction de configuration <|>  
331 Mot inconnu : brightness [[47:57]] =>  dans /etc/pm/power.d création du fichier **00-brightness** LES VALEUR MIN ET MAX en fonction de configuration <|> brightness
331 Accord de nombre erroné : « VALEUR » devrait être au pluriel. [[64:70]] =>  dans /etc/pm/power.d création du fichier **00-brightness** LES VALEUR MIN ET MAX en fonction de configuration <|> valeur => suggestions : VALEURS
350 Accord de genre erroné : « version » est féminin. [[27:29]] => FIXME pour ce qui suit sur le version récentes d'Ubuntu (info qui date d'Ubuntu 9.10)\\ <|> le => suggestions : la
350 Accord de nombre erroné avec « le version » : « récentes » devrait être au singulier. [[38:46]] => FIXME pour ce qui suit sur le version récentes d'Ubuntu (info qui date d'Ubuntu 9.10)\\ <|> récentes => suggestions : récent

352 Guillemets typographiques ouvrants. [[295:296]] => Ou encore, si vous avez l'impression bizarre que l'écran de votre pc portable est sombre, pas aussi lumineux que sous MS Windows™, la cause est simple, elle est due à la sonde de luminosité mal gérée. Le capteur se situe à gauche des diodes lumineuses. Sous Windows, ce capteur se désactive par "Fn + a ou q" suivant le clavier. : <|> " => suggestions : « “
352 Mot inconnu : Fn [[296:298]] => Ou encore, si vous avez l'impression bizarre que l'écran de votre pc portable est sombre, pas aussi lumineux que sous MS Windows™, la cause est simple, elle est due à la sonde de luminosité mal gérée. Le capteur se situe à gauche des diodes lumineuses. Sous Windows, ce capteur se désactive par "Fn + a ou q" suivant le clavier. : <|> fn
352 Guillemets typographiques fermants. [[307:308]] => Ou encore, si vous avez l'impression bizarre que l'écran de votre pc portable est sombre, pas aussi lumineux que sous MS Windows™, la cause est simple, elle est due à la sonde de luminosité mal gérée. Le capteur se situe à gauche des diodes lumineuses. Sous Windows, ce capteur se désactive par "Fn + a ou q" suivant le clavier. : <|> " => suggestions :  »”
358 Espace(s) en fin de ligne à supprimer. [[102:103]] =>   * Redémarrer votre ordinateur, si vous n'avez pas envie tout de suite, entrer la commande suivante :  <|>  
361 Espace(s) en fin de ligne à supprimer. [[60:61]] =>   * Voilà, l'écran devrait retrouver une luminosité normale.  <|>  

364 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  =====Configuration spécifique à Mate ===== <|>  

365 S’il s’agit d’un seul mot, il manque un trait d’union. [[50:65]] => Il est possible sous mate de définir la valeur du rétro éclairage (en %) sur secteur et sous batterie. C'est peut-être adapatable à d'autres environnements. <|> rétro éclairage => suggestions : rétro-éclairage
365 Mot inconnu : adapatable [[119:129]] => Il est possible sous mate de définir la valeur du rétro éclairage (en %) sur secteur et sous batterie. C'est peut-être adapatable à d'autres environnements. <|> adapatable

366 Doublon. [[79:84]] => Par exemple si on veut qu'il soit par défaut éteint et ne l'allumer que lorsqu'on on le souhaite via les touches du clavier: <|> on on => suggestions : on
366 Incohérence avec “on” : “on” devrait être un verbe, un pronom objet, un adverbe de négation, etc. [[82:84]] => Par exemple si on veut qu'il soit par défaut éteint et ne l'allumer que lorsqu'on on le souhaite via les touches du clavier: <|> on

371 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  ce qui dit à mate de mettre le rétroéclairage à 0% quand il est sur secteur. <|>  

375 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  =====Voir aussi ===== <|>  

378 Mot inconnu : xrandr [[0:6]] => xrandr permet aussi de diminuer la luminosité si xbacklight ne marche pas (avec l'option -- brightness). <|> xrandr
378 Mot inconnu : xbacklight [[49:59]] => xrandr permet aussi de diminuer la luminosité si xbacklight ne marche pas (avec l'option -- brightness). <|> xbacklight
378 Mot inconnu : brightness [[92:102]] => xrandr permet aussi de diminuer la luminosité si xbacklight ne marche pas (avec l'option -- brightness). <|> brightness

380 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  =====Sources ===== <|>  

387 Mot inconnu : hfarner [[0:7]] => hfarner <|> hfarner
