
3 Mot inconnu : Xmind => ====== Xmind : logiciel d'édition de carte heuristique ====== | xmind
46 Typographie : points de suspension. Utilisez le caractère dédié. => Aucune icône n'est définie pour les fichiers .xmind (il faudrait que ça soit corrigé dans le paquet ...) | ... => suggestions : ['…']

48 Mot inconnu : xmind => Pour y remédier, on peut simplement utiliser celui du logiciel avec ces lignes de commandes (après vous être placé dans le répertoire xmind) : | xmind

55 Espace(s) surnuméraire(s) à supprimer. => ===== Franciser le correcteur orthographique  ===== |    => suggestions : [' ']

64 Mot inconnu : XMind => ===== Fonctionnalités particulières d'XMind ===== | xmind

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

84 Mot inconnu : Xmind => Crash au lancement d'Xmind 8 update 8 pour Ubuntu 18.04. Le problème est une incompatibilité avec la version par défaut de java.  | xmind
84 Mot inconnu : update => Crash au lancement d'Xmind 8 update 8 pour Ubuntu 18.04. Le problème est une incompatibilité avec la version par défaut de java.  | update
84 Espace(s) en fin de ligne à supprimer. => Crash au lancement d'Xmind 8 update 8 pour Ubuntu 18.04. Le problème est une incompatibilité avec la version par défaut de java.  |   => suggestions : ['']

113 Mot inconnu : XMind => Ce script peut alors être utilisé pour lancer l'application depuis le menu général et lancer XMind comme n'importe quelle application.         | xmind
113 Espace(s) en fin de ligne à supprimer. => Ce script peut alors être utilisé pour lancer l'application depuis le menu général et lancer XMind comme n'importe quelle application.         |          => suggestions : ['']

119 Espace(s) surnuméraire(s) à supprimer. => ===== Liens  ===== |    => suggestions : [' ']
