1 Mot inconnu : A17 => ====== Asus séries A17 TUF766IU, TUF7606IU  (testé sur Asus A17-TUF766IU-H7074T)  ====== | a17
196 Mot inconnu : Bumblebee => La version 450 du pilote fournit directement un outil appelé **PRIME Render Offload** qui rend obsolète toutes autres et nombreuses solutions développées précédemment ([[Bumblebee]], etc...).\\ | bumblebee
196 Un seul point après « etc. » => La version 450 du pilote fournit directement un outil appelé **PRIME Render Offload** qui rend obsolète toutes autres et nombreuses solutions développées précédemment ([[Bumblebee]], etc...).\\ | etc... => suggestions : ['etc.']

197 Élision de l’article devant un mot commençant par une voyelle. => Cela permet, en faisant précéder les applications souhaitées d'un préfixe, de les faire fonctionner en utilisant le eGPU Nvidia. Il n'y a pas de mode automatique comme sous Windows avec [[CUDA]].\\ | le  => suggestions : ['l’']
197 Mot inconnu : eGPU => Cela permet, en faisant précéder les applications souhaitées d'un préfixe, de les faire fonctionner en utilisant le eGPU Nvidia. Il n'y a pas de mode automatique comme sous Windows avec [[CUDA]].\\ | egpu
197 Mot inconnu : CUDA => Cela permet, en faisant précéder les applications souhaitées d'un préfixe, de les faire fonctionner en utilisant le eGPU Nvidia. Il n'y a pas de mode automatique comme sous Windows avec [[CUDA]].\\ | cuda

203 Mot inconnu : Render => === PRIME Render Offload === | render
203 Mot inconnu : Offload => === PRIME Render Offload === | offload

205 Mot inconnu : eGPU => Après avoir installé les pilotes propriétaires, vous pourrez forcer l'utilisation du eGPU Nvidia en précédant la commande à exécuter de : | egpu

220 Mot inconnu : Render => Sans les commandes Prime Render, on obtiendrait le processeur graphique intégré comme réponse : | render

227 Mot inconnu : GPU => <note>En l'état actuel (2020) du développement des pilotes sous Linux l'utilisation du GPU Nvidia ne peut pas être automatisée (contrairement à ce qui existe sous Windows: [[CUDA]], [[https://forums.developer.nvidia.com/t/prime-no-offloading-required-prime-is-it-supported/154181|précisions]]).</note> | gpu
227 Mot inconnu : CUDA => <note>En l'état actuel (2020) du développement des pilotes sous Linux l'utilisation du GPU Nvidia ne peut pas être automatisée (contrairement à ce qui existe sous Windows: [[CUDA]], [[https://forums.developer.nvidia.com/t/prime-no-offloading-required-prime-is-it-supported/154181|précisions]]).</note> | cuda

230 Mot inconnu : eGPU => Dans les exemples ci-dessous, la première ligne définit le préfixe qui commande l'utilisation du eGPU Nvivia et la seconde définit la commande "prime-run_vlc" qui permet de lancer VLC en utilisant le eGPU au lieu du iGPU. | egpu
230 Mot inconnu : Nvivia => Dans les exemples ci-dessous, la première ligne définit le préfixe qui commande l'utilisation du eGPU Nvivia et la seconde définit la commande "prime-run_vlc" qui permet de lancer VLC en utilisant le eGPU au lieu du iGPU. | nvivia
230 Guillemets typographiques ouvrants. => Dans les exemples ci-dessous, la première ligne définit le préfixe qui commande l'utilisation du eGPU Nvivia et la seconde définit la commande "prime-run_vlc" qui permet de lancer VLC en utilisant le eGPU au lieu du iGPU. | " => suggestions : ['«\xa0', '“']
230 Mot inconnu : prime-run_vlc => Dans les exemples ci-dessous, la première ligne définit le préfixe qui commande l'utilisation du eGPU Nvivia et la seconde définit la commande "prime-run_vlc" qui permet de lancer VLC en utilisant le eGPU au lieu du iGPU. | prime-run_vlc
230 Guillemets typographiques fermants. => Dans les exemples ci-dessous, la première ligne définit le préfixe qui commande l'utilisation du eGPU Nvivia et la seconde définit la commande "prime-run_vlc" qui permet de lancer VLC en utilisant le eGPU au lieu du iGPU. | " => suggestions : ['\xa0»', '”']
230 Mot inconnu : VLC => Dans les exemples ci-dessous, la première ligne définit le préfixe qui commande l'utilisation du eGPU Nvivia et la seconde définit la commande "prime-run_vlc" qui permet de lancer VLC en utilisant le eGPU au lieu du iGPU. | vlc
230 Élision de l’article devant un mot commençant par une voyelle. => Dans les exemples ci-dessous, la première ligne définit le préfixe qui commande l'utilisation du eGPU Nvivia et la seconde définit la commande "prime-run_vlc" qui permet de lancer VLC en utilisant le eGPU au lieu du iGPU. | le  => suggestions : ['l’']
230 Mot inconnu : eGPU => Dans les exemples ci-dessous, la première ligne définit le préfixe qui commande l'utilisation du eGPU Nvivia et la seconde définit la commande "prime-run_vlc" qui permet de lancer VLC en utilisant le eGPU au lieu du iGPU. | egpu
230 Mot inconnu : iGPU => Dans les exemples ci-dessous, la première ligne définit le préfixe qui commande l'utilisation du eGPU Nvivia et la seconde définit la commande "prime-run_vlc" qui permet de lancer VLC en utilisant le eGPU au lieu du iGPU. | igpu

244 Mot inconnu : eGPU => ==== Comment savoir si le processeur eGPU est bien utilisé ? ==== | egpu

256 Élision de l’article devant un mot commençant par une voyelle. => Lorsque le eGPU est au repos sa température est basse (36 °C ici) et la consommation de 1W.\\ | le  => suggestions : ['l’']
256 Mot inconnu : eGPU => Lorsque le eGPU est au repos sa température est basse (36 °C ici) et la consommation de 1W.\\ | egpu

257 Élision de l’article devant un mot commençant par une voyelle. => Quand le eGPU est utilisé il consommera au moins 2 W (et chauffera...). | le  => suggestions : ['l’']
257 Mot inconnu : eGPU => Quand le eGPU est utilisé il consommera au moins 2 W (et chauffera...). | egpu
257 Typographie : points de suspension. Utilisez le caractère dédié. => Quand le eGPU est utilisé il consommera au moins 2 W (et chauffera...). | ... => suggestions : ['…']

260 Guillemets typographiques ouvrants. => === Graphiquement avec l'applet pour Plasma 5 "Prime Render Offload Status" === | " => suggestions : ['«\xa0', '“']
260 Mot inconnu : Render => === Graphiquement avec l'applet pour Plasma 5 "Prime Render Offload Status" === | render
260 Mot inconnu : Offload => === Graphiquement avec l'applet pour Plasma 5 "Prime Render Offload Status" === | offload
260 Guillemets typographiques fermants. => === Graphiquement avec l'applet pour Plasma 5 "Prime Render Offload Status" === | " => suggestions : ['\xa0»', '”']

262 Guillemets typographiques ouvrants. => L'applet "Prime Render Offload Status" peut être ajoutée au tableau de bord avec "ajouter un composant graphique" sous KDE. | " => suggestions : ['«\xa0', '“']
262 Mot inconnu : Render => L'applet "Prime Render Offload Status" peut être ajoutée au tableau de bord avec "ajouter un composant graphique" sous KDE. | render
262 Mot inconnu : Offload => L'applet "Prime Render Offload Status" peut être ajoutée au tableau de bord avec "ajouter un composant graphique" sous KDE. | offload
262 Guillemets typographiques fermants. => L'applet "Prime Render Offload Status" peut être ajoutée au tableau de bord avec "ajouter un composant graphique" sous KDE. | " => suggestions : ['\xa0»', '”']
262 Guillemets typographiques ouvrants. => L'applet "Prime Render Offload Status" peut être ajoutée au tableau de bord avec "ajouter un composant graphique" sous KDE. | " => suggestions : ['«\xa0', '“']
262 Guillemets typographiques fermants. => L'applet "Prime Render Offload Status" peut être ajoutée au tableau de bord avec "ajouter un composant graphique" sous KDE. | " => suggestions : ['\xa0»', '”']
262 Mot inconnu : KDE => L'applet "Prime Render Offload Status" peut être ajoutée au tableau de bord avec "ajouter un composant graphique" sous KDE. | kde

269 Mot inconnu : eGPU => ==== Utilisation permanente du eGPU Nvidia au lieu du iGPU AMD pour plus de performances ==== | egpu
269 Mot inconnu : iGPU => ==== Utilisation permanente du eGPU Nvidia au lieu du iGPU AMD pour plus de performances ==== | igpu

271 Guillemets typographiques ouvrants. => <note important>Ce qui suit n'est pas conseillé par rapport à la méthode "On Demand" décrite précédemment. | " => suggestions : ['«\xa0', '“']
271 Mot inconnu : Demand => <note important>Ce qui suit n'est pas conseillé par rapport à la méthode "On Demand" décrite précédemment. | demand
271 Guillemets typographiques fermants. => <note important>Ce qui suit n'est pas conseillé par rapport à la méthode "On Demand" décrite précédemment. | " => suggestions : ['\xa0»', '”']

272 Mot inconnu : GPU => Si vous souhaitez toutefois utiliser en permanence le GPU Nvidia, il faut partir d'une configuration "propre" post-installation et notamment sans fichier `/etc/X11/xorg.conf` existant.</note> | gpu
272 Guillemets typographiques ouvrants. => Si vous souhaitez toutefois utiliser en permanence le GPU Nvidia, il faut partir d'une configuration "propre" post-installation et notamment sans fichier `/etc/X11/xorg.conf` existant.</note> | " => suggestions : ['«\xa0', '“']
272 Guillemets typographiques fermants. => Si vous souhaitez toutefois utiliser en permanence le GPU Nvidia, il faut partir d'une configuration "propre" post-installation et notamment sans fichier `/etc/X11/xorg.conf` existant.</note> | " => suggestions : ['\xa0»', '”']

276 Mot inconnu : desktop => Il suffit de lancer double cliquer sur les fichiers `Switch AMD.desktop` ou `Switch Nvidia.desktop` pour basculer entre : | desktop
276 Mot inconnu : desktop => Il suffit de lancer double cliquer sur les fichiers `Switch AMD.desktop` ou `Switch Nvidia.desktop` pour basculer entre : | desktop

311 Accord de nombre erroné : « paramètres » devrait être au singulier. => Le script de bascule vers Nvidia contient une correction du paramètres DPI car sans cela le pilote Nvidia fournirait par défaut des caractères plus petits (une résolution de 72 DPI au lieu de 96 est utilisée par défaut).\\ | paramètres => suggestions : ['paramétré', 'paramètre']

312 Guillemets typographiques ouvrants. => Le code fourni intègre la modification grâce aux paramètres suivants à la section "Screen". | " => suggestions : ['«\xa0', '“']
312 Mot inconnu : Screen => Le code fourni intègre la modification grâce aux paramètres suivants à la section "Screen". | screen
312 Guillemets typographiques fermants. => Le code fourni intègre la modification grâce aux paramètres suivants à la section "Screen". | " => suggestions : ['\xa0»', '”']

325 Accord de nombre erroné avec « scripts ». => D'autre scripts proposent un switch similaire mais ne modifient pas les DPI et touchent inutilement d'autres fichiers comme celui ci dont je me suis inspiré : https://github.com/dglt1/optimus-switch-amd-sddm | autre => suggestions : ['autres']
325 Accord de nombre erroné avec « autre ». => D'autre scripts proposent un switch similaire mais ne modifient pas les DPI et touchent inutilement d'autres fichiers comme celui ci dont je me suis inspiré : https://github.com/dglt1/optimus-switch-amd-sddm | scripts => suggestions : ['script']
325 Mot inconnu : switch => D'autre scripts proposent un switch similaire mais ne modifient pas les DPI et touchent inutilement d'autres fichiers comme celui ci dont je me suis inspiré : https://github.com/dglt1/optimus-switch-amd-sddm | switch
325 Il manque un trait d’union. => D'autre scripts proposent un switch similaire mais ne modifient pas les DPI et touchent inutilement d'autres fichiers comme celui ci dont je me suis inspiré : https://github.com/dglt1/optimus-switch-amd-sddm | celui ci => suggestions : ['celui-ci']
327 Mot inconnu : KDE => <note help>À voir aussi le projet [[https://gitlab.freedesktop.org/hadess/switcheroo-control/|switcheroo-control]] disponible dans les dépôts mais non testé et a priori non disponible pour KDE à cette heure. Ce projet permettrait par un clic droit, comme sous windows, de lancer une application sur le eGPU.</note> | kde
327 Élision de l’article devant un mot commençant par une voyelle. => <note help>À voir aussi le projet [[https://gitlab.freedesktop.org/hadess/switcheroo-control/|switcheroo-control]] disponible dans les dépôts mais non testé et a priori non disponible pour KDE à cette heure. Ce projet permettrait par un clic droit, comme sous windows, de lancer une application sur le eGPU.</note> | le  => suggestions : ['l’']
327 Mot inconnu : eGPU => <note help>À voir aussi le projet [[https://gitlab.freedesktop.org/hadess/switcheroo-control/|switcheroo-control]] disponible dans les dépôts mais non testé et a priori non disponible pour KDE à cette heure. Ce projet permettrait par un clic droit, comme sous windows, de lancer une application sur le eGPU.</note> | egpu

329 Mot inconnu : Nividia => ==== (Expérimental) Extinction de la carte Nividia lorsqu'elle n'est pas utilisée  ==== | nividia
329 Espace(s) surnuméraire(s) à supprimer. => ==== (Expérimental) Extinction de la carte Nividia lorsqu'elle n'est pas utilisée  ==== |    => suggestions : [' ']

331 Mot inconnu : oeuvre => <note warning>La mise en oeuvre de ce paragraphe entraîne un plantage lors de la mise en veille.</note> | oeuvre

361 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… => ==== Complément pour un 2e écran HDMI  ==== | 2e => suggestions : ['2ᵉ']
361 Espace(s) surnuméraire(s) à supprimer. => ==== Complément pour un 2e écran HDMI  ==== |    => suggestions : [' ']

362 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => <note important>A  partir du noyau 5.10 les options de boot suivantes ne sont plus nécessaires. Par contre il semblerait que le son sur HDMI soit perdu (avec ou sans ces options de boot).</note> | a => suggestions : ['À']
362 Espace(s) surnuméraire(s) à supprimer. => <note important>A  partir du noyau 5.10 les options de boot suivantes ne sont plus nécessaires. Par contre il semblerait que le son sur HDMI soit perdu (avec ou sans ces options de boot).</note> |    => suggestions : [' ']
362 Mot inconnu : boot => <note important>A  partir du noyau 5.10 les options de boot suivantes ne sont plus nécessaires. Par contre il semblerait que le son sur HDMI soit perdu (avec ou sans ces options de boot).</note> | boot
362 Mot inconnu : boot => <note important>A  partir du noyau 5.10 les options de boot suivantes ne sont plus nécessaires. Par contre il semblerait que le son sur HDMI soit perdu (avec ou sans ces options de boot).</note> | boot

363 Mot inconnu : nvidia => pour l'utilisation d'un second écran sur le HDMI, avec le pilote nvidia propriétaire,  il peut être nécessaire d'ajouter cette option dans dans  **/etc/default/grub** : | nvidia
363 Espace(s) surnuméraire(s) à supprimer. => pour l'utilisation d'un second écran sur le HDMI, avec le pilote nvidia propriétaire,  il peut être nécessaire d'ajouter cette option dans dans  **/etc/default/grub** : |    => suggestions : [' ']
363 Doublon. => pour l'utilisation d'un second écran sur le HDMI, avec le pilote nvidia propriétaire,  il peut être nécessaire d'ajouter cette option dans dans  **/etc/default/grub** : | dans dans => suggestions : ['dans']
363 Espace(s) surnuméraire(s) à supprimer. => pour l'utilisation d'un second écran sur le HDMI, avec le pilote nvidia propriétaire,  il peut être nécessaire d'ajouter cette option dans dans  **/etc/default/grub** : |    => suggestions : [' ']

364 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  à la variable **GRUB_CMDLINE_LINUX_DEFAULT**, ajouter : **amdgpu.exp_hw_support=1** |   => suggestions : ['']
364 Mot inconnu : GRUB_CMDLINE_LINUX_DEFAULT =>  à la variable **GRUB_CMDLINE_LINUX_DEFAULT**, ajouter : **amdgpu.exp_hw_support=1** | grub_cmdline_linux_default
364 Mot inconnu : amdgpu =>  à la variable **GRUB_CMDLINE_LINUX_DEFAULT**, ajouter : **amdgpu.exp_hw_support=1** | amdgpu
364 Mot inconnu : exp_hw_support =>  à la variable **GRUB_CMDLINE_LINUX_DEFAULT**, ajouter : **amdgpu.exp_hw_support=1** | exp_hw_support

365 Espace(s) en fin de ligne à supprimer. => ce qui donne par exemple  |   => suggestions : ['']

372 Mot inconnu : reboot => au reboot le 2e écran est détecté. | reboot
372 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… => au reboot le 2e écran est détecté. | 2e => suggestions : ['2ᵉ']

376 Mot inconnu : Laptop-mode-tools => ==== Laptop-mode-tools ==== | laptop-mode-tools

