
5 Mot inconnu : Stardict => ====== Stardict ====== | stardict
21 Pas d’espace avant ce signe. =>   <note warning> Etre dans une version   ubuntu antérieure à la version 20.04 LTS (FOCAL ) https://www.ubuntuupdates.org/package/core/focal/universe/base/stardict</note> |  ) => suggestions : [')']

40 Typographie : points de suspension. Utilisez le caractère dédié. => Une **liste exhaustive et structurée des dictionnaires francophones** disponibles est tenue à jour **sur [[http://polyglotte.tuxfamily.org/doku.php|le wiki polyglotte]]** (dictionnaires unilingues français, dictionnaires bilingues dont une langue est le français, langues et parlers régionaux...) : | ... => suggestions : ['…']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dictionnaires unilingues Français disponibles au format StarDict : |    => suggestions : ['']
42 Mot inconnu : StarDict =>   * Dictionnaires unilingues Français disponibles au format StarDict : | stardict

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Dictionnaire de la langue française d'Émile Littré (1863) |      => suggestions : ['']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * 6ème édition du dictionnaire de l'Académie Française (1835) |      => suggestions : ['']
44 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… =>     * 6ème édition du dictionnaire de l'Académie Française (1835) | 6ème => suggestions : ['6ᵉ']
44 S’il s’agit d’un adjectif, ne mettez pas de majuscule. =>     * 6ème édition du dictionnaire de l'Académie Française (1835) | française => suggestions : ['française']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * 8ème édition du dictionnaire de l'Académie Française (1935) |      => suggestions : ['']
45 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… =>     * 8ème édition du dictionnaire de l'Académie Française (1935) | 8ème => suggestions : ['8ᵉ']
45 S’il s’agit d’un adjectif, ne mettez pas de majuscule. =>     * 8ème édition du dictionnaire de l'Académie Française (1935) | française => suggestions : ['française']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Dictionnaire des idées reçues  de Gustave Flaubert (1912) |      => suggestions : ['']
46 Espace(s) surnuméraire(s) à supprimer. =>     * Dictionnaire des idées reçues  de Gustave Flaubert (1912) |    => suggestions : [' ']

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Grand Dictionnaire de Cuisine d'Alexandre Dumas (1873) |      => suggestions : ['']

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * ... et d'autres que vous trouverez **[[http://polyglotte.tuxfamily.org/doku.php?id=donnees:dicos_bilingues#dictionnaires_francais_7_dictionnaires|ici]]**. |      => suggestions : ['']
48 Typographie : points de suspension. Utilisez le caractère dédié. =>     * ... et d'autres que vous trouverez **[[http://polyglotte.tuxfamily.org/doku.php?id=donnees:dicos_bilingues#dictionnaires_francais_7_dictionnaires|ici]]**. | ... => suggestions : ['…']
48 Mot inconnu : dicos_bilingues =>     * ... et d'autres que vous trouverez **[[http://polyglotte.tuxfamily.org/doku.php?id=donnees:dicos_bilingues#dictionnaires_francais_7_dictionnaires|ici]]**. | dicos_bilingues

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dictionnaires bilingues "français - autre langue" disponibles au format StarDict : |    => suggestions : ['']
50 Guillemets typographiques ouvrants. =>   * Dictionnaires bilingues "français - autre langue" disponibles au format StarDict : | " => suggestions : ['«\xa0', '“']
50 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * Dictionnaires bilingues "français - autre langue" disponibles au format StarDict : |  -  => suggestions : [' – ', ' — ', ' − ']
50 Guillemets typographiques fermants. =>   * Dictionnaires bilingues "français - autre langue" disponibles au format StarDict : | " => suggestions : ['\xa0»', '”']
50 Mot inconnu : StarDict =>   * Dictionnaires bilingues "français - autre langue" disponibles au format StarDict : | stardict

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * français - allemand |      => suggestions : ['']
51 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * français - allemand |  -  => suggestions : [' – ', ' — ', ' − ']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * français - anglais |      => suggestions : ['']
52 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * français - anglais |  -  => suggestions : [' – ', ' — ', ' − ']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * français - breton |      => suggestions : ['']
53 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * français - breton |  -  => suggestions : [' – ', ' — ', ' − ']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * français - chinois |      => suggestions : ['']
54 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * français - chinois |  -  => suggestions : [' – ', ' — ', ' − ']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * français - corse |      => suggestions : ['']
55 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * français - corse |  -  => suggestions : [' – ', ' — ', ' − ']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * français - danois |      => suggestions : ['']
56 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * français - danois |  -  => suggestions : [' – ', ' — ', ' − ']

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * français - espagnol |      => suggestions : ['']
57 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * français - espagnol |  -  => suggestions : [' – ', ' — ', ' − ']

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * français - hongrois |      => suggestions : ['']
58 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * français - hongrois |  -  => suggestions : [' – ', ' — ', ' − ']

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * français - italien |      => suggestions : ['']
59 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * français - italien |  -  => suggestions : [' – ', ' — ', ' − ']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * français - néerlandais |      => suggestions : ['']
60 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * français - néerlandais |  -  => suggestions : [' – ', ' — ', ' − ']

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * français - suédois |      => suggestions : ['']
61 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * français - suédois |  -  => suggestions : [' – ', ' — ', ' − ']

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * français - vietnamien |      => suggestions : ['']
62 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * français - vietnamien |  -  => suggestions : [' – ', ' — ', ' − ']

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * ... et bien d'autres que vous trouverez **[[http://polyglotte.tuxfamily.org/doku.php?id=donnees:dicos_bilingues#dictionnaires_bilingues_francais-autre_langue_17_langues|ici]]**. |      => suggestions : ['']
63 Typographie : points de suspension. Utilisez le caractère dédié. =>     * ... et bien d'autres que vous trouverez **[[http://polyglotte.tuxfamily.org/doku.php?id=donnees:dicos_bilingues#dictionnaires_bilingues_francais-autre_langue_17_langues|ici]]**. | ... => suggestions : ['…']
63 Mot inconnu : dicos_bilingues =>     * ... et bien d'autres que vous trouverez **[[http://polyglotte.tuxfamily.org/doku.php?id=donnees:dicos_bilingues#dictionnaires_bilingues_francais-autre_langue_17_langues|ici]]**. | dicos_bilingues

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dictionnaires bilingues "autre langue - français" disponibles au format StarDict : |    => suggestions : ['']
66 Guillemets typographiques ouvrants. =>   * Dictionnaires bilingues "autre langue - français" disponibles au format StarDict : | " => suggestions : ['«\xa0', '“']
66 Accord de nombre erroné avec « Dictionnaires bilingues » : « autre » devrait être au pluriel. =>   * Dictionnaires bilingues "autre langue - français" disponibles au format StarDict : | autre => suggestions : ['autres']
66 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * Dictionnaires bilingues "autre langue - français" disponibles au format StarDict : |  -  => suggestions : [' – ', ' — ', ' − ']
66 Guillemets typographiques fermants. =>   * Dictionnaires bilingues "autre langue - français" disponibles au format StarDict : | " => suggestions : ['\xa0»', '”']
66 Mot inconnu : StarDict =>   * Dictionnaires bilingues "autre langue - français" disponibles au format StarDict : | stardict

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * allemand - français |      => suggestions : ['']
67 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * allemand - français |  -  => suggestions : [' – ', ' — ', ' − ']

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * anglais - français |      => suggestions : ['']
68 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * anglais - français |  -  => suggestions : [' – ', ' — ', ' − ']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * breton - français |      => suggestions : ['']
69 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * breton - français |  -  => suggestions : [' – ', ' — ', ' − ']

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * chinois - français |      => suggestions : ['']
70 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * chinois - français |  -  => suggestions : [' – ', ' — ', ' − ']

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * corse - français |      => suggestions : ['']
71 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * corse - français |  -  => suggestions : [' – ', ' — ', ' − ']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * danois - français |      => suggestions : ['']
72 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * danois - français |  -  => suggestions : [' – ', ' — ', ' − ']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * gaëlique d'Irlande - français |      => suggestions : ['']
73 Mot inconnu : gaëlique =>     * gaëlique d'Irlande - français | gaëlique
73 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * gaëlique d'Irlande - français |  -  => suggestions : [' – ', ' — ', ' − ']

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * hongrois - français |      => suggestions : ['']
74 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * hongrois - français |  -  => suggestions : [' – ', ' — ', ' − ']

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * japonais - français |      => suggestions : ['']
75 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * japonais - français |  -  => suggestions : [' – ', ' — ', ' − ']

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * kabyle - français |      => suggestions : ['']
76 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * kabyle - français |  -  => suggestions : [' – ', ' — ', ' − ']

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * latin - français |      => suggestions : ['']
77 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * latin - français |  -  => suggestions : [' – ', ' — ', ' − ']

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * néerlandais - français |      => suggestions : ['']
78 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * néerlandais - français |  -  => suggestions : [' – ', ' — ', ' − ']

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * suédois - français |      => suggestions : ['']
79 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * suédois - français |  -  => suggestions : [' – ', ' — ', ' − ']

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * russe - français |      => suggestions : ['']
80 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * russe - français |  -  => suggestions : [' – ', ' — ', ' − ']

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * vietnamien - français |      => suggestions : ['']
81 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * vietnamien - français |  -  => suggestions : [' – ', ' — ', ' − ']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * wallon - français |      => suggestions : ['']
82 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * wallon - français |  -  => suggestions : [' – ', ' — ', ' − ']

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * et bien d'autres que vous trouverez **[[http://polyglotte.tuxfamily.org/doku.php?id=donnees:dicos_bilingues#dictionnaires_bilingues_autre_langue-francais_25_langues|ici]]** |      => suggestions : ['']
83 Mot inconnu : dicos_bilingues =>     * et bien d'autres que vous trouverez **[[http://polyglotte.tuxfamily.org/doku.php?id=donnees:dicos_bilingues#dictionnaires_bilingues_autre_langue-francais_25_langues|ici]]** | dicos_bilingues

85 Il manque un espace. => <note>Le logiciel [[http://polyglotte.tuxfamily.org/doku.php?id=logiciels:polyglotte:linguae|Linguae]] téléchargeable [[http://stalikez.info/linguae/dwnld/linguae_0.15-1_all.deb|ici]] permet l'exportation vers le format StarDict de dictionnaires originellement sous d'autres formats (xdxf, ling, tab, csv, wb...)</note> | linguae => suggestions : [' linguae']
85 Mot inconnu : linguae => <note>Le logiciel [[http://polyglotte.tuxfamily.org/doku.php?id=logiciels:polyglotte:linguae|Linguae]] téléchargeable [[http://stalikez.info/linguae/dwnld/linguae_0.15-1_all.deb|ici]] permet l'exportation vers le format StarDict de dictionnaires originellement sous d'autres formats (xdxf, ling, tab, csv, wb...)</note> | linguae
85 Mot inconnu : StarDict => <note>Le logiciel [[http://polyglotte.tuxfamily.org/doku.php?id=logiciels:polyglotte:linguae|Linguae]] téléchargeable [[http://stalikez.info/linguae/dwnld/linguae_0.15-1_all.deb|ici]] permet l'exportation vers le format StarDict de dictionnaires originellement sous d'autres formats (xdxf, ling, tab, csv, wb...)</note> | stardict
85 Mot inconnu : xdxf => <note>Le logiciel [[http://polyglotte.tuxfamily.org/doku.php?id=logiciels:polyglotte:linguae|Linguae]] téléchargeable [[http://stalikez.info/linguae/dwnld/linguae_0.15-1_all.deb|ici]] permet l'exportation vers le format StarDict de dictionnaires originellement sous d'autres formats (xdxf, ling, tab, csv, wb...)</note> | xdxf
85 Mot inconnu : ling => <note>Le logiciel [[http://polyglotte.tuxfamily.org/doku.php?id=logiciels:polyglotte:linguae|Linguae]] téléchargeable [[http://stalikez.info/linguae/dwnld/linguae_0.15-1_all.deb|ici]] permet l'exportation vers le format StarDict de dictionnaires originellement sous d'autres formats (xdxf, ling, tab, csv, wb...)</note> | ling
85 Mot inconnu : tab => <note>Le logiciel [[http://polyglotte.tuxfamily.org/doku.php?id=logiciels:polyglotte:linguae|Linguae]] téléchargeable [[http://stalikez.info/linguae/dwnld/linguae_0.15-1_all.deb|ici]] permet l'exportation vers le format StarDict de dictionnaires originellement sous d'autres formats (xdxf, ling, tab, csv, wb...)</note> | tab
85 Mot inconnu : csv => <note>Le logiciel [[http://polyglotte.tuxfamily.org/doku.php?id=logiciels:polyglotte:linguae|Linguae]] téléchargeable [[http://stalikez.info/linguae/dwnld/linguae_0.15-1_all.deb|ici]] permet l'exportation vers le format StarDict de dictionnaires originellement sous d'autres formats (xdxf, ling, tab, csv, wb...)</note> | csv
85 Mot inconnu : wb => <note>Le logiciel [[http://polyglotte.tuxfamily.org/doku.php?id=logiciels:polyglotte:linguae|Linguae]] téléchargeable [[http://stalikez.info/linguae/dwnld/linguae_0.15-1_all.deb|ici]] permet l'exportation vers le format StarDict de dictionnaires originellement sous d'autres formats (xdxf, ling, tab, csv, wb...)</note> | wb
85 Typographie : points de suspension. Utilisez le caractère dédié. => <note>Le logiciel [[http://polyglotte.tuxfamily.org/doku.php?id=logiciels:polyglotte:linguae|Linguae]] téléchargeable [[http://stalikez.info/linguae/dwnld/linguae_0.15-1_all.deb|ici]] permet l'exportation vers le format StarDict de dictionnaires originellement sous d'autres formats (xdxf, ling, tab, csv, wb...)</note> | ... => suggestions : ['…']

97 Guillemets typographiques ouvrants. => <note>Il existe des dictionnaires au format "dictionnaire-arbre" (Tree dictionaries). FIXME\\ | " => suggestions : ['«\xa0', '“']
97 Guillemets typographiques fermants. => <note>Il existe des dictionnaires au format "dictionnaire-arbre" (Tree dictionaries). FIXME\\ | " => suggestions : ['\xa0»', '”']
97 Mot inconnu : Tree => <note>Il existe des dictionnaires au format "dictionnaire-arbre" (Tree dictionaries). FIXME\\ | tree
97 Mot inconnu : dictionaries => <note>Il existe des dictionnaires au format "dictionnaire-arbre" (Tree dictionaries). FIXME\\ | dictionaries
97 Mot inconnu : FIXME => <note>Il existe des dictionnaires au format "dictionnaire-arbre" (Tree dictionaries). FIXME\\ | fixme

98 Mot inconnu : stardict => Dans ce cas les mettre au choix comme précédemment soit dans **.stardict** dans un nouveau répertoire treedict ou dans **/usr/share/stardict/treedict**.</note> | stardict
98 Mot inconnu : treedict => Dans ce cas les mettre au choix comme précédemment soit dans **.stardict** dans un nouveau répertoire treedict ou dans **/usr/share/stardict/treedict**.</note> | treedict

103 Mot inconnu : StarDict => StarDict permet aussi l'utilisation des dictionnaires en ligne. Faites un clic droit sur la petite flèche en bas à droite de la fenêtre et choisissez le site sur lequel vous souhaitez faire votre recherche. Un nouvel onglet s'ouvre dans votre navigateur web avec le site de dictionnaire dans lequel vous pourrez faire votre recherche. | stardict

110 Mot inconnu : unity => Pour lancer l'application faites une recherche dans [[unity#tableau_de_bord_dash|le tableau de bord Unity]] avec le mot clé **StarDict**.\\ | unity
110 Mot inconnu : Unity => Pour lancer l'application faites une recherche dans [[unity#tableau_de_bord_dash|le tableau de bord Unity]] avec le mot clé **StarDict**.\\ | unity
110 Mot inconnu : StarDict => Pour lancer l'application faites une recherche dans [[unity#tableau_de_bord_dash|le tableau de bord Unity]] avec le mot clé **StarDict**.\\ | stardict

112 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * La fonction **Scan** de StarDict permet d'obtenir la définition de n'importe quel mot présent à l'écran (quel que soit le logiciel utilisé : navigateur Internet, traitement de texte ou autre). Il suffit de sélectionner le mot voulu (par double-clic ou autrement) et la définition apparaît dans une nouvelle fenêtre, à condition que le mot soit présent dans les dictionnaires activés. Si le mot est absent des dictionnaires, StarDict n'affiche rien, le double clic n'ouvre aucune fenêtre. \\ |    => suggestions : ['']
112 Mot inconnu : StarDict =>   * La fonction **Scan** de StarDict permet d'obtenir la définition de n'importe quel mot présent à l'écran (quel que soit le logiciel utilisé : navigateur Internet, traitement de texte ou autre). Il suffit de sélectionner le mot voulu (par double-clic ou autrement) et la définition apparaît dans une nouvelle fenêtre, à condition que le mot soit présent dans les dictionnaires activés. Si le mot est absent des dictionnaires, StarDict n'affiche rien, le double clic n'ouvre aucune fenêtre. \\ | stardict
112 Mot inconnu : StarDict =>   * La fonction **Scan** de StarDict permet d'obtenir la définition de n'importe quel mot présent à l'écran (quel que soit le logiciel utilisé : navigateur Internet, traitement de texte ou autre). Il suffit de sélectionner le mot voulu (par double-clic ou autrement) et la définition apparaît dans une nouvelle fenêtre, à condition que le mot soit présent dans les dictionnaires activés. Si le mot est absent des dictionnaires, StarDict n'affiche rien, le double clic n'ouvre aucune fenêtre. \\ | stardict

113 Mot inconnu : Stardict => Pour activer la fonction de scan cochez la case **Scan** en bas à gauche de la fenêtre principale de Stardict.\\ | stardict

114 Mot inconnu : StarDict => Exemple, le dictionnaire Littré étant activé dans StarDict : | stardict

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vous pouvez faire un tour dans les préférences pour y mettre vos réglages. Vous pouvez par exemple utiliser le réglage **Scanner la sélection** : il vous donne la possibilité de paramétrer une touche d'activation pour la fonction de scan. |    => suggestions : ['']

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Allez aussi faire un tour dans la gestion des dictionnaires : pour activer ou désactiver ceux-ci et les classer par ordre de prédilection dans la fenêtre des résultats. On peut par exemple mettre tous les dictionnaires anglais-français par ordre d'importance puis les dictionnaires français-anglais. On peut activer de façon distincte pour les modes de "recherche" et de "scan" le ou les dictionnaire(s) que l'on souhaite utiliser en vue d'un travail donné, et désactiver tous les autres dictionnaires dont on n'a pas besoin pour ce travail. Dans la fenêtre **Gestion des dictionnaires**, activer le bouton "Gestion des dictionnaires" pour avoir accès à la liste avec les cases à cocher permettant l'activation ou la désactivation des dictionnaires. |    => suggestions : ['']
124 Guillemets typographiques ouvrants. =>   * Allez aussi faire un tour dans la gestion des dictionnaires : pour activer ou désactiver ceux-ci et les classer par ordre de prédilection dans la fenêtre des résultats. On peut par exemple mettre tous les dictionnaires anglais-français par ordre d'importance puis les dictionnaires français-anglais. On peut activer de façon distincte pour les modes de "recherche" et de "scan" le ou les dictionnaire(s) que l'on souhaite utiliser en vue d'un travail donné, et désactiver tous les autres dictionnaires dont on n'a pas besoin pour ce travail. Dans la fenêtre **Gestion des dictionnaires**, activer le bouton "Gestion des dictionnaires" pour avoir accès à la liste avec les cases à cocher permettant l'activation ou la désactivation des dictionnaires. | " => suggestions : ['«\xa0', '“']
