
5 Mot inconnu : Caja => ====== Caja ====== | caja
63 Guillemets typographiques fermants. => Le menu "Signets" permet lui de définir un ensemble de "favoris" et d'y accéder. | " => suggestions : ['\xa0»', '”']
63 Guillemets typographiques ouvrants. => Le menu "Signets" permet lui de définir un ensemble de "favoris" et d'y accéder. | " => suggestions : ['«\xa0', '“']
63 Guillemets typographiques fermants. => Le menu "Signets" permet lui de définir un ensemble de "favoris" et d'y accéder. | " => suggestions : ['\xa0»', '”']

65 Guillemets typographiques ouvrants. => Les dossiers essentiels, vos signets, et l'historique, sont tous les 3 accessibles via le panneau latéral (en cliquant sur "Raccourcis", vous pouvez changer son contenu). | " => suggestions : ['«\xa0', '“']
65 Guillemets typographiques fermants. => Les dossiers essentiels, vos signets, et l'historique, sont tous les 3 accessibles via le panneau latéral (en cliquant sur "Raccourcis", vous pouvez changer son contenu). | " => suggestions : ['\xa0»', '”']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Précédent / Suivant, cliquer sur la petite flèche permet de naviguer dans l'historique ; |    => suggestions : ['']

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ouvrir le dossier parent ; |    => suggestions : ['']

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Arrêter le chargement / Actualiser ; |    => suggestions : ['']

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ouvrir le dossier personnel ; |    => suggestions : ['']

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ouvrir le poste de travail (résumé des disques locaux ou distants accessibles) ; |    => suggestions : ['']

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Contrôle du zoom ; |    => suggestions : ['']

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Contrôle de la vue ; |    => suggestions : ['']

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Recherche. |    => suggestions : ['']

82 Guillemets typographiques ouvrants. => Sur fond clair, la partie "Raccourcis" est en fait le haut du panneau latéral, et vous permet de choisir le contenu du panneau latéral (raccourcis, historique, Informations sur l'emplacement, arborescence complète, notes, emblèmes). | " => suggestions : ['«\xa0', '“']
82 Accord de nombre erroné avec « la partie » : « Raccourcis » devrait être au singulier. => Sur fond clair, la partie "Raccourcis" est en fait le haut du panneau latéral, et vous permet de choisir le contenu du panneau latéral (raccourcis, historique, Informations sur l'emplacement, arborescence complète, notes, emblèmes). | raccourcis => suggestions : ['Raccourcie']
82 Guillemets typographiques fermants. => Sur fond clair, la partie "Raccourcis" est en fait le haut du panneau latéral, et vous permet de choisir le contenu du panneau latéral (raccourcis, historique, Informations sur l'emplacement, arborescence complète, notes, emblèmes). | " => suggestions : ['\xa0»', '”']

87 Apostrophe incorrecte. => La suite de partie sur fond clair est la barre d"emplacement : le "crayon" permet de basculer entre le mode "boutons" pour naviguer parmi le chemin de l'emplacement, et le mode "texte" où le chemin peut être édité à la main. | d" => suggestions : ['d’']
87 Guillemets typographiques ouvrants. => La suite de partie sur fond clair est la barre d"emplacement : le "crayon" permet de basculer entre le mode "boutons" pour naviguer parmi le chemin de l'emplacement, et le mode "texte" où le chemin peut être édité à la main. | " => suggestions : ['«\xa0', '“']
87 Guillemets typographiques fermants. => La suite de partie sur fond clair est la barre d"emplacement : le "crayon" permet de basculer entre le mode "boutons" pour naviguer parmi le chemin de l'emplacement, et le mode "texte" où le chemin peut être édité à la main. | " => suggestions : ['\xa0»', '”']
87 Guillemets typographiques ouvrants. => La suite de partie sur fond clair est la barre d"emplacement : le "crayon" permet de basculer entre le mode "boutons" pour naviguer parmi le chemin de l'emplacement, et le mode "texte" où le chemin peut être édité à la main. | " => suggestions : ['«\xa0', '“']
87 Guillemets typographiques fermants. => La suite de partie sur fond clair est la barre d"emplacement : le "crayon" permet de basculer entre le mode "boutons" pour naviguer parmi le chemin de l'emplacement, et le mode "texte" où le chemin peut être édité à la main. | " => suggestions : ['\xa0»', '”']
87 Guillemets typographiques ouvrants. => La suite de partie sur fond clair est la barre d"emplacement : le "crayon" permet de basculer entre le mode "boutons" pour naviguer parmi le chemin de l'emplacement, et le mode "texte" où le chemin peut être édité à la main. | " => suggestions : ['«\xa0', '“']
87 Guillemets typographiques fermants. => La suite de partie sur fond clair est la barre d"emplacement : le "crayon" permet de basculer entre le mode "boutons" pour naviguer parmi le chemin de l'emplacement, et le mode "texte" où le chemin peut être édité à la main. | " => suggestions : ['\xa0»', '”']
97 Mot inconnu : Caja => Attention, le gestionnaire de fichiers est un élément central de l'environnement de bureau ! Assurez-vous d'avoir installé et défini par défaut un autre gestionnaire de fichiers **avant** de désinstaller //Caja//. | caja

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://mate-desktop.org/fr/ |    => suggestions : ['']

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://ubuntu-mate.org/ |    => suggestions : ['']
