5 Mot inconnu : the [[24:27]] => ====== Utilisation de « the Qemu emulator » ====== <|> the
38 Mot inconnu : Qemu [[37:41]] => Aller dans la fenêtre de l'émulateur Qemu en cliquant dessus. <|> qemu
40 Mot inconnu : alt [[45:48]] => Pour quitter la console virtuelle : **Ctrl + alt** <|> alt

42 Mot inconnu : Qemu [[42:46]] => Pour le mode plein écran (plus rapide) de Qemu : **Ctrl + alt + f** <|> qemu
42 Mot inconnu : alt [[58:61]] => Pour le mode plein écran (plus rapide) de Qemu : **Ctrl + alt + f** <|> alt

58 Si “Go//” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[38:45]] => Cette commande créera un //fichier de 10 Go// qui deviendra un disque virtuel. Cette taille est exagérée si vous voulez juste essayer la distribution, une installation basique utilise environ de 1.5 Go d'espace disque, et comptez 3 à 4 Go pour le reste des fichiers. <|> 10 go// => suggestions : None

68 Mot inconnu : ubuntuimage [[61:72]] => Cette commande définit le disque dur virtuel comme l'image //ubuntuimage// (créée précédemment), le cédérom avec l'image ISO de notre cédérom téléchargé //ubuntu-i386.iso// (à adapter en fonction de l'image téléchargée), indique comme taille de mémoire RAM //1024//, et enfin définit l'option de démarrage sur le lecteur //d//, qui est ici le lecteur de cédérom virtuel. <|> ubuntuimage
68 Mot inconnu : ubuntu-i386 [[155:166]] => Cette commande définit le disque dur virtuel comme l'image //ubuntuimage// (créée précédemment), le cédérom avec l'image ISO de notre cédérom téléchargé //ubuntu-i386.iso// (à adapter en fonction de l'image téléchargée), indique comme taille de mémoire RAM //1024//, et enfin définit l'option de démarrage sur le lecteur //d//, qui est ici le lecteur de cédérom virtuel. <|> ubuntu-i386
68 Mot inconnu : iso [[167:170]] => Cette commande définit le disque dur virtuel comme l'image //ubuntuimage// (créée précédemment), le cédérom avec l'image ISO de notre cédérom téléchargé //ubuntu-i386.iso// (à adapter en fonction de l'image téléchargée), indique comme taille de mémoire RAM //1024//, et enfin définit l'option de démarrage sur le lecteur //d//, qui est ici le lecteur de cédérom virtuel. <|> iso

72 Mot inconnu : instalation [[45:56]] => L'installation de Ubuntu devrait démarrer. L'instalation devrait se dérouler normalement exepté au redémarage où il faudra retirer l'iso : <|> instalation
72 Mot inconnu : exepté [[89:95]] => L'installation de Ubuntu devrait démarrer. L'instalation devrait se dérouler normalement exepté au redémarage où il faudra retirer l'iso : <|> exepté
72 Mot inconnu : redémarage [[99:109]] => L'installation de Ubuntu devrait démarrer. L'instalation devrait se dérouler normalement exepté au redémarage où il faudra retirer l'iso : <|> redémarage
72 Mot inconnu : iso [[133:136]] => L'installation de Ubuntu devrait démarrer. L'instalation devrait se dérouler normalement exepté au redémarage où il faudra retirer l'iso : <|> iso

85 Mot inconnu : Qemu [[71:75]] => C'est également un bon outil pour la gestion de système paranoïaque. **Qemu** peut avoir une image inaltérable de disque avec un dossier séparé de secours, au cas où vous voulez tester l'installation de paquets intrusifs (ou examiner vos propres paquets pour s'assurer qu'ils ne cassent pas le système) sans toucher réellement votre vrai système. <|> qemu

95 Mot inconnu : qemu [[74:78]] => Pour avoir accès au réseau depuis sa machine virtuelle il faut configurer qemu pour qu'il intègre une carte réseau dans la machine virtuelle. <|> qemu

104 Mot inconnu : smb [[87:90]] => Vérifiez que vous pouvez vous accéder à votre partage directement sous Ubuntu (adresse smb:%%//127.0.0.1%% sous Nautilus). <|> smb

122 Accord de nombre erroné : « version » devrait être au pluriel. [[25:32]] => <note important>Pour les version antérieure à 10.10 le répertoire **/dev/bus/usb** doit être remplacé par **/proc/bus/usb**</note> <|> version => suggestions : None
122 Mot inconnu : proc [[109:113]] => <note important>Pour les version antérieure à 10.10 le répertoire **/dev/bus/usb** doit être remplacé par **/proc/bus/usb**</note> <|> proc

127 Mot inconnu : ACPI [[7:11]] => ==== L'ACPI ralentit énormément la machine virtuelle ==== <|> acpi

140 Espace(s) en fin de ligne à supprimer. [[63:64]] => N'allouez pas plus de la moitié de la mémoire de votre système.  <|>   => suggestions : None

142 Mot inconnu : qemu [[19:23]] => ==== La console de qemu ==== <|> qemu

143 Mot inconnu : qemu [[69:73]] => Il est possible d'employer de nombreuses commandes via la console de qemu accessible via le raccourci  clavier CTRL+ALT+SHIFT+2 . (Pour retourner dans la vm le raccourci est CTRL+ALT+SHIFT+1) <|> qemu
143 Espace(s) surnuméraire(s) à supprimer. [[101:103]] => Il est possible d'employer de nombreuses commandes via la console de qemu accessible via le raccourci  clavier CTRL+ALT+SHIFT+2 . (Pour retourner dans la vm le raccourci est CTRL+ALT+SHIFT+1) <|>    => suggestions : None
143 Mot inconnu : SHIFT [[120:125]] => Il est possible d'employer de nombreuses commandes via la console de qemu accessible via le raccourci  clavier CTRL+ALT+SHIFT+2 . (Pour retourner dans la vm le raccourci est CTRL+ALT+SHIFT+1) <|> shift
143 Pas d’espace avant un point. [[127:129]] => Il est possible d'employer de nombreuses commandes via la console de qemu accessible via le raccourci  clavier CTRL+ALT+SHIFT+2 . (Pour retourner dans la vm le raccourci est CTRL+ALT+SHIFT+1) <|>  . => suggestions : None
143 Mot inconnu : vm [[154:156]] => Il est possible d'employer de nombreuses commandes via la console de qemu accessible via le raccourci  clavier CTRL+ALT+SHIFT+2 . (Pour retourner dans la vm le raccourci est CTRL+ALT+SHIFT+1) <|> vm
143 Mot inconnu : SHIFT [[183:188]] => Il est possible d'employer de nombreuses commandes via la console de qemu accessible via le raccourci  clavier CTRL+ALT+SHIFT+2 . (Pour retourner dans la vm le raccourci est CTRL+ALT+SHIFT+1) <|> shift

146 Mot inconnu : qemu [[46:50]] => Exécutez la commande suivante dans la console qemu afin de connaître les périphériques: <|> qemu

159 Accord de genre erroné : « cd » est féminin. [[8:10]] => Éjectez le cd (dans certains cas le nom //ide1-cd0// est à remplacer par //cdrom//) : <|> le => suggestions : None
159 Mot inconnu : ide1-cd0 [[42:50]] => Éjectez le cd (dans certains cas le nom //ide1-cd0// est à remplacer par //cdrom//) : <|> ide1-cd0

168 Accord de genre erroné : « le nouveau » est masculin, « cd » est féminin. [[18:20]] => Montez le nouveau cd: <|> cd => suggestions : None

177 Conjugaison erronée. Accord avec “Cette procédure…”. Le verbe devrait être à la 3ᵉ personne du singulier. [[16:20]] => Cette procédure peux s'appliquer à d'autres périphériques. <|> peux => suggestions : None
180 Mot inconnu : qemu-launcher [[41:54]] => ==== Installer une interface graphique : qemu-launcher ==== <|> qemu-launcher

184 Mot inconnu : VFIO [[5:9]] => ==== VFIO Passthrough ==== <|> vfio
184 Mot inconnu : Passthrough [[10:21]] => ==== VFIO Passthrough ==== <|> passthrough
