
3 Mot inconnu : tmpfs => ====== tmpfs ====== | tmpfs
41 Si “Mio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => <note important>N'hésitez pas à adapter à vos besoins l'espace en Mio (ici 32) dévolu à /tmp. En effet certains programmes demanderont plus d'espace.\\ Et avant une mise à niveau - qui exige **beaucoup** plus de 32 Mio - commentez (ou supprimez) cette ligne et redémarrez. | 32 mio => suggestions : ['32\xa0Mio']
41 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => <note important>N'hésitez pas à adapter à vos besoins l'espace en Mio (ici 32) dévolu à /tmp. En effet certains programmes demanderont plus d'espace.\\ Et avant une mise à niveau - qui exige **beaucoup** plus de 32 Mio - commentez (ou supprimez) cette ligne et redémarrez. |  -  => suggestions : [' – ', ' — ', ' − ']

43 Mot inconnu : default => \\ Attention au **s** de default**s**  | default
43 Espace(s) en fin de ligne à supprimer. => \\ Attention au **s** de default**s**  |   => suggestions : ['']

45 Mot inconnu : tmpfs => Pour un tmpfs de 1 Gio la syntaxe est //size=1g// | tmpfs
45 Si “Gio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Pour un tmpfs de 1 Gio la syntaxe est //size=1g// | 1 gio => suggestions : ['1\xa0Gio']
45 Mot inconnu : size => Pour un tmpfs de 1 Gio la syntaxe est //size=1g// | size

48 Mot inconnu : tmpfs => ==== Créer un tmpfs personnalisé ==== | tmpfs

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo mkdir /media/virtuelram |    => suggestions : ['']
52 Mot inconnu : sudo =>   sudo mkdir /media/virtuelram | sudo
52 Mot inconnu : mkdir =>   sudo mkdir /media/virtuelram | mkdir
52 Mot inconnu : virtuelram =>   sudo mkdir /media/virtuelram | virtuelram

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chmod 777 /media/virtuelram |    => suggestions : ['']
59 Mot inconnu : sudo =>   sudo chmod 777 /media/virtuelram | sudo
59 Mot inconnu : chmod =>   sudo chmod 777 /media/virtuelram | chmod
59 Mot inconnu : virtuelram =>   sudo chmod 777 /media/virtuelram | virtuelram

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

61 Mot inconnu : sticky => Si le répertoire est accessible en écriture pour tout le monde (comme c’est le cas pour /tmp) on a intérêt à positionner le //sticky bit//  afin qu’un utilisateur ne puisse pas supprimer les fichiers des autres : | sticky

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chmod 1777 /media/virtuelram |    => suggestions : ['']
63 Mot inconnu : sudo =>   sudo chmod 1777 /media/virtuelram | sudo
63 Mot inconnu : chmod =>   sudo chmod 1777 /media/virtuelram | chmod
63 Mot inconnu : virtuelram =>   sudo chmod 1777 /media/virtuelram | virtuelram
67 Espace(s) en fin de ligne à supprimer. => Si vous voulez le monter ponctuellement :  |   => suggestions : ['']

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo mount -t tmpfs -o size=512M tmpfs /media/virtuelram |    => suggestions : ['']
68 Mot inconnu : sudo =>   sudo mount -t tmpfs -o size=512M tmpfs /media/virtuelram | sudo
68 Mot inconnu : mount =>   sudo mount -t tmpfs -o size=512M tmpfs /media/virtuelram | mount
68 Mot inconnu : tmpfs =>   sudo mount -t tmpfs -o size=512M tmpfs /media/virtuelram | tmpfs
68 Il manque un espace à côté du tiret. =>   sudo mount -t tmpfs -o size=512M tmpfs /media/virtuelram |  - => suggestions : [' – ', ' — ']
68 Mot inconnu : size =>   sudo mount -t tmpfs -o size=512M tmpfs /media/virtuelram | size
68 Mot inconnu : tmpfs =>   sudo mount -t tmpfs -o size=512M tmpfs /media/virtuelram | tmpfs
68 Mot inconnu : virtuelram =>   sudo mount -t tmpfs -o size=512M tmpfs /media/virtuelram | virtuelram

69 Mot inconnu : size => l'option size permet de définir la quantité de mémoire allouée. | size

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   tmpfs /media/virtuelram tmpfs defaults,size=512M 0 0 |    => suggestions : ['']
79 Mot inconnu : tmpfs =>   tmpfs /media/virtuelram tmpfs defaults,size=512M 0 0 | tmpfs
79 Mot inconnu : virtuelram =>   tmpfs /media/virtuelram tmpfs defaults,size=512M 0 0 | virtuelram
79 Mot inconnu : tmpfs =>   tmpfs /media/virtuelram tmpfs defaults,size=512M 0 0 | tmpfs
79 Mot inconnu : defaults =>   tmpfs /media/virtuelram tmpfs defaults,size=512M 0 0 | defaults
79 Il manque un espace. =>   tmpfs /media/virtuelram tmpfs defaults,size=512M 0 0 | size => suggestions : [' size']
79 Mot inconnu : size =>   tmpfs /media/virtuelram tmpfs defaults,size=512M 0 0 | size

80 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => pour 512 Mo | 512 mo => suggestions : ['512\xa0Mo']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   tmpfs /media/virtuelram tmpfs defaults,size=1g 0 0 |    => suggestions : ['']
82 Mot inconnu : tmpfs =>   tmpfs /media/virtuelram tmpfs defaults,size=1g 0 0 | tmpfs
82 Mot inconnu : virtuelram =>   tmpfs /media/virtuelram tmpfs defaults,size=1g 0 0 | virtuelram
82 Mot inconnu : tmpfs =>   tmpfs /media/virtuelram tmpfs defaults,size=1g 0 0 | tmpfs
82 Mot inconnu : defaults =>   tmpfs /media/virtuelram tmpfs defaults,size=1g 0 0 | defaults
82 Il manque un espace. =>   tmpfs /media/virtuelram tmpfs defaults,size=1g 0 0 | size => suggestions : [' size']
82 Mot inconnu : size =>   tmpfs /media/virtuelram tmpfs defaults,size=1g 0 0 | size

85 Un seul point après « etc. » => etc… | etc… => suggestions : ['etc.']

87 Mot inconnu : tmpfs => === Voir les tmpfs === | tmpfs

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

94 S’il s’agit d’un impératif, la terminaison est “is”, non “it”. => contient des fichiers temporaires qui de toutes façons s'effacent au redémarrage, donc c'est sans risque de perte de données. | contient => suggestions : ['contiens']

103 Mot inconnu : tmpfs => Sous ce titre un peu racoleur, il s'agit de placer le cache en tmpfs. | tmpfs

117 Pas d’espace insécable après le signe “:”. => Source : https://wiki.archlinux.org/index.php/Firefox_Ramdisk | :  => suggestions : [': ']

122 Mot inconnu : fstab => Via une ligne de ce genre dans le fichier **fstab** :\\ | fstab

126 Mot inconnu : tmpfs => tmpfs	/home/utilisateur/.cache/microsoft-edge/Default/Cache	tmpfs</code> | tmpfs
126 Mot inconnu : tmpfs => tmpfs	/home/utilisateur/.cache/microsoft-edge/Default/Cache	tmpfs</code> | tmpfs

133 Mot inconnu : divx => La conversion des fichiers en divx, le rippage des CD, DVD etc ... sont nettement plus rapides en mémoire vive. | divx
133 Mot inconnu : rippage => La conversion des fichiers en divx, le rippage des CD, DVD etc ... sont nettement plus rapides en mémoire vive. | rippage
133 Typographie : points de suspension. Utilisez le caractère dédié. => La conversion des fichiers en divx, le rippage des CD, DVD etc ... sont nettement plus rapides en mémoire vive. | ... => suggestions : ['…']

134 Un seul point après « etc. » => Etc... | etc... => suggestions : ['Etc.']

136 Mot inconnu : rc => ===== L'utilité des fichiers rc.local et rc.local.shutdown ===== | rc
136 Il manque un espace. => ===== L'utilité des fichiers rc.local et rc.local.shutdown ===== | local => suggestions : [' local']
136 Il manque un espace. => ===== L'utilité des fichiers rc.local et rc.local.shutdown ===== | local => suggestions : [' local']

139 Mot inconnu : tmpfs => utile pour améliorer l'utilisation de tmpfs (Vous pouvez par exemple copier des fichiers au démarrage dans votre tmpfs, ou les copier en dehors avant l'extinction automatiquement via ces deux scripts). | tmpfs
139 Mot inconnu : tmpfs => utile pour améliorer l'utilisation de tmpfs (Vous pouvez par exemple copier des fichiers au démarrage dans votre tmpfs, ou les copier en dehors avant l'extinction automatiquement via ces deux scripts). | tmpfs

142 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Vidéo**: [[https://www.youtube.com/watch?v=NCb4B0DAErc|Comprendre l’intérêt d'une RAM]] |    => suggestions : ['']
