
4 Mot inconnu : OCS => ====== OCS Inventory  ====== | ocs
13 Mot inconnu : OCS => OCS Inventory est un logiciel sous licence **[[http://www.opensource.org/licenses/gpl-license.php|GPL]]**, Libre à l'utilisation et à la copie . **OCS Inventory** est aussi Open Source! Si vous   désirez modifier les sources, vous pouvez! Cependant, si vous voulez mettre à jour le code source pour le distribuer, vous devez fournir vos mises à jour en vertu des conditions de licence  de GPL. | ocs
13 Mot inconnu : Inventory => OCS Inventory est un logiciel sous licence **[[http://www.opensource.org/licenses/gpl-license.php|GPL]]**, Libre à l'utilisation et à la copie . **OCS Inventory** est aussi Open Source! Si vous   désirez modifier les sources, vous pouvez! Cependant, si vous voulez mettre à jour le code source pour le distribuer, vous devez fournir vos mises à jour en vertu des conditions de licence  de GPL. | inventory
13 Pas d’espace avant un point. => OCS Inventory est un logiciel sous licence **[[http://www.opensource.org/licenses/gpl-license.php|GPL]]**, Libre à l'utilisation et à la copie . **OCS Inventory** est aussi Open Source! Si vous   désirez modifier les sources, vous pouvez! Cependant, si vous voulez mettre à jour le code source pour le distribuer, vous devez fournir vos mises à jour en vertu des conditions de licence  de GPL. |  . => suggestions : ['.']
13 Mot inconnu : OCS => OCS Inventory est un logiciel sous licence **[[http://www.opensource.org/licenses/gpl-license.php|GPL]]**, Libre à l'utilisation et à la copie . **OCS Inventory** est aussi Open Source! Si vous   désirez modifier les sources, vous pouvez! Cependant, si vous voulez mettre à jour le code source pour le distribuer, vous devez fournir vos mises à jour en vertu des conditions de licence  de GPL. | ocs
13 Mot inconnu : Inventory => OCS Inventory est un logiciel sous licence **[[http://www.opensource.org/licenses/gpl-license.php|GPL]]**, Libre à l'utilisation et à la copie . **OCS Inventory** est aussi Open Source! Si vous   désirez modifier les sources, vous pouvez! Cependant, si vous voulez mettre à jour le code source pour le distribuer, vous devez fournir vos mises à jour en vertu des conditions de licence  de GPL. | inventory
13 Espace(s) surnuméraire(s) à supprimer. => OCS Inventory est un logiciel sous licence **[[http://www.opensource.org/licenses/gpl-license.php|GPL]]**, Libre à l'utilisation et à la copie . **OCS Inventory** est aussi Open Source! Si vous   désirez modifier les sources, vous pouvez! Cependant, si vous voulez mettre à jour le code source pour le distribuer, vous devez fournir vos mises à jour en vertu des conditions de licence  de GPL. |     => suggestions : [' ']
13 Espace(s) surnuméraire(s) à supprimer. => OCS Inventory est un logiciel sous licence **[[http://www.opensource.org/licenses/gpl-license.php|GPL]]**, Libre à l'utilisation et à la copie . **OCS Inventory** est aussi Open Source! Si vous   désirez modifier les sources, vous pouvez! Cependant, si vous voulez mettre à jour le code source pour le distribuer, vous devez fournir vos mises à jour en vertu des conditions de licence  de GPL. |    => suggestions : [' ']

15 Mot inconnu : OCS => OCS Inventory supporte les langages suivants :  | ocs
15 Mot inconnu : Inventory => OCS Inventory supporte les langages suivants :  | inventory
15 Espace(s) en fin de ligne à supprimer. => OCS Inventory supporte les langages suivants :  |   => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Portuguais |    => suggestions : ['']
16 Mot inconnu : Portuguais =>   * Portuguais | portuguais

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Anglais |    => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Français |    => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Allemand |    => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Hongrois |    => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Italien |    => suggestions : ['']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Polonais |    => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Portuguais |    => suggestions : ['']
23 Mot inconnu : Portuguais =>   * Portuguais | portuguais

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Espagnol |    => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Russe |    => suggestions : ['']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Turque |    => suggestions : ['']
27 Pas d’espace avant une virgule. => Utilisé avec le logiciel de gestion de parc tel que **[[http://www.glpi-project.org|GLPI]]** , vous aurez un logiciel puissant de gestion d'inventaire et d'information de ressource avec les mises à  |  , => suggestions : [',']
27 Espace(s) en fin de ligne à supprimer. => Utilisé avec le logiciel de gestion de parc tel que **[[http://www.glpi-project.org|GLPI]]** , vous aurez un logiciel puissant de gestion d'inventaire et d'information de ressource avec les mises à  |   => suggestions : ['']

28 Accord de nombre erroné avec « automatiques ». => jour automatiques de la configuration d'ordinateur, de la gestion de licences, du HELPDESK, de la base de connaissance et plus. | jour => suggestions : ['jours']
28 Accord de nombre erroné avec « jour ». => jour automatiques de la configuration d'ordinateur, de la gestion de licences, du HELPDESK, de la base de connaissance et plus. | automatiques => suggestions : ['automatique']
28 Mot inconnu : HELPDESK => jour automatiques de la configuration d'ordinateur, de la gestion de licences, du HELPDESK, de la base de connaissance et plus. | helpdesk

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo su -c ' echo ServerName www.monsite.tld >> /etc/apache2/apache2.conf' |    => suggestions : ['']
45 Mot inconnu : sudo =>   sudo su -c ' echo ServerName www.monsite.tld >> /etc/apache2/apache2.conf' | sudo
45 Il manque un espace à côté du tiret. =>   sudo su -c ' echo ServerName www.monsite.tld >> /etc/apache2/apache2.conf' |  - => suggestions : [' – ', ' — ']
45 Mot inconnu : echo =>   sudo su -c ' echo ServerName www.monsite.tld >> /etc/apache2/apache2.conf' | echo
45 Mot inconnu : ServerName =>   sudo su -c ' echo ServerName www.monsite.tld >> /etc/apache2/apache2.conf' | servername

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo /etc/init.d/apache2 reload |    => suggestions : ['']
46 Mot inconnu : sudo =>   sudo /etc/init.d/apache2 reload | sudo
46 Mot inconnu : reload =>   sudo /etc/init.d/apache2 reload | reload

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo su -c ' echo "<?php" > /var/www/html/info.php' |    => suggestions : ['']
51 Mot inconnu : sudo =>   sudo su -c ' echo "<?php" > /var/www/html/info.php' | sudo
51 Il manque un espace à côté du tiret. =>   sudo su -c ' echo "<?php" > /var/www/html/info.php' |  - => suggestions : [' – ', ' — ']
51 Mot inconnu : echo =>   sudo su -c ' echo "<?php" > /var/www/html/info.php' | echo
51 Il manque un espace. =>   sudo su -c ' echo "<?php" > /var/www/html/info.php' | php => suggestions : [' php']
51 Mot inconnu : php =>   sudo su -c ' echo "<?php" > /var/www/html/info.php' | php
51 Guillemets typographiques fermants. =>   sudo su -c ' echo "<?php" > /var/www/html/info.php' | " => suggestions : ['\xa0»', '”']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo su -c ' echo "  phpinfo()" >> /var/www/html/info.php' |    => suggestions : ['']
52 Mot inconnu : sudo =>   sudo su -c ' echo "  phpinfo()" >> /var/www/html/info.php' | sudo
52 Il manque un espace à côté du tiret. =>   sudo su -c ' echo "  phpinfo()" >> /var/www/html/info.php' |  - => suggestions : [' – ', ' — ']
52 Mot inconnu : echo =>   sudo su -c ' echo "  phpinfo()" >> /var/www/html/info.php' | echo
52 Guillemets isolés. =>   sudo su -c ' echo "  phpinfo()" >> /var/www/html/info.php' |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
52 Mot inconnu : phpinfo =>   sudo su -c ' echo "  phpinfo()" >> /var/www/html/info.php' | phpinfo

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo su -c ' echo "?>" >> /var/www/html/info.php' |    => suggestions : ['']
53 Mot inconnu : sudo =>   sudo su -c ' echo "?>" >> /var/www/html/info.php' | sudo
53 Il manque un espace à côté du tiret. =>   sudo su -c ' echo "?>" >> /var/www/html/info.php' |  - => suggestions : [' – ', ' — ']
53 Mot inconnu : echo =>   sudo su -c ' echo "?>" >> /var/www/html/info.php' | echo
53 Guillemets fermants. =>   sudo su -c ' echo "?>" >> /var/www/html/info.php' |  " => suggestions : ['\xa0»', '”']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo /etc/init.d/apache2 reload |    => suggestions : ['']
54 Mot inconnu : sudo =>   sudo /etc/init.d/apache2 reload | sudo
54 Mot inconnu : reload =>   sudo /etc/init.d/apache2 reload | reload

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apache2ctl restart |    => suggestions : ['']
60 Mot inconnu : sudo =>   sudo apache2ctl restart | sudo
60 Mot inconnu : apache2ctl =>   sudo apache2ctl restart | apache2ctl
60 Mot inconnu : restart =>   sudo apache2ctl restart | restart

68 Mot inconnu : FQDN => de choisir HTTP comme mode et de mettre l'IP ou le FQDN de votre serveur.\\ | fqdn

75 Mot inconnu : logrotate => ===== Erreur avec logrotate ===== | logrotate

76 Mot inconnu : logrotate => Les administrateurs qui utilisent logrotate peuvent recevoir ce message: | logrotate

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /etc/cron.daily/logrotate: |    => suggestions : ['']

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   error: ocsinventory-NG:18 lines must begin with a keyword or a filename (possibly in double quotes) |    => suggestions : ['']
78 Mot inconnu : error =>   error: ocsinventory-NG:18 lines must begin with a keyword or a filename (possibly in double quotes) | error
78 Mot inconnu : ocsinventory-NG =>   error: ocsinventory-NG:18 lines must begin with a keyword or a filename (possibly in double quotes) | ocsinventory-ng
78 Il manque un espace. =>   error: ocsinventory-NG:18 lines must begin with a keyword or a filename (possibly in double quotes) | 18 => suggestions : [' 18']
78 Mot inconnu : lines =>   error: ocsinventory-NG:18 lines must begin with a keyword or a filename (possibly in double quotes) | lines
78 Mot inconnu : begin =>   error: ocsinventory-NG:18 lines must begin with a keyword or a filename (possibly in double quotes) | begin
78 Mot inconnu : with =>   error: ocsinventory-NG:18 lines must begin with a keyword or a filename (possibly in double quotes) | with
78 Mot inconnu : keyword =>   error: ocsinventory-NG:18 lines must begin with a keyword or a filename (possibly in double quotes) | keyword
78 Mot inconnu : filename =>   error: ocsinventory-NG:18 lines must begin with a keyword or a filename (possibly in double quotes) | filename
78 Mot inconnu : possibly =>   error: ocsinventory-NG:18 lines must begin with a keyword or a filename (possibly in double quotes) | possibly
78 Mot inconnu : quotes =>   error: ocsinventory-NG:18 lines must begin with a keyword or a filename (possibly in double quotes) | quotes

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   error: ocsinventory-NG:19 unexpected text |    => suggestions : ['']
79 Mot inconnu : error =>   error: ocsinventory-NG:19 unexpected text | error
79 Mot inconnu : ocsinventory-NG =>   error: ocsinventory-NG:19 unexpected text | ocsinventory-ng
79 Il manque un espace. =>   error: ocsinventory-NG:19 unexpected text | 19 => suggestions : [' 19']
79 Mot inconnu : unexpected =>   error: ocsinventory-NG:19 unexpected text | unexpected
79 Mot inconnu : text =>   error: ocsinventory-NG:19 unexpected text | text

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   error: ocsinventory-NG:20 unexpected text |    => suggestions : ['']
80 Mot inconnu : error =>   error: ocsinventory-NG:20 unexpected text | error
80 Mot inconnu : ocsinventory-NG =>   error: ocsinventory-NG:20 unexpected text | ocsinventory-ng
80 Il manque un espace. =>   error: ocsinventory-NG:20 unexpected text | 20 => suggestions : [' 20']
80 Mot inconnu : unexpected =>   error: ocsinventory-NG:20 unexpected text | unexpected
80 Mot inconnu : text =>   error: ocsinventory-NG:20 unexpected text | text

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   error: ocsinventory-NG:21 unexpected text |    => suggestions : ['']
81 Mot inconnu : error =>   error: ocsinventory-NG:21 unexpected text | error
81 Mot inconnu : ocsinventory-NG =>   error: ocsinventory-NG:21 unexpected text | ocsinventory-ng
81 Il manque un espace. =>   error: ocsinventory-NG:21 unexpected text | 21 => suggestions : [' 21']
81 Mot inconnu : unexpected =>   error: ocsinventory-NG:21 unexpected text | unexpected
81 Mot inconnu : text =>   error: ocsinventory-NG:21 unexpected text | text

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   error: ocsinventory-NG:22 unexpected text |    => suggestions : ['']
82 Mot inconnu : error =>   error: ocsinventory-NG:22 unexpected text | error
82 Mot inconnu : ocsinventory-NG =>   error: ocsinventory-NG:22 unexpected text | ocsinventory-ng
82 Il manque un espace. =>   error: ocsinventory-NG:22 unexpected text | 22 => suggestions : [' 22']
82 Mot inconnu : unexpected =>   error: ocsinventory-NG:22 unexpected text | unexpected
82 Mot inconnu : text =>   error: ocsinventory-NG:22 unexpected text | text

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   error: ocsinventory-NG:23 unexpected text |    => suggestions : ['']
83 Mot inconnu : error =>   error: ocsinventory-NG:23 unexpected text | error
83 Mot inconnu : ocsinventory-NG =>   error: ocsinventory-NG:23 unexpected text | ocsinventory-ng
83 Il manque un espace. =>   error: ocsinventory-NG:23 unexpected text | 23 => suggestions : [' 23']
83 Mot inconnu : unexpected =>   error: ocsinventory-NG:23 unexpected text | unexpected
83 Mot inconnu : text =>   error: ocsinventory-NG:23 unexpected text | text

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   error: ocsinventory-NG:24, unexpected text after { |    => suggestions : ['']
84 Mot inconnu : error =>   error: ocsinventory-NG:24, unexpected text after { | error
84 Mot inconnu : ocsinventory-NG =>   error: ocsinventory-NG:24, unexpected text after { | ocsinventory-ng
84 Il manque un espace. =>   error: ocsinventory-NG:24, unexpected text after { | 24 => suggestions : [' 24']
84 Mot inconnu : unexpected =>   error: ocsinventory-NG:24, unexpected text after { | unexpected
84 Mot inconnu : text =>   error: ocsinventory-NG:24, unexpected text after { | text

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   error: ocsinventory-NG:24 lines must begin with a keyword or a filename (possibly in double quotes) |    => suggestions : ['']
85 Mot inconnu : error =>   error: ocsinventory-NG:24 lines must begin with a keyword or a filename (possibly in double quotes) | error
85 Mot inconnu : ocsinventory-NG =>   error: ocsinventory-NG:24 lines must begin with a keyword or a filename (possibly in double quotes) | ocsinventory-ng
85 Il manque un espace. =>   error: ocsinventory-NG:24 lines must begin with a keyword or a filename (possibly in double quotes) | 24 => suggestions : [' 24']
85 Mot inconnu : lines =>   error: ocsinventory-NG:24 lines must begin with a keyword or a filename (possibly in double quotes) | lines
85 Mot inconnu : begin =>   error: ocsinventory-NG:24 lines must begin with a keyword or a filename (possibly in double quotes) | begin
85 Mot inconnu : with =>   error: ocsinventory-NG:24 lines must begin with a keyword or a filename (possibly in double quotes) | with
85 Mot inconnu : keyword =>   error: ocsinventory-NG:24 lines must begin with a keyword or a filename (possibly in double quotes) | keyword
85 Mot inconnu : filename =>   error: ocsinventory-NG:24 lines must begin with a keyword or a filename (possibly in double quotes) | filename
85 Mot inconnu : possibly =>   error: ocsinventory-NG:24 lines must begin with a keyword or a filename (possibly in double quotes) | possibly
85 Mot inconnu : quotes =>   error: ocsinventory-NG:24 lines must begin with a keyword or a filename (possibly in double quotes) | quotes

87 Mot inconnu : ocsinventory-NG => Cette erreur est due au format du fichier //ocsinventory-NG// qui se trouve dans ///etc/logrotate.d// .\\ | ocsinventory-ng

88 Mot inconnu : unix => Le fichier est au format MS-DOS et il faut donc reconvertir le fichier au format unix.\\ | unix

89 Mot inconnu : dos2unix => Pour ce faire vous pouvez utiliser //dos2unix// ou alors éditer le fichier pour le réécrire au format unix. | dos2unix
89 Mot inconnu : unix => Pour ce faire vous pouvez utiliser //dos2unix// ou alors éditer le fichier pour le réécrire au format unix. | unix

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://ocsinventory-ng.org/?lang=fr|Site officiel]] |    => suggestions : ['']
