
5 Mot inconnu : KRename => ====== KRename ou comment renommer en masse avec KDE ====== | krename
170 Mot inconnu : Spokojno =>    * **Transliteration Plugin :** transcrit des alphabets étrangers en caractères latins, par exemple "Спокойно, товарищ.ogg" est renommé "Spokojno, tovarish.ogg". | spokojno
170 Mot inconnu : tovarish =>    * **Transliteration Plugin :** transcrit des alphabets étrangers en caractères latins, par exemple "Спокойно, товарищ.ogg" est renommé "Spokojno, tovarish.ogg". | tovarish
170 Guillemets typographiques fermants. =>    * **Transliteration Plugin :** transcrit des alphabets étrangers en caractères latins, par exemple "Спокойно, товарищ.ogg" est renommé "Spokojno, tovarish.ogg". | " => suggestions : ['\xa0»', '”']

172 Typographie : points de suspension. Utilisez le caractère dédié. => Il est possible d'ajouter des scripts... mais je ne sais pas comment :-). | ... => suggestions : ['…']

181 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **1 :** Ligne permettant d'indiquer le type de noms que vous souhaitez pour vos fichiers. |     => suggestions : ['']

185 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **2 :** Permet de modifier l'extension des fichiers, de base, elle est grisée. Pour pouvoir la changer, il faut décocher la case **3**. |     => suggestions : ['']

187 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **3 :** Permet de modifier ou de conserver les extensions de fichiers. |     => suggestions : ['']

189 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **4 :** Permet de définir si l'extension commence au dernier point ou au 1er point. |     => suggestions : ['']
189 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. =>    * **4 :** Permet de définir si l'extension commence au dernier point ou au 1er point. | 1er => suggestions : ['1ᵉʳ']
191 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => >**Exemple d'utilisation :** le dernier point : .zip |  . => suggestions : ['. ', '.']
192 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => >**Exemple d'utilisation :** le premier point : .tar.gz. |  . => suggestions : ['. ', '.']
192 Mot inconnu : tar => >**Exemple d'utilisation :** le premier point : .tar.gz. | tar
192 Mot inconnu : gz => >**Exemple d'utilisation :** le premier point : .tar.gz. | gz

194 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **5 :** Cela renvoie à la fenêtre de recherche déjà vue. |     => suggestions : ['']

198 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **6 :** Cette fenêtre est vraiment pratique et propose des options qui n'existent pas dans le mode assistant. Cette option n'est accessible que si vous spécifiez un **#** dans le nom des fichiers. |     => suggestions : ['']

202 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * //1 :// Permet de choisir le nombre à partir duquel vous souhaitez commencer la numérotation. |        => suggestions : ['']

204 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * //2 :// Permet de choisir le nombre de chiffres entre chaque numéro de fichier. |        => suggestions : ['']
206 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => >**Exemple d'utilisation :** avec une incrémentation de 2, cela donne : fichier 1 - fichier 3 - fichier 5... |  -  => suggestions : [' – ', ' — ', ' − ']
206 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => >**Exemple d'utilisation :** avec une incrémentation de 2, cela donne : fichier 1 - fichier 3 - fichier 5... |  -  => suggestions : [' – ', ' — ', ' − ']
206 Typographie : points de suspension. Utilisez le caractère dédié. => >**Exemple d'utilisation :** avec une incrémentation de 2, cela donne : fichier 1 - fichier 3 - fichier 5... | ... => suggestions : ['…']

208 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * //3 :// Permet de renommer en masse des fichiers contenus dans différents dossiers de façon différente. |        => suggestions : ['']
210 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) => >**Exemple d'utilisation :** j'ai 10 dossiers contenant 9 fichiers, je souhaite renommer chaque fichier de façon : 1 - 2 - 3...9 dans chaque dossier. |  -  => suggestions : [' – ', ' — ', ' − ', ' −']
210 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) => >**Exemple d'utilisation :** j'ai 10 dossiers contenant 9 fichiers, je souhaite renommer chaque fichier de façon : 1 - 2 - 3...9 dans chaque dossier. |  -  => suggestions : [' – ', ' — ', ' − ', ' −']
210 Typographie : points de suspension. Utilisez le caractère dédié. => >**Exemple d'utilisation :** j'ai 10 dossiers contenant 9 fichiers, je souhaite renommer chaque fichier de façon : 1 - 2 - 3...9 dans chaque dossier. | ... => suggestions : ['…']
211 Typographie : points de suspension. Utilisez le caractère dédié. => >En tant normal cela donnerait : dossier 1 : 1...9 , dossier 2 : 10...18 , dossier 3 : 19...27 , dossier... | ... => suggestions : ['…']
211 Pas d’espace avant une virgule. => >En tant normal cela donnerait : dossier 1 : 1...9 , dossier 2 : 10...18 , dossier 3 : 19...27 , dossier... |  , => suggestions : [',']
211 Typographie : points de suspension. Utilisez le caractère dédié. => >En tant normal cela donnerait : dossier 1 : 1...9 , dossier 2 : 10...18 , dossier 3 : 19...27 , dossier... | ... => suggestions : ['…']
211 Pas d’espace avant une virgule. => >En tant normal cela donnerait : dossier 1 : 1...9 , dossier 2 : 10...18 , dossier 3 : 19...27 , dossier... |  , => suggestions : [',']
211 Typographie : points de suspension. Utilisez le caractère dédié. => >En tant normal cela donnerait : dossier 1 : 1...9 , dossier 2 : 10...18 , dossier 3 : 19...27 , dossier... | ... => suggestions : ['…']
211 Pas d’espace avant une virgule. => >En tant normal cela donnerait : dossier 1 : 1...9 , dossier 2 : 10...18 , dossier 3 : 19...27 , dossier... |  , => suggestions : [',']
211 Typographie : points de suspension. Utilisez le caractère dédié. => >En tant normal cela donnerait : dossier 1 : 1...9 , dossier 2 : 10...18 , dossier 3 : 19...27 , dossier... | ... => suggestions : ['…']
212 Typographie : points de suspension. Utilisez le caractère dédié. => >Grâce à cette case, cela va donner : dossier 1 : 1...9 , dossier 2 : 1...9 , dossier.... | ... => suggestions : ['…']
212 Pas d’espace avant une virgule. => >Grâce à cette case, cela va donner : dossier 1 : 1...9 , dossier 2 : 1...9 , dossier.... |  , => suggestions : [',']
212 Typographie : points de suspension. Utilisez le caractère dédié. => >Grâce à cette case, cela va donner : dossier 1 : 1...9 , dossier 2 : 1...9 , dossier.... | ... => suggestions : ['…']
212 Pas d’espace avant une virgule. => >Grâce à cette case, cela va donner : dossier 1 : 1...9 , dossier 2 : 1...9 , dossier.... |  , => suggestions : [',']
212 Typographie : points de suspension. Utilisez le caractère dédié. => >Grâce à cette case, cela va donner : dossier 1 : 1...9 , dossier 2 : 1...9 , dossier.... | .... => suggestions : ['…']

214 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * //4 :// Permet de sauter des nombres dans la numérotation, il suffit de taper le nombre et de faire ajouter. |        => suggestions : ['']

216 Mot inconnu : fichier10 => >**Exemple d'utilisation :** si dans mon dossier le fichier fichier10 existe, je vais le sauter afin que le logiciel crée : fichier9 et fichier11... | fichier10
216 Mot inconnu : fichier9 => >**Exemple d'utilisation :** si dans mon dossier le fichier fichier10 existe, je vais le sauter afin que le logiciel crée : fichier9 et fichier11... | fichier9
216 Mot inconnu : fichier11 => >**Exemple d'utilisation :** si dans mon dossier le fichier fichier10 existe, je vais le sauter afin que le logiciel crée : fichier9 et fichier11... | fichier11
216 Typographie : points de suspension. Utilisez le caractère dédié. => >**Exemple d'utilisation :** si dans mon dossier le fichier fichier10 existe, je vais le sauter afin que le logiciel crée : fichier9 et fichier11... | ... => suggestions : ['…']

218 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **7 :** Permet de ré-insérer une partie de l'ancien nom. Il vous faut sélectionner la partie du texte à insérer. Un simple clic ne prendra que ce qui se trouve après le clic. En cochant la case **Inverser la sélection**, ce qui ne sera pas surligné sera repris. |     => suggestions : ['']
220 Mot inconnu : fichierhizoka => >**Exemple d'utilisation :** si je sélectionne : **fichier** de l'ancien nom **fichierhizoka**, il me reprendra juste **fichier**. | fichierhizoka

221 Mot inconnu : hizoka => >**Exemple d'utilisation :** si je clique juste après le **r** de **fichier**, il reprendra **hizoka**. | hizoka

223 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **8 :** Permet de voir les anciens noms et les nouveaux noms de vos fichiers. |     => suggestions : ['']
237 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) => > **Exemple d'utilisation :** avec le fameux **#**, les noms deviennent : 1 - 2 – 3... |  -  => suggestions : [' – ', ' — ', ' − ', ' −']
237 Typographie : points de suspension. Utilisez le caractère dédié. => > **Exemple d'utilisation :** avec le fameux **#**, les noms deviennent : 1 - 2 – 3... | ... => suggestions : ['…']

239 Mot inconnu : dirname => >**Exemple d'utilisation :** avec **[$dirname]** et **[$dirname.]**, les fichiers prendront les noms des dossiers parents... | dirname
239 Mot inconnu : dirname => >**Exemple d'utilisation :** avec **[$dirname]** et **[$dirname.]**, les fichiers prendront les noms des dossiers parents... | dirname
239 Typographie : points de suspension. Utilisez le caractère dédié. => >**Exemple d'utilisation :** avec **[$dirname]** et **[$dirname.]**, les fichiers prendront les noms des dossiers parents... | ... => suggestions : ['…']

240 Accord de nombre erroné : « majuscules » devrait être au singulier. => >**Exemple d'utilisation :** avec ** * **, les mots prendront une majuscules... | majuscules => suggestions : ['majuscule']
240 Typographie : points de suspension. Utilisez le caractère dédié. => >**Exemple d'utilisation :** avec ** * **, les mots prendront une majuscules... | ... => suggestions : ['…']
241 Il manque un espace. => >**Exemple d'utilisation :** [$1;[#lenght-2]] , recopie le nom original à partir du premier caractère et retire les 2 derniers. | [ => suggestions : [' [']
241 Pas d’espace avant une virgule. => >**Exemple d'utilisation :** [$1;[#lenght-2]] , recopie le nom original à partir du premier caractère et retire les 2 derniers. |  , => suggestions : [',']

244 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => N'hésitez pas a changer de fenêtre en cliquant sur **Fonctions de base**, vous aurez des fonctions plus spécifiques. | a => suggestions : ['à']
244 Incohérence probable avec “a” : “changer” n’est pas un participe passé. => N'hésitez pas a changer de fenêtre en cliquant sur **Fonctions de base**, vous aurez des fonctions plus spécifiques. | changer => suggestions : ['changé']

246 Typographie : points de suspension. Utilisez le caractère dédié. => <note important>Cette partie peut-être franchement galère à appréhender... mais elle permet une fois maîtrisée un sacré gain de temps.</note> | ... => suggestions : ['…']

254 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.krename.net/|Site officiel de KRename [en]]] |    => suggestions : ['']
254 Mot inconnu : KRename =>   * [[http://www.krename.net/|Site officiel de KRename [en]]] | krename

255 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://prdownloads.sourceforge.net/krename/krename-3.0.3-fr.pdf?download|Documentation fr du site officiel [fr]]] |    => suggestions : ['']
