
3 Mot inconnu : Spyder => ====== Spyder / spyderlib====== | spyder
70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Éditeur de multiples instances tableau / liste / dictionnaire en un, permettant de comparer le contenu des variables |      => suggestions : ['']

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Visualisation des données |      => suggestions : ['']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Historique |      => suggestions : ['']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Inspecteur d'objets : |      => suggestions : ['']

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Intègre la documentation ou le code source de n'importe quel objet Python (classe, fonction, module, ...) |      => suggestions : ['']
74 Une de ces ponctuations est superflue. =>     * Intègre la documentation ou le code source de n'importe quel objet Python (classe, fonction, module, ...) | , . => suggestions : [',', '.']
74 Typographie : points de suspension. Utilisez le caractère dédié. =>     * Intègre la documentation ou le code source de n'importe quel objet Python (classe, fonction, module, ...) | ... => suggestions : ['…']

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * La documentation peut être affichée sous la forme d'une page HTML grâce au mode de texte polyvalent (fonctionne avec sphinx) |      => suggestions : ['']

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Aide en ligne : Documentation HTML automatiquement générée sur les modules Python installés |      => suggestions : ['']

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Trouver dans les fichiers : trouve les ressemblances avec des chaînes de caractère dans un répertoire, un répertoire mercurial ou directement dans le PYTHONPATH (expressions courantes et liste de chaînes de caractères inclues / exclues) |      => suggestions : ['']
77 Mot inconnu : mercurial =>     * Trouver dans les fichiers : trouve les ressemblances avec des chaînes de caractère dans un répertoire, un répertoire mercurial ou directement dans le PYTHONPATH (expressions courantes et liste de chaînes de caractères inclues / exclues) | mercurial
77 Mot inconnu : PYTHONPATH =>     * Trouver dans les fichiers : trouve les ressemblances avec des chaînes de caractère dans un répertoire, un répertoire mercurial ou directement dans le PYTHONPATH (expressions courantes et liste de chaînes de caractères inclues / exclues) | pythonpath

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Explorateur |      => suggestions : ['']

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Explorateur de projet (supporte l'import de projets PyDev) |      => suggestions : ['']
79 Mot inconnu : PyDev =>     * Explorateur de projet (supporte l'import de projets PyDev) | pydev

81 Mot inconnu : Spyder => Spyder peut aussi être utilisé comme une librairie d'extension PyQt4 ou PySide (module ‘spyderlib’). Par exemple, le widget shell interactif Python utilisé dans Spyder peut être intégré dans votre propre application PyQt4 ou PySide. | spyder
81 Mot inconnu : PyQt4 => Spyder peut aussi être utilisé comme une librairie d'extension PyQt4 ou PySide (module ‘spyderlib’). Par exemple, le widget shell interactif Python utilisé dans Spyder peut être intégré dans votre propre application PyQt4 ou PySide. | pyqt4
81 Mot inconnu : PySide => Spyder peut aussi être utilisé comme une librairie d'extension PyQt4 ou PySide (module ‘spyderlib’). Par exemple, le widget shell interactif Python utilisé dans Spyder peut être intégré dans votre propre application PyQt4 ou PySide. | pyside
81 Mot inconnu : spyderlib => Spyder peut aussi être utilisé comme une librairie d'extension PyQt4 ou PySide (module ‘spyderlib’). Par exemple, le widget shell interactif Python utilisé dans Spyder peut être intégré dans votre propre application PyQt4 ou PySide. | spyderlib
81 Mot inconnu : Spyder => Spyder peut aussi être utilisé comme une librairie d'extension PyQt4 ou PySide (module ‘spyderlib’). Par exemple, le widget shell interactif Python utilisé dans Spyder peut être intégré dans votre propre application PyQt4 ou PySide. | spyder
81 Mot inconnu : PyQt4 => Spyder peut aussi être utilisé comme une librairie d'extension PyQt4 ou PySide (module ‘spyderlib’). Par exemple, le widget shell interactif Python utilisé dans Spyder peut être intégré dans votre propre application PyQt4 ou PySide. | pyqt4
81 Mot inconnu : PySide => Spyder peut aussi être utilisé comme une librairie d'extension PyQt4 ou PySide (module ‘spyderlib’). Par exemple, le widget shell interactif Python utilisé dans Spyder peut être intégré dans votre propre application PyQt4 ou PySide. | pyside

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://pypi.python.org/pypi/spyder| Spyder sur le site de référence python.org]] |    => suggestions : ['']
89 Mot inconnu : Spyder =>   * **(en)** [[https://pypi.python.org/pypi/spyder| Spyder sur le site de référence python.org]] | spyder

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://github.com/spyder-ide/spyder|dépôt officiel de Spyder]] |    => suggestions : ['']
90 Mot inconnu : Spyder =>   * **(en)** [[https://github.com/spyder-ide/spyder|dépôt officiel de Spyder]] | spyder

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://groups.google.com/forum/#!forum/spyderlib|Spyder sur Groups.Google.com]] (Forum de discussions et communauté) |    => suggestions : ['']
91 Mot inconnu : Spyder =>   * **(en)** [[https://groups.google.com/forum/#!forum/spyderlib|Spyder sur Groups.Google.com]] (Forum de discussions et communauté) | spyder

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://pythonhosted.org/spyder/|Spyder sur PythonHosted.org]] |    => suggestions : ['']
92 Mot inconnu : Spyder =>   * **(en)** [[http://pythonhosted.org/spyder/|Spyder sur PythonHosted.org]] | spyder
92 Mot inconnu : PythonHosted =>   * **(en)** [[http://pythonhosted.org/spyder/|Spyder sur PythonHosted.org]] | pythonhosted

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[python|Langage de programmation Python]] |    => suggestions : ['']
97 Il manque un espace. => //Contributeurs : [[utilisateurs:pika3d|Pika3D (Créateur de blagues depuis 1999)]], ...// | pika3d => suggestions : [' pika3d']
97 Mot inconnu : Pika3D => //Contributeurs : [[utilisateurs:pika3d|Pika3D (Créateur de blagues depuis 1999)]], ...// | pika3d
97 Une de ces ponctuations est superflue. => //Contributeurs : [[utilisateurs:pika3d|Pika3D (Créateur de blagues depuis 1999)]], ...// | , . => suggestions : [',', '.']
97 Typographie : points de suspension. Utilisez le caractère dédié. => //Contributeurs : [[utilisateurs:pika3d|Pika3D (Créateur de blagues depuis 1999)]], ...// | ... => suggestions : ['…']
