
5 Mot inconnu : Gufw => ====== Gufw : interface graphique du pare-feu UFW ====== | gufw
132 Guillemets typographiques ouvrants. =>   *Flux Adsl: Menu //Edition -> Add Rule -> onglet "Avancé"// puis //Allow -> Entrée -> UDP -> Source (IP) : 212.27.38.253 -> Ajouter//. | " => suggestions : ['«\xa0', '“']
132 Guillemets typographiques fermants. =>   *Flux Adsl: Menu //Edition -> Add Rule -> onglet "Avancé"// puis //Allow -> Entrée -> UDP -> Source (IP) : 212.27.38.253 -> Ajouter//. | " => suggestions : ['\xa0»', '”']
132 Mot inconnu : Allow =>   *Flux Adsl: Menu //Edition -> Add Rule -> onglet "Avancé"// puis //Allow -> Entrée -> UDP -> Source (IP) : 212.27.38.253 -> Ajouter//. | allow
132 Mot inconnu : UDP =>   *Flux Adsl: Menu //Edition -> Add Rule -> onglet "Avancé"// puis //Allow -> Entrée -> UDP -> Source (IP) : 212.27.38.253 -> Ajouter//. | udp

133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *Flux TnT: Suivre cette [[vlc#streaming_freebox_multiposte|aide]] |    => suggestions : ['']
133 Mot inconnu : TnT =>   *Flux TnT: Suivre cette [[vlc#streaming_freebox_multiposte|aide]] | tnt
133 Mot inconnu : vlc =>   *Flux TnT: Suivre cette [[vlc#streaming_freebox_multiposte|aide]] | vlc

135 Mot inconnu : LAN => ==== Autoriser le trafic interne à votre réseau local (LAN) ==== | lan

136 Grands nombres : utilisez des espaces insécables plutôt que des points. => Si les adresses IP des machines de votre réseau local sont comprises entre 192.168.0.1 et 192.168.0.255 (dans le cas où votre routeur qui gère le DHCP possède une adresse 192.168.0.xxx _ certains routeurs ayant une adresse 192.168.**1**.xxx à vous d’adapter selon votre cas), alors il vous suffit d'ajouter une règle : | 192.168 => suggestions : ['192\xa0168']
136 Grands nombres : utilisez des espaces insécables plutôt que des points. => Si les adresses IP des machines de votre réseau local sont comprises entre 192.168.0.1 et 192.168.0.255 (dans le cas où votre routeur qui gère le DHCP possède une adresse 192.168.0.xxx _ certains routeurs ayant une adresse 192.168.**1**.xxx à vous d’adapter selon votre cas), alors il vous suffit d'ajouter une règle : | 192.168 => suggestions : ['192\xa0168']
136 Mot inconnu : xxx => Si les adresses IP des machines de votre réseau local sont comprises entre 192.168.0.1 et 192.168.0.255 (dans le cas où votre routeur qui gère le DHCP possède une adresse 192.168.0.xxx _ certains routeurs ayant une adresse 192.168.**1**.xxx à vous d’adapter selon votre cas), alors il vous suffit d'ajouter une règle : | xxx

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Edition |    => suggestions : ['']
137 Mot inconnu : Edition =>   * Edition | edition

138 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Add-Rules |    => suggestions : ['']
138 Mot inconnu : Add-Rules =>   * Add-Rules | add-rules

139 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Onglet "Avancé" et remplir les champs comme le tableau suivant: |    => suggestions : ['']
139 Guillemets typographiques ouvrants. =>   * Onglet "Avancé" et remplir les champs comme le tableau suivant: | " => suggestions : ['«\xa0', '“']
139 Guillemets typographiques fermants. =>   * Onglet "Avancé" et remplir les champs comme le tableau suivant: | " => suggestions : ['\xa0»', '”']

141 Espace(s) surnuméraire(s) à supprimer. => ^ Avancé                                                                                                       ^^^^^^ |                                                                                                         => suggestions : [' ']

142 Mot inconnu : Allow => | Allow     | Entrée | Les deux | Source        | 192.168.0.0/24 |  <file>     </file>  | | allow
142 Espace(s) surnuméraire(s) à supprimer. => | Allow     | Entrée | Les deux | Source        | 192.168.0.0/24 |  <file>     </file>  | |       => suggestions : [' ']
142 Espace(s) surnuméraire(s) à supprimer. => | Allow     | Entrée | Les deux | Source        | 192.168.0.0/24 |  <file>     </file>  | |          => suggestions : [' ']

143 Une de ces ponctuations est superflue. => | :::          | :::         | :::             |                                                                           ||| | :: => suggestions : [':', ':']
143 Espace(s) surnuméraire(s) à supprimer. => | :::          | :::         | :::             |                                                                           ||| |            => suggestions : [' ']
143 Une de ces ponctuations est superflue. => | :::          | :::         | :::             |                                                                           ||| | :: => suggestions : [':', ':']
143 Espace(s) surnuméraire(s) à supprimer. => | :::          | :::         | :::             |                                                                           ||| |           => suggestions : [' ']
143 Une de ces ponctuations est superflue. => | :::          | :::         | :::             |                                                                           ||| | :: => suggestions : [':', ':']
143 Espace(s) surnuméraire(s) à supprimer. => | :::          | :::         | :::             |                                                                           ||| |               => suggestions : [' ']

144 Une de ces ponctuations est superflue. => | :::          | :::         | :::             | Destination |                      |  <file>     </file>  | | :: => suggestions : [':', ':']
144 Espace(s) surnuméraire(s) à supprimer. => | :::          | :::         | :::             | Destination |                      |  <file>     </file>  | |            => suggestions : [' ']
144 Une de ces ponctuations est superflue. => | :::          | :::         | :::             | Destination |                      |  <file>     </file>  | | :: => suggestions : [':', ':']
144 Espace(s) surnuméraire(s) à supprimer. => | :::          | :::         | :::             | Destination |                      |  <file>     </file>  | |           => suggestions : [' ']
144 Une de ces ponctuations est superflue. => | :::          | :::         | :::             | Destination |                      |  <file>     </file>  | | :: => suggestions : [':', ':']
144 Espace(s) surnuméraire(s) à supprimer. => | :::          | :::         | :::             | Destination |                      |  <file>     </file>  | |               => suggestions : [' ']

153 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://gufw.org/|Site officiel de Gufw]] **(en)** |    => suggestions : ['']
153 Mot inconnu : Gufw =>   * [[http://gufw.org/|Site officiel de Gufw]] **(en)** | gufw

154 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.cedynamix.fr/2008/09/13/gufw-0200/|Billet sur Gufw]] |    => suggestions : ['']
154 Mot inconnu : Gufw =>   * [[http://www.cedynamix.fr/2008/09/13/gufw-0200/|Billet sur Gufw]] | gufw

155 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?pid=3513119|Configurer GUFW pour les sorties]] (Discussion sur le forum Ubuntu-fr) |    => suggestions : ['']
155 Mot inconnu : GUFW =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?pid=3513119|Configurer GUFW pour les sorties]] (Discussion sur le forum Ubuntu-fr) | gufw

156 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://www.dedoimedo.com/computers/gufw.html|Tutoriel avec capture d'écran]] **(en)** |    => suggestions : ['']

157 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://help.ubuntu.com/community/Gufw/FR|GUFW sur help Ubuntu]] |    => suggestions : ['']
157 Mot inconnu : GUFW =>   * [[https://help.ubuntu.com/community/Gufw/FR|GUFW sur help Ubuntu]] | gufw
157 Mot inconnu : help =>   * [[https://help.ubuntu.com/community/Gufw/FR|GUFW sur help Ubuntu]] | help

158 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.zebulon.fr/outils/scanports/test-securite.php|Tester la sécurité de votre pare-feu]] **(fr)** (Site très efficace). |    => suggestions : ['']
161 Mot inconnu : rustyBSD => //Contributeurs: rustyBSD// | rustybsd
