
6 Mot inconnu : Diablo => ====== Diablo II et Lord Of Destruction ====== | diablo
10 Mot inconnu : Wine => <note help>Maintenant, il est possible d'installer Diablo II sans avoir besoin de faire de manip particulières. Insérez le CD 1, lancez l'installateur, suivez les instructions et c'est ok ;) (Testé sous Ubuntu 12.04 avec GNOME et Wine 1.7.4 avec les sources compilées manuellement.)</note> | wine

11 Mot inconnu : Wine => ===== Installation via Wine ===== | wine

15 Espace(s) surnuméraire(s) à supprimer. => Je tiens à remercier les mainteneurs de  www.winehq.org et le site www.linux-gamers.net sans qui je n'aurais jamais pu installer ce jeu, ainsi que toutes les personnes que j'ai harcelées sur les forums :P |    => suggestions : [' ']

17 Guillemets typographiques ouvrants. => Cette méthode ne requiert pas de "no-cd crack". | " => suggestions : ['«\xa0', '“']
17 Guillemets typographiques fermants. => Cette méthode ne requiert pas de "no-cd crack". | " => suggestions : ['\xa0»', '”']

21 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - L 'accélération 3D matérielle doit être installée (voir dans la section "Matériel et pilotes") | -  => suggestions : ['—\xa0', '–\xa0']
21 Apostrophe incorrecte. => - L 'accélération 3D matérielle doit être installée (voir dans la section "Matériel et pilotes") | l ' => suggestions : ['L’']
21 Guillemets typographiques ouvrants. => - L 'accélération 3D matérielle doit être installée (voir dans la section "Matériel et pilotes") | ' => suggestions : ['“', '‘', '‹']
21 Guillemets typographiques ouvrants. => - L 'accélération 3D matérielle doit être installée (voir dans la section "Matériel et pilotes") | " => suggestions : ['«\xa0', '“']
21 Accord de genre erroné : « la section » est féminin, « Matériel » est masculin. => - L 'accélération 3D matérielle doit être installée (voir dans la section "Matériel et pilotes") | matériel => suggestions : ['Matérielle']
21 Guillemets typographiques fermants. => - L 'accélération 3D matérielle doit être installée (voir dans la section "Matériel et pilotes") | " => suggestions : ['\xa0»', '”']

27 Mot inconnu : wine => ==== Configuration de wine ==== | wine

29 Mot inconnu : wine => a) Mettez wine en mode compatibilité winXP | wine
29 Mot inconnu : winXP => a) Mettez wine en mode compatibilité winXP | winxp

37 Apostrophe incorrecte. => c) Dans l 'onglet audio, activez les pilotes ALSA. Vous pouvez aussi augmenter le "Taux d'échantillonnage" si votre machine le permet: | l ' => suggestions : ['l’']
37 Guillemets typographiques ouvrants. => c) Dans l 'onglet audio, activez les pilotes ALSA. Vous pouvez aussi augmenter le "Taux d'échantillonnage" si votre machine le permet: | ' => suggestions : ['“', '‘', '‹']
37 Mot inconnu : ALSA => c) Dans l 'onglet audio, activez les pilotes ALSA. Vous pouvez aussi augmenter le "Taux d'échantillonnage" si votre machine le permet: | alsa
37 Guillemets typographiques ouvrants. => c) Dans l 'onglet audio, activez les pilotes ALSA. Vous pouvez aussi augmenter le "Taux d'échantillonnage" si votre machine le permet: | " => suggestions : ['«\xa0', '“']
37 Guillemets typographiques fermants. => c) Dans l 'onglet audio, activez les pilotes ALSA. Vous pouvez aussi augmenter le "Taux d'échantillonnage" si votre machine le permet: | " => suggestions : ['\xa0»', '”']

41 Apostrophe incorrecte. => d) Cochez (presque) tout dans l 'onglet affichage, comme sur la capture: | l ' => suggestions : ['l’']
41 Guillemets typographiques ouvrants. => d) Cochez (presque) tout dans l 'onglet affichage, comme sur la capture: | ' => suggestions : ['“', '‘', '‹']

53 Mot inconnu : Diablo => ==== Installation de Diablo II ==== | diablo

56 Mot inconnu : Diablo => Évitez de vous positionner dans le lecteur contenant le CD de Diablo si vous n'avez pas de deuxième lecteur, sinon vous ne pourrez pas l'ouvrir au moment de changer de CD. | diablo

57 Mot inconnu : wine => Positionnez-vous plutôt dans le répertoire où vous voulez l'installer, ou celui de votre préfixe de wine : | wine

71 Guillemets typographiques ouvrants. => <note tip>Si vous vous êtes placé dans le dossier de votre lecteur avant de lancer l'installation, celui-ci risque de refuser de s'ouvrir (Lecteur "occupé"). | " => suggestions : ['«\xa0', '“']
71 Guillemets typographiques fermants. => <note tip>Si vous vous êtes placé dans le dossier de votre lecteur avant de lancer l'installation, celui-ci risque de refuser de s'ouvrir (Lecteur "occupé"). | " => suggestions : ['\xa0»', '”']

74 Mot inconnu : wine => //où x est la lettre associée au lecteur cd sous wine//</note> | wine

76 Mot inconnu : of => ==== Installation de Lord of Destruction ==== | of

104 Mot inconnu : cow-level => À vous les joies du cow-level avec Linux ! | cow-level

122 Mot inconnu : XGL => Pour les utilisateurs de XGL, un rendu direct sur le framebuffer est possible grâce à la commande suivante: | xgl
122 Mot inconnu : framebuffer => Pour les utilisateurs de XGL, un rendu direct sur le framebuffer est possible grâce à la commande suivante: | framebuffer

130 Apostrophe incorrecte. => pour placer le jeu dans le centre de l 'écran. | l ' => suggestions : ['l’']
130 Guillemets typographiques ouvrants. => pour placer le jeu dans le centre de l 'écran. | ' => suggestions : ['“', '‘', '‹']

135 Mot inconnu : mkisofs => Pour faire ça, rien de bien compliqué. Nous allons utiliser mkisofs pour créer l'image et, si nécessaire, mkdir pour préalablement créer le dossier où placer cette image: | mkisofs
135 Mot inconnu : mkdir => Pour faire ça, rien de bien compliqué. Nous allons utiliser mkisofs pour créer l'image et, si nécessaire, mkdir pour préalablement créer le dossier où placer cette image: | mkdir

141 Mot inconnu : HD130 => <note important>Il faut remplacer /media/HD130/ par le chemin ou vous souhaitez stocker l'archive, et /media/cdrom0/ par le chemin du lecteur ou se trouve votre CD.</note> | hd130
141 Mot inconnu : cdrom0 => <note important>Il faut remplacer /media/HD130/ par le chemin ou vous souhaitez stocker l'archive, et /media/cdrom0/ par le chemin du lecteur ou se trouve votre CD.</note> | cdrom0

143 Mot inconnu : Mkisofs => Mkisofs devrait, si tout se passe bien, prendre quelques minutes pour créer l'image de votre CD. Il ne vous reste alors plus qu'a "mounter" l'image de disque, et à configurer Wine comme il se doit. | mkisofs
143 Guillemets typographiques ouvrants. => Mkisofs devrait, si tout se passe bien, prendre quelques minutes pour créer l'image de votre CD. Il ne vous reste alors plus qu'a "mounter" l'image de disque, et à configurer Wine comme il se doit. | " => suggestions : ['«\xa0', '“']
143 Mot inconnu : mounter => Mkisofs devrait, si tout se passe bien, prendre quelques minutes pour créer l'image de votre CD. Il ne vous reste alors plus qu'a "mounter" l'image de disque, et à configurer Wine comme il se doit. | mounter
143 Guillemets typographiques fermants. => Mkisofs devrait, si tout se passe bien, prendre quelques minutes pour créer l'image de votre CD. Il ne vous reste alors plus qu'a "mounter" l'image de disque, et à configurer Wine comme il se doit. | " => suggestions : ['\xa0»', '”']
143 Mot inconnu : Wine => Mkisofs devrait, si tout se passe bien, prendre quelques minutes pour créer l'image de votre CD. Il ne vous reste alors plus qu'a "mounter" l'image de disque, et à configurer Wine comme il se doit. | wine

148 Mot inconnu : Wine => Puis, accédez au panneau de configuration de Wine (Application/Wine/Configure Wine/), sélectionnez l'onglet "Lecteurs", ajoutez le lecteur créé dans les étapes précédentes (ici, /mnt/diabloplay) et, après avoir choisi de montrer les options avancées, attribuez lui le type "CD-ROM". | wine
148 Mot inconnu : Wine => Puis, accédez au panneau de configuration de Wine (Application/Wine/Configure Wine/), sélectionnez l'onglet "Lecteurs", ajoutez le lecteur créé dans les étapes précédentes (ici, /mnt/diabloplay) et, après avoir choisi de montrer les options avancées, attribuez lui le type "CD-ROM". | wine
148 Mot inconnu : Wine => Puis, accédez au panneau de configuration de Wine (Application/Wine/Configure Wine/), sélectionnez l'onglet "Lecteurs", ajoutez le lecteur créé dans les étapes précédentes (ici, /mnt/diabloplay) et, après avoir choisi de montrer les options avancées, attribuez lui le type "CD-ROM". | wine
148 Guillemets typographiques ouvrants. => Puis, accédez au panneau de configuration de Wine (Application/Wine/Configure Wine/), sélectionnez l'onglet "Lecteurs", ajoutez le lecteur créé dans les étapes précédentes (ici, /mnt/diabloplay) et, après avoir choisi de montrer les options avancées, attribuez lui le type "CD-ROM". | " => suggestions : ['«\xa0', '“']
148 Guillemets typographiques fermants. => Puis, accédez au panneau de configuration de Wine (Application/Wine/Configure Wine/), sélectionnez l'onglet "Lecteurs", ajoutez le lecteur créé dans les étapes précédentes (ici, /mnt/diabloplay) et, après avoir choisi de montrer les options avancées, attribuez lui le type "CD-ROM". | " => suggestions : ['\xa0»', '”']
148 Guillemets typographiques ouvrants. => Puis, accédez au panneau de configuration de Wine (Application/Wine/Configure Wine/), sélectionnez l'onglet "Lecteurs", ajoutez le lecteur créé dans les étapes précédentes (ici, /mnt/diabloplay) et, après avoir choisi de montrer les options avancées, attribuez lui le type "CD-ROM". | " => suggestions : ['«\xa0', '“']
148 Guillemets typographiques fermants. => Puis, accédez au panneau de configuration de Wine (Application/Wine/Configure Wine/), sélectionnez l'onglet "Lecteurs", ajoutez le lecteur créé dans les étapes précédentes (ici, /mnt/diabloplay) et, après avoir choisi de montrer les options avancées, attribuez lui le type "CD-ROM". | " => suggestions : ['\xa0»', '”']

150 Mot inconnu : DiabloII => Vous pouvez maintenant jouer à DiabloII sous linux sans dégainer votre précieux CD de jeu ! | diabloii
150 Mot inconnu : linux => Vous pouvez maintenant jouer à DiabloII sous linux sans dégainer votre précieux CD de jeu ! | linux

152 Mot inconnu : nb => nb: Changements apportés par le patch 1.12 du 17 juin 2008 | nb

156 Guillemets typographiques ouvrants. => Pour les utilisateurs qui ont sélectionné "l'installation complète" et souhaite jouer sans le CD, tous les fichiers ".MPQ" doivent être copiés des CD de Diablo 2 vers le répertoire Diablo 2. La plupart des utilisateurs devront seulement copier le fichier D2Music.mpq du CD de jeu Diablo 2 et/ou le fichier D2xMusic.mpq du CD de Lord of Destruction (idem pour le fichier D2xVideo.mpq). Les utilisateurs Mac devront copier ces fichiers et les renommer respectivement "Diablo II Music" et "Diablo II Expansion Music". | " => suggestions : ['«\xa0', '“']
156 Guillemets typographiques fermants. => Pour les utilisateurs qui ont sélectionné "l'installation complète" et souhaite jouer sans le CD, tous les fichiers ".MPQ" doivent être copiés des CD de Diablo 2 vers le répertoire Diablo 2. La plupart des utilisateurs devront seulement copier le fichier D2Music.mpq du CD de jeu Diablo 2 et/ou le fichier D2xMusic.mpq du CD de Lord of Destruction (idem pour le fichier D2xVideo.mpq). Les utilisateurs Mac devront copier ces fichiers et les renommer respectivement "Diablo II Music" et "Diablo II Expansion Music". | " => suggestions : ['\xa0»', '”']
156 Guillemets fermants. => Pour les utilisateurs qui ont sélectionné "l'installation complète" et souhaite jouer sans le CD, tous les fichiers ".MPQ" doivent être copiés des CD de Diablo 2 vers le répertoire Diablo 2. La plupart des utilisateurs devront seulement copier le fichier D2Music.mpq du CD de jeu Diablo 2 et/ou le fichier D2xMusic.mpq du CD de Lord of Destruction (idem pour le fichier D2xVideo.mpq). Les utilisateurs Mac devront copier ces fichiers et les renommer respectivement "Diablo II Music" et "Diablo II Expansion Music". |  " => suggestions : ['\xa0»', '”']
156 Mot inconnu : MPQ => Pour les utilisateurs qui ont sélectionné "l'installation complète" et souhaite jouer sans le CD, tous les fichiers ".MPQ" doivent être copiés des CD de Diablo 2 vers le répertoire Diablo 2. La plupart des utilisateurs devront seulement copier le fichier D2Music.mpq du CD de jeu Diablo 2 et/ou le fichier D2xMusic.mpq du CD de Lord of Destruction (idem pour le fichier D2xVideo.mpq). Les utilisateurs Mac devront copier ces fichiers et les renommer respectivement "Diablo II Music" et "Diablo II Expansion Music". | mpq
156 Guillemets typographiques fermants. => Pour les utilisateurs qui ont sélectionné "l'installation complète" et souhaite jouer sans le CD, tous les fichiers ".MPQ" doivent être copiés des CD de Diablo 2 vers le répertoire Diablo 2. La plupart des utilisateurs devront seulement copier le fichier D2Music.mpq du CD de jeu Diablo 2 et/ou le fichier D2xMusic.mpq du CD de Lord of Destruction (idem pour le fichier D2xVideo.mpq). Les utilisateurs Mac devront copier ces fichiers et les renommer respectivement "Diablo II Music" et "Diablo II Expansion Music". | " => suggestions : ['\xa0»', '”']
156 Mot inconnu : Diablo => Pour les utilisateurs qui ont sélectionné "l'installation complète" et souhaite jouer sans le CD, tous les fichiers ".MPQ" doivent être copiés des CD de Diablo 2 vers le répertoire Diablo 2. La plupart des utilisateurs devront seulement copier le fichier D2Music.mpq du CD de jeu Diablo 2 et/ou le fichier D2xMusic.mpq du CD de Lord of Destruction (idem pour le fichier D2xVideo.mpq). Les utilisateurs Mac devront copier ces fichiers et les renommer respectivement "Diablo II Music" et "Diablo II Expansion Music". | diablo
156 Mot inconnu : Diablo => Pour les utilisateurs qui ont sélectionné "l'installation complète" et souhaite jouer sans le CD, tous les fichiers ".MPQ" doivent être copiés des CD de Diablo 2 vers le répertoire Diablo 2. La plupart des utilisateurs devront seulement copier le fichier D2Music.mpq du CD de jeu Diablo 2 et/ou le fichier D2xMusic.mpq du CD de Lord of Destruction (idem pour le fichier D2xVideo.mpq). Les utilisateurs Mac devront copier ces fichiers et les renommer respectivement "Diablo II Music" et "Diablo II Expansion Music". | diablo
156 Mot inconnu : D2Music => Pour les utilisateurs qui ont sélectionné "l'installation complète" et souhaite jouer sans le CD, tous les fichiers ".MPQ" doivent être copiés des CD de Diablo 2 vers le répertoire Diablo 2. La plupart des utilisateurs devront seulement copier le fichier D2Music.mpq du CD de jeu Diablo 2 et/ou le fichier D2xMusic.mpq du CD de Lord of Destruction (idem pour le fichier D2xVideo.mpq). Les utilisateurs Mac devront copier ces fichiers et les renommer respectivement "Diablo II Music" et "Diablo II Expansion Music". | d2music
156 Mot inconnu : mpq => Pour les utilisateurs qui ont sélectionné "l'installation complète" et souhaite jouer sans le CD, tous les fichiers ".MPQ" doivent être copiés des CD de Diablo 2 vers le répertoire Diablo 2. La plupart des utilisateurs devront seulement copier le fichier D2Music.mpq du CD de jeu Diablo 2 et/ou le fichier D2xMusic.mpq du CD de Lord of Destruction (idem pour le fichier D2xVideo.mpq). Les utilisateurs Mac devront copier ces fichiers et les renommer respectivement "Diablo II Music" et "Diablo II Expansion Music". | mpq
156 Mot inconnu : Diablo => Pour les utilisateurs qui ont sélectionné "l'installation complète" et souhaite jouer sans le CD, tous les fichiers ".MPQ" doivent être copiés des CD de Diablo 2 vers le répertoire Diablo 2. La plupart des utilisateurs devront seulement copier le fichier D2Music.mpq du CD de jeu Diablo 2 et/ou le fichier D2xMusic.mpq du CD de Lord of Destruction (idem pour le fichier D2xVideo.mpq). Les utilisateurs Mac devront copier ces fichiers et les renommer respectivement "Diablo II Music" et "Diablo II Expansion Music". | diablo
156 Si “et/ou” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Pour les utilisateurs qui ont sélectionné "l'installation complète" et souhaite jouer sans le CD, tous les fichiers ".MPQ" doivent être copiés des CD de Diablo 2 vers le répertoire Diablo 2. La plupart des utilisateurs devront seulement copier le fichier D2Music.mpq du CD de jeu Diablo 2 et/ou le fichier D2xMusic.mpq du CD de Lord of Destruction (idem pour le fichier D2xVideo.mpq). Les utilisateurs Mac devront copier ces fichiers et les renommer respectivement "Diablo II Music" et "Diablo II Expansion Music". | 2 et/ou => suggestions : ['2\xa0et/ou']
156 Mot inconnu : D2xMusic => Pour les utilisateurs qui ont sélectionné "l'installation complète" et souhaite jouer sans le CD, tous les fichiers ".MPQ" doivent être copiés des CD de Diablo 2 vers le répertoire Diablo 2. La plupart des utilisateurs devront seulement copier le fichier D2Music.mpq du CD de jeu Diablo 2 et/ou le fichier D2xMusic.mpq du CD de Lord of Destruction (idem pour le fichier D2xVideo.mpq). Les utilisateurs Mac devront copier ces fichiers et les renommer respectivement "Diablo II Music" et "Diablo II Expansion Music". | d2xmusic
156 Mot inconnu : mpq => Pour les utilisateurs qui ont sélectionné "l'installation complète" et souhaite jouer sans le CD, tous les fichiers ".MPQ" doivent être copiés des CD de Diablo 2 vers le répertoire Diablo 2. La plupart des utilisateurs devront seulement copier le fichier D2Music.mpq du CD de jeu Diablo 2 et/ou le fichier D2xMusic.mpq du CD de Lord of Destruction (idem pour le fichier D2xVideo.mpq). Les utilisateurs Mac devront copier ces fichiers et les renommer respectivement "Diablo II Music" et "Diablo II Expansion Music". | mpq
156 Mot inconnu : of => Pour les utilisateurs qui ont sélectionné "l'installation complète" et souhaite jouer sans le CD, tous les fichiers ".MPQ" doivent être copiés des CD de Diablo 2 vers le répertoire Diablo 2. La plupart des utilisateurs devront seulement copier le fichier D2Music.mpq du CD de jeu Diablo 2 et/ou le fichier D2xMusic.mpq du CD de Lord of Destruction (idem pour le fichier D2xVideo.mpq). Les utilisateurs Mac devront copier ces fichiers et les renommer respectivement "Diablo II Music" et "Diablo II Expansion Music". | of
156 Mot inconnu : D2xVideo => Pour les utilisateurs qui ont sélectionné "l'installation complète" et souhaite jouer sans le CD, tous les fichiers ".MPQ" doivent être copiés des CD de Diablo 2 vers le répertoire Diablo 2. La plupart des utilisateurs devront seulement copier le fichier D2Music.mpq du CD de jeu Diablo 2 et/ou le fichier D2xMusic.mpq du CD de Lord of Destruction (idem pour le fichier D2xVideo.mpq). Les utilisateurs Mac devront copier ces fichiers et les renommer respectivement "Diablo II Music" et "Diablo II Expansion Music". | d2xvideo
156 Mot inconnu : mpq => Pour les utilisateurs qui ont sélectionné "l'installation complète" et souhaite jouer sans le CD, tous les fichiers ".MPQ" doivent être copiés des CD de Diablo 2 vers le répertoire Diablo 2. La plupart des utilisateurs devront seulement copier le fichier D2Music.mpq du CD de jeu Diablo 2 et/ou le fichier D2xMusic.mpq du CD de Lord of Destruction (idem pour le fichier D2xVideo.mpq). Les utilisateurs Mac devront copier ces fichiers et les renommer respectivement "Diablo II Music" et "Diablo II Expansion Music". | mpq
156 Guillemets typographiques ouvrants. => Pour les utilisateurs qui ont sélectionné "l'installation complète" et souhaite jouer sans le CD, tous les fichiers ".MPQ" doivent être copiés des CD de Diablo 2 vers le répertoire Diablo 2. La plupart des utilisateurs devront seulement copier le fichier D2Music.mpq du CD de jeu Diablo 2 et/ou le fichier D2xMusic.mpq du CD de Lord of Destruction (idem pour le fichier D2xVideo.mpq). Les utilisateurs Mac devront copier ces fichiers et les renommer respectivement "Diablo II Music" et "Diablo II Expansion Music". | " => suggestions : ['«\xa0', '“']
156 Mot inconnu : Diablo => Pour les utilisateurs qui ont sélectionné "l'installation complète" et souhaite jouer sans le CD, tous les fichiers ".MPQ" doivent être copiés des CD de Diablo 2 vers le répertoire Diablo 2. La plupart des utilisateurs devront seulement copier le fichier D2Music.mpq du CD de jeu Diablo 2 et/ou le fichier D2xMusic.mpq du CD de Lord of Destruction (idem pour le fichier D2xVideo.mpq). Les utilisateurs Mac devront copier ces fichiers et les renommer respectivement "Diablo II Music" et "Diablo II Expansion Music". | diablo
156 Mot inconnu : Music => Pour les utilisateurs qui ont sélectionné "l'installation complète" et souhaite jouer sans le CD, tous les fichiers ".MPQ" doivent être copiés des CD de Diablo 2 vers le répertoire Diablo 2. La plupart des utilisateurs devront seulement copier le fichier D2Music.mpq du CD de jeu Diablo 2 et/ou le fichier D2xMusic.mpq du CD de Lord of Destruction (idem pour le fichier D2xVideo.mpq). Les utilisateurs Mac devront copier ces fichiers et les renommer respectivement "Diablo II Music" et "Diablo II Expansion Music". | music
156 Guillemets typographiques fermants. => Pour les utilisateurs qui ont sélectionné "l'installation complète" et souhaite jouer sans le CD, tous les fichiers ".MPQ" doivent être copiés des CD de Diablo 2 vers le répertoire Diablo 2. La plupart des utilisateurs devront seulement copier le fichier D2Music.mpq du CD de jeu Diablo 2 et/ou le fichier D2xMusic.mpq du CD de Lord of Destruction (idem pour le fichier D2xVideo.mpq). Les utilisateurs Mac devront copier ces fichiers et les renommer respectivement "Diablo II Music" et "Diablo II Expansion Music". | " => suggestions : ['\xa0»', '”']
156 Guillemets typographiques ouvrants. => Pour les utilisateurs qui ont sélectionné "l'installation complète" et souhaite jouer sans le CD, tous les fichiers ".MPQ" doivent être copiés des CD de Diablo 2 vers le répertoire Diablo 2. La plupart des utilisateurs devront seulement copier le fichier D2Music.mpq du CD de jeu Diablo 2 et/ou le fichier D2xMusic.mpq du CD de Lord of Destruction (idem pour le fichier D2xVideo.mpq). Les utilisateurs Mac devront copier ces fichiers et les renommer respectivement "Diablo II Music" et "Diablo II Expansion Music". | " => suggestions : ['«\xa0', '“']
156 Mot inconnu : Diablo => Pour les utilisateurs qui ont sélectionné "l'installation complète" et souhaite jouer sans le CD, tous les fichiers ".MPQ" doivent être copiés des CD de Diablo 2 vers le répertoire Diablo 2. La plupart des utilisateurs devront seulement copier le fichier D2Music.mpq du CD de jeu Diablo 2 et/ou le fichier D2xMusic.mpq du CD de Lord of Destruction (idem pour le fichier D2xVideo.mpq). Les utilisateurs Mac devront copier ces fichiers et les renommer respectivement "Diablo II Music" et "Diablo II Expansion Music". | diablo
156 Mot inconnu : Music => Pour les utilisateurs qui ont sélectionné "l'installation complète" et souhaite jouer sans le CD, tous les fichiers ".MPQ" doivent être copiés des CD de Diablo 2 vers le répertoire Diablo 2. La plupart des utilisateurs devront seulement copier le fichier D2Music.mpq du CD de jeu Diablo 2 et/ou le fichier D2xMusic.mpq du CD de Lord of Destruction (idem pour le fichier D2xVideo.mpq). Les utilisateurs Mac devront copier ces fichiers et les renommer respectivement "Diablo II Music" et "Diablo II Expansion Music". | music
156 Guillemets typographiques fermants. => Pour les utilisateurs qui ont sélectionné "l'installation complète" et souhaite jouer sans le CD, tous les fichiers ".MPQ" doivent être copiés des CD de Diablo 2 vers le répertoire Diablo 2. La plupart des utilisateurs devront seulement copier le fichier D2Music.mpq du CD de jeu Diablo 2 et/ou le fichier D2xMusic.mpq du CD de Lord of Destruction (idem pour le fichier D2xVideo.mpq). Les utilisateurs Mac devront copier ces fichiers et les renommer respectivement "Diablo II Music" et "Diablo II Expansion Music". | " => suggestions : ['\xa0»', '”']

158 Guillemets typographiques ouvrants. => Ceux qui n'ont pas effectué "l'installation complète" devront effectuer une réinstallation à partir des CD afin, au final, de jouer sans le CD. Dans ce cas, lancez une "installation complète" et effectuez ensuite les opérations ci-dessus. | " => suggestions : ['«\xa0', '“']
158 Guillemets typographiques fermants. => Ceux qui n'ont pas effectué "l'installation complète" devront effectuer une réinstallation à partir des CD afin, au final, de jouer sans le CD. Dans ce cas, lancez une "installation complète" et effectuez ensuite les opérations ci-dessus. | " => suggestions : ['\xa0»', '”']
158 Guillemets typographiques ouvrants. => Ceux qui n'ont pas effectué "l'installation complète" devront effectuer une réinstallation à partir des CD afin, au final, de jouer sans le CD. Dans ce cas, lancez une "installation complète" et effectuez ensuite les opérations ci-dessus. | " => suggestions : ['«\xa0', '“']
158 Guillemets typographiques fermants. => Ceux qui n'ont pas effectué "l'installation complète" devront effectuer une réinstallation à partir des CD afin, au final, de jouer sans le CD. Dans ce cas, lancez une "installation complète" et effectuez ensuite les opérations ci-dessus. | " => suggestions : ['\xa0»', '”']

163 Mot inconnu : patching => 1) Le patching par BattleNet ne fonctionne pas ? Voyez l'astuce décrite plus haut. | patching
163 Mot inconnu : BattleNet => 1) Le patching par BattleNet ne fonctionne pas ? Voyez l'astuce décrite plus haut. | battlenet
167 Espace(s) en fin de ligne à supprimer. => 3) Vous n'arrivez plus à sortir votre CD du lecteur lors de l'installation ?  |   => suggestions : ['']

168 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Utilisez alors une épingle ou encore, créez-vous des .iso puis les "mounter" avec la commande décrite plus haut. |  . => suggestions : ['. ', '.']
168 Mot inconnu : iso => Utilisez alors une épingle ou encore, créez-vous des .iso puis les "mounter" avec la commande décrite plus haut. | iso
168 Guillemets typographiques ouvrants. => Utilisez alors une épingle ou encore, créez-vous des .iso puis les "mounter" avec la commande décrite plus haut. | " => suggestions : ['«\xa0', '“']
168 Mot inconnu : mounter => Utilisez alors une épingle ou encore, créez-vous des .iso puis les "mounter" avec la commande décrite plus haut. | mounter
168 Guillemets typographiques fermants. => Utilisez alors une épingle ou encore, créez-vous des .iso puis les "mounter" avec la commande décrite plus haut. | " => suggestions : ['\xa0»', '”']

181 Apostrophe incorrecte. => 4) L 'accélération matérielle par Direct3D ne fonctionne pas (ie.: DirectDraw seulement) ? Mettez à jour votre version de wine. | l ' => suggestions : ['L’']
181 Guillemets typographiques ouvrants. => 4) L 'accélération matérielle par Direct3D ne fonctionne pas (ie.: DirectDraw seulement) ? Mettez à jour votre version de wine. | ' => suggestions : ['“', '‘', '‹']
181 Mot inconnu : Direct3D => 4) L 'accélération matérielle par Direct3D ne fonctionne pas (ie.: DirectDraw seulement) ? Mettez à jour votre version de wine. | direct3d
181 Mot inconnu : ie => 4) L 'accélération matérielle par Direct3D ne fonctionne pas (ie.: DirectDraw seulement) ? Mettez à jour votre version de wine. | ie
181 Mot inconnu : DirectDraw => 4) L 'accélération matérielle par Direct3D ne fonctionne pas (ie.: DirectDraw seulement) ? Mettez à jour votre version de wine. | directdraw
181 Mot inconnu : wine => 4) L 'accélération matérielle par Direct3D ne fonctionne pas (ie.: DirectDraw seulement) ? Mettez à jour votre version de wine. | wine

