
6 Mot inconnu : XSane => ====== Scanner des documents avec XSane ====== | xsane
31 Guillemets typographiques fermants. => Nous prendrons comme exemple la page ci-contre, qui est la page de couverture de "Premier pas avec Ubuntu". | " => suggestions : ['\xa0»', '”']

35 Mot inconnu : xSane => Voici l'interface générale de xSane : | xsane

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * À droite se trouve la fenêtre de prévisualisation, qui nous permettra de créer un aperçu de ce que l'on doit numériser. |    => suggestions : ['']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * En haut à gauche se trouvent : |    => suggestions : ['']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * Le menu principal |        => suggestions : ['']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * Les modes de numérisation |        => suggestions : ['']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * La résolution de la numérisation (! important pour la qualité de l'image) |        => suggestions : ['']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * Les informations sur le fichier qui sera fabriqué |        => suggestions : ['']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * Et enfin, le bouton « Numériser » ! |        => suggestions : ['']

49 Mot inconnu : shift => Si la fenêtre d’aperçu n'est pas présente, on la fait apparaître grâce à Ctrl +1 (Ctrl+ shift+ 1 si nécessaire). | shift

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * En déplaçant la souris sur l'image, un zoom est effectué en bas à droite\\ |    => suggestions : ['']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vous pouvez à tout moment arrêter la prévisualisation, en cliquant sur « Cancel preview » |    => suggestions : ['']
56 Mot inconnu : preview =>   * Vous pouvez à tout moment arrêter la prévisualisation, en cliquant sur « Cancel preview » | preview

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Trois pipettes sont visibles en haut de la fenêtre : |    => suggestions : ['']

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * La première (à partir de la gauche) permet de prendre un point de l'image qui servira de base pour éclaircir l'image. |        => suggestions : ['']

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * La deuxième permet de prendre un point qui servira de base pour griser l'image. |        => suggestions : ['']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * La troisième prend un point pour obscurcir l'image. |        => suggestions : ['']

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Quatre loupes (utilitaires de zoom) sont disponibles en haut de la fenêtre : |    => suggestions : ['']

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * La première (à partir de la gauche) permet d'annuler les zooms effectués, et de revenir à l'aperçu normal |        => suggestions : ['']

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * La deuxième permet d'effectuer un zoom arrière. |        => suggestions : ['']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * La troisième effectue un zoom avant. |        => suggestions : ['']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * La quatrième annule le dernier zoom effectué |        => suggestions : ['']

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Les quatre autres icônes permettent d'effectuer des manipulations sur les zones de prévisualisation. |    => suggestions : ['']

68 Mot inconnu : xSane => Enfin, et c'est l'outil le plus intéressant dans notre cas, vous pouvez sélectionner une partie de l'aperçu qui sera la partie numérisée par xSane, quand vous cliquerez sur le bouton « Numériser ». Cliquez donc sur une des bordures de l'image à numériser, puis (sans relâcher le bouton de la souris) déplacez le curseur au coin opposé. Cliquez sur « Numériser », et enregistrez l'image où bon vous semble. | xsane

77 Guillemets typographiques ouvrants. => Pour imprimer directement et simplement une copie du document placé dans le scanner, il existe le mode "copier". | " => suggestions : ['«\xa0', '“']
77 Guillemets typographiques fermants. => Pour imprimer directement et simplement une copie du document placé dans le scanner, il existe le mode "copier". | " => suggestions : ['\xa0»', '”']

79 Mot inconnu : XSane => Lancez tout d'abord XSane. | xsane

83 Mot inconnu : Xsane => Xsane utilisera l'imprimante par défaut de votre système. Mais vous pouvez aussi le paramétrer vous-même, bien que certainement inutile : | xsane

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans le menu "Préférences" de la fenêtre principale de XSane, cliquez sur "Configuration" puis sur l'onglet "Copier". |    => suggestions : ['']
84 Guillemets typographiques ouvrants. =>   * Dans le menu "Préférences" de la fenêtre principale de XSane, cliquez sur "Configuration" puis sur l'onglet "Copier". | " => suggestions : ['«\xa0', '“']
84 Guillemets typographiques fermants. =>   * Dans le menu "Préférences" de la fenêtre principale de XSane, cliquez sur "Configuration" puis sur l'onglet "Copier". | " => suggestions : ['\xa0»', '”']
84 Mot inconnu : XSane =>   * Dans le menu "Préférences" de la fenêtre principale de XSane, cliquez sur "Configuration" puis sur l'onglet "Copier". | xsane
84 Guillemets typographiques ouvrants. =>   * Dans le menu "Préférences" de la fenêtre principale de XSane, cliquez sur "Configuration" puis sur l'onglet "Copier". | " => suggestions : ['«\xa0', '“']
84 Guillemets typographiques fermants. =>   * Dans le menu "Préférences" de la fenêtre principale de XSane, cliquez sur "Configuration" puis sur l'onglet "Copier". | " => suggestions : ['\xa0»', '”']
84 Guillemets typographiques ouvrants. =>   * Dans le menu "Préférences" de la fenêtre principale de XSane, cliquez sur "Configuration" puis sur l'onglet "Copier". | " => suggestions : ['«\xa0', '“']
84 Guillemets typographiques fermants. =>   * Dans le menu "Préférences" de la fenêtre principale de XSane, cliquez sur "Configuration" puis sur l'onglet "Copier". | " => suggestions : ['\xa0»', '”']

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Nom : indiquez ici le nom de l'imprimante (vous le trouverez dans Système->Administration->Impression->Propriétés) |    => suggestions : ['']

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Commande : là il faut taper <file>lpr -P nom_de_l_imprimante</file> |    => suggestions : ['']
86 Mot inconnu : lpr =>   * Commande : là il faut taper <file>lpr -P nom_de_l_imprimante</file> | lpr
86 Il manque un espace à côté du tiret. =>   * Commande : là il faut taper <file>lpr -P nom_de_l_imprimante</file> |  - => suggestions : [' – ', ' — ']
86 Mot inconnu : nom_de_l_imprimante =>   * Commande : là il faut taper <file>lpr -P nom_de_l_imprimante</file> | nom_de_l_imprimante

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Nombre de copies : <file>-#</file> |    => suggestions : ['']
87 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * Nombre de copies : <file>-#</file> | >-# => suggestions : [' – ', ' — ', ' − ']

89 Espace(s) en fin de ligne à supprimer. => Avant de valider, vous pouvez aussi paramétrer la résolution, le format de page et les marges, ainsi que le gamma.  |   => suggestions : ['']

92 Mot inconnu : XSane => Dans la fenêtre principale, sélectionnez le Mode XSane "Copier", puis le mode de numérisation : "Trait" pour du noir et blanc, "Gris" pour du niveaux de gris, ou "Couleur" pour de la ... couleur.  | xsane
92 Guillemets typographiques ouvrants. => Dans la fenêtre principale, sélectionnez le Mode XSane "Copier", puis le mode de numérisation : "Trait" pour du noir et blanc, "Gris" pour du niveaux de gris, ou "Couleur" pour de la ... couleur.  | " => suggestions : ['«\xa0', '“']
92 Guillemets typographiques fermants. => Dans la fenêtre principale, sélectionnez le Mode XSane "Copier", puis le mode de numérisation : "Trait" pour du noir et blanc, "Gris" pour du niveaux de gris, ou "Couleur" pour de la ... couleur.  | " => suggestions : ['\xa0»', '”']
92 Guillemets typographiques ouvrants. => Dans la fenêtre principale, sélectionnez le Mode XSane "Copier", puis le mode de numérisation : "Trait" pour du noir et blanc, "Gris" pour du niveaux de gris, ou "Couleur" pour de la ... couleur.  | " => suggestions : ['«\xa0', '“']
92 Guillemets typographiques fermants. => Dans la fenêtre principale, sélectionnez le Mode XSane "Copier", puis le mode de numérisation : "Trait" pour du noir et blanc, "Gris" pour du niveaux de gris, ou "Couleur" pour de la ... couleur.  | " => suggestions : ['\xa0»', '”']
92 Guillemets typographiques ouvrants. => Dans la fenêtre principale, sélectionnez le Mode XSane "Copier", puis le mode de numérisation : "Trait" pour du noir et blanc, "Gris" pour du niveaux de gris, ou "Couleur" pour de la ... couleur.  | " => suggestions : ['«\xa0', '“']
92 Guillemets typographiques fermants. => Dans la fenêtre principale, sélectionnez le Mode XSane "Copier", puis le mode de numérisation : "Trait" pour du noir et blanc, "Gris" pour du niveaux de gris, ou "Couleur" pour de la ... couleur.  | " => suggestions : ['\xa0»', '”']
92 Accord de nombre erroné : « niveaux » devrait être au singulier. => Dans la fenêtre principale, sélectionnez le Mode XSane "Copier", puis le mode de numérisation : "Trait" pour du noir et blanc, "Gris" pour du niveaux de gris, ou "Couleur" pour de la ... couleur.  | niveaux => suggestions : ['niveau']
92 Guillemets typographiques ouvrants. => Dans la fenêtre principale, sélectionnez le Mode XSane "Copier", puis le mode de numérisation : "Trait" pour du noir et blanc, "Gris" pour du niveaux de gris, ou "Couleur" pour de la ... couleur.  | " => suggestions : ['«\xa0', '“']
92 Guillemets typographiques fermants. => Dans la fenêtre principale, sélectionnez le Mode XSane "Copier", puis le mode de numérisation : "Trait" pour du noir et blanc, "Gris" pour du niveaux de gris, ou "Couleur" pour de la ... couleur.  | " => suggestions : ['\xa0»', '”']
92 Typographie : points de suspension. Utilisez le caractère dédié. => Dans la fenêtre principale, sélectionnez le Mode XSane "Copier", puis le mode de numérisation : "Trait" pour du noir et blanc, "Gris" pour du niveaux de gris, ou "Couleur" pour de la ... couleur.  | ... => suggestions : ['…']
92 Espace(s) en fin de ligne à supprimer. => Dans la fenêtre principale, sélectionnez le Mode XSane "Copier", puis le mode de numérisation : "Trait" pour du noir et blanc, "Gris" pour du niveaux de gris, ou "Couleur" pour de la ... couleur.  |   => suggestions : ['']

96 Guillemets typographiques ouvrants. => Enfin, après avoir placé votre document dans le scanner, cliquez sur le bouton "Numériser". Si l'imprimante est bien sous tension, la copie en sortira sous peu. | " => suggestions : ['«\xa0', '“']
96 Guillemets typographiques fermants. => Enfin, après avoir placé votre document dans le scanner, cliquez sur le bouton "Numériser". Si l'imprimante est bien sous tension, la copie en sortira sous peu. | " => suggestions : ['\xa0»', '”']

98 Mot inconnu : Multipages => ==== Multipages ==== | multipages

99 Mot inconnu : multipage => Le multipage permet de créer un fichier de type PDF, TIFF ou PostScript regroupant plusieurs pages numérisées. | multipage
99 Mot inconnu : TIFF => Le multipage permet de créer un fichier de type PDF, TIFF ou PostScript regroupant plusieurs pages numérisées. | tiff

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Dans la fenêtre principale, il y a une icône représentant une cible (en fait c'est le type de travail, en anglais "Target"). Le type de travail peut-être Visionneuse, Enregistrer, Copier, Faxer, Courriel ou... Multipage (Ctrl+M). |    => suggestions : ['']
100 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Dans la fenêtre principale, il y a une icône représentant une cible (en fait c'est le type de travail, en anglais "Target"). Le type de travail peut-être Visionneuse, Enregistrer, Copier, Faxer, Courriel ou... Multipage (Ctrl+M). |  -  => suggestions : [' – ', ' — ', ' − ']
100 Guillemets typographiques ouvrants. =>   - Dans la fenêtre principale, il y a une icône représentant une cible (en fait c'est le type de travail, en anglais "Target"). Le type de travail peut-être Visionneuse, Enregistrer, Copier, Faxer, Courriel ou... Multipage (Ctrl+M). | " => suggestions : ['«\xa0', '“']
100 Mot inconnu : Target =>   - Dans la fenêtre principale, il y a une icône représentant une cible (en fait c'est le type de travail, en anglais "Target"). Le type de travail peut-être Visionneuse, Enregistrer, Copier, Faxer, Courriel ou... Multipage (Ctrl+M). | target
100 Guillemets typographiques fermants. =>   - Dans la fenêtre principale, il y a une icône représentant une cible (en fait c'est le type de travail, en anglais "Target"). Le type de travail peut-être Visionneuse, Enregistrer, Copier, Faxer, Courriel ou... Multipage (Ctrl+M). | " => suggestions : ['\xa0»', '”']
100 Typographie : points de suspension. Utilisez le caractère dédié. =>   - Dans la fenêtre principale, il y a une icône représentant une cible (en fait c'est le type de travail, en anglais "Target"). Le type de travail peut-être Visionneuse, Enregistrer, Copier, Faxer, Courriel ou... Multipage (Ctrl+M). | ... => suggestions : ['…']
100 Mot inconnu : Multipage =>   - Dans la fenêtre principale, il y a une icône représentant une cible (en fait c'est le type de travail, en anglais "Target"). Le type de travail peut-être Visionneuse, Enregistrer, Copier, Faxer, Courriel ou... Multipage (Ctrl+M). | multipage

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Il faut donc logiquement choisir "Multipage" (Ctrl+M). Une nouvelle fenêtre s'ouvre. C'est la fenêtre de gestion des projets multipages. |    => suggestions : ['']
101 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Il faut donc logiquement choisir "Multipage" (Ctrl+M). Une nouvelle fenêtre s'ouvre. C'est la fenêtre de gestion des projets multipages. |  -  => suggestions : [' – ', ' — ', ' − ']
101 Guillemets typographiques ouvrants. =>   - Il faut donc logiquement choisir "Multipage" (Ctrl+M). Une nouvelle fenêtre s'ouvre. C'est la fenêtre de gestion des projets multipages. | " => suggestions : ['«\xa0', '“']
101 Mot inconnu : Multipage =>   - Il faut donc logiquement choisir "Multipage" (Ctrl+M). Une nouvelle fenêtre s'ouvre. C'est la fenêtre de gestion des projets multipages. | multipage
101 Guillemets typographiques fermants. =>   - Il faut donc logiquement choisir "Multipage" (Ctrl+M). Une nouvelle fenêtre s'ouvre. C'est la fenêtre de gestion des projets multipages. | " => suggestions : ['\xa0»', '”']
101 Mot inconnu : multipages =>   - Il faut donc logiquement choisir "Multipage" (Ctrl+M). Une nouvelle fenêtre s'ouvre. C'est la fenêtre de gestion des projets multipages. | multipages

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Dans un premier temps, il faut créer un projet en cliquant sur "Créer un projet" et lui donner une destination. \\ Je vais considérer que le chemin est celui par défaut c'est-à-dire "/home/utilisateur/multipageproject". |    => suggestions : ['']
102 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Dans un premier temps, il faut créer un projet en cliquant sur "Créer un projet" et lui donner une destination. \\ Je vais considérer que le chemin est celui par défaut c'est-à-dire "/home/utilisateur/multipageproject". |  -  => suggestions : [' – ', ' — ', ' − ']
102 Guillemets typographiques ouvrants. =>   - Dans un premier temps, il faut créer un projet en cliquant sur "Créer un projet" et lui donner une destination. \\ Je vais considérer que le chemin est celui par défaut c'est-à-dire "/home/utilisateur/multipageproject". | " => suggestions : ['«\xa0', '“']
102 Guillemets typographiques fermants. =>   - Dans un premier temps, il faut créer un projet en cliquant sur "Créer un projet" et lui donner une destination. \\ Je vais considérer que le chemin est celui par défaut c'est-à-dire "/home/utilisateur/multipageproject". | " => suggestions : ['\xa0»', '”']

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Dans le champ "Type de document multipage" il est possible de choisir PDF, TIFF ou PostScript. |    => suggestions : ['']
103 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Dans le champ "Type de document multipage" il est possible de choisir PDF, TIFF ou PostScript. |  -  => suggestions : [' – ', ' — ', ' − ']
103 Guillemets typographiques ouvrants. =>   - Dans le champ "Type de document multipage" il est possible de choisir PDF, TIFF ou PostScript. | " => suggestions : ['«\xa0', '“']
103 Mot inconnu : multipage =>   - Dans le champ "Type de document multipage" il est possible de choisir PDF, TIFF ou PostScript. | multipage
103 Guillemets typographiques fermants. =>   - Dans le champ "Type de document multipage" il est possible de choisir PDF, TIFF ou PostScript. | " => suggestions : ['\xa0»', '”']
103 Mot inconnu : TIFF =>   - Dans le champ "Type de document multipage" il est possible de choisir PDF, TIFF ou PostScript. | tiff

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - On numérise toutes les images qui constitueront le document final, elles seront stockées dans le répertoire "/home/utilisateur/multipageproject". |    => suggestions : ['']
104 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - On numérise toutes les images qui constitueront le document final, elles seront stockées dans le répertoire "/home/utilisateur/multipageproject". |  -  => suggestions : [' – ', ' — ', ' − ']

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Lorsque toutes les pages ont été numérisées, il ne reste plus qu'à cliquer sur le bouton "Enregistrement du document multipage". \\Le fichier suivant sera créé : "/home/utilisateur/multipageproject.pdf" (pour le pdf, il est logique qu'en fonction du type de travail l'extension du fichier soit différente).  \\ Il est alors possible de supprimer le projet en cliquant sur le bouton "Effacer un projet". |    => suggestions : ['']
105 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Lorsque toutes les pages ont été numérisées, il ne reste plus qu'à cliquer sur le bouton "Enregistrement du document multipage". \\Le fichier suivant sera créé : "/home/utilisateur/multipageproject.pdf" (pour le pdf, il est logique qu'en fonction du type de travail l'extension du fichier soit différente).  \\ Il est alors possible de supprimer le projet en cliquant sur le bouton "Effacer un projet". |  -  => suggestions : [' – ', ' — ', ' − ']
105 Guillemets typographiques ouvrants. =>   - Lorsque toutes les pages ont été numérisées, il ne reste plus qu'à cliquer sur le bouton "Enregistrement du document multipage". \\Le fichier suivant sera créé : "/home/utilisateur/multipageproject.pdf" (pour le pdf, il est logique qu'en fonction du type de travail l'extension du fichier soit différente).  \\ Il est alors possible de supprimer le projet en cliquant sur le bouton "Effacer un projet". | " => suggestions : ['«\xa0', '“']
105 Mot inconnu : multipage =>   - Lorsque toutes les pages ont été numérisées, il ne reste plus qu'à cliquer sur le bouton "Enregistrement du document multipage". \\Le fichier suivant sera créé : "/home/utilisateur/multipageproject.pdf" (pour le pdf, il est logique qu'en fonction du type de travail l'extension du fichier soit différente).  \\ Il est alors possible de supprimer le projet en cliquant sur le bouton "Effacer un projet". | multipage
105 Guillemets typographiques fermants. =>   - Lorsque toutes les pages ont été numérisées, il ne reste plus qu'à cliquer sur le bouton "Enregistrement du document multipage". \\Le fichier suivant sera créé : "/home/utilisateur/multipageproject.pdf" (pour le pdf, il est logique qu'en fonction du type de travail l'extension du fichier soit différente).  \\ Il est alors possible de supprimer le projet en cliquant sur le bouton "Effacer un projet". | " => suggestions : ['\xa0»', '”']
105 Espace(s) surnuméraire(s) à supprimer. =>   - Lorsque toutes les pages ont été numérisées, il ne reste plus qu'à cliquer sur le bouton "Enregistrement du document multipage". \\Le fichier suivant sera créé : "/home/utilisateur/multipageproject.pdf" (pour le pdf, il est logique qu'en fonction du type de travail l'extension du fichier soit différente).  \\ Il est alors possible de supprimer le projet en cliquant sur le bouton "Effacer un projet". |    => suggestions : [' ']
105 Guillemets typographiques ouvrants. =>   - Lorsque toutes les pages ont été numérisées, il ne reste plus qu'à cliquer sur le bouton "Enregistrement du document multipage". \\Le fichier suivant sera créé : "/home/utilisateur/multipageproject.pdf" (pour le pdf, il est logique qu'en fonction du type de travail l'extension du fichier soit différente).  \\ Il est alors possible de supprimer le projet en cliquant sur le bouton "Effacer un projet". | " => suggestions : ['«\xa0', '“']
105 Guillemets typographiques fermants. =>   - Lorsque toutes les pages ont été numérisées, il ne reste plus qu'à cliquer sur le bouton "Enregistrement du document multipage". \\Le fichier suivant sera créé : "/home/utilisateur/multipageproject.pdf" (pour le pdf, il est logique qu'en fonction du type de travail l'extension du fichier soit différente).  \\ Il est alors possible de supprimer le projet en cliquant sur le bouton "Effacer un projet". | " => suggestions : ['\xa0»', '”']

110 Mot inconnu : Xsane => Xsane devrait désormais se lancer directement avec votre scanner par défaut. | xsane

112 Mot inconnu : scanimage => Il existe également une méthode consistant à récupérer l'adresse du scanner avec scanimage -L et de modifier le lanceur xsane. Explication [[http://forum.ubuntu-fr.org/viewtopic.php?pid=2865699#p2865699|ici]]. Cette méthode peut-être intéressante si vous possédez plusieurs scanners, afin de créer un lanceur pour chacun. | scanimage
112 Il manque un espace à côté du tiret. => Il existe également une méthode consistant à récupérer l'adresse du scanner avec scanimage -L et de modifier le lanceur xsane. Explication [[http://forum.ubuntu-fr.org/viewtopic.php?pid=2865699#p2865699|ici]]. Cette méthode peut-être intéressante si vous possédez plusieurs scanners, afin de créer un lanceur pour chacun. |  - => suggestions : [' – ', ' — ']
112 Mot inconnu : xsane => Il existe également une méthode consistant à récupérer l'adresse du scanner avec scanimage -L et de modifier le lanceur xsane. Explication [[http://forum.ubuntu-fr.org/viewtopic.php?pid=2865699#p2865699|ici]]. Cette méthode peut-être intéressante si vous possédez plusieurs scanners, afin de créer un lanceur pour chacun. | xsane

114 Mot inconnu : xsane => ===== Pour utiliser xsane en réseau ===== | xsane

117 Espace(s) surnuméraire(s) à supprimer. => ===== Problèmes connus  ===== |    => suggestions : [' ']

119 Mot inconnu : Error => ==== Error during CMS conversion ==== | error
119 Mot inconnu : during => ==== Error during CMS conversion ==== | during
119 Mot inconnu : CMS => ==== Error during CMS conversion ==== | cms

123 Mot inconnu : Xsane => Allez dans les préférences d'Xsane pour vérifier que la case //Enable Color Management// soit bien décochée. \\ | xsane
123 Mot inconnu : Enable => Allez dans les préférences d'Xsane pour vérifier que la case //Enable Color Management// soit bien décochée. \\ | enable
123 Mot inconnu : Color => Allez dans les préférences d'Xsane pour vérifier que la case //Enable Color Management// soit bien décochée. \\ | color
125 Mot inconnu : CMS => <note>En français dans le texte: Erreur pendant la conversion CMS : | cms

126 Mot inconnu : ICM => Échec de l'ouverture Profil ICM du scanner: </note> | icm

131 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

132 Mot inconnu : Xsane => ==== Xsane ne scanne qu'une partie du document ==== | xsane

135 Mot inconnu : shift => Si la fenêtre d’aperçu n'est pas présente, on la fait apparaître grâce à Ctrl +1 (Ctrl+ shift+ 1 si nécessaire). | shift

137 Mot inconnu : Xsane => ==== Xsane scanne une trop grande partie du document ==== | xsane

138 Mot inconnu : Xsane => Si Xsane ne scanne pas un document à ses bonnes dimensions, il suffit d'aller dans Fenêtre/Options avancées, puis de changer la taille de la zone de scan (21.0 x 29.7cm pour un format A4). | xsane
138 Signe de multiplication typographique. => Si Xsane ne scanne pas un document à ses bonnes dimensions, il suffit d'aller dans Fenêtre/Options avancées, puis de changer la taille de la zone de scan (21.0 x 29.7cm pour un format A4). | 0 x 29 => suggestions : ['0\xa0×\xa029']
138 Mot inconnu : A4 => Si Xsane ne scanne pas un document à ses bonnes dimensions, il suffit d'aller dans Fenêtre/Options avancées, puis de changer la taille de la zone de scan (21.0 x 29.7cm pour un format A4). | a4

141 Mot inconnu : hplip => * [[hplip|Scanner HP]]: installer le [[hplip#installer_le_scanner_multifonctions|Driver HPLIP]] | hplip
141 Mot inconnu : HP => * [[hplip|Scanner HP]]: installer le [[hplip#installer_le_scanner_multifonctions|Driver HPLIP]] | hp
141 Mot inconnu : hplip => * [[hplip|Scanner HP]]: installer le [[hplip#installer_le_scanner_multifonctions|Driver HPLIP]] | hplip
141 Mot inconnu : HPLIP => * [[hplip|Scanner HP]]: installer le [[hplip#installer_le_scanner_multifonctions|Driver HPLIP]] | hplip

144 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

